Age Group	Urban-Rural Classification	Counties	Prevalence, % (SE)	State	Alpha2
Adult	Micropolitan	Del Norte, Humboldt, Lake, Lassen, Mendocino, Nevada, Tehama, Tuolumne	11.0% (1.50)	California	CA
Adult	Noncore	Alpine, Amador, Calaveras, Colusa, Glenn, Inyo, Mariposa, Modoc, Mono, Plumas, Sierra, Siskiyou, Trinity	8.6% (1.95)	California	CA
Adult	Large Central Metropolitan	Denver	8.7% (0.55)	Colorado	CO
Adult	Large Fringe Metropolitan	Adams, Arapahoe, Broomfield, Clear Creek, Douglas, Elbert, Gilpin, Jefferson, Park	9.2% (0.35)	Colorado	CO
Adult	Medium Metropolitan	Boulder, El Paso, Larimer, Teller, Weld	8.8% (0.37)	Colorado	CO
Adult	Small Metropolitan	Mesa, Pueblo	10.9% (0.90)	Colorado	CO
Adult	Micropolitan	Eagle, Fremont, Garfield, La Plata, Logan, Moffat, Montrose, Morgan, Pitkin, Routt, Summit	7.3% (0.60)	Colorado	CO
Adult	Noncore	Alamosa, Archuleta, Baca, Bent, Chaffee, Cheyenne, Conejos, Costilla, Crowley, Custer, Delta, Dolores, Grand, Gunnison, Hinsdale, Huerfano, Jackson, Kiowa, Kit Carson, Lake, Las Animas, Lincoln, Mineral, Montezuma, Otero, Ouray, Phillips, Prowers, Rio Blanco, Rio Grande, Saguache, San Juan, San Miguel, Sedgwick, Washington, Yuma	10.4% (0.78)	Colorado	CO
Child	Large Central Metropolitan	Hartford	11.8% (1.15)	Connecticut	CT
Child	Large Fringe Metropolitan	Middlesex, Tolland	11.0% (1.73)	Connecticut	CT
Child	Medium Metropolitan	Fairfield, New Haven, New London, Windham	11.1% (0.73)	Connecticut	CT
Child	Micropolitan	Litchfield	9.3% (2.16)	Connecticut	CT
Adult	Large Central Metropolitan	Hartford	11.7% (0.54)	Connecticut	CT
Adult	Large Fringe Metropolitan	Middlesex, Tolland	10.4% (0.82)	Connecticut	CT
Adult	Medium Metropolitan	Fairfield, New Haven, New London, Windham	10.1% (0.30)	Connecticut	CT
Adult	Micropolitan	Litchfield	9.2% (0.95)	Connecticut	CT
Adult	Large Fringe Metropolitan	New Castle County	9.8% (0.55)	Delaware	DE
Adult	Medium Metropolitan	Sussex County	8.8% (0.60)	Delaware	DE
Adult	Small Metropolitan	Kent County	10.8% (0.64)	Delaware	DE
Adult	Large Central Metropolitan	District of Columbia	10.3% (0.38)	District of Columbia	DC
Child	Large Central Metropolitan	Duval, Hillsborough, Miami-Dade, Orange, Pinellas	7.7% (1.00)	Florida	FL
Child	Large Fringe Metropolitan	Baker, Broward, Clay, Hernando, Lake, Nassau, Osceola, Palm Beach, Pasco, St. Johns, Seminole	6.7% (0.87)	Florida	FL
Child	Medium Metropolitan	Alachua, Brevard, Collier, Escambia, Flagler, Gadsden, Gilchrist, Jefferson, Lee, Leon, Manatee, Marion, Martin, Polk, St. Lucie, Santa Rosa, Sarasota, Volusia, Wakulla	7.8% (0.70)	Florida	FL
Child	Small Metropolitan	Bay, Charlotte, Citrus, Gulf, Highlands, Indian River, Okaloosa, Sumter, Walton	7.9% (1.50)	Florida	FL
Child	Micropolitan	Columbia, DeSoto, Hardee, Hendry, Monroe, Okeechobee, Putnam	8.1% (1.27)	Florida	FL
Child	Noncore	Bradford, Calhoun, Dixie, Franklin, Glades, Hamilton, Holmes, Jackson, Lafayette, Levy, Liberty, Madison, Suwannee, Taylor, Union, Washington	8.5% (1.24)	Florida	FL
Adult	Large Central Metropolitan	Duval, Hillsborough, Miami-Dade, Orange, Pinellas	7.9% (0.47)	Florida	FL
Adult	Large Fringe Metropolitan	Baker, Broward, Clay, Hernando, Lake, Nassau, Osceola, Palm Beach, Pasco, St. Johns, Seminole	7.4% (0.47)	Florida	FL
Adult	Medium Metropolitan	Alachua, Brevard, Collier, Escambia, Flagler, Gadsden, Gilchrist, Jefferson, Lee, Leon, Manatee, Marion, Martin, Polk, St. Lucie, Santa Rosa, Sarasota, Volusia, Wakulla	7.4% (0.30)	Florida	FL
Adult	Small Metropolitan	Bay, Charlotte, Citrus, Gulf, Highlands, Indian River, Okaloosa, Sumter, Walton	7.9% (0.45)	Florida	FL
Adult	Micropolitan	Columbia, DeSoto, Hardee, Hendry, Monroe, Okeechobee, Putnam	8.4% (0.78)	Florida	FL
Adult	Noncore	Bradford, Calhoun, Dixie, Franklin, Glades, Hamilton, Holmes, Jackson, Lafayette, Levy, Liberty, Madison, Suwannee, Taylor, Union, Washington	9.2% (0.77)	Florida	FL
Child	Large Central Metropolitan	Fulton	12.3% (2.83)	Georgia	GA
Child	Large Fringe Metropolitan	Barrow, Bartow, Butts, Carroll, Cherokee, Clayton, Cobb, Coweta, Dawson, DeKalb, Douglas, Fayette, Forsyth, Gwinnett, Haralson, Heard, Henry, Jasper, Lamar, Meriwether, Morgan, Newton, Paulding, Pickens, Pike, Rockdale, Spalding, Walton	7.2% (0.75)	Georgia	GA
Child	Medium Metropolitan	Bryan, Burke, Catoosa, Chatham, Chattahoochee, Columbia, Dade, Effingham, Harris, Lincoln, McDuffie, Marion, Muscogee, Richmond, Walker	9.2% (1.97)	Georgia	GA
Child	Small Metropolitan	Baker, Bibb, Brantley, Brooks, Clarke, Crawford, Dougherty, Echols, Floyd, Glynn, Hall, Houston, Jones, Lanier, Lee, Liberty, Long, Lowndes, McIntosh, Madison, Monroe, Murray, Oconee, Oglethorpe, Peach, Pulaski, Terrell, Twiggs, Whitfield, Worth	9.8% (1.50)	Georgia	GA
Child	Micropolitan	Baldwin, Ben Hill, Bulloch, Camden, Chattooga, Coffee, Colquitt, Crisp, Decatur, Gordon, Habersham, Hancock, Jackson, Johnson, Laurens, Montgomery, Pierce, Polk, Schley, Stephens, Sumter, Thomas, Tift, Toombs, Troup, Upson, Ware, Wayne	8.2% (1.82)	Georgia	GA
Child	Noncore	Appling, Atkinson, Bacon, Banks, Berrien, Bleckley, Calhoun, Candler, Charlton, Clay, Clinch, Cook, Dodge, Dooly, Early, Elbert, Emanuel, Evans, Fannin, Franklin, Gilmer, Glascock, Grady, Greene, Hart, Irwin, Jeff Davis, Jefferson, Jenkins, Lumpkin, Macon, Miller, Mitchell, Putnam, Quitman, Rabun, Randolph, Screven, Seminole, Stewart, Talbot, Taliaferro, Tattnall, Taylor, Telfair, Towns, Treutlen, Turner, Union, Warren, Washington, Webster, Wheeler, White, Wilcox, Wilkes, Wilkinson	9.0% (1.69)	Georgia	GA
Adult	Large Central Metropolitan	Fulton	7.8% (0.76)	Georgia	GA
Adult	Large Fringe Metropolitan	Barrow, Bartow, Butts, Carroll, Cherokee, Clayton, Cobb, Coweta, Dawson, DeKalb, Douglas, Fayette, Forsyth, Gwinnett, Haralson, Heard, Henry, Jasper, Lamar, Meriwether, Morgan, Newton, Paulding, Pickens, Pike, Rockdale, Spalding, Walton	7.9% (0.40)	Georgia	GA
Adult	Medium Metropolitan	Bryan, Burke, Catoosa, Chatham, Chattahoochee, Columbia, Dade, Effingham, Harris, Lincoln, McDuffie, Marion, Muscogee, Richmond, Walker	9.1% (0.79)	Georgia	GA
Adult	Small Metropolitan	Baker, Bibb, Brantley, Brooks, Clarke, Crawford, Dougherty, Echols, Floyd, Glynn, Hall, Houston, Jones, Lanier, Lee, Liberty, Long, Lowndes, McIntosh, Madison, Monroe, Murray, Oconee, Oglethorpe, Peach, Pulaski, Terrell, Twiggs, Whitfield, Worth	9.6% (0.71)	Georgia	GA
Adult	Micropolitan	Baldwin, Ben Hill, Bulloch, Camden, Chattooga, Coffee, Colquitt, Crisp, Decatur, Gordon, Habersham, Hancock, Jackson, Johnson, Laurens, Montgomery, Pierce, Polk, Schley, Stephens, Sumter, Thomas, Tift, Toombs, Troup, Upson, Ware, Wayne	10.0% (0.86)	Georgia	GA
Adult	Noncore	Appling, Atkinson, Bacon, Banks, Berrien, Bleckley, Calhoun, Candler, Charlton, Clay, Clinch, Cook, Dodge, Dooly, Early, Elbert, Emanuel, Evans, Fannin, Franklin, Gilmer, Glascock, Grady, Greene, Hart, Irwin, Jeff Davis, Jefferson, Jenkins, Lumpkin, Macon, Miller, Mitchell, Putnam, Quitman, Rabun, Randolph, Screven, Seminole, Stewart, Talbot, Taliaferro, Tattnall, Taylor, Telfair, Towns, Treutlen, Turner, Union, Warren, Washington, Webster, Wheeler, White, Wilcox, Wilkes, Wilkinson	9.5% (0.93)	Georgia	GA
Child	Medium Metropolitan	Honolulu	9.8% (0.72)	Hawaii	HI
Child	Small Metropolitan	Kalawao, Maui	9.9% (1.28)	Hawaii	HI
Child	Micropolitan	Hawaii, Kauai	11.0% (1.09)	Hawaii	HI
Adult	Medium Metropolitan	Honolulu	9.4% (0.35)	Hawaii	HI
Adult	Small Metropolitan	Kalawao, Maui	11.0% (0.71)	Hawaii	HI
Adult	Micropolitan	Hawaii, Kauai	11.0% (0.57)	Hawaii	HI
Adult	Medium Metropolitan	Ada, Boise, Canyon, Gem, Owyhee	8.0% (0.61)	Idaho	ID
Adult	Small Metropolitan	Bannock, Bonneville, Butte, Franklin, Jefferson, Kootenai, Nez Perce	9.2% (0.57)	Idaho	ID
Adult	Micropolitan	Bingham, Blaine, Bonner, Camas, Cassia, Elmore, Fremont, Jerome, Latah, Lincoln, Madison, Minidoka, Payette, Teton, Twin Falls	9.8% (0.65)	Idaho	ID
Adult	Noncore	Adams, Bear Lake, Benewah, Boundary, Caribou, Clark, Clearwater, Custer, Gooding, Idaho, Lemhi, Lewis, Oneida, Power, Shoshone, Valley, Washington	10.3% (0.92)	Idaho	ID
Child	Large Central Metropolitan	Cook	6.7% (0.78)	Illinois	IL
Child	Large Fringe Metropolitan	Bond, Calhoun, Clinton, DeKalb, DuPage, Grundy, Jersey, Kane, Kendall, Lake, McHenry, Macoupin, Madison, Monroe, St. Clair, Will	5.8% (0.78)	Illinois	IL
Child	Medium Metropolitan	Boone, Henry, Marshall, Mercer, Peoria, Rock Island, Stark, Tazewell, Winnebago, Woodford	7.6% (1.84)	Illinois	IL
Child	Small Metropolitan	Alexander, Champaign, De Witt, Ford, Jackson, Kankakee, McLean, Macon, Menard, Piatt, Sangamon, Vermilion, Williamson	6.2% (1.86)	Illinois	IL
Child	Micropolitan	Adams, Bureau, Christian, Coles, Cumberland, Effingham, Fulton, Hancock, Henderson, Jefferson, Knox, La Salle, Lee, Livingston, Logan, McDonough, Marion, Massac, Morgan, Ogle, Putnam, Scott, Stephenson, Whiteside	7.0% (1.85)	Illinois	IL
Child	Noncore	Brown, Carroll, Cass, Clark, Clay, Crawford, Douglas, Edgar, Edwards, Fayette, Franklin, Gallatin, Greene, Hamilton, Hardin, Iroquois, Jasper, Jo Daviess, Johnson, Lawrence, Mason, Montgomery, Moultrie, Perry, Pike, Pope, Pulaski, Randolph, Richland, Saline, Schuyler, Shelby, Union, Wabash, Warren, Washington, Wayne, White	4.6% (1.97)	Illinois	IL
Adult	Large Central Metropolitan	Cook	8.5% (0.44)	Illinois	IL
Adult	Large Fringe Metropolitan	Bond, Calhoun, Clinton, DeKalb, DuPage, Grundy, Jersey, Kane, Kendall, Lake, McHenry, Macoupin, Madison, Monroe, St. Clair, Will	8.3% (0.50)	Illinois	IL
Adult	Medium Metropolitan	Boone, Henry, Marshall, Mercer, Peoria, Rock Island, Stark, Tazewell, Winnebago, Woodford	9.1% (1.07)	Illinois	IL
Adult	Small Metropolitan	Alexander, Champaign, De Witt, Ford, Jackson, Kankakee, McLean, Macon, Menard, Piatt, Sangamon, Vermilion, Williamson	9.6% (1.09)	Illinois	IL
Adult	Micropolitan	Adams, Bureau, Christian, Coles, Cumberland, Effingham, Fulton, Hancock, Henderson, Jefferson, Knox, La Salle, Lee, Livingston, Logan, McDonough, Marion, Massac, Morgan, Ogle, Putnam, Scott, Stephenson, Whiteside	8.7% (0.91)	Illinois	IL
Adult	Noncore	Brown, Carroll, Cass, Clark, Clay, Crawford, Douglas, Edgar, Edwards, Fayette, Franklin, Gallatin, Greene, Hamilton, Hardin, Iroquois, Jasper, Jo Daviess, Johnson, Lawrence, Mason, Montgomery, Moultrie, Perry, Pike, Pope, Pulaski, Randolph, Richland, Saline, Schuyler, Shelby, Union, Wabash, Warren, Washington, Wayne, White	8.7% (1.44)	Illinois	IL
Child	Large Central Metropolitan	Marion	10.4% (1.28)	Indiana	IN
Child	Large Fringe Metropolitan	Boone, Brown, Clark, Dearborn, Floyd, Hamilton, Hancock, Harrison, Hendricks, Jasper, Johnson, Lake, Madison, Morgan, Newton, Ohio, Porter, Putnam, Scott, Shelby, Union, Washington	8.1% (0.80)	Indiana	IN
Child	Medium Metropolitan	Allen, Posey, St. Joseph, Vanderburgh, Warrick, Wells, Whitley	6.6% (0.96)	Indiana	IN
Child	Small Metropolitan	Bartholomew, Benton, Carroll, Clay, Delaware, Elkhart, Howard, LaPorte, Monroe, Owen, Sullivan, Tippecanoe, Vermillion, Vigo	8.1% (1.04)	Indiana	IN
Child	Micropolitan	Adams, Cass, Clinton, Daviess, Decatur, DeKalb, Dubois, Fayette, Grant, Henry, Huntington, Jackson, Jefferson, Jennings, Knox, Kosciusko, Lawrence, Marshall, Miami, Montgomery, Noble, Pike, Steuben, Wabash, Wayne	7.0% (0.93)	Indiana	IN
Child	Noncore	Blackford, Crawford, Fountain, Franklin, Fulton, Gibson, Greene, Jay, LaGrange, Martin, Orange, Parke, Perry, Pulaski, Randolph, Ripley, Rush, Spencer, Starke, Switzerland, Tipton, Warren, White	4.5% (1.18)	Indiana	IN
Adult	Large Central Metropolitan	Marion	10.6% (0.62)	Indiana	IN
Adult	Large Fringe Metropolitan	Boone, Brown, Clark, Dearborn, Floyd, Hamilton, Hancock, Harrison, Hendricks, Jasper, Johnson, Lake, Madison, Morgan, Newton, Ohio, Porter, Putnam, Scott, Shelby, Union, Washington	9.3% (0.42)	Indiana	IN
Adult	Medium Metropolitan	Allen, Posey, St. Joseph, Vanderburgh, Warrick, Wells, Whitley	10.7% (0.66)	Indiana	IN
Adult	Small Metropolitan	Bartholomew, Benton, Carroll, Clay, Delaware, Elkhart, Howard, LaPorte, Monroe, Owen, Sullivan, Tippecanoe, Vermillion, Vigo	9.7% (0.54)	Indiana	IN
Adult	Micropolitan	Adams, Cass, Clinton, Daviess, Decatur, DeKalb, Dubois, Fayette, Grant, Henry, Huntington, Jackson, Jefferson, Jennings, Knox, Kosciusko, Lawrence, Marshall, Miami, Montgomery, Noble, Pike, Steuben, Wabash, Wayne	10.7% (0.63)	Indiana	IN
Adult	Noncore	Blackford, Crawford, Fountain, Franklin, Fulton, Gibson, Greene, Jay, LaGrange, Martin, Orange, Parke, Perry, Pulaski, Randolph, Ripley, Rush, Spencer, Starke, Switzerland, Tipton, Warren, White	10.9% (0.86)	Indiana	IN
Adult	Medium Metropolitan	Benton, Dallas, Guthrie, Harrison, Jones, Linn, Madison, Mills, Polk, Pottawattamie, Scott, Warren	8.7% (0.40)	Iowa	IA
Adult	Small Metropolitan	Black Hawk, Bremer, Dubuque, Grundy, Johnson, Plymouth, Story, Washington, Woodbury	7.5% (0.50)	Iowa	IA
Adult	Micropolitan	Boone, Buena Vista, Cerro, Clay, Clinton, Davis, Des, Dickinson, Jasper, Jefferson, Lee, Mahaska, Marshall, Muscatine, Wapello, Webster, Worth	9.4% (0.59)	Iowa	IA
Adult	Noncore	Adair, Adams, Allamakee, Appanoose, Audubon, Buchanan, Butler, Calhoun, Carroll, Cass, Cedar, Cherokee, Chickasaw, Clarke, Clayton, Crawford, Decatur, Delaware, Emmet, Fayette, Floyd, Franklin, Fremont, Greene, Hamilton, Hancock, Hardin, Henry, Howard, Humboldt, Ida, Iowa, Jackson, Keokuk, Kossuth, Louisa, Lucas, Lyon, Marion, Mitchell, Monona, Monroe, Montgomery, O'Brien, Osceola, Page, Palo, Pocahontas, Poweshiek, Ringgold, Sac, Shelby, Sioux, Tama, Taylor, Union, Van, Wayne, Winnebago, Winneshiek, Wright	7.8% (0.39)	Iowa	IA
Child	Large Fringe Metropolitan	Johnson, Leavenworth, Linn, Miami, Wyandotte	9.3% (0.70)	Kansas	KS
Child	Medium Metropolitan	Butler, Harvey, Kingman, Sedgwick, Sumner	8.6% (0.78)	Kansas	KS
Child	Small Metropolitan	Doniphan, Douglas, Jackson, Jefferson, Osage, Pottawatomie, Riley, Shawnee, Wabaunsee,	10.5% (1.12)	Kansas	KS
Child	Micropolitan	Atchison, Barton, Cowley, Crawford, Ellis, Finney, Ford, Franklin, Geary, Kearny, Labette, Lyon, McPherson, Montgomery, Ottawa, Reno, Saline, Seward	6.9% (0.81)	Kansas	KS
Child	Noncore	Allen, Anderson, Barber, Bourbon, Brown, Chase, Chautauqua, Cherokee, Cheyenne, Clark, Clay, Cloud, Coffey, Comanche, Decatur, Dickinson, Edwards, Elk, Ellsworth, Gove, Graham, Grant, Gray, Greeley, Greenwood, Hamilton, Harper, Haskell, Hodgeman, Jewell, Kiowa, Lane, Lincoln, Logan, Marion, Marshall, Meade, Mitchell, Morris, Morton, Nemaha, Neosho, Ness, Norton, Osborne, Pawnee, Phillips, Pratt, Rawlins, Republic, Rice, Rooks, Rush, Russell, Scott, Sheridan, Sherman, Smith, Stafford, Stanton, Stevens, Thomas, Trego, Wallace, Washington, Wichita, Wilson, Woodson	7.8% (0.87)	Kansas	KS
Adult	Large Fringe Metropolitan	Johnson, Leavenworth, Linn, Miami, Wyandotte	8.8% (0.34)	Kansas	KS
Adult	Medium Metropolitan	Butler, Harvey, Kingman, Sedgwick, Sumner	9.5% (0.42)	Kansas	KS
Adult	Small Metropolitan	Doniphan, Douglas, Jackson, Jefferson, Osage, Pottawatomie, Riley, Shawnee, Wabaunsee,	10.3% (0.51)	Kansas	KS
Adult	Micropolitan	Atchison, Barton, Cowley, Crawford, Ellis, Finney, Ford, Franklin, Geary, Kearny, Labette, Lyon, McPherson, Montgomery, Ottawa, Reno, Saline, Seward	8.7% (0.43)	Kansas	KS
Adult	Noncore	Allen, Anderson, Barber, Bourbon, Brown, Chase, Chautauqua, Cherokee, Cheyenne, Clark, Clay, Cloud, Coffey, Comanche, Decatur, Dickinson, Edwards, Elk, Ellsworth, Gove, Graham, Grant, Gray, Greeley, Greenwood, Hamilton, Harper, Haskell, Hodgeman, Jewell, Kiowa, Lane, Lincoln, Logan, Marion, Marshall, Meade, Mitchell, Morris, Morton, Nemaha, Neosho, Ness, Norton, Osborne, Pawnee, Phillips, Pratt, Rawlins, Republic, Rice, Rooks, Rush, Russell, Scott, Sheridan, Sherman, Smith, Stafford, Stanton, Stevens, Thomas, Trego, Wallace, Washington, Wichita, Wilson, Woodson	9.2% (0.45)	Kansas	KS
Adult	Large Central Metropolitan	Jefferson	11.1% (0.88)	Kentucky	KY
Adult	Large Fringe Metropolitan	Boone, Bracken, Bullitt, Campbell, Gallatin, Grant, Henry, Kenton, Oldham, Pendleton, Shelby, Spencer, Trimble	8.5% (0.77)	Kentucky	KY
Adult	Medium Metropolitan	Bourbon, Boyd, Christian, Clark, Fayette, Greenup, Henderson, Jessamine, Scott, Trigg, Woodford	11.9% (0.92)	Kentucky	KY
Adult	Small Metropolitan	Allen, Butler, Daviess, Edmonson, Hancock, Hardin, Larue, McLean, Meade, Warren	9.4% (0.70)	Kentucky	KY
Adult	Micropolitan	Anderson, Ballard, Barren, Bath, Bell, Boyle, Calloway, Franklin, Fulton, Graves, Hopkins, Knox, Laurel, Lincoln, Livingston, McCracken, Madison, Mason, Menifee, Metcalfe, Montgomery, Nelson, Pulaski, Rockcastle, Taylor, Whitley	12.6% (0.74)	Kentucky	KY
Adult	Noncore	Adair, Breathitt, Breckinridge, Caldwell, Carlisle, Carroll, Carter, Casey, Clay, Clinton, Crittenden, Cumberland, Elliott, Estill, Fleming, Floyd, Garrard, Grayson, Green, Harlan, Harrison, Hart, Hickman, Jackson, Johnson, Knott, Lawrence, Lee, Leslie, Letcher, Lewis, Logan, Lyon, McCreary, Magoffin, Marion, Marshall, Martin, Mercer, Monroe, Morgan, Muhlenberg, Nicholas, Ohio, Owen, Owsley, Perry, Pike, Powell, Robertson, Rowan, Russell, Simpson, Todd, Union, Washington, Wayne, Webster, Wolfe	12.3% (0.56)	Kentucky	KY
Adult	Large Central Metropolitan	Orleans Parish	9.5% (2.03)	Louisiana	LA
Adult	Large Fringe Metropolitan	Jefferson Parish, Plaquemines Parish, St. Bernard Parish, St. Charles Parish, St. James Parish, St. John the Baptist Parish, St. Tammany Parish	8.0% (0.88)	Louisiana	LA
Adult	Medium Metropolitan	Acadia Parish, Ascension Parish, Bossier Parish, Caddo Parish, De Soto Parish, East Baton Rouge Parish, East Feliciana Parish, Iberia Parish, Iberville Parish, Lafayette Parish, Livingston Parish, Pointe Coupee Parish, St. Helena Parish, St. Martin Parish, Vermilion Parish, Webster Parish, West Baton Rouge Parish, West Feliciana Parish	8.6% (0.55)	Louisiana	LA
Adult	Small Metropolitan	Calcasieu Parish, Cameron Parish, Grant Parish, Lafourche Parish, Ouachita Parish, Rapides Parish, Tangipahoa Parish, Terrebonne Parish, Union Parish	8.3% (0.62)	Louisiana	LA
Adult	Micropolitan	Beauregard Parish, Concordia Parish, Lincoln Parish, Morehouse Parish, Natchitoches Parish, St. Landry Parish, St. Mary Parish, Vernon Parish, Washington Parish	9.5% (0.94)	Louisiana	LA
Adult	Noncore	Allen Parish, Assumption Parish, Avoyelles Parish, Bienville Parish, Caldwell Parish, Catahoula Parish, Claiborne Parish, East Carroll Parish, Evangeline Parish, Franklin Parish, Jackson Parish, Jefferson Davis Parish, LaSalle Parish, Madison Parish, Red River Parish, Richland Parish, Sabine Parish, Tensas Parish, West Carroll Parish, Winn Parish	10.5% (1.22)	Louisiana	LA
Child	Medium Metropolitan	Cumberland, Sagadahoc, York	6.9% (0.93)	Maine	ME
Child	Small Metropolitan	Androscoggin, Penobscot	10.5% (1.56)	Maine	ME
Child	Micropolitan	Kennebec	7.2% (1.73)	Maine	ME
Child	Noncore	Aroostook, Franklin, Hancock, Knox, Lincoln, Oxford, Piscataquis, Somerset, Waldo, Washington	7.0% (0.64)	Maine	ME
Adult	Medium Metropolitan	Cumberland, Sagadahoc, York	10.5% (0.52)	Maine	ME
Adult	Small Metropolitan	Androscoggin, Penobscot	14.3% (0.82)	Maine	ME
Adult	Micropolitan	Kennebec	10.7% (1.06)	Maine	ME
Adult	Noncore	Aroostook, Franklin, Hancock, Knox, Lincoln, Oxford, Piscataquis, Somerset, Waldo, Washington	12.5% (0.40)	Maine	ME
Adult	Large Central Metropolitan	Baltimore city	12.6% (0.90)	Maryland	MD
