"MinDate","StatVar","Units","ScalingFactors","NumPlaces","observationPeriods","MeasurementMethods"
"2003","Count_Person_65OrMoreYears","[]","[]","17","[]","[]"
"2003","Count_Person_55To64Years_Urban","[]","[]","17","[]","[]"
"2003","Count_Person_Years55To64_Female_Rural","[]","[]","17","[]","[]"
"2003","Count_Person_20To24Years_Rural","[]","[]","17","[]","[]"
"2003","Count_Person_Years7To12_Male_Urban","[]","[]","17","[]","[]"
"2003","Count_Person_Years16To19_Female_Rural","[]","[]","17","[]","[]"
"2003","Count_Person_Years35To44_Female_Rural","[]","[]","17","[]","[]"
"2003","Count_Person_Years3To6_Female","[]","[]","17","[]","[]"
"2003","Count_Person_Years25To34_Female_Urban","[]","[]","17","[]","[]"
"2003","Count_Person_Years3To6","[]","[]","17","[]","[]"
"2003","Count_Person_Years3To6_Urban","[]","[]","17","[]","[]"
"2003","Count_Person_Years3To6_Female_Urban","[]","[]","17","[]","[]"
"2003","Count_Person_Years7To12_Rural","[]","[]","17","[]","[]"
"2003","Count_Person_Years0To2_Female","[]","[]","17","[]","[]"
"2003","Count_Person_Years45To54_Female_Urban","[]","[]","17","[]","[]"
"2003","Count_Person_55To64Years_Male","[]","[]","17","[]","[]"
"2003","Count_Person_55To64Years","[]","[]","17","[]","[]"
"2003","Count_Person_35To44Years_Male","[]","[]","17","[]","[]"
"2003","Count_Person_20To24Years_Female","[]","[]","17","[]","[]"
"2003","Count_Person_35To44Years_Female","[]","[]","17","[]","[]"
"2003","Count_Person_65OrMoreYears_Male","[]","[]","17","[]","[]"
"2003","Count_Person_Years13To15_Female","[]","[]","17","[]","[]"
"2003","Count_Person_7To12Years","[]","[]","17","[]","[]"
"2003","Count_Person_65OrMoreYears_Urban","[]","[]","17","[]","[]"
"2003","Count_Person_Years13To15_Female_Rural","[]","[]","17","[]","[]"
"2003","Count_Person_Years45To54_Male_Rural","[]","[]","17","[]","[]"
"2003","Count_Person_Years65Onwards_Female_Urban","[]","[]","17","[]","[]"
"2003","Count_Person_Years35To44_Male_Urban","[]","[]","17","[]","[]"
"2003","Count_Person_16To19Years_Female","[]","[]","17","[]","[]"
"2003","Count_Person_Rural_Male","[]","[]","17","[]","[]"
"2003","Count_Person_55To64Years_Rural","[]","[]","17","[]","[]"
"2003","Count_Person_20To24Years_Male","[]","[]","17","[]","[]"
"2003","Count_Person_Rural","[]","[]","17","[]","[]"
"2003","Count_Person_Urban","[]","[]","17","[]","[]"
"2003","Count_Person_65OrMoreYears_Rural","[]","[]","17","[]","[]"
"2003","Count_Person_25To34Years_Rural","[]","[]","17","[]","[]"
"2003","Count_Person","[]","[]","17","[]","[]"
"2003","Count_Person_Years13To15_Male_Rural","[]","[]","17","[]","[]"
"2003","Count_Person_45To54Years","[]","[]","17","[]","[]"
"2003","Count_Person_Years13To15_Urban","[]","[]","17","[]","[]"
"2003","Count_Person_Years16To19_Male_Urban","[]","[]","17","[]","[]"
"2003","Count_Person_Years16To19_Urban","[]","[]","17","[]","[]"
"2003","Count_Person_Years13To15_Male","[]","[]","17","[]","[]"
"2003","Count_Person_Years3To6_Male_Rural","[]","[]","17","[]","[]"
"2003","Count_Person_Years16To19_Male_Rural","[]","[]","17","[]","[]"
"2003","Count_Person_Urban_Male","[]","[]","17","[]","[]"
"2003","Count_Person_Years25To34_Female_Rural","[]","[]","17","[]","[]"
"2003","Count_Person_Years16To19_Female_Urban","[]","[]","17","[]","[]"
"2003","Count_Person_55To64Years_Female","[]","[]","17","[]","[]"
"2003","Count_Person_35To44Years","[]","[]","17","[]","[]"
"2003","Count_Person_Years65Onwards_Male_Urban","[]","[]","17","[]","[]"
"2003","Count_Person_20To24Years_Urban","[]","[]","17","[]","[]"
"2003","Count_Person_Years13To15_Female_Urban","[]","[]","17","[]","[]"
"2003","Count_Person_Years7To12_Urban","[]","[]","17","[]","[]"
"2003","Count_Person_Years45To54_Female_Rural","[]","[]","17","[]","[]"
"2003","Count_Person_20To24Years","[]","[]","17","[]","[]"
"2003","Count_Person_25To34Years","[]","[]","17","[]","[]"
"2003","Count_Person_Male","[]","[]","17","[]","[]"
"2003","Count_Person_Years45To54_Rural","[]","[]","17","[]","[]"
"2003","Count_Person_Years35To44_Female_Urban","[]","[]","17","[]","[]"
"2003","Count_Person_Years55To64_Female_Urban","[]","[]","17","[]","[]"
"2003","Count_Person_Years3To6_Rural","[]","[]","17","[]","[]"
"2003","Count_Person_45To54Years_Male","[]","[]","17","[]","[]"
"2003","Count_Person_Female","[]","[]","17","[]","[]"
"2003","Count_Person_Years7To12_Male_Rural","[]","[]","17","[]","[]"
"2003","Count_Person_25To34Years_Male","[]","[]","17","[]","[]"
