Disease,American Indian or  Alaska Native,American Indian or  Alaska Native,Asian or Pacific  Islander,Asian or Pacific  Islander,Black,Black,White,White,Other Race,Race not stated,Total
Ehrlichia chaffeensis  infection,2,0.05,37,0.18,71,0.15,1094,0.45,48,841,2093
Ehrlichia ewingii  infection,—,—,3,0.01,—,—,12,0.00,1,27,43
Undetermined ehrlichiosis/anaplasmosis,2,0.05,4,0.02,7,0.02,116,0.05,3,53,185
Giardiasis,77,2.09,470,2.53,1004,2.85,7538,3.78,1893,3878,14860
Gonorrhea,9225,192.78,8792,40.30,238768,512.38,183395,71.91,38842,137370,616392
"Haemophilus influenzae,  invasive disease",,,,,,,,,,,
"All ages, all serotypes",70,1.46,94,0.43,813,1.74,3966,1.56,262,938,6143
Age <5 years,,,,,,,,,,,
Serotype b,S,S,S,S,S,S,S,S,S,S,18
Non-b serotype,17,4.52,6,0.49,37,1.11,108,0.74,14,31,213
Nontypeable,1,0.27,5,0.40,37,1.11,100,0.68,16,41,200
Unknown serotype,6,1.60,10,0.81,36,1.08,119,0.81,21,62,254
Hansen's disease,1,0.03,7,0.04,2,0.00,39,0.02,7,21,77
"Hantavirus infection, non-hantavirus pulmonary syndrome  ††",S,S,S,S,S,S,S,S,S,S,3
Hantavirus pulmonary syndrome,S,S,S,S,S,S,S,S,S,S,18
Hemolytic uremic syndrome post-diarrheal,3,0.07,22,0.10,13,0.03,271,0.11,57,26,392
Hepatitis  §§,,,,,,,,,,,
"A, acute",61,1.27,142,0.65,1094,2.35,14229,5.58,844,2476,18846
"B, acute",18,0.38,70,0.32,416,0.90,2379,0.94,184,477,3544
"B, perinatal infection",S,S,S,S,S,S,S,S,S,S,19
"C, acute",98,2.33,46,0.22,302,0.68,3926,1.60,322,785,5479
Confirmed,88,2.10,38,0.18,269,0.61,2822,1.15,281,638,4136
Probable,10,0.24,8,0.04,33,0.07,1104,0.45,41,147,1343
"C, perinatal infection",1,0.48,4,0.61,11,0.62,111,1.45,16,74,217
Human immunodeficiency virus diagnoses,202,4.22,657,3.01,13954,29.94,8168,3.20,8742,—,31723
Influenza-associated pediatric mortality,5,0.36,11,0.24,30,0.25,84,0.15,4,26,160
Invasive pneumococcal disease  ¶¶,,,,,,,,,,,
All ages,295,9.87,272,2.16,3077,8.03,11748,6.15,802,3757,19951
Confirmed,291,9.74,266,2.11,3052,7.96,11614,6.08,776,3690,19689
Probable,4,0.13,6,0.05,25,0.07,134,0.07,26,67,262
Age <5 years,16,0.45,25,0.18,269,0.66,515,0.25,56,234,1115
Confirmed,15,5.29,23,2.87,267,9.14,498,4.26,56,232,1091
Probable,1,0.35,2,0.25,2,0.07,17,0.15,—,2,24
Legionellosis,25,0.52,159,0.73,1763,3.78,5483,2.15,494,966,8890
Leptospirosis,—,—,14,0.07,5,0.01,49,0.02,13,13,94
Listeriosis  ***,,,,,,,,,,,
Total,3,0.06,77,0.35,81,0.17,574,0.23,68,125,928
Confirmed,2,0.04,72,0.33,76,0.16,547,0.21,65,118,880
Probable,1,0.02,5,0.02,5,0.01,27,0.01,3,7,48
Lyme disease,,,,,,,,,,,
Total,92,1.93,492,2.36,373,0.80,18601,7.31,572,14815,34945
Confirmed,58,1.21,342,1.64,218,0.47,12404,4.87,417,10014,23453
Probable,34,0.71,150,0.72,155,0.33,6197,2.43,155,4801,11492
Malaria,2,0.04,66,0.30,1258,2.70,205,0.08,117,288,1936
Measles  †††,,,,,,,,,,,
Total,1,0.02,32,0.15,5,0.01,485,0.19,7,745,1275
Indigenous,1,0.02,16,0.07,4,0.01,441,0.17,5,725,1192
Imported,—,—,16,0.07,1,0.00,44,0.02,2,20,83
Meningococcal disease,,,,,,,,,,,
All serogroups,4,0.08,8,0.04,60,0.13,228,0.09,17,54,371
Serogroups ACWY,4,0.08,2,0.01,20,0.04,90,0.04,8,15,139
Serogroup B,—,—,4,0.02,10,0.02,39,0.02,1,6,60
Other serogroups,—,—,—,—,8,0.02,15,0.01,1,—,24
Unknown serogroup,—,—,2,0.01,22,0.05,84,0.03,7,33,148
Mumps,15,0.31,219,1.00,166,0.36,2020,0.79,154,1206,3780
Novel Influenza A virus infections,S,S,S,S,S,S,S,S,S,S,1
Pertussis,154,3.22,389,1.78,760,1.63,12494,4.90,783,4037,18617
Plague,S,S,S,S,S,S,S,S,S,S,1
"Poliomyelitis, paralytic",—,—,—,—,—,—,—,—,—,—,—
"Poliovirus infection, nonparalytic",—,—,—,—,—,—,—,—,—,—,—
Psittacosis,S,S,S,S,S,S,S,S,S,S,4
Q fever,,,,,,,,,,,
Total,1,0.02,6,0.03,4,0.01,136,0.05,20,45,212
Acute,1,0.02,5,0.02,4,0.01,113,0.04,20,35,178
Chronic,—,—,1,0.00,—,—,23,0.01,—,10,34
Rabies,,,,,,,,,,,
Human,—,—,—,—,—,—,—,—,—,—,—
Rubella,S,S,S,S,S,S,S,S,S,S,6
"Rubella, congenital syndrome",S,S,S,S,S,S,S,S,S,S,1
Salmonella  Paratyphi infection  §§§,2,0.04,56,0.26,6,0.01,41,0.02,19,31,155
Salmonella  Typhi infection  ¶¶¶,5,0.10,163,0.75,19,0.04,78,0.03,70,74,409
Salmonellosis (excluding  S.  Typhi infection and  S.  Paratyphi infection)  ****,357,7.46,2507,11.49,5027,10.79,35774,14.03,4631,10075,58371
Severe acute respiratory syndrome-associated coronavirus disease,—,—,—,—,—,—,—,—,—,—,—
Shiga toxin-producing  Escherichia coli  (STEC),109,2.28,545,2.50,845,1.81,11090,4.35,1756,2594,16939
Shigellosis,110,2.30,678,3.11,2764,5.93,10016,3.93,1988,3018,18574
Smallpox,—,—,—,—,—,—,—,—,—,—,—
Spotted fever rickettsiosis,,,,,,,,,,,
Total,45,0.97,213,1.02,165,0.35,2737,1.08,73,1974,5207
Confirmed,9,0.19,4,0.02,2,0.00,75,0.03,—,38,128
Probable,36,0.77,209,1.00,163,0.35,2662,1.05,73,1936,5079
Streptococcal toxic shock syndrome,3,0.11,20,0.18,61,0.19,273,0.17,19,40,416
Syphilis,,,,,,,,,,,
"Total, all stages  ††††",1649,34.46,3315,15.20,42619,91.46,58800,23.06,10908,12522,129813
Congenital,61,146.11,35,12.47,641,101.00,952,34.12,65,116,1870
Primary and secondary,551,11.51,1044,4.79,12786,27.44,18372,7.20,2915,3324,38992
Tetanus,—,—,2,0.01,2,0.00,16,0.01,1,5,26
Toxic shock syndrome (other than Streptococcal),—,—,1,0.01,1,0.00,19,0.01,1,22,44
Trichinellosis,S,S,S,S,S,S,S,S,S,S,7
Tuberculosis,100,2.09,3170,14.53,1800,3.86,3536,1.39,170,140,8916
Tularemia,18,0.38,4,0.02,9,0.02,136,0.05,11,96,274
Vancomycin-intermediate  Staphylococcus aureus,—,—,5,0.04,16,0.04,39,0.02,2,14,76
Vancomycin-resistant  Staphylococcus aureus,S,S,S,S,S,S,S,S,S,S,3
Varicella morbidity,44,1.21,758,4.07,646,1.69,3866,1.86,498,2485,8297
Varicella mortality,U,U,U,U,U,U,U,U,U,U,U
Vibriosis,,,,,,,,,,,
Total,15,0.32,138,0.64,209,0.45,1746,0.70,229,514,2851
Confirmed,8,0.17,83,0.38,106,0.23,1047,0.42,125,282,1651
Probable,7,0.15,55,0.25,103,0.22,699,0.28,104,232,1200
Viral hemorrhagic fevers,,,,,,,,,,,
Crimean-Congo hemorrhagic fever virus,—,—,—,—,—,—,—,—,—,—,—
Ebola virus,—,—,—,—,—,—,—,—,—,—,—
Guanarito virus,—,—,—,—,—,—,—,—,—,—,—
Junin virus,—,—,—,—,—,—,—,—,—,—,—
Lassa virus,—,—,—,—,—,—,—,—,—,—,—
Lujo virus,—,—,—,—,—,—,—,—,—,—,—
Machupo virus,—,—,—,—,—,—,—,—,—,—,—
Marburg virus,—,—,—,—,—,—,—,—,—,—,—
Sabia virus,—,—,—,—,—,—,—,—,—,—,—
Yellow fever,—,—,—,—,—,—,—,—,—,—,—
Zika virus,,,,,,,,,,,
"Zika virus disease, congenital  §§§§",—,—,—,—,—,—,—,—,—,—,—
"Zika virus disease, non-congenital",—,—,2,0.01,—,—,7,0.00,4,15,28
"Zika virus infection, congenital  §§§§",—,—,—,—,—,—,—,—,—,—,—
"Zika virus infection, non-congenital",2,0.04,8,0.04,13,0.03,66,0.03,8,80,177
