"Poliovirus infection, nonparalytic",—,—,—,—,—,—
Psittacosis,3,0.00,1,0.00,—,4
Q fever,,,,,,
Total,44,0.03,164,0.10,4,212
Acute,38,0.02,137,0.09,3,178
Chronic,6,0.00,27,0.02,1,34
Rabies,,,,,,
Human,—,—,—,—,—,—
Rubella,3,0.00,3,0.00,—,6
"Rubella, congenital syndrome",—,—,1,0.05,—,1
Salmonella  Paratyphi infection  ***,68,0.04,86,0.05,1,155
Salmonella  Typhi infection  †††,191,0.11,218,0.13,—,409
Salmonellosis (excluding  S.  Typhi infection and  S.  Paratyphi infection)  §§§,30396,18.25,27355,16.92,620,58371
Severe acute respiratory syndrome-associated coronavirus disease,—,—,—,—,—,—
Shiga toxin-producing  Escherichia coli  (STEC),9400,5.64,7429,4.60,110,16939
Shigellosis,7611,4.57,10798,6.68,165,18574
Smallpox,—,—,—,—,—,—
Spotted fever rickettsiosis,,,,,,
Total,1683,1.02,3441,2.14,83,5207
Confirmed,40,0.02,85,0.05,3,128
Probable,1643,0.99,3356,2.09,80,5079
Streptococcal toxic shock syndrome,187,0.17,227,0.22,2,416
Syphilis,,,,,,
"Total, all stages  ¶¶¶",28172,16.91,99240,61.39,2401,129813
Congenital,—,—,—,—,1870,1870
Primary and secondary,6493,3.90,32402,20.04,97,38992
Tetanus,10,0.01,16,0.01,—,26
Toxic shock syndrome (other than Streptococcal),28,0.02,16,0.01,—,44
Trichinellosis,2,0.00,5,0.00,—,7
Tuberculosis,3555,2.13,5361,3.32,—,8916
Tularemia,96,0.06,175,0.11,3,274
Vancomycin-intermediate  Staphylococcus aureus,33,0.03,42,0.03,1,76
Vancomycin-resistant  Staphylococcus aureus,1,0.00,2,0.00,—,3
Varicella morbidity,3456,2.54,4377,3.31,464,8297
Varicella mortality,U,U,U,U,U,U
Vibriosis,,,,,,
Total,1117,0.68,1711,1.07,23,2851
Confirmed,511,0.31,1123,0.71,17,1651
Probable,606,0.37,588,0.37,6,1200
Viral hemorrhagic fevers,,,,,,
Crimean-Congo hemorrhagic fever virus,—,—,—,—,—,—
Ebola virus,—,—,—,—,—,—
Guanarito virus,—,—,—,—,—,—
Junin virus,—,—,—,—,—,—
Lassa virus,—,—,—,—,—,—
Lujo virus,—,—,—,—,—,—
Machupo virus,—,—,—,—,—,—
Marburg virus,—,—,—,—,—,—
Sabia virus,—,—,—,—,—,—
Yellow fever,—,—,—,—,—,—
Zika virus,,,,,,
"Zika virus disease, congenital  ****",—,—,—,—,—,—
"Zika virus disease, non-congenital",20,0.01,8,0.00,—,28
"Zika virus infection, congenital  ****",—,—,—,—,—,—
"Zika virus infection, non-congenital",168,0.10,9,0.01,—,177
