Rubella,4,0.00,3,0.00,—,7
"Rubella, congenital syndrome  *",2,0.10,3,0.15,—,5
Salmonellosis,28850,17.45,25195,15.71,240,54285
Severe acute respiratory syndrome-associated coronavirus disease,—,—,—,—,—,—
Shiga toxin-producing  Escherichia coli  ***,4527,2.74,4127,2.57,18,8672
Shigellosis,6628,4.01,8232,5.13,52,14912
Smallpox,—,—,—,—,—,—
Spotted fever rickettsiosis,,,,,,
Total,2289,1.39,3956,2.48,3,6248
Confirmed,64,0.04,112,0.07,—,176
Probable,2225,1.35,3844,2.41,3,6072
Streptococcal toxic shock syndrome,167,0.16,205,0.20,—,372
Syphilis,,,,,,
"Total, all stages",18146,10.98,82314,51.32,1107,101567
Congenital  *,—,—,—,—,918,918
Primary and secondary,3722,2.25,26885,16.76,37,30644
Tetanus,17,0.01,16,0.01,—,33
Toxic shock syndrome (other than Streptococcal),20,0.02,9,0.01,1,30
Trichinellosis,5,0.00,10,0.01,—,15
Tuberculosis,3515,2.13,5584,3.48,6,9105
Tularemia,94,0.06,145,0.09,—,239
Typhoid fever,191,0.12,227,0.14,1,419
Vancomycin-intermediate  Staphylococcus aureus,43,0.03,65,0.05,1,109
Vancomycin-resistant  Staphylococcus aureus,—,—,3,0.00,—,3
Varicella morbidity,4281,3.17,4446,3.39,48,8775
Varicella mortality,U,U,U,U,U,U
Vibriosis,,,,,,
Total,812,0.50,1266,0.80,7,2085
Confirmed,525,0.32,965,0.61,7,1497
Probable,287,0.18,301,0.19,—,588
Viral hemorrhagic fevers,,,,,,
Crimean-Congo hemorrhagic fever virus,—,—,—,—,—,—
Ebola virus,—,—,—,—,—,—
Guanarito virus,—,—,—,—,—,—
Junin virus,—,—,—,—,—,—
Lassa virus,—,—,—,—,—,—
Lujo virus,—,—,—,—,—,—
Machupo virus,—,—,—,—,—,—
Marburg virus,—,—,—,—,—,—
Sabia virus,—,—,—,—,—,—
Yellow fever,—,—,—,—,—,—
Zika virus,,,,,,
"Zika virus disease, congenital  *,†††",7,0.36,15,0.74,—,22
"Zika virus disease, non-congenital",324,0.20,173,0.11,—,497
"Zika virus infection, congenital  *,†††",8,0.42,9,0.45,—,17
"Zika virus infection, non-congenital",599,0.36,42,0.03,—,641
