Disease,<1 yr,<1 yr,1-4 yrs,1-4 yrs,5-14 yrs,5-14 yrs,15-24 yrs,15-24 yrs,25-39 yrs,25-39 yrs,40-64 yrs,40-64 yrs,≥65 yrs,≥65 yrs,Age not stated,Total
All ages,374,13.09,691,5.82,494,1.62,319,1.00,1599,3.23,8236,10.63,8130,20.46,14,19857
Confirmed,357,12.49,673,5.67,468,1.53,310,0.97,1575,3.18,8162,10.54,8060,20.28,14,19619
Probable,17,0.59,18,0.15,26,0.09,9,0.03,24,0.05,74,0.10,70,0.18,—,238
Age <5 years,395,12.83,721,5.64,—,—,—,—,—,—,—,—,—,—,—,1116
Confirmed,375,12.18,703,5.50,—,—,—,—,—,—,—,—,—,—,—,1078
Probable,20,0.65,18,0.14,—,—,—,—,—,—,—,—,—,—,—,38
Legionellosis,1,0.03,—,—,3,0.01,82,0.19,704,1.05,4890,4.72,4250,8.11,3,9933
Leptospirosis,—,—,—,—,4,0.01,21,0.06,22,0.04,40,0.05,4,0.01,—,91
Listeriosis,42,1.09,5,0.03,2,0.00,22,0.05,85,0.13,199,0.19,509,0.97,—,864
Lyme disease,,,,,,,,,,,,,,,,
Total,27,0.70,1149,7.23,5089,12.44,2938,6.86,4337,6.48,11738,11.38,8339,15.98,49,33666
Confirmed,20,0.52,966,6.08,3925,9.60,1893,4.42,2908,4.34,8272,8.02,5540,10.62,34,23558
Probable,7,0.18,183,1.15,1164,2.85,1045,2.44,1429,2.13,3466,3.36,2799,5.37,15,10108
Malaria,5,0.13,57,0.36,161,0.39,241,0.56,469,0.70,685,0.66,130,0.25,—,1748
Measles,,,,,,,,,,,,,,,,
Total,44,1.14,117,0.73,83,0.20,56,0.13,36,0.05,39,0.04,—,—,—,375
Indigenous,35,0.91,96,0.60,72,0.18,40,0.09,24,0.04,29,0.03,—,—,—,296
Imported,9,0.23,21,0.13,11,0.03,16,0.04,12,0.02,10,0.01,—,—,—,79
Meningococcal disease,,,,,,,,,,,,,,,,
All serogroups,32,0.83,29,0.18,14,0.03,41,0.10,47,0.07,92,0.09,72,0.14,—,327
Serogroups ACWY,5,0.13,10,0.06,5,0.01,1,0.00,17,0.03,34,0.03,28,0.05,—,100
Serogroup B,16,0.42,9,0.06,3,0.01,16,0.04,7,0.01,17,0.02,13,0.02,—,81
Other serogroups,2,0.05,—,—,2,0.00,5,0.01,6,0.01,3,0.00,5,0.01,—,23
Unknown serogroup,9,0.23,10,0.06,4,0.01,19,0.04,17,0.03,38,0.04,26,0.05,—,123
Mumps,15,0.39,142,0.89,334,0.81,720,1.68,769,1.14,444,0.43,87,0.17,4,2515
Novel Influenza A virus infections,—,—,1,0.01,3,0.01,2,0.00,—,—,—,—,—,—,8,14
Paratyphoid fever  **,—,—,10,0.06,20,0.05,19,0.04,37,0.06,35,0.03,12,0.02,—,133
Pertussis,1995,51.84,2431,15.23,4742,11.54,3212,7.47,925,1.38,1629,1.57,652,1.24,23,15609
Plague,—,—,—,—,1,0.00,—,—,—,—,—,—,—,—,—,1
"Poliomyelitis, paralytic",—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
"Poliovirus infection, nonparalytic",—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Psittacosis,—,—,—,—,—,—,1,0.00,6,0.01,10,0.01,5,0.01,—,22
Q fever,,,,,,,,,,,,,,,,
Total,—,—,—,—,3,0.01,12,0.03,24,0.04,109,0.11,67,0.13,—,215
Acute,—,—,—,—,2,0.00,10,0.02,19,0.03,95,0.09,52,0.10,—,178
Chronic,—,—,—,—,1,0.00,2,0.00,5,0.01,14,0.01,15,0.03,—,37
Rabies,,,,,,,,,,,,,,,,
Human,—,—,—,—,1,0.00,—,—,—,—,1,0.00,1,0.00,—,3
Rubella,1,0.03,—,—,—,—,—,—,3,0.00,—,—,—,—,—,4
"Rubella, congenital syndrome",—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Salmonellosis (excluding paratyphoid fever and typhoid fever)  ††,5540,143.96,7845,49.15,5971,14.54,5410,12.59,9069,13.48,16357,15.79,10747,20.50,60,60999
Severe acute respiratory syndrome-associated coronavirus disease,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Shiga toxin-producing  Escherichia coli  (STEC),600,15.59,2895,18.14,1853,4.51,2274,5.29,2627,3.91,3223,3.11,2486,4.74,38,15996
Shigellosis,252,6.55,2766,17.33,2497,6.08,1474,3.43,3842,5.71,4031,3.89,1393,2.66,78,16333
Smallpox,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Spotted fever rickettsiosis,,,,,,,,,,,,,,,,
Total,2,0.05,69,0.44,233,0.57,405,0.95,1013,1.52,2545,2.47,1275,2.45,2,5544
Confirmed,—,—,5,0.03,7,0.02,2,0.00,20,0.03,59,0.06,31,0.06,—,124
Probable,2,0.05,64,0.40,226,0.55,403,0.94,993,1.49,2486,2.41,1244,2.39,2,5420
Streptococcal toxic shock syndrome,4,0.16,6,0.06,13,0.05,14,0.05,52,0.12,153,0.23,129,0.38,—,371
Syphilis,,,,,,,,,,,,,,,,
"Total, all stages  §§",1311,34.07,3,0.02,57,0.14,21790,50.71,57325,85.23,32307,31.18,2225,4.24,27,115045
Congenital,1306,34.44,—,—,—,—,—,—,—,—,—,—,—,—,—,1306
Primary and secondary,—,—,2,0.01,20,0.05,7758,18.05,17819,26.49,9017,8.70,437,0.83,10,35063
Tetanus,—,—,—,—,1,0.00,5,0.01,4,0.01,5,0.00,3,0.01,5,23
Toxic shock syndrome (other than Streptococcal),—,—,2,0.02,13,0.05,12,0.04,1,0.00,2,0.00,3,0.01,—,33
Trichinellosis,—,—,—,—,—,—,—,—,—,—,1,0.00,—,—,—,1
Tuberculosis,48,1.25,138,0.86,186,0.45,874,2.03,2094,3.11,3328,3.21,2354,4.49,3,9025
Tularemia,—,—,5,0.03,28,0.07,15,0.03,39,0.06,92,0.09,50,0.10,—,229
Typhoid fever,2,0.05,42,0.26,76,0.19,77,0.18,113,0.17,73,0.07,18,0.03,—,401
Vancomycin-intermediate  Staphylococcus aureus,—,—,1,0.01,1,0.00,3,0.01,6,0.01,33,0.04,41,0.10,—,85
Vancomycin-resistant  Staphylococcus aureus,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Varicella morbidity,754,23.83,1795,13.69,2738,8.13,769,2.18,840,1.52,651,0.77,127,0.30,527,8201
Varicella mortality,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U
Vibriosis,,,,,,,,,,,,,,,,
Total,29,0.77,69,0.44,151,0.37,192,0.45,551,0.83,1169,1.14,795,1.54,8,2964
Confirmed,3,0.08,24,0.15,114,0.28,108,0.26,347,0.52,750,0.73,475,0.92,1,1822
Probable,26,0.69,45,0.29,37,0.09,84,0.20,204,0.31,419,0.41,320,0.62,7,1142
Viral hemorrhagic fevers,,,,,,,,,,,,,,,,
Crimean-Congo hemorrhagic fever virus,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Ebola virus,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Guanarito virus,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Junin virus,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Lassa virus,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Lujo virus,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Machupo virus,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Marburg virus,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Sabia virus,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Yellow fever,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Zika virus,,,,,,,,,,,,,,,,
"Zika virus disease, congenital  ¶¶",2,0.05,—,—,—,—,—,—,—,—,—,—,—,—,—,2
"Zika virus disease, non-congenital",—,—,—,—,—,—,11,0.03,35,0.05,23,0.02,10,0.02,—,79
"Zika virus infection, congenital  ¶¶",7,0.18,—,—,—,—,—,—,—,—,—,—,—,—,—,7
"Zika virus infection, non-congenital",—,—,—,—,1,0.00,72,0.17,152,0.23,19,0.02,1,0.00,—,245
