Disease,<1 yr,<1 yr,1-4 yrs,1-4 yrs,5-14 yrs,5-14 yrs,15-24 yrs,15-24 yrs,25-39 yrs,25-39 yrs,40-64 yrs,40-64 yrs,≥65 yrs,≥65 yrs,Age not stated,Total
Salmonellosis,5278,133.98,7138,44.61,5418,13.19,5018,11.60,7723,11.60,14219,13.67,9223,18.13,268,54285
Severe acute respiratory syndrome-associated coronavirus disease,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Shiga toxin-producing  Escherichia coli  ***,309,7.84,1860,11.63,1383,3.37,1654,3.82,1268,1.90,1209,1.16,921,1.81,68,8672
Shigellosis,226,5.74,3036,18.98,2876,7.00,1339,3.10,3048,4.58,3204,3.08,1078,2.12,105,14912
Smallpox,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Spotted fever rickettsiosis,,,,,,,,,,,,,,,,
Total,2,0.05,68,0.43,286,0.70,488,1.14,1209,1.83,2787,2.70,1402,2.77,6,6248
Confirmed,—,—,7,0.04,7,0.02,6,0.01,37,0.06,84,0.08,35,0.07,—,176
Probable,2,0.05,61,0.38,279,0.68,482,1.12,1172,1.77,2703,2.62,1367,2.71,6,6072
Streptococcal toxic shock syndrome,4,0.16,4,0.04,17,0.07,11,0.04,58,0.14,156,0.23,122,0.37,—,372
Syphilis,,,,,,,,,,,,,,,,
"Total, all stages",924,23.46,4,0.03,55,0.13,19761,45.69,49521,74.38,29296,28.17,1972,3.88,34,101567
Congenital  *,918,23.30,—,—,—,—,—,—,—,—,—,—,—,—,—,918
Primary and secondary,3,0.08,2,0.01,21,0.05,7001,16.19,15288,22.96,7967,7.66,349,0.69,13,30644
Tetanus,—,—,—,—,3,0.01,—,—,5,0.01,6,0.01,7,0.01,12,33
Toxic shock syndrome (other than Streptococcal),—,—,2,0.02,15,0.05,5,0.02,1,0.00,3,0.00,4,0.01,—,30
Trichinellosis,—,—,—,—,—,—,1,0.00,6,0.01,5,0.01,3,0.01,—,15
Tuberculosis,53,1.35,175,1.09,201,0.49,847,1.96,2162,3.25,3354,3.22,2305,4.53,8,9105
Tularemia,1,0.03,10,0.06,39,0.09,11,0.03,35,0.05,100,0.10,43,0.08,—,239
Typhoid fever,2,0.05,49,0.31,94,0.23,57,0.13,123,0.18,77,0.07,16,0.03,1,419
Vancomycin-intermediate  Staphylococcus aureus,—,—,2,0.02,1,0.00,6,0.02,15,0.03,39,0.05,46,0.12,—,109
Vancomycin-resistant  Staphylococcus aureus,—,—,—,—,—,—,—,—,—,—,1,0.00,2,0.00,—,3
Varicella morbidity,724,22.34,1881,14.31,3039,9.02,867,2.45,836,1.53,633,0.75,110,0.27,685,8775
Varicella mortality,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U
Vibriosis,,,,,,,,,,,,,,,,
Total,18,0.46,44,0.28,141,0.35,124,0.29,360,0.55,830,0.81,560,1.12,8,2085
Confirmed,4,0.10,20,0.13,123,0.30,90,0.21,258,0.39,617,0.60,379,0.76,6,1497
Probable,14,0.36,24,0.15,18,0.04,34,0.08,102,0.16,213,0.21,181,0.36,2,588
Viral hemorrhagic fevers,,,,,,,,,,,,,,,,
Crimean-Congo hemorrhagic fever virus,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Ebola virus,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Guanarito virus,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Junin virus,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Lassa virus,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Lujo virus,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Machupo virus,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Marburg virus,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Sabia virus,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Yellow fever,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Zika virus,,,,,,,,,,,,,,,,
"Zika virus disease, congenital  *,†††",22,0.56,—,—,—,—,—,—,—,—,—,—,—,—,—,22
"Zika virus disease, non-congenital",—,—,4,0.03,15,0.04,84,0.19,172,0.26,183,0.18,39,0.08,—,497
"Zika virus infection, congenital  *,†††",17,0.43,—,—,—,—,—,—,—,—,—,—,—,—,—,17
"Zika virus infection, non-congenital",—,—,—,—,—,—,193,0.45,411,0.62,33,0.03,4,0.01,—,641
