Disease,Jan.,Feb.,Mar.,Apr.,May,June,July,Aug.,Sept.,Oct.,Nov.,Dec.,Unknown,Total
Chlamydia trachomatis  infection,121687,131274,131494,162492,132119,124608,161548,140581,167506,141332,125923,168005,—,1708569
Cholera,—,1,1,1,1,—,3,3,—,—,—,—,—,10
Coccidioidomycosis  †,866,742,661,866,766,789,1209,1131,1537,1568,1751,2478,—,14364
Cryptosporidiosis,,,,,,,,,,,,,,
Total,449,463,585,828,594,710,1229,1666,1852,1186,801,1051,—,11414
Confirmed,343,331,397,546,374,500,859,1236,1398,845,544,670,—,8043
Probable,106,132,188,282,220,210,370,430,454,341,257,381,—,3371
Cyclosporiasis,5,2,5,7,41,210,439,361,71,21,7,25,—,1194
Dengue virus infections  §,,,,,,,,,,,,,,
Dengue,32,17,13,9,14,22,58,59,70,57,48,38,—,437
Dengue-like illness,—,—,—,1,1,1,—,2,1,1,—,1,—,8
Severe dengue,1,—,—,—,2,—,2,2,—,1,—,1,—,9
Diphtheria,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Ehrlichiosis and Anaplasmosis,,,,,,,,,,,,,,
Anaplasma phagocytophilum  infection,18,28,54,206,667,1261,1590,510,343,340,485,260,—,5762
Ehrlichia chaffeensis  infection,6,12,9,63,175,268,387,232,196,91,48,155,—,1642
Ehrlichia ewingii  infection,1,—,—,1,4,8,19,9,1,1,—,1,—,45
Undetermined ehrlichiosis/anaplasmosis,2,2,4,12,22,40,77,34,34,18,12,12,—,269
Giardiasis,914,913,980,1244,1021,1015,1583,1527,1841,1249,987,1919,—,15193
Gonorrhea,38343,38974,39784,49829,41064,41445,54817,46444,56307,47209,42980,58412,—,555608
"Haemophilus influenzae,  invasive disease",,,,,,,,,,,,,,
"All ages, all serotypes",466,442,428,543,415,435,494,290,411,387,410,827,—,5548
Age <5 years,,,,,,,,,,,,,,
Serotype b,1,—,1,5,2,4,4,1,3,2,3,7,—,33
Non-b serotype,14,23,20,14,13,16,15,11,14,10,14,25,—,189
Nontypeable,17,18,18,22,15,16,17,6,12,9,14,36,—,200
Unknown serotype,14,19,15,26,15,13,22,14,10,13,19,23,—,203
Hansen's disease,8,3,9,12,8,10,10,4,10,9,4,7,—,94
"Hantavirus infection, non-hantavirus pulmonary syndrome",1,—,—,—,—,—,—,—,—,—,—,1,—,2
Hantavirus pulmonary syndrome,—,2,1,3,5,4,3,1,4,3,—,7,—,33
Hemolytic uremic syndrome post-diarrheal,12,16,19,30,23,24,56,28,47,26,26,31,—,338
Hepatitis  ¶,,,,,,,,,,,,,,
"A, acute",104,145,166,230,238,246,361,391,449,323,289,423,—,3365
"B, acute",229,228,324,342,266,250,318,239,336,271,220,386,—,3409
"B, perinatal infection",2,2,3,4,1,2,2,2,3,4,3,3,—,31
"C, acute",284,329,341,389,347,326,393,327,390,273,312,514,—,4225
Confirmed,227,252,258,288,275,253,304,240,298,211,237,370,—,3213
Probable,57,77,83,101,72,73,89,87,92,62,75,144,—,1012
Human immunodeficiency virus diagnoses,3288,3059,3336,3063,3294,3360,3231,3327,2742,2815,1981,437,5,33938
Influenza-associated pediatric mortality,15,24,21,33,9,2,4,—,3,3,4,8,—,126
Invasive pneumococcal disease  **,,,,,,,,,,,,,,
All ages,1991,2122,2045,2278,1508,1269,915,634,1147,1093,1475,3303,—,19780
Confirmed,1979,2110,2030,2255,1497,1256,913,626,1133,1082,1465,3274,—,19620
Probable,12,12,15,23,11,13,2,8,14,11,10,29,—,160
Age <5 years,80,110,129,128,105,83,60,53,95,89,115,187,—,1234
Confirmed,80,108,127,128,104,82,60,52,92,89,114,184,—,1220
Probable,—,2,2,—,1,1,—,1,3,—,1,3,—,14
Legionellosis,371,315,251,410,538,645,1274,857,980,705,573,539,—,7458
Leptospirosis,4,7,3,8,6,2,9,6,8,2,7,10,—,72
Listeriosis,48,48,51,58,52,68,105,102,113,82,60,100,—,887
Lyme disease,,,,,,,,,,,,,,
Total,1134,1032,1170,1863,2582,5647,11472,6481,4467,2579,2063,2253,—,42743
Confirmed,726,644,711,1141,1635,3964,8489,4671,3028,1724,1337,1443,—,29513
Probable,408,388,459,722,947,1683,2983,1810,1439,855,726,810,—,13230
Malaria,120,105,65,138,162,189,288,293,260,163,102,171,—,2056
Measles,,,,,,,,,,,,,,
Total,15,3,7,33,41,8,5,1,2,—,—,5,—,120
Indigenous,10,2,2,33,39,7,3,—,1,—,—,2,—,99
Imported,5,1,5,—,2,1,2,1,1,—,—,3,—,21
Meningococcal disease,,,,,,,,,,,,,,
All serogroups,34,29,34,35,32,18,22,17,26,28,32,46,—,353
Serogroups ACWY,11,5,10,9,13,2,5,4,7,10,14,17,—,107
Serogroup B,8,8,11,7,6,2,8,1,9,6,13,11,—,90
Other serogroups,3,2,1,4,1,4,—,1,2,1,1,5,—,25
Unknown serogroup,12,14,12,15,12,10,9,11,8,11,4,13,—,131
Mumps,619,669,652,631,469,324,293,232,328,306,341,1245,—,6109
Novel Influenza A virus infections,—,—,—,1,—,—,12,8,34,9,1,1,—,66
Pertussis,1137,1113,1190,1769,1670,1500,1961,1391,1496,1132,1637,2979,—,18975
Plague,—,—,—,1,1,2,1,—,—,—,—,—,—,5
"Poliomyelitis, paralytic",—,—,—,—,—,—,—,—,—,—,—,—,—,—
"Poliovirus infection, nonparalytic",—,—,—,—,—,—,—,—,—,—,—,—,—,—
Psittacosis,1,—,1,—,1,—,—,—,1,—,1,—,—,5
Q fever,,,,,,,,,,,,,,
Total,9,8,12,28,23,17,25,17,10,11,16,17,—,193
Acute,7,6,6,24,18,14,23,12,7,10,14,12,—,153
Chronic,2,2,6,4,5,3,2,5,3,1,2,5,—,40
Rabies,,,,,,,,,,,,,,
Animal,208,201,386,365,447,397,440,593,535,408,258,180,5,4423
Human,—,—,—,—,1,—,—,—,—,—,1,—,—,2
Rubella,—,—,1,2,—,—,1,—,—,1,—,2,—,7
"Rubella, congenital syndrome",—,2,1,—,—,—,—,—,—,—,—,2,—,5
Salmonellosis,2148,2185,2406,4066,3810,4763,7488,6464,6926,5143,3813,5073,—,54285
Severe acute respiratory syndrome-associated coronavirus disease,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Shiga toxin-producing  Escherichia coli  ††,313,342,358,739,617,775,1128,1014,1028,755,606,997,—,8672
Shigellosis,989,1054,946,1210,1132,1201,1511,1348,1534,1203,1108,1676,—,14912
Smallpox,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Spotted fever rickettsiosis,,,,,,,,,,,,,,
Total,43,64,103,353,577,1062,1364,929,745,385,189,434,—,6248
Confirmed,4,2,5,21,22,24,31,29,14,6,3,15,—,176
Probable,39,62,98,332,555,1038,1333,900,731,379,186,419,—,6072
Streptococcal toxic shock syndrome,32,33,35,57,51,31,24,12,16,13,23,45,—,372
Syphilis,,,,,,,,,,,,,,
"Total, all stages",6751,7730,8018,9893,7992,7757,9388,8190,9663,8265,7512,10408,—,101567
Congenital,74,63,67,67,68,69,91,84,72,98,77,88,—,918
Primary and secondary,2096,2310,2352,2934,2346,2295,2875,2489,3016,2507,2315,3109,—,30644
Tetanus,3,5,3,3,3,1,5,4,4,2,—,—,—,33
Toxic shock syndrome (other than Streptococcal),—,3,1,8,1,3,3,2,4,—,3,2,—,30
Trichinellosis,3,—,1,3,6,—,—,—,—,1,—,1,—,15
Tuberculosis,504,624,801,686,803,799,748,846,737,779,687,1091,—,9105
Tularemia,1,5,3,14,25,31,38,25,33,14,21,29,—,239
Typhoid fever,41,20,23,37,22,19,46,42,53,52,19,45,—,419
Vancomycin-intermediate  Staphylococcus aureus,5,13,7,9,2,9,13,7,16,6,12,10,—,109
Vancomycin-resistant  Staphylococcus aureus,—,1,—,—,—,—,—,—,1,1,—,—,—,3
Varicella morbidity,676,740,781,960,748,513,566,495,831,772,778,915,—,8775
Varicella mortality,—,—,—,—,—,—,—,1,—,—,—,1,—,2
Vibriosis,,,,,,,,,,,,,,
Total,60,61,81,145,126,158,333,277,273,194,129,248,—,2085
Confirmed,45,39,54,95,85,111,271,209,203,135,75,175,—,1497
Probable,15,22,27,50,41,47,62,68,70,59,54,73,—,588
Viral hemorrhagic fevers,,,,,,,,,,,,,,
Crimean-Congo hemorrhagic fever virus,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Ebola virus,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Guanarito virus,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Junin virus,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Lassa virus,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Lujo virus,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Machupo virus,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Marburg virus,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Sabia virus,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Yellow fever,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Zika virus,,,,,,,,,,,,,,
"Zika virus disease, congenital  §§",7,4,2,3,1,2,—,—,—,2,1,—,—,22
"Zika virus disease, non-congenital",80,48,34,39,25,28,44,61,53,37,25,23,—,497
"Zika virus infection, congenital  §§",1,1,—,4,2,3,4,—,2,—,—,—,—,17
"Zika virus infection, non-congenital",61,59,44,79,71,63,70,34,43,36,35,46,—,641
