Disease,Female,Female,Male,Male,Sex not stated,Total
Nontypeable,97,1.00,123,1.21,2,222
Unknown serotype,72,0.74,102,1.01,1,175
Hansen's disease,30,0.02,43,0.03,17,90
"Hantavirus infection, non-hantavirus pulmonary syndrome",1,0.00,1,0.00,—,2
Hantavirus pulmonary syndrome,10,0.01,8,0.01,—,18
Hemolytic uremic syndrome post-diarrheal,220,0.14,156,0.10,—,376
Hepatitis  §,,,,,,
"A, acute",4951,2.98,7497,4.65,26,12474
"B, acute",1260,0.76,2050,1.28,12,3322
"B, perinatal infection",15,0.40,8,0.20,—,23
"C, acute",2058,1.31,2706,1.77,4,4768
Confirmed,1605,1.02,2012,1.32,4,3621
Probable,453,0.29,694,0.45,—,1147
"C, perinatal infection",117,0.08,97,0.07,—,214
Human immunodeficiency virus diagnoses,6286,3.79,26713,16.58,—,32999
Influenza-associated pediatric mortality,90,0.25,69,0.18,—,159
Invasive pneumococcal disease  ¶,,,,,,
All ages,9413,7.59,10328,8.61,116,19857
Confirmed,9291,7.49,10212,8.52,116,19619
Probable,122,0.10,116,0.10,—,238
Age <5 years,477,0.36,631,0.49,8,1116
Confirmed,463,5.97,607,7.48,8,1078
Probable,14,0.18,24,0.30,—,38
Legionellosis,3637,2.19,6289,3.90,7,9933
Leptospirosis,21,0.02,70,0.05,—,91
Listeriosis,452,0.27,406,0.25,6,864
Lyme disease,,,,,,
Total,14048,8.50,19092,11.90,526,33666
Confirmed,9708,5.87,13346,8.32,504,23558
Probable,4340,2.63,5746,3.58,22,10108
Malaria,659,0.40,1085,0.67,4,1748
Measles,,,,,,
Total,182,0.11,193,0.12,—,375
Indigenous,147,0.09,149,0.09,—,296
Imported,35,0.02,44,0.03,—,79
Meningococcal disease,,,,,,
All serogroups,161,0.10,166,0.10,—,327
Serogroups ACWY,46,0.03,54,0.03,—,100
Serogroup B,50,0.03,31,0.02,—,81
Other serogroups,10,0.01,13,0.01,—,23
Unknown serogroup,55,0.03,68,0.04,—,123
Mumps,1032,0.62,1477,0.92,6,2515
Novel Influenza A virus infections,5,0.00,9,0.01,—,14
Paratyphoid fever  **,70,0.04,63,0.04,—,133
Pertussis,8485,5.11,7064,4.38,60,15609
Plague,—,—,1,0.00,—,1
"Poliomyelitis, paralytic",—,—,—,—,—,—
"Poliovirus infection, nonparalytic",—,—,—,—,—,—
Psittacosis,9,0.01,13,0.01,—,22
Q fever,,,,,,
Total,46,0.03,168,0.10,1,215
Acute,38,0.02,140,0.09,—,178
Chronic,8,0.00,28,0.02,1,37
Rabies,,,,,,
Human,1,0.00,2,0.00,—,3
Rubella,1,0.00,3,0.00,—,4
"Rubella, congenital syndrome",—,—,—,—,—,—
Salmonellosis (excluding paratyphoid fever and typhoid fever)  ††,32510,19.58,28215,17.51,274,60999
Severe acute respiratory syndrome-associated coronavirus disease,—,—,—,—,—,—
Shiga toxin-producing  Escherichia coli  (STEC),8793,5.30,7160,4.44,43,15996
Shigellosis,6690,4.03,9587,5.95,56,16333
Smallpox,—,—,—,—,—,—
Spotted fever rickettsiosis,,,,,,
Total,1847,1.12,3690,2.31,7,5544
Confirmed,51,0.03,73,0.05,—,124
Probable,1796,1.09,3617,2.26,7,5420
Streptococcal toxic shock syndrome,180,0.17,191,0.19,—,371
Syphilis,,,,,,
"Total, all stages  §§",22118,13.32,91525,56.80,1402,115045
Congenital,—,—,—,—,1306,1306
Primary and secondary,4995,3.01,30034,18.64,34,35063
Tetanus,11,0.01,12,0.01,—,23
Toxic shock syndrome (other than Streptococcal),23,0.02,10,0.01,—,33
Trichinellosis,1,0.00,—,—,—,1
Tuberculosis,3476,2.09,5527,3.43,22,9025
Tularemia,80,0.05,149,0.09,—,229
Typhoid fever,192,0.12,209,0.13,—,401
Vancomycin-intermediate  Staphylococcus aureus,36,0.03,49,0.04,—,85
Vancomycin-resistant  Staphylococcus aureus,—,—,—,—,—,—
Varicella morbidity,3785,2.79,4377,3.32,39,8201
Varicella mortality,U,U,U,U,U,U
Vibriosis,,,,,,
Total,1239,0.76,1717,1.08,8,2964
Confirmed,639,0.39,1179,0.74,4,1822
Probable,600,0.37,538,0.34,4,1142
Viral hemorrhagic fevers,,,,,,
Crimean-Congo hemorrhagic fever virus,—,—,—,—,—,—
Ebola virus,—,—,—,—,—,—
Guanarito virus,—,—,—,—,—,—
Junin virus,—,—,—,—,—,—
Lassa virus,—,—,—,—,—,—
Lujo virus,—,—,—,—,—,—
Machupo virus,—,—,—,—,—,—
Marburg virus,—,—,—,—,—,—
Sabia virus,—,—,—,—,—,—
Yellow fever,—,—,—,—,—,—
Zika virus,,,,,,
"Zika virus disease, congenital  ¶¶",1,0.05,1,0.05,—,2
"Zika virus disease, non-congenital",56,0.03,23,0.01,—,79
"Zika virus infection, congenital  ¶¶",4,0.21,4,0.20,—,8
"Zika virus infection, non-congenital",230,0.14,15,0.01,—,245
