,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
State,,Indicator,Units,1991
,Both,Rural,%,117.1
,Both,Urban,%,97.9
,Both,Total,%,113.9
Borno,Young,Rural,%,77.7
,Young,Urban,%,87.1
,Young,Total,%,81
,Old,Rural,%,6.2
,Old,Total,%,5.2
,Old,Urban,%,3.4
,Both,Rural,%,83.9
,Both,Urban,%,90.5
,Both,Total,%,86.2
Cross River,Young,Rural,%,99
,Young,Urban,%,85.7
,Young,Total,%,95.2
,Old,Rural,%,5.4
,Old,Total,%,4.8
,Old,Urban,%,3.1
,Both,Rural,%,104.4
,Both,Urban,%,88.7
,Both,Total,%,100
Delta,Young,Rural,%,90.1
,Young,Urban,%,88.2
,Young,Total,%,93.3
,Old,Rural,%,9.8
,Old,Total,%,8.1
,Old,Urban,%,4.5
,Both,Rural,%,100
,Both,Urban,%,92.7
,Both,Total,%,101.4
Edo,Young,Rural,%,96.2
,Young,Urban,%,85.6
,Young,Total,%,91.1
,Old,Rural,%,9.1
,Old,Total,%,7.1
,Old,Urban,%,5
,Both,Rural,%,105.3
,Both,Urban,%,90.5
,Both,Total,%,98.2
Enugu,Young,Rural,%,102
,Young,Urban,%,92.5
,Young,Total,%,97.9
,Old,Rural,%,7.1
,Old,Total,%,6.3
,Old,Urban,%,4.2
,Both,Rural,%,109.1
,Both,Urban,%,96.7
,Both,Total,%,104.2
Imo,Young,Rural,%,89.1
,Young,Urban,%,82.8
,Young,Total,%,97
,Old,Rural,%,9.8
,Old,Total,%,9.3
,Old,Urban,%,8.5
,Both,Rural,%,98.8
,Both,Urban,%,91.3
,Both,Total,%,106.3
Jigawa,Young,Rural,%,76
,Young,Urban,%,80.2
,Young,Total,%,76.1
,Old,Rural,%,6.8
,Old,Total,%,6.6
,Old,Urban,%,5.4
,Both,Rural,%,82.8
,Both,Urban,%,85.6
,Both,Total,%,82.7
Kaduna,Young,Rural,%,96
,Young,Urban,%,89.1
,Young,Total,%,120.7
,Old,Rural,%,6.3
,Old,Total,%,6.2
,Old,Urban,%,3.2
,Both,Rural,%,101.8
,Both,Urban,%,92.4
,Both,Total,%,126.9
Kano,Young,Rural,%,82.1
,Young,Urban,%,83.5
,Young,Total,%,82.5
,Old,Rural,%,6.2
,Old,Total,%,5.6
,Old,Urban,%,5
,Both,Rural,%,88.3
,Both,Urban,%,88.2
,Both,Total,%,88.1
Katsina,Young,Rural,%,92
,Young,Urban,%,94.3
,Young,Total,%,94.4
,Old,Rural,%,5.6
,Old,Total,%,5.4
,Old,Urban,%,5
,Both,Rural,%,97.5
,Both,Urban,%,99.2
,Both,Total,%,99.8
Kebbi,Young,Rural,%,96.4
,Young,Urban,%,93.5
,Young,Total,%,95.8
,Old,Rural,%,5.7
,Old,Total,%,56
,Old,Urban,%,4.1
,Both,Rural,%,102.1
,Both,Urban,%,97.5
,Both,Total,%,101.4
Kogi,Young,Rural,%,99.3
,Young,Urban,%,93.5
,Young,Total,%,97.5
,Old,Rural,%,10.1
,Old,Total,%,9.3
,Old,Urban,%,8.4
,Both,Rural,%,109.4
,Both,Urban,%,102
,Both,Total,%,106.8
Kwara,Young,Rural,%,90.1
,Young,Urban,%,82.8
,Young,Total,%,86.8
,Old,Rural,%,11.8
,Old,Total,%,9.2
,Old,Urban,%,6.5
,Both,Rural,%,101.9
,Both,Urban,%,89.2
,Both,Total,%,96
Lagos,Young,Rural,%,80.2
,Young,Urban,%,66.5
,Young,Total,%,68.3
,Old,Rural,%,5.2
,Old,Total,%,2.6
,Old,Urban,%,2.3
,Both,Rural,%,85.5
,Both,Urban,%,69
,Both,Total,%,70.9
Niger,Young,Rural,%,95.1
,Young,Urban,%,83.9
,Young,Total,%,92.1
,Old,Rural,%,6.9
,Old,Total,%,5.9
,Old,Urban,%,3.1
,Both,Rural,%,102
,Both,Urban,%,87
,Both,Total,%,98
Ogun,Young,Rural,%,85.6
,Young,Urban,%,77.1
,Young,Total,%,81.7
,Old,Rural,%,12.7
,Old,Total,%,10.4
,Old,Urban,%,7.7
,Both,Rural,%,98.4
,Both,Urban,%,85
,Both,Total,%,92.1
Ondo,Young,Rural,%,83
,Young,Urban,%,79
,Young,Total,%,81.2
,Old,Rural,%,7.5
,Old,Total,%,7.3
,Old,Urban,%,7
,Both,Rural,%,90.2
,Both,Urban,%,86
,Both,Total,%,88.5
Osun,Young,Rural,%,88
,Young,Urban,%,82.4
,Young,Total,%,84.6
,Old,Rural,%,12
,Old,Total,%,10.3
,Old,Urban,%,9.5
,Both,Rural,%,99.1
,Both,Urban,%,91.9
,Both,Total,%,94.9
Oyo,Young,Rural,%,84
,Young,Urban,%,77.3
,Young,Total,%,79.3
,Old,Rural,%,10.5
,Old,Total,%,7.5
,Old,Urban,%,6.2
,Both,Rural,%,94.5
,Both,Urban,%,83.5
,Both,Total,%,86.8
Plateau,Young,Rural,%,99.1
,Young,Urban,%,89.4
,Young,Total,%,96.3
,Old,Rural,%,9.2
,Old,Total,%,7.7
,Old,Urban,%,3.6
,Both,Rural,%,108.3
,Both,Urban,%,93
,Both,Total,%,104
Rivers,Young,Rural,%,83.8
,Young,Urban,%,78.2
,Young,Total,%,81.8
,Old,Rural,%,4.2
,Old,Total,%,3.7
,Old,Urban,%,3.1
,Both,Rural,%,88
,Both,Urban,%,81.2
,Both,Total,%,85.5
Sokoto,Young,Rural,%,86.3
,Young,Urban,%,90.8
,Young,Total,%,86.9
,Old,Rural,%,5
,Old,Total,%,4.8
,Old,Urban,%,4
,Both,Rural,%,91.3
,Both,Urban,%,94.8
,Both,Total,%,91.7
Taraba,Young,Rural,%,94
,Young,Urban,%,90.9
,Young,Total,%,93.4
,Old,Rural,%,7.5
,Old,Total,%,7
,Old,Urban,%,4.6
,Both,Rural,%,101.3
,Both,Urban,%,95.8
,Both,Total,%,100.4
Yobe,Young,Rural,%,84
,Young,Urban,%,93.1
,Young,Total,%,86.2
,Old,Rural,%,6.4
,Old,Total,%,6.2
,Old,Urban,%,4.4
,Both,Rural,%,89.9
,Both,Urban,%,97.5
,Both,Total,%,92.4
