"State of Residence","State of Residence Code","Year","Year Code",Births,% of Total Births,Average Age of Mother (years),Average OE Gestational Age (weeks),Average LMP Gestational Age (weeks),Average Birth Weight (grams),Average Pre-pregnancy BMI,Average Number of Prenatal Visits,Average Interval Since Last Live Birth (months),Average Interval Since Last Other Pregnancy Outcome (months)
"Arkansas","05","2017","2017",27581,0.20%,27.07,38.36,38.65,3285.27,27.25,10.84,48.19,44.19
"Arkansas","05","2018","2018",27419,0.20%,27.25,38.34,38.58,3290.68,27.82,10.80,48.76,47.31
"Arkansas","05","2019","2019",26878,0.19%,27.31,38.28,38.54,3283.88,28.06,10.93,49.32,46.58
"Arkansas","05","2020","2020",25704,0.19%,27.40,38.26,38.51,3280.66,28.36,10.51,49.04,45.40
"California","06","2016","2016",362021,2.61%,29.22,38.66,38.76,3324.81,26.85,11.92,54.32,42.11
"California","06","2017","2017",347129,2.50%,29.41,38.65,38.75,3321.91,27.04,12.01,54.48,41.94
"California","06","2018","2018",335226,2.41%,29.62,38.63,38.72,3321.16,27.23,11.95,54.82,42.08
"California","06","2019","2019",326641,2.35%,29.77,38.59,38.65,3314.08,27.39,11.96,55.21,41.75
"California","06","2020","2020",311247,2.24%,29.91,38.59,38.67,3318.52,27.57,11.59,55.38,42.04
"Colorado","08","2016","2016",57367,0.41%,29.28,38.68,38.75,3214.40,26.06,10.31,48.47,45.67
"Colorado","08","2017","2017",54932,0.40%,29.46,38.65,38.71,3208.73,26.21,10.49,48.48,45.61
"Colorado","08","2018","2018",53602,0.39%,29.59,38.59,38.66,3201.16,26.32,10.61,48.04,44.57
"Colorado","08","2019","2019",53697,0.39%,29.68,38.54,38.65,3197.00,26.46,10.66,48.17,44.26
"Colorado","08","2020","2020",52136,0.38%,29.84,38.53,38.65,3196.92,26.59,10.31,48.72,45.01
"Connecticut","09","2016","2016",26897,0.19%,30.49,38.65,38.81,3329.08,26.29,12.13,49.90,48.04
"Connecticut","09","2017","2017",26292,0.19%,30.61,38.64,38.84,3321.40,26.43,12.29,51.66,50.84
"Connecticut","09","2018","2018",26017,0.19%,30.71,38.64,38.84,3337.11,26.64,12.62,51.49,49.32
"Connecticut","09","2019","2019",25639,0.18%,30.87,38.57,38.80,3322.43,26.68,12.84,51.05,48.05
"Connecticut","09","2020","2020",25210,0.18%,30.96,38.57,38.80,3324.04,26.81,12.41,52.12,48.45
"Delaware","10","2016","2016",6942,0.05%,29.07,38.62,38.69,3343.06,27.00,11.02,50.63,48.59
"Delaware","10","2017","2017",6669,0.05%,29.18,38.65,38.78,3349.57,27.09,11.04,51.53,53.61
"Delaware","10","2018","2018",6597,0.05%,29.30,38.58,38.79,3332.69,27.29,10.59,50.80,49.74
"Delaware","10","2019","2019",6433,0.05%,29.56,38.47,38.67,3317.58,27.79,10.94,51.32,47.17
"Delaware","10","2020","2020",6408,0.05%,29.57,38.39,38.67,3317.00,27.81,10.89,52.01,49.50
"District of Columbia","11","2016","2016",3657,0.03%,33.43,38.87,39.01,3340.46,23.41,12.15,41.30,37.84
"District of Columbia","11","2017","2017",3637,0.03%,33.43,38.87,38.96,3352.76,23.41,12.38,42.15,38.81
"District of Columbia","11","2018","2018",3971,0.03%,33.32,38.84,38.92,3339.96,24.11,11.55,43.80,39.49
"District of Columbia","11","2019","2019",3975,0.03%,33.44,38.81,38.90,3334.93,24.29,11.92,45.12,41.75
"District of Columbia","11","2020","2020",3910,0.03%,33.61,38.79,38.88,3323.63,24.52,11.10,44.56,38.27
"Florida","12","2016","2016",157006,1.13%,29.03,38.52,38.71,3299.40,26.03,11.06,53.11,51.49
"Florida","12","2017","2017",154504,1.11%,29.16,38.50,38.67,3291.43,26.22,11.06,53.13,52.51
"Florida","12","2018","2018",157945,1.14%,29.35,38.48,38.65,3296.64,26.45,10.98,53.79,52.72
"Florida","12","2019","2019",156463,1.13%,29.49,38.45,38.63,3291.61,26.61,10.92,54.22,53.57
"Florida","12","2020","2020",148661,1.07%,29.59,38.44,38.62,3292.30,26.78,10.43,54.15,54.55
"Georgia","13","2016","2016",73014,0.53%,28.44,38.46,38.71,3308.04,26.71,11.79,49.73,44.26
"Georgia","13","2017","2017",72415,0.52%,28.56,38.44,38.66,3304.31,26.86,11.85,49.90,44.98
"Georgia","13","2018","2018",71810,0.52%,28.66,38.43,38.67,3303.76,27.06,11.89,50.11,44.72
"Georgia","13","2019","2019",71961,0.52%,28.69,38.39,38.56,3295.36,27.20,11.91,50.11,44.48
"Georgia","13","2020","2020",69495,0.50%,28.79,38.40,38.58,3298.75,27.43,11.53,50.12,45.58
"Hawaii","15","2016","2016",4706,0.03%,29.53,38.79,38.96,3353.40,24.83,11.28,45.84,46.75
"Hawaii","15","2017","2017",4398,0.03%,29.70,38.80,38.91,3347.38,25.14,11.70,45.48,44.69
"Hawaii","15","2018","2018",4265,0.03%,30.01,38.81,39.01,3352.53,25.33,11.33,45.88,52.76
"Hawaii","15","2019","2019",4210,0.03%,29.95,38.75,39.01,3348.00,25.38,11.41,46.50,47.77
"Hawaii","15","2020","2020",4074,0.03%,29.99,38.77,39.02,3341.04,25.41,10.72,45.47,47.34
"Idaho","16","2016","2016",21013,0.15%,27.90,38.58,38.73,3305.32,26.49,11.41,45.19,49.09
"Idaho","16","2017","2017",20590,0.15%,27.99,38.60,38.77,3310.59,26.76,11.58,45.83,48.32
"Idaho","16","2018","2018",19917,0.14%,28.13,38.55,38.70,3293.65,26.88,11.69,44.76,46.83
"Idaho","16","2019","2019",20437,0.15%,28.26,38.54,38.71,3297.32,27.04,11.80,45.55,47.01
"Idaho","16","2020","2020",19941,0.14%,28.34,38.55,38.75,3299.46,27.09,11.29,45.17,45.87
"Illinois","17","2016","2016",114710,0.83%,29.52,38.49,38.70,3325.74,27.04,11.68,49.16,44.11
"Illinois","17","2017","2017",110092,0.79%,29.64,38.48,38.69,3325.28,27.28,11.75,48.84,43.48
"Illinois","17","2018","2018",107541,0.77%,29.79,38.44,38.63,3319.74,27.45,11.78,48.86,44.20
"Illinois","17","2019","2019",104329,0.75%,29.89,38.40,38.61,3314.79,27.58,11.76,49.30,45.33
"Illinois","17","2020","2020",98973,0.71%,29.99,38.40,38.64,3312.94,27.80,11.46,48.85,45.10
"Indiana","18","2016","2016",68888,0.50%,27.87,38.55,38.68,3314.08,27.33,11.65,46.29,47.10
"Indiana","18","2017","2017",67573,0.49%,27.93,38.53,38.64,3317.52,27.58,11.54,46.10,47.24
"Indiana","18","2018","2018",66870,0.48%,28.01,38.49,38.63,3322.18,27.77,11.53,46.15,46.08
"Indiana","18","2019","2019",66071,0.48%,28.07,38.43,38.57,3306.76,27.99,11.53,46.13,45.47
"Indiana","18","2020","2020",64196,0.46%,28.23,38.40,38.57,3312.65,28.16,11.31,46.38,46.20
"Iowa","19","2016","2016",34576,0.25%,28.39,38.59,38.88,3376.86,27.25,12.09,44.83,46.90
"Iowa","19","2017","2017",33197,0.24%,28.57,38.57,38.79,3378.43,27.47,12.05,45.63,45.55
"Iowa","19","2018","2018",32695,0.24%,28.61,38.49,38.71,3363.12,27.65,11.99,45.42,45.78
"Iowa","19","2019","2019",32400,0.23%,28.79,38.48,38.71,3366.89,27.79,11.98,45.27,43.62
"Iowa","19","2020","2020",30901,0.22%,28.79,38.43,38.65,3356.30,27.94,11.54,45.32,45.25
"Kansas","20","2016","2016",32816,0.24%,28.15,38.57,38.59,3338.76,27.03,11.28,46.34,43.69
"Kansas","20","2017","2017",31094,0.22%,28.26,38.49,38.50,3329.01,27.22,11.23,46.58,44.60
"Kansas","20","2018","2018",30945,0.22%,28.37,38.46,38.53,3325.67,27.50,11.23,46.34,43.94
"Kansas","20","2019","2019",30276,0.22%,28.48,38.39,38.43,3315.14,27.57,11.10,46.54,44.79
"Kansas","20","2020","2020",29327,0.21%,28.48,38.39,38.43,3320.96,27.79,10.97,45.99,44.11
"Kentucky","21","2016","2016",47892,0.34%,27.27,38.30,38.60,3285.61,27.42,11.70,47.61,46.81
"Kentucky","21","2017","2017",47098,0.34%,27.35,38.29,38.59,3285.23,27.68,11.87,47.47,46.62
"Kentucky","21","2018","2018",46289,0.33%,27.48,38.26,38.55,3285.04,27.82,11.86,47.49,45.27
"Kentucky","21","2019","2019",45299,0.33%,27.59,38.21,38.50,3279.03,28.01,11.91,47.32,44.75
"Kentucky","21","2020","2020",43792,0.32%,27.67,38.24,38.55,3287.71,28.27,11.50,47.34,45.00
"Louisiana","22","2016","2016",35872,0.26%,27.93,38.32,38.47,3280.60,26.86,11.80,49.16,43.60
"Louisiana","22","2017","2017",34308,0.25%,28.04,38.29,38.35,3275.55,26.97,11.94,49.25,44.52
"Louisiana","22","2018","2018",33922,0.24%,28.22,38.27,38.28,3278.06,27.17,11.92,50.23,44.84
"Louisiana","22","2019","2019",33354,0.24%,28.32,38.24,38.25,3269.03,27.40,11.82,48.80,42.73
"Louisiana","22","2020","2020",32291,0.23%,28.40,38.22,38.27,3267.37,27.53,11.57,49.53,44.28
"Maine","23","2016","2016",11705,0.08%,28.66,38.73,38.95,3370.29,27.62,12.75,47.43,46.89
"Maine","23","2017","2017",11177,0.08%,28.83,38.70,38.87,3347.33,27.69,12.68,47.57,43.39
"Maine","23","2018","2018",11237,0.08%,29.05,38.68,38.85,3347.05,28.03,13.29,47.54,47.82
"Maine","23","2019","2019",10643,0.08%,29.35,38.59,38.77,3343.99,28.01,13.22,48.37,47.27
"Maine","23","2020","2020",10467,0.08%,29.47,38.55,38.72,3336.79,28.05,12.04,47.26,44.67
"Maryland","24","2016","2016",39640,0.29%,30.07,38.64,38.84,3345.17,26.26,10.73,49.09,46.61
"Maryland","24","2017","2017",38318,0.28%,30.20,38.61,38.80,3341.26,26.40,11.02,49.36,46.24
"Maryland","24","2018","2018",40025,0.29%,30.27,38.61,38.81,3342.70,26.57,11.02,49.96,44.20
"Maryland","24","2019","2019",39431,0.28%,30.27,38.58,38.78,3338.74,26.66,11.19,49.79,45.99
"Maryland","24","2020","2020",38600,0.28%,30.45,38.56,38.75,3335.41,26.76,10.85,50.13,45.89
"Massachusetts","25","2016","2016",53762,0.39%,30.71,38.76,38.94,3340.91,25.99,12.11,49.11,40.63
"Massachusetts","25","2017","2017",52941,0.38%,30.83,38.74,38.92,3337.14,26.15,12.15,49.26,39.74
"Massachusetts","25","2018","2018",51390,0.37%,31.03,38.70,38.88,3332.95,26.34,12.04,49.25,39.08
"Massachusetts","25","2019","2019",51221,0.37%,31.17,38.65,38.86,3324.42,26.47,11.91,49.54,38.18
"Massachusetts","25","2020","2020",48986,0.35%,31.32,38.66,38.85,3329.28,26.65,11.16,49.84,37.19
"Michigan","26","2016","2016",84197,0.61%,28.77,38.64,38.84,3343.48,27.09,12.57,45.22,44.71
"Michigan","26","2017","2017",81953,0.59%,28.94,38.62,38.80,3336.61,27.29,12.44,45.25,45.68
"Michigan","26","2018","2018",81349,0.59%,29.05,38.62,38.80,3340.62,27.47,12.68,45.09,44.43
"Michigan","26","2019","2019",79464,0.57%,29.21,38.55,38.72,3327.19,27.61,12.77,45.54,44.54
"Michigan","26","2020","2020",76763,0.55%,29.33,38.54,38.69,3326.50,27.61,12.39,44.97,43.54
"Minnesota","27","2016","2016",52823,0.38%,29.78,38.70,38.90,3392.56,27.08,11.85,43.93,44.61
"Minnesota","27","2017","2017",51529,0.37%,29.95,38.69,38.85,3391.89,27.16,11.92,43.78,44.43
"Minnesota","27","2018","2018",50630,0.36%,30.06,38.66,38.85,3387.10,27.25,11.92,43.95,44.61
"Minnesota","27","2019","2019",49269,0.35%,30.18,38.62,38.82,3383.50,27.41,11.82,43.61,43.63
"Minnesota","27","2020","2020",46954,0.34%,30.26,38.60,38.79,3380.22,27.49,11.23,43.93,43.78
"Mississippi","28","2016","2016",20335,0.15%,27.20,38.20,38.47,3268.16,27.33,12.31,50.08,42.34
"Mississippi","28","2017","2017",19569,0.14%,27.36,38.20,38.48,3268.45,27.40,12.02,49.71,41.73
"Mississippi","28","2018","2018",19760,0.14%,27.41,38.14,38.40,3262.21,27.59,12.03,49.68,38.06
"Mississippi","28","2019","2019",19526,0.14%,27.51,38.10,38.33,3254.84,27.86,11.97,49.53,41.29
"Mississippi","28","2020","2020",18879,0.14%,27.49,38.12,38.35,3256.93,28.18,11.63,49.57,41.13
"Missouri","29","2016","2016",59062,0.43%,28.13,38.52,38.69,3327.91,26.82,11.45,45.75,43.53
"Missouri","29","2017","2017",57341,0.41%,28.21,38.48,38.64,3319.25,26.95,11.42,45.58,44.14
"Missouri","29","2018","2018",57522,0.41%,28.32,38.45,38.61,3319.88,27.15,11.29,45.62,43.35
"Missouri","29","2019","2019",56376,0.41%,28.43,38.39,38.55,3308.84,27.36,11.16,45.30,43.89
"Missouri","29","2020","2020",54075,0.39%,28.50,38.35,38.55,3306.84,27.51,10.86,45.33,42.61
"Montana","30","2016","2016",10220,0.07%,28.53,38.69,38.81,3284.41,26.28,11.46,45.40,48.79
"Montana","30","2017","2017",9861,0.07%,28.69,38.68,38.78,3278.43,26.42,11.60,44.22,48.30
"Montana","30","2018","2018",9684,0.07%,28.82,38.63,38.73,3292.66,26.56,11.50,44.44,50.80
"Montana","30","2019","2019",9304,0.07%,29.01,38.53,38.66,3278.69,26.65,11.45,44.82,49.22
"Montana","30","2020","2020",9103,0.07%,29.32,38.47,38.62,3263.49,26.74,11.22,44.50,50.37
"Nebraska","31","2016","2016",22466,0.16%,28.81,38.53,38.68,3344.57,26.71,11.25,45.91,44.30
"Nebraska","31","2017","2017",21661,0.16%,28.79,38.50,38.68,3337.26,26.93,11.54,45.41,45.00
"Nebraska","31","2018","2018",21351,0.15%,28.97,38.45,38.60,3338.16,27.13,11.66,45.31,43.80
"Nebraska","31","2019","2019",20743,0.15%,29.03,38.39,38.54,3323.05,27.21,11.71,46.29,42.59
"Nebraska","31","2020","2020",20311,0.15%,29.14,38.37,38.52,3328.63,27.32,11.30,46.15,44.58
"Nevada","32","2016","2016",26430,0.19%,28.46,38.49,38.70,3264.34,26.55,11.62,52.34,52.89
"Nevada","32","2017","2017",25474,0.18%,28.52,38.45,38.65,3252.85,26.71,11.38,52.83,53.15
"Nevada","32","2018","2018",25491,0.18%,28.73,38.49,38.69,3262.25,26.91,11.48,53.06,52.87
"Nevada","32","2019","2019",24956,0.18%,28.81,38.43,38.70,3253.49,27.08,11.42,53.96,53.21
"Nevada","32","2020","2020",23505,0.17%,28.96,38.36,38.65,3250.40,27.24,11.36,53.78,51.59
"New Hampshire","33","2016","2016",11288,0.08%,29.50,38.86,39.05,3373.26,26.92,12.60,48.08,43.08
"New Hampshire","33","2017","2017",11154,0.08%,29.59,38.80,38.99,3350.66,27.05,12.57,47.14,44.50
"New Hampshire","33","2018","2018",10997,0.08%,29.82,38.77,38.95,3362.93,27.22,12.70,47.86,45.37
"New Hampshire","33","2019","2019",10805,0.08%,29.97,38.78,38.97,3366.15,27.29,12.79,46.72,45.53
"New Hampshire","33","2020","2020",10846,0.08%,30.13,38.73,38.93,3355.00,27.49,11.66,47.36,43.32
"New Jersey","34","2016","2016",70504,0.51%,30.54,38.60,38.78,3312.76,26.03,10.85,50.43,46.86
"New Jersey","34","2017","2017",69260,0.50%,30.66,38.62,38.77,3311.66,26.16,10.93,50.67,48.08
"New Jersey","34","2018","2018",70632,0.51%,30.75,38.62,38.77,3311.54,26.31,10.84,50.85,50.08
"New Jersey","34","2019","2019",69638,0.50%,30.83,38.60,38.73,3308.12,26.43,10.92,50.26,49.39
"New Jersey","34","2020","2020",68471,0.49%,30.97,38.61,38.77,3312.95,26.49,10.72,50.26,49.73
"New Mexico","35","2016","2016",20126,0.14%,27.33,38.45,38.61,3189.98,26.83,9.89,51.23,50.51
"New Mexico","35","2017","2017",19371,0.14%,27.46,38.42,38.58,3181.16,26.93,10.02,51.58,50.74
"New Mexico","35","2018","2018",18737,0.13%,27.61,38.41,38.54,3182.92,27.15,10.20,52.10,48.80
"New Mexico","35","2019","2019",18597,0.13%,27.78,38.35,38.50,3168.16,27.28,9.80,52.05,48.89
"New Mexico","35","2020","2020",17747,0.13%,27.83,38.36,38.55,3181.88,27.41,9.98,52.30,48.81
"New York","36","2016","2016",155451,1.12%,30.05,38.74,38.91,3319.28,26.11,11.42,48.70,44.85
"New York","36","2017","2017",153329,1.10%,30.21,38.74,38.87,3314.47,26.19,11.41,48.99,46.35
"New York","36","2018","2018",154234,1.11%,30.34,38.73,38.86,3315.38,26.34,11.41,49.47,45.13
"New York","36","2019","2019",149440,1.08%,30.46,38.69,38.82,3310.41,26.46,11.44,48.83,46.57
"New York","36","2020","2020",141567,1.02%,30.55,38.66,38.80,3309.18,26.65,11.18,48.65,47.98
"North Carolina","37","2016","2016",78467,0.56%,28.72,38.60,38.86,3326.44,26.45,12.72,50.13,47.42
"North Carolina","37","2017","2017",76900,0.55%,28.79,38.57,38.85,3319.84,26.68,12.58,50.09,48.09
"North Carolina","37","2018","2018",77635,0.56%,28.94,38.57,38.88,3324.81,26.86,12.44,50.21,47.52
"North Carolina","37","2019","2019",76847,0.55%,28.99,38.50,38.78,3315.66,26.99,12.47,50.41,47.98
"North Carolina","37","2020","2020",75453,0.54%,29.14,38.46,38.74,3313.80,27.20,12.04,50.71,48.94
"North Dakota","38","2016","2016",9048,0.07%,28.56,38.59,38.79,3364.43,27.49,11.05,41.79,39.40
"North Dakota","38","2017","2017",8458,0.06%,28.78,38.60,38.84,3367.84,27.64,11.00,42.42,38.51
"North Dakota","38","2018","2018",8386,0.06%,28.81,38.51,38.73,3365.15,27.74,11.05,42.14,39.59
"North Dakota","38","2019","2019",8207,0.06%,28.97,38.45,38.67,3348.49,27.91,10.97,41.99,36.97
"North Dakota","38","2020","2020",7844,0.06%,29.10,38.44,38.64,3335.03,28.25,10.76,42.47,40.18
"Ohio","39","2016","2016",106381,0.77%,28.34,38.49,38.71,3313.15,26.88,11.69,45.02,42.49
"Ohio","39","2017","2017",104917,0.76%,28.43,38.49,38.70,3313.82,27.09,11.75,44.67,43.19
"Ohio","39","2018","2018",103675,0.75%,28.57,38.47,38.67,3314.79,27.28,11.81,44.55,42.75
"Ohio","39","2019","2019",102148,0.74%,28.67,38.42,38.62,3306.72,27.53,11.84,44.80,41.51
"Ohio","39","2020","2020",98441,0.71%,28.79,38.42,38.61,3310.50,27.66,11.58,44.41,41.43
"Oklahoma","40","2016","2016",37028,0.27%,27.41,38.36,38.50,3301.17,27.12,10.61,48.40,44.35
"Oklahoma","40","2017","2017",35258,0.25%,27.57,38.29,38.47,3291.90,27.41,10.92,48.39,44.68
"Oklahoma","40","2018","2018",35101,0.25%,27.67,38.26,38.43,3284.85,27.61,10.96,48.08,44.75
"Oklahoma","40","2019","2019",34190,0.25%,27.69,38.24,38.44,3281.82,27.75,11.16,48.49,44.18
"Oklahoma","40","2020","2020",32937,0.24%,27.82,38.24,38.44,3276.13,27.95,10.75,49.17,45.44
"Oregon","41","2016","2016",39074,0.28%,29.10,38.79,38.96,3364.79,26.73,11.71,49.09,48.41
"Oregon","41","2017","2017",37084,0.27%,29.27,38.76,38.92,3355.83,26.94,11.64,49.48,48.06
"Oregon","41","2018","2018",35930,0.26%,29.43,38.77,38.92,3358.19,27.14,11.80,49.96,49.44
"Oregon","41","2019","2019",35415,0.25%,29.50,38.70,38.88,3347.92,27.25,11.95,49.78,47.28
"Oregon","41","2020","2020",33754,0.24%,29.66,38.69,38.90,3350.53,27.45,11.38,49.42,47.85
"Pennsylvania","42","2016","2016",106685,0.77%,29.19,38.68,38.86,3331.04,26.41,11.56,45.63,41.27
"Pennsylvania","42","2017","2017",104695,0.75%,29.33,38.67,38.84,3327.12,26.62,11.62,45.66,41.64
"Pennsylvania","42","2018","2018",102857,0.74%,29.48,38.64,38.82,3329.11,26.79,11.71,45.21,41.04
"Pennsylvania","42","2019","2019",101211,0.73%,29.60,38.58,38.76,3317.51,26.98,11.84,45.58,41.10
"Pennsylvania","42","2020","2020",98269,0.71%,29.77,38.58,38.77,3321.86,27.11,11.38,45.27,40.87
"Rhode Island","44","2016","2016",8466,0.06%,29.52,38.62,38.83,3310.91,26.54,12.55,51.90,45.09
"Rhode Island","44","2017","2017",8364,0.06%,29.71,38.69,38.90,3326.72,26.69,12.63,53.18,45.87
"Rhode Island","44","2018","2018",8066,0.06%,29.95,38.64,38.90,3327.71,26.84,11.88,52.08,44.65
"Rhode Island","44","2019","2019",7727,0.06%,30.02,38.57,38.82,3309.05,26.95,13.22,52.32,44.12
"Rhode Island","44","2020","2020",7684,0.06%,30.24,38.58,38.82,3315.45,27.08,12.68,54.36,48.01
"South Carolina","45","2016","2016",36759,0.26%,28.42,38.50,38.70,3321.06,26.65,12.22,48.60,46.40
"South Carolina","45","2017","2017",36081,0.26%,28.48,38.48,38.68,3323.24,26.90,12.25,48.03,45.86
"South Carolina","45","2018","2018",36258,0.26%,28.56,38.43,38.64,3320.93,27.18,12.21,48.36,43.16
"South Carolina","45","2019","2019",36397,0.26%,28.73,38.38,38.59,3306.79,27.30,12.33,49.14,43.36
"South Carolina","45","2020","2020",35302,0.25%,28.91,38.34,38.59,3311.26,27.49,12.14,49.16,44.16
"South Dakota","46","2016","2016",9344,0.07%,28.60,38.72,38.78,3348.16,26.56,11.32,43.76,41.13
"South Dakota","46","2017","2017",9126,0.07%,28.82,38.66,38.72,3340.62,26.63,11.20,43.51,41.37
"South Dakota","46","2018","2018",8996,0.06%,28.93,38.63,38.68,3341.35,26.82,11.26,44.17,42.42
"South Dakota","46","2019","2019",8653,0.06%,28.99,38.52,38.59,3326.41,27.02,11.25,43.10,41.95
"South Dakota","46","2020","2020",8279,0.06%,28.97,38.53,38.60,3324.90,27.10,10.87,43.21,42.28
"Tennessee","47","2016","2016",59722,0.43%,27.82,38.38,38.51,3292.19,26.58,11.19,48.07,44.10
"Tennessee","47","2017","2017",59663,0.43%,27.91,38.40,38.55,3299.38,26.74,11.21,48.26,45.74
"Tennessee","47","2018","2018",60073,0.43%,28.07,38.38,38.51,3297.11,26.92,11.36,48.18,44.61
"Tennessee","47","2019","2019",59558,0.43%,28.18,38.35,38.46,3292.02,27.13,11.24,48.59,46.08
"Tennessee","47","2020","2020",58327,0.42%,28.28,38.35,38.49,3297.84,27.20,10.91,48.79,48.26
"Texas","48","2016","2016",313694,2.26%,27.84,38.37,38.50,3270.83,26.90,10.42,50.99,51.40
"Texas","48","2017","2017",298596,2.15%,27.97,38.34,38.48,3269.92,27.08,10.50,51.25,51.66
"Texas","48","2018","2018",299958,2.16%,28.13,38.31,38.46,3268.26,27.29,10.49,51.79,51.10
"Texas","48","2019","2019",299568,2.16%,28.22,38.27,38.49,3263.47,27.52,10.48,51.90,50.54
"Texas","48","2020","2020",291444,2.10%,28.29,38.27,38.54,3267.02,27.72,10.37,51.96,50.84
"Utah","49","2016","2016",46335,0.33%,28.55,38.42,38.61,3275.40,25.83,11.11,42.98,44.79
"Utah","49","2017","2017",44305,0.32%,28.55,38.44,38.61,3274.39,25.94,11.32,43.24,44.14
"Utah","49","2018","2018",42994,0.31%,28.60,38.41,38.60,3274.05,26.15,11.24,43.28,46.06
"Utah","49","2019","2019",42552,0.31%,28.68,38.35,38.56,3259.19,26.27,11.19,43.42,44.15
"Utah","49","2020","2020",41367,0.30%,28.72,38.35,38.55,3267.40,26.34,10.85,43.73,44.03
"Vermont","50","2016","2016",5404,0.04%,29.37,38.86,39.07,3362.69,27.12,12.68,46.69,44.92
"Vermont","50","2017","2017",5274,0.04%,29.48,38.85,39.09,3360.75,27.29,12.83,46.43,41.52
"Vermont","50","2018","2018",5072,0.04%,29.66,38.77,39.01,3352.78,27.78,12.85,48.16,41.77
"Vermont","50","2019","2019",5000,0.04%,29.90,38.75,38.96,3344.70,27.43,12.68,46.99,40.62
"Vermont","50","2020","2020",4772,0.03%,30.14,38.72,38.89,3337.39,27.93,11.90,47.54,40.94
"Virginia","51","2016","2016",68701,0.49%,29.54,38.66,38.89,3346.40,26.55,11.86,48.85,49.15
"Virginia","51","2017","2017",66479,0.48%,29.60,38.64,38.85,3342.67,26.72,11.80,48.74,48.82
"Virginia","51","2018","2018",67014,0.48%,29.73,38.62,38.86,3341.95,26.90,11.61,49.35,49.34
"Virginia","51","2019","2019",65245,0.47%,29.77,38.55,38.74,3331.71,27.15,11.71,49.46,49.95
"Virginia","51","2020","2020",63696,0.46%,29.87,38.55,38.77,3333.91,27.29,11.48,49.51,49.02
"Washington","53","2016","2016",68579,0.49%,29.21,38.81,39.00,3384.46,26.69,11.34,48.05,47.86
"Washington","53","2017","2017",65615,0.47%,29.38,38.76,38.96,3376.58,26.79,11.41,47.80,46.81
"Washington","53","2018","2018",64527,0.46%,29.53,38.73,38.95,3374.03,26.96,11.28,48.12,45.17
"Washington","53","2019","2019",62985,0.45%,29.62,38.68,38.88,3368.91,27.03,11.16,47.91,44.85
"Washington","53","2020","2020",61717,0.44%,29.78,38.66,38.82,3365.57,27.23,10.81,48.23,44.82
"West Virginia","54","2016","2016",17906,0.13%,26.87,38.26,38.51,3244.48,27.69,11.90,48.55,40.49
"West Virginia","54","2017","2017",17378,0.13%,27.00,38.26,38.49,3247.97,27.75,11.59,48.19,42.52
"West Virginia","54","2018","2018",17024,0.12%,27.11,38.22,38.44,3249.84,28.15,11.52,48.29,45.52
"West Virginia","54","2019","2019",16844,0.12%,27.19,38.16,38.40,3229.22,28.33,11.56,49.23,44.05
"West Virginia","54","2020","2020",16086,0.12%,27.36,38.20,38.42,3249.14,28.64,11.10,49.01,45.09
"Wisconsin","55","2016","2016",54116,0.39%,29.27,38.61,38.82,3370.73,27.40,12.29,44.80,42.37
"Wisconsin","55","2017","2017",52316,0.38%,29.37,38.60,38.81,3364.45,27.49,12.36,44.77,43.04
