COUNTRY,Country,Resource,Stocks and flows,Class,Year,Unit,Value
CAN,Canada,Crude oil,Total additions to stock,Class A - Commercially recoverable resources,2011,Barrels,0.43
CAN,Canada,Crude oil,Total additions to stock,Class A - Commercially recoverable resources,2012,Barrels,0.525
CAN,Canada,Crude oil,Total additions to stock,Class A - Commercially recoverable resources,2013,Barrels,0.654
CAN,Canada,Crude oil,Total additions to stock,Class A - Commercially recoverable resources,2014,Barrels,0.339
CAN,Canada,Crude oil,Total additions to stock,Class A - Commercially recoverable resources,2015,Barrels,0.706
CAN,Canada,Crude oil,Total additions to stock,Class A - Commercially recoverable resources,2016,Barrels,0.498
CAN,Canada,Crude oil,Total additions to stock,Class A - Commercially recoverable resources,2017,Barrels,0.592
CAN,Canada,Crude oil,Total additions to stock,Class A - Commercially recoverable resources,2018,Barrels,1.089
CAN,Canada,Crude oil,Total additions to stock,Class A - Commercially recoverable resources,2019,Barrels,0.255
CAN,Canada,Crude oil,Total additions to stock,Class A - Commercially recoverable resources,2020,Barrels,0.45
CAN,Canada,Crude oil,Total additions to stock,Class A - Commercially recoverable resources,2021,Barrels,0.446
CAN,Canada,Crude oil,Extractions,Class A - Commercially recoverable resources,2000,Barrels,0.499
CAN,Canada,Crude oil,Extractions,Class A - Commercially recoverable resources,2001,Barrels,0.506
CAN,Canada,Crude oil,Extractions,Class A - Commercially recoverable resources,2002,Barrels,0.535
CAN,Canada,Crude oil,Extractions,Class A - Commercially recoverable resources,2003,Barrels,0.533
CAN,Canada,Crude oil,Extractions,Class A - Commercially recoverable resources,2004,Barrels,0.516
CAN,Canada,Crude oil,Extractions,Class A - Commercially recoverable resources,2005,Barrels,0.498
CAN,Canada,Crude oil,Extractions,Class A - Commercially recoverable resources,2006,Barrels,0.494
CAN,Canada,Crude oil,Extractions,Class A - Commercially recoverable resources,2007,Barrels,0.511
CAN,Canada,Crude oil,Extractions,Class A - Commercially recoverable resources,2008,Barrels,0.496
CAN,Canada,Crude oil,Extractions,Class A - Commercially recoverable resources,2009,Barrels,0.438
CAN,Canada,Crude oil,Extractions,Class A - Commercially recoverable resources,2010,Barrels,0.447
CAN,Canada,Crude oil,Extractions,Class A - Commercially recoverable resources,2011,Barrels,0.46
CAN,Canada,Crude oil,Extractions,Class A - Commercially recoverable resources,2012,Barrels,0.479
CAN,Canada,Crude oil,Extractions,Class A - Commercially recoverable resources,2013,Barrels,0.504
CAN,Canada,Crude oil,Extractions,Class A - Commercially recoverable resources,2014,Barrels,0.511
CAN,Canada,Crude oil,Extractions,Class A - Commercially recoverable resources,2015,Barrels,0.462
CAN,Canada,Crude oil,Extractions,Class A - Commercially recoverable resources,2016,Barrels,0.434
CAN,Canada,Crude oil,Extractions,Class A - Commercially recoverable resources,2017,Barrels,0.443
CAN,Canada,Crude oil,Extractions,Class A - Commercially recoverable resources,2018,Barrels,0.465
CAN,Canada,Crude oil,Extractions,Class A - Commercially recoverable resources,2019,Barrels,0.476
CAN,Canada,Crude oil,Extractions,Class A - Commercially recoverable resources,2020,Barrels,0.438
CAN,Canada,Crude oil,Extractions,Class A - Commercially recoverable resources,2021,Barrels,0.435
CAN,Canada,Crude oil,Total reductions in stock,Class A - Commercially recoverable resources,2000,Barrels,0.499
CAN,Canada,Crude oil,Total reductions in stock,Class A - Commercially recoverable resources,2001,Barrels,0.506
CAN,Canada,Crude oil,Total reductions in stock,Class A - Commercially recoverable resources,2002,Barrels,0.535
CAN,Canada,Crude oil,Total reductions in stock,Class A - Commercially recoverable resources,2003,Barrels,0.533
CAN,Canada,Crude oil,Total reductions in stock,Class A - Commercially recoverable resources,2004,Barrels,0.516
CAN,Canada,Crude oil,Total reductions in stock,Class A - Commercially recoverable resources,2005,Barrels,0.498
CAN,Canada,Crude oil,Total reductions in stock,Class A - Commercially recoverable resources,2006,Barrels,0.494
CAN,Canada,Crude oil,Total reductions in stock,Class A - Commercially recoverable resources,2007,Barrels,0.511
CAN,Canada,Crude oil,Total reductions in stock,Class A - Commercially recoverable resources,2008,Barrels,0.496
CAN,Canada,Crude oil,Total reductions in stock,Class A - Commercially recoverable resources,2009,Barrels,0.438
CAN,Canada,Crude oil,Total reductions in stock,Class A - Commercially recoverable resources,2010,Barrels,0.447
CAN,Canada,Crude oil,Total reductions in stock,Class A - Commercially recoverable resources,2011,Barrels,0.46
CAN,Canada,Crude oil,Total reductions in stock,Class A - Commercially recoverable resources,2012,Barrels,0.479
CAN,Canada,Crude oil,Total reductions in stock,Class A - Commercially recoverable resources,2013,Barrels,0.504
CAN,Canada,Crude oil,Total reductions in stock,Class A - Commercially recoverable resources,2014,Barrels,0.511
CAN,Canada,Crude oil,Total reductions in stock,Class A - Commercially recoverable resources,2015,Barrels,0.462
CAN,Canada,Crude oil,Total reductions in stock,Class A - Commercially recoverable resources,2016,Barrels,0.434
CAN,Canada,Crude oil,Total reductions in stock,Class A - Commercially recoverable resources,2017,Barrels,0.443
CAN,Canada,Crude oil,Total reductions in stock,Class A - Commercially recoverable resources,2018,Barrels,0.465
CAN,Canada,Crude oil,Total reductions in stock,Class A - Commercially recoverable resources,2019,Barrels,0.476
CAN,Canada,Crude oil,Total reductions in stock,Class A - Commercially recoverable resources,2020,Barrels,0.438
CAN,Canada,Crude oil,Total reductions in stock,Class A - Commercially recoverable resources,2021,Barrels,0.435
CAN,Canada,Crude oil,Closing stock,Class A - Commercially recoverable resources,2000,Barrels,4.271
CAN,Canada,Crude oil,Closing stock,Class A - Commercially recoverable resources,2001,Barrels,4.12
CAN,Canada,Crude oil,Closing stock,Class A - Commercially recoverable resources,2002,Barrels,3.869
CAN,Canada,Crude oil,Closing stock,Class A - Commercially recoverable resources,2003,Barrels,3.76
CAN,Canada,Crude oil,Closing stock,Class A - Commercially recoverable resources,2004,Barrels,3.841
CAN,Canada,Crude oil,Closing stock,Class A - Commercially recoverable resources,2005,Barrels,4.768
CAN,Canada,Crude oil,Closing stock,Class A - Commercially recoverable resources,2006,Barrels,4.512
CAN,Canada,Crude oil,Closing stock,Class A - Commercially recoverable resources,2007,Barrels,4.563
CAN,Canada,Crude oil,Closing stock,Class A - Commercially recoverable resources,2008,Barrels,4.401
CAN,Canada,Crude oil,Closing stock,Class A - Commercially recoverable resources,2009,Barrels,3.99
CAN,Canada,Crude oil,Closing stock,Class A - Commercially recoverable resources,2010,Barrels,3.777
CAN,Canada,Crude oil,Closing stock,Class A - Commercially recoverable resources,2011,Barrels,3.746
CAN,Canada,Crude oil,Closing stock,Class A - Commercially recoverable resources,2012,Barrels,3.793
CAN,Canada,Crude oil,Closing stock,Class A - Commercially recoverable resources,2013,Barrels,3.942
CAN,Canada,Crude oil,Closing stock,Class A - Commercially recoverable resources,2014,Barrels,3.771
CAN,Canada,Crude oil,Closing stock,Class A - Commercially recoverable resources,2015,Barrels,4.015
CAN,Canada,Crude oil,Closing stock,Class A - Commercially recoverable resources,2016,Barrels,4.08
CAN,Canada,Crude oil,Closing stock,Class A - Commercially recoverable resources,2017,Barrels,4.229
CAN,Canada,Crude oil,Closing stock,Class A - Commercially recoverable resources,2018,Barrels,4.853
CAN,Canada,Crude oil,Closing stock,Class A - Commercially recoverable resources,2019,Barrels,4.632
CAN,Canada,Crude oil,Closing stock,Class A - Commercially recoverable resources,2020,Barrels,4.644
CAN,Canada,Crude oil,Closing stock,Class A - Commercially recoverable resources,2021,Barrels,4.654
CAN,Canada,Crude oil,Discrepancies,Class A - Commercially recoverable resources,2000,Barrels,0
CAN,Canada,Crude oil,Discrepancies,Class A - Commercially recoverable resources,2001,Barrels,0
CAN,Canada,Crude oil,Discrepancies,Class A - Commercially recoverable resources,2002,Barrels,0
CAN,Canada,Crude oil,Discrepancies,Class A - Commercially recoverable resources,2003,Barrels,0
CAN,Canada,Crude oil,Discrepancies,Class A - Commercially recoverable resources,2004,Barrels,0
CAN,Canada,Crude oil,Discrepancies,Class A - Commercially recoverable resources,2005,Barrels,0
CAN,Canada,Crude oil,Discrepancies,Class A - Commercially recoverable resources,2006,Barrels,0
CAN,Canada,Crude oil,Discrepancies,Class A - Commercially recoverable resources,2007,Barrels,0
CAN,Canada,Crude oil,Discrepancies,Class A - Commercially recoverable resources,2008,Barrels,0
CAN,Canada,Crude oil,Discrepancies,Class A - Commercially recoverable resources,2009,Barrels,0
CAN,Canada,Crude oil,Discrepancies,Class A - Commercially recoverable resources,2010,Barrels,0
CAN,Canada,Crude oil,Discrepancies,Class A - Commercially recoverable resources,2011,Barrels,0
CAN,Canada,Crude oil,Discrepancies,Class A - Commercially recoverable resources,2012,Barrels,0
CAN,Canada,Crude oil,Discrepancies,Class A - Commercially recoverable resources,2013,Barrels,0
CAN,Canada,Crude oil,Discrepancies,Class A - Commercially recoverable resources,2014,Barrels,0
CAN,Canada,Crude oil,Discrepancies,Class A - Commercially recoverable resources,2015,Barrels,0.001
CAN,Canada,Crude oil,Discrepancies,Class A - Commercially recoverable resources,2016,Barrels,0
CAN,Canada,Crude oil,Discrepancies,Class A - Commercially recoverable resources,2017,Barrels,0
CAN,Canada,Crude oil,Discrepancies,Class A - Commercially recoverable resources,2018,Barrels,0
CAN,Canada,Crude oil,Discrepancies,Class A - Commercially recoverable resources,2019,Barrels,0
CAN,Canada,Crude oil,Discrepancies,Class A - Commercially recoverable resources,2020,Barrels,0
CAN,Canada,Crude oil,Discrepancies,Class A - Commercially recoverable resources,2021,Barrels,0
CAN,Canada,Natural gas,Opening stock,Class A - Commercially recoverable resources,2000,Cubic metres,1718.9
CAN,Canada,Natural gas,Opening stock,Class A - Commercially recoverable resources,2001,Cubic metres,1682.9
CAN,Canada,Natural gas,Opening stock,Class A - Commercially recoverable resources,2002,Cubic metres,1693.8
CAN,Canada,Natural gas,Opening stock,Class A - Commercially recoverable resources,2003,Cubic metres,1664.2
CAN,Canada,Natural gas,Opening stock,Class A - Commercially recoverable resources,2004,Cubic metres,1594
CAN,Canada,Natural gas,Opening stock,Class A - Commercially recoverable resources,2005,Cubic metres,1593
CAN,Canada,Natural gas,Opening stock,Class A - Commercially recoverable resources,2006,Cubic metres,1632.6
CAN,Canada,Natural gas,Opening stock,Class A - Commercially recoverable resources,2007,Cubic metres,1639.7
CAN,Canada,Natural gas,Opening stock,Class A - Commercially recoverable resources,2008,Cubic metres,1633.8
CAN,Canada,Natural gas,Opening stock,Class A - Commercially recoverable resources,2009,Cubic metres,1754.2
CAN,Canada,Natural gas,Opening stock,Class A - Commercially recoverable resources,2010,Cubic metres,1727.5
CAN,Canada,Natural gas,Opening stock,Class A - Commercially recoverable resources,2011,Cubic metres,1977
CAN,Canada,Natural gas,Opening stock,Class A - Commercially recoverable resources,2012,Cubic metres,1903.1
CAN,Canada,Natural gas,Opening stock,Class A - Commercially recoverable resources,2013,Cubic metres,1995.7
CAN,Canada,Natural gas,Opening stock,Class A - Commercially recoverable resources,2014,Cubic metres,2024.3
CAN,Canada,Natural gas,Opening stock,Class A - Commercially recoverable resources,2015,Cubic metres,1987.1
CAN,Canada,Natural gas,Opening stock,Class A - Commercially recoverable resources,2016,Cubic metres,2118.1
CAN,Canada,Natural gas,Opening stock,Class A - Commercially recoverable resources,2017,Cubic metres,2095.1
CAN,Canada,Natural gas,Opening stock,Class A - Commercially recoverable resources,2018,Cubic metres,2083
CAN,Canada,Natural gas,Opening stock,Class A - Commercially recoverable resources,2019,Cubic metres,2093.5
CAN,Canada,Natural gas,Opening stock,Class A - Commercially recoverable resources,2020,Cubic metres,2471.3
CAN,Canada,Natural gas,Opening stock,Class A - Commercially recoverable resources,2021,Cubic metres,2477.3
CAN,Canada,Natural gas,Upward reappraisals,Class A - Commercially recoverable resources,2000,Cubic metres,131.8
CAN,Canada,Natural gas,Upward reappraisals,Class A - Commercially recoverable resources,2001,Cubic metres,182.3
CAN,Canada,Natural gas,Upward reappraisals,Class A - Commercially recoverable resources,2002,Cubic metres,142.6
CAN,Canada,Natural gas,Upward reappraisals,Class A - Commercially recoverable resources,2003,Cubic metres,96.5
CAN,Canada,Natural gas,Upward reappraisals,Class A - Commercially recoverable resources,2004,Cubic metres,166.4
CAN,Canada,Natural gas,Upward reappraisals,Class A - Commercially recoverable resources,2005,Cubic metres,210.3
CAN,Canada,Natural gas,Upward reappraisals,Class A - Commercially recoverable resources,2006,Cubic metres,178.8
CAN,Canada,Natural gas,Upward reappraisals,Class A - Commercially recoverable resources,2007,Cubic metres,161.3
CAN,Canada,Natural gas,Upward reappraisals,Class A - Commercially recoverable resources,2008,Cubic metres,278.3
CAN,Canada,Natural gas,Upward reappraisals,Class A - Commercially recoverable resources,2009,Cubic metres,120.8
CAN,Canada,Natural gas,Upward reappraisals,Class A - Commercially recoverable resources,2010,Cubic metres,393.9
CAN,Canada,Natural gas,Upward reappraisals,Class A - Commercially recoverable resources,2011,Cubic metres,70.5
CAN,Canada,Natural gas,Upward reappraisals,Class A - Commercially recoverable resources,2012,Cubic metres,233.9
CAN,Canada,Natural gas,Upward reappraisals,Class A - Commercially recoverable resources,2013,Cubic metres,170
CAN,Canada,Natural gas,Upward reappraisals,Class A - Commercially recoverable resources,2014,Cubic metres,106.5
CAN,Canada,Natural gas,Upward reappraisals,Class A - Commercially recoverable resources,2015,Cubic metres,280.1
CAN,Canada,Natural gas,Upward reappraisals,Class A - Commercially recoverable resources,2016,Cubic metres,136.9
CAN,Canada,Natural gas,Upward reappraisals,Class A - Commercially recoverable resources,2017,Cubic metres,161.3
CAN,Canada,Natural gas,Upward reappraisals,Class A - Commercially recoverable resources,2018,Cubic metres,188.3
CAN,Canada,Natural gas,Upward reappraisals,Class A - Commercially recoverable resources,2019,Cubic metres,549.3
CAN,Canada,Natural gas,Upward reappraisals,Class A - Commercially recoverable resources,2020,Cubic metres,172.9
CAN,Canada,Natural gas,Upward reappraisals,Class A - Commercially recoverable resources,2021,Cubic metres,179.4
CAN,Canada,Natural gas,Total additions to stock,Class A - Commercially recoverable resources,2000,Cubic metres,131.8
CAN,Canada,Natural gas,Total additions to stock,Class A - Commercially recoverable resources,2001,Cubic metres,182.3
CAN,Canada,Natural gas,Total additions to stock,Class A - Commercially recoverable resources,2002,Cubic metres,142.6
CAN,Canada,Natural gas,Total additions to stock,Class A - Commercially recoverable resources,2003,Cubic metres,96.5
CAN,Canada,Natural gas,Total additions to stock,Class A - Commercially recoverable resources,2004,Cubic metres,166.4
CAN,Canada,Natural gas,Total additions to stock,Class A - Commercially recoverable resources,2005,Cubic metres,210.3
CAN,Canada,Natural gas,Total additions to stock,Class A - Commercially recoverable resources,2006,Cubic metres,178.8
CAN,Canada,Natural gas,Total additions to stock,Class A - Commercially recoverable resources,2007,Cubic metres,161.3
CAN,Canada,Natural gas,Total additions to stock,Class A - Commercially recoverable resources,2008,Cubic metres,278.3
CAN,Canada,Natural gas,Total additions to stock,Class A - Commercially recoverable resources,2009,Cubic metres,120.8
CAN,Canada,Natural gas,Total additions to stock,Class A - Commercially recoverable resources,2010,Cubic metres,393.9
CAN,Canada,Natural gas,Total additions to stock,Class A - Commercially recoverable resources,2011,Cubic metres,70.5
CAN,Canada,Natural gas,Total additions to stock,Class A - Commercially recoverable resources,2012,Cubic metres,233.9
CAN,Canada,Natural gas,Total additions to stock,Class A - Commercially recoverable resources,2013,Cubic metres,170
CAN,Canada,Natural gas,Total additions to stock,Class A - Commercially recoverable resources,2014,Cubic metres,106.5
CAN,Canada,Natural gas,Total additions to stock,Class A - Commercially recoverable resources,2015,Cubic metres,280.1
CAN,Canada,Natural gas,Total additions to stock,Class A - Commercially recoverable resources,2016,Cubic metres,136.9
CAN,Canada,Natural gas,Total additions to stock,Class A - Commercially recoverable resources,2017,Cubic metres,161.3
CAN,Canada,Natural gas,Total additions to stock,Class A - Commercially recoverable resources,2018,Cubic metres,188.3
CAN,Canada,Natural gas,Total additions to stock,Class A - Commercially recoverable resources,2019,Cubic metres,549.3
CAN,Canada,Natural gas,Total additions to stock,Class A - Commercially recoverable resources,2020,Cubic metres,172.9
CAN,Canada,Natural gas,Total additions to stock,Class A - Commercially recoverable resources,2021,Cubic metres,179.4
CAN,Canada,Natural gas,Extractions,Class A - Commercially recoverable resources,2000,Cubic metres,167.8
CAN,Canada,Natural gas,Extractions,Class A - Commercially recoverable resources,2001,Cubic metres,171.4
CAN,Canada,Natural gas,Extractions,Class A - Commercially recoverable resources,2002,Cubic metres,172.2
CAN,Canada,Natural gas,Extractions,Class A - Commercially recoverable resources,2003,Cubic metres,166.7
CAN,Canada,Natural gas,Extractions,Class A - Commercially recoverable resources,2004,Cubic metres,167.4
CAN,Canada,Natural gas,Extractions,Class A - Commercially recoverable resources,2005,Cubic metres,170.7
CAN,Canada,Natural gas,Extractions,Class A - Commercially recoverable resources,2006,Cubic metres,171.7
CAN,Canada,Natural gas,Extractions,Class A - Commercially recoverable resources,2007,Cubic metres,167.2
CAN,Canada,Natural gas,Extractions,Class A - Commercially recoverable resources,2008,Cubic metres,157.9
CAN,Canada,Natural gas,Extractions,Class A - Commercially recoverable resources,2009,Cubic metres,147.5
CAN,Canada,Natural gas,Extractions,Class A - Commercially recoverable resources,2010,Cubic metres,144.4
CAN,Canada,Natural gas,Extractions,Class A - Commercially recoverable resources,2011,Cubic metres,144.4
CAN,Canada,Natural gas,Extractions,Class A - Commercially recoverable resources,2012,Cubic metres,141.3
CAN,Canada,Natural gas,Extractions,Class A - Commercially recoverable resources,2013,Cubic metres,141.4
CAN,Canada,Natural gas,Extractions,Class A - Commercially recoverable resources,2014,Cubic metres,147.1
CAN,Canada,Natural gas,Extractions,Class A - Commercially recoverable resources,2015,Cubic metres,149.1
CAN,Canada,Natural gas,Extractions,Class A - Commercially recoverable resources,2016,Cubic metres,159.8
CAN,Canada,Natural gas,Extractions,Class A - Commercially recoverable resources,2017,Cubic metres,173.5
CAN,Canada,Natural gas,Extractions,Class A - Commercially recoverable resources,2018,Cubic metres,177.8
CAN,Canada,Natural gas,Extractions,Class A - Commercially recoverable resources,2019,Cubic metres,171.5
CAN,Canada,Natural gas,Extractions,Class A - Commercially recoverable resources,2020,Cubic metres,166.9
CAN,Canada,Natural gas,Extractions,Class A - Commercially recoverable resources,2021,Cubic metres,173.5
CAN,Canada,Natural gas,Total reductions in stock,Class A - Commercially recoverable resources,2000,Cubic metres,167.8
CAN,Canada,Natural gas,Total reductions in stock,Class A - Commercially recoverable resources,2001,Cubic metres,171.4
CAN,Canada,Natural gas,Total reductions in stock,Class A - Commercially recoverable resources,2002,Cubic metres,172.2
CAN,Canada,Natural gas,Total reductions in stock,Class A - Commercially recoverable resources,2003,Cubic metres,166.7
CAN,Canada,Natural gas,Total reductions in stock,Class A - Commercially recoverable resources,2004,Cubic metres,167.4
CAN,Canada,Natural gas,Total reductions in stock,Class A - Commercially recoverable resources,2005,Cubic metres,170.7
CAN,Canada,Natural gas,Total reductions in stock,Class A - Commercially recoverable resources,2006,Cubic metres,171.7
CAN,Canada,Natural gas,Total reductions in stock,Class A - Commercially recoverable resources,2007,Cubic metres,167.2
CAN,Canada,Natural gas,Total reductions in stock,Class A - Commercially recoverable resources,2008,Cubic metres,157.9
CAN,Canada,Natural gas,Total reductions in stock,Class A - Commercially recoverable resources,2009,Cubic metres,147.5
CAN,Canada,Natural gas,Total reductions in stock,Class A - Commercially recoverable resources,2010,Cubic metres,144.4
CAN,Canada,Natural gas,Total reductions in stock,Class A - Commercially recoverable resources,2011,Cubic metres,144.4
CAN,Canada,Natural gas,Total reductions in stock,Class A - Commercially recoverable resources,2012,Cubic metres,141.3
CAN,Canada,Natural gas,Total reductions in stock,Class A - Commercially recoverable resources,2013,Cubic metres,141.4
CAN,Canada,Natural gas,Total reductions in stock,Class A - Commercially recoverable resources,2014,Cubic metres,147.1
CAN,Canada,Natural gas,Total reductions in stock,Class A - Commercially recoverable resources,2015,Cubic metres,149.1
CAN,Canada,Natural gas,Total reductions in stock,Class A - Commercially recoverable resources,2016,Cubic metres,159.8
CAN,Canada,Natural gas,Total reductions in stock,Class A - Commercially recoverable resources,2017,Cubic metres,173.5
CAN,Canada,Natural gas,Total reductions in stock,Class A - Commercially recoverable resources,2018,Cubic metres,177.8
CAN,Canada,Natural gas,Total reductions in stock,Class A - Commercially recoverable resources,2019,Cubic metres,171.5
CAN,Canada,Natural gas,Total reductions in stock,Class A - Commercially recoverable resources,2020,Cubic metres,166.9
CAN,Canada,Natural gas,Total reductions in stock,Class A - Commercially recoverable resources,2021,Cubic metres,173.5
CAN,Canada,Natural gas,Closing stock,Class A - Commercially recoverable resources,2000,Cubic metres,1682.9
CAN,Canada,Natural gas,Closing stock,Class A - Commercially recoverable resources,2001,Cubic metres,1693.8
CAN,Canada,Natural gas,Closing stock,Class A - Commercially recoverable resources,2002,Cubic metres,1664.2
CAN,Canada,Natural gas,Closing stock,Class A - Commercially recoverable resources,2003,Cubic metres,1594
CAN,Canada,Natural gas,Closing stock,Class A - Commercially recoverable resources,2004,Cubic metres,1593
CAN,Canada,Natural gas,Closing stock,Class A - Commercially recoverable resources,2005,Cubic metres,1632.6
CAN,Canada,Natural gas,Closing stock,Class A - Commercially recoverable resources,2006,Cubic metres,1639.7
CAN,Canada,Natural gas,Closing stock,Class A - Commercially recoverable resources,2007,Cubic metres,1633.8
CAN,Canada,Natural gas,Closing stock,Class A - Commercially recoverable resources,2008,Cubic metres,1754.2
CAN,Canada,Natural gas,Closing stock,Class A - Commercially recoverable resources,2009,Cubic metres,1727.5
CAN,Canada,Natural gas,Closing stock,Class A - Commercially recoverable resources,2010,Cubic metres,1977
CAN,Canada,Natural gas,Closing stock,Class A - Commercially recoverable resources,2011,Cubic metres,1903.1
CAN,Canada,Natural gas,Closing stock,Class A - Commercially recoverable resources,2012,Cubic metres,1995.7
CAN,Canada,Natural gas,Closing stock,Class A - Commercially recoverable resources,2013,Cubic metres,2024.3
CAN,Canada,Natural gas,Closing stock,Class A - Commercially recoverable resources,2014,Cubic metres,1983.7
CAN,Canada,Natural gas,Closing stock,Class A - Commercially recoverable resources,2015,Cubic metres,2118.1
CAN,Canada,Natural gas,Closing stock,Class A - Commercially recoverable resources,2016,Cubic metres,2095.1
CAN,Canada,Natural gas,Closing stock,Class A - Commercially recoverable resources,2017,Cubic metres,2083
CAN,Canada,Natural gas,Closing stock,Class A - Commercially recoverable resources,2018,Cubic metres,2093.5
CAN,Canada,Natural gas,Closing stock,Class A - Commercially recoverable resources,2019,Cubic metres,2471.3
