Country,Variable,Year,Value
Australia,"Total public sewerage (% of resident population connected to a wastewater collecting system), Population connected to the public sewerage without treatment",2021,
Lithuania,"Total public sewerage (% of resident population connected to a wastewater collecting system), Population connected to the public sewerage without treatment",2005,0.19
Lithuania,"Total public sewerage (% of resident population connected to a wastewater collecting system), Population connected to the public sewerage without treatment",2010,0.06
Lithuania,"Total public sewerage (% of resident population connected to a wastewater collecting system), Population connected to the public sewerage without treatment",2015,0.04
Lithuania,"Total public sewerage (% of resident population connected to a wastewater collecting system), Population connected to the public sewerage without treatment",2016,0.03
Lithuania,"Total public sewerage (% of resident population connected to a wastewater collecting system), Population connected to the public sewerage without treatment",2017,0.03
Lithuania,"Total public sewerage (% of resident population connected to a wastewater collecting system), Population connected to the public sewerage without treatment",2018,0.02
Lithuania,"Total public sewerage (% of resident population connected to a wastewater collecting system), Population connected to the public sewerage without treatment",2019,0.01
Lithuania,"Total public sewerage (% of resident population connected to a wastewater collecting system), Population connected to the public sewerage without treatment",2020,0.01
Lithuania,"Total public sewerage (% of resident population connected to a wastewater collecting system), Population connected to the public sewerage without treatment",2021,0.0057
Hungary,"Public total treatment (connected to a wastewater treatment plant), Tertiary treatment",1970,
Hungary,"Public total treatment (connected to a wastewater treatment plant), Tertiary treatment",1980,
Hungary,"Public total treatment (connected to a wastewater treatment plant), Tertiary treatment",1990,1.1
Hungary,"Public total treatment (connected to a wastewater treatment plant), Tertiary treatment",2000,5.5
Hungary,"Public total treatment (connected to a wastewater treatment plant), Tertiary treatment",2005,21.3
Hungary,"Public total treatment (connected to a wastewater treatment plant), Tertiary treatment",2010,33.1
Hungary,"Public total treatment (connected to a wastewater treatment plant), Tertiary treatment",2015,66.4
Hungary,"Public total treatment (connected to a wastewater treatment plant), Tertiary treatment",2016,68.66
Hungary,"Public total treatment (connected to a wastewater treatment plant), Tertiary treatment",2017,72.006
Hungary,"Public total treatment (connected to a wastewater treatment plant), Tertiary treatment",2018,73.285
Hungary,"Public total treatment (connected to a wastewater treatment plant), Tertiary treatment",2019,73.344
Hungary,"Public total treatment (connected to a wastewater treatment plant), Tertiary treatment",2020,73.68
Hungary,"Public total treatment (connected to a wastewater treatment plant), Tertiary treatment",2021,77.36
Poland,"Public total treatment (connected to a wastewater treatment plant), Primary treatment",2000,3.4
Poland,"Public total treatment (connected to a wastewater treatment plant), Primary treatment",2005,2.1
Poland,"Public total treatment (connected to a wastewater treatment plant), Primary treatment",2010,0.1
Poland,"Public total treatment (connected to a wastewater treatment plant), Primary treatment",2015,
Poland,"Public total treatment (connected to a wastewater treatment plant), Primary treatment",2016,
Poland,"Public total treatment (connected to a wastewater treatment plant), Primary treatment",2017,
Poland,"Public total treatment (connected to a wastewater treatment plant), Primary treatment",2018,
Poland,"Public total treatment (connected to a wastewater treatment plant), Primary treatment",2019,
Poland,"Public total treatment (connected to a wastewater treatment plant), Primary treatment",2020,0.03
Poland,"Public total treatment (connected to a wastewater treatment plant), Primary treatment",2021,0.03
Norway,Population connected to independent treatment,1990,23
Norway,Population connected to independent treatment,2000,20
Norway,Population connected to independent treatment,2005,17.1
Norway,Population connected to independent treatment,2010,16.34
Norway,Population connected to independent treatment,2015,15.08
Norway,Population connected to independent treatment,2016,15.07
Norway,Population connected to independent treatment,2017,14.8209
Norway,Population connected to independent treatment,2018,14.47
Norway,Population connected to independent treatment,2019,14.85
Norway,Population connected to independent treatment,2020,14.23
Norway,Population connected to independent treatment,2021,13.7634
Czech Republic,"Public total treatment (connected to a wastewater treatment plant), Primary treatment",2005,0.2
Czech Republic,"Public total treatment (connected to a wastewater treatment plant), Primary treatment",2010,0.1
Czech Republic,"Public total treatment (connected to a wastewater treatment plant), Primary treatment",2015,0.1
Czech Republic,"Public total treatment (connected to a wastewater treatment plant), Primary treatment",2016,0.1
Czech Republic,"Public total treatment (connected to a wastewater treatment plant), Primary treatment",2017,0.1
Czech Republic,"Public total treatment (connected to a wastewater treatment plant), Primary treatment",2018,0.1
Czech Republic,"Public total treatment (connected to a wastewater treatment plant), Primary treatment",2019,0.1
Czech Republic,"Public total treatment (connected to a wastewater treatment plant), Primary treatment",2020,0.1
Czech Republic,"Public total treatment (connected to a wastewater treatment plant), Primary treatment",2021,0.1
Mexico,"Total public sewerage (% of resident population connected to a wastewater collecting system), Population connected to the public sewerage without treatment",2000,36.3
Mexico,"Total public sewerage (% of resident population connected to a wastewater collecting system), Population connected to the public sewerage without treatment",2005,32.6
Mexico,"Total public sewerage (% of resident population connected to a wastewater collecting system), Population connected to the public sewerage without treatment",2010,25.8002
Türkiye,Public total treatment (connected to a wastewater treatment plant),2000,26.3
Türkiye,Public total treatment (connected to a wastewater treatment plant),2005,42.1
Türkiye,Public total treatment (connected to a wastewater treatment plant),2010,52.1
Türkiye,Public total treatment (connected to a wastewater treatment plant),2015,69.919
Türkiye,Public total treatment (connected to a wastewater treatment plant),2016,70.7
Türkiye,Public total treatment (connected to a wastewater treatment plant),2017,74.24
Türkiye,Public total treatment (connected to a wastewater treatment plant),2018,74.447
Türkiye,Public total treatment (connected to a wastewater treatment plant),2019,73.931
Türkiye,Public total treatment (connected to a wastewater treatment plant),2020,74.043
Estonia,Total connected to wastewater treatment,2000,70
Estonia,Total connected to wastewater treatment,2005,79
Estonia,Total connected to wastewater treatment,2010,87
Estonia,Total connected to wastewater treatment,2015,88
Estonia,Total connected to wastewater treatment,2016,88
Estonia,Total connected to wastewater treatment,2017,88
Estonia,Total connected to wastewater treatment,2018,83
Estonia,Total connected to wastewater treatment,2019,83
Estonia,Total connected to wastewater treatment,2020,83
Greece,"Public total treatment (connected to a wastewater treatment plant) , Unspecified (other) treatment",2010,
Greece,"Public total treatment (connected to a wastewater treatment plant) , Unspecified (other) treatment",2015,
Greece,"Public total treatment (connected to a wastewater treatment plant) , Unspecified (other) treatment",2016,
Greece,"Public total treatment (connected to a wastewater treatment plant) , Unspecified (other) treatment",2017,
Greece,"Public total treatment (connected to a wastewater treatment plant) , Unspecified (other) treatment",2018,
Greece,"Public total treatment (connected to a wastewater treatment plant) , Unspecified (other) treatment",2019,
Greece,"Public total treatment (connected to a wastewater treatment plant) , Unspecified (other) treatment",2020,
Greece,"Public total treatment (connected to a wastewater treatment plant) , Unspecified (other) treatment",2021,
Switzerland,"Total public sewerage (% of resident population connected to a wastewater collecting system), Population connected to the public sewerage without treatment",2000,
Switzerland,"Total public sewerage (% of resident population connected to a wastewater collecting system), Population connected to the public sewerage without treatment",2005,1.1
Switzerland,"Total public sewerage (% of resident population connected to a wastewater collecting system), Population connected to the public sewerage without treatment",2010,1
Belgium,"Public total treatment (connected to a wastewater treatment plant), Primary treatment",1970,
Belgium,"Public total treatment (connected to a wastewater treatment plant), Primary treatment",1980,
Belgium,"Public total treatment (connected to a wastewater treatment plant), Primary treatment",2000,
Belgium,"Public total treatment (connected to a wastewater treatment plant), Primary treatment",2005,
Belgium,"Public total treatment (connected to a wastewater treatment plant), Primary treatment",2010,
Belgium,"Public total treatment (connected to a wastewater treatment plant), Primary treatment",2015,
Belgium,"Public total treatment (connected to a wastewater treatment plant), Primary treatment",2016,
Belgium,"Public total treatment (connected to a wastewater treatment plant), Primary treatment",2017,
Belgium,"Public total treatment (connected to a wastewater treatment plant), Primary treatment",2018,
Belgium,"Public total treatment (connected to a wastewater treatment plant), Primary treatment",2019,
Belgium,"Public total treatment (connected to a wastewater treatment plant), Primary treatment",2020,
Belgium,"Public total treatment (connected to a wastewater treatment plant), Primary treatment",2021,
New Zealand,"Public total treatment (connected to a wastewater treatment plant), Tertiary treatment",1990,40
New Zealand,"Public total treatment (connected to a wastewater treatment plant), Tertiary treatment",2000,40
Ireland,Total connected to wastewater treatment,1990,68
Ireland,Total connected to wastewater treatment,2015,93.5
Ireland,Total connected to wastewater treatment,2016,93.7
Ireland,Total connected to wastewater treatment,2017,94.1
Ireland,Total connected to wastewater treatment,2018,94.4
Ireland,Total connected to wastewater treatment,2019,94.4
Ireland,Total connected to wastewater treatment,2020,94.51
Ireland,Total connected to wastewater treatment,2021,94.75
Israel,"Public total treatment (connected to a wastewater treatment plant), Primary treatment",1980,23.9
Israel,"Public total treatment (connected to a wastewater treatment plant), Primary treatment",1990,15.9
Israel,"Public total treatment (connected to a wastewater treatment plant), Primary treatment",2000,11.8
Israel,"Public total treatment (connected to a wastewater treatment plant), Primary treatment",2005,8.9
Israel,"Public total treatment (connected to a wastewater treatment plant), Primary treatment",2010,5.9
Israel,"Public total treatment (connected to a wastewater treatment plant), Primary treatment",2015,5
Israel,"Public total treatment (connected to a wastewater treatment plant), Primary treatment",2016,4.9
Israel,"Public total treatment (connected to a wastewater treatment plant), Primary treatment",2017,4.8
Israel,"Public total treatment (connected to a wastewater treatment plant), Primary treatment",2018,4.6
Israel,"Public total treatment (connected to a wastewater treatment plant), Primary treatment",2019,4.4
Israel,"Public total treatment (connected to a wastewater treatment plant), Primary treatment",2020,4.4
Israel,"Public total treatment (connected to a wastewater treatment plant), Primary treatment",2021,3.1
Canada,Population connected to independent treatment,2015,14.2
Canada,Population connected to independent treatment,2016,14.3
Canada,Population connected to independent treatment,2017,14.3
Italy,Public total treatment (connected to a wastewater treatment plant),1970,14
Italy,Public total treatment (connected to a wastewater treatment plant),1980,30
Italy,Public total treatment (connected to a wastewater treatment plant),1990,60.7
Italy,Public total treatment (connected to a wastewater treatment plant),2005,56.5
Italy,Public total treatment (connected to a wastewater treatment plant),2015,62.5
Italy,Public total treatment (connected to a wastewater treatment plant),2018,70
England and Wales,Total public sewerage (% of resident population connected to a wastewater collecting system),2005,99.4
Slovak Republic,"Public total treatment (connected to a wastewater treatment plant) , Unspecified (other) treatment",2000,50.5
Slovak Republic,"Public total treatment (connected to a wastewater treatment plant) , Unspecified (other) treatment",2005,55
Slovak Republic,"Public total treatment (connected to a wastewater treatment plant) , Unspecified (other) treatment",2010,58.9
Slovak Republic,"Public total treatment (connected to a wastewater treatment plant) , Unspecified (other) treatment",2015,64.5
Slovak Republic,"Public total treatment (connected to a wastewater treatment plant) , Unspecified (other) treatment",2016,
Slovak Republic,"Public total treatment (connected to a wastewater treatment plant) , Unspecified (other) treatment",2017,
Slovak Republic,"Public total treatment (connected to a wastewater treatment plant) , Unspecified (other) treatment",2018,
Slovak Republic,"Public total treatment (connected to a wastewater treatment plant) , Unspecified (other) treatment",2019,0.01
Slovak Republic,"Public total treatment (connected to a wastewater treatment plant) , Unspecified (other) treatment",2020,
Slovak Republic,"Public total treatment (connected to a wastewater treatment plant) , Unspecified (other) treatment",2021,
United Kingdom,"Public total treatment (connected to a wastewater treatment plant), Primary treatment",2010,
Netherlands,"Public total treatment (connected to a wastewater treatment plant), Secondary treatment",1970,29
Netherlands,"Public total treatment (connected to a wastewater treatment plant), Secondary treatment",1980,61.9
Netherlands,"Public total treatment (connected to a wastewater treatment plant), Secondary treatment",1990,84.4
Netherlands,"Public total treatment (connected to a wastewater treatment plant), Secondary treatment",2000,16.5
Netherlands,"Public total treatment (connected to a wastewater treatment plant), Secondary treatment",2005,2.5
Netherlands,"Public total treatment (connected to a wastewater treatment plant), Secondary treatment",2010,1.3
Netherlands,"Public total treatment (connected to a wastewater treatment plant), Secondary treatment",2015,0.9
Netherlands,"Public total treatment (connected to a wastewater treatment plant), Secondary treatment",2016,0.8
Netherlands,"Public total treatment (connected to a wastewater treatment plant), Secondary treatment",2017,0.2
Netherlands,"Public total treatment (connected to a wastewater treatment plant), Secondary treatment",2018,0.1
Netherlands,"Public total treatment (connected to a wastewater treatment plant), Secondary treatment",2019,0.1
Netherlands,"Public total treatment (connected to a wastewater treatment plant), Secondary treatment",2020,0.09
Netherlands,"Public total treatment (connected to a wastewater treatment plant), Secondary treatment",2021,
Luxembourg,Total public sewerage (% of resident population connected to a wastewater collecting system),2010,97.1
Luxembourg,Total public sewerage (% of resident population connected to a wastewater collecting system),2015,100
Luxembourg,Total public sewerage (% of resident population connected to a wastewater collecting system),2016,100
Luxembourg,Total public sewerage (% of resident population connected to a wastewater collecting system),2017,100
Luxembourg,Total public sewerage (% of resident population connected to a wastewater collecting system),2018,100
Luxembourg,Total public sewerage (% of resident population connected to a wastewater collecting system),2019,100
Luxembourg,Total public sewerage (% of resident population connected to a wastewater collecting system),2020,100
Luxembourg,Total public sewerage (% of resident population connected to a wastewater collecting system),2021,100
Sweden,Public total treatment (connected to a wastewater treatment plant),2000,86
Sweden,Public total treatment (connected to a wastewater treatment plant),2005,86
Sweden,Public total treatment (connected to a wastewater treatment plant),2010,86
Sweden,Public total treatment (connected to a wastewater treatment plant),2015,87
Sweden,Public total treatment (connected to a wastewater treatment plant),2016,87
Sweden,Public total treatment (connected to a wastewater treatment plant),2017,87
Sweden,Public total treatment (connected to a wastewater treatment plant),2018,88
Sweden,Public total treatment (connected to a wastewater treatment plant),2019,88
Sweden,Public total treatment (connected to a wastewater treatment plant),2020,88
Estonia,"Total public sewerage (% of resident population connected to a wastewater collecting system), Population connected to the public sewerage without treatment",1990,9
Estonia,"Total public sewerage (% of resident population connected to a wastewater collecting system), Population connected to the public sewerage without treatment",2000,1
Estonia,"Total public sewerage (% of resident population connected to a wastewater collecting system), Population connected to the public sewerage without treatment",2005,
Estonia,"Total public sewerage (% of resident population connected to a wastewater collecting system), Population connected to the public sewerage without treatment",2010,
Estonia,"Total public sewerage (% of resident population connected to a wastewater collecting system), Population connected to the public sewerage without treatment",2015,
Estonia,"Total public sewerage (% of resident population connected to a wastewater collecting system), Population connected to the public sewerage without treatment",2016,
Estonia,"Total public sewerage (% of resident population connected to a wastewater collecting system), Population connected to the public sewerage without treatment",2017,
Estonia,"Total public sewerage (% of resident population connected to a wastewater collecting system), Population connected to the public sewerage without treatment",2018,
Estonia,"Total public sewerage (% of resident population connected to a wastewater collecting system), Population connected to the public sewerage without treatment",2019,
Estonia,"Total public sewerage (% of resident population connected to a wastewater collecting system), Population connected to the public sewerage without treatment",2020,
Estonia,"Total public sewerage (% of resident population connected to a wastewater collecting system), Population connected to the public sewerage without treatment",2021,
Finland,"Public total treatment (connected to a wastewater treatment plant), Secondary treatment",1970,11
Finland,"Public total treatment (connected to a wastewater treatment plant), Secondary treatment",1980,1
Finland,"Public total treatment (connected to a wastewater treatment plant), Secondary treatment",1990,
Finland,"Public total treatment (connected to a wastewater treatment plant), Secondary treatment",2000,
Finland,"Public total treatment (connected to a wastewater treatment plant), Secondary treatment",2005,
Finland,"Public total treatment (connected to a wastewater treatment plant), Secondary treatment",2010,
Finland,"Public total treatment (connected to a wastewater treatment plant), Secondary treatment",2015,
Finland,"Public total treatment (connected to a wastewater treatment plant), Secondary treatment",2016,
Finland,"Public total treatment (connected to a wastewater treatment plant), Secondary treatment",2017,
Finland,"Public total treatment (connected to a wastewater treatment plant), Secondary treatment",2018,
Finland,"Public total treatment (connected to a wastewater treatment plant), Secondary treatment",2019,
Finland,"Public total treatment (connected to a wastewater treatment plant), Secondary treatment",2020,
Finland,"Public total treatment (connected to a wastewater treatment plant), Secondary treatment",2021,
England and Wales,"Public total treatment (connected to a wastewater treatment plant), Primary treatment",2005,0.1
Denmark,"Public total treatment (connected to a wastewater treatment plant), Tertiary treatment",1970,
Denmark,"Public total treatment (connected to a wastewater treatment plant), Tertiary treatment",1990,29.1
Denmark,"Public total treatment (connected to a wastewater treatment plant), Tertiary treatment",2000,82.7
Denmark,"Public total treatment (connected to a wastewater treatment plant), Tertiary treatment",2005,84
Denmark,"Public total treatment (connected to a wastewater treatment plant), Tertiary treatment",2010,85.4
Denmark,"Public total treatment (connected to a wastewater treatment plant), Tertiary treatment",2015,88.9
Denmark,"Public total treatment (connected to a wastewater treatment plant), Tertiary treatment",2016,89.3
Denmark,"Public total treatment (connected to a wastewater treatment plant), Tertiary treatment",2017,90
Denmark,"Public total treatment (connected to a wastewater treatment plant), Tertiary treatment",2018,90.2
Denmark,"Public total treatment (connected to a wastewater treatment plant), Tertiary treatment",2019,90.5
Denmark,"Public total treatment (connected to a wastewater treatment plant), Tertiary treatment",2020,90.8
Luxembourg,"Public total treatment (connected to a wastewater treatment plant), Primary treatment",1970,23
Luxembourg,"Public total treatment (connected to a wastewater treatment plant), Primary treatment",1980,16
Luxembourg,"Public total treatment (connected to a wastewater treatment plant), Primary treatment",2010,4.4
Luxembourg,"Public total treatment (connected to a wastewater treatment plant), Primary treatment",2015,1.9
Luxembourg,"Public total treatment (connected to a wastewater treatment plant), Primary treatment",2016,1.6
Luxembourg,"Public total treatment (connected to a wastewater treatment plant), Primary treatment",2017,1.6
Luxembourg,"Public total treatment (connected to a wastewater treatment plant), Primary treatment",2018,1.4
Luxembourg,"Public total treatment (connected to a wastewater treatment plant), Primary treatment",2019,1.2
Luxembourg,"Public total treatment (connected to a wastewater treatment plant), Primary treatment",2020,1
Luxembourg,"Public total treatment (connected to a wastewater treatment plant), Primary treatment",2021,0.9
Slovenia,Public total treatment (connected to a wastewater treatment plant),2000,36.2
Slovenia,Public total treatment (connected to a wastewater treatment plant),2005,49.9
Slovenia,Public total treatment (connected to a wastewater treatment plant),2010,51.7
Slovenia,Public total treatment (connected to a wastewater treatment plant),2015,56.5
Slovenia,Public total treatment (connected to a wastewater treatment plant),2016,62.1
Slovenia,Public total treatment (connected to a wastewater treatment plant),2017,66
Slovenia,Public total treatment (connected to a wastewater treatment plant),2018,67.2
Slovenia,Public total treatment (connected to a wastewater treatment plant),2019,67.5
Slovenia,Public total treatment (connected to a wastewater treatment plant),2020,67.3
Slovenia,Public total treatment (connected to a wastewater treatment plant),2021,67.55
Israel,Total public sewerage (% of resident population connected to a wastewater collecting system),1980,80.5
Israel,Total public sewerage (% of resident population connected to a wastewater collecting system),1990,88.5
Israel,Total public sewerage (% of resident population connected to a wastewater collecting system),2000,94.3
Israel,Total public sewerage (% of resident population connected to a wastewater collecting system),2005,97
Israel,Total public sewerage (% of resident population connected to a wastewater collecting system),2010,98.1
Israel,Total public sewerage (% of resident population connected to a wastewater collecting system),2015,99
Israel,Total public sewerage (% of resident population connected to a wastewater collecting system),2016,99
Israel,Total public sewerage (% of resident population connected to a wastewater collecting system),2017,99
Israel,Total public sewerage (% of resident population connected to a wastewater collecting system),2018,99
Israel,Total public sewerage (% of resident population connected to a wastewater collecting system),2019,99.2
Israel,Total public sewerage (% of resident population connected to a wastewater collecting system),2020,99.2
Israel,Total public sewerage (% of resident population connected to a wastewater collecting system),2021,99.2
Ireland,"Total public sewerage (% of resident population connected to a wastewater collecting system), Population connected to the public sewerage without treatment",1990,22
Ireland,"Total public sewerage (% of resident population connected to a wastewater collecting system), Population connected to the public sewerage without treatment",2015,2.01
Ireland,"Total public sewerage (% of resident population connected to a wastewater collecting system), Population connected to the public sewerage without treatment",2016,1.6
Ireland,"Total public sewerage (% of resident population connected to a wastewater collecting system), Population connected to the public sewerage without treatment",2017,1.2
Ireland,"Total public sewerage (% of resident population connected to a wastewater collecting system), Population connected to the public sewerage without treatment",2018,0.98
Ireland,"Total public sewerage (% of resident population connected to a wastewater collecting system), Population connected to the public sewerage without treatment",2019,0.97
Ireland,"Total public sewerage (% of resident population connected to a wastewater collecting system), Population connected to the public sewerage without treatment",2020,0.82
Ireland,"Total public sewerage (% of resident population connected to a wastewater collecting system), Population connected to the public sewerage without treatment",2021,0.58
Czech Republic,"Public total treatment (connected to a wastewater treatment plant) , Unspecified (other) treatment",1980,1.2
Czech Republic,"Public total treatment (connected to a wastewater treatment plant) , Unspecified (other) treatment",1990,1.4
Czech Republic,"Public total treatment (connected to a wastewater treatment plant) , Unspecified (other) treatment",2000,
Czech Republic,"Public total treatment (connected to a wastewater treatment plant) , Unspecified (other) treatment",2005,
Czech Republic,"Public total treatment (connected to a wastewater treatment plant) , Unspecified (other) treatment",2010,
Czech Republic,"Public total treatment (connected to a wastewater treatment plant) , Unspecified (other) treatment",2015,
Czech Republic,"Public total treatment (connected to a wastewater treatment plant) , Unspecified (other) treatment",2016,
Czech Republic,"Public total treatment (connected to a wastewater treatment plant) , Unspecified (other) treatment",2017,
Czech Republic,"Public total treatment (connected to a wastewater treatment plant) , Unspecified (other) treatment",2018,
Czech Republic,"Public total treatment (connected to a wastewater treatment plant) , Unspecified (other) treatment",2019,
Czech Republic,"Public total treatment (connected to a wastewater treatment plant) , Unspecified (other) treatment",2020,
Czech Republic,"Public total treatment (connected to a wastewater treatment plant) , Unspecified (other) treatment",2021,
Chile,Public total treatment (connected to a wastewater treatment plant),2000,20.9
Chile,Public total treatment (connected to a wastewater treatment plant),2005,73.3
Chile,Public total treatment (connected to a wastewater treatment plant),2010,86.93
Chile,Public total treatment (connected to a wastewater treatment plant),2015,99.85
Chile,Public total treatment (connected to a wastewater treatment plant),2016,99.93
Chile,Public total treatment (connected to a wastewater treatment plant),2017,99.97
Chile,Public total treatment (connected to a wastewater treatment plant),2018,99.98
Chile,Public total treatment (connected to a wastewater treatment plant),2019,99.98
Chile,Public total treatment (connected to a wastewater treatment plant),2020,99.98
Chile,Public total treatment (connected to a wastewater treatment plant),2021,99.98
Hungary,Total connected to wastewater treatment,1970,21
Hungary,Total connected to wastewater treatment,1980,36
Hungary,Total connected to wastewater treatment,1990,39.4
Hungary,Total connected to wastewater treatment,2000,63.6
Türkiye,"Public total treatment (connected to a wastewater treatment plant), Secondary treatment",2000,14.6
Türkiye,"Public total treatment (connected to a wastewater treatment plant), Secondary treatment",2005,18.5
Türkiye,"Public total treatment (connected to a wastewater treatment plant), Secondary treatment",2010,19.8
Türkiye,"Public total treatment (connected to a wastewater treatment plant), Secondary treatment",2015,23.685
Türkiye,"Public total treatment (connected to a wastewater treatment plant), Secondary treatment",2016,23.883
Türkiye,"Public total treatment (connected to a wastewater treatment plant), Secondary treatment",2017,24.215
Türkiye,"Public total treatment (connected to a wastewater treatment plant), Secondary treatment",2018,24.203
Türkiye,"Public total treatment (connected to a wastewater treatment plant), Secondary treatment",2019,22.515
Türkiye,"Public total treatment (connected to a wastewater treatment plant), Secondary treatment",2020,22.614
South Africa,Total public sewerage (% of resident population connected to a wastewater collecting system),2016,76
South Africa,Total public sewerage (% of resident population connected to a wastewater collecting system),2017,62
South Africa,Total public sewerage (% of resident population connected to a wastewater collecting system),2018,63
South Africa,Total public sewerage (% of resident population connected to a wastewater collecting system),2019,62
South Africa,Total public sewerage (% of resident population connected to a wastewater collecting system),2020,60
South Africa,Total public sewerage (% of resident population connected to a wastewater collecting system),2021,61
United Kingdom,Total public sewerage (% of resident population connected to a wastewater collecting system),2010,99.9
Costa Rica,"Public total treatment (connected to a wastewater treatment plant), Primary treatment",2016,5.042
Costa Rica,"Public total treatment (connected to a wastewater treatment plant), Primary treatment",2017,4.9839
Costa Rica,"Public total treatment (connected to a wastewater treatment plant), Primary treatment",2018,4.8856
