observationDate,observationPeriod,measurementMethod,observationAbout,value,agg_by,variableMeasured
1972-04,P1Y,dcAggregate/NORSNonInfectiousDisease,geoId/08,167.0,Transmission Mode,dcs:Count_MedicalConditionIncident_WaterborneTransmission
1972-04,P1Y,dcAggregate/NORSNonInfectiousDisease,geoId/18,2.0,Transmission Mode,dcs:Count_MedicalConditionIncident_WaterborneTransmission
1972-05,P1Y,dcAggregate/NORSNonInfectiousDisease,geoId/06,26.0,Transmission Mode,dcs:Count_MedicalConditionIncident_WaterborneTransmission
1972-05,P1Y,dcAggregate/NORSNonInfectiousDisease,geoId/08,52.0,Transmission Mode,dcs:Count_MedicalConditionIncident_WaterborneTransmission
1972-05,P1Y,dcAggregate/NORSNonInfectiousDisease,geoId/12,40.0,Transmission Mode,dcs:Count_MedicalConditionIncident_WaterborneTransmission
1972-05,P1Y,dcAggregate/NORSNonInfectiousDisease,geoId/17,90.0,Transmission Mode,dcs:Count_MedicalConditionIncident_WaterborneTransmission
1972-05,P1Y,dcAggregate/NORSNonInfectiousDisease,geoId/27,11.0,Transmission Mode,dcs:Count_MedicalConditionIncident_WaterborneTransmission
1972-05,P1Y,dcAggregate/NORSNonInfectiousDisease,geoId/39,9.0,Transmission Mode,dcs:Count_MedicalConditionIncident_WaterborneTransmission
1972-05,P1Y,dcAggregate/NORSNonInfectiousDisease,geoId/41,37.0,Transmission Mode,dcs:Count_MedicalConditionIncident_WaterborneTransmission
1972-06,P1Y,dcAggregate/NORSNonInfectiousDisease,geoId/24,88.0,Transmission Mode,dcs:Count_MedicalConditionIncident_WaterborneTransmission
1972-06,P1Y,dcAggregate/NORSNonInfectiousDisease,geoId/25,3.0,Transmission Mode,dcs:Count_MedicalConditionIncident_WaterborneTransmission
1972-06,P1Y,dcAggregate/NORSNonInfectiousDisease,geoId/42,150.0,Transmission Mode,dcs:Count_MedicalConditionIncident_WaterborneTransmission
1972-06,P1Y,dcAggregate/NORSNonInfectiousDisease,geoId/53,5.0,Transmission Mode,dcs:Count_MedicalConditionIncident_WaterborneTransmission
1972-07,P1Y,dcAggregate/NORSNonInfectiousDisease,geoId/39,12.0,Transmission Mode,dcs:Count_MedicalConditionIncident_WaterborneTransmission
1972-07,P1Y,dcAggregate/NORSNonInfectiousDisease,geoId/42,5.0,Transmission Mode,dcs:Count_MedicalConditionIncident_WaterborneTransmission
1972-08,P1Y,dcAggregate/NORSNonInfectiousDisease,geoId/01,9.0,Transmission Mode,dcs:Count_MedicalConditionIncident_WaterborneTransmission
1972-08,P1Y,dcAggregate/NORSNonInfectiousDisease,geoId/37,9.0,Transmission Mode,dcs:Count_MedicalConditionIncident_WaterborneTransmission
1972-09,P1Y,dcAggregate/NORSNonInfectiousDisease,geoId/15,61.0,Transmission Mode,dcs:Count_MedicalConditionIncident_WaterborneTransmission
1972-09,P1Y,dcAggregate/NORSNonInfectiousDisease,geoId/47,19.0,Transmission Mode,dcs:Count_MedicalConditionIncident_WaterborneTransmission
1972-09,P1Y,dcAggregate/NORSNonInfectiousDisease,geoId/49,60.0,Transmission Mode,dcs:Count_MedicalConditionIncident_WaterborneTransmission
1972-09,P1Y,dcAggregate/NORSNonInfectiousDisease,geoId/53,3.0,Transmission Mode,dcs:Count_MedicalConditionIncident_WaterborneTransmission
1972-10,P1Y,dcAggregate/NORSNonInfectiousDisease,geoId/01,50.0,Transmission Mode,dcs:Count_MedicalConditionIncident_WaterborneTransmission
1972-11,P1Y,dcAggregate/NORSNonInfectiousDisease,geoId/12,41.0,Transmission Mode,dcs:Count_MedicalConditionIncident_WaterborneTransmission
1972-11,P1Y,dcAggregate/NORSNonInfectiousDisease,geoId/19,208.0,Transmission Mode,dcs:Count_MedicalConditionIncident_WaterborneTransmission
1972-11,P1Y,dcAggregate/NORSNonInfectiousDisease,geoId/54,60.0,Transmission Mode,dcs:Count_MedicalConditionIncident_WaterborneTransmission
1972-12,P1Y,dcAggregate/NORSNonInfectiousDisease,geoId/08,12.0,Transmission Mode,dcs:Count_MedicalConditionIncident_WaterborneTransmission
1973-02,P1Y,dcAggregate/NORSNonInfectiousDisease,geoId/01,50.0,Transmission Mode,dcs:Count_MedicalConditionIncident_WaterborneTransmission
1973-02,P1Y,dcAggregate/NORSNonInfectiousDisease,geoId/12,210.0,Transmission Mode,dcs:Count_MedicalConditionIncident_WaterborneTransmission
1973-03,P1Y,dcAggregate/NORSNonInfectiousDisease,geoId/34,2.0,Transmission Mode,dcs:Count_MedicalConditionIncident_WaterborneTransmission
1973-04,P1Y,dcAggregate/NORSNonInfectiousDisease,geoId/24,2.0,Transmission Mode,dcs:Count_MedicalConditionIncident_WaterborneTransmission
1973-06,P1Y,dcAggregate/NORSNonInfectiousDisease,geoId/04,2.0,Transmission Mode,dcs:Count_MedicalConditionIncident_WaterborneTransmission
1973-06,P1Y,dcAggregate/NORSNonInfectiousDisease,geoId/34,22.0,Transmission Mode,dcs:Count_MedicalConditionIncident_WaterborneTransmission
1973-06,P1Y,dcAggregate/NORSNonInfectiousDisease,geoId/42,109.0,Transmission Mode,dcs:Count_MedicalConditionIncident_WaterborneTransmission
1973-06,P1Y,dcAggregate/NORSNonInfectiousDisease,geoId/51,12.0,Transmission Mode,dcs:Count_MedicalConditionIncident_WaterborneTransmission
1973-07,P1Y,dcAggregate/NORSNonInfectiousDisease,geoId/02,50.0,Transmission Mode,dcs:Count_MedicalConditionIncident_WaterborneTransmission
1973-07,P1Y,dcAggregate/NORSNonInfectiousDisease,geoId/05,225.0,Transmission Mode,dcs:Count_MedicalConditionIncident_WaterborneTransmission
1973-07,P1Y,dcAggregate/NORSNonInfectiousDisease,geoId/08,16.0,Transmission Mode,dcs:Count_MedicalConditionIncident_WaterborneTransmission
1973-07,P1Y,dcAggregate/NORSNonInfectiousDisease,geoId/39,35.0,Transmission Mode,dcs:Count_MedicalConditionIncident_WaterborneTransmission
1973-07,P1Y,dcAggregate/NORSNonInfectiousDisease,geoId/41,29.0,Transmission Mode,dcs:Count_MedicalConditionIncident_WaterborneTransmission
1973-07,P1Y,dcAggregate/NORSNonInfectiousDisease,geoId/51,10.0,Transmission Mode,dcs:Count_MedicalConditionIncident_WaterborneTransmission
1973-08,P1Y,dcAggregate/NORSNonInfectiousDisease,geoId/05,42.0,Transmission Mode,dcs:Count_MedicalConditionIncident_WaterborneTransmission
1973-08,P1Y,dcAggregate/NORSNonInfectiousDisease,geoId/09,74.0,Transmission Mode,dcs:Count_MedicalConditionIncident_WaterborneTransmission
1973-08,P1Y,dcAggregate/NORSNonInfectiousDisease,geoId/34,46.0,Transmission Mode,dcs:Count_MedicalConditionIncident_WaterborneTransmission
1973-08,P1Y,dcAggregate/NORSNonInfectiousDisease,geoId/42,205.0,Transmission Mode,dcs:Count_MedicalConditionIncident_WaterborneTransmission
1973-08,P1Y,dcAggregate/NORSNonInfectiousDisease,geoId/47,5.0,Transmission Mode,dcs:Count_MedicalConditionIncident_WaterborneTransmission
1973-09,P1Y,dcAggregate/NORSNonInfectiousDisease,geoId/42,153.0,Transmission Mode,dcs:Count_MedicalConditionIncident_WaterborneTransmission
1973-10,P1Y,dcAggregate/NORSNonInfectiousDisease,geoId/12,194.0,Transmission Mode,dcs:Count_MedicalConditionIncident_WaterborneTransmission
1973-11,P1Y,dcAggregate/NORSNonInfectiousDisease,geoId/50,32.0,Transmission Mode,dcs:Count_MedicalConditionIncident_WaterborneTransmission
1973-12,P1Y,dcAggregate/NORSNonInfectiousDisease,geoId/24,94.0,Transmission Mode,dcs:Count_MedicalConditionIncident_WaterborneTransmission
1973-12,P1Y,dcAggregate/NORSNonInfectiousDisease,geoId/42,145.0,Transmission Mode,dcs:Count_MedicalConditionIncident_WaterborneTransmission
1973-12,P1Y,dcAggregate/NORSNonInfectiousDisease,geoId/50,20.0,Transmission Mode,dcs:Count_MedicalConditionIncident_WaterborneTransmission
1974-01,P1Y,dcAggregate/NORSNonInfectiousDisease,geoId/12,1200.0,Transmission Mode,dcs:Count_MedicalConditionIncident_WaterborneTransmission
1974-01,P1Y,dcAggregate/NORSNonInfectiousDisease,geoId/34,57.0,Transmission Mode,dcs:Count_MedicalConditionIncident_WaterborneTransmission
1974-02,P1Y,dcAggregate/NORSNonInfectiousDisease,geoId/41,18.0,Transmission Mode,dcs:Count_MedicalConditionIncident_WaterborneTransmission
1974-03,P1Y,dcAggregate/NORSNonInfectiousDisease,geoId/16,9.0,Transmission Mode,dcs:Count_MedicalConditionIncident_WaterborneTransmission
1974-04,P1Y,dcAggregate/NORSNonInfectiousDisease,geoId/37,213.0,Transmission Mode,dcs:Count_MedicalConditionIncident_WaterborneTransmission
1974-06,P1Y,dcAggregate/NORSNonInfectiousDisease,geoId/08,18.0,Transmission Mode,dcs:Count_MedicalConditionIncident_WaterborneTransmission
1974-06,P1Y,dcAggregate/NORSNonInfectiousDisease,geoId/33,78.0,Transmission Mode,dcs:Count_MedicalConditionIncident_WaterborneTransmission
1974-06,P1Y,dcAggregate/NORSNonInfectiousDisease,geoId/53,5.0,Transmission Mode,dcs:Count_MedicalConditionIncident_WaterborneTransmission
1974-07,P1Y,dcAggregate/NORSNonInfectiousDisease,geoId/02,34.0,Transmission Mode,dcs:Count_MedicalConditionIncident_WaterborneTransmission
1974-07,P1Y,dcAggregate/NORSNonInfectiousDisease,geoId/39,6.0,Transmission Mode,dcs:Count_MedicalConditionIncident_WaterborneTransmission
1974-07,P1Y,dcAggregate/NORSNonInfectiousDisease,geoId/42,72.0,Transmission Mode,dcs:Count_MedicalConditionIncident_WaterborneTransmission
1974-07,P1Y,dcAggregate/NORSNonInfectiousDisease,geoId/55,17.0,Transmission Mode,dcs:Count_MedicalConditionIncident_WaterborneTransmission
1974-08,P1Y,dcAggregate/NORSNonInfectiousDisease,geoId/08,85.0,Transmission Mode,dcs:Count_MedicalConditionIncident_WaterborneTransmission
1974-08,P1Y,dcAggregate/NORSNonInfectiousDisease,geoId/33,7.0,Transmission Mode,dcs:Count_MedicalConditionIncident_WaterborneTransmission
1974-08,P1Y,dcAggregate/NORSNonInfectiousDisease,geoId/41,419.0,Transmission Mode,dcs:Count_MedicalConditionIncident_WaterborneTransmission
1974-08,P1Y,dcAggregate/NORSNonInfectiousDisease,geoId/42,600.0,Transmission Mode,dcs:Count_MedicalConditionIncident_WaterborneTransmission
1974-09,P1Y,dcAggregate/NORSNonInfectiousDisease,geoId/06,18.0,Transmission Mode,dcs:Count_MedicalConditionIncident_WaterborneTransmission
1974-09,P1Y,dcAggregate/NORSNonInfectiousDisease,geoId/36,20.0,Transmission Mode,dcs:Count_MedicalConditionIncident_WaterborneTransmission
1974-09,P1Y,dcAggregate/NORSNonInfectiousDisease,geoId/42,11.0,Transmission Mode,dcs:Count_MedicalConditionIncident_WaterborneTransmission
1974-09,P1Y,dcAggregate/NORSNonInfectiousDisease,geoId/49,34.0,Transmission Mode,dcs:Count_MedicalConditionIncident_WaterborneTransmission
1974-10,P1Y,dcAggregate/NORSNonInfectiousDisease,geoId/42,18.0,Transmission Mode,dcs:Count_MedicalConditionIncident_WaterborneTransmission
1974-11,P1Y,dcAggregate/NORSNonInfectiousDisease,geoId/36,4800.0,Transmission Mode,dcs:Count_MedicalConditionIncident_WaterborneTransmission
1974-12,P1Y,dcAggregate/NORSNonInfectiousDisease,geoId/30,615.0,Transmission Mode,dcs:Count_MedicalConditionIncident_WaterborneTransmission
1975-01,P1Y,dcAggregate/NORSNonInfectiousDisease,geoId/34,390.0,Transmission Mode,dcs:Count_MedicalConditionIncident_WaterborneTransmission
1975-02,P1Y,dcAggregate/NORSNonInfectiousDisease,geoId/25,17.0,Transmission Mode,dcs:Count_MedicalConditionIncident_WaterborneTransmission
1975-03,P1Y,dcAggregate/NORSNonInfectiousDisease,geoId/72,550.0,Transmission Mode,dcs:Count_MedicalConditionIncident_WaterborneTransmission
1975-04,P1Y,dcAggregate/NORSNonInfectiousDisease,geoId/18,1400.0,Transmission Mode,dcs:Count_MedicalConditionIncident_WaterborneTransmission
1975-04,P1Y,dcAggregate/NORSNonInfectiousDisease,geoId/34,350.0,Transmission Mode,dcs:Count_MedicalConditionIncident_WaterborneTransmission
1975-05,P1Y,dcAggregate/NORSNonInfectiousDisease,geoId/06,80.0,Transmission Mode,dcs:Count_MedicalConditionIncident_WaterborneTransmission
1975-05,P1Y,dcAggregate/NORSNonInfectiousDisease,geoId/22,26.0,Transmission Mode,dcs:Count_MedicalConditionIncident_WaterborneTransmission
1975-05,P1Y,dcAggregate/NORSNonInfectiousDisease,geoId/39,140.0,Transmission Mode,dcs:Count_MedicalConditionIncident_WaterborneTransmission
1975-06,P1Y,dcAggregate/NORSNonInfectiousDisease,geoId/05,500.0,Transmission Mode,dcs:Count_MedicalConditionIncident_WaterborneTransmission
1975-06,P1Y,dcAggregate/NORSNonInfectiousDisease,geoId/06,900.0,Transmission Mode,dcs:Count_MedicalConditionIncident_WaterborneTransmission
1975-06,P1Y,dcAggregate/NORSNonInfectiousDisease,geoId/27,136.0,Transmission Mode,dcs:Count_MedicalConditionIncident_WaterborneTransmission
1975-06,P1Y,dcAggregate/NORSNonInfectiousDisease,geoId/34,4.0,Transmission Mode,dcs:Count_MedicalConditionIncident_WaterborneTransmission
1975-06,P1Y,dcAggregate/NORSNonInfectiousDisease,geoId/41,1000.0,Transmission Mode,dcs:Count_MedicalConditionIncident_WaterborneTransmission
1975-07,P1Y,dcAggregate/NORSNonInfectiousDisease,geoId/06,19.0,Transmission Mode,dcs:Count_MedicalConditionIncident_WaterborneTransmission
1975-07,P1Y,dcAggregate/NORSNonInfectiousDisease,geoId/42,88.0,Transmission Mode,dcs:Count_MedicalConditionIncident_WaterborneTransmission
1975-07,P1Y,dcAggregate/NORSNonInfectiousDisease,geoId/47,40.0,Transmission Mode,dcs:Count_MedicalConditionIncident_WaterborneTransmission
1975-08,P1Y,dcAggregate/NORSNonInfectiousDisease,geoId/05,23.0,Transmission Mode,dcs:Count_MedicalConditionIncident_WaterborneTransmission
1975-08,P1Y,dcAggregate/NORSNonInfectiousDisease,geoId/20,3.0,Transmission Mode,dcs:Count_MedicalConditionIncident_WaterborneTransmission
1975-08,P1Y,dcAggregate/NORSNonInfectiousDisease,geoId/30,56.0,Transmission Mode,dcs:Count_MedicalConditionIncident_WaterborneTransmission
1975-08,P1Y,dcAggregate/NORSNonInfectiousDisease,geoId/42,5037.0,Transmission Mode,dcs:Count_MedicalConditionIncident_WaterborneTransmission
1975-09,P1Y,dcAggregate/NORSNonInfectiousDisease,geoId/16,9.0,Transmission Mode,dcs:Count_MedicalConditionIncident_WaterborneTransmission
1975-09,P1Y,dcAggregate/NORSNonInfectiousDisease,geoId/22,30.0,Transmission Mode,dcs:Count_MedicalConditionIncident_WaterborneTransmission
1975-09,P1Y,dcAggregate/NORSNonInfectiousDisease,geoId/41,7.0,Transmission Mode,dcs:Count_MedicalConditionIncident_WaterborneTransmission
1975-10,P1Y,dcAggregate/NORSNonInfectiousDisease,geoId/42,100.0,Transmission Mode,dcs:Count_MedicalConditionIncident_WaterborneTransmission
1971-06,P1Y,dcAggregate/NORSNonInfectiousDisease,country/USA,200.0,Transmission Mode,dcs:Count_MedicalConditionIncident_WaterborneTransmission
1971-07,P1Y,dcAggregate/NORSNonInfectiousDisease,country/USA,3777.0,Transmission Mode,dcs:Count_MedicalConditionIncident_WaterborneTransmission
1971-08,P1Y,dcAggregate/NORSNonInfectiousDisease,country/USA,83.0,Transmission Mode,dcs:Count_MedicalConditionIncident_WaterborneTransmission
1971-09,P1Y,dcAggregate/NORSNonInfectiousDisease,country/USA,40.0,Transmission Mode,dcs:Count_MedicalConditionIncident_WaterborneTransmission
1971-11,P1Y,dcAggregate/NORSNonInfectiousDisease,country/USA,892.0,Transmission Mode,dcs:Count_MedicalConditionIncident_WaterborneTransmission
1971-12,P1Y,dcAggregate/NORSNonInfectiousDisease,country/USA,84.0,Transmission Mode,dcs:Count_MedicalConditionIncident_WaterborneTransmission
1972-03,P1Y,dcAggregate/NORSNonInfectiousDisease,country/USA,421.0,Transmission Mode,dcs:Count_MedicalConditionIncident_WaterborneTransmission
1972-04,P1Y,dcAggregate/NORSNonInfectiousDisease,country/USA,169.0,Transmission Mode,dcs:Count_MedicalConditionIncident_WaterborneTransmission
1972-05,P1Y,dcAggregate/NORSNonInfectiousDisease,country/USA,265.0,Transmission Mode,dcs:Count_MedicalConditionIncident_WaterborneTransmission
1972-06,P1Y,dcAggregate/NORSNonInfectiousDisease,country/USA,246.0,Transmission Mode,dcs:Count_MedicalConditionIncident_WaterborneTransmission
1972-07,P1Y,dcAggregate/NORSNonInfectiousDisease,country/USA,17.0,Transmission Mode,dcs:Count_MedicalConditionIncident_WaterborneTransmission
1972-08,P1Y,dcAggregate/NORSNonInfectiousDisease,country/USA,18.0,Transmission Mode,dcs:Count_MedicalConditionIncident_WaterborneTransmission
1972-09,P1Y,dcAggregate/NORSNonInfectiousDisease,country/USA,143.0,Transmission Mode,dcs:Count_MedicalConditionIncident_WaterborneTransmission
1972-10,P1Y,dcAggregate/NORSNonInfectiousDisease,country/USA,50.0,Transmission Mode,dcs:Count_MedicalConditionIncident_WaterborneTransmission
1972-11,P1Y,dcAggregate/NORSNonInfectiousDisease,country/USA,309.0,Transmission Mode,dcs:Count_MedicalConditionIncident_WaterborneTransmission
1972-12,P1Y,dcAggregate/NORSNonInfectiousDisease,country/USA,12.0,Transmission Mode,dcs:Count_MedicalConditionIncident_WaterborneTransmission
1973-02,P1Y,dcAggregate/NORSNonInfectiousDisease,country/USA,260.0,Transmission Mode,dcs:Count_MedicalConditionIncident_WaterborneTransmission
1973-03,P1Y,dcAggregate/NORSNonInfectiousDisease,country/USA,2.0,Transmission Mode,dcs:Count_MedicalConditionIncident_WaterborneTransmission
1973-04,P1Y,dcAggregate/NORSNonInfectiousDisease,country/USA,2.0,Transmission Mode,dcs:Count_MedicalConditionIncident_WaterborneTransmission
1973-06,P1Y,dcAggregate/NORSNonInfectiousDisease,country/USA,145.0,Transmission Mode,dcs:Count_MedicalConditionIncident_WaterborneTransmission
1973-07,P1Y,dcAggregate/NORSNonInfectiousDisease,country/USA,365.0,Transmission Mode,dcs:Count_MedicalConditionIncident_WaterborneTransmission
1973-08,P1Y,dcAggregate/NORSNonInfectiousDisease,country/USA,372.0,Transmission Mode,dcs:Count_MedicalConditionIncident_WaterborneTransmission
1973-09,P1Y,dcAggregate/NORSNonInfectiousDisease,country/USA,153.0,Transmission Mode,dcs:Count_MedicalConditionIncident_WaterborneTransmission
1973-10,P1Y,dcAggregate/NORSNonInfectiousDisease,country/USA,194.0,Transmission Mode,dcs:Count_MedicalConditionIncident_WaterborneTransmission
1973-11,P1Y,dcAggregate/NORSNonInfectiousDisease,country/USA,32.0,Transmission Mode,dcs:Count_MedicalConditionIncident_WaterborneTransmission
1973-12,P1Y,dcAggregate/NORSNonInfectiousDisease,country/USA,259.0,Transmission Mode,dcs:Count_MedicalConditionIncident_WaterborneTransmission
1974-01,P1Y,dcAggregate/NORSNonInfectiousDisease,country/USA,1257.0,Transmission Mode,dcs:Count_MedicalConditionIncident_WaterborneTransmission
1974-02,P1Y,dcAggregate/NORSNonInfectiousDisease,country/USA,18.0,Transmission Mode,dcs:Count_MedicalConditionIncident_WaterborneTransmission
1974-03,P1Y,dcAggregate/NORSNonInfectiousDisease,country/USA,9.0,Transmission Mode,dcs:Count_MedicalConditionIncident_WaterborneTransmission
1974-04,P1Y,dcAggregate/NORSNonInfectiousDisease,country/USA,213.0,Transmission Mode,dcs:Count_MedicalConditionIncident_WaterborneTransmission
1974-06,P1Y,dcAggregate/NORSNonInfectiousDisease,country/USA,101.0,Transmission Mode,dcs:Count_MedicalConditionIncident_WaterborneTransmission
1974-07,P1Y,dcAggregate/NORSNonInfectiousDisease,country/USA,129.0,Transmission Mode,dcs:Count_MedicalConditionIncident_WaterborneTransmission
1974-08,P1Y,dcAggregate/NORSNonInfectiousDisease,country/USA,1111.0,Transmission Mode,dcs:Count_MedicalConditionIncident_WaterborneTransmission
1974-09,P1Y,dcAggregate/NORSNonInfectiousDisease,country/USA,83.0,Transmission Mode,dcs:Count_MedicalConditionIncident_WaterborneTransmission
1974-10,P1Y,dcAggregate/NORSNonInfectiousDisease,country/USA,18.0,Transmission Mode,dcs:Count_MedicalConditionIncident_WaterborneTransmission
1974-11,P1Y,dcAggregate/NORSNonInfectiousDisease,country/USA,4800.0,Transmission Mode,dcs:Count_MedicalConditionIncident_WaterborneTransmission
1974-12,P1Y,dcAggregate/NORSNonInfectiousDisease,country/USA,615.0,Transmission Mode,dcs:Count_MedicalConditionIncident_WaterborneTransmission
1975-01,P1Y,dcAggregate/NORSNonInfectiousDisease,country/USA,390.0,Transmission Mode,dcs:Count_MedicalConditionIncident_WaterborneTransmission
1975-02,P1Y,dcAggregate/NORSNonInfectiousDisease,country/USA,17.0,Transmission Mode,dcs:Count_MedicalConditionIncident_WaterborneTransmission
1975-03,P1Y,dcAggregate/NORSNonInfectiousDisease,country/USA,550.0,Transmission Mode,dcs:Count_MedicalConditionIncident_WaterborneTransmission
1975-04,P1Y,dcAggregate/NORSNonInfectiousDisease,country/USA,1750.0,Transmission Mode,dcs:Count_MedicalConditionIncident_WaterborneTransmission
1975-05,P1Y,dcAggregate/NORSNonInfectiousDisease,country/USA,246.0,Transmission Mode,dcs:Count_MedicalConditionIncident_WaterborneTransmission
1975-06,P1Y,dcAggregate/NORSNonInfectiousDisease,country/USA,2540.0,Transmission Mode,dcs:Count_MedicalConditionIncident_WaterborneTransmission
1975-07,P1Y,dcAggregate/NORSNonInfectiousDisease,country/USA,147.0,Transmission Mode,dcs:Count_MedicalConditionIncident_WaterborneTransmission
1975-08,P1Y,dcAggregate/NORSNonInfectiousDisease,country/USA,5119.0,Transmission Mode,dcs:Count_MedicalConditionIncident_WaterborneTransmission
1975-09,P1Y,dcAggregate/NORSNonInfectiousDisease,country/USA,46.0,Transmission Mode,dcs:Count_MedicalConditionIncident_WaterborneTransmission
1975-10,P1Y,dcAggregate/NORSNonInfectiousDisease,country/USA,100.0,Transmission Mode,dcs:Count_MedicalConditionIncident_WaterborneTransmission
1971-06,P1Y,dcAggregate/NORSNonInfectiousDisease,geoId/41,0.0,Transmission Mode,dcs:Count_MedicalConditionIncident_PatientHospitalized_WaterborneTransmission
1971-07,P1Y,dcAggregate/NORSNonInfectiousDisease,geoId/06,0.0,Transmission Mode,dcs:Count_MedicalConditionIncident_PatientHospitalized_WaterborneTransmission
1971-07,P1Y,dcAggregate/NORSNonInfectiousDisease,geoId/21,0.0,Transmission Mode,dcs:Count_MedicalConditionIncident_PatientHospitalized_WaterborneTransmission
1971-07,P1Y,dcAggregate/NORSNonInfectiousDisease,geoId/28,0.0,Transmission Mode,dcs:Count_MedicalConditionIncident_PatientHospitalized_WaterborneTransmission
1971-07,P1Y,dcAggregate/NORSNonInfectiousDisease,geoId/34,0.0,Transmission Mode,dcs:Count_MedicalConditionIncident_PatientHospitalized_WaterborneTransmission
1971-08,P1Y,dcAggregate/NORSNonInfectiousDisease,geoId/34,0.0,Transmission Mode,dcs:Count_MedicalConditionIncident_PatientHospitalized_WaterborneTransmission
1971-08,P1Y,dcAggregate/NORSNonInfectiousDisease,geoId/35,0.0,Transmission Mode,dcs:Count_MedicalConditionIncident_PatientHospitalized_WaterborneTransmission
1971-08,P1Y,dcAggregate/NORSNonInfectiousDisease,geoId/40,0.0,Transmission Mode,dcs:Count_MedicalConditionIncident_PatientHospitalized_WaterborneTransmission
1971-09,P1Y,dcAggregate/NORSNonInfectiousDisease,geoId/37,0.0,Transmission Mode,dcs:Count_MedicalConditionIncident_PatientHospitalized_WaterborneTransmission
1971-11,P1Y,dcAggregate/NORSNonInfectiousDisease,geoId/02,0.0,Transmission Mode,dcs:Count_MedicalConditionIncident_PatientHospitalized_WaterborneTransmission
1971-11,P1Y,dcAggregate/NORSNonInfectiousDisease,geoId/36,0.0,Transmission Mode,dcs:Count_MedicalConditionIncident_PatientHospitalized_WaterborneTransmission
1971-11,P1Y,dcAggregate/NORSNonInfectiousDisease,geoId/40,0.0,Transmission Mode,dcs:Count_MedicalConditionIncident_PatientHospitalized_WaterborneTransmission
1971-11,P1Y,dcAggregate/NORSNonInfectiousDisease,geoId/48,0.0,Transmission Mode,dcs:Count_MedicalConditionIncident_PatientHospitalized_WaterborneTransmission
1971-12,P1Y,dcAggregate/NORSNonInfectiousDisease,geoId/06,0.0,Transmission Mode,dcs:Count_MedicalConditionIncident_PatientHospitalized_WaterborneTransmission
1972-03,P1Y,dcAggregate/NORSNonInfectiousDisease,geoId/02,0.0,Transmission Mode,dcs:Count_MedicalConditionIncident_PatientHospitalized_WaterborneTransmission
1972-03,P1Y,dcAggregate/NORSNonInfectiousDisease,geoId/36,0.0,Transmission Mode,dcs:Count_MedicalConditionIncident_PatientHospitalized_WaterborneTransmission
1972-04,P1Y,dcAggregate/NORSNonInfectiousDisease,geoId/08,0.0,Transmission Mode,dcs:Count_MedicalConditionIncident_PatientHospitalized_WaterborneTransmission
1972-04,P1Y,dcAggregate/NORSNonInfectiousDisease,geoId/18,0.0,Transmission Mode,dcs:Count_MedicalConditionIncident_PatientHospitalized_WaterborneTransmission
