% ISA Proficiency - Low Income,value,{Number},incomeStatus,LowIncome,assessmentType,IllinoisScienceAssessment,educationalAchievementLevel,Proficient,measurementDenominator,"-incomeStatus,-schoolSubject"
% ISA Proficiency - Homeless,value,{Number},socialVulnerabilityStatus,Homeless,assessmentType,IllinoisScienceAssessment,educationalAchievementLevel,Proficient,measurementDenominator,"-socialVulnerabilityStatus,-schoolSubject"
% ISA Proficiency - Migrant,value,{Number},socialVulnerabilityStatus,Migrant,assessmentType,IllinoisScienceAssessment,educationalAchievementLevel,Proficient,measurementDenominator,"-socialVulnerabilityStatus,-schoolSubject"
% ISA Proficiency - Military,value,{Number},armedForcesStatus,Military,assessmentType,IllinoisScienceAssessment,educationalAchievementLevel,Proficient,measurementDenominator,"-armedForcesStatus,-schoolSubject"
# ISA Participation,value,{Number},assessmentType,IllinoisScienceAssessment,,,,,,
# ISA Participation - Male,value,{Number},gender,Male,assessmentType,IllinoisScienceAssessment,,,,
# ISA Participation - Female,value,{Number},gender,Female,assessmentType,IllinoisScienceAssessment,,,,
# ISA Participation - White Count,value,{Number},race,White,assessmentType,IllinoisScienceAssessment,,,,
# ISA Participation - Black or African American,value,{Number},race,BlackOrAfricanAmerican,assessmentType,IllinoisScienceAssessment,,,,
# ISA Participation - Hispanic or Latino,value,{Number},race,HispanicOrLatino,assessmentType,IllinoisScienceAssessment,,,,
# ISA Participation - Asian,value,{Number},race,Asian,assessmentType,IllinoisScienceAssessment,,,,
# ISA Participation - Native Hawaiian or Other Pacific Islander,value,{Number},race,NativeHawaiianOrOtherPacificIslander,assessmentType,IllinoisScienceAssessment,,,,
# ISA Participation - American Indian or Alaska Native,value,{Number},race,AmericanIndianOrAlaskaNative,assessmentType,IllinoisScienceAssessment,,,,
# ISA Participation - Two or More Races,value,{Number},race,TwoOrMoreRaces,assessmentType,IllinoisScienceAssessment,,,,
# ISA Participation - Children with Disabilities,value,{Number},disabilityStatus,WithDisability,assessmentType,IllinoisScienceAssessment,,,,
# ISA Participation - IEP,value,{Number},courseSpecialization,IndividualEducationProgram,assessmentType,IllinoisScienceAssessment,,,,
# ISA Participation - EL,value,{Number},languageLearned,EnglishLearner,assessmentType,IllinoisScienceAssessment,,,,
# ISA Participation - Low Income,value,{Number},incomeStatus,LowIncome,assessmentType,IllinoisScienceAssessment,,,,
% ISA Participation,value,{Number},assessmentType,IllinoisScienceAssessment,measurementDenominator,-schoolSubject,,,,
% ISA Participation - Male,value,{Number},gender,Male,assessmentType,IllinoisScienceAssessment,measurementDenominator,"-gender,-schoolSubject",,
% ISA Participation - Female,value,{Number},gender,Female,assessmentType,IllinoisScienceAssessment,measurementDenominator,"-gender,-schoolSubject",,
% ISA Participation - White,value,{Number},race,White,assessmentType,IllinoisScienceAssessment,measurementDenominator,"-race,-schoolSubject",,
% ISA Participation - Black or African American,value,{Number},race,BlackOrAfricanAmerican,assessmentType,IllinoisScienceAssessment,measurementDenominator,"-race,-schoolSubject",,
% ISA Participation - Hispanic or Latino,value,{Number},race,HispanicOrLatino,assessmentType,IllinoisScienceAssessment,measurementDenominator,"-race,-schoolSubject",,
% ISA Participation - Asian,value,{Number},race,Asian,assessmentType,IllinoisScienceAssessment,measurementDenominator,"-race,-schoolSubject",,
% ISA Participation - Native Hawaiian or Other Pacific Islander,value,{Number},race,NativeHawaiianOrOtherPacificIslander,assessmentType,IllinoisScienceAssessment,measurementDenominator,"-race,-schoolSubject",,
% ISA Participation - American Indian or Alaska Native,value,{Number},race,AmericanIndianOrAlaskaNative,assessmentType,IllinoisScienceAssessment,measurementDenominator,"-race,-schoolSubject",,
% ISA Participation - Two or More Races,value,{Number},race,TwoOrMoreRaces,assessmentType,IllinoisScienceAssessment,measurementDenominator,"-race,-schoolSubject",,
% ISA Participation - Children with Disabilities,value,{Number},disabilityStatus,WithDisability,assessmentType,IllinoisScienceAssessment,measurementDenominator,"-disabilityStatus,-schoolSubject",,
% ISA Participation - IEP,value,{Number},courseSpecialization,IndividualEducationProgram,assessmentType,IllinoisScienceAssessment,measurementDenominator,"-courseSpecialization,-schoolSubject",,
% ISA Participation - EL,value,{Number},languageLearned,EnglishLearner,assessmentType,IllinoisScienceAssessment,measurementDenominator,"-languageLearned,-schoolSubject",,
% ISA Participation - Low Income,value,{Number},incomeStatus,LowIncome,assessmentType,IllinoisScienceAssessment,measurementDenominator,"-incomeStatus,-schoolSubject",,
ISA No Participation Rate - Total,,,,,,,,,,
ISA  No Participation Rate - White,,,,,,,,,,
ISA  No Participation Rate - Black or African American,,,,,,,,,,
ISA  No Participation Rate - Hispanic or Latino,,,,,,,,,,
ISA  No Participation Rate - Asian,,,,,,,,,,
ISA  No Participation Rate - Native Hawaiian or Other Pacific Islander,,,,,,,,,,
ISA  No Participation Rate - American Indian or Alaska Native,,,,,,,,,,
ISA  No Participation Rate - Two or More Races,,,,,,,,,,
ISA  No Participation Rate - Male,,,,,,,,,,
ISA  No Participation Rate - Female,,,,,,,,,,
ISA  No Participation Rate - CWD,,,,,,,,,,
ISA  No Participation Rate - IEP,,,,,,,,,,
ISA  No Participation Rate - EL,,,,,,,,,,
ISA  No Participation Rate - Low Income,,,,,,,,,,
