atc_code,atc_name,ddd,uom,adm_r,note
A03AB06,otilonium bromide,NA,NA,NA,NA
A03AB07,methantheline,0.15,g,O,NA
A03AB08,tridihexethyl,0.125,g,O,NA
A03AB09,isopropamide,10,mg,O,NA
A03AB10,hexocyclium,0.15,g,O,NA
A03AB11,poldine,12,mg,O,NA
A03AB12,mepenzolate,0.1,g,O,NA
A03AB13,bevonium,0.2,g,O,NA
A03AB14,pipenzolate,20,mg,O,NA
A03AB15,diphemanil,NA,NA,NA,NA
A03AB16,(2-benzhydryloxyethyl)diethyl-methylammonium iodide,0.3,g,O,NA
A03AB17,tiemonium iodide,NA,NA,NA,NA
A03AB18,prifinium bromide,NA,NA,NA,NA
A03AB19,timepidium bromide,NA,NA,NA,NA
A03AB21,fenpiverinium,NA,NA,NA,NA
A03AB53,"oxyphenonium, combinations",NA,NA,NA,NA
A03AC,"Synthetic antispasmodics, amides with tertiary amines",NA,NA,NA,NA
A03AC02,dimethylaminopropionylphenothiazine,NA,NA,NA,NA
A03AC04,nicofetamide,NA,NA,NA,NA
A03AC05,tiropramide,NA,NA,NA,NA
A03AD,Papaverine and derivatives,NA,NA,NA,NA
A03AD01,papaverine,0.1,g,O,NA
A03AD01,papaverine,0.1,g,P,NA
A03AD02,drotaverine,0.1,g,O,NA
A03AD02,drotaverine,0.1,g,P,NA
A03AD30,moxaverine,50,mg,O,NA
A03AE,Serotonin receptor antagonists,NA,NA,NA,NA
A03AE01,alosetron,1,mg,O,NA
A03AE03,cilansetron,NA,NA,NA,NA
A03AX,Other drugs for functional gastrointestinal disorders,NA,NA,NA,NA
A03AX01,fenpiprane,NA,NA,NA,NA
A03AX02,diisopromine,NA,NA,NA,NA
A03AX03,chlorbenzoxamine,0.15,g,O,NA
A03AX04,pinaverium,0.15,g,O,NA
A03AX05,fenoverine,NA,NA,NA,NA
A03AX06,idanpramine,NA,NA,NA,NA
A03AX07,proxazole,NA,NA,NA,NA
A03AX08,alverine,NA,NA,NA,NA
A03AX09,trepibutone,NA,NA,NA,NA
A03AX10,isometheptene,NA,NA,NA,NA
A03AX11,caroverine,NA,NA,NA,NA
A03AX12,phloroglucinol,NA,NA,NA,NA
A03AX13,silicones,0.5,g,O,NA
A03AX14,valethamate,NA,NA,NA,NA
A03AX15,menthae piperitae aetheroleum,NA,NA,NA,NA
A03AX30,trimethyldiphenylpropylamine,50,mg,O,NA
A03AX30,trimethyldiphenylpropylamine,50,mg,P,NA
A03AX58,"alverine, combinations",NA,NA,NA,NA
A03B,"BELLADONNA AND DERIVATIVES, PLAIN",NA,NA,NA,NA
A03BA,"Belladonna alkaloids, tertiary amines",NA,NA,NA,NA
A03BA01,atropine,1.5,mg,O,NA
A03BA01,atropine,1.5,mg,P,NA
A03BA03,hyoscyamine,1.2,mg,O,NA
A03BA04,belladonna total alkaloids,1,mg,O,NA
A03BB,"Belladonna alkaloids, semisynthetic, quaternary ammonium compounds",NA,NA,NA,NA
A03BB01,butylscopolamine,60,mg,O,NA
A03BB01,butylscopolamine,60,mg,P,NA
A03BB01,butylscopolamine,60,mg,R,NA
A03BB02,methylatropine,3,mg,O,NA
A03BB03,methylscopolamine,12,mg,O,NA
A03BB03,methylscopolamine,12,mg,P,NA
A03BB04,fentonium,60,mg,O,NA
A03BB05,cimetropium bromide,NA,NA,NA,NA
A03BB06,homatropine methylbromide,NA,NA,NA,NA
A03C,ANTISPASMODICS IN COMBINATION WITH PSYCHOLEPTICS,NA,NA,NA,NA
A03CA,Synthetic anticholinergic agents in combination with psycholeptics,NA,NA,NA,NA
A03CA01,isopropamide and psycholeptics,NA,NA,NA,NA
A03CA02,clidinium and psycholeptics,NA,NA,NA,NA
A03CA03,oxyphencyclimine and psycholeptics,NA,NA,NA,NA
A03CA04,otilonium bromide and psycholeptics,NA,NA,NA,NA
A03CA05,glycopyrronium bromide and psycholeptics,NA,NA,NA,NA
A03CA06,bevonium and psycholeptics,NA,NA,NA,NA
A03CA07,ambutonium and psycholeptics,NA,NA,NA,NA
A03CA08,diphemanil and psycholeptics,NA,NA,NA,NA
A03CA09,pipenzolate and psycholeptics,NA,NA,NA,NA
A03CA30,emepronium and psycholeptics,NA,NA,NA,NA
A03CA34,propantheline and psycholeptics,NA,NA,NA,NA
A03CB,Belladonna and derivatives in combination with psycholeptics,NA,NA,NA,NA
A03CB01,methylscopolamine and psycholeptics,NA,NA,NA,NA
A03CB02,belladonna total alkaloids and psycholeptics,NA,NA,NA,NA
A03CB03,atropine and psycholeptics,NA,NA,NA,NA
A03CB04,homatropine methylbromide and psycholeptics,NA,NA,NA,NA
A03CB31,hyoscyamine and psycholeptics,NA,NA,NA,NA
A03CC,Other antispasmodics in combination with psycholeptics,NA,NA,NA,NA
A03D,ANTISPASMODICS IN COMBINATION WITH ANALGESICS,NA,NA,NA,NA
A03DA,Synthetic anticholinergic agents in combination with analgesics,NA,NA,NA,NA
A03DA01,tropenzilone and analgesics,NA,NA,NA,NA
A03DA02,pitofenone and analgesics,NA,NA,NA,NA
A03DA03,bevonium and analgesics,NA,NA,NA,NA
A03DA04,ciclonium and analgesics,NA,NA,NA,NA
A03DA05,camylofin and analgesics,NA,NA,NA,NA
A03DA06,trospium and analgesics,NA,NA,NA,NA
A03DA07,tiemonium iodide and analgesics,NA,NA,NA,NA
A03DB,Belladonna and derivatives in combination with analgesics,NA,NA,NA,NA
A03DB04,butylscopolamine and analgesics,NA,NA,NA,NA
A03DC,Other antispasmodics in combination with analgesics,NA,NA,NA,NA
A03E,ANTISPASMODICS AND ANTICHOLINERGICS IN COMBINATION WITH OTHER DRUGS,NA,NA,NA,NA
A03EA,"Antispasmodics, psycholeptics and analgesics in combination",NA,NA,NA,NA
A03ED,Antispasmodics in combination with other drugs,NA,NA,NA,NA
A03F,PROPULSIVES,NA,NA,NA,NA
A03FA,Propulsives,NA,NA,NA,NA
A03FA01,metoclopramide,30,mg,O,NA
A03FA01,metoclopramide,30,mg,P,NA
A03FA01,metoclopramide,30,mg,R,NA
A03FA02,cisapride,30,mg,O,NA
A03FA02,cisapride,30,mg,R,NA
A03FA03,domperidone,30,mg,O,NA
A03FA03,domperidone,30,mg,P,NA
A03FA03,domperidone,0.12,g,R,NA
A03FA04,bromopride,20,mg,O,NA
A03FA04,bromopride,20,mg,P,NA
A03FA05,alizapride,0.15,g,O,NA
A03FA05,alizapride,0.15,g,P,NA
A03FA06,clebopride,NA,NA,NA,NA
A03FA07,itopride,0.15,g,O,NA
A03FA08,cinitapride,NA,NA,NA,NA
A03FA09,mosapride,NA,NA,NA,NA
A03FA10,acotiamide,NA,NA,NA,NA
A04,ANTIEMETICS AND ANTINAUSEANTS,NA,NA,NA,NA
A04A,ANTIEMETICS AND ANTINAUSEANTS,NA,NA,NA,NA
A04AA,Serotonin (5HT3) antagonists,NA,NA,NA,NA
A04AA01,ondansetron,16,mg,O,NA
A04AA01,ondansetron,16,mg,P,NA
A04AA01,ondansetron,16,mg,R,NA
A04AA02,granisetron,2,mg,O,NA
A04AA02,granisetron,3,mg,P,NA
A04AA02,granisetron,3.1,mg,TD,NA
A04AA03,tropisetron,5,mg,O,NA
A04AA03,tropisetron,5,mg,P,NA
A04AA04,dolasetron,0.2,g,O,NA
A04AA04,dolasetron,0.1,g,P,NA
A04AA05,palonosetron,0.5,mg,O,NA
A04AA05,palonosetron,0.25,mg,P,NA
A04AA55,"palonosetron, combinations",NA,NA,NA,NA
A04AD,Other antiemetics,NA,NA,NA,NA
A04AD01,scopolamine,NA,NA,NA,NA
A04AD02,cerium oxalate,NA,NA,NA,NA
A04AD04,chlorobutanol,NA,NA,NA,NA
A04AD05,metopimazine,15,mg,O,NA
A04AD05,metopimazine,15,mg,P,NA
A04AD10,dronabinol,NA,NA,NA,NA
A04AD11,nabilone,3,mg,O,NA
A04AD12,aprepitant,165,mg,O,NA
A04AD12,aprepitant,150,mg,P,Refers to fosaprepitant
A04AD13,casopitant,NA,NA,NA,NA
A04AD14,rolapitant,0.18,g,O,NA
A04AD51,"scopolamine, combinations",NA,NA,NA,NA
A04AD54,"chlorobutanol, combinations",NA,NA,NA,NA
A05,BILE AND LIVER THERAPY,NA,NA,NA,NA
A05A,BILE THERAPY,NA,NA,NA,NA
A05AA,Bile acids and derivatives,NA,NA,NA,NA
A05AA01,chenodeoxycholic acid,1,g,O,NA
A05AA02,ursodeoxycholic acid,0.75,g,O,NA
A05AA03,cholic acid,NA,NA,NA,NA
A05AA04,obeticholic acid,10,mg,O,NA
A05AB,Preparations for biliary tract therapy,NA,NA,NA,NA
A05AB01,nicotinyl methylamide,NA,NA,NA,NA
A05AX,Other drugs for bile therapy,NA,NA,NA,NA
A05AX01,piprozolin,NA,NA,NA,NA
A05AX02,hymecromone,NA,NA,NA,NA
A05AX03,cyclobutyrol,NA,NA,NA,NA
A05AX04,maralixibat chloride,NA,NA,NA,NA
A05AX05,odevixibat,NA,NA,NA,NA
A05B,"LIVER THERAPY, LIPOTROPICS",NA,NA,NA,NA
A05BA,Liver therapy,NA,NA,NA,NA
A05BA01,arginine glutamate,NA,NA,NA,NA
A05BA03,silymarin,NA,NA,NA,NA
A05BA04,citiolone,NA,NA,NA,NA
A05BA05,epomediol,NA,NA,NA,NA
A05BA06,ornithine oxoglurate,NA,NA,NA,NA
A05BA07,tidiacic arginine,NA,NA,NA,NA
A05BA08,glycyrrhizic acid,NA,NA,NA,NA
A05BA09,metadoxine,NA,NA,NA,NA
A05BA10,phospholipids,NA,NA,NA,NA
A05C,DRUGS FOR BILE THERAPY AND LIPOTROPICS IN COMBINATION,NA,NA,NA,NA
A06,DRUGS FOR CONSTIPATION,NA,NA,NA,NA
A06A,DRUGS FOR CONSTIPATION,NA,NA,NA,NA
A06AA,"Softeners, emollients",NA,NA,NA,NA
A06AA01,liquid paraffin,15,g,O,NA
A06AA02,docusate sodium,0.15,g,O,NA
A06AA51,"liquid paraffin, combinations",NA,NA,NA,NA
A06AB,Contact laxatives,NA,NA,NA,NA
A06AB01,oxyphenisatine,10,mg,O,NA
A06AB02,bisacodyl,10,mg,O,NA
A06AB02,bisacodyl,10,mg,R,NA
A06AB03,dantron,50,mg,O,NA
A06AB04,phenolphthalein,0.2,g,O,NA
A06AB05,castor oil,20,g,O,NA
A06AB06,senna glycosides,NA,NA,NA,NA
A06AB07,cascara,NA,NA,NA,NA
A06AB08,sodium picosulfate,5,mg,O,NA
A06AB09,bisoxatin,0.12,g,O,NA
A06AB20,contact laxatives in combination,NA,NA,NA,NA
A06AB30,contact laxatives in combination with belladonna alkaloids,NA,NA,NA,NA
A06AB52,"bisacodyl, combinations",NA,NA,NA,NA
A06AB53,"dantron, combinations",NA,NA,NA,NA
A06AB56,"senna glycosides, combinations",NA,NA,NA,NA
A06AB57,"cascara, combinations",NA,NA,NA,NA
A06AB58,"sodium picosulfate, combinations",NA,NA,NA,NA
A06AC,Bulk-forming laxatives,NA,NA,NA,NA
A06AC01,ispaghula (psylla seeds),7,g,O,NA
A06AC02,ethulose,3,g,O,NA
A06AC03,sterculia,8,g,O,NA
A06AC05,linseed,NA,NA,NA,NA
A06AC06,methylcellulose,2,g,O,NA
A06AC07,triticum (wheat fibre),10,g,O,NA
A06AC08,polycarbophil calcium,2.5,g,O,NA
A06AC51,"ispaghula, combinations",NA,NA,NA,NA
A06AC53,"sterculia, combinations",NA,NA,NA,NA
A06AC55,"linseed, combinations",NA,NA,NA,NA
A06AD,Osmotically acting laxatives,NA,NA,NA,NA
A06AD01,magnesium carbonate,7,g,O,NA
A06AD02,magnesium oxide,7,g,O,NA
A06AD03,magnesium peroxide,NA,NA,NA,NA
A06AD04,magnesium sulfate,7,g,O,NA
A06AD10,mineral salts in combination,NA,NA,NA,NA
A06AD11,lactulose,6.7,g,O,NA
A06AD12,lactitol,10,g,O,NA
A06AD13,sodium sulfate,NA,NA,NA,NA
A06AD14,pentaerithrityl,NA,NA,NA,NA
A06AD15,macrogol,10,g,O,NA
A06AD16,mannitol,NA,NA,NA,NA
A06AD17,sodium phosphate,50,g,O,NA
A06AD18,sorbitol,10,g,O,NA
A06AD19,magnesium citrate,NA,NA,NA,NA
A06AD21,sodium tartrate,NA,NA,NA,NA
A06AD61,"lactulose, combinations",NA,NA,NA,NA
A06AD65,"macrogol, combinations",NA,NA,NA,NA
A06AG,Enemas,NA,NA,NA,NA
A06AG01,sodium phosphate,NA,NA,NA,NA
A06AG02,bisacodyl,NA,NA,NA,NA
A06AG03,"dantron, incl. combinations",NA,NA,NA,NA
A06AG04,glycerol,NA,NA,NA,NA
A06AG06,oil,NA,NA,NA,NA
A06AG07,sorbitol,NA,NA,NA,NA
A06AG10,"docusate sodium, incl. combinations",NA,NA,NA,NA
A06AG11,"sodium lauryl sulfoacetate, incl. combinations",NA,NA,NA,NA
A06AG20,combinations,NA,NA,NA,NA
A06AH,Peripheral opioid receptor antagonists,NA,NA,NA,NA
A06AH01,methylnaltrexone bromide,6,mg,P,NA
A06AH02,alvimopan,NA,NA,NA,NA
A06AH03,naloxegol,25,mg,O,NA
A06AH04,naloxone,NA,NA,NA,NA
A06AH05,naldemedine,0.2,mg,O,NA
A06AX,Other drugs for constipation,NA,NA,NA,NA
A06AX01,glycerol,NA,NA,NA,NA
A06AX02,carbon dioxide producing drugs,NA,NA,NA,NA
A06AX03,lubiprostone,NA,NA,NA,NA
A06AX04,linaclotide,0.29,mg,O,NA
A06AX05,prucalopride,2,mg,O,NA
A06AX06,tegaserod,12,mg,O,NA
A06AX07,plecanatide,3,mg,O,NA
A06AX08,tenapanor,NA,NA,NA,NA
A06AX09,elobixibat,NA,NA,NA,NA
A07,"ANTIDIARRHEALS, INTESTINAL ANTIINFLAMMATORY/ANTIINFECTIVE AGENTS",NA,NA,NA,NA
A07A,INTESTINAL ANTIINFECTIVES,NA,NA,NA,NA
A07AA,Antibiotics,NA,NA,NA,NA
A07AA01,neomycin,5,g,O,NA
A07AA02,nystatin,1.5,MU,O,NA
A07AA03,natamycin,0.3,g,O,NA
A07AA04,streptomycin,NA,NA,NA,NA
A07AA05,polymyxin B,3,MU,O,NA
A07AA06,paromomycin,3,g,O,NA
A07AA07,amphotericin B,0.4,g,O,NA
A07AA08,kanamycin,3,g,O,NA
A07AA09,vancomycin,2,g,O,NA
A07AA10,colistin,9,MU,O,NA
A07AA11,rifaximin,0.6,g,O,NA
A07AA12,fidaxomicin,0.4,g,O,NA
A07AA13,rifamycin,NA,NA,NA,NA
A07AA51,"neomycin, combinations",NA,NA,NA,NA
A07AA54,"streptomycin, combinations",NA,NA,NA,NA
A07AB,Sulfonamides,NA,NA,NA,NA
A07AB02,phthalylsulfathiazole,9,g,O,NA
A07AB03,sulfaguanidine,4,g,O,NA
A07AB04,succinylsulfathiazole,NA,NA,NA,NA
A07AC,Imidazole derivatives,NA,NA,NA,NA
A07AC01,miconazole,1,g,O,NA
A07AX,Other intestinal antiinfectives,NA,NA,NA,NA
A07AX01,broxyquinoline,NA,NA,NA,NA
A07AX02,acetarsol,NA,NA,NA,NA
A07AX03,nifuroxazide,0.6,g,O,NA
A07AX04,nifurzide,NA,NA,NA,NA
A07B,INTESTINAL ADSORBENTS,NA,NA,NA,NA
A07BA,Charcoal preparations,NA,NA,NA,NA
A07BA01,medicinal charcoal,5,g,O,NA
A07BA51,"medicinal charcoal, combinations",NA,NA,NA,NA
A07BB,Bismuth preparations,NA,NA,NA,NA
A07BC,Other intestinal adsorbents,NA,NA,NA,NA
A07BC01,pectin,NA,NA,NA,NA
A07BC02,kaolin,NA,NA,NA,NA
A07BC03,crospovidone,NA,NA,NA,NA
A07BC04,attapulgite,NA,NA,NA,NA
A07BC05,diosmectite,9,g,O,NA
A07BC30,combinations,NA,NA,NA,NA
A07BC54,"attapulgite, combinations",NA,NA,NA,NA
A07C,ELECTROLYTES WITH CARBOHYDRATES,NA,NA,NA,NA
A07CA,Oral rehydration salt formulations,NA,NA,NA,NA
A07D,ANTIPROPULSIVES,NA,NA,NA,NA
A07DA,Antipropulsives,NA,NA,NA,NA
A07DA01,diphenoxylate,15,mg,O,NA
A07DA02,opium,0.1,g,O,NA
A07DA03,loperamide,10,mg,O,NA
A07DA04,difenoxin,NA,NA,NA,NA
A07DA05,loperamide oxide,5,mg,O,NA
A07DA06,eluxadoline,0.2,g,O,NA
A07DA52,"morphine, combinations",NA,NA,NA,NA
A07DA53,"loperamide, combinations",NA,NA,NA,NA
A07E,INTESTINAL ANTIINFLAMMATORY AGENTS,NA,NA,NA,NA
A07EA,Corticosteroids acting locally,NA,NA,NA,NA
A07EA01,prednisolone,NA,NA,NA,NA
A07EA02,hydrocortisone,NA,NA,NA,NA
A07EA03,prednisone,NA,NA,NA,NA
A07EA04,betamethasone,NA,NA,NA,NA
A07EA05,tixocortol,NA,NA,NA,NA
A07EA06,budesonide,9,mg,O,NA
A07EA06,budesonide,2,mg,SL,NA
A07EA07,beclometasone,NA,NA,NA,NA
A07EB,"Antiallergic agents, excl. corticosteroids",NA,NA,NA,NA
A07EB01,cromoglicic acid,0.8,g,O,NA
A07EC,Aminosalicylic acid and similar agents,NA,NA,NA,NA
A07EC01,sulfasalazine,2,g,O,NA
A07EC01,sulfasalazine,2,g,R,NA
A07EC02,mesalazine,1.5,g,O,NA
A07EC02,mesalazine,1.5,g,R,NA
A07EC03,olsalazine,1,g,O,NA
A07EC04,balsalazide,6.75,g,O,NA
A07F,ANTIDIARRHEAL MICROORGANISMS,NA,NA,NA,NA
A07FA,Antidiarrheal microorganisms,NA,NA,NA,NA
A07FA01,lactic acid producing organisms,NA,NA,NA,NA
A07FA02,saccharomyces boulardii,1,g,O,NA
A07FA51,"lactic acid producing organisms, combinations",NA,NA,NA,NA
A07X,OTHER ANTIDIARRHEALS,NA,NA,NA,NA
A07XA,Other antidiarrheals,NA,NA,NA,NA
A07XA01,albumin tannate,3,g,O,NA
