VariableName,VariableCode,Type_Of_Variable,Unit_Of_Measure,Scaling_Factor,Aggregation_Type,Weighing_Varible_ID,Weighing_Variable_Name,Long_Description
Average out of pocket expenditure for each delivery in public health facility,I6822_11,Numeric Variable,INR,1,weighted avg,WeighingRatio_Percentage_TotalPopulation,Total Population from Census,"Maternal and child health-average out-of-pocket expenditure per birth delivery in a public health facility. (out-of-pocket payments are expenditures borne directly by a patient where insurance does not cover the full cost of the health good or service. they include cost-sharing, self-medication and other expenditure paid directly by private households)"
Births attended by skilled health personnel (%),I6822_12,Numeric Variable,Percentage,1,weighted avg,WeighingRatio_Percentage_TotalPopulationFemale,Total Population Female from Census,Delivery care (for births in the 5 years before the survey)- births attended by skilled health personnel (doctor or nurse or midwife or other health personnel) (%)
Births delivered by caesarean section (%),I6822_13,Numeric Variable,Percentage,1,weighted avg,WeighingRatio_Percentage_TotalPopulationFemale,Total Population Female from Census,Delivery care (for births in the 5 years before the survey)- births delivered by caesarean section (%)
Births in private health facility delivered by caesarean section (%),I6822_14,Numeric Variable,Percentage,1,weighted avg,WeighingRatio_Percentage_TotalPopulationFemale,Total Population Female from Census,Delivery care (for births in the 5 years before the survey)- births in a private health facility that were delivered by caesarean section (%)
Births in public health facility delivered by caesarean section (%),I6822_15,Numeric Variable,Percentage,1,weighted avg,WeighingRatio_Percentage_TotalPopulationFemale,Total Population Female from Census,Delivery care (for births in the 5 years before the survey) births in a public health facility that were delivered by caesarean section (%)
Births in the 5 years preceding the survey that are third or higher order (%),I6822_16,Numeric Variable,Percentage,1,weighted avg,WeighingRatio_Percentage_TotalPopulationFemale,Total Population Female from Census,Fertility births in the 5 years preceding the survey that are third or higher order (%)
Breastfeeding children age group 6 to 23 months receiving an adequate diet (%),I6822_17,Numeric Variable,Percentage,1,weighted avg,WeighingRatio_Percentage_TotalPopulation,Total Population from Census,"Child feeding practices and nutritional status of children- (based on the youngest child living with the mother. breastfed children receiving 4 or more food groups and a minimum meal frequency, non-breastfed children fed with a minimum of 3 infant and young child feeding practices (fed with other milk or milk products at least twice a day, a minimum meal frequency that is, receiving solid or semi-solid food at least twice a day for breastfed infants 6 to 8 months and at least three times a day for breastfed children 6 to 23 months, and solid or semi-solid foods from at least four food groups not including the milk or milk products food group) (%)"
Children age group 12 to 23 months fully vaccinated based on information from either vaccination card or mothers recall (%),I6822_18,Numeric Variable,Percentage,1,weighted avg,WeighingRatio_Percentage_TotalPopulation,Total Population from Census,"Child vaccinations and vitamin A supplementation (vaccinated with Bacillus Calmette–Guerin ( BCG ), measles-containing vaccine  ( MCV ), measles-rubella ( MR ) or measles-mumps- rubella ( MMR ), and 3 doses each of polio (excluding polio vaccine given at birth) and Diphtheria, tetanus toxoids and pertussis ( DTP ) or Penta vaccine (%)"
Children age group 12 to 23 months fully vaccinated based on information from vaccination card only (%),I6822_19,Numeric Variable,Percentage,1,weighted avg,WeighingRatio_Percentage_TotalPopulation,Total Population from Census,"Child vaccinations and vitamin A supplementation (among children whose vaccination card was shown to the interviewer, percentage vaccinated with Bacillus Calmette–Guerin ( BCG ), measles-containing vaccine ( MCV ), measles-rubella ( MR ) or measles-mumps- rubella ( MMR ), and 3 doses each of polio (excluding polio vaccine given at birth) and Diphtheria, tetanus toxoids and pertussis ( DTP ) or Penta vaccine) (%)"
Children age group 12 to 23 months who have received 3 doses of penta or diphtheria tetanus toxoids and pertussis ( dtp ) vaccine (%),I6822_20,Numeric Variable,Percentage,1,weighted avg,WeighingRatio_Percentage_TotalPopulation,Total Population from Census,"Child vaccinations and vitamin A supplementation-children age 12 to 23 months who have received 3 doses of Penta vaccine or diphtheria, tetanus toxoids and pertussis ( DTP ) vaccine (%)"
Children age group 12 to 23 months who have received 3 doses of penta or hepatitis b vaccine (%),I6822_21,Numeric Variable,Percentage,1,weighted avg,WeighingRatio_Percentage_TotalPopulation,Total Population from Census,Child vaccinations and vitamin A supplementation-children age 12 to 23 months who have received 3 doses of Penta vaccine or hepatitis B vaccine (%)
Children age group 12 to 23 months who have received 3 doses of polio vaccine (%),I6822_22,Numeric Variable,Percentage,1,weighted avg,WeighingRatio_Percentage_TotalPopulation,Total Population from Census,Child vaccinations and vitamin A supplementation (not including polio vaccination given at birth) (%)
Children age group 12 to 23 months who have received 3 doses of rotavirus vaccine (%),I6822_23,Numeric Variable,Percentage,1,weighted avg,WeighingRatio_Percentage_TotalPopulation,Total Population from Census,"Child vaccinations and vitamin A supplementation (since rotavirus is not being provided across all states and districts, the levels should not be compared) (%)"
Children age group 12 to 23 months who have received bacillus calmette guerin ( bcg) (%),I6822_24,Numeric Variable,Percentage,1,weighted avg,WeighingRatio_Percentage_TotalPopulation,Total Population from Census,Child vaccinations and vitamin A supplementation children age 12 to 23 months who have received Bacillus Calmette–Guerin ( BCG ) (%)
Children age group 12 to 23 months who have received the first dose of measles containing vaccine ( mcv ) (%),I6822_25,Numeric Variable,Percentage,1,weighted avg,WeighingRatio_Percentage_TotalPopulation,Total Population from Census,Child vaccinations and vitamin A supplementation children age 12 to 23 months who have received the first dose of measles-containing vaccine ( MCV ) (%)
Children age group 12 to 23 months who received most of their vaccinations in a private health facility (%),I6822_26,Numeric Variable,Percentage,1,weighted avg,WeighingRatio_Percentage_TotalPopulation,Total Population from Census,Child vaccinations and vitamin A supplementation-children age 12 to 23 months who received most of their vaccinations in a private health facility (%)
Children age group 12 to 23 months who received most of their vaccinations in a public health facility (%),I6822_27,Numeric Variable,Percentage,1,weighted avg,WeighingRatio_Percentage_TotalPopulation,Total Population from Census,Child vaccinations and vitamin A supplementation-children age 12 to 23 months who received most of their vaccinations in a public health facility (%)
Children age group 24 to 35 months who have received a second dose of measles containing vaccine ( mcv ) (%),I6822_28,Numeric Variable,Percentage,1,weighted avg,WeighingRatio_Percentage_TotalPopulation,Total Population from Census,Child vaccinations and vitamin A supplementation-children age 24 to 35 months who have received a second dose of measles-containing vaccine ( MCV ) (%)
Children age 5 years who attended pre-primary school during the year 2019-20 (%),I6822_29,Numeric Variable,Percentage,1,weighted avg,WeighingRatio_Percentage_TotalPopulation,Total Population from Census,Child vaccinations and vitamin A supplementation-children age 5 years who attended pre-primary school during the school year 2019-20 (%)
Children age group 6 to 59 months who are anaemic (%),I6822_30,Numeric Variable,Percentage,1,weighted avg,WeighingRatio_Percentage_TotalPopulation,Total Population from Census,"Anaemia among children and adults (haemoglobin in grams per decilitre (g/dl). among children, prevalence is adjusted for altitude. among adults, prevalence is adjusted for altitude and for smoking status, if known. as NFHS uses the capillary blood for estimation of anaemia, the results of NFHS-5 need not be compared with other surveys using venous blood) (%)"
Children age group 6 to 8 months receiving solid or semisolid food and breastmilk (%),I6822_31,Numeric Variable,Percentage,1,weighted avg,WeighingRatio_Percentage_TotalPopulation,Total Population from Census,Child feeding practices and nutritional status of children (based on the youngest child living with the mother) (%)
Children age group 9 to 35 months who received vitamin a dose in the last 6 months (%),I6822_32,Numeric Variable,Percentage,1,weighted avg,WeighingRatio_Percentage_TotalPopulation,Total Population from Census,Child vaccinations and vitamin A supplementation-children age 9 to 35 months who received a vitamin A dose in the last 6 months (%)
Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),I6822_33,Numeric Variable,Percentage,1,weighted avg,WeighingRatio_Percentage_TotalPopulation,Total Population from Census,Maternal and child health -children born at home who were taken to a health facility for a check-up within 24 hours of birth (%)
Children under 5 years who are overweight ( weight-for-height ) (%),I6822_34,Numeric Variable,Percentage,1,weighted avg,WeighingRatio_Percentage_TotalPopulation,Total Population from Census,"Child feeding practices and nutritional status of children-children under 5 years who are overweight (weight-for-height) (above +2 standard deviations, based on the who standard) (%)"
Children under 5 years who are severely wasted ( weight-for-height ) (%),I6822_35,Numeric Variable,Percentage,1,weighted avg,WeighingRatio_Percentage_TotalPopulation,Total Population from Census,"Child feeding practices and nutritional status of children-children under 5 years who are severely wasted (weight-for-height) below -3 standard deviations, based on the who standard (%)"
Children under 5 years who are stunted ( height-for-age ) (%),I6822_36,Numeric Variable,Percentage,1,weighted avg,WeighingRatio_Percentage_TotalPopulation,Total Population from Census,"Child feeding practices and nutritional status of children-children under 5 years who are stunted (height-for-age) (below -2 standard deviations, based on the who standard) (%)"
Children under 5 years who are underweight ( weight-for-age ) (%),I6822_37,Numeric Variable,Percentage,1,weighted avg,WeighingRatio_Percentage_TotalPopulation,Total Population from Census,"Child feeding practices and nutritional status of children-children under 5 years who are underweight (weight-for-age) (below -2 standard deviations, based on the who standard) (%)"
Children under 5 years who are wasted ( weight-for-height ) (%),I6822_38,Numeric Variable,Percentage,1,weighted avg,WeighingRatio_Percentage_TotalPopulation,Total Population from Census,"Child feeding practices and nutritional status of children-children under 5 years who are wasted (weight-for-height) (below -2 standard deviations, based on the who standard) (%)"
Children under age 3 years breastfed within one hour of birth (%),I6822_39,Numeric Variable,Percentage,1,weighted avg,WeighingRatio_Percentage_TotalPopulation,Total Population from Census,"Child feeding practices and -nutritional status of children, children under age 3 years breastfed within one hour of birth (based on the last child born in the 3 years before the survey) (%)"
Children under age 5 years whose birth was registered with the civil authority (%),I6822_40,Numeric Variable,Percentage,1,weighted avg,WeighingRatio_Percentage_TotalPopulation,Total Population from Census,Population and household profile-children under age 5 years whose birth was registered with the civil authority (%)
Children under age 6 months exclusively breastfed (%),I6822_41,Numeric Variable,Percentage,1,weighted avg,WeighingRatio_Percentage_TotalPopulation,Total Population from Census,Child feeding practices and nutritional status of children-children under age 6 months exclusively breastfed (based on the youngest child living with the mother) (%)
Children who received postnatal care from a doctor or nurse or lady health visitor ( lhv ) or auxiliary nurse midwifery ( anm ) or midwife or other health personnel within 2 days of delivery (%),I6822_42,Numeric Variable,Percentage,1,weighted avg,WeighingRatio_Percentage_TotalPopulation,Total Population from Census,Maternal and child health (for last birth in the 5 years before the survey). children who received postnatal care from a doctor or nurse or Lady Health Visitor ( LHV ) or Auxiliary Nurse Midwifery ( ANM ) or midwife or other health personnel within 2 days of delivery (%)
Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%),I6822_43,Numeric Variable,Percentage,1,weighted avg,WeighingRatio_Percentage_TotalPopulation,Total Population from Census,Treatment of childhood diseases (children under age 5 years)-children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%)
Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (%),I6822_44,Numeric Variable,Percentage,1,weighted avg,WeighingRatio_Percentage_TotalPopulation,Total Population from Census,Treatment of childhood diseases (children under age 5 years)-children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts ( ORS ) (%)
Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%),I6822_45,Numeric Variable,Percentage,1,weighted avg,WeighingRatio_Percentage_TotalPopulation,Total Population from Census,Treatment of childhood diseases (children under age 5 years).children with diarrhoea in the 2 weeks preceding the survey who received zinc (%)
Children with fever or symptoms of acute respiratory infection in the 2 weeks preceding the survey taken to a health facility or health provider (%),I6822_46,Numeric Variable,Percentage,1,weighted avg,WeighingRatio_Percentage_TotalPopulation,Total Population from Census,Treatment of childhood diseases (children under age 5 years) children with fever or symptoms of acute respiratory infection ( ARI ) in the 2 weeks preceding the survey taken to a health facility or health provider (%)
Married women using condom in the age group of 15 to 49 years (%),I6822_47,Numeric Variable,Percentage,1,weighted avg,WeighingRatio_Percentage_TotalPopulationFemale,Total Population Female from Census,Current use of family planning methods (currently married women age 15 to 49 years)-percentage of women using condom (%)
Current users ever told about side effects of current method (%),I6822_48,Numeric Variable,Percentage,1,weighted avg,WeighingRatio_Percentage_TotalPopulation,Total Population from Census,"Quality of family planning services-current users ever told about side effects of current method (based on current users of female sterilization, Intrauterine Device ( IUD ) or Postpartum Intrauterine Contraceptive Device ( PPIUD ), injectables, and pills who started using that method in the past 5 years) (%)"
Deaths in the last 3 years registered with the civil authority (%),I6822_49,Numeric Variable,Percentage,1,weighted avg,WeighingRatio_Percentage_TotalPopulation,Total Population from Census,Population and household profile-deaths in the last 3 years registered with the civil authority (%)
Women who have ever undergone a breast examination for breast cancer (%),I6822_50,Numeric Variable,Percentage,1,weighted avg,WeighingRatio_Percentage_TotalPopulationFemale,Total Population Female from Census,Screening for cancer among adults (age 30 to 49 years)-ever undergone a breast examination for breast cancer (%)
Women-ever undergone a screening test for cervical cancer (%),I6822_51,Numeric Variable,Percentage,1,weighted avg,WeighingRatio_Percentage_TotalPopulationFemale,Total Population Female from Census,Screening for cancer among adults (age 30 to 49 years)-ever undergone a screening test for cervical cancer (%)
Women-ever undergone an oral cavity examination for oral cancer (%),I6822_52,Numeric Variable,Percentage,1,weighted avg,WeighingRatio_Percentage_TotalPopulationFemale,Total Population Female from Census,Screening for cancer among adults (age 30 to 49 years)-ever undergone an oral cavity examination for oral cancer (%)
Female population age 6 years and above who ever attended school (%),I6822_53,Numeric Variable,Percentage,1,weighted avg,WeighingRatio_Percentage_TotalPopulationFemale,Total Population Female from Census,Population and household profile-female population age 6 years and above who ever attended school (%)
Female sterilization married women-15 to 49 years (%),I6822_54,Numeric Variable,Percentage,1,weighted avg,WeighingRatio_Percentage_TotalPopulationFemale,Total Population Female from Census,Current use of family planning methods (currently married women age 15 to 49 years)-female sterilization (%)
Health worker ever talked to female non-users about family planning (%),I6822_55,Numeric Variable,Percentage,1,weighted avg,WeighingRatio_Percentage_TotalPopulation,Total Population from Census,Quality of family planning services-health worker ever talked to female non-users about family planning (%)
Home births that were conducted by skilled health personnel (%),I6822_56,Numeric Variable,Percentage,1,weighted avg,WeighingRatio_Percentage_TotalPopulationFemale,Total Population Female from Census,Delivery care (for births in the 5 years before the survey home births that were conducted by skilled health personnel-doctor or nurse or Lady Health Visitor ( LHV ) or Auxiliary Nurse Midwifery ( ANM ) or midwife or other health personnel (%)
Households using clean fuel for cooking (%),I6822_57,Numeric Variable,Percentage,1,weighted avg,WeighingRatio_Percentage_TotalPopulation,Total Population from Census,"Population and household profile-households using clean fuel for cooking (electricity, Liquefied Petroleum Gas ( LPG ) or natural gas, biogas) (%)"
Households using iodized salt (%),I6822_58,Numeric Variable,Percentage,1,weighted avg,WeighingRatio_Percentage_TotalPopulation,Total Population from Census,Population and household profile-households using iodized salt (%)
Population and household profile-households with any usual member covered under a health insurance or financing scheme (%),I6822_59,Numeric Variable,Percentage,1,weighted avg,WeighingRatio_Percentage_TotalPopulation,Total Population from Census,Households with any usual member covered under a health insurance or financing scheme (%)
Married women age group 15 to 49 years using intrauterine device ( iud ) or postpartum intrauterine contraceptive device ( ppiud ) as family planning methods (%),I6822_60,Numeric Variable,Percentage,1,weighted avg,WeighingRatio_Percentage_TotalPopulationFemale,Total Population Female from Census,Intrauterine Device ( IUD ) or Postpartum Intrauterine Contraceptive Device ( PPIUD ) - current use of family planning methods (currently married women age 15 to 49 years) (%)
Married women age group 15 to 49 years using injectables as one of the family planning methods (%),I6822_61,Numeric Variable,Percentage,1,weighted avg,WeighingRatio_Percentage_TotalPopulationFemale,Total Population Female from Census,Injectables -current use of family planning methods (currently married women age 15 to 49 years) (%)
Institutional births (%),I6822_62,Numeric Variable,Percentage,1,weighted avg,WeighingRatio_Percentage_TotalPopulationFemale,Total Population Female from Census,Institutional births - delivery care (for births in the 5 years before the survey) (%)
Institutional births in public facility (%),I6822_63,Numeric Variable,Percentage,1,weighted avg,WeighingRatio_Percentage_TotalPopulationFemale,Total Population Female from Census,Delivery care (for births in the 5 years before the survey)- institutional births in public facility (%)
Married women of age 15 to 49 years using male sterlization as one of the family planning methods (%),I6822_64,Numeric Variable,Percentage,1,weighted avg,WeighingRatio_Percentage_TotalPopulationMale,Total Population Male from Census,Current use of family planning methods (currently married women age 15 to 49 years) male sterilization (%)
Men age group 15 years and above who consume alcohol (%),I6822_65,Numeric Variable,Percentage,1,weighted avg,WeighingRatio_Percentage_TotalPopulationMale,Total Population Male from Census,Tobacco use and alcohol consumption among adults (age 15 years and above) men age 15 years and above who consume alcohol (%)
Men age group 15 years and above who use any kind of tobacco (%),I6822_66,Numeric Variable,Percentage,1,weighted avg,WeighingRatio_Percentage_TotalPopulationMale,Total Population Male from Census,Tobacco use and alcohol consumption among adults (age 15 years and above) men age 15 years and above who use any kind of tobacco (%)
Men suffering from high blood sugar level (%),I6822_67,Numeric Variable,Percentage,1,weighted avg,WeighingRatio_Percentage_TotalPopulationMale,Total Population Male from Census,Blood sugar level among adults (age 15 years and above) men-blood sugar level - high (141 to 160 mg/dl) (%)
Men suffering from high or very high blood sugar level (%),I6822_68,Numeric Variable,Percentage,1,weighted avg,WeighingRatio_Percentage_TotalPopulationMale,Total Population Male from Census,Blood sugar level among adults (age 15 years and above) men-blood sugar level - high or very high (greater than 140 mg/dl) or taking medicine to control blood sugar level (%)
Men suffering from very high blood sugar level (%),I6822_69,Numeric Variable,Percentage,1,weighted avg,WeighingRatio_Percentage_TotalPopulationMale,Total Population Male from Census,Blood sugar level among adults (age 15 years and above)-men-blood sugar level - very high (greater than 160 mg/dl) (%)
Elevated blood pressure or taking medicine to control blood pressure (%),I6822_70,Numeric Variable,Percentage,1,weighted avg,WeighingRatio_Percentage_TotalPopulationMale,Total Population Male from Census,Hypertension among adults (age 15 years and above)-elevated blood pressure (systolic =140 mm of hg and or diastolic =90 mm of hg) or taking medicine to control blood pressure (%)
Men-mildly elevated blood pressure (%),I6822_71,Numeric Variable,Percentage,1,weighted avg,WeighingRatio_Percentage_TotalPopulationMale,Total Population Male from Census,Hypertension among adults (age 15 years and above) -men-mildly elevated blood pressure (systolic 140 to 159 mm of hg and or diastolic 90 to 99 mm of hg) (%)
Moderately or severely elevated blood pressure (%),I6822_72,Numeric Variable,Percentage,1,weighted avg,WeighingRatio_Percentage_TotalPopulationMale,Total Population Male from Census,Hypertension among adults (age 15 years and above) -moderately or severely elevated blood pressure (systolic  greater than or equal to 160 mm of hg and or diastolic greater than or equal to 100 mm of hg) (%)
Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),I6822_73,Numeric Variable,Percentage,1,weighted avg,WeighingRatio_Percentage_TotalPopulationFemale,Total Population Female from Census,Maternal and child health-maternity care (for last birth in the 5 years before the survey)-mothers who consumed iron folic acid for 100 days or more when they were pregnant (%)
Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),I6822_74,Numeric Variable,Percentage,1,weighted avg,WeighingRatio_Percentage_TotalPopulationFemale,Total Population Female from Census,Maternal and child health-maternity care (for last birth in the 5 years before the survey)-mothers who consumed iron folic acid for 180 days or more when they were pregnant (%)
Mothers who had an antenatal check-up in the first trimester (%),I6822_75,Numeric Variable,Percentage,1,weighted avg,WeighingRatio_Percentage_TotalPopulationFemale,Total Population Female from Census,Maternal and child health-maternity care (for last birth in the 5 years before the survey) mothers who had an antenatal check-up in the first trimester (%)
Mothers who had at least 4 antenatal care visits (%),I6822_76,Numeric Variable,Percentage,1,weighted avg,WeighingRatio_Percentage_TotalPopulationFemale,Total Population Female from Census,Maternal and child health-maternity care (for last birth in the 5 years before the survey)-mothers who had at least 4 antenatal care visits (%)
Mothers who received postnatal care from a doctor or nurse or lady health visitor ( lhv ) or auxiliary nurse midwifery ( anm ) or midwife or other health personnel within 2 days of delivery (%),I6822_77,Numeric Variable,Percentage,1,weighted avg,WeighingRatio_Percentage_TotalPopulationFemale,Total Population Female from Census,Maternal and child health-maternity care (for last birth in the 5 years before the survey)-mothers who received postnatal care from a doctor or nurse or Lady Health Visitor ( LHV ) or Auxiliary Nurse Midwifery ( ANM ) or midwife or other health personnel within 2 days of delivery (%)
Mothers whose last birth was protected against neonatal tetanus (%),I6822_78,Numeric Variable,Percentage,1,weighted avg,WeighingRatio_Percentage_TotalPopulationFemale,Total Population Female from Census,"Maternal and child health-maternity care (for last birth in the 5 years before the survey)-mothers whose last birth was protected against neonatal tetanus (includes mothers with two injections during the pregnancy for their last birth, or two or more injections (the last within 3 years of the last live birth), or three or more  injections (the last within 5 years of the last birth), or four or more injections (the last within 10 years of the last live birth), or five or more injections at any time prior to the  last birth) (%)"
Non-breastfeeding children age group 6 to 23 months receiving an adequate diet (%),I6822_79,Numeric Variable,Percentage,1,weighted avg,WeighingRatio_Percentage_TotalPopulation,Total Population from Census,"Child feeding practices and nutritional status of children-non-breastfeeding children age 6 to 23 months receiving an adequate diet- based on the youngest child living with the mother. breastfed children receiving 4 or more food groups and a minimum meal frequency, non-breastfed children fed with a minimum of 3 infant and young child feeding  practices (fed with other milk or milk products at least twice a day, a minimum meal frequency that is, receiving solid or semi-solid food at least twice a day for breastfed  infants 6-8 months and at least three times a day for breastfed children 9-23 months, and solid or semi-solid foods from at least four food groups not including the milk or  milk products food group) (%)"
Non-pregnant women age group 15 to 49 years who are anaemic (%),I6822_80,Numeric Variable,Percentage,1,weighted avg,WeighingRatio_Percentage_TotalPopulationFemale,Total Population Female from Census,"Anaemia among children and adults-non-pregnant women age 15 to 49 years who are anaemic (less than 12.0 g/dl) (haemoglobin in grams per decilitre (g/dl). among children, prevalence is adjusted for altitude. among adults, prevalence is adjusted for altitude and for smoking status, if known. as NFHS uses the capillary blood for estimation of anaemia, the results of NFHS-5 need not be compared with other surveys using venous blood) (%)"
Currently married women age group 15 to 49 years consuming pill (%),I6822_81,Numeric Variable,Percentage,1,weighted avg,WeighingRatio_Percentage_TotalPopulationFemale,Total Population Female from Census,Current use of family planning methods (currently married women age 15 to 49 years) pill (%)
Population below age 15 years (%),I6822_82,Numeric Variable,Percentage,1,weighted avg,WeighingRatio_Percentage_TotalPopulation,Total Population from Census,Population and household profile-population below age 15 years (%)
Population living in households that use an improved sanitation facility (%),I6822_83,Numeric Variable,Percentage,1,weighted avg,WeighingRatio_Percentage_TotalPopulation,Total Population from Census,"Population and household profile-population living in households that use an improved sanitation facility -flush to piped sewer system, flush to septic tank, flush to pit latrine, flush to don't know where, ventilated improved pit ( VIP ) or biogas latrine, pit latrine with slab, twin pit or composting toilet, which is not shared with any other household. this indicator does not denote access to toilet facility (%)"
Population living in households with an improved drinking water source (%),I6822_84,Numeric Variable,Percentage,1,weighted avg,WeighingRatio_Percentage_TotalPopulation,Total Population from Census,"Population and household profile-population living in households with an improved drinking-water source(1piped water into dwelling or yard or plot, piped to neighbour public tap or standpipe, tube well or borehole, protected dug well, protected spring, rainwater, tanker truck, cart with  small tank, bottled water, community RO plant) (%)"
Population living in households with electricity (%),I6822_85,Numeric Variable,Percentage,1,weighted avg,WeighingRatio_Percentage_TotalPopulation,Total Population from Census,Population and household profile-population living in households with electricity (%)
Pregnant women age group 15 to 49 years who are anaemic (%),I6822_86,Numeric Variable,Percentage,1,weighted avg,WeighingRatio_Percentage_TotalPopulationFemale,Total Population Female from Census,"Anaemia among children and adults -pregnant women age 15 to 49 years who are anaemic (less than 11.0 g/dl) (haemoglobin in grams per decilitre (g/dl). among children, prevalence is adjusted for altitude. among adults, prevalence is adjusted for altitude and for smoking status, if known. as NFHS uses the capillary blood for estimation of anaemia, the results of nfhs-5 need not be compared with other surveys using venous blood) (%)"
Prevalence of diarrhoea in the 2 weeks preceding the survey (%),I6822_87,Numeric Variable,Percentage,1,weighted avg,WeighingRatio_Percentage_TotalPopulation,Total Population from Census,Prevalence of diarrhoea in the 2 weeks preceding the survey (treatment of childhood diseases (children under age 5 years) (%)
Prevalence of symptoms of acute respiratory infection ( ari ) in the 2 weeks preceding the survey (%),I6822_88,Numeric Variable,Percentage,1,weighted avg,WeighingRatio_Percentage_TotalPopulation,Total Population from Census,Treatment of childhood diseases (children under age 5 years) -prevalence of symptoms of acute respiratory infection ( ARI ) in the 2 weeks preceding the survey (%)
Registered pregnancies for which the mother received a mother and child protection card ( mcp )(%),I6822_89,Numeric Variable,Percentage,1,weighted avg,WeighingRatio_Percentage_TotalPopulationFemale,Total Population Female from Census,Maternal and child health-maternity care (for last birth in the 5 years before the survey)-registered pregnancies for which the mother received a mother and child protection ( MCP ) card (%)
Sex ratio at birth for children born in the last five years (%),I6822_90,Numeric Variable,Ratio,1,weighted avg,WeighingRatio_Percentage_TotalPopulation,Total Population from Census,"Population and household profile-sex ratio at birth for children born in the last five years (females per 1,000 males) (%)"
Sex ratio of the total population (%),I6822_91,Numeric Variable,Ratio,1,weighted avg,WeighingRatio_Percentage_TotalPopulation,Total Population from Census,"Population and household profile-sex ratio of the total population (females per 1,000 males) (%)"
Children age group 6 to 23 months receiving an adequate diet (%),I6822_92,Numeric Variable,Percentage,1,weighted avg,WeighingRatio_Percentage_TotalPopulation,Total Population from Census,"Child feeding practices and nutritional status of children-total children age 6 to 23 months receiving an adequate diet (based on the youngest child living with the mother. breastfed children receiving 4 or more food groups and a minimum meal frequency, non-breastfed children fed with a minimum of 3 infant and young child feeding  practices (fed with other milk or milk products at least twice a day, a minimum meal frequency that is, receiving solid or semi-solid food at least twice a day for breastfed  infants 6-8 months and at least three times a day for breastfed children 9 to 23 months, and solid or semi-solid foods from at least four food groups not including the milk or  milk products food group) (%)"
Married women age group 15 to 49 years unmet need for family planning (%),I6822_93,Numeric Variable,Percentage,1,weighted avg,WeighingRatio_Percentage_TotalPopulationFemale,Total Population Female from Census,"Unmet need for family planning (currently married women age 15 to 49 years)-total unmet need (unmet need for family planning refers to fecund women who are not using contraception but who wish to postpone the next birth (spacing) or stop childbearing altogether (limiting). specifically, women are considered to have unmet need for spacing if they are:   · at risk of becoming pregnant, not using contraception, and either do not want to become pregnant within the next two years, or are unsure if or when they want to become pregnant.  pregnant with a mistimed pregnancy. postpartum amenorrhoeic for up to two years following a mistimed birth and not using contraception.  women are considered to have unmet need for limiting if they are:  · at risk of becoming pregnant, not using contraception, and want no (more) children. pregnant with an unwanted pregnancy. postpartum amenorrhoeic for up to two years following an unwanted birth and not using contraception.  women who are classified as infecund have no unmet need because they are not at risk of becoming pregnant. unmet need for family planning is the sum of unmet need for spacing plus unmet need for limiting) (%)"
