key,prop,val,,,,,,,,
"Ehrlichiosis and Anaplasmosis, Ehrlichia ewingii infection",#ignore,ignore,,,,,,,,
"Ehrlichiosis and Anaplasmosis, Undetermined ehrlichiosis/anaplasmosis",#ignore,ignore,,,,,,,,
Giardiasis,medicalCondition,Giardiasis,,,,,,,,
Gonorrhea,medicalCondition,Gonorrhea,,,,,,,,
"Haemophilus influenzae, invasive disease, Age <5 years, Non-b serotype",medicalCondition,HaemophilusInfluenzae__InvasiveDisease,age,YearsUpto5,serotype,NonSerotypeB,,,,
"Haemophilus influenzae, invasive disease, Age <5 years, Nontypeable",#ignore,Couldn't find existing value,,,,,,,,
"Haemophilus influenzae, invasive disease, Age <5 years, Serotype b",medicalCondition,HaemophilusInfluenzae__InvasiveDisease,age,YearsUpto5,serotype,SerotypeB,,,,
"Haemophilus influenzae, invasive disease, Age <5 years, Unknown serotype",medicalCondition,HaemophilusInfluenzae__InvasiveDisease,age,YearsUpto5,serotype,UnknownSerotype,,,,
"Haemophilus influenzae, invasive disease, All ages, all serotypes",medicalCondition,HaemophilusInfluenzae__InvasiveDisease,,,,,,,,
Hansen's disease,medicalCondition,Leprosy,,,,,,,,
"Hantavirus infection, non-hantavirus pulmonary syndrome",medicalCondition,HaemophilusMeningitis,,,,,,,,
Hantavirus pulmonary syndrome,medicalCondition,HantavirusPulmonarySyndrome,,,,,,,,
Hemolytic uremic syndrome post-diarrheal,medicalCondition,PostDiarrhealHemolyticUremicSyndrome,,,,,,,,
"Hepatitis A, Confirmed",medicalCondition,HepatitisA,medicalStatus,ConfirmedCase,,,,,,
"Hepatitis B, acute",medicalCondition,AcuteCondition__HepatitisB,,,,,,,,
"Hepatitis B, acute, Confirmed",medicalCondition,AcuteCondition__HepatitisB,medicalStatus,ConfirmedCase,,,,,,
"Hepatitis B, acute, Probable",medicalCondition,AcuteCondition__HepatitisB,medicalStatus,ProbableCase,,,,,,
"Hepatitis B, chronic, Confirmed",#ignore,Couldnt get existing value,,,,,,,,
"Hepatitis B, chronic, Probable",#ignore,Couldnt get existing value,,,,,,,,
"Hepatitis B, perinatal infection",medicalCondition,PerinatalInfection__HepatitisB,,,,,,,,
"Hepatitis B, perinatal, Confirmed",medicalCondition,PerinatalInfection__HepatitisB,medicalStatus,ConfirmedCase,,,,,,
"Hepatitis C, acute, Confirmed",medicalCondition,HepatitisC__AcuteCondition,medicalStatus,ConfirmedCase,,,,,,
"Hepatitis C, acute, Probable",medicalCondition,HepatitisC__AcuteCondition,medicalStatus,ProbableCase,,,,,,
"Hepatitis C, chronic, Confirmed",#ignore,Couldnt get existing value,,,,,,,,
"Hepatitis C, chronic, Probable",#ignore,Couldnt get existing value,,,,,,,,
"Hepatitis C, perinatal infection",medicalCondition,PerinatalInfectionHepatitisC,,,,,,,,
"Hepatitis C, perinatal, Confirmed",medicalCondition,PerinatalInfectionHepatitisC,medicalStatus,ConfirmedCase,,,,,,
"Hepatitis, A, acute",medicalCondition,AcuteCondition__HepatitisA,,,,,,,,
"Hepatitis, B, acute",medicalCondition,AcuteCondition__HepatitisB,,,,,,,,
Influenza-associated pediatric mortality,medicalCondition,"Influenza
",,,,,,,,
"Invasive pneumococcal disease, age <5 years, Confirmed",medicalCondition,StreptococcusPneumonia,age,YearsUpto5,medicalStatus,ConfirmedCase,,,,
"Invasive pneumococcal disease, age <5 years, Probable",medicalCondition,StreptococcusPneumonia,age,YearsUpto5,medicalStatus,ProbableCase,,,,
"Invasive pneumococcal disease, all ages, Confirmed",medicalCondition,StreptococcusPneumonia,medicalStatus,ConfirmedCase,,,,,,
"Invasive pneumococcal disease, all ages, Probable",medicalCondition,StreptococcusPneumonia,medicalStatus,ProbableCase,,,,,,
Legionellosis,medicalCondition,Legionellosis,,,,,,,,
Leprosy (Hansen's disease),#ignore,ignore,,,,,,,,
Leptospirosis,medicalCondition,Leptospirosis,,,,,,,,
"Listeriosis, Confirmed",medicalCondition,Listeriosis,medicalStatus,ConfirmedCase,,,,,,
"Listeriosis, Probable",medicalCondition,Listeriosis,medicalStatus,ProbableCase,,,,,,
Malaria,medicalCondition,Malaria,,,,,,,,
"Measles, Imported",medicalCondition,Measles,medicalStatus,ImportedCase,,,,,,
"Measles, Indigenous",medicalCondition,Measles,medicalStatus,IndigenousCase,,,,,,
Melioidosis,#ignore,ignore,,,,,,,,
"Meningococcal disease, All serogroups",medicalCondition,MeningococcalMeningitis,,,,,,,,
"Meningococcal disease, Other serogroups",medicalCondition,MeningococcalMeningitis,serogroup,OtherSerogroups,,,,,,
"Meningococcal disease, Serogroup B",medicalCondition,MeningococcalMeningitis,serogroup,SerogroupB,,,,,,
"Meningococcal disease, Serogroups ACWY",medicalCondition,MeningococcalMeningitis,serogroup,ACWYSerogroup,,,,,,
"Meningococcal disease, Unknown serogroup",medicalCondition,MeningococcalMeningitis,serogroup,UnknownSerogroups,,,,,,
Mpox,#ignore,ignore,,,,,,,,
Mumps,#ignore,ignore,,,,,,,,
Novel Influenza A virus infections,#ignore,ignore,,,,,,,,
"Novel Influenza A virus infections, Confirmed",#ignore,ignore,,,,,,,,
"Novel Influenza A virus infections, Probable",#ignore,ignore,,,,,,,,
"Novel Influenza A virus infections, Total",#ignore,Couldnt find the existing data,,,,,,,,
Pertussis,#ignore,ignore,,,,,,,,
Plague,#ignore,ignore,,,,,,,,
"Poliomyelitis, paralytic",medicalCondition,ParalyticPoliomyelitis,,,,,,,,
"Poliovirus infection, nonparalytic",#ignore,ignore,,,,,,,,
Psittacosis,medicalCondition,Psittacosis,,,,,,,,
"Q fever, Acute",medicalCondition,AcuteConditionQFever,,,,,,,,
"Q fever, Chronic",medicalCondition,ChronicConditionQFever,,,,,,,,
"Q fever, Total",medicalCondition,QFever,,,,,,,,
"Rabies, Animal",#ignore,ignore,,,,,,,,
"Rabies, Human",medicalCondition,Rabiesinhuman,,,,,,,,
Rubella,medicalCondition,Rubella,,,,,,,,
"Rubella, congenital syndrome",medicalCondition,CongenitalDiseaseRubella,,,,,,,,
Salmonella Paratyphi infection,#ignore,ignore,,,,,,,,
Salmonella Typhi infection,#ignore,ignore,,,,,,,,
SalmonellaParatyphi infection,#ignore,ignore,,,,,,,,
Salmonellosis (excluding Salmonella Typhi infection and Salmonella Paratyphi infection),#ignore,ignore,,,,,,,,
Severe acute respiratory syndrome-associated coronavirus disease,#ignore,ignore,,,,,,,,
Shiga toxin-producing Escherichia coli (STEC),#ignore,ignore,,,,,,,,
Shigellosis,medicalCondition,Shigellosis,,,,,,,,
Smallpox,#ignore,ignore,,,,,,,,
Streptococcal toxic shock syndrome,medicalCondition,StreptococcalToxicShockSyndrome,,,,,,,,
"Syphilis, Congenital",medicalCondition,WHO/CaseCS,,,,,,,,
"Syphilis, Primary and secondary",medicalCondition,SyphilisPrimaryAndSecondary,,,,,,,,
Tetanus,medicalCondition,who/WHS3_46,,,,,,,,
Toxic shock syndrome (other than Streptococcal),medicalCondition,ToxicShockSyndromExceptStreptococcal,,,,,,,,
Trichinellosis,medicalCondition,Trichinellosis,,,,,,,,
Tuberculosis,#ignore,ignore,,,,,,,,
Tularemia,medicalCondition,Tularemia,,,,,,,,
Vancomycin-intermediate Staphylococcus aureus,#ignore,ignore,,,,,,,,
Vancomycin-resistant Staphylococcus aureus,#ignore,ignore,,,,,,,,
Varicella disease,#ignore,ignore,,,,,,,,
Varicella morbidity,#ignore,ignore,,,,,,,,
"Vibriosis (any species of the family Vibrionaceae, other than toxigenic Vibrio cholerae O1 or O139), Confirmed",#ignore,ignore,,,,,,,,
"Vibriosis (any species of the family Vibrionaceae, other than toxigenic Vibrio cholerae O1 or O139), Probable",#ignore,ignore,,,,,,,,
"Viral hemorrhagic fevers, Chapare virus",#ignore,ignore,,,,,,,,
"Viral hemorrhagic fevers, Crimean-Congo hemorrhagic fever virus",#ignore,ignore,,,,,,,,
"Viral hemorrhagic fevers, Ebola virus",#ignore,ignore,,,,,,,,
"Viral hemorrhagic fevers, Guanarito virus",#ignore,ignore,,,,,,,,
"Viral hemorrhagic fevers, Junin virus",#ignore,ignore,,,,,,,,
"Viral hemorrhagic fevers, Lassa virus",#ignore,ignore,,,,,,,,
"Viral hemorrhagic fevers, Lujo virus",#ignore,ignore,,,,,,,,
"Viral hemorrhagic fevers, Machupo virus",#ignore,ignore,,,,,,,,
"Viral hemorrhagic fevers, Marburg virus",#ignore,ignore,,,,,,,,
"Viral hemorrhagic fevers, Rift Valley fever virus",#ignore,ignore,,,,,,,,
"Viral hemorrhagic fevers, Sabia virus",#ignore,ignore,,,,,,,,
"Zika virus disease, non-congenital",medicalCondition,NonCongenitalDiseaseZikaVirusDisease,,,,,,,,
,,,,,,,,,,
ALABAMA,observationAbout,geoId/01,,,,,,,,
ALASKA,observationAbout,geoId/02,,,,,,,,
AMERICAN SAMOA,observationAbout,geoId/60,,,,,,,,
ARIZONA,observationAbout,geoId/04,,,,,,,,
ARKANSAS,observationAbout,geoId/05,,,,,,,,
Alabama,observationAbout,geoId/01,,,,,,,,
Alaska,observationAbout,geoId/02,,,,,,,,
American Samoa,observationAbout,geoId/60,,,,,,,,
Arizona,observationAbout,geoId/04,,,,,,,,
Arkansas,observationAbout,geoId/05,,,,,,,,
CALIFORNIA,observationAbout,geoId/06,,,,,,,,
COLORADO,observationAbout,geoId/08,,,,,,,,
CONNECTICUT,observationAbout,geoId/09,,,,,,,,
California,observationAbout,geoId/06,,,,,,,,
Colorado,observationAbout,geoId/08,,,,,,,,
Commonwealth of Northern Mariana Islands,observationAbout,geoId/69,,,,,,,,
Connecticut,observationAbout,geoId/09,,,,,,,,
DELAWARE,observationAbout,geoId/10,,,,,,,,
DISTRICT OF COLUMBIA,observationAbout,geoId/11,,,,,,,,
Delaware,observationAbout,geoId/10,,,,,,,,
District of Columbia,observationAbout,geoId/11,,,,,,,,
EAST NORTH CENTRAL,observationAbout,usc/EastNorthCentralDivision,,,,,,,,
EAST SOUTH CENTRAL,observationAbout,usc/EastSouthCentralDivision,,,,,,,,
East North Central,observationAbout,usc/EastNorthCentralDivision,,,,,,,,
East South Central,observationAbout,usc/EastSouthCentralDivision,,,,,,,,
FLORIDA,observationAbout,geoId/12,,,,,,,,
Florida,observationAbout,geoId/12,,,,,,,,
GEORGIA,observationAbout,geoId/13,,,,,,,,
GUAM,observationAbout,geoId/66,,,,,,,,
Georgia,observationAbout,geoId/13,,,,,,,,
Guam,observationAbout,geoId/66,,,,,,,,
HAWAII,observationAbout,geoId/15,,,,,,,,
Hawaii,observationAbout,geoId/15,,,,,,,,
IDAHO,observationAbout,geoId/16,,,,,,,,
ILLINOIS,observationAbout,geoId/17,,,,,,,,
INDIANA,observationAbout,geoId/18,,,,,,,,
IOWA,observationAbout,geoId/19,,,,,,,,
Idaho,observationAbout,geoId/16,,,,,,,,
Illinois,observationAbout,geoId/17,,,,,,,,
Indiana,observationAbout,geoId/18,,,,,,,,
Iowa,observationAbout,geoId/19,,,,,,,,
KANSAS,observationAbout,geoId/20,,,,,,,,
KENTUCKY,observationAbout,geoId/21,,,,,,,,
Kansas,observationAbout,geoId/20,,,,,,,,
Kentucky,observationAbout,geoId/21,,,,,,,,
LOUISIANA,observationAbout,geoId/22,,,,,,,,
Louisiana,observationAbout,geoId/22,,,,,,,,
MAINE,observationAbout,geoId/23,,,,,,,,
MARYLAND,observationAbout,geoId/24,,,,,,,,
MASSACHUSETTS,observationAbout,geoId/25,,,,,,,,
MICHIGAN,observationAbout,geoId/26,,,,,,,,
MIDDLE ATLANTIC,observationAbout,usc/MiddleAtlanticDivision,,,,,,,,
MINNESOTA,observationAbout,geoId/27,,,,,,,,
MISSISSIPPI,observationAbout,geoId/28,,,,,,,,
MISSOURI,observationAbout,geoId/29,,,,,,,,
MONTANA,observationAbout,geoId/30,,,,,,,,
MOUNTAIN,observationAbout,usc/MountainDivision,,,,,,,,
Maine,observationAbout,geoId/23,,,,,,,,
Maryland,observationAbout,geoId/24,,,,,,,,
Massachusetts,observationAbout,geoId/25,,,,,,,,
Michigan,observationAbout,geoId/26,,,,,,,,
Middle Atlantic,observationAbout,usc/MiddleAtlanticDivision,,,,,,,,
Minnesota,observationAbout,geoId/27,,,,,,,,
Mississippi,observationAbout,geoId/28,,,,,,,,
Missouri,observationAbout,geoId/29,,,,,,,,
Montana,observationAbout,geoId/30,,,,,,,,
Mountain,observationAbout,usc/MountainDivision,,,,,,,,
NEBRASKA,observationAbout,geoId/31,,,,,,,,
NEVADA,observationAbout,geoId/32,,,,,,,,
NEW ENGLAND,observationAbout,usc/NewEnglandDivision,,,,,,,,
NEW HAMPSHIRE,observationAbout,geoId/33,,,,,,,,
NEW JERSEY,observationAbout,geoId/34,,,,,,,,
NEW MEXICO,observationAbout,geoId/35,,,,,,,,
NEW YORK,observationAbout,geoId/36,,,,,,,,
NEW YORK CITY,observationAbout,geoId/3651000,,,,,,,,
NON-US RESIDENTS,observationAbout,country/USA,residentStatus,NonUSResident,,,,,,
NORTH CAROLINA,observationAbout,geoId/37,,,,,,,,
NORTH DAKOTA,observationAbout,geoId/38,,,,,,,,
NORTHERN MARIANA ISLANDS,observationAbout,geoId/69,,,,,,,,
Nebraska,observationAbout,geoId/31,,,,,,,,
Nevada,observationAbout,geoId/32,,,,,,,,
New England,observationAbout,usc/NewEnglandDivision,,,,,,,,
New Hampshire,observationAbout,geoId/33,,,,,,,,
New Jersey,observationAbout,geoId/34,,,,,,,,
New Mexico,observationAbout,geoId/35,,,,,,,,
New York,observationAbout,geoId/36,,,,,,,,
New York City,observationAbout,geoId/3651000,,,,,,,,
Non-U.S. Residents,observationAbout,country/USA,residentStatus,NonUSResident,,,,,,
North Carolina,observationAbout,geoId/37,,,,,,,,
North Dakota,observationAbout,geoId/38,,,,,,,,
OHIO,observationAbout,geoId/39,,,,,,,,
OKLAHOMA,observationAbout,geoId/40,,,,,,,,
OREGON,observationAbout,geoId/41,,,,,,,,
Ohio,observationAbout,geoId/39,,,,,,,,
Oklahoma,observationAbout,geoId/40,,,,,,,,
Oregon,observationAbout,geoId/41,,,,,,,,
PACIFIC,observationAbout,usc/PacificDivision,,,,,,,,
PENNSYLVANIA,observationAbout,geoId/42,,,,,,,,
PUERTO RICO,observationAbout,geoId/72,,,,,,,,
Pacific,observationAbout,usc/PacificDivision,,,,,,,,
Pennsylvania,observationAbout,geoId/42,,,,,,,,
Puerto Rico,observationAbout,geoId/72,,,,,,,,
RHODE ISLAND,observationAbout,geoId/44,,,,,,,,
Rhode Island,observationAbout,geoId/44,,,,,,,,
SOUTH ATLANTIC,observationAbout,usc/SouthAtlanticDivision,,,,,,,,
SOUTH CAROLINA,observationAbout,geoId/45,,,,,,,,
SOUTH DAKOTA,observationAbout,geoId/46,,,,,,,,
South Atlantic,observationAbout,usc/SouthAtlanticDivision,,,,,,,,
South Carolina,observationAbout,geoId/45,,,,,,,,
South Dakota,observationAbout,geoId/46,,,,,,,,
TENNESSEE,observationAbout,geoId/47,,,,,,,,
TEXAS,observationAbout,geoId/48,,,,,,,,
TOTAL,observationAbout,country/USA,,,,,,,,
Tennessee,observationAbout,geoId/47,,,,,,,,
Texas,observationAbout,geoId/48,,,,,,,,
Total,observationAbout,country/USA,,,,,,,,
U.S. Residents,observationAbout,country/USA,residentStatus ,USResident,,,,,,
U.S. Territories,observationAbout,,,,,,,,,
U.S. VIRGIN ISLANDS,observationAbout,geoId/78,,,,,,,,
U.S. Virgin Islands,observationAbout,geoId/78,,,,,,,,
US RESIDENTS,observationAbout,country/USA,residentStatus,USResident,,,,,,
US TERRITORIES,observationAbout,,,,,,,,,
UTAH,observationAbout,geoId/49,,,,,,,,
Utah,observationAbout,geoId/49,,,,,,,,
VERMONT,observationAbout,geoId/50,,,,,,,,
VIRGINIA,observationAbout,geoId/51,,,,,,,,
Vermont,observationAbout,geoId/50,,,,,,,,
Virginia,observationAbout,geoId/51,,,,,,,,
WASHINGTON,observationAbout,geoId/53,,,,,,,,
WEST NORTH CENTRAL,observationAbout,usc/WestNorthCentralDivision,,,,,,,,
WEST SOUTH CENTRAL,observationAbout,usc/WestSouthCentralDivision,,,,,,,,
WEST VIRGINIA,observationAbout,geoId/54,,,,,,,,
WISCONSIN,observationAbout,geoId/55,,,,,,,,
WYOMING,observationAbout,geoId/56,,,,,,,,
Washington,observationAbout,geoId/53,,,,,,,,
West North Central,observationAbout,usc/WestNorthCentralDivision,,,,,,,,
West South Central,observationAbout,usc/WestSouthCentralDivision,,,,,,,,
West Virginia,observationAbout,geoId/54,,,,,,,,
Wisconsin,observationAbout,geoId/55,,,,,,,,
Wyoming,observationAbout,geoId/56,,,,,,,,
