YEAR,LOCATION,SV,MEASUREMENT_METHOD,OBSERVATION
1987,country/USA,dcid:Count_Person_HispanicOrLatino_AmericanIndianOrAlaskaNativeAlone,dcs:dcAggregate/CensusPEPSurvey,277
1988,country/USA,dcid:Count_Person_HispanicOrLatino_AmericanIndianOrAlaskaNativeAlone,dcs:dcAggregate/CensusPEPSurvey,308
1989,country/USA,dcid:Count_Person_HispanicOrLatino_AmericanIndianOrAlaskaNativeAlone,dcs:dcAggregate/CensusPEPSurvey,332
1990,country/USA,dcid:Count_Person_HispanicOrLatino_AmericanIndianOrAlaskaNativeAlone,dcs:dcAggregate/CensusPEPSurvey,351
1991,country/USA,dcid:Count_Person_HispanicOrLatino_AmericanIndianOrAlaskaNativeAlone,dcs:dcAggregate/CensusPEPSurvey,355
1992,country/USA,dcid:Count_Person_HispanicOrLatino_AmericanIndianOrAlaskaNativeAlone,dcs:dcAggregate/CensusPEPSurvey,366
1993,country/USA,dcid:Count_Person_HispanicOrLatino_AmericanIndianOrAlaskaNativeAlone,dcs:dcAggregate/CensusPEPSurvey,384
1994,country/USA,dcid:Count_Person_HispanicOrLatino_AmericanIndianOrAlaskaNativeAlone,dcs:dcAggregate/CensusPEPSurvey,420
1995,country/USA,dcid:Count_Person_HispanicOrLatino_AmericanIndianOrAlaskaNativeAlone,dcs:dcAggregate/CensusPEPSurvey,447
1996,country/USA,dcid:Count_Person_HispanicOrLatino_AmericanIndianOrAlaskaNativeAlone,dcs:dcAggregate/CensusPEPSurvey,497
1997,country/USA,dcid:Count_Person_HispanicOrLatino_AmericanIndianOrAlaskaNativeAlone,dcs:dcAggregate/CensusPEPSurvey,542
1998,country/USA,dcid:Count_Person_HispanicOrLatino_AmericanIndianOrAlaskaNativeAlone,dcs:dcAggregate/CensusPEPSurvey,591
1999,country/USA,dcid:Count_Person_HispanicOrLatino_AmericanIndianOrAlaskaNativeAlone,dcs:dcAggregate/CensusPEPSurvey,632
2000,country/USA,dcid:Count_Person_HispanicOrLatino_AmericanIndianOrAlaskaNativeAlone,dcs:dcAggregate/CensusPEPSurvey,1306
2001,country/USA,dcid:Count_Person_HispanicOrLatino_AmericanIndianOrAlaskaNativeAlone,dcs:dcAggregate/CensusPEPSurvey,1801
2002,country/USA,dcid:Count_Person_HispanicOrLatino_AmericanIndianOrAlaskaNativeAlone,dcs:dcAggregate/CensusPEPSurvey,2317
2003,country/USA,dcid:Count_Person_HispanicOrLatino_AmericanIndianOrAlaskaNativeAlone,dcs:dcAggregate/CensusPEPSurvey,2818
2004,country/USA,dcid:Count_Person_HispanicOrLatino_AmericanIndianOrAlaskaNativeAlone,dcs:dcAggregate/CensusPEPSurvey,3307
2005,country/USA,dcid:Count_Person_HispanicOrLatino_AmericanIndianOrAlaskaNativeAlone,dcs:dcAggregate/CensusPEPSurvey,3807
2006,country/USA,dcid:Count_Person_HispanicOrLatino_AmericanIndianOrAlaskaNativeAlone,dcs:dcAggregate/CensusPEPSurvey,4363
2007,country/USA,dcid:Count_Person_HispanicOrLatino_AmericanIndianOrAlaskaNativeAlone,dcs:dcAggregate/CensusPEPSurvey,4880
2008,country/USA,dcid:Count_Person_HispanicOrLatino_AmericanIndianOrAlaskaNativeAlone,dcs:dcAggregate/CensusPEPSurvey,5508
2009,country/USA,dcid:Count_Person_HispanicOrLatino_AmericanIndianOrAlaskaNativeAlone,dcs:dcAggregate/CensusPEPSurvey,6256
2010,country/USA,dcid:Count_Person_HispanicOrLatino_AmericanIndianOrAlaskaNativeAlone,dcs:dcAggregate/CensusPEPSurvey,6746
2011,country/USA,dcid:Count_Person_HispanicOrLatino_AmericanIndianOrAlaskaNativeAlone,dcs:dcAggregate/CensusPEPSurvey,6581
2012,country/USA,dcid:Count_Person_HispanicOrLatino_AmericanIndianOrAlaskaNativeAlone,dcs:dcAggregate/CensusPEPSurvey,6555
2013,country/USA,dcid:Count_Person_HispanicOrLatino_AmericanIndianOrAlaskaNativeAlone,dcs:dcAggregate/CensusPEPSurvey,6418
2014,country/USA,dcid:Count_Person_HispanicOrLatino_AmericanIndianOrAlaskaNativeAlone,dcs:dcAggregate/CensusPEPSurvey,6371
2015,country/USA,dcid:Count_Person_HispanicOrLatino_AmericanIndianOrAlaskaNativeAlone,dcs:dcAggregate/CensusPEPSurvey,6426
2016,country/USA,dcid:Count_Person_HispanicOrLatino_AmericanIndianOrAlaskaNativeAlone,dcs:dcAggregate/CensusPEPSurvey,6624
2017,country/USA,dcid:Count_Person_HispanicOrLatino_AmericanIndianOrAlaskaNativeAlone,dcs:dcAggregate/CensusPEPSurvey,6721
2018,country/USA,dcid:Count_Person_HispanicOrLatino_AmericanIndianOrAlaskaNativeAlone,dcs:dcAggregate/CensusPEPSurvey,6925
2019,country/USA,dcid:Count_Person_HispanicOrLatino_AmericanIndianOrAlaskaNativeAlone,dcs:dcAggregate/CensusPEPSurvey,7136
2020,country/USA,dcid:Count_Person_HispanicOrLatino_AmericanIndianOrAlaskaNativeAlone,dcs:dcAggregate/CensusPEPSurvey,7406
2000,country/USA,dcid:Count_Person_HispanicOrLatino_AsianAlone,dcs:dcAggregate/CensusPEPSurvey,566
2001,country/USA,dcid:Count_Person_HispanicOrLatino_AsianAlone,dcs:dcAggregate/CensusPEPSurvey,681
2002,country/USA,dcid:Count_Person_HispanicOrLatino_AsianAlone,dcs:dcAggregate/CensusPEPSurvey,744
2003,country/USA,dcid:Count_Person_HispanicOrLatino_AsianAlone,dcs:dcAggregate/CensusPEPSurvey,844
2004,country/USA,dcid:Count_Person_HispanicOrLatino_AsianAlone,dcs:dcAggregate/CensusPEPSurvey,979
2005,country/USA,dcid:Count_Person_HispanicOrLatino_AsianAlone,dcs:dcAggregate/CensusPEPSurvey,1044
2006,country/USA,dcid:Count_Person_HispanicOrLatino_AsianAlone,dcs:dcAggregate/CensusPEPSurvey,1140
2007,country/USA,dcid:Count_Person_HispanicOrLatino_AsianAlone,dcs:dcAggregate/CensusPEPSurvey,1310
2008,country/USA,dcid:Count_Person_HispanicOrLatino_AsianAlone,dcs:dcAggregate/CensusPEPSurvey,1312
2009,country/USA,dcid:Count_Person_HispanicOrLatino_AsianAlone,dcs:dcAggregate/CensusPEPSurvey,1503
2010,country/USA,dcid:Count_Person_HispanicOrLatino_AsianAlone,dcs:dcAggregate/CensusPEPSurvey,1635
2011,country/USA,dcid:Count_Person_HispanicOrLatino_AsianAlone,dcs:dcAggregate/CensusPEPSurvey,1605
2012,country/USA,dcid:Count_Person_HispanicOrLatino_AsianAlone,dcs:dcAggregate/CensusPEPSurvey,1460
2013,country/USA,dcid:Count_Person_HispanicOrLatino_AsianAlone,dcs:dcAggregate/CensusPEPSurvey,1464
2014,country/USA,dcid:Count_Person_HispanicOrLatino_AsianAlone,dcs:dcAggregate/CensusPEPSurvey,1488
2015,country/USA,dcid:Count_Person_HispanicOrLatino_AsianAlone,dcs:dcAggregate/CensusPEPSurvey,1619
2016,country/USA,dcid:Count_Person_HispanicOrLatino_AsianAlone,dcs:dcAggregate/CensusPEPSurvey,1690
2017,country/USA,dcid:Count_Person_HispanicOrLatino_AsianAlone,dcs:dcAggregate/CensusPEPSurvey,1812
2018,country/USA,dcid:Count_Person_HispanicOrLatino_AsianAlone,dcs:dcAggregate/CensusPEPSurvey,1957
2019,country/USA,dcid:Count_Person_HispanicOrLatino_AsianAlone,dcs:dcAggregate/CensusPEPSurvey,1961
2020,country/USA,dcid:Count_Person_HispanicOrLatino_AsianAlone,dcs:dcAggregate/CensusPEPSurvey,2013
2010,country/USA,dcid:Count_Person_HispanicOrLatino_AsianAloneOrInCombinationWithOneOrMoreOtherRaces,dcs:dcAggregate/CensusPEPSurvey,2883
2011,country/USA,dcid:Count_Person_HispanicOrLatino_AsianAloneOrInCombinationWithOneOrMoreOtherRaces,dcs:dcAggregate/CensusPEPSurvey,2886
2012,country/USA,dcid:Count_Person_HispanicOrLatino_AsianAloneOrInCombinationWithOneOrMoreOtherRaces,dcs:dcAggregate/CensusPEPSurvey,2750
2013,country/USA,dcid:Count_Person_HispanicOrLatino_AsianAloneOrInCombinationWithOneOrMoreOtherRaces,dcs:dcAggregate/CensusPEPSurvey,2813
2014,country/USA,dcid:Count_Person_HispanicOrLatino_AsianAloneOrInCombinationWithOneOrMoreOtherRaces,dcs:dcAggregate/CensusPEPSurvey,2843
2015,country/USA,dcid:Count_Person_HispanicOrLatino_AsianAloneOrInCombinationWithOneOrMoreOtherRaces,dcs:dcAggregate/CensusPEPSurvey,3023
2016,country/USA,dcid:Count_Person_HispanicOrLatino_AsianAloneOrInCombinationWithOneOrMoreOtherRaces,dcs:dcAggregate/CensusPEPSurvey,3136
2017,country/USA,dcid:Count_Person_HispanicOrLatino_AsianAloneOrInCombinationWithOneOrMoreOtherRaces,dcs:dcAggregate/CensusPEPSurvey,3319
2018,country/USA,dcid:Count_Person_HispanicOrLatino_AsianAloneOrInCombinationWithOneOrMoreOtherRaces,dcs:dcAggregate/CensusPEPSurvey,3536
2019,country/USA,dcid:Count_Person_HispanicOrLatino_AsianAloneOrInCombinationWithOneOrMoreOtherRaces,dcs:dcAggregate/CensusPEPSurvey,3604
2020,country/USA,dcid:Count_Person_HispanicOrLatino_AsianAloneOrInCombinationWithOneOrMoreOtherRaces,dcs:dcAggregate/CensusPEPSurvey,3753
1981,country/USA,dcid:Count_Person_HispanicOrLatino_AsianOrPacificIslander,dcs:dcAggregate/CensusPEPSurvey,375
1982,country/USA,dcid:Count_Person_HispanicOrLatino_AsianOrPacificIslander,dcs:dcAggregate/CensusPEPSurvey,402
1983,country/USA,dcid:Count_Person_HispanicOrLatino_AsianOrPacificIslander,dcs:dcAggregate/CensusPEPSurvey,440
1984,country/USA,dcid:Count_Person_HispanicOrLatino_AsianOrPacificIslander,dcs:dcAggregate/CensusPEPSurvey,476
1985,country/USA,dcid:Count_Person_HispanicOrLatino_AsianOrPacificIslander,dcs:dcAggregate/CensusPEPSurvey,515
1986,country/USA,dcid:Count_Person_HispanicOrLatino_AsianOrPacificIslander,dcs:dcAggregate/CensusPEPSurvey,557
1987,country/USA,dcid:Count_Person_HispanicOrLatino_AsianOrPacificIslander,dcs:dcAggregate/CensusPEPSurvey,594
1988,country/USA,dcid:Count_Person_HispanicOrLatino_AsianOrPacificIslander,dcs:dcAggregate/CensusPEPSurvey,629
1989,country/USA,dcid:Count_Person_HispanicOrLatino_AsianOrPacificIslander,dcs:dcAggregate/CensusPEPSurvey,668
1990,country/USA,dcid:Count_Person_HispanicOrLatino_AsianOrPacificIslander,dcs:dcAggregate/CensusPEPSurvey,697
1991,country/USA,dcid:Count_Person_HispanicOrLatino_AsianOrPacificIslander,dcs:dcAggregate/CensusPEPSurvey,720
1992,country/USA,dcid:Count_Person_HispanicOrLatino_AsianOrPacificIslander,dcs:dcAggregate/CensusPEPSurvey,744
1993,country/USA,dcid:Count_Person_HispanicOrLatino_AsianOrPacificIslander,dcs:dcAggregate/CensusPEPSurvey,792
1994,country/USA,dcid:Count_Person_HispanicOrLatino_AsianOrPacificIslander,dcs:dcAggregate/CensusPEPSurvey,854
1995,country/USA,dcid:Count_Person_HispanicOrLatino_AsianOrPacificIslander,dcs:dcAggregate/CensusPEPSurvey,918
1996,country/USA,dcid:Count_Person_HispanicOrLatino_AsianOrPacificIslander,dcs:dcAggregate/CensusPEPSurvey,992
1997,country/USA,dcid:Count_Person_HispanicOrLatino_AsianOrPacificIslander,dcs:dcAggregate/CensusPEPSurvey,1078
1998,country/USA,dcid:Count_Person_HispanicOrLatino_AsianOrPacificIslander,dcs:dcAggregate/CensusPEPSurvey,1143
1999,country/USA,dcid:Count_Person_HispanicOrLatino_AsianOrPacificIslander,dcs:dcAggregate/CensusPEPSurvey,1189
1981,country/USA,dcid:Count_Person_HispanicOrLatino_BlackOrAfricanAmericanAlone,dcs:dcAggregate/CensusPEPSurvey,11017
1982,country/USA,dcid:Count_Person_HispanicOrLatino_BlackOrAfricanAmericanAlone,dcs:dcAggregate/CensusPEPSurvey,10166
1983,country/USA,dcid:Count_Person_HispanicOrLatino_BlackOrAfricanAmericanAlone,dcs:dcAggregate/CensusPEPSurvey,9327
1984,country/USA,dcid:Count_Person_HispanicOrLatino_BlackOrAfricanAmericanAlone,dcs:dcAggregate/CensusPEPSurvey,8507
1985,country/USA,dcid:Count_Person_HispanicOrLatino_BlackOrAfricanAmericanAlone,dcs:dcAggregate/CensusPEPSurvey,7673
1986,country/USA,dcid:Count_Person_HispanicOrLatino_BlackOrAfricanAmericanAlone,dcs:dcAggregate/CensusPEPSurvey,6849
1987,country/USA,dcid:Count_Person_HispanicOrLatino_BlackOrAfricanAmericanAlone,dcs:dcAggregate/CensusPEPSurvey,6002
1988,country/USA,dcid:Count_Person_HispanicOrLatino_BlackOrAfricanAmericanAlone,dcs:dcAggregate/CensusPEPSurvey,5130
1989,country/USA,dcid:Count_Person_HispanicOrLatino_BlackOrAfricanAmericanAlone,dcs:dcAggregate/CensusPEPSurvey,4231
1990,country/USA,dcid:Count_Person_HispanicOrLatino_BlackOrAfricanAmericanAlone,dcs:dcAggregate/CensusPEPSurvey,3583
1991,country/USA,dcid:Count_Person_HispanicOrLatino_BlackOrAfricanAmericanAlone,dcs:dcAggregate/CensusPEPSurvey,3510
1992,country/USA,dcid:Count_Person_HispanicOrLatino_BlackOrAfricanAmericanAlone,dcs:dcAggregate/CensusPEPSurvey,3541
1993,country/USA,dcid:Count_Person_HispanicOrLatino_BlackOrAfricanAmericanAlone,dcs:dcAggregate/CensusPEPSurvey,3627
1994,country/USA,dcid:Count_Person_HispanicOrLatino_BlackOrAfricanAmericanAlone,dcs:dcAggregate/CensusPEPSurvey,3741
1995,country/USA,dcid:Count_Person_HispanicOrLatino_BlackOrAfricanAmericanAlone,dcs:dcAggregate/CensusPEPSurvey,3852
1996,country/USA,dcid:Count_Person_HispanicOrLatino_BlackOrAfricanAmericanAlone,dcs:dcAggregate/CensusPEPSurvey,3988
1997,country/USA,dcid:Count_Person_HispanicOrLatino_BlackOrAfricanAmericanAlone,dcs:dcAggregate/CensusPEPSurvey,4205
1998,country/USA,dcid:Count_Person_HispanicOrLatino_BlackOrAfricanAmericanAlone,dcs:dcAggregate/CensusPEPSurvey,4388
1999,country/USA,dcid:Count_Person_HispanicOrLatino_BlackOrAfricanAmericanAlone,dcs:dcAggregate/CensusPEPSurvey,4575
2000,country/USA,dcid:Count_Person_HispanicOrLatino_BlackOrAfricanAmericanAlone,dcs:dcAggregate/CensusPEPSurvey,7345
2001,country/USA,dcid:Count_Person_HispanicOrLatino_BlackOrAfricanAmericanAlone,dcs:dcAggregate/CensusPEPSurvey,7654
2002,country/USA,dcid:Count_Person_HispanicOrLatino_BlackOrAfricanAmericanAlone,dcs:dcAggregate/CensusPEPSurvey,8018
2003,country/USA,dcid:Count_Person_HispanicOrLatino_BlackOrAfricanAmericanAlone,dcs:dcAggregate/CensusPEPSurvey,8408
2004,country/USA,dcid:Count_Person_HispanicOrLatino_BlackOrAfricanAmericanAlone,dcs:dcAggregate/CensusPEPSurvey,8838
2005,country/USA,dcid:Count_Person_HispanicOrLatino_BlackOrAfricanAmericanAlone,dcs:dcAggregate/CensusPEPSurvey,9458
2006,country/USA,dcid:Count_Person_HispanicOrLatino_BlackOrAfricanAmericanAlone,dcs:dcAggregate/CensusPEPSurvey,10131
2007,country/USA,dcid:Count_Person_HispanicOrLatino_BlackOrAfricanAmericanAlone,dcs:dcAggregate/CensusPEPSurvey,10695
2008,country/USA,dcid:Count_Person_HispanicOrLatino_BlackOrAfricanAmericanAlone,dcs:dcAggregate/CensusPEPSurvey,11521
2009,country/USA,dcid:Count_Person_HispanicOrLatino_BlackOrAfricanAmericanAlone,dcs:dcAggregate/CensusPEPSurvey,12291
2010,country/USA,dcid:Count_Person_HispanicOrLatino_BlackOrAfricanAmericanAlone,dcs:dcAggregate/CensusPEPSurvey,12944
2011,country/USA,dcid:Count_Person_HispanicOrLatino_BlackOrAfricanAmericanAlone,dcs:dcAggregate/CensusPEPSurvey,13125
2012,country/USA,dcid:Count_Person_HispanicOrLatino_BlackOrAfricanAmericanAlone,dcs:dcAggregate/CensusPEPSurvey,13532
2013,country/USA,dcid:Count_Person_HispanicOrLatino_BlackOrAfricanAmericanAlone,dcs:dcAggregate/CensusPEPSurvey,13839
2014,country/USA,dcid:Count_Person_HispanicOrLatino_BlackOrAfricanAmericanAlone,dcs:dcAggregate/CensusPEPSurvey,14067
2015,country/USA,dcid:Count_Person_HispanicOrLatino_BlackOrAfricanAmericanAlone,dcs:dcAggregate/CensusPEPSurvey,14476
2016,country/USA,dcid:Count_Person_HispanicOrLatino_BlackOrAfricanAmericanAlone,dcs:dcAggregate/CensusPEPSurvey,14733
2017,country/USA,dcid:Count_Person_HispanicOrLatino_BlackOrAfricanAmericanAlone,dcs:dcAggregate/CensusPEPSurvey,14974
2018,country/USA,dcid:Count_Person_HispanicOrLatino_BlackOrAfricanAmericanAlone,dcs:dcAggregate/CensusPEPSurvey,15248
2019,country/USA,dcid:Count_Person_HispanicOrLatino_BlackOrAfricanAmericanAlone,dcs:dcAggregate/CensusPEPSurvey,15518
2020,country/USA,dcid:Count_Person_HispanicOrLatino_BlackOrAfricanAmericanAlone,dcs:dcAggregate/CensusPEPSurvey,15997
2010,country/USA,dcid:Count_Person_HispanicOrLatino_BlackOrAfricanAmericanAloneOrInCombinationWithOneOrMoreOtherRaces,dcs:dcAggregate/CensusPEPSurvey,15786
2011,country/USA,dcid:Count_Person_HispanicOrLatino_BlackOrAfricanAmericanAloneOrInCombinationWithOneOrMoreOtherRaces,dcs:dcAggregate/CensusPEPSurvey,16031
2012,country/USA,dcid:Count_Person_HispanicOrLatino_BlackOrAfricanAmericanAloneOrInCombinationWithOneOrMoreOtherRaces,dcs:dcAggregate/CensusPEPSurvey,16498
2013,country/USA,dcid:Count_Person_HispanicOrLatino_BlackOrAfricanAmericanAloneOrInCombinationWithOneOrMoreOtherRaces,dcs:dcAggregate/CensusPEPSurvey,16947
2014,country/USA,dcid:Count_Person_HispanicOrLatino_BlackOrAfricanAmericanAloneOrInCombinationWithOneOrMoreOtherRaces,dcs:dcAggregate/CensusPEPSurvey,17196
2015,country/USA,dcid:Count_Person_HispanicOrLatino_BlackOrAfricanAmericanAloneOrInCombinationWithOneOrMoreOtherRaces,dcs:dcAggregate/CensusPEPSurvey,17692
2016,country/USA,dcid:Count_Person_HispanicOrLatino_BlackOrAfricanAmericanAloneOrInCombinationWithOneOrMoreOtherRaces,dcs:dcAggregate/CensusPEPSurvey,18124
2017,country/USA,dcid:Count_Person_HispanicOrLatino_BlackOrAfricanAmericanAloneOrInCombinationWithOneOrMoreOtherRaces,dcs:dcAggregate/CensusPEPSurvey,18504
2018,country/USA,dcid:Count_Person_HispanicOrLatino_BlackOrAfricanAmericanAloneOrInCombinationWithOneOrMoreOtherRaces,dcs:dcAggregate/CensusPEPSurvey,18969
2019,country/USA,dcid:Count_Person_HispanicOrLatino_BlackOrAfricanAmericanAloneOrInCombinationWithOneOrMoreOtherRaces,dcs:dcAggregate/CensusPEPSurvey,19386
2020,country/USA,dcid:Count_Person_HispanicOrLatino_BlackOrAfricanAmericanAloneOrInCombinationWithOneOrMoreOtherRaces,dcs:dcAggregate/CensusPEPSurvey,20052
2010,country/USA,dcid:Count_Person_HispanicOrLatino_NativeHawaiianAndOtherPacificIslanderAloneOrInCombinationWithOneOrMoreOtherRaces,dcs:dcAggregate/CensusPEPSurvey,3818
2011,country/USA,dcid:Count_Person_HispanicOrLatino_NativeHawaiianAndOtherPacificIslanderAloneOrInCombinationWithOneOrMoreOtherRaces,dcs:dcAggregate/CensusPEPSurvey,3654
2012,country/USA,dcid:Count_Person_HispanicOrLatino_NativeHawaiianAndOtherPacificIslanderAloneOrInCombinationWithOneOrMoreOtherRaces,dcs:dcAggregate/CensusPEPSurvey,3504
2013,country/USA,dcid:Count_Person_HispanicOrLatino_NativeHawaiianAndOtherPacificIslanderAloneOrInCombinationWithOneOrMoreOtherRaces,dcs:dcAggregate/CensusPEPSurvey,3388
2014,country/USA,dcid:Count_Person_HispanicOrLatino_NativeHawaiianAndOtherPacificIslanderAloneOrInCombinationWithOneOrMoreOtherRaces,dcs:dcAggregate/CensusPEPSurvey,3359
2015,country/USA,dcid:Count_Person_HispanicOrLatino_NativeHawaiianAndOtherPacificIslanderAloneOrInCombinationWithOneOrMoreOtherRaces,dcs:dcAggregate/CensusPEPSurvey,3335
