ObservationAbout,Year,Depth,Reserve Type,Reserves in Billion Tonne
UTTAR PRADESH,2020,0-300,INDICATED,0.18
UTTAR PRADESH,2016,0-300,INDICATED,0.18
UTTAR PRADESH,2015,0-300,INDICATED,0.18
UTTAR PRADESH,2018,0-300,INDICATED,0.18
UTTAR PRADESH,2013,0-300,INDICATED,0.18
UTTAR PRADESH,2021,0-300,INDICATED,0.18
UTTAR PRADESH,2019,0-300,INDICATED,0.18
MAHARASHTRA,2017,600-1200,INFERRED,0.18
UTTAR PRADESH,2022,0-300,INDICATED,0.18
MAHARASHTRA,2018,600-1200,INFERRED,0.18
MAHARASHTRA,2010,300-600,PROVED,0.18
UTTAR PRADESH,2012,0-300,INDICATED,0.18
UTTAR PRADESH,2014,0-300,INDICATED,0.18
UTTAR PRADESH,2017,0-300,INDICATED,0.18
MAHARASHTRA,2011,300-600,PROVED,0.19
ASSAM,2016,300-600,PROVED,0.19
ASSAM,2012,300-600,PROVED,0.19
ASSAM,2017,300-600,PROVED,0.19
ASSAM,2021,300-600,PROVED,0.19
ASSAM,2015,300-600,PROVED,0.19
BIHAR,2018,0-300,INDICATED,0.19
ASSAM,2011,300-600,PROVED,0.19
ASSAM,2018,300-600,PROVED,0.19
ASSAM,2020,300-600,PROVED,0.19
ASSAM,2022,300-600,PROVED,0.19
ASSAM,2014,300-600,PROVED,0.19
ASSAM,2013,300-600,PROVED,0.19
ASSAM,2019,300-600,PROVED,0.19
UTTAR PRADESH,2010,0-300,INDICATED,0.2
MAHARASHTRA,2013,300-600,PROVED,0.2
UTTAR PRADESH,2011,0-300,INDICATED,0.2
MADHYA PRADESH,2020,600-1200,INFERRED,0.2
MAHARASHTRA,2012,300-600,PROVED,0.2
MAHARASHTRA,2014,300-600,PROVED,0.2
ASSAM,2010,0-300,PROVED,0.21
ASSAM,2009,0-300,PROVED,0.21
TELANGANA,2020,0-300,INFERRED,0.22
ODISHA,2019,600-1200,PROVED,0.23
ODISHA,2018,600-1200,PROVED,0.23
ODISHA,2017,600-1200,PROVED,0.23
ODISHA,2016,600-1200,PROVED,0.23
MADHYA PRADESH,2022,600-1200,INFERRED,0.24
ODISHA,2021,600-1200,PROVED,0.24
ODISHA,2022,600-1200,PROVED,0.24
ODISHA,2020,600-1200,PROVED,0.24
MADHYA PRADESH,2021,600-1200,INFERRED,0.24
MADHYA PRADESH,2015,600-1200,INDICATED,0.25
MADHYA PRADESH,2012,600-1200,INDICATED,0.25
MADHYA PRADESH,2013,600-1200,INDICATED,0.25
MADHYA PRADESH,2014,600-1200,INDICATED,0.25
MADHYA PRADESH,2011,600-1200,INDICATED,0.25
CHHATTISGARH,2011,300-600,PROVED,0.26
TELANGANA,2020,600-1200,PROVED,0.26
CHHATTISGARH,2010,300-600,PROVED,0.26
MADHYA PRADESH,2016,600-1200,INDICATED,0.26
TELANGANA,2019,600-1200,PROVED,0.26
BIHAR,2018,300-600,INFERRED,0.26
ANDHRA PRADESH,2022,600-1200,INFERRED,0.27
ANDHRA PRADESH,2021,600-1200,INFERRED,0.27
ASSAM,2012,0-300,PROVED,0.28
ANDHRA PRADESH,2020,600-1200,INFERRED,0.28
ANDHRA PRADESH,2016,600-1200,INFERRED,0.28
ASSAM,2011,0-300,PROVED,0.28
ASSAM,2013,0-300,PROVED,0.28
ASSAM,2015,0-300,PROVED,0.28
ASSAM,2022,0-300,PROVED,0.28
ASSAM,2014,0-300,PROVED,0.28
ASSAM,2016,0-300,PROVED,0.28
ANDHRA PRADESH,2017,600-1200,INFERRED,0.28
ASSAM,2017,0-300,PROVED,0.28
ASSAM,2018,0-300,PROVED,0.28
ANDHRA PRADESH,2019,600-1200,INFERRED,0.28
ANDHRA PRADESH,2015,600-1200,INFERRED,0.28
ASSAM,2021,0-300,PROVED,0.28
ASSAM,2019,0-300,PROVED,0.28
WEST BENGAL,2006,0-300,INFERRED,0.28
ASSAM,2020,0-300,PROVED,0.28
ANDHRA PRADESH,2018,600-1200,INFERRED,0.28
MADHYA PRADESH,2017,600-1200,INDICATED,0.29
MADHYA PRADESH,2018,600-1200,INDICATED,0.29
MEGHALAYA,2006,0-300,INFERRED,0.3
UTTAR PRADESH,2009,0-300,INDICATED,0.3
MEGHALAYA,2007,0-300,INFERRED,0.3
UTTAR PRADESH,2008,0-300,INDICATED,0.3
UTTAR PRADESH,2006,0-300,INDICATED,0.3
MEGHALAYA,2008,0-300,INFERRED,0.3
UTTAR PRADESH,2007,0-300,INDICATED,0.3
BIHAR,2020,0-300,PROVED,0.31
TELANGANA,2022,600-1200,PROVED,0.31
NAGALAND,2016,0-300,INFERRED,0.31
BIHAR,2019,0-300,PROVED,0.31
BIHAR,2022,0-300,PROVED,0.31
NAGALAND,2010,0-300,INFERRED,0.31
NAGALAND,2014,0-300,INFERRED,0.31
NAGALAND,2012,0-300,INFERRED,0.31
NAGALAND,2011,0-300,INFERRED,0.31
BIHAR,2021,0-300,PROVED,0.31
NAGALAND,2013,0-300,INFERRED,0.31
NAGALAND,2015,0-300,INFERRED,0.31
TELANGANA,2021,600-1200,PROVED,0.31
WEST BENGAL,2007,0-300,INFERRED,0.32
WEST BENGAL,2010,0-300,INFERRED,0.32
WEST BENGAL,2011,0-300,INFERRED,0.32
WEST BENGAL,2008,0-300,INFERRED,0.32
MAHARASHTRA,2015,300-600,PROVED,0.32
WEST BENGAL,2009,0-300,INFERRED,0.32
WEST BENGAL,2018,0-300,INFERRED,0.33
WEST BENGAL,2020,0-300,INFERRED,0.33
WEST BENGAL,2021,0-300,INFERRED,0.33
WEST BENGAL,2022,0-300,INFERRED,0.33
WEST BENGAL,2019,0-300,INFERRED,0.33
MAHARASHTRA,2011,0-300,INFERRED,0.36
MAHARASHTRA,2010,0-300,INFERRED,0.37
TELANGANA,2021,0-300,INFERRED,0.37
MADHYA PRADESH,2019,600-1200,INDICATED,0.37
TELANGANA,2022,0-300,INFERRED,0.37
MADHYA PRADESH,2020,600-1200,INDICATED,0.37
ANDHRA PRADESH,2021,0-300,INDICATED,0.38
ANDHRA PRADESH,2022,0-300,INDICATED,0.38
WEST BENGAL,2012,0-300,INFERRED,0.38
MAHARASHTRA,2008,0-300,INFERRED,0.4
NAGALAND,2017,0-300,INFERRED,0.4
MAHARASHTRA,2007,0-300,INFERRED,0.4
TELANGANA,2017,300-600,INFERRED,0.4
WEST BENGAL,2013,0-300,INFERRED,0.4
WEST BENGAL,2015,0-300,INFERRED,0.4
MAHARASHTRA,2006,0-300,INFERRED,0.4
WEST BENGAL,2014,0-300,INFERRED,0.4
NAGALAND,2018,0-300,INFERRED,0.4
MAHARASHTRA,2009,0-300,INFERRED,0.4
WEST BENGAL,2016,0-300,INFERRED,0.4
MAHARASHTRA,2016,300-600,PROVED,0.41
MADHYA PRADESH,2021,600-1200,INDICATED,0.41
MADHYA PRADESH,2022,600-1200,INDICATED,0.41
MADHYA PRADESH,2006,300-600,PROVED,0.42
MAHARASHTRA,2017,0-300,INFERRED,0.42
NAGALAND,2021,0-300,INFERRED,0.42
NAGALAND,2019,0-300,INFERRED,0.42
TELANGANA,2018,300-600,INFERRED,0.42
NAGALAND,2020,0-300,INFERRED,0.42
NAGALAND,2022,0-300,INFERRED,0.42
ANDHRA PRADESH,2019,0-300,INDICATED,0.42
MAHARASHTRA,2018,0-300,INFERRED,0.42
ANDHRA PRADESH,2020,0-300,INDICATED,0.42
MAHARASHTRA,2012,0-300,INFERRED,0.43
MAHARASHTRA,2016,0-300,INFERRED,0.43
MAHARASHTRA,2013,0-300,INFERRED,0.43
MAHARASHTRA,2015,0-300,INFERRED,0.43
MAHARASHTRA,2014,0-300,INFERRED,0.43
JHARKHAND,2016,0-600,INDICATED,0.45
JHARKHAND,2017,0-600,INDICATED,0.45
JHARKHAND,2020,0-600,INDICATED,0.45
WEST BENGAL,2017,0-300,INFERRED,0.45
JHARKHAND,2021,0-600,INDICATED,0.45
JHARKHAND,2013,0-600,INDICATED,0.45
JHARKHAND,2018,0-600,INDICATED,0.45
JHARKHAND,2019,0-600,INDICATED,0.45
JHARKHAND,2022,0-600,INDICATED,0.45
TELANGANA,2019,300-600,INFERRED,0.45
JHARKHAND,2014,0-600,INDICATED,0.45
JHARKHAND,2015,0-600,INDICATED,0.45
MADHYA PRADESH,2009,300-600,PROVED,0.46
MADHYA PRADESH,2007,300-600,PROVED,0.46
ANDHRA PRADESH,2022,300-600,INDICATED,0.46
ODISHA,2006,600-1200,INFERRED,0.46
ANDHRA PRADESH,2021,300-600,INDICATED,0.46
MADHYA PRADESH,2008,300-600,PROVED,0.46
