"Table with row headers in columns A, C, and D and column headers in row 6.",,,,,,,,,,,,,,,,,,,,,
"Estimates of the Population of States by Age, Sex, and Race:  1970-1979",,,,,,,,,,,,,,,,,,,,,
"Source:  1970-1979 Population Estimates by Age, Sex, and Race, PE-19",,,,,,,,,,,,,,,,,,,,,
"Internet Release Date:  November 5, 2004",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Year of Estimate,FIPS State Code,State Name,Race/Sex Indicator,Under 5 years,5 to 9 years,10 to 14 years,15 to 19 years,20 to 24 years,25 to 29 years,30 to 34 years,35 to 39 years,40 to 44 years,45 to 49 years,50 to 54 years,55 to 59 years,60 to 64 years,65 to 69 years,70 to 74 years,75 to 79 years,80 to 84 years,85 years and over
1970,24,Maryland,Other races female,"1,428","1,274","1,097",897,"1,166","1,487","1,410","1,281",948,631,400,248,227,141,105,78,49,35
1970,25,Massachusetts,White male,"226,540","262,942","273,308","247,195","210,674","176,656","139,638","139,168","154,897","159,240","151,361","132,930","111,596","85,744","66,284","46,424","26,290","14,470"
1970,25,Massachusetts,White female,"216,697","251,742","260,720","251,180","238,023","180,685","144,064","144,081","163,544","173,214","167,550","152,426","137,469","118,326","104,473","78,442","49,755","32,968"
1970,25,Massachusetts,Black male,"10,778","11,446","10,149","8,419","7,484","6,390","5,077","4,571","4,230","3,965","3,298","2,278","1,667","1,358","1,073",695,422,261
1970,25,Massachusetts,Black female,"10,813","11,511","10,342","8,974","9,179","7,845","6,191","5,371","5,055","4,560","3,643","2,869","2,286","1,906","1,487","1,008",633,486
1970,25,Massachusetts,Other races male,"1,519","1,384","1,231","1,289","1,685","1,472","1,358","1,101",832,774,557,442,406,343,306,202,182,110
1970,25,Massachusetts,Other races female,"1,580","1,369","1,280","1,259","1,743","1,555","1,295","1,127",942,673,517,435,412,353,342,250,156,117
1970,26,Michigan,White male,"351,638","411,114","436,959","385,919","291,814","261,799","215,004","204,003","230,123","230,289","209,208","182,542","147,989","111,912","81,991","58,059","31,639","16,315"
1970,26,Michigan,White female,"336,345","392,328","419,062","383,756","328,583","264,751","219,695","212,013","236,026","242,455","222,618","191,319","159,499","128,223","105,557","79,964","49,157","31,016"
1970,26,Michigan,Black male,"55,879","57,227","60,692","51,903","39,623","31,978","24,364","24,453","27,242","26,887","22,879","19,184","14,568","11,298","7,295","3,859","1,868","1,062"
1970,26,Michigan,Black female,"55,516","57,099","60,168","53,965","46,896","35,332","29,386","29,196","30,568","28,402","24,085","19,493","15,537","12,270","8,255","4,840","2,685","1,843"
1970,26,Michigan,Other races male,"2,358","2,148","2,025","1,847","1,793","1,899","1,678","1,200","1,069",979,705,616,545,483,325,222,127,80
1970,26,Michigan,Other races female,"2,349","2,200","1,992","1,893","2,206","2,234","1,691","1,473","1,295",991,728,571,470,354,326,247,126,118
1970,27,Minnesota,White male,"165,062","200,563","208,135","183,594","132,795","122,494","101,518","93,915","99,059","99,308","93,818","85,460","73,820","59,175","48,480","35,936","20,656","11,623"
1970,27,Minnesota,White female,"157,655","191,162","199,638","185,704","156,975","124,016","102,164","95,003","100,306","101,099","98,461","90,224","80,765","70,072","61,076","47,095","30,392","20,256"
1970,27,Minnesota,Black male,"2,243","2,181","2,111","1,906","1,611","1,345","1,134",953,930,876,662,567,440,329,267,159,104,76
1970,27,Minnesota,Black female,"2,131","2,243","1,980","1,792","1,666","1,292","1,022",928,869,828,626,555,441,394,289,196,111,87
1970,27,Minnesota,Other races male,"2,163","2,292","2,030","1,609","1,312","1,267","1,062",791,722,590,479,435,373,263,185,132,104,98
1970,27,Minnesota,Other races female,"2,201","2,262","2,007","1,673","1,702","1,449","1,121",915,680,630,497,417,317,276,195,155,100,59
1970,28,Mississippi,White male,"57,991","66,019","70,731","68,328","60,149","45,720","40,580","37,910","40,166","38,917","36,241","34,239","30,961","23,285","16,396","10,715","6,058","3,495"
1970,28,Mississippi,White female,"54,651","63,281","66,805","65,046","58,724","46,398","41,353","39,738","42,062","41,344","39,042","37,553","34,880","28,789","21,923","15,913","9,727","6,465"
1970,28,Mississippi,Black male,"48,167","53,957","58,099","50,168","25,748","16,462","14,091","12,981","13,562","13,558","14,667","15,232","14,966","13,961","9,335","6,334","3,467","2,538"
1970,28,Mississippi,Black female,"48,644","53,798","56,724","50,485","30,566","20,261","18,487","17,506","18,852","18,123","18,103","17,825","17,404","17,042","11,061","7,224","4,372","3,518"
1970,28,Mississippi,Other races male,378,408,419,443,407,246,259,174,167,127,97,96,99,75,50,30,31,55
1970,28,Mississippi,Other races female,391,421,401,394,361,309,284,239,222,136,107,112,88,85,62,26,33,23
1970,29,Missouri,White male,"163,708","198,115","209,229","193,679","153,431","132,439","111,293","107,753","115,594","118,578","109,244","104,440","95,203","76,733","58,676","40,787","24,031","13,932"
1970,29,Missouri,White female,"156,338","189,480","199,738","187,710","166,546","136,813","114,841","112,345","121,110","126,173","120,023","116,068","110,874","96,212","79,964","62,041","40,094","26,604"
1970,29,Missouri,Black male,"24,942","29,177","30,627","24,971","16,666","13,229","11,303","10,686","11,087","10,661","9,295","8,844","7,724","6,708","4,876","2,965","1,723","1,121"
1970,29,Missouri,Black female,"25,070","28,702","30,912","25,652","20,188","15,872","14,092","13,922","13,834","12,993","11,326","10,506","9,336","8,485","5,827","3,783","2,209","1,523"
1970,29,Missouri,Other races male,709,725,601,644,932,866,746,484,366,338,243,197,211,175,125,87,189,119
1970,29,Missouri,Other races female,762,726,659,606,906,910,780,665,515,364,263,197,199,163,153,122,104,61
1970,30,Montana,White male,"27,242","34,493","37,596","33,881","24,699","20,582","17,974","17,282","18,740","18,997","19,150","17,072","14,322","10,590","7,569","6,067","4,317","2,501"
1970,30,Montana,White female,"26,095","32,890","36,728","33,321","25,187","20,369","18,295","17,470","18,642","18,628","19,049","16,958","13,697","11,015","8,926","7,637","5,383","3,323"
1970,30,Montana,Black male,114,103,79,238,279,99,80,75,40,34,20,15,21,14,17,8,4,7
1970,30,Montana,Black female,112,89,85,79,76,68,54,43,19,20,21,17,17,17,12,8,1,3
1970,30,Montana,Other races male,"1,938","2,250","2,125","1,663","1,031",849,778,609,626,532,487,421,321,274,169,117,72,59
1970,30,Montana,Other races female,"1,898","2,202","2,144","1,719","1,183",910,836,777,666,533,485,390,279,233,172,104,69,69
1970,31,Nebraska,White male,"58,706","71,342","75,390","69,102","53,958","43,485","37,469","36,893","39,213","39,498","36,359","33,940","31,152","25,064","20,917","15,615","9,444","5,530"
1970,31,Nebraska,White female,"56,382","68,928","71,672","69,629","58,124","43,569","38,001","37,898","39,437","39,592","38,216","36,473","34,552","30,325","27,178","21,959","14,190","9,792"
1970,31,Nebraska,Black male,"2,202","2,730","2,652","2,325","1,732","1,146","1,090","1,051",948,814,624,566,506,413,291,182,117,66
1970,31,Nebraska,Black female,"2,350","2,725","2,669","2,185","1,814","1,392","1,264","1,179","1,089",875,717,638,549,481,378,212,129,124
1970,31,Nebraska,Other races male,595,606,579,484,525,320,327,230,236,193,175,141,108,97,66,72,45,45
1970,31,Nebraska,Other races female,601,610,537,494,450,377,356,346,291,218,164,139,97,109,92,60,32,28
1970,32,Nevada,White male,"19,857","23,171","23,050","18,783","17,961","17,360","16,217","15,059","15,028","14,972","13,865","11,892","9,085","6,322","4,025","2,405","1,199",651
1970,32,Nevada,White female,"19,193","22,215","22,273","18,538","18,415","17,510","15,486","14,123","14,180","14,497","13,018","10,966","8,318","5,927","4,000","2,610","1,547",963
1970,32,Nevada,Black male,"1,957","1,949","1,704","1,339","1,294","1,206",968,793,727,562,549,390,343,206,120,57,15,18
1970,32,Nevada,Black female,"1,858","2,014","1,782","1,270","1,292","1,169",966,857,709,571,488,408,257,239,99,57,33,16
1970,32,Nevada,Other races male,616,743,660,546,505,433,455,358,324,266,240,221,178,166,95,55,22,28
1970,32,Nevada,Other races female,678,715,690,562,532,498,501,462,401,276,230,192,111,113,49,50,35,27
1970,33,New Hampshire,White male,"33,358","38,083","38,104","34,276","28,587","24,228","20,509","19,523","20,494","20,560","19,342","16,871","14,848","11,702","9,119","5,987","3,286","1,924"
1970,33,New Hampshire,White female,"31,646","36,377","36,111","33,329","30,158","24,525","20,575","19,931","21,046","21,495","20,129","18,621","17,133","14,473","12,521","9,378","5,869","4,166"
1970,33,New Hampshire,Black male,149,160,115,215,254,126,103,97,57,52,34,25,14,13,12,6,3,2
1970,33,New Hampshire,Black female,162,144,131,103,127,91,71,82,57,30,26,22,18,17,6,6,5,1
