VariableName,VariableCode,Type_Of_Variable,Unit_Of_Measure,Scaling_Factor,Aggregation_Type,Weighing_Varible_ID,Weighing_Variable_Name,Long_Description
Women in the age group of 20 to 24 years married before age 18 years (%),I7034_12,Numeric Variable,Percentage,1,weighted avg,WeighingRatio_Percentage_TotalPopulationFemale,Total Population Female from Census,Women in the age group of 20 to 24 years married before age 18 years (%)
Men in the age group of  25 to 29 years married before age 21 years (%),I7034_13,Numeric Variable,Percentage,1,weighted avg,WeighingRatio_Percentage_TotalPopulationMale,Total Population Male from Census,Men in the age group of  25 to 29 years married before age 21 years (%)
Women age group 15 to 19 years who were already mothers or pregnant at the time of the survey (%),I7034_14,Numeric Variable,Percentage,1,weighted avg,WeighingRatio_Percentage_TotalPopulationFemale,Total Population Female from Census,Marriage and fertility-women age 15 to 19 years who were already mothers or pregnant at the time of the survey (%)
Married women age group 15 to 49 years use any family planning methods (%),I7034_15,Numeric Variable,Percentage,1,weighted avg,WeighingRatio_Percentage_TotalPopulationFemale,Total Population Female from Census,Currently married women (age 15 to 49 years) using any family planning methods. (any method includes other methods that are not shown separately; any modern method includes other modern methods that are not shown separately) (%)
Married women age group 15 to 49 years any modern family planning method (%),I7034_16,Numeric Variable,Percentage,1,weighted avg,WeighingRatio_Percentage_TotalPopulationFemale,Total Population Female from Census,Currently married women age 15 to 49 years using any modern family planning method (any method includes other methods that are not shown separately; any modern method includes other modern methods that are not shown separately) (%)
Population below age 15 years (%),I7034_17,Numeric Variable,Percentage,1,weighted avg,WeighingRatio_Percentage_TotalPopulation,Total Population from Census,Population and household profile-population below age 15 years (%)
Female sterilization married women-15 to 49 years (%),I7034_18,Numeric Variable,Percentage,1,weighted avg,WeighingRatio_Percentage_TotalPopulationFemale,Total Population Female from Census,Current use of family planning methods (currently married women age 15 to 49 years)-female sterilization (%)
Married women of age 15 to 49 years using male sterlization as one of the family planning methods (%),I7034_19,Numeric Variable,Percentage,1,weighted avg,WeighingRatio_Percentage_TotalPopulationMale,Total Population Male from Census,Current use of family planning methods (currently married women age 15 to 49 years) male sterilization (%)
Married women age group 15 to 49 years using intrauterine device ( iud ) or postpartum intrauterine contraceptive device ( ppiud ) as family planning methods (%),I7034_20,Numeric Variable,Percentage,1,weighted avg,WeighingRatio_Percentage_TotalPopulationFemale,Total Population Female from Census,Intrauterine Device (IUD) or Postpartum Intrauterine Contraceptive Device (PPIUD) - current use of family planning methods (currently married women age 15 to 49 years) (%)
Currently married women age group 15 to 49 years consuming pill (%),I7034_21,Numeric Variable,Percentage,1,weighted avg,WeighingRatio_Percentage_TotalPopulationFemale,Total Population Female from Census,Current use of family planning methods (currently married women age 15 to 49 years) pill (%)
Married women using condom in the age group of 15 to 49 years (%),I7034_22,Numeric Variable,Percentage,1,weighted avg,WeighingRatio_Percentage_TotalPopulationFemale,Total Population Female from Census,Current use of family planning methods (currently married women age 15 to 49 years)-percentage of women using condom (%)
Married women age group 15 to 49 years unmet need for family planning (%),I7034_23,Numeric Variable,Percentage,1,weighted avg,WeighingRatio_Percentage_TotalPopulationFemale,Total Population Female from Census,"Unmet need for family planning (currently married women age 15 to 49 years)-total unmet need (unmet need for family planning refers to fecund women who are not using contraception but who wish to postpone the next birth (spacing) or stop childbearing altogether (limiting). specifically, women are considered to have unmet need for spacing if they are:   · at risk of becoming pregnant, not using contraception, and either do not want to become pregnant within the next two years, or are unsure if or when they want to become pregnant.  pregnant with a mistimed pregnancy. postpartum amenorrhoeic for up to two years following a mistimed birth and not using contraception.  women are considered to have unmet need for limiting if they are:  · at risk of becoming pregnant, not using contraception, and want no (more) children. pregnant with an unwanted pregnancy. postpartum amenorrhoeic for up to two years following an unwanted birth and not using contraception.  women who are classified as infecund have no unmet need because they are not at risk of becoming pregnant. unmet need for family planning is the sum of unmet need for spacing plus unmet need for limiting) (%)"
Women unmet need for family planning (%),I7034_24,Numeric Variable,Percentage,1,weighted avg,WeighingRatio_Percentage_TotalPopulationFemale,Total Population Female from Census,"Unmet need for spacing (unmet need for family planning refers to fecund women who are not using contraception but who wish to postpone the next birth (spacing) or stop childbearing altogether (limiting). specifically, women are considered to have unmet need for spacing if they are at risk of becoming pregnant, not using contraception, and either do not want to become pregnant within the next two years, or are unsure if or when they want to become pregnant. pregnant with a mistimed pregnancy. postpartum amenorrhoeic for up to two years following a mistimed birth and not using contraception. women are considered to have unmet need for limiting if they are:  · at risk of becoming pregnant, not using contraception, and want no (more) children. pregnant with an unwanted pregnancy. postpartum amenorrhoeic for up to two years following an unwanted birth and not using contraception. women who are classified as infecund have no unmet need because they are not at risk of becoming pregnant. unmet need for family planning is the sum of unmet need for spacing plus unmet need for limiting) (%)"
Health worker ever talked to female non-users about family planning (%),I7034_25,Numeric Variable,Percentage,1,weighted avg,WeighingRatio_Percentage_TotalPopulation,Total Population from Census,Quality of family planning services-health worker ever talked to female non-users about family planning (%)
Current users ever told about side effects of current method (%),I7034_26,Numeric Variable,Percentage,1,weighted avg,WeighingRatio_Percentage_TotalPopulationFemale,Total Population Female from Census,Quality of family planning services of users ever told about side effects of current method (%)
Mothers who had an antenatal check-up in the first trimester (%),I7034_27,Numeric Variable,Percentage,1,weighted avg,WeighingRatio_Percentage_TotalPopulationFemale,Total Population Female from Census,Maternal and child health-maternity care (for last birth in the 5 years before the survey) mothers who had an antenatal check-up in the first trimester (%)
Sex ratio of the total population (%),I7034_28,Numeric Variable,Ratio,1,weighted avg,WeighingRatio_Percentage_TotalPopulation,Total Population from Census,"Population and household profile-sex ratio of the total population (females per 1,000 males) (%)"
Mothers who had at least 4 antenatal care visits (%),I7034_29,Numeric Variable,Percentage,1,weighted avg,WeighingRatio_Percentage_TotalPopulationFemale,Total Population Female from Census,Maternal and child health-maternity care (for last birth in the 5 years before the survey)-mothers who had at least 4 antenatal care visits (%)
Mothers whose last birth was protected against neonatal tetanus (%),I7034_30,Numeric Variable,Percentage,1,weighted avg,WeighingRatio_Percentage_TotalPopulationFemale,Total Population Female from Census,"Maternal and child health-maternity care (for last birth in the 5 years before the survey)-mothers whose last birth was protected against neonatal tetanus (includes mothers with two injections during the pregnancy for their last birth, or two or more injections (the last within 3 years of the last live birth), or three or more  injections (the last within 5 years of the last birth), or four or more injections (the last within 10 years of the last live birth), or five or more injections at any time prior to the  last birth) (%)"
Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),I7034_31,Numeric Variable,Percentage,1,weighted avg,WeighingRatio_Percentage_TotalPopulationFemale,Total Population Female from Census,Maternal and child health-maternity care (for last birth in the 5 years before the survey)-mothers who consumed iron folic acid for 100 days or more when they were pregnant (%)
Mothers who had full antenatal care visits (%),I7034_32,Numeric Variable,Percentage,1,weighted avg,WeighingRatio_Percentage_TotalPopulationFemale,Total Population Female from Census,Maternal and child health-maternity care (for last birth in the 5 years before the survey)-mothers who had full antenatal care visits (%)
Registered pregnancies for which the mother received a mother and child protection card ( mcp )(%),I7034_33,Numeric Variable,Percentage,1,weighted avg,WeighingRatio_Percentage_TotalPopulationFemale,Total Population Female from Census,Maternal and child health-maternity care (for last birth in the 5 years before the survey)-registered pregnancies for which the mother received a mother and child protection (MCP) card (%)
Mothers who received postnatal care from a doctor or nurse or lady health visitor ( lhv ) or auxiliary nurse midwifery ( anm ) or midwife or other health personnel within 2 days of delivery (%),I7034_34,Numeric Variable,Percentage,1,weighted avg,WeighingRatio_Percentage_TotalPopulationFemale,Total Population Female from Census,Maternal and child health-maternity care (for last birth in the 5 years before the survey)-mothers who received postnatal care from a doctor or nurse or Lady Health Visitor (LHV) or Auxiliary Nurse Midwifery (ANM) or midwife or other health personnel within 2 days of delivery (%)
Mothers who received financial assistance under janani suraksha yojana (jsy) (%),I7034_35,Numeric Variable,Percentage,1,weighted avg,WeighingRatio_Percentage_TotalPopulationFemale,Total Population Female from Census,Mothers who received financial assistance under janani suraksha yojana (JSY) for births delivered in an institution for last birth in the 5 years before the survey (%)
Average out of pocket expenditure for each delivery in public health facility,I7034_36,Numeric Variable,INR,1,sum,WeighingRatio_TotalPopulation,Total Population from Census,"Maternal and child health-average out-of-pocket expenditure per birth delivery in a public health facility. (out-of-pocket payments are expenditures borne directly by a patient where insurance does not cover the full cost of the health good or service. they include cost-sharing, self-medication and other expenditure paid directly by private households)"
Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),I7034_37,Numeric Variable,Percentage,1,weighted avg,WeighingRatio_Percentage_TotalPopulation,Total Population from Census,Maternal and child health -children born at home who were taken to a health facility for a check-up within 24 hours of birth (%)
Children who received postnatal care from a doctor or nurse or lady health visitor ( lhv ) or auxiliary nurse midwifery ( anm ) or midwife or other health personnel within 2 days of delivery (%),I7034_38,Numeric Variable,Percentage,1,weighted avg,WeighingRatio_Percentage_TotalPopulation,Total Population from Census,Maternal and child health (for last birth in the 5 years before the survey). children who received postnatal care from a doctor or nurse or Lady Health Visitor (LHV) or Auxiliary Nurse Midwifery (ANM) or midwife or other health personnel within 2 days of delivery (%)
Sex ratio at birth for children born in the last five years (%),I7034_39,Numeric Variable,Ratio,1,weighted avg,WeighingRatio_Percentage_TotalPopulation,Total Population from Census,"Population and household profile-sex ratio at birth for children born in the last five years (females per 1,000 males) (%)"
Institutional births (%),I7034_40,Numeric Variable,Percentage,1,weighted avg,WeighingRatio_Percentage_TotalPopulationFemale,Total Population Female from Census,Institutional births - delivery care (for births in the 5 years before the survey) (%)
Institutional births in public facility (%),I7034_41,Numeric Variable,Percentage,1,weighted avg,WeighingRatio_Percentage_TotalPopulationFemale,Total Population Female from Census,Delivery care (for births in the 5 years before the survey)- institutional births in public facility (%)
Home births that were conducted by skilled health personnel (%),I7034_42,Numeric Variable,Percentage,1,weighted avg,WeighingRatio_Percentage_TotalPopulationFemale,Total Population Female from Census,Delivery care (for births in the 5 years before the survey home births that were conducted by skilled health personnel-doctor or nurse or Lady Health Visitor (LHV) or Auxiliary Nurse Midwifery (ANM) or midwife or other health personnel (%)
Births delivered by a doctor/nurse/lhv/anm/other health personnel (%),I7034_43,Numeric Variable,Percentage,1,weighted avg,WeighingRatio_Percentage_TotalPopulationFemale,Total Population Female from Census,Delivery care (for births in the 5 years before the survey)- births delivered by a doctor/nurse/LHV/ANM/other health personnel (%)
Births delivered by caesarean section (%),I7034_44,Numeric Variable,Percentage,1,weighted avg,WeighingRatio_Percentage_TotalPopulationFemale,Total Population Female from Census,Delivery care (for births in the 5 years before the survey)- births delivered by caesarean section (%)
Births in private health facility delivered by caesarean section (%),I7034_45,Numeric Variable,Percentage,1,weighted avg,WeighingRatio_Percentage_TotalPopulationFemale,Total Population Female from Census,Delivery care (for births in the 5 years before the survey)- births in a private health facility that were delivered by caesarean section (%)
Births in public health facility delivered by caesarean section (%),I7034_46,Numeric Variable,Percentage,1,weighted avg,WeighingRatio_Percentage_TotalPopulationFemale,Total Population Female from Census,Delivery care (for births in the 5 years before the survey) births in a public health facility that were delivered by caesarean section (%)
"Children in the age group of 12 to 23 months who are fully immunized (bacille calmette-guerin ( bcg ), measles, and 3 doses each of polio and dpt) (%)",I7034_47,Numeric Variable,Percentage,1,weighted avg,WeighingRatio_Percentage_TotalPopulation,Total Population from Census,"Children in the age group of 12 to 23 months who are fully immunized (bacille Calmette-Guerin ( BCG ), measles, and 3 doses each of polio and DPT) (%)"
Children age group 12 to 23 months who have received bacillus calmette guerin ( bcg) (%),I7034_48,Numeric Variable,Percentage,1,weighted avg,WeighingRatio_Percentage_TotalPopulation,Total Population from Census,Child vaccinations and vitamin a supplementation children age 12 to 23 months who have received BCG (Bacillus Calmette–Guerin) (%)
Children age group 12 to 23 months who have received 3 doses of polio vaccine (%),I7034_49,Numeric Variable,Percentage,1,weighted avg,WeighingRatio_Percentage_TotalPopulation,Total Population from Census,Child vaccinations and vitamin A supplementation (not including polio vaccination given at birth) (%)
Children under age 5 years whose birth was registered with the civil authority (%),I7034_50,Numeric Variable,Percentage,1,weighted avg,WeighingRatio_Percentage_TotalPopulation,Total Population from Census,Population and household profile-children under age 5 years whose birth was registered with the civil authority (%)
Children age group 12 to 23 months who have received 3 doses of dpt vaccine (%),I7034_51,Numeric Variable,Percentage,1,weighted avg,WeighingRatio_Percentage_TotalPopulation,Total Population from Census,Child vaccinations and vitamin A supplementation (not including DPT vaccination given at birth) (%)
Children age group 12 to 23 months who have received 3 doses of measles vaccine (%),I7034_52,Numeric Variable,Percentage,1,weighted avg,WeighingRatio_Percentage_TotalPopulation,Total Population from Census,Child vaccinations and vitamin A supplementation (not including measles vaccination given at birth) (%)
Children age group 12 to 23 months who have received 3 doses of hepatitis b vaccine (%),I7034_53,Numeric Variable,Percentage,1,weighted avg,WeighingRatio_Percentage_TotalPopulation,Total Population from Census,Child vaccinations and vitamin A supplementation (not including Hepatitis B vaccination given at birth) (%)
Children age 9 to 35 months who received vitamin a dose in the last 6 months (%),I7034_54,Numeric Variable,Percentage,1,weighted avg,WeighingRatio_Percentage_TotalPopulation,Total Population from Census,Child vaccinations and vitamin a supplementation-children age 9 to 35 months who received a vitamin A dose in the last 6 months (%)
Children age group 12 to 23 months who received most of their vaccinations in a public health facility (%),I7034_55,Numeric Variable,Percentage,1,weighted avg,WeighingRatio_Percentage_TotalPopulation,Total Population from Census,Child vaccinations and vitamin A supplementation-children age 12 to 23 months who received most of their vaccinations in a public health facility (%)
Children age group 12 to 23 months who received most of their vaccinations in a private health facility (%),I7034_56,Numeric Variable,Percentage,1,weighted avg,WeighingRatio_Percentage_TotalPopulation,Total Population from Census,Child vaccinations and vitamin A supplementation-children age 12 to 23 months who received most of their vaccinations in a private health facility (%)
Prevalence of diarrhoea in the 2 weeks preceding the survey (%),I7034_57,Numeric Variable,Percentage,1,weighted avg,WeighingRatio_Percentage_TotalPopulation,Total Population from Census,Prevalence of diarrhoea in the 2 weeks preceding the survey (treatment of childhood diseases (children under age 5 years) (%)
Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (%),I7034_58,Numeric Variable,Percentage,1,weighted avg,WeighingRatio_Percentage_TotalPopulation,Total Population from Census,Treatment of childhood diseases (children under age 5 years)-children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%)
Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%),I7034_59,Numeric Variable,Percentage,1,weighted avg,WeighingRatio_Percentage_TotalPopulation,Total Population from Census,Treatment of childhood diseases (children under age 5 years).children with diarrhoea in the 2 weeks preceding the survey who received zinc (%)
Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%),I7034_60,Numeric Variable,Percentage,1,weighted avg,WeighingRatio_Percentage_TotalPopulation,Total Population from Census,Treatment of childhood diseases (children under age 5 years)-children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%)
Population living in households with electricity (%),I7034_61,Numeric Variable,Percentage,1,weighted avg,WeighingRatio_Percentage_NumberOfHouseholds,Number of House holds from Census,Population and household profile of population living in households with electricity (%)
Prevalence of symptoms of acute respiratory infection (ari) in the 2 weeks preceding the survey (%),I7034_62,Numeric Variable,Percentage,1,weighted avg,WeighingRatio_Percentage_TotalPopulation,Total Population from Census,Treatment of childhood diseases (children under age 5 years) -prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%)
Children with fever or symptoms of acute respiratory infection in the 2 weeks preceding the survey taken to a health facility or health provider (%),I7034_63,Numeric Variable,Percentage,1,weighted avg,WeighingRatio_Percentage_TotalPopulation,Total Population from Census,Treatment of childhood diseases (children under age 5 years) children with fever or symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey taken to a health facility or health provider (%)
Children under age 3 years breastfed within one hour of birth (%),I7034_64,Numeric Variable,Percentage,1,weighted avg,WeighingRatio_Percentage_TotalPopulation,Total Population from Census,"Child feeding practices and -nutritional status of children, children under age 3 years breastfed within one hour of birth (based on the last child born in the 3 years before the survey) (%)"
Children under age 6 months exclusively breastfed (%),I7034_65,Numeric Variable,Percentage,1,weighted avg,WeighingRatio_Percentage_TotalPopulation,Total Population from Census,Child feeding practices and nutritional status of children-children under age 6 months exclusively breastfed (based on the youngest child living with the mother) (%)
Children age group 6 to 8 months receiving solid or semisolid food and breastmilk (%),I7034_66,Numeric Variable,Percentage,1,weighted avg,WeighingRatio_Percentage_TotalPopulation,Total Population from Census,Child feeding practices and nutritional status of children (based on the youngest child living with the mother) (%)
Breastfeeding children age group 6 to 23 months receiving an adequate diet (%),I7034_67,Numeric Variable,Percentage,1,weighted avg,WeighingRatio_Percentage_TotalPopulation,Total Population from Census,"Child feeding practices and nutritional status of children- (based on the youngest child living with the mother. breastfed children receiving 4 or more food groups and a minimum meal frequency, non-breastfed children fed with a minimum of 3 infant and young child feeding practices (fed with other milk or milk products at least twice a day, a minimum meal frequency that is, receiving solid or semi-solid food at least twice a day for breastfed infants 6 to 8 months and at least three times a day for breastfed children 9 to 23 months, and solid or semi-solid foods from at least four food groups not including the milk or milk products food group) (%)"
Non-breastfeeding children age group 6 to 23 months receiving an adequate diet (%),I7034_68,Numeric Variable,Percentage,1,weighted avg,WeighingRatio_Percentage_TotalPopulation,Total Population from Census,"Child feeding practices and nutritional status of children-non-breastfeeding children age 6 to 23 months receiving an adequate diet- based on the youngest child living with the mother. breastfed children receiving 4 or more food groups and a minimum meal frequency, non-breastfed children fed with a minimum of 3 infant and young child feeding  practices (fed with other milk or milk products at least twice a day, a minimum meal frequency that is, receiving solid or semi-solid food at least twice a day for breastfed  infants 6-8 months and at least three times a day for breastfed children 9-23 months, and solid or semi-solid foods from at least four food groups not including the milk or  milk products food group) (%)"
Children age group 6 to 23 months receiving an adequate diet (%),I7034_69,Numeric Variable,Percentage,1,weighted avg,WeighingRatio_Percentage_TotalPopulation,Total Population from Census,"Child feeding practices and nutritional status of children-total children age 6 to 23 months receiving an adequate diet (based on the youngest child living with the mother. breastfed children receiving 4 or more food groups and a minimum meal frequency, non-breastfed children fed with a minimum of 3 infant and young child feeding  practices (fed with other milk or milk products at least twice a day, a minimum meal frequency that is, receiving solid or semi-solid food at least twice a day for breastfed  infants 6-8 months and at least three times a day for breastfed children 9 to 23 months, and solid or semi-solid foods from at least four food groups not including the milk or  milk products food group) (%)"
Children under 5 years who are stunted ( height-for-age ) (%),I7034_70,Numeric Variable,Percentage,1,weighted avg,WeighingRatio_Percentage_TotalPopulation,Total Population from Census,"Child feeding practices and nutritional status of children-children under 5 years who are stunted (height-for-age) (below -2 standard deviations, based on the who standard) (%)"
Children under 5 years who are wasted ( weight-for-height ) (%),I7034_71,Numeric Variable,Percentage,1,weighted avg,WeighingRatio_Percentage_TotalPopulation,Total Population from Census,"Child feeding practices and nutritional status of children-children under 5 years who are wasted (weight-for-height) (below -2 standard deviations, based on the who standard) (%)"
Population living in households with an improved drinking-water source (%),I7034_72,Numeric Variable,Percentage,1,weighted avg,WeighingRatio_Percentage_NumberOfHouseholds,Number of House holds from Census,"Population and household profile of population living in households with an improved drinking-water source (%) piped water into dwelling/yard/plot, piped to neighbour, public tap/standpipe, tube well or borehole, protected dug well, protected spring, rainwater, tanker truck, cart with small tank, bottled water, community RO plant"
Children under 5 years who are severely wasted ( weight-for-height ) (%),I7034_73,Numeric Variable,Percentage,1,weighted avg,WeighingRatio_Percentage_TotalPopulation,Total Population from Census,"Child feeding practices and nutritional status of children-children under 5 years who are severely wasted (weight-for-height) below -3 standard deviations, based on the who standard (%)"
Children under 5 years who are underweight ( weight-for-age ) (%),I7034_74,Numeric Variable,Percentage,1,weighted avg,WeighingRatio_Percentage_TotalPopulation,Total Population from Census,"Child feeding practices and nutritional status of children-children under 5 years who are underweight (weight-for-age) (below -2 standard deviations, based on the who standard) (%)"
Women with body mass index ( bmi ) below normal (%),I7034_75,Numeric Variable,Percentage,1,weighted avg,WeighingRatio_Percentage_TotalPopulationFemale,Total Population Female from Census,Nutritional status of adults (age 15 to 49 years)-women whose body mass index (BMI) is below normal (BMI less than 18.5 kg/m2) (excludes pregnant women and women with a birth in the preceding 2 months) (%)
Men with body mass index ( bmi ) below normal (%),I7034_76,Numeric Variable,Percentage,1,weighted avg,WeighingRatio_Percentage_TotalPopulationMale,Total Population Male from Census,Nutritional status of adults (age 15 to 49 years)-men whose body mass index (BMI) is below normal (BMI less than 18.5 kg/m2) (%)
Women who are overweight or obese (%) ,I7034_77,Numeric Variable,Percentage,1,weighted avg,WeighingRatio_Percentage_TotalPopulationFemale,Total Population Female from Census,Nutritional status of adults (age 15 to 49 years)(excludes pregnant women and women with a birth in the preceding 2 months)women who are overweight or obese (bmi =25.0 kg/m2) (%) 
Men who are overweight or obese (%) ,I7034_78,Numeric Variable,Percentage,1,weighted avg,WeighingRatio_Percentage_TotalPopulationMale,Total Population Male from Census,Nutritional status of adults (age 15 to 49 years) men who are overweight or obese (bmi =25.0 kg/m2) (%) 
Children age group 6 to 59 months who are anaemic (%),I7034_79,Numeric Variable,Percentage,1,weighted avg,WeighingRatio_Percentage_TotalPopulation,Total Population from Census,"Anaemia among children and adults (haemoglobin in grams per decilitre (g/dl). among children, prevalence is adjusted for altitude. among adults, prevalence is adjusted for altitude and for smoking status, if known. as NFHS uses the capillary blood for estimation of anaemia, the results of NFHS-5 need not be compared with other surveys using venous blood) (%)"
Non-pregnant women age group 15 to 49 years who are anaemic (%),I7034_80,Numeric Variable,Percentage,1,weighted avg,WeighingRatio_Percentage_TotalPopulationFemale,Total Population Female from Census,"Anaemia among children and adults-non-pregnant women age 15 to 49 years who are anaemic (less than 12.0 g/dl) (haemoglobin in grams per decilitre (g/dl). among children, prevalence is adjusted for altitude. among adults, prevalence is adjusted for altitude and for smoking status, if known. as NFHS uses the capillary blood for estimation of anaemia, the results of NFHS-5 need not be compared with other surveys using venous blood) (%)"
Pregnant women age group 15 to 49 years who are anaemic (%),I7034_81,Numeric Variable,Percentage,1,weighted avg,WeighingRatio_Percentage_TotalPopulationFemale,Total Population Female from Census,"Anaemia among children and adults -pregnant women age 15 to 49 years who are anaemic (less than 11.0 g/dl) (haemoglobin in grams per decilitre (g/dl). among children, prevalence is adjusted for altitude. among adults, prevalence is adjusted for altitude and for smoking status, if known. as NFHS uses the capillary blood for estimation of anaemia, the results of nfhs-5 need not be compared with other surveys using venous blood) (%)"
Women age group 15 to 49 years who are anaemic (%),I7034_82,Numeric Variable,Percentage,1,weighted avg,WeighingRatio_Percentage_TotalPopulationFemale,Total Population Female from Census,"Anaemia among children and adults-all women age 15 to 19 years who are anaemic (haemoglobin in grams per decilitre (g/dl). among children, prevalence is adjusted for altitude. among adults, prevalence is adjusted for altitude and for smoking status, if known. as NFHS uses the capillary blood for estimation of anaemia, the results of NFHS-5 need not be compared with other surveys using venous blood) (%)"
Population living in households that use an improved sanitation facility (%),I7034_83,Numeric Variable,Percentage,1,weighted avg,WeighingRatio_Percentage_NumberOfHouseholds,Number of House holds from Census,"Population and household profile-population living in households that use an improved sanitation facility -flush to piped sewer system, flush to septic tank, flush to pit latrine, flush to don't know where, ventilated improved pit (VIP) or biogas latrine, pit latrine with slab, twin pit or composting toilet, which is not shared with any other household. this indicator does not denote access to toilet facility (%)"
Men age group 15 to 49 years who are anaemic (%),I7034_84,Numeric Variable,Percentage,1,weighted avg,WeighingRatio_Percentage_TotalPopulationMale,Total Population Male from Census,Anaemia among children and adults-men age 15 to 49 years who are anaemic (%)
Women suffering from high blood sugar level (%),I7034_85,Numeric Variable,Percentage,1,weighted avg,WeighingRatio_Percentage_TotalPopulationFemale,Total Population Female from Census,Blood sugar level among adults (age 15 years and above)-women-blood sugar level - high (141 to 160 mg/dl) (random blood sugar measurement) (%)
Women suffering from very high blood sugar level (%),I7034_86,Numeric Variable,Percentage,1,weighted avg,WeighingRatio_Percentage_TotalPopulationFemale,Total Population Female from Census,Blood sugar level among adults (age 15 years and above)-women-blood sugar level - very high (greater than 160 mg/dl)- women-blood sugar level - very high (greater than 160 mg/dl) (random blood sugar measurement) (%)
Men suffering from high blood sugar level (%),I7034_87,Numeric Variable,Percentage,1,weighted avg,WeighingRatio_Percentage_TotalPopulationMale,Total Population Male from Census,Blood sugar level among adults (age 15 years and above)-men-blood sugar level - high (141 to 160 mg/dl) (random blood sugar measurement) (%)
Men suffering from very high blood sugar level (%),I7034_88,Numeric Variable,Percentage,1,weighted avg,WeighingRatio_Percentage_TotalPopulationMale,Total Population Male from Census,Blood sugar level among adults (age 15 years and above)-men-blood sugar level - very high (greater than 160 mg/dl)- men-blood sugar level - very high (greater than 160 mg/dl) (random blood sugar measurement) (%)
Women-mildly elevated blood pressure (%),I7034_89,Numeric Variable,Percentage,1,weighted avg,WeighingRatio_Percentage_TotalPopulationFemale,Total Population Female from Census,Hypertension among adults (age 15 years and above)-women-mildly elevated blood pressure (systolic 140 to 159 mm of hg and/or diastolic 90-99 mm of hg) (%)
Women with moderately high hypertension (%),I7034_90,Numeric Variable,Percentage,1,weighted avg,WeighingRatio_Percentage_TotalPopulationFemale,Total Population Female from Census,Hypertension among adults (age 15 years and above)-women-moderately or severely elevated blood pressure (systolic =160 mm of hg and/or diastolic =100 mm of hg) (%)
Women with very high hypertension (%),I7034_91,Numeric Variable,Percentage,1,weighted avg,WeighingRatio_Percentage_TotalPopulationFemale,Total Population Female from Census,Hypertension among adults (age 15 years and above)-women-very high blood pressure (Systolic ≥180 mm of Hg and/or Diastolic ≥110 mm of Hg) (%)
Men-mildly elevated blood pressure (%),I7034_92,Numeric Variable,Percentage,1,weighted avg,WeighingRatio_Percentage_TotalPopulationMale,Total Population Male from Census,Hypertension among adults (age 15 years and above)-men-mildly elevated blood pressure (systolic 140 to 159 mm of hg and/or diastolic 90-99 mm of hg) (%)
