Geo,newStatVar,2016_sampleSize,2016_CI,2017_sampleSize,2017_CI,2018_sampleSize,2018_CI,2019_sampleSize,2019_CI,2020_sampleSize,2020_CI,Overall_2020_CI,property
Iowa,Substance Use__Heavy drinking (≥8 drinks a week) during the 3 months before pregnancy,956,1.4 (0.7-2.8),1012.0,3.8 (2.3-6.2),826.0,4.2 (2.4-7.2),824.0,2.8 (1.4-5.6),696.0,3.2 (1.8-5.5),3.0 (2.8-3.3),HeavyDrinking3MonthsBeforePregnancy
Iowa,Intimate Partner Violence (IPV)¥__Experienced IPV during the 12 months before pregnancy by a husband or partner and/or by an ex-husband or ex-partner,960,4.9 (3.2-7.4),1012.0,2.1 (1.1-4.0),824.0,3.5 (2.0-6.1),825.0,2.5 (1.3-4.9),696.0,2.7 (1.5-4.9),2.5 (2.3-2.8,IntimatePartnerViolenceByCurrentPartnerOrHusband
Iowa,Intimate Partner Violence (IPV)¥__Experienced IPV during pregnancy by a husband or partner and/or by an ex-husband or ex-partner,958,2.9 (1.7-4.9),1008.0,2.2 (1.2-4.3),822.0,2.9 (1.5-5.6),824.0,2.1 (0.9-4.5),693.0,2.6 (1.3-4.9),1.7 (1.5-1.9),IntimatePartnerViolenceByCurrentOrExPartnerOrCurrentOrExHusband
Iowa,Depression__Self-reported depression in the 3 months before pregnancy,967,19.0 (15.6-22.9),1023.0,16.7 (13.4-20.5),849.0,16.9 (13.1-21.5),845.0,19.2 (15.2-24.0),713.0,16.3 (13.1-20.3),15.5 (15.0-16.1),CDC_SelfReportedDepression3MonthsBeforePregnancy
Iowa,Depression__Self-reported depression during pregnancy,967,14.8 (11.7-18.4),1012.0,14.3 (11.3-17.9),829.0,15.2 (11.6-19.7),823.0,18.0 (14.2-22.6),701.0,15.4 (12.1-19.4),15.2 (14.7-15.8),CDC_SelfReportedDepressionDuringPregnancy
Iowa,Depression__Self-reported postpartum depressive symptoms**,959,12.0 (9.4-15.3),1002.0,7.4 (5.3-10.2),811.0,9.5 (6.7-13.3),814.0,10.2 (7.4-13.8),690.0,7.9 (5.6-11.0),13.4 (12.9-13.9),CDC_SelfReportedDepressionPostpartum
Iowa,Health Care Services__Health care visit in the 12 months before pregnancy,970,70.5 (66.4-74.3),1017.0,68.6 (64.2-72.6),846.0,71.1 (66.3-75.6),837.0,70.3 (65.2-75.0),712.0,74.6 (70.2-78.6),66.0 (65.3-66.8),HealthCareVisit12MonthsBeforePregnancy
Iowa,Health Care Services__Began prenatal care in 1st trimester,951,88.6 (85.6-91.1),1005.0,86.2 (82.7-89.1),830.0,86.0 (81.9-89.3),834.0,89.7 (86.1-92.4),697.0,90.5 (87.2-92.9),87.1 (86.5-87.6),PrenatalCareInFirstTrimester
Iowa,Health Care Services__Had a flu shot in the 12 months before delivery,960,69.4 (65.1-73.4),1016.0,69.8 (65.4-73.9),825.0,74.6 (69.7-79.0),819.0,72.5 (67.3-77.1),701.0,76.9 (72.6-80.7),60.9 (60.1-61.7),FluShot12MonthsBeforePregnancy
Iowa,Health Care Services__Had maternal postpartum checkup,962,91.9 (89.1-94.1),1008.0,94.2 (91.7-95.9),819.0,94.2 (91.2-96.2),819.0,93.4 (90.1-95.7),692.0,91.3 (88.1-93.7),88.1 (87.6-88.6),MaternalCheckupPostpartum
Iowa,Pregnancy Intention__Mistimed,968,17.1 (14.0-20.8),1016.0,17.2 (14.0-21.0),844.0,14.4 (11.2-18.3),842.0,15.7 (12.1-20.1),704.0,12.1 (9.3-15.6),17.7 (17.2-18.4),MistimedPregnancy
Iowa,Pregnancy Intention__Unwanted pregnancy,968,4.5 (3.0-6.7),1016.0,3.8 (2.4-5.8),844.0,6.2 (4.0-9.4),842.0,5.4 (3.4-8.5),704.0,5.5 (3.7-8.2),6.3 (6.0-6.7),UnwantedPregnancy
Iowa,Pregnancy Intention__Unsure whether wanted pregnancy,968,16.7 (13.6-20.3),1016.0,13.5 (10.6-16.9),844.0,16.0 (12.4-20.4),842.0,12.9 (9.7-16.9),704.0,13.8 (10.7-17.4),15.5 (15.0-16.1),UnsureIfWantedPregnancy
Iowa,Pregnancy Intention__Intended pregnancy,968,61.7 (57.3-65.9),1016.0,65.6 (61.1-69.8),844.0,63.5 (58.2-68.4),842.0,66.1 (60.8-71.0),704.0,68.6 (64.0-72.9),60.4 (59.6-61.1),IntendedPregnancy
Iowa,Postpartum†† Family Planning__Use of any postpartum contraception††‡‡,954,80.9 (77.1-84.2),983.0,83.2 (79.5-86.3),813.0,80.9 (76.3-84.8),810.0,84.0 (79.7-87.5),684.0,81.2 (77.2-84.6),74.5 (73.9-75.2),AnyPostpartumFamilyPlanning
Iowa,Postpartum†† Family Planning_Highly effective contraceptive methods_Male or female sterilization,954,11.3 (8.7-14.5),983.0,11.6 (9.0-14.9),813.0,13.0 (9.8-17.0),810.0,11.2 (8.1-15.2),684.0,11.6 (8.8-15.2),10.9 (10.4-11.4),MaleOrFemaleSterilization
Iowa,Postpartum†† Family Planning_Highly effective contraceptive methods_Long-acting reversible contraceptive method§§,954,18.1 (14.9-21.8),983.0,19.1 (15.7-23.0),813.0,20.2 (16.3-24.8),810.0,25.4 (21.0-30.4),684.0,19.3 (15.7-23.5),16.7 (16.1-17.3),LongActingReversibleContraceptiveMethods
Iowa,Postpartum†† Family Planning__Moderately effective contraceptive methods§§,954,29.1 (25.2-33.3),983.0,30.3 (26.1-34.7),813.0,27.8 (23.3-32.9),810.0,27.6 (22.9-32.8),684.0,27.7 (23.6-32.3),24.5 (23.9-25.2),ModeratelyEffectiveContraceptiveMethods
Iowa,Postpartum†† Family Planning__Least effective contraceptive methods§§,954,22.4 (18.9-26.4),983.0,22.2 (18.6-26.3),813.0,19.9 (16.1-24.4),810.0,19.8 (15.9-24.3),684.0,22.5 (18.8-26.7),22.4 (21.8-23.1),LeastEffectiveContraceptiveMethods
Iowa,Oral Health__Teeth cleaned during pregnancy by a dentist or dental hygienist,970,55.5 (51.0-59.9),1024.0,55.3 (50.7-59.8),835.0,52.6 (47.3-57.9),839.0,52.4 (47.0-57.7),706.0,50.3 (45.5-55.0),40.0 (39.3-40.8),TeethCleanedByDentistOrHygienistDuringPregnancy
Iowa,Health Insurance Status One Month Before Pregnancy¶¶__Private insurance,935,65.5 (61.1-69.6),981.0,68.1 (63.7-72.1),807.0,70.8 (65.8-75.4),809.0,72.1 (67.1-76.6),698.0,69.2 (64.5-73.6),61.8 (61.0-62.5),healthInsuranceStatusOneMonthBeforePregnancyprivateinsurance
Iowa,Health Insurance Status One Month Before Pregnancy¶¶__Medicaid,935,25.3 (21.5-29.5),981.0,21.1 (17.6-25.1),807.0,22.8 (18.4-27.9),809.0,20.6 (16.4-25.4),698.0,21.2 (17.4-25.5),23.5 (22.9-24.1),healthInsuranceStatusOneMonthBeforePregnancyMedicaid
Iowa,Health Insurance Status One Month Before Pregnancy¶¶__No insurance,935,8.7 (6.7-11.2),981.0,9.4 (7.3-12.1),807.0,6.2 (4.8-8.1),809.0,7.3 (5.4-9.8),698.0,9.3 (6.8-12.7),14.0 (13.4-14.5),healthInsuranceStatusOneMonthBeforePregnancyNoInsurance
Iowa,Health Insurance Status for Prenatal Care¶¶__Private insurance,884,65.4 (61.0-69.6),933.0,65.8 (61.2-70.1),780.0,69.3 (64.1-74.0),788.0,66.6 (61.2-71.6),677.0,66.6 (61.8-71.1),59.6 (58.8-60.3),healthInsuranceStatusForPrenatalCareprivateinsurance
Iowa,Health Insurance Status for Prenatal Care¶¶__Medicaid,884,32.2 (28.0-36.6),933.0,31.6 (27.4-36.2),780.0,29.1 (24.4-34.3),788.0,29.8 (25.0-35.1),677.0,31.0 (26.6-35.7),36.6 (35.8-37.3),healthInsuranceStatusForPrenatalCareMedicaid
Iowa,Health Insurance Status for Prenatal Care¶¶__No insurance,884,2.4 (1.5-4.0),933.0,2.6 (1.5-4.3),780.0,1.6 (1.1-2.5),788.0,3.6 (1.9-6.6),677.0,2.4 (1.3-4.4),2.8 (2.5-3.1),healthInsuranceStatusForPrenatalCareNoInsurance
Iowa,Health Insurance Status Postpartum††¶¶__Private insurance,924,64.8 (60.5-69.0),974.0,63.5 (59.1-67.8),799.0,67.5 (62.3-72.2),803.0,65.7 (60.5-70.7),690.0,63.5 (58.6-68.0),56.4 (55.6-57.2),healthInsuranceStatusPostpartumprivateinsurance
Iowa,Health Insurance Status Postpartum††¶¶__Medicaid,924,28.6 (24.7-32.9),974.0,27.9 (23.9-32.3),799.0,26.0 (21.5-31.1),803.0,27.2 (22.5-32.4),690.0,30.1 (25.8-34.8),35.4 (34.7-36.1),healthInsuranceStatusPostpartumMedicaid
Iowa,Health Insurance Status Postpartum††¶¶__No insurance,924,5.7 (4.2-7.5),974.0,7.4 (5.7-9.7),799.0,6.4 (4.6-8.9),803.0,7.0 (5.0-9.8),690.0,6.4 (4.2-9.5),7.2 (6.8-7.7),healthInsuranceStatusPostpartumNoInsurance
Iowa,Infant Sleep Practices__Baby most often laid on back to sleep,946,87.7 (84.6-90.2),1002.0,86.7 (83.4-89.4),812.0,82.7 (78.4-86.3),815.0,84.8 (80.8-88.1),683.0,85.7 (82.2-88.6),79.5 (78.9-80.2),BabyMostOftenLaidOnBackToSleep
Iowa,Breastfeeding Practices__Ever breastfed,957,87.9 (84.7-90.6),1003.0,86.7 (83.2-89.6),816.0,85.8 (81.4-89.3),817.0,90.3 (86.8-93.0),684.0,91.4 (88.4-93.8),87.9 (87.3-88.4),EverBreastfed
Iowa,Breastfeeding Practices__Any breastfeeding at 8 weeks,947,68.4 (64.0-72.4),994.0,65.8 (61.3-70.1),811.0,67.1 (61.8-72.0),816.0,71.0 (65.9-75.7),684.0,75.5 (71.1-79.5),68.5 (67.8-69.3),AnyBreastfeedingAt8Weeks
