,Overall 2020‖ Health Indicator N#,2016 % (95% CI)¶,N#,2017 % (95% CI)¶,N#.1,2018 % (95% CI)¶,N#.2,2019 % (95% CI)¶,N#.3,2020 % (95% CI)¶
29,• Self-reported postpartum depressive symptoms** 1051,14.0 (11.8-16.7),1091.0,13.9 (11.7-16.5),921.0,13.7 (11.3-16.5),1576.0,14.6 (12.5-17.1),957.0,13.3 (11.1-16.0)
30,Health Care Services,,,,,,,,,
31,• Health care visit in the 12 months before pregnancy  1052,66.0 (62.5-69.2),1093.0,66.5 (63.1-69.7),927.0,63.0 (59.3-66.5),1585.0,65.1 (62.0-68.1),954.0,65.5 (62.0-68.8)
32,• Began prenatal care in 1st trimester 1040,85.8 (83.0-88.3),1089.0,84.9 (82.2-87.3),920.0,85.2 (82.3-87.7),1576.0,87.8 (85.3-89.9),940.0,88.1 (85.5-90.3)
33,• Had a flu shot in the 12 months before delivery 1051,56.3 (52.8-59.7),1097.0,57.9 (54.5-61.3),925.0,60.6 (56.9-64.1),1582.0,64.3 (61.2-67.3),959.0,64.5 (61.0-67.9)
34,• Had maternal postpartum checkup 1053,88.1 (85.5-90.3),1092.0,87.8 (85.3-89.9),924.0,87.5 (84.8-89.7),1584.0,88.6 (86.2-90.7),954.0,85.1 (82.3-87.5)
35,Pregnancy Intention,,,,,,,,,
36,• Mistimed 1035,18.2 (15.6-21.1),1085.0,21.4 (18.6-24.4),921.0,24.0 (20.9-27.3),1580.0,19.6 (17.2-22.3),951.0,16.2 (13.7-19.0)
37,• Unwanted pregnancy  1035,9.4 (7.5-11.9),1085.0,6.9 (5.3-8.9),921.0,9.9 (7.8-12.3),1580.0,7.8 (6.2-9.7),951.0,6.0 (4.5-7.9)
38,• Unsure whether wanted pregnancy 1035,18.1 (15.5-21.0),1085.0,18.2 (15.6-21.1),921.0,17.0 (14.4-20.0),1580.0,17.9 (15.6-20.6),951.0,21.3 (18.4-24.4)
39,• Intended pregnancy  1035,54.2 (50.7-57.7),1085.0,53.5 (50.1-57.0),921.0,49.2 (45.5-52.8),1580.0,54.7 (51.5-57.8),951.0,56.5 (52.9-60.1)
0,Postpartum†† Family Planning,,,,,,,,,
1,• Use of any postpartum contraception††‡‡ 1039,80.6 (77.7-83.2),1085.0,78.5 (75.6-81.2),913.0,76.3 (73.0-79.3),1567.0,76.6 (73.8-79.2),947.0,75.7 (72.5-78.7)
2,• Highly effective contraceptive methods,,,,,,,,,
3,• Male or female sterilization  1039,12.4 (10.3-14.9),1085.0,14.5 (12.2-17.1),913.0,13.3 (11.0-15.9),1567.0,13.3 (11.3-15.6),947.0,14.7 (12.3-17.4)
4,• Long-acting reversible contraceptive method§§1039,14.0 (11.8-16.7),1085.0,14.6 (12.3-17.3),913.0,16.2 (13.6-19.2),1567.0,15.5 (13.4-17.8),947.0,15.3 (12.8-18.1)
5,• Moderately effective contraceptive methods§§1039,30.6 (27.4-33.9),1085.0,25.2 (22.3-28.3),913.0,25.9 (22.8-29.3),1567.0,25.8 (23.1-28.7),947.0,25.8 (22.7-29.1)
6,• Least effective contraceptive methods§§1039,23.6 (20.8-26.6),1085.0,24.2 (21.4-27.3),913.0,20.9 (18.1-24.0),1567.0,22.0 (19.6-24.6),947.0,20.0 (17.3-23.0)
7,Oral Health,,,,,,,,,
8,• Teeth cleaned during pregnancy by a dentist or dental hygienist 1056,43.5 (40.1-46.9),1101.0,45.4 (42.0-48.8),925.0,42.3 (38.7-45.9),1588.0,45.2 (42.1-48.3),951.0,40.3 (36.9-43.9)
9,Health Insurance Status One Month Before Pregnancy¶¶,,,,,,,,,
10,• Private insurance 1026,64.4 (60.8-67.8),1070.0,65.7 (62.3-69.0),895.0,62.7 (59.0-66.3),1527.0,64.6 (61.4-67.7),922.0,66.2 (62.6-69.7)
11,• Medicaid 1026,17.0 (14.3-19.9),1070.0,17.7 (15.2-20.6),895.0,19.8 (16.9-23.2),1527.0,19.7 (17.1-22.6),922.0,14.8 (12.3-17.7)
12,• No insurance 1026,18.7 (16.0-21.7),1070.0,16.5 (14.1-19.3),895.0,17.4 (14.7-20.5),1527.0,15.7 (13.4-18.3),922.0,19.0 (16.2-22.1)
13,Health Insurance Status for Prenatal Care¶¶,,,,,,,,,
14,• Private insurance 1021,58.4 (54.8-61.9),1064.0,61.1 (57.6-64.4),896.0,59.3 (55.6-62.9),1531.0,57.4 (54.2-60.6),923.0,60.8 (57.2-64.4)
15,• Medicaid 1021,38.9 (35.5-42.5),1064.0,36.4 (33.1-39.8),896.0,38.5 (34.9-42.2),1531.0,39.1 (36.0-42.4),923.0,36.5 (33.0-40.1)
16,• No insurance 1021,2.7 (1.7-4.1),1064.0,2.6 (1.6-4.0),896.0,2.2 (1.4-3.6),1531.0,3.4 (2.2-5.2),923.0,2.7 (1.7-4.3)
17,Health Insurance Status Postpartum††¶¶,,,,,,,,,
18,• Private insurance 1011,57.2 (53.6-60.7),1070.0,60.1 (56.6-63.5),897.0,57.5 (53.8-61.2),1521.0,57.1 (53.8-60.2),930.0,59.5 (55.8-63.1)
19,• Medicaid 1011,27.3 (24.2-30.7),1070.0,27.5 (24.5-30.8),897.0,30.6 (27.2-34.2),1521.0,31.1 (28.1-34.3),930.0,32.6 (29.2-36.1)
20,• No insurance 1011,15.5 (13.0-18.5),1070.0,12.3 (10.2-14.9),897.0,11.9 (9.6-14.6),1521.0,11.8 (9.8-14.2),930.0,7.9 (6.1-10.3)
21,Infant Sleep Practices,,,,,,,,,
22,• Baby most often laid on back to sleep 1003,78.9 (75.8-81.7),1058.0,81.9 (79.0-84.5),890.0,84.0 (81.1-86.6),1537.0,83.1 (80.4-85.5),914.0,84.8 (82.0-87.3)
23,Breastfeeding Practices,,,,,,,,,
24,• Ever breastfed 1020,86.2 (83.5-88.6),1074.0,85.0 (82.3-87.4),906.0,85.1 (82.1-87.6),1549.0,85.2 (82.6-87.4),930.0,87.0 (84.4-89.3)
25,• Any breastfeeding at 8 weeks 1011,63.1 (59.6-66.4),1063.0,63.0 (59.6-66.3),899.0,61.4 (57.7-64.9),1541.0,65.0 (61.9-68.0),916.0,66.6 (63.1-70.0)
