Region,Indicator,Sex,Units,2011,2012,2013,2014,2015,2016
Uganda,"Division U , primary",Female,Number,,,,,,47874
Uganda,"Division X , primary",Both Sex,Number,,,,,,16741
Uganda,"Division X , primary",Male,Number,,,,,,7455
Uganda,"Division X , primary",Female,Number,,,,,,9286
Uganda,"Pass Rate (Percent) , primary",Both Sex,%,,,,,,86.9
Uganda,"Pass Rate (Percent) , primary",Male,%,,,,,,89
Uganda,"Pass Rate (Percent) , primary",Female,%,,,,,,85
Uganda,"Performance index , primary",Both Sex,Index,,,,,,54.8
Uganda,"Performance index , primary",Male,Index,,,,,,57.7
Uganda,"Performance index , primary",Female,Index,,,,,,52
Uganda,"Primary seven (P.7) Completion rate , primary",Both Sex,%,,67,67.4,72,61.6,61.5
Uganda,"Primary seven (P.7) Completion rate , primary",Male,%,,68,68,72,59.8,59.7
Uganda,"Primary seven (P.7) Completion rate , primary",Female,%,,66,67,72,63.3,63.4
Uganda,"Senior one (S.1) Transition rate to S1 , primary",Both Sex,%,,66,72.2,70.5,63.2,64.8
Uganda,"Senior one (S.1) Transition rate to S2 , primary",Male,%,,68,72.3,70.5,62.8,64.4
Uganda,"Senior one (S.1) Transition rate to S3 , primary",Female,%,,65,72,70.5,63.6,65.2
Uganda,"Primary teachers by level of qualification and sex , primary",Both Sex,Number,,,,,,182829
Uganda,"Primary teachers by level of qualification and sex , primary",Male,Number,,,,,,104989
Uganda,"Primary teachers by level of qualification and sex , primary",Female,Number,,,,,,77840
Uganda,"DPE (Diploma in Primary Education) , primary",Both Sex,Number,,,,,,30102
Uganda,"DPE (Diploma in Primary Education) , primary",Male,Number,,,,,,17732
Uganda,"DPE (Diploma in Primary Education) , primary",Female,Number,,,,,,12370
Uganda,"Grade II Teacher , primary",Both Sex,Number,,,,,,975
Uganda,"Grade II Teacher , primary",Male,Number,,,,,,468
Uganda,"Grade II Teacher , primary",Female,Number,,,,,,507
Uganda,"Grade III Teacher , primary",Both Sex,Number,,,,,,121025
Uganda,"Grade III Teacher , primary",Male,Number,,,,,,68758
Uganda,"Grade III Teacher , primary",Female,Number,,,,,,52267
Uganda,"Grade IV Teacher , primary",Both Sex,Number,,,,,,2943
Uganda,"Grade IV Teacher , primary",Male,Number,,,,,,1590
Uganda,"Grade IV Teacher , primary",Female,Number,,,,,,1353
Uganda,"Grade V Teacher including DSNE, DSE,DTE , primary",Both Sex,Number,,,,,,10442
Uganda,"Grade V Teacher including DSNE, DSE,DTE , primary",Male,Number,,,,,,6391
Uganda,"Grade V Teacher including DSNE, DSE,DTE , primary",Female,Number,,,,,,4051
Uganda,"Graduate Teacher , primary",Both Sex,Number,,,,,,7275
Uganda,"Graduate Teacher , primary",Male,Number,,,,,,4537
Uganda,"Graduate Teacher , primary",Female,Number,,,,,,2738
Uganda,"Licensed Teacher , primary",Both Sex,Number,,,,,,2802
Uganda,"Licensed Teacher , primary",Male,Number,,,,,,1637
Uganda,"Licensed Teacher , primary",Female,Number,,,,,,1165
Uganda,"Other Training , primary",Both Sex,Number,,,,,,7265
Uganda,"Other Training , primary",Male,Number,,,,,,3876
Uganda,"Other Training , primary",Female,Number,,,,,,3389
Uganda,"Primary school enrolment by class , primary",Both Sex,Number,,8328640,8459720,8772655,8264317,8655924
Uganda,"Primary school enrolment by class , primary",Male,Number,,4157932,4219523,4377412,4122663,4294473
Uganda,"Primary school enrolment by class , primary",Female,Number,,4170708,4240197,4395243,4141654,4361451
Uganda,"Primary school enrolment by class and sex, P1 , primary",Both Sex,Number,,1877801,1883803,1932489,1842006,1888847
Uganda,"Primary school enrolment by class and sex, P1 , primary",Male,Number,,943061,945886,973641,929397,949261
Uganda,"Primary school enrolment by class and sex, P1 , primary",Female,Number,,934740,937917,958848,912609,939586
Uganda,"Primary school enrolment by class and sex, P2 , primary",Both Sex,Number,,1284122,1307745,1349233,1277974,1352893
Uganda,"Primary school enrolment by class and sex, P2 , primary",Male,Number,,642732,653310,676340,640607,676636
Uganda,"Primary school enrolment by class and sex, P2 , primary",Female,Number,,641390,654435,672893,637367,676257
Uganda,"Primary school enrolment by class and sex, P3 , primary",Both Sex,Number,,1291268,1312592,1362786,1283194,1349293
Uganda,"Primary school enrolment by class and sex, P3 , primary",Male,Number,,644642,656110,682153,642761,672964
Uganda,"Primary school enrolment by class and sex, P3 , primary",Female,Number,,646626,656482,680633,640433,676329
Uganda,"Primary school enrolment by class and sex, P4 , primary",Both Sex,Number,,1299994,1317315,1359448,1272522,1328035
Uganda,"Primary school enrolment by class and sex, P4 , primary",Male,Number,,647063,653289,673677,631502,655305
Uganda,"Primary school enrolment by class and sex, P4 , primary",Female,Number,,652931,664026,685771,641020,672730
Uganda,"Primary school enrolment by class and sex, P5 , primary",Both Sex,Number,,1118900,1138789,1178273,1101698,1156465
Uganda,"Primary school enrolment by class and sex, P5 , primary",Male,Number,,552338,561709,579905,541290,564606
Uganda,"Primary school enrolment by class and sex, P5 , primary",Female,Number,,566562,577080,598368,560408,591859
Uganda,"Primary school enrolment by class and sex, P6 , primary",Both Sex,Number,,892338,920045,963083,901939,958298
Uganda,"Primary school enrolment by class and sex, P6 , primary",Male,Number,,441656,455609,476069,443672,466660
Uganda,"Primary school enrolment by class and sex, P6 , primary",Female,Number,,450682,464436,487014,458267,491638
Uganda,"Primary school enrolment by class and sex, P7 , primary",Both Sex,Number,,564217,579431,627343,584984,622093
Uganda,"Primary school enrolment by class and sex, P7 , primary",Male,Number,,286440,293610,315627,293434,309041
Uganda,"Primary school enrolment by class and sex, P7 , primary",Female,Number,,277777,285821,311716,291550,313052
Uganda,"Primary Gross Intake Rate (PGI) , primary",Both Sex,%,118,115,113,117,109,
Uganda,"Net Intake Rate (PNI) , primary , primary",Both Sex,%,98,96,96,97,91,
Uganda,"Primary Gross Enrolment (PGE) , primary , primary",Both Sex,%,118,115,113,117,109,
Uganda,"Primary Net Enrolment Rates (PNE) , primary , primary",Both Sex,%,98,96,96,97,91,
Uganda,"Pupil Teacher Ratio (PTR) , primary , primary",Both Sex,Students per teacher,,48,46,46,43,43
Uganda,"Pupil Classroom Ratio (PCR) , primary , primary",Both Sex,Students per classroom,,57,57,58,63,54
Uganda,"Gross Enrolment rate , secondary",Both Sex,Pupils in primary school per total population,,28,29,30,25,
Uganda,"Net Enrolment rate , secondary",Both Sex,Pupils in primary school per total population,,24,26,26,22,
Uganda,"Student Teacher Ratio , secondary",Both Sex,Number of students per Teacher,,30,22,22,22,22
Uganda,"Student Classroom Ratio , secondary",Both Sex,Number of students per classroom,,50,55,50,52,51
Uganda,"Student Stance Ratio , secondary",Both Sex,Number of students per latrine stance,,25,44,37,35,
Uganda,"Enrolment , secondary",Both Sex,thousands,,1252,1362,1391,1284,1457
Uganda,"Enrolment , secondary",Male,thousands,,671,727,738,675,765
Uganda,"Enrolment , secondary",Female,thousands,,581,635,653,609,692
Uganda,"Annual change in enrolment (%) , secondary",Both Sex,%,,,8.9,2.1,-7.7,13.5
Uganda,"Number of Schools , secondary",Both Sex,Number,,2612,2838,2950,2695,3070
Uganda,"Number of Teachers , secondary",Both Sex,Number,,55270,61505,63957,58051,66542
Uganda,"Number of classrooms , secondary",Both Sex,Number,,25076,28242,27706,25888,27239
Uganda,"Orphans in Secondary School , secondary",Both Sex,Number,,243535,258483,260351,216320,235443
Uganda,"Orphans in Secondary School , secondary",Male,Number,,124669,132600,133131,109741,119426
Uganda,"Orphans in Secondary School , secondary",Female,Number,,118866,125883,127220,106579,116017
Uganda,"Share of orphans to total enrolment , secondary",Both Sex,%,,19.5,18.9,18.7,16.8,16.1
Uganda,"Secondary teachers by level of qualification , secondary",Both Sex,Number,,,,,,57947
Uganda,"Secondary teachers by level of qualification , secondary",Male,Number,,,,,,43625
Uganda,"Secondary teachers by level of qualification , secondary",Female,Number,,,,,,14322
Uganda,"Grade V Teacher including DSNE, DSE,DTE , secondary",Both Sex,Number,,,,,,24314
Uganda,"Grade V Teacher including DSNE, DSE,DTE , secondary",Male,Number,,,,,,18965
Uganda,"Grade V Teacher including DSNE, DSE,DTE , secondary",Female,Number,,,,,,5349
Uganda,"Graduate Teacher , secondary",Both Sex,Number,,,,,,29939
Uganda,"Graduate Teacher , secondary",Male,Number,,,,,,21640
Uganda,"Graduate Teacher , secondary",Female,Number,,,,,,8299
Uganda,"Licensed Teacher , secondary",Both Sex,Number,,,,,,640
Uganda,"Licensed Teacher , secondary",Male,Number,,,,,,552
Uganda,"Licensed Teacher , secondary",Female,Number,,,,,,88
Uganda,"Other Training , secondary",Both Sex,Number,,,,,,3054
Uganda,"Other Training , secondary",Male,Number,,,,,,2468
Uganda,"Other Training , secondary",Female,Number,,,,,,586
Uganda,"Students who registered , secondary",Both Sex,Number,,,,,,323276
Uganda,"Students who registered , secondary",Male,Number,,,,,,164473
Uganda,"Students who registered , secondary",Female,Number,,,,,,158722
Uganda,"Students Who Sat for UCE , secondary",Both Sex,Number,,,,,,316624
Uganda,"Students Who Sat for UCE , secondary",Male,Number,,,,,,161346
Uganda,"Students Who Sat for UCE , secondary",Female,Number,,,,,,155278
Uganda,"Pass Rate , secondary",Both Sex,%,,,,,,96
Uganda,"Pass Rate , secondary",Male,%,,,,,,97
Uganda,"Pass Rate , secondary",Female,%,,,,,,95
Uganda,"Performance Index , secondary",Both Sex,Index,,,,,,39
Uganda,"Performance Index , secondary",Male,Index,,,,,,40
Uganda,"Performance Index , secondary",Female,Index,,,,,,38
Uganda,"Students who registered , secondary",Both Sex,Number,,,,,,104316
Uganda,"Students who registered , secondary",Male,Number,,,,,,61820
Uganda,"Students who registered , secondary",Female,Number,,,,,,42496
Uganda,"Students Who Sat for UACE , secondary",Both Sex,Number,,,,,,102858
Uganda,"Students Who Sat for UACE , secondary",Male,Number,,,,,,60804
Uganda,"Students Who Sat for UACE , secondary",Female,Number,,,,,,42054
Uganda,"Students Who didn’t sit for UACE , secondary",Both Sex,Number,,,,,,1458
Uganda,"Students Who didn’t sit for UACE , secondary",Male,Number,,,,,,1016
Uganda,"Students Who didn’t sit for UACE , secondary",Female,Number,,,,,,442
Uganda,"Students who passed , secondary",Both Sex,Number,,,,,,88734
Uganda,"Students who passed , secondary",Male,Number,,,,,,51343
Uganda,"Students who passed , secondary",Female,Number,,,,,,37391
Uganda,"Principal passes, 3 , secondary",Both Sex,Number,,,,,,39844
Uganda,"Principal passes, 3 , secondary",Male,Number,,,,,,21305
Uganda,"Principal passes, 3 , secondary",Female,Number,,,,,,18539
Uganda,"Principal passes, 2 , secondary",Both Sex,Number,,,,,,27851
Uganda,"Principal passes, 2 , secondary",Male,Number,,,,,,16404
Uganda,"Principal passes, 2 , secondary",Female,Number,,,,,,11447
Uganda,"Principal passes, 1 , secondary",Both Sex,Number,,,,,,21039
Uganda,"Principal passes, 1 , secondary",Male,Number,,,,,,13634
Uganda,"Principal passes, 1 , secondary",Female,Number,,,,,,7405
Uganda,"Students who failed , secondary",Both Sex,Number,,,,,,14124
Uganda,"Students who failed , secondary",Male,Number,,,,,,9461
Uganda,"Students who failed , secondary",Female,Number,,,,,,4663
Uganda,"Subsidiary, 1 , secondary",Both Sex,Number,,,,,,12806
Uganda,"Subsidiary, 1 , secondary",Male,Number,,,,,,8507
Uganda,"Subsidiary, 1 , secondary",Female,Number,,,,,,4299
Uganda,"Failure , secondary",Both Sex,Number,,,,,,1318
Uganda,"Failure , secondary",Male,Number,,,,,,954
Uganda,"Failure , secondary",Female,Number,,,,,,364
Uganda,"Pass Rate , secondary",Both Sex,%,,,,,,86
Uganda,"Pass Rate , secondary",Male,%,,,,,,84
Uganda,"Pass Rate , secondary",Female,%,,,,,,89
Uganda,"Performance Index , secondary",Both Sex,Index,,,,,,64
Uganda,"Performance Index , secondary",Male,Index,,,,,,60
Uganda,"Performance Index , secondary",Female,Index,,,,,,68
Uganda,"Senior 4 Completion rate , secondary",Both Sex,%,,35.5,35.3,35.8,36.2,37.8
Uganda,"Senior 4 Completion rate , secondary",Male,%,,37.6,36.7,36.4,36.4,39.6
Uganda,"Senior 4 Completion rate , secondary",Female,%,,33.5,33.8,33.9,35.9,36
Uganda,"Transition rate to Secondary five (S.5) , secondary",Both Sex,%,,34,32,30,25,30.2
Uganda,"Transition rate to Secondary five (S.5) , secondary",Male,%,,39,37,33.6,28.1,31
Uganda,"Transition rate to Secondary five (S.5) , secondary",Female,%,,29,27,25.9,21.4,29.4
Uganda,"Secondary school enrolment by class , secondary",Both Sex,Number,,1251507,1362439,1391250,1284008,1457277
Uganda,"Secondary school enrolment by class , secondary",Male,Number,,671347,727212,738391,675163,765406
Uganda,"Secondary school enrolment by class , secondary",Female,Number,,580160,635527,652859,608845,691871
Uganda,"Secondary school enrolment by class S1 , secondary",Both Sex,Number,,317286,346537,348701,326591,358724
Uganda,"Secondary school enrolment by class S1 , secondary",Male,Number,,164920,179013,180634,166922,183195
Uganda,"Secondary school enrolment by class S1 , secondary",Female,Number,,152366,167524,168067,159669,175529
Uganda,"Secondary school enrolment by class S2 , secondary",Both Sex,Number,,296297,305501,327016,299262,346050
Uganda,"Secondary school enrolment by class S2 , secondary",Male,Number,,154798,158539,169257,154799,177788
Uganda,"Secondary school enrolment by class S2 , secondary",Female,Number,,141499,146962,157759,144463,168262
Uganda,"Secondary school enrolment by class S3 , secondary",Both Sex,Number,,259003,284919,289219,279851,317329
Uganda,"Secondary school enrolment by class S3 , secondary",Male,Number,,136022,149995,150346,145404,164684
Uganda,"Secondary school enrolment by class S3 , secondary",Female,Number,,122981,134924,138873,134447,152645
Uganda,"Secondary school enrolment by class S4 , secondary",Both Sex,Number,,216754,250274,268253,242248,276810
Uganda,"Secondary school enrolment by class S4 , secondary",Male,Number,,116727,133314,142623,126314,144783
Uganda,"Secondary school enrolment by class S4 , secondary",Female,Number,,100027,116960,125630,115934,132027
Uganda,"Secondary school enrolment by class S5 , secondary",Both Sex,Number,,87549,85760,76649,70317,81253
Uganda,"Secondary school enrolment by class S5 , secondary",Male,Number,,53230,51769,46193,41899,48516
Uganda,"Secondary school enrolment by class S5 , secondary",Female,Number,,34319,33991,30456,28418,32737
Uganda,"Secondary school enrolment by class S6 , secondary",Both Sex,Number,,74618,89448,81412,65739,77111
Uganda,"Secondary school enrolment by class S6 , secondary",Male,Number,,45650,54582,49338,39825,46440
Uganda,"Secondary school enrolment by class S6 , secondary",Female,Number,,28968,35166,32074,25914,30671
Uganda,"Gross Intake Ratio (GIR) , secondary , secondary",Both Sex,%,,,,43,33,
Uganda,"Net Intake  Ratio (NIR) , secondary , secondary",Both Sex,%,,,,8,6,
Uganda,"Gross Enrolment Ratio (GER) , secondary , secondary",Both Sex,%,,,,30,25,
Uganda,"Net Enrolment  Ratio (NER) , secondary , secondary",Both Sex,%,,,,26,22,
Uganda,All tertiary Institutions,Both Sex,Number,,198066,201376,250621,257855,258866
Uganda,All tertiary Institutions,Male,Number,,111831,113688,139727,143212,144314
Uganda,All tertiary Institutions,Female,Number,,86235,87572,110894,114643,114552
Uganda,"Of which, Universities",Both Sex,Number,,140096,140403,180360,185315,186412
Uganda,"Of which, Universities",Male,Number,,78817,79709,100525,103280,104432
Uganda,"Of which, Universities",Female,Number,,61270,60398,79835,82035,81980
Uganda,Percentage enrolled in universities (%),Both Sex,%,,70.7,69.7,72,71.9,72
Uganda,"Institutions, total",Both Sex,Number,,126,118,118,119,129
Uganda,Government,Both Sex,Number,,110,103,103,103,115
Uganda,Private,Both Sex,Number,,16,15,15,16,14
Uganda,Enrolment,Both Sex,Number,,34380,42674,39712,40830,63209
Uganda,Enrolment,Male,Number,,21499,28024,25485,26338,36960
Uganda,Enrolment,Female,Number,,12881,14650,14227,14492,26249
Uganda,"Competency in literacy at   Primary 3, Total",Both Sex,%,,53.8,56.2,64.2,60.2,
Uganda,"Competency in literacy at   Primary 3, Total",Male,%,,52.1,53.9,62,59,
Uganda,"Competency in literacy at   Primary 3, Total",Female,%,,55.6,56.4,66.5,61.3,
Uganda,"Competency in literacy at  Primary 6, Total",Both Sex,%,,40.8,40.2,38.3,51.9,
Uganda,"Competency in literacy at  Primary 6, Total",Male,%,,39.6,38.7,37.8,51.6,
Uganda,"Competency in literacy at  Primary 6, Total",Female,%,,42,40.1,38.7,52.2,
Uganda,"Competency in numeracy at Primary 3, Total",Both Sex,%,,72.8,63,69.9,69.8,72.7
Uganda,"Competency in numeracy at Primary 3, Total",Male,%,,74.1,65,71.3,70.6,73.9
Uganda,"Competency in numeracy at Primary 3, Total",Female,%,,71.7,61,68.4,68.8,71.4
Uganda,"Competency in numeracy at Primary 6 , Total",Both Sex,%,,54.8,45.6,45.2,41.4,39.4
Uganda,"Competency in numeracy at Primary 6 , Total",Male,%,,57.9,49.6,49.7,45.8,44.2
Uganda,"Competency in numeracy at Primary 6 , Total",Female,%,,52.1,41.7,40.9,37.4,35
Uganda,Biology Total,Both Sex,%,,17.7,14.5,20.5,,
Uganda,Biology Total,Male,%,,23.6,19.9,26.9,,
Uganda,Biology Total,Female,%,,10.7,9.2,13.4,,
Uganda,"Mathematics, Total",Both Sex,%,,43.3,46.1,41.5,,
Uganda,"Mathematics, Total",Male,%,,50.8,53,48.7,,
Uganda,"Mathematics, Total",Female,%,,34.3,41,33.2,,
Uganda,English language Total,Both Sex,%,,48.3,43.1,49.3,,
Uganda,English language Total,Male,%,,50,40.9,49.9,,
Uganda,English language Total,Female,%,,46.3,45.3,48.6,,
Butambala,"Primary Gross Intake Rate (PGI) , primary",Both Sex,%,158,156,174,185,226,
Butambala,"Net Intake Rate (PNI) , primary",Both Sex,%,84,89,90,83,114,
Butambala,"Primary Gross Enrolment (PGE) , primary",Both Sex,%,114,122,130,125,139,
Butambala,"Primary Net Enrolment Rates (PNE) , primary",Both Sex,%,98,107,114,108,120,
Butambala,"Pupil Teacher Ratio (PTR) , primary",Both Sex,Students per teacher,,42,34,39,34,33
Butambala,"Pupil Classroom Ratio (PCR) , primary",Both Sex,Students per classroom,,42,36,38,45,41
Butambala,"Gross Intake Ratio (GIR) , secondary",Both Sex,%,,,,105,101,
Butambala,"Net Intake  Ratio (NIR) , secondary",Both Sex,%,,,,36,23,
Butambala,"Gross Enrolment Ratio (GER) , secondary",Both Sex,%,,,,89,92,
Butambala,"Net Enrolment  Ratio (NER) , secondary",Both Sex,%,,,,84,86,
Butambala,"Student Teacher (STR) , secondary",Both Sex,Number of students per Teacher,,28,19,18,20,23
Butambala,"Student Classroom Ratio (SCR) , secondary",Both Sex,Number of students per classroom,,55,55,72,55,43
Buikwe,"Primary Gross Intake Rate (PGI) , primary",Both Sex,%,100,97,89,97,119,
Buikwe,"Net Intake Rate (PNI) , primary",Both Sex,%,44,46,37,33,47,
Buikwe,"Primary Gross Enrolment (PGE) , primary",Both Sex,%,93,95,84,85,88,
Buikwe,"Primary Net Enrolment Rates (PNE) , primary",Both Sex,%,76,79,70,72,73,
Buikwe,"Pupil Teacher Ratio (PTR) , primary",Both Sex,Students per teacher,,43,40,46,36,35
Buikwe,"Pupil Classroom Ratio (PCR) , primary",Both Sex,Students per classroom,,47,49,45,51,43
Buikwe,"Gross Intake Ratio (GIR) , secondary",Both Sex,%,,,,41,43,
Buikwe,"Net Intake  Ratio (NIR) , secondary",Both Sex,%,,,,11,13,
Buikwe,"Gross Enrolment Ratio (GER) , secondary",Both Sex,%,,,,31,31,
Buikwe,"Net Enrolment  Ratio (NER) , secondary",Both Sex,%,,,,29,28,
Buikwe,"Student Teacher (STR) , secondary",Both Sex,Number of students per Teacher,,27,22,20,21,22
Buikwe,"Student Classroom Ratio (SCR) , secondary",Both Sex,Number of students per classroom,,47,51,51,54,55
Mityana,"Primary Gross Intake Rate (PGI) , primary",Both Sex,%,135,118,119,126,115,
Mityana,"Net Intake Rate (PNI) , primary",Both Sex,%,59,57,58,50,58,
Mityana,"Primary Gross Enrolment (PGE) , primary",Both Sex,%,112,104,101,98,84,
Mityana,"Primary Net Enrolment Rates (PNE) , primary",Both Sex,%,93,88,88,84,72,
Mityana,"Pupil Teacher Ratio (PTR) , primary",Both Sex,Students per teacher,,38,33,39,33,31
Mityana,"Pupil Classroom Ratio (PCR) , primary",Both Sex,Students per classroom,,40,38,39,47,37
Mityana,"Gross Intake Ratio (GIR) , secondary",Both Sex,%,,,,49,32,
Mityana,"Net Intake  Ratio (NIR) , secondary",Both Sex,%,,,,14,7,
Mityana,"Gross Enrolment Ratio (GER) , secondary",Both Sex,%,,,,39,24,
Mityana,"Net Enrolment  Ratio (NER) , secondary",Both Sex,%,,,,36,22,
Mityana,"Student Teacher (STR) , secondary",Both Sex,Number of students per Teacher,,38,20,20,21,19
Mityana,"Student Classroom Ratio (SCR) , secondary",Both Sex,Number of students per classroom,,59,57,53,67,48
Sembabule,"Primary Gross Intake Rate (PGI) , primary",Both Sex,%,261,261,265,286,234,
Sembabule,"Net Intake Rate (PNI) , primary",Both Sex,%,112,115,116,106,104,
Sembabule,"Primary Gross Enrolment (PGE) , primary",Both Sex,%,157,153,160,161,121,
Sembabule,"Primary Net Enrolment Rates (PNE) , primary",Both Sex,%,132,132,143,139,104,
Sembabule,"Pupil Teacher Ratio (PTR) , primary",Both Sex,Students per teacher,,39,37,38,36,36
Sembabule,"Pupil Classroom Ratio (PCR) , primary",Both Sex,Students per classroom,,56,56,64,60,51
Sembabule,"Gross Intake Ratio (GIR) , secondary",Both Sex,%,,,,35,26,
Sembabule,"Net Intake  Ratio (NIR) , secondary",Both Sex,%,,,,9,5,
Sembabule,"Gross Enrolment Ratio (GER) , secondary",Both Sex,%,,,,23,19,
Sembabule,"Net Enrolment  Ratio (NER) , secondary",Both Sex,%,,,,21,16,
Sembabule,"Student Teacher (STR) , secondary",Both Sex,Number of students per Teacher,,30,18,19,21,20
Sembabule,"Student Classroom Ratio (SCR) , secondary",Both Sex,Number of students per classroom,,42,53,50,53,46
Luweero,"Primary Gross Intake Rate (PGI) , primary",Both Sex,%,186,201,177,177,226,
Luweero,"Net Intake Rate (PNI) , primary",Both Sex,%,100,99,90,79,99,
Luweero,"Primary Gross Enrolment (PGE) , primary",Both Sex,%,136,146,127,125,137,
Luweero,"Primary Net Enrolment Rates (PNE) , primary",Both Sex,%,116,125,112,105,117,
Luweero,"Pupil Teacher Ratio (PTR) , primary",Both Sex,Students per teacher,,48,43,44,37,38
Luweero,"Pupil Classroom Ratio (PCR) , primary",Both Sex,Students per classroom,,52,55,50,49,46
Luweero,"Gross Intake Ratio (GIR) , secondary",Both Sex,%,,,,65,59,
