RefSeqID	chromosome_dcid
NT_187491.1	dcid:bio/hg19_chrUn_KI270372v1
NT_187492.1	dcid:bio/hg19_chrUn_KI270373v1
NT_187490.1	dcid:bio/hg19_chrUn_KI270374v1
NT_187493.1	dcid:bio/hg19_chrUn_KI270375v1
NT_187489.1	dcid:bio/hg19_chrUn_KI270376v1
NT_187471.1	dcid:bio/hg19_chrUn_KI270378v1
NT_187472.1	dcid:bio/hg19_chrUn_KI270379v1
NT_187486.1	dcid:bio/hg19_chrUn_KI270381v1
NT_187488.1	dcid:bio/hg19_chrUn_KI270382v1
NT_187482.1	dcid:bio/hg19_chrUn_KI270383v1
NT_187484.1	dcid:bio/hg19_chrUn_KI270384v1
NT_187487.1	dcid:bio/hg19_chrUn_KI270385v1
NT_187480.1	dcid:bio/hg19_chrUn_KI270386v1
NT_187475.1	dcid:bio/hg19_chrUn_KI270387v1
NT_187478.1	dcid:bio/hg19_chrUn_KI270388v1
NT_187473.1	dcid:bio/hg19_chrUn_KI270389v1
NT_187474.1	dcid:bio/hg19_chrUn_KI270390v1
NT_187481.1	dcid:bio/hg19_chrUn_KI270391v1
NT_187485.1	dcid:bio/hg19_chrUn_KI270392v1
NT_187483.1	dcid:bio/hg19_chrUn_KI270393v1
NT_187479.1	dcid:bio/hg19_chrUn_KI270394v1
NT_187476.1	dcid:bio/hg19_chrUn_KI270395v1
NT_187477.1	dcid:bio/hg19_chrUn_KI270396v1
NT_187409.1	dcid:bio/hg19_chrUn_KI270411v1
NT_187408.1	dcid:bio/hg19_chrUn_KI270412v1
NT_187410.1	dcid:bio/hg19_chrUn_KI270414v1
NT_187415.1	dcid:bio/hg19_chrUn_KI270417v1
NT_187412.1	dcid:bio/hg19_chrUn_KI270418v1
NT_187411.1	dcid:bio/hg19_chrUn_KI270419v1
NT_187413.1	dcid:bio/hg19_chrUn_KI270420v1
NT_187416.1	dcid:bio/hg19_chrUn_KI270422v1
NT_187417.1	dcid:bio/hg19_chrUn_KI270423v1
NT_187414.1	dcid:bio/hg19_chrUn_KI270424v1
NT_187418.1	dcid:bio/hg19_chrUn_KI270425v1
NT_187419.1	dcid:bio/hg19_chrUn_KI270429v1
NT_187424.1	dcid:bio/hg19_chrUn_KI270435v1
NT_187425.1	dcid:bio/hg19_chrUn_KI270438v1
NT_187420.1	dcid:bio/hg19_chrUn_KI270442v1
NT_187495.1	dcid:bio/hg19_chrUn_KI270448v1
NT_187422.1	dcid:bio/hg19_chrUn_KI270465v1
NT_187421.1	dcid:bio/hg19_chrUn_KI270466v1
NT_187423.1	dcid:bio/hg19_chrUn_KI270467v1
NT_187426.1	dcid:bio/hg19_chrUn_KI270468v1
NT_187437.1	dcid:bio/hg19_chrUn_KI270507v1
NT_187430.1	dcid:bio/hg19_chrUn_KI270508v1
NT_187428.1	dcid:bio/hg19_chrUn_KI270509v1
NT_187427.1	dcid:bio/hg19_chrUn_KI270510v1
NT_187435.1	dcid:bio/hg19_chrUn_KI270511v1
NT_187432.1	dcid:bio/hg19_chrUn_KI270512v1
NT_187436.1	dcid:bio/hg19_chrUn_KI270515v1
NT_187431.1	dcid:bio/hg19_chrUn_KI270516v1
NT_187438.1	dcid:bio/hg19_chrUn_KI270517v1
NT_187429.1	dcid:bio/hg19_chrUn_KI270518v1
NT_187433.1	dcid:bio/hg19_chrUn_KI270519v1
NT_187496.1	dcid:bio/hg19_chrUn_KI270521v1
NT_187434.1	dcid:bio/hg19_chrUn_KI270522v1
NT_187440.1	dcid:bio/hg19_chrUn_KI270528v1
NT_187439.1	dcid:bio/hg19_chrUn_KI270529v1
NT_187441.1	dcid:bio/hg19_chrUn_KI270530v1
NT_187443.1	dcid:bio/hg19_chrUn_KI270538v1
NT_187442.1	dcid:bio/hg19_chrUn_KI270539v1
NT_187444.1	dcid:bio/hg19_chrUn_KI270544v1
NT_187445.1	dcid:bio/hg19_chrUn_KI270548v1
NT_187450.1	dcid:bio/hg19_chrUn_KI270579v1
NT_187448.1	dcid:bio/hg19_chrUn_KI270580v1
NT_187449.1	dcid:bio/hg19_chrUn_KI270581v1
NT_187454.1	dcid:bio/hg19_chrUn_KI270582v1
NT_187446.1	dcid:bio/hg19_chrUn_KI270583v1
NT_187453.1	dcid:bio/hg19_chrUn_KI270584v1
NT_187447.1	dcid:bio/hg19_chrUn_KI270587v1
NT_187455.1	dcid:bio/hg19_chrUn_KI270588v1
NT_187451.1	dcid:bio/hg19_chrUn_KI270589v1
NT_187452.1	dcid:bio/hg19_chrUn_KI270590v1
NT_187457.1	dcid:bio/hg19_chrUn_KI270591v1
NT_187456.1	dcid:bio/hg19_chrUn_KI270593v1
NT_187497.1	dcid:bio/hg19_chrUn_KI270741v1
NT_187513.1	dcid:bio/hg19_chrUn_KI270742v1
NT_187498.1	dcid:bio/hg19_chrUn_KI270743v1
NT_187499.1	dcid:bio/hg19_chrUn_KI270744v1
NT_187500.1	dcid:bio/hg19_chrUn_KI270745v1
NT_187501.1	dcid:bio/hg19_chrUn_KI270746v1
NT_187502.1	dcid:bio/hg19_chrUn_KI270747v1
NT_187503.1	dcid:bio/hg19_chrUn_KI270748v1
NT_187504.1	dcid:bio/hg19_chrUn_KI270749v1
NT_187505.1	dcid:bio/hg19_chrUn_KI270750v1
NT_187506.1	dcid:bio/hg19_chrUn_KI270751v1
NT_187507.1	dcid:bio/hg19_chrUn_KI270752v1
NT_187508.1	dcid:bio/hg19_chrUn_KI270753v1
NT_187509.1	dcid:bio/hg19_chrUn_KI270754v1
NT_187510.1	dcid:bio/hg19_chrUn_KI270755v1
NT_187511.1	dcid:bio/hg19_chrUn_KI270756v1
NT_187512.1	dcid:bio/hg19_chrUn_KI270757v1
NW_003315905.1	dcid:bio/hg19_chr1_GL383518v1_alt
NW_003315906.1	dcid:bio/hg19_chr1_GL383519v1_alt
NW_003315907.2	dcid:bio/hg19_chr1_GL383520v2_alt
NT_187516.1	dcid:bio/hg19_chr1_KI270759v1_alt
NT_187514.1	dcid:bio/hg19_chr1_KI270760v1_alt
NT_187518.1	dcid:bio/hg19_chr1_KI270761v1_alt
NT_187515.1	dcid:bio/hg19_chr1_KI270762v1_alt
NT_187519.1	dcid:bio/hg19_chr1_KI270763v1_alt
NT_187521.1	dcid:bio/hg19_chr1_KI270764v1_alt
NT_187520.1	dcid:bio/hg19_chr1_KI270765v1_alt
NT_187517.1	dcid:bio/hg19_chr1_KI270766v1_alt
NW_003315908.1	dcid:bio/hg19_chr2_GL383521v1_alt
NW_003315909.1	dcid:bio/hg19_chr2_GL383522v1_alt
NW_003571033.2	dcid:bio/hg19_chr2_GL582966v2_alt
NT_187523.1	dcid:bio/hg19_chr2_KI270767v1_alt
NT_187528.1	dcid:bio/hg19_chr2_KI270768v1_alt
NT_187522.1	dcid:bio/hg19_chr2_KI270769v1_alt
NT_187525.1	dcid:bio/hg19_chr2_KI270770v1_alt
NT_187530.1	dcid:bio/hg19_chr2_KI270771v1_alt
NT_187524.1	dcid:bio/hg19_chr2_KI270772v1_alt
NT_187526.1	dcid:bio/hg19_chr2_KI270773v1_alt
NT_187529.1	dcid:bio/hg19_chr2_KI270774v1_alt
NT_187531.1	dcid:bio/hg19_chr2_KI270775v1_alt
NT_187527.1	dcid:bio/hg19_chr2_KI270776v1_alt
NW_003315913.1	dcid:bio/hg19_chr3_GL383526v1_alt
NW_003871060.2	dcid:bio/hg19_chr3_JH636055v2_alt
NT_187533.1	dcid:bio/hg19_chr3_KI270777v1_alt
NT_187536.1	dcid:bio/hg19_chr3_KI270778v1_alt
NT_187532.1	dcid:bio/hg19_chr3_KI270779v1_alt
NT_187537.1	dcid:bio/hg19_chr3_KI270780v1_alt
NT_187538.1	dcid:bio/hg19_chr3_KI270781v1_alt
NT_187534.1	dcid:bio/hg19_chr3_KI270782v1_alt
NT_187535.1	dcid:bio/hg19_chr3_KI270783v1_alt
NT_187539.1	dcid:bio/hg19_chr3_KI270784v1_alt
NT_167250.2	dcid:bio/hg19_chr4_GL000257v2_alt
NW_003315914.1	dcid:bio/hg19_chr4_GL383527v1_alt
NW_003315915.1	dcid:bio/hg19_chr4_GL383528v1_alt
NT_187542.1	dcid:bio/hg19_chr4_KI270785v1_alt
NT_187543.1	dcid:bio/hg19_chr4_KI270786v1_alt
NT_187541.1	dcid:bio/hg19_chr4_KI270787v1_alt
NT_187544.1	dcid:bio/hg19_chr4_KI270788v1_alt
NT_187545.1	dcid:bio/hg19_chr4_KI270789v1_alt
NT_187540.1	dcid:bio/hg19_chr4_KI270790v1_alt
NW_003315917.2	dcid:bio/hg19_chr5_GL339449v2_alt
NW_003315918.1	dcid:bio/hg19_chr5_GL383530v1_alt
NW_003315919.1	dcid:bio/hg19_chr5_GL383531v1_alt
NW_003315920.1	dcid:bio/hg19_chr5_GL383532v1_alt
NW_003571036.1	dcid:bio/hg19_chr5_GL949742v1_alt
NT_187547.1	dcid:bio/hg19_chr5_KI270791v1_alt
NT_187548.1	dcid:bio/hg19_chr5_KI270792v1_alt
NT_187550.1	dcid:bio/hg19_chr5_KI270793v1_alt
NT_187551.1	dcid:bio/hg19_chr5_KI270794v1_alt
NT_187546.1	dcid:bio/hg19_chr5_KI270795v1_alt
NT_187549.1	dcid:bio/hg19_chr5_KI270796v1_alt
NT_167244.2	dcid:bio/hg19_chr6_GL000250v2_alt
NW_003315921.1	dcid:bio/hg19_chr6_GL383533v1_alt
NW_004166862.2	dcid:bio/hg19_chr6_KB021644v2_alt
NT_187552.1	dcid:bio/hg19_chr6_KI270797v1_alt
NT_187553.1	dcid:bio/hg19_chr6_KI270798v1_alt
NT_187554.1	dcid:bio/hg19_chr6_KI270799v1_alt
NT_187555.1	dcid:bio/hg19_chr6_KI270800v1_alt
NT_187556.1	dcid:bio/hg19_chr6_KI270801v1_alt
NT_187557.1	dcid:bio/hg19_chr6_KI270802v1_alt
NW_003315922.2	dcid:bio/hg19_chr7_GL383534v2_alt
NT_187562.1	dcid:bio/hg19_chr7_KI270803v1_alt
NT_187558.1	dcid:bio/hg19_chr7_KI270804v1_alt
NT_187560.1	dcid:bio/hg19_chr7_KI270805v1_alt
NT_187559.1	dcid:bio/hg19_chr7_KI270806v1_alt
NT_187563.1	dcid:bio/hg19_chr7_KI270807v1_alt
NT_187564.1	dcid:bio/hg19_chr7_KI270808v1_alt
NT_187561.1	dcid:bio/hg19_chr7_KI270809v1_alt
NT_187567.1	dcid:bio/hg19_chr8_KI270810v1_alt
NT_187565.1	dcid:bio/hg19_chr8_KI270811v1_alt
NT_187568.1	dcid:bio/hg19_chr8_KI270812v1_alt
NT_187570.1	dcid:bio/hg19_chr8_KI270813v1_alt
NT_187566.1	dcid:bio/hg19_chr8_KI270814v1_alt
NT_187569.1	dcid:bio/hg19_chr8_KI270815v1_alt
NT_187571.1	dcid:bio/hg19_chr8_KI270816v1_alt
NT_187573.1	dcid:bio/hg19_chr8_KI270817v1_alt
NT_187572.1	dcid:bio/hg19_chr8_KI270818v1_alt
NT_187574.1	dcid:bio/hg19_chr8_KI270819v1_alt
NT_187575.1	dcid:bio/hg19_chr8_KI270820v1_alt
NT_187576.1	dcid:bio/hg19_chr8_KI270821v1_alt
NT_187577.1	dcid:bio/hg19_chr8_KI270822v1_alt
NW_003315928.1	dcid:bio/hg19_chr9_GL383539v1_alt
NW_003315929.1	dcid:bio/hg19_chr9_GL383540v1_alt
NW_003315930.1	dcid:bio/hg19_chr9_GL383541v1_alt
NW_003315931.1	dcid:bio/hg19_chr9_GL383542v1_alt
NT_187578.1	dcid:bio/hg19_chr9_KI270823v1_alt
NW_003315934.1	dcid:bio/hg19_chr10_GL383545v1_alt
NW_003315935.1	dcid:bio/hg19_chr10_GL383546v1_alt
NT_187579.1	dcid:bio/hg19_chr10_KI270824v1_alt
NT_187580.1	dcid:bio/hg19_chr10_KI270825v1_alt
NW_003315936.1	dcid:bio/hg19_chr11_GL383547v1_alt
NW_003871073.1	dcid:bio/hg19_chr11_JH159136v1_alt
NW_003871074.1	dcid:bio/hg19_chr11_JH159137v1_alt
NT_187581.1	dcid:bio/hg19_chr11_KI270826v1_alt
NT_187582.1	dcid:bio/hg19_chr11_KI270827v1_alt
NT_187583.1	dcid:bio/hg19_chr11_KI270829v1_alt
NT_187584.1	dcid:bio/hg19_chr11_KI270830v1_alt
NT_187585.1	dcid:bio/hg19_chr11_KI270831v1_alt
NT_187586.1	dcid:bio/hg19_chr11_KI270832v1_alt
NW_003315938.1	dcid:bio/hg19_chr12_GL383549v1_alt
NW_003315939.2	dcid:bio/hg19_chr12_GL383550v2_alt
NW_003315940.1	dcid:bio/hg19_chr12_GL383551v1_alt
NW_003315941.1	dcid:bio/hg19_chr12_GL383552v1_alt
NW_003315942.2	dcid:bio/hg19_chr12_GL383553v2_alt
NW_003571049.1	dcid:bio/hg19_chr12_GL877875v1_alt
NW_003571050.1	dcid:bio/hg19_chr12_GL877876v1_alt
NT_187589.1	dcid:bio/hg19_chr12_KI270833v1_alt
NT_187590.1	dcid:bio/hg19_chr12_KI270834v1_alt
NT_187587.1	dcid:bio/hg19_chr12_KI270835v1_alt
NT_187591.1	dcid:bio/hg19_chr12_KI270836v1_alt
NT_187588.1	dcid:bio/hg19_chr12_KI270837v1_alt
NT_187592.1	dcid:bio/hg19_chr13_KI270838v1_alt
NT_187593.1	dcid:bio/hg19_chr13_KI270839v1_alt
NT_187594.1	dcid:bio/hg19_chr13_KI270840v1_alt
NT_187595.1	dcid:bio/hg19_chr13_KI270841v1_alt
NT_187596.1	dcid:bio/hg19_chr13_KI270842v1_alt
NT_187597.1	dcid:bio/hg19_chr13_KI270843v1_alt
NT_187598.1	dcid:bio/hg19_chr14_KI270844v1_alt
NT_187599.1	dcid:bio/hg19_chr14_KI270845v1_alt
NT_187600.1	dcid:bio/hg19_chr14_KI270846v1_alt
NT_187601.1	dcid:bio/hg19_chr14_KI270847v1_alt
NW_003315943.1	dcid:bio/hg19_chr15_GL383554v1_alt
NW_003315944.2	dcid:bio/hg19_chr15_GL383555v2_alt
NT_187603.1	dcid:bio/hg19_chr15_KI270848v1_alt
NT_187605.1	dcid:bio/hg19_chr15_KI270849v1_alt
NT_187606.1	dcid:bio/hg19_chr15_KI270850v1_alt
NT_187604.1	dcid:bio/hg19_chr15_KI270851v1_alt
NT_187602.1	dcid:bio/hg19_chr15_KI270852v1_alt
NW_003315945.1	dcid:bio/hg19_chr16_GL383556v1_alt
NW_003315946.1	dcid:bio/hg19_chr16_GL383557v1_alt
NT_187607.1	dcid:bio/hg19_chr16_KI270853v1_alt
NT_187610.1	dcid:bio/hg19_chr16_KI270854v1_alt
NT_187608.1	dcid:bio/hg19_chr16_KI270855v1_alt
NT_187609.1	dcid:bio/hg19_chr16_KI270856v1_alt
NT_167251.2	dcid:bio/hg19_chr17_GL000258v2_alt
NW_003315952.3	dcid:bio/hg19_chr17_GL383563v3_alt
NW_003315953.2	dcid:bio/hg19_chr17_GL383564v2_alt
NW_003315954.1	dcid:bio/hg19_chr17_GL383565v1_alt
NW_003315955.1	dcid:bio/hg19_chr17_GL383566v1_alt
NW_003871091.1	dcid:bio/hg19_chr17_JH159146v1_alt
NW_003871092.1	dcid:bio/hg19_chr17_JH159147v1_alt
NT_187614.1	dcid:bio/hg19_chr17_KI270857v1_alt
NT_187615.1	dcid:bio/hg19_chr17_KI270858v1_alt
NT_187616.1	dcid:bio/hg19_chr17_KI270859v1_alt
NT_187612.1	dcid:bio/hg19_chr17_KI270860v1_alt
NT_187611.1	dcid:bio/hg19_chr17_KI270861v1_alt
NT_187613.1	dcid:bio/hg19_chr17_KI270862v1_alt
NW_003315956.1	dcid:bio/hg19_chr18_GL383567v1_alt
NW_003315957.1	dcid:bio/hg19_chr18_GL383568v1_alt
NW_003315958.1	dcid:bio/hg19_chr18_GL383569v1_alt
NW_003315959.1	dcid:bio/hg19_chr18_GL383570v1_alt
NW_003315960.1	dcid:bio/hg19_chr18_GL383571v1_alt
NW_003315961.1	dcid:bio/hg19_chr18_GL383572v1_alt
NT_187617.1	dcid:bio/hg19_chr18_KI270863v1_alt
NT_187618.1	dcid:bio/hg19_chr18_KI270864v1_alt
NW_003315962.1	dcid:bio/hg19_chr19_GL383573v1_alt
NW_003315963.1	dcid:bio/hg19_chr19_GL383574v1_alt
NW_003315964.2	dcid:bio/hg19_chr19_GL383575v2_alt
NW_003315965.1	dcid:bio/hg19_chr19_GL383576v1_alt
NW_003571054.1	dcid:bio/hg19_chr19_GL949746v1_alt
NT_187621.1	dcid:bio/hg19_chr19_KI270865v1_alt
NT_187619.1	dcid:bio/hg19_chr19_KI270866v1_alt
NT_187620.1	dcid:bio/hg19_chr19_KI270867v1_alt
NT_187622.1	dcid:bio/hg19_chr19_KI270868v1_alt
