observationAbout,observationDate,value,variableMeasured,observationPeriod
dcid:country/USA,2024-06,19800,dcid:Count_Death_Upto1Years,P1Y
dcid:geoId/01,2023-01,5459,dcid:Count_Death,P1M
dcid:geoId/02,2023-01,508,dcid:Count_Death,P1M
dcid:geoId/04,2023-01,6446,dcid:Count_Death,P1M
dcid:geoId/05,2023-01,3358,dcid:Count_Death,P1M
dcid:geoId/06,2023-01,28009,dcid:Count_Death,P1M
dcid:geoId/08,2023-01,4037,dcid:Count_Death,P1M
dcid:geoId/09,2023-01,3111,dcid:Count_Death,P1M
dcid:geoId/10,2023-01,992,dcid:Count_Death,P1M
dcid:geoId/11,2023-01,447,dcid:Count_Death,P1M
dcid:geoId/12,2023-01,21746,dcid:Count_Death,P1M
dcid:geoId/13,2023-01,9149,dcid:Count_Death,P1M
dcid:geoId/15,2023-01,1171,dcid:Count_Death,P1M
dcid:geoId/16,2023-01,1443,dcid:Count_Death,P1M
dcid:geoId/17,2023-01,10452,dcid:Count_Death,P1M
dcid:geoId/18,2023-01,6372,dcid:Count_Death,P1M
dcid:geoId/19,2023-01,3050,dcid:Count_Death,P1M
dcid:geoId/20,2023-01,3417,dcid:Count_Death,P1M
dcid:geoId/21,2023-01,4981,dcid:Count_Death,P1M
dcid:geoId/22,2023-01,4578,dcid:Count_Death,P1M
dcid:geoId/23,2023-01,1575,dcid:Count_Death,P1M
dcid:geoId/24,2023-01,5015,dcid:Count_Death,P1M
dcid:geoId/25,2023-01,5842,dcid:Count_Death,P1M
dcid:geoId/26,2023-01,9526,dcid:Count_Death,P1M
dcid:geoId/27,2023-01,4432,dcid:Count_Death,P1M
dcid:geoId/28,2023-01,3244,dcid:Count_Death,P1M
dcid:geoId/29,2023-01,6074,dcid:Count_Death,P1M
dcid:geoId/30,2023-01,997,dcid:Count_Death,P1M
dcid:geoId/31,2023-01,1639,dcid:Count_Death,P1M
dcid:geoId/32,2023-01,2681,dcid:Count_Death,P1M
dcid:geoId/33,2023-01,1371,dcid:Count_Death,P1M
dcid:geoId/34,2023-01,7008,dcid:Count_Death,P1M
dcid:geoId/35,2023-01,2083,dcid:Count_Death,P1M
dcid:geoId/36,2023-01,15563,dcid:Count_Death,P1M
dcid:geoId/37,2023-01,10027,dcid:Count_Death,P1M
dcid:geoId/38,2023-01,657,dcid:Count_Death,P1M
dcid:geoId/39,2023-01,11787,dcid:Count_Death,P1M
dcid:geoId/40,2023-01,4193,dcid:Count_Death,P1M
dcid:geoId/41,2023-01,3908,dcid:Count_Death,P1M
dcid:geoId/42,2023-01,13010,dcid:Count_Death,P1M
dcid:geoId/44,2023-01,1001,dcid:Count_Death,P1M
dcid:geoId/45,2023-01,5363,dcid:Count_Death,P1M
dcid:geoId/46,2023-01,750,dcid:Count_Death,P1M
dcid:geoId/47,2023-01,7385,dcid:Count_Death,P1M
dcid:geoId/48,2023-01,21289,dcid:Count_Death,P1M
dcid:geoId/49,2023-01,1967,dcid:Count_Death,P1M
dcid:geoId/50,2023-01,625,dcid:Count_Death,P1M
dcid:geoId/51,2023-01,7302,dcid:Count_Death,P1M
dcid:geoId/53,2023-01,6143,dcid:Count_Death,P1M
dcid:geoId/54,2023-01,2372,dcid:Count_Death,P1M
dcid:geoId/55,2023-01,5308,dcid:Count_Death,P1M
dcid:geoId/56,2023-01,503,dcid:Count_Death,P1M
dcid:geoId/72,2023-01,3197,dcid:Count_Death,P1M
dcid:geoId/01,2023-02,4864,dcid:Count_Death,P1M
dcid:geoId/02,2023-02,426,dcid:Count_Death,P1M
dcid:geoId/04,2023-02,5690,dcid:Count_Death,P1M
dcid:geoId/05,2023-02,2871,dcid:Count_Death,P1M
dcid:geoId/06,2023-02,24546,dcid:Count_Death,P1M
dcid:geoId/08,2023-02,3536,dcid:Count_Death,P1M
dcid:geoId/09,2023-02,2678,dcid:Count_Death,P1M
dcid:geoId/10,2023-02,886,dcid:Count_Death,P1M
dcid:geoId/11,2023-02,390,dcid:Count_Death,P1M
dcid:geoId/12,2023-02,18461,dcid:Count_Death,P1M
dcid:geoId/13,2023-02,7681,dcid:Count_Death,P1M
dcid:geoId/15,2023-02,995,dcid:Count_Death,P1M
dcid:geoId/16,2023-02,1247,dcid:Count_Death,P1M
dcid:geoId/17,2023-02,9046,dcid:Count_Death,P1M
dcid:geoId/18,2023-02,5438,dcid:Count_Death,P1M
dcid:geoId/19,2023-02,2628,dcid:Count_Death,P1M
dcid:geoId/20,2023-02,2956,dcid:Count_Death,P1M
dcid:geoId/21,2023-02,4365,dcid:Count_Death,P1M
dcid:geoId/22,2023-02,4077,dcid:Count_Death,P1M
dcid:geoId/23,2023-02,1353,dcid:Count_Death,P1M
dcid:geoId/24,2023-02,4320,dcid:Count_Death,P1M
dcid:geoId/25,2023-02,4988,dcid:Count_Death,P1M
dcid:geoId/26,2023-02,8244,dcid:Count_Death,P1M
dcid:geoId/27,2023-02,3867,dcid:Count_Death,P1M
dcid:geoId/28,2023-02,2806,dcid:Count_Death,P1M
dcid:geoId/29,2023-02,5297,dcid:Count_Death,P1M
dcid:geoId/30,2023-02,861,dcid:Count_Death,P1M
dcid:geoId/31,2023-02,1457,dcid:Count_Death,P1M
dcid:geoId/32,2023-02,2319,dcid:Count_Death,P1M
dcid:geoId/33,2023-02,1102,dcid:Count_Death,P1M
dcid:geoId/34,2023-02,6117,dcid:Count_Death,P1M
dcid:geoId/35,2023-02,1702,dcid:Count_Death,P1M
dcid:geoId/36,2023-02,13051,dcid:Count_Death,P1M
dcid:geoId/37,2023-02,8513,dcid:Count_Death,P1M
dcid:geoId/38,2023-02,487,dcid:Count_Death,P1M
dcid:geoId/39,2023-02,10164,dcid:Count_Death,P1M
dcid:geoId/40,2023-02,3486,dcid:Count_Death,P1M
dcid:geoId/41,2023-02,3456,dcid:Count_Death,P1M
dcid:geoId/42,2023-02,11150,dcid:Count_Death,P1M
dcid:geoId/44,2023-02,831,dcid:Count_Death,P1M
dcid:geoId/45,2023-02,4567,dcid:Count_Death,P1M
dcid:geoId/46,2023-02,635,dcid:Count_Death,P1M
dcid:geoId/47,2023-02,6273,dcid:Count_Death,P1M
dcid:geoId/48,2023-02,18596,dcid:Count_Death,P1M
dcid:geoId/49,2023-02,1600,dcid:Count_Death,P1M
dcid:geoId/50,2023-02,540,dcid:Count_Death,P1M
dcid:geoId/51,2023-02,6313,dcid:Count_Death,P1M
dcid:geoId/53,2023-02,5244,dcid:Count_Death,P1M
dcid:geoId/54,2023-02,2074,dcid:Count_Death,P1M
dcid:geoId/55,2023-02,4543,dcid:Count_Death,P1M
dcid:geoId/56,2023-02,448,dcid:Count_Death,P1M
dcid:geoId/72,2023-02,2754,dcid:Count_Death,P1M
dcid:geoId/01,2023-03,5055,dcid:Count_Death,P1M
dcid:geoId/02,2023-03,449,dcid:Count_Death,P1M
dcid:geoId/04,2023-03,6150,dcid:Count_Death,P1M
dcid:geoId/05,2023-03,3086,dcid:Count_Death,P1M
dcid:geoId/06,2023-03,26450,dcid:Count_Death,P1M
dcid:geoId/08,2023-03,3843,dcid:Count_Death,P1M
dcid:geoId/09,2023-03,2720,dcid:Count_Death,P1M
dcid:geoId/10,2023-03,967,dcid:Count_Death,P1M
dcid:geoId/11,2023-03,434,dcid:Count_Death,P1M
dcid:geoId/12,2023-03,20058,dcid:Count_Death,P1M
dcid:geoId/13,2023-03,8237,dcid:Count_Death,P1M
dcid:geoId/15,2023-03,1187,dcid:Count_Death,P1M
dcid:geoId/16,2023-03,1413,dcid:Count_Death,P1M
dcid:geoId/17,2023-03,9732,dcid:Count_Death,P1M
dcid:geoId/18,2023-03,6024,dcid:Count_Death,P1M
dcid:geoId/19,2023-03,2875,dcid:Count_Death,P1M
dcid:geoId/20,2023-03,3305,dcid:Count_Death,P1M
dcid:geoId/21,2023-03,4636,dcid:Count_Death,P1M
dcid:geoId/22,2023-03,4224,dcid:Count_Death,P1M
dcid:geoId/23,2023-03,1422,dcid:Count_Death,P1M
dcid:geoId/24,2023-03,4581,dcid:Count_Death,P1M
dcid:geoId/25,2023-03,5193,dcid:Count_Death,P1M
dcid:geoId/26,2023-03,8976,dcid:Count_Death,P1M
dcid:geoId/27,2023-03,4257,dcid:Count_Death,P1M
dcid:geoId/28,2023-03,2939,dcid:Count_Death,P1M
dcid:geoId/29,2023-03,5952,dcid:Count_Death,P1M
dcid:geoId/30,2023-03,1006,dcid:Count_Death,P1M
dcid:geoId/31,2023-03,1620,dcid:Count_Death,P1M
dcid:geoId/32,2023-03,2515,dcid:Count_Death,P1M
dcid:geoId/33,2023-03,1212,dcid:Count_Death,P1M
dcid:geoId/34,2023-03,6527,dcid:Count_Death,P1M
dcid:geoId/35,2023-03,1942,dcid:Count_Death,P1M
dcid:geoId/36,2023-03,13954,dcid:Count_Death,P1M
dcid:geoId/37,2023-03,9309,dcid:Count_Death,P1M
dcid:geoId/38,2023-03,581,dcid:Count_Death,P1M
dcid:geoId/39,2023-03,11315,dcid:Count_Death,P1M
dcid:geoId/40,2023-03,3834,dcid:Count_Death,P1M
dcid:geoId/41,2023-03,3709,dcid:Count_Death,P1M
dcid:geoId/42,2023-03,12066,dcid:Count_Death,P1M
dcid:geoId/44,2023-03,907,dcid:Count_Death,P1M
dcid:geoId/45,2023-03,5061,dcid:Count_Death,P1M
dcid:geoId/46,2023-03,707,dcid:Count_Death,P1M
dcid:geoId/47,2023-03,6886,dcid:Count_Death,P1M
dcid:geoId/48,2023-03,19652,dcid:Count_Death,P1M
dcid:geoId/49,2023-03,1789,dcid:Count_Death,P1M
dcid:geoId/50,2023-03,595,dcid:Count_Death,P1M
dcid:geoId/51,2023-03,6715,dcid:Count_Death,P1M
dcid:geoId/53,2023-03,5751,dcid:Count_Death,P1M
dcid:geoId/54,2023-03,2154,dcid:Count_Death,P1M
dcid:geoId/55,2023-03,4928,dcid:Count_Death,P1M
dcid:geoId/56,2023-03,489,dcid:Count_Death,P1M
dcid:geoId/72,2023-03,2889,dcid:Count_Death,P1M
dcid:geoId/01,2023-04,4735,dcid:Count_Death,P1M
dcid:geoId/02,2023-04,452,dcid:Count_Death,P1M
dcid:geoId/04,2023-04,5965,dcid:Count_Death,P1M
dcid:geoId/05,2023-04,2882,dcid:Count_Death,P1M
dcid:geoId/06,2023-04,24315,dcid:Count_Death,P1M
dcid:geoId/08,2023-04,3794,dcid:Count_Death,P1M
dcid:geoId/09,2023-04,2592,dcid:Count_Death,P1M
dcid:geoId/10,2023-04,915,dcid:Count_Death,P1M
dcid:geoId/11,2023-04,370,dcid:Count_Death,P1M
dcid:geoId/12,2023-04,18716,dcid:Count_Death,P1M
dcid:geoId/13,2023-04,7803,dcid:Count_Death,P1M
dcid:geoId/15,2023-04,1026,dcid:Count_Death,P1M
dcid:geoId/16,2023-04,1371,dcid:Count_Death,P1M
dcid:geoId/17,2023-04,9261,dcid:Count_Death,P1M
dcid:geoId/18,2023-04,5764,dcid:Count_Death,P1M
dcid:geoId/19,2023-04,2641,dcid:Count_Death,P1M
dcid:geoId/20,2023-04,3074,dcid:Count_Death,P1M
dcid:geoId/21,2023-04,4294,dcid:Count_Death,P1M
dcid:geoId/22,2023-04,3938,dcid:Count_Death,P1M
dcid:geoId/23,2023-04,1354,dcid:Count_Death,P1M
dcid:geoId/24,2023-04,4160,dcid:Count_Death,P1M
dcid:geoId/25,2023-04,4853,dcid:Count_Death,P1M
dcid:geoId/26,2023-04,8506,dcid:Count_Death,P1M
dcid:geoId/27,2023-04,4016,dcid:Count_Death,P1M
dcid:geoId/28,2023-04,2677,dcid:Count_Death,P1M
dcid:geoId/29,2023-04,5411,dcid:Count_Death,P1M
dcid:geoId/30,2023-04,946,dcid:Count_Death,P1M
dcid:geoId/31,2023-04,1574,dcid:Count_Death,P1M
dcid:geoId/32,2023-04,2472,dcid:Count_Death,P1M
dcid:geoId/33,2023-04,1111,dcid:Count_Death,P1M
dcid:geoId/34,2023-04,6070,dcid:Count_Death,P1M
dcid:geoId/35,2023-04,1926,dcid:Count_Death,P1M
dcid:geoId/36,2023-04,12884,dcid:Count_Death,P1M
dcid:geoId/37,2023-04,8596,dcid:Count_Death,P1M
dcid:geoId/38,2023-04,575,dcid:Count_Death,P1M
dcid:geoId/39,2023-04,10580,dcid:Count_Death,P1M
dcid:geoId/40,2023-04,3572,dcid:Count_Death,P1M
dcid:geoId/41,2023-04,3522,dcid:Count_Death,P1M
dcid:geoId/42,2023-04,11199,dcid:Count_Death,P1M
dcid:geoId/44,2023-04,905,dcid:Count_Death,P1M
dcid:geoId/45,2023-04,4632,dcid:Count_Death,P1M
dcid:geoId/46,2023-04,712,dcid:Count_Death,P1M
dcid:geoId/47,2023-04,6469,dcid:Count_Death,P1M
dcid:geoId/48,2023-04,18394,dcid:Count_Death,P1M
dcid:geoId/49,2023-04,1717,dcid:Count_Death,P1M
dcid:geoId/50,2023-04,574,dcid:Count_Death,P1M
dcid:geoId/51,2023-04,6277,dcid:Count_Death,P1M
dcid:geoId/53,2023-04,5545,dcid:Count_Death,P1M
dcid:geoId/54,2023-04,2045,dcid:Count_Death,P1M
dcid:geoId/55,2023-04,4646,dcid:Count_Death,P1M
dcid:geoId/56,2023-04,498,dcid:Count_Death,P1M
dcid:geoId/72,2023-04,2619,dcid:Count_Death,P1M
dcid:geoId/01,2023-05,5013,dcid:Count_Death,P1M
dcid:geoId/02,2023-05,443,dcid:Count_Death,P1M
dcid:geoId/04,2023-05,5687,dcid:Count_Death,P1M
dcid:geoId/05,2023-05,2904,dcid:Count_Death,P1M
dcid:geoId/06,2023-05,23737,dcid:Count_Death,P1M
dcid:geoId/08,2023-05,3678,dcid:Count_Death,P1M
dcid:geoId/09,2023-05,2612,dcid:Count_Death,P1M
dcid:geoId/10,2023-05,832,dcid:Count_Death,P1M
dcid:geoId/11,2023-05,445,dcid:Count_Death,P1M
dcid:geoId/12,2023-05,18749,dcid:Count_Death,P1M
dcid:geoId/13,2023-05,7885,dcid:Count_Death,P1M
dcid:geoId/15,2023-05,1022,dcid:Count_Death,P1M
dcid:geoId/16,2023-05,1385,dcid:Count_Death,P1M
dcid:geoId/17,2023-05,9406,dcid:Count_Death,P1M
dcid:geoId/18,2023-05,5786,dcid:Count_Death,P1M
dcid:geoId/19,2023-05,2670,dcid:Count_Death,P1M
dcid:geoId/20,2023-05,2895,dcid:Count_Death,P1M
dcid:geoId/21,2023-05,4268,dcid:Count_Death,P1M
dcid:geoId/22,2023-05,4079,dcid:Count_Death,P1M
dcid:geoId/23,2023-05,1357,dcid:Count_Death,P1M
dcid:geoId/24,2023-05,4276,dcid:Count_Death,P1M
dcid:geoId/25,2023-05,4880,dcid:Count_Death,P1M
dcid:geoId/26,2023-05,8682,dcid:Count_Death,P1M
dcid:geoId/27,2023-05,3934,dcid:Count_Death,P1M
dcid:geoId/28,2023-05,2887,dcid:Count_Death,P1M
dcid:geoId/29,2023-05,5462,dcid:Count_Death,P1M
dcid:geoId/30,2023-05,899,dcid:Count_Death,P1M
dcid:geoId/31,2023-05,1465,dcid:Count_Death,P1M
dcid:geoId/32,2023-05,2356,dcid:Count_Death,P1M
dcid:geoId/33,2023-05,1152,dcid:Count_Death,P1M
dcid:geoId/34,2023-05,6109,dcid:Count_Death,P1M
dcid:geoId/35,2023-05,1783,dcid:Count_Death,P1M
dcid:geoId/36,2023-05,13290,dcid:Count_Death,P1M
dcid:geoId/37,2023-05,8692,dcid:Count_Death,P1M
dcid:geoId/38,2023-05,591,dcid:Count_Death,P1M
dcid:geoId/39,2023-05,10533,dcid:Count_Death,P1M
dcid:geoId/40,2023-05,3600,dcid:Count_Death,P1M
dcid:geoId/41,2023-05,3279,dcid:Count_Death,P1M
dcid:geoId/42,2023-05,11304,dcid:Count_Death,P1M
dcid:geoId/44,2023-05,835,dcid:Count_Death,P1M
dcid:geoId/45,2023-05,4624,dcid:Count_Death,P1M
dcid:geoId/46,2023-05,712,dcid:Count_Death,P1M
dcid:geoId/47,2023-05,6511,dcid:Count_Death,P1M
dcid:geoId/48,2023-05,18696,dcid:Count_Death,P1M
dcid:geoId/49,2023-05,1706,dcid:Count_Death,P1M
dcid:geoId/50,2023-05,530,dcid:Count_Death,P1M
dcid:geoId/51,2023-05,6333,dcid:Count_Death,P1M
dcid:geoId/53,2023-05,5308,dcid:Count_Death,P1M
dcid:geoId/54,2023-05,1986,dcid:Count_Death,P1M
dcid:geoId/55,2023-05,4863,dcid:Count_Death,P1M
dcid:geoId/56,2023-05,461,dcid:Count_Death,P1M
dcid:geoId/72,2023-05,2732,dcid:Count_Death,P1M
dcid:geoId/01,2023-06,4513,dcid:Count_Death,P1M
dcid:geoId/02,2023-06,439,dcid:Count_Death,P1M
dcid:geoId/04,2023-06,5324,dcid:Count_Death,P1M
dcid:geoId/05,2023-06,2762,dcid:Count_Death,P1M
dcid:geoId/06,2023-06,22840,dcid:Count_Death,P1M
dcid:geoId/08,2023-06,3496,dcid:Count_Death,P1M
dcid:geoId/09,2023-06,2461,dcid:Count_Death,P1M
dcid:geoId/10,2023-06,835,dcid:Count_Death,P1M
dcid:geoId/11,2023-06,375,dcid:Count_Death,P1M
dcid:geoId/12,2023-06,18157,dcid:Count_Death,P1M
dcid:geoId/13,2023-06,7468,dcid:Count_Death,P1M
dcid:geoId/15,2023-06,997,dcid:Count_Death,P1M
dcid:geoId/16,2023-06,1315,dcid:Count_Death,P1M
dcid:geoId/17,2023-06,8810,dcid:Count_Death,P1M
dcid:geoId/18,2023-06,5521,dcid:Count_Death,P1M
dcid:geoId/19,2023-06,2545,dcid:Count_Death,P1M
dcid:geoId/20,2023-06,2771,dcid:Count_Death,P1M
dcid:geoId/21,2023-06,4127,dcid:Count_Death,P1M
dcid:geoId/22,2023-06,3844,dcid:Count_Death,P1M
dcid:geoId/23,2023-06,1290,dcid:Count_Death,P1M
dcid:geoId/24,2023-06,4072,dcid:Count_Death,P1M
dcid:geoId/25,2023-06,4746,dcid:Count_Death,P1M
dcid:geoId/26,2023-06,7963,dcid:Count_Death,P1M
dcid:geoId/27,2023-06,3862,dcid:Count_Death,P1M
dcid:geoId/28,2023-06,2749,dcid:Count_Death,P1M
dcid:geoId/29,2023-06,5265,dcid:Count_Death,P1M
dcid:geoId/30,2023-06,884,dcid:Count_Death,P1M
dcid:geoId/31,2023-06,1404,dcid:Count_Death,P1M
dcid:geoId/32,2023-06,2211,dcid:Count_Death,P1M
dcid:geoId/33,2023-06,1075,dcid:Count_Death,P1M
dcid:geoId/34,2023-06,5838,dcid:Count_Death,P1M
dcid:geoId/35,2023-06,1756,dcid:Count_Death,P1M
dcid:geoId/36,2023-06,12372,dcid:Count_Death,P1M
dcid:geoId/37,2023-06,8449,dcid:Count_Death,P1M
dcid:geoId/38,2023-06,524,dcid:Count_Death,P1M
dcid:geoId/39,2023-06,9952,dcid:Count_Death,P1M
dcid:geoId/40,2023-06,3450,dcid:Count_Death,P1M
dcid:geoId/41,2023-06,3364,dcid:Count_Death,P1M
dcid:geoId/42,2023-06,10770,dcid:Count_Death,P1M
dcid:geoId/44,2023-06,833,dcid:Count_Death,P1M
dcid:geoId/45,2023-06,4605,dcid:Count_Death,P1M
dcid:geoId/46,2023-06,634,dcid:Count_Death,P1M
dcid:geoId/47,2023-06,6224,dcid:Count_Death,P1M
dcid:geoId/48,2023-06,18340,dcid:Count_Death,P1M
dcid:geoId/49,2023-06,1643,dcid:Count_Death,P1M
dcid:geoId/50,2023-06,498,dcid:Count_Death,P1M
dcid:geoId/51,2023-06,6019,dcid:Count_Death,P1M
dcid:geoId/53,2023-06,5101,dcid:Count_Death,P1M
dcid:geoId/54,2023-06,1852,dcid:Count_Death,P1M
