territory,value,period,statisticalVariable
IN-PY,3.3,2000-03,dcs:UnemploymentRate_Person_Urban_Male
IN,4.5,2000-03,dcs:UnemploymentRate_Person_Urban_Male
IN-AP,3.6,2005-03,dcs:UnemploymentRate_Person_Urban_Male
IN-AR,1.1,2005-03,dcs:UnemploymentRate_Person_Urban_Male
IN-AS,6.9,2005-03,dcs:UnemploymentRate_Person_Urban_Male
IN-BR,6.7,2005-03,dcs:UnemploymentRate_Person_Urban_Male
IN-CT,3.8,2005-03,dcs:UnemploymentRate_Person_Urban_Male
IN-DL,4.6,2005-03,dcs:UnemploymentRate_Person_Urban_Male
IN-GA,7.6,2005-03,dcs:UnemploymentRate_Person_Urban_Male
IN-GJ,2.3,2005-03,dcs:UnemploymentRate_Person_Urban_Male
IN-HR,3.2,2005-03,dcs:UnemploymentRate_Person_Urban_Male
IN-HP,1.7,2005-03,dcs:UnemploymentRate_Person_Urban_Male
IN-JK,3.7,2005-03,dcs:UnemploymentRate_Person_Urban_Male
IN-JH,7.5,2005-03,dcs:UnemploymentRate_Person_Urban_Male
IN-KA,1.9,2005-03,dcs:UnemploymentRate_Person_Urban_Male
IN-KL,6.2,2005-03,dcs:UnemploymentRate_Person_Urban_Male
IN-MP,3.1,2005-03,dcs:UnemploymentRate_Person_Urban_Male
IN-MH,3.5,2005-03,dcs:UnemploymentRate_Person_Urban_Male
IN-MN,5.2,2005-03,dcs:UnemploymentRate_Person_Urban_Male
IN-ML,3.5,2005-03,dcs:UnemploymentRate_Person_Urban_Male
IN-MZ,1.6,2005-03,dcs:UnemploymentRate_Person_Urban_Male
IN-NL,4.6,2005-03,dcs:UnemploymentRate_Person_Urban_Male
IN-OR,9.0,2005-03,dcs:UnemploymentRate_Person_Urban_Male
IN-PB,2.9,2005-03,dcs:UnemploymentRate_Person_Urban_Male
IN-RJ,2.8,2005-03,dcs:UnemploymentRate_Person_Urban_Male
IN-SK,3.6,2005-03,dcs:UnemploymentRate_Person_Urban_Male
IN-TN,2.9,2005-03,dcs:UnemploymentRate_Person_Urban_Male
IN-TR,16.6,2005-03,dcs:UnemploymentRate_Person_Urban_Male
IN-UT,4.2,2005-03,dcs:UnemploymentRate_Person_Urban_Male
IN-UP,3.5,2005-03,dcs:UnemploymentRate_Person_Urban_Male
IN-WB,5.6,2005-03,dcs:UnemploymentRate_Person_Urban_Male
IN-AN,6.5,2005-03,dcs:UnemploymentRate_Person_Urban_Male
IN-CH,3.1,2005-03,dcs:UnemploymentRate_Person_Urban_Male
IN-DN,1.3,2005-03,dcs:UnemploymentRate_Person_Urban_Male
IN-DD,2.8,2005-03,dcs:UnemploymentRate_Person_Urban_Male
IN-LD,11.1,2005-03,dcs:UnemploymentRate_Person_Urban_Male
IN-PY,4.1,2005-03,dcs:UnemploymentRate_Person_Urban_Male
IN,3.8,2005-03,dcs:UnemploymentRate_Person_Urban_Male
IN-AP,2.5,2010-03,dcs:UnemploymentRate_Person_Urban_Male
IN-AR,3.4,2010-03,dcs:UnemploymentRate_Person_Urban_Male
IN-AS,4.0,2010-03,dcs:UnemploymentRate_Person_Urban_Male
IN-BR,6.3,2010-03,dcs:UnemploymentRate_Person_Urban_Male
IN-CT,3.1,2010-03,dcs:UnemploymentRate_Person_Urban_Male
IN-DL,2.6,2010-03,dcs:UnemploymentRate_Person_Urban_Male
IN-GA,3.5,2010-03,dcs:UnemploymentRate_Person_Urban_Male
IN-GJ,1.5,2010-03,dcs:UnemploymentRate_Person_Urban_Male
IN-HR,2.2,2010-03,dcs:UnemploymentRate_Person_Urban_Male
IN-HP,3.1,2010-03,dcs:UnemploymentRate_Person_Urban_Male
IN-JK,4.7,2010-03,dcs:UnemploymentRate_Person_Urban_Male
IN-JH,5.3,2010-03,dcs:UnemploymentRate_Person_Urban_Male
IN-KA,2.4,2010-03,dcs:UnemploymentRate_Person_Urban_Male
IN-KL,2.9,2010-03,dcs:UnemploymentRate_Person_Urban_Male
IN-MP,2.7,2010-03,dcs:UnemploymentRate_Person_Urban_Male
IN-MH,2.8,2010-03,dcs:UnemploymentRate_Person_Urban_Male
IN-MN,5.0,2010-03,dcs:UnemploymentRate_Person_Urban_Male
IN-ML,3.0,2010-03,dcs:UnemploymentRate_Person_Urban_Male
IN-MZ,2.5,2010-03,dcs:UnemploymentRate_Person_Urban_Male
IN-NL,6.1,2010-03,dcs:UnemploymentRate_Person_Urban_Male
IN-OR,4.0,2010-03,dcs:UnemploymentRate_Person_Urban_Male
IN-PB,4.4,2010-03,dcs:UnemploymentRate_Person_Urban_Male
IN-RJ,1.7,2010-03,dcs:UnemploymentRate_Person_Urban_Male
IN-TN,2.4,2010-03,dcs:UnemploymentRate_Person_Urban_Male
IN-TR,9.3,2010-03,dcs:UnemploymentRate_Person_Urban_Male
IN-UT,2.9,2010-03,dcs:UnemploymentRate_Person_Urban_Male
IN-UP,2.9,2010-03,dcs:UnemploymentRate_Person_Urban_Male
IN-WB,3.5,2010-03,dcs:UnemploymentRate_Person_Urban_Male
IN-AN,4.2,2010-03,dcs:UnemploymentRate_Person_Urban_Male
IN-CH,3.0,2010-03,dcs:UnemploymentRate_Person_Urban_Male
IN-DN,4.2,2010-03,dcs:UnemploymentRate_Person_Urban_Male
IN-DD,2.7,2010-03,dcs:UnemploymentRate_Person_Urban_Male
IN-LD,8.7,2010-03,dcs:UnemploymentRate_Person_Urban_Male
IN-PY,2.0,2010-03,dcs:UnemploymentRate_Person_Urban_Male
IN,2.8,2010-03,dcs:UnemploymentRate_Person_Urban_Male
IN-AP,3.9,2012-03,dcs:UnemploymentRate_Person_Urban_Male
IN-AR,3.6,2012-03,dcs:UnemploymentRate_Person_Urban_Male
IN-AS,5.4,2012-03,dcs:UnemploymentRate_Person_Urban_Male
IN-BR,4.5,2012-03,dcs:UnemploymentRate_Person_Urban_Male
IN-CT,4.1,2012-03,dcs:UnemploymentRate_Person_Urban_Male
IN-DL,3.3,2012-03,dcs:UnemploymentRate_Person_Urban_Male
IN-GA,2.9,2012-03,dcs:UnemploymentRate_Person_Urban_Male
IN-GJ,0.6,2012-03,dcs:UnemploymentRate_Person_Urban_Male
IN-HR,4.0,2012-03,dcs:UnemploymentRate_Person_Urban_Male
IN-HP,1.9,2012-03,dcs:UnemploymentRate_Person_Urban_Male
IN-JK,4.1,2012-03,dcs:UnemploymentRate_Person_Urban_Male
IN-JH,4.6,2012-03,dcs:UnemploymentRate_Person_Urban_Male
IN-KA,2.4,2012-03,dcs:UnemploymentRate_Person_Urban_Male
IN-KL,2.7,2012-03,dcs:UnemploymentRate_Person_Urban_Male
IN-MP,2.4,2012-03,dcs:UnemploymentRate_Person_Urban_Male
IN-MH,1.8,2012-03,dcs:UnemploymentRate_Person_Urban_Male
IN-MN,5.6,2012-03,dcs:UnemploymentRate_Person_Urban_Male
IN-ML,2.4,2012-03,dcs:UnemploymentRate_Person_Urban_Male
IN-MZ,4.0,2012-03,dcs:UnemploymentRate_Person_Urban_Male
IN-NL,19.1,2012-03,dcs:UnemploymentRate_Person_Urban_Male
IN-OR,3.9,2012-03,dcs:UnemploymentRate_Person_Urban_Male
IN-PB,2.6,2012-03,dcs:UnemploymentRate_Person_Urban_Male
IN-RJ,3.2,2012-03,dcs:UnemploymentRate_Person_Urban_Male
IN-SK,3.2,2012-03,dcs:UnemploymentRate_Person_Urban_Male
IN-TN,2.1,2012-03,dcs:UnemploymentRate_Person_Urban_Male
IN-TR,11.5,2012-03,dcs:UnemploymentRate_Person_Urban_Male
IN-UT,2.5,2012-03,dcs:UnemploymentRate_Person_Urban_Male
IN-UP,4.2,2012-03,dcs:UnemploymentRate_Person_Urban_Male
IN-WB,4.3,2012-03,dcs:UnemploymentRate_Person_Urban_Male
IN-AN,4.0,2012-03,dcs:UnemploymentRate_Person_Urban_Male
IN-CH,5.7,2012-03,dcs:UnemploymentRate_Person_Urban_Male
IN-LD,5.3,2012-03,dcs:UnemploymentRate_Person_Urban_Male
IN-PY,2.7,2012-03,dcs:UnemploymentRate_Person_Urban_Male
IN,3.0,2012-03,dcs:UnemploymentRate_Person_Urban_Male
IN-AP,5.4,2018-03,dcs:UnemploymentRate_Person_Urban_Male
IN-AR,8.2,2018-03,dcs:UnemploymentRate_Person_Urban_Male
IN-AS,5.3,2018-03,dcs:UnemploymentRate_Person_Urban_Male
IN-BR,9.2,2018-03,dcs:UnemploymentRate_Person_Urban_Male
IN-CT,5.9,2018-03,dcs:UnemploymentRate_Person_Urban_Male
IN-DL,9.6,2018-03,dcs:UnemploymentRate_Person_Urban_Male
IN-GA,6.0,2018-03,dcs:UnemploymentRate_Person_Urban_Male
IN-GJ,4.3,2018-03,dcs:UnemploymentRate_Person_Urban_Male
IN-HR,6.5,2018-03,dcs:UnemploymentRate_Person_Urban_Male
IN-HP,7.4,2018-03,dcs:UnemploymentRate_Person_Urban_Male
IN-JK,6.1,2018-03,dcs:UnemploymentRate_Person_Urban_Male
IN-JH,10.4,2018-03,dcs:UnemploymentRate_Person_Urban_Male
IN-KA,6.3,2018-03,dcs:UnemploymentRate_Person_Urban_Male
IN-KL,6.6,2018-03,dcs:UnemploymentRate_Person_Urban_Male
IN-MP,7.9,2018-03,dcs:UnemploymentRate_Person_Urban_Male
IN-MH,6.2,2018-03,dcs:UnemploymentRate_Person_Urban_Male
IN-MN,11.1,2018-03,dcs:UnemploymentRate_Person_Urban_Male
IN-ML,5.6,2018-03,dcs:UnemploymentRate_Person_Urban_Male
IN-MZ,12.7,2018-03,dcs:UnemploymentRate_Person_Urban_Male
IN-NL,16.5,2018-03,dcs:UnemploymentRate_Person_Urban_Male
IN-OR,7.3,2018-03,dcs:UnemploymentRate_Person_Urban_Male
IN-PB,6.5,2018-03,dcs:UnemploymentRate_Person_Urban_Male
IN-RJ,6.8,2018-03,dcs:UnemploymentRate_Person_Urban_Male
IN-SK,4.2,2018-03,dcs:UnemploymentRate_Person_Urban_Male
IN-TN,6.5,2018-03,dcs:UnemploymentRate_Person_Urban_Male
IN-TR,6.0,2018-03,dcs:UnemploymentRate_Person_Urban_Male
IN-UT,7.1,2018-03,dcs:UnemploymentRate_Person_Urban_Male
IN-UP,9.6,2018-03,dcs:UnemploymentRate_Person_Urban_Male
IN-WB,6.7,2018-03,dcs:UnemploymentRate_Person_Urban_Male
IN-AN,3.4,2018-03,dcs:UnemploymentRate_Person_Urban_Male
IN-CH,5.2,2018-03,dcs:UnemploymentRate_Person_Urban_Male
IN-DN,0.1,2018-03,dcs:UnemploymentRate_Person_Urban_Male
IN-DD,2.3,2018-03,dcs:UnemploymentRate_Person_Urban_Male
IN-LD,13.2,2018-03,dcs:UnemploymentRate_Person_Urban_Male
IN-PY,8.0,2018-03,dcs:UnemploymentRate_Person_Urban_Male
IN,7.1,2018-03,dcs:UnemploymentRate_Person_Urban_Male
IN-AP,6.2,2019-03,dcs:UnemploymentRate_Person_Urban_Male
IN-AR,7.4,2019-03,dcs:UnemploymentRate_Person_Urban_Male
IN-AS,9.9,2019-03,dcs:UnemploymentRate_Person_Urban_Male
IN-BR,10.4,2019-03,dcs:UnemploymentRate_Person_Urban_Male
IN-CT,4.6,2019-03,dcs:UnemploymentRate_Person_Urban_Male
IN-DL,10.9,2019-03,dcs:UnemploymentRate_Person_Urban_Male
IN-GA,6.9,2019-03,dcs:UnemploymentRate_Person_Urban_Male
IN-GJ,3.4,2019-03,dcs:UnemploymentRate_Person_Urban_Male
IN-HR,8.6,2019-03,dcs:UnemploymentRate_Person_Urban_Male
IN-HP,6.5,2019-03,dcs:UnemploymentRate_Person_Urban_Male
IN-JK,5.6,2019-03,dcs:UnemploymentRate_Person_Urban_Male
IN-JH,8.7,2019-03,dcs:UnemploymentRate_Person_Urban_Male
IN-KA,5.0,2019-03,dcs:UnemploymentRate_Person_Urban_Male
IN-KL,5.2,2019-03,dcs:UnemploymentRate_Person_Urban_Male
IN-MP,7.7,2019-03,dcs:UnemploymentRate_Person_Urban_Male
IN-MH,5.2,2019-03,dcs:UnemploymentRate_Person_Urban_Male
IN-MN,9.8,2019-03,dcs:UnemploymentRate_Person_Urban_Male
IN-ML,4.6,2019-03,dcs:UnemploymentRate_Person_Urban_Male
IN-MZ,7.4,2019-03,dcs:UnemploymentRate_Person_Urban_Male
IN-NL,15.4,2019-03,dcs:UnemploymentRate_Person_Urban_Male
IN-OR,10.1,2019-03,dcs:UnemploymentRate_Person_Urban_Male
IN-PB,6.1,2019-03,dcs:UnemploymentRate_Person_Urban_Male
IN-RJ,8.5,2019-03,dcs:UnemploymentRate_Person_Urban_Male
IN-SK,3.9,2019-03,dcs:UnemploymentRate_Person_Urban_Male
IN-TN,6.0,2019-03,dcs:UnemploymentRate_Person_Urban_Male
IN-TR,8.7,2019-03,dcs:UnemploymentRate_Person_Urban_Male
IN-UT,10.2,2019-03,dcs:UnemploymentRate_Person_Urban_Male
IN-UP,11.2,2019-03,dcs:UnemploymentRate_Person_Urban_Male
IN-WB,5.3,2019-03,dcs:UnemploymentRate_Person_Urban_Male
IN-AN,3.5,2019-03,dcs:UnemploymentRate_Person_Urban_Male
IN-CH,7.7,2019-03,dcs:UnemploymentRate_Person_Urban_Male
IN-DN,1.3,2019-03,dcs:UnemploymentRate_Person_Urban_Male
IN-LD,21.8,2019-03,dcs:UnemploymentRate_Person_Urban_Male
IN-PY,6.3,2019-03,dcs:UnemploymentRate_Person_Urban_Male
IN,7.1,2019-03,dcs:UnemploymentRate_Person_Urban_Male
IN-AP,3.5,1994-03,dcs:UnemploymentRate_Person_Urban_Female
IN-AR,7.3,1994-03,dcs:UnemploymentRate_Person_Urban_Female
IN-AS,25.6,1994-03,dcs:UnemploymentRate_Person_Urban_Female
IN-BR,9.2,1994-03,dcs:UnemploymentRate_Person_Urban_Female
IN-DL,6.2,1994-03,dcs:UnemploymentRate_Person_Urban_Female
IN-GA,15.4,1994-03,dcs:UnemploymentRate_Person_Urban_Female
IN-GJ,4.4,1994-03,dcs:UnemploymentRate_Person_Urban_Female
IN-HR,3.3,1994-03,dcs:UnemploymentRate_Person_Urban_Female
IN-HP,0.3,1994-03,dcs:UnemploymentRate_Person_Urban_Female
IN-JK,9.2,1994-03,dcs:UnemploymentRate_Person_Urban_Female
IN-KA,5.6,1994-03,dcs:UnemploymentRate_Person_Urban_Female
IN-KL,18.7,1994-03,dcs:UnemploymentRate_Person_Urban_Female
IN-MP,3.9,1994-03,dcs:UnemploymentRate_Person_Urban_Female
IN-MH,4.7,1994-03,dcs:UnemploymentRate_Person_Urban_Female
IN-MN,3.2,1994-03,dcs:UnemploymentRate_Person_Urban_Female
IN-ML,3.1,1994-03,dcs:UnemploymentRate_Person_Urban_Female
IN-MZ,0.5,1994-03,dcs:UnemploymentRate_Person_Urban_Female
IN-NL,6.4,1994-03,dcs:UnemploymentRate_Person_Urban_Female
IN-OR,6.0,1994-03,dcs:UnemploymentRate_Person_Urban_Female
IN-PB,5.3,1994-03,dcs:UnemploymentRate_Person_Urban_Female
IN-RJ,0.6,1994-03,dcs:UnemploymentRate_Person_Urban_Female
IN-SK,6.2,1994-03,dcs:UnemploymentRate_Person_Urban_Female
IN-TN,6.8,1994-03,dcs:UnemploymentRate_Person_Urban_Female
IN-TR,17.4,1994-03,dcs:UnemploymentRate_Person_Urban_Female
IN-UP,1.1,1994-03,dcs:UnemploymentRate_Person_Urban_Female
IN-WB,14.2,1994-03,dcs:UnemploymentRate_Person_Urban_Female
IN-AN,9.6,1994-03,dcs:UnemploymentRate_Person_Urban_Female
IN-CH,22.2,1994-03,dcs:UnemploymentRate_Person_Urban_Female
IN-DD,13.6,1994-03,dcs:UnemploymentRate_Person_Urban_Female
IN-LD,33.3,1994-03,dcs:UnemploymentRate_Person_Urban_Female
IN-PY,9.9,1994-03,dcs:UnemploymentRate_Person_Urban_Female
IN,6.2,1994-03,dcs:UnemploymentRate_Person_Urban_Female
IN-AP,3.7,2000-03,dcs:UnemploymentRate_Person_Urban_Female
IN-AR,10.0,2000-03,dcs:UnemploymentRate_Person_Urban_Female
IN-AS,18.9,2000-03,dcs:UnemploymentRate_Person_Urban_Female
IN-BR,8.1,2000-03,dcs:UnemploymentRate_Person_Urban_Female
IN-DL,3.9,2000-03,dcs:UnemploymentRate_Person_Urban_Female
IN-GA,33.3,2000-03,dcs:UnemploymentRate_Person_Urban_Female
IN-GJ,2.0,2000-03,dcs:UnemploymentRate_Person_Urban_Female
IN-HR,2.8,2000-03,dcs:UnemploymentRate_Person_Urban_Female
IN-HP,7.9,2000-03,dcs:UnemploymentRate_Person_Urban_Female
IN-JK,8.9,2000-03,dcs:UnemploymentRate_Person_Urban_Female
IN-KA,4.4,2000-03,dcs:UnemploymentRate_Person_Urban_Female
IN-KL,20.0,2000-03,dcs:UnemploymentRate_Person_Urban_Female
IN-MP,1.4,2000-03,dcs:UnemploymentRate_Person_Urban_Female
IN-MH,6.6,2000-03,dcs:UnemploymentRate_Person_Urban_Female
IN-MN,6.2,2000-03,dcs:UnemploymentRate_Person_Urban_Female
IN-ML,6.8,2000-03,dcs:UnemploymentRate_Person_Urban_Female
IN-MZ,2.4,2000-03,dcs:UnemploymentRate_Person_Urban_Female
IN-NL,8.7,2000-03,dcs:UnemploymentRate_Person_Urban_Female
IN-OR,5.3,2000-03,dcs:UnemploymentRate_Person_Urban_Female
IN-PB,2.1,2000-03,dcs:UnemploymentRate_Person_Urban_Female
IN-RJ,2.1,2000-03,dcs:UnemploymentRate_Person_Urban_Female
IN-SK,10.0,2000-03,dcs:UnemploymentRate_Person_Urban_Female
IN-TN,5.1,2000-03,dcs:UnemploymentRate_Person_Urban_Female
IN-TR,8.5,2000-03,dcs:UnemploymentRate_Person_Urban_Female
IN-UP,3.3,2000-03,dcs:UnemploymentRate_Person_Urban_Female
IN-WB,9.5,2000-03,dcs:UnemploymentRate_Person_Urban_Female
IN-AN,17.3,2000-03,dcs:UnemploymentRate_Person_Urban_Female
IN-CH,10.9,2000-03,dcs:UnemploymentRate_Person_Urban_Female
IN-DD,8.0,2000-03,dcs:UnemploymentRate_Person_Urban_Female
IN-LD,17.9,2000-03,dcs:UnemploymentRate_Person_Urban_Female
IN-PY,6.4,2000-03,dcs:UnemploymentRate_Person_Urban_Female
IN,5.7,2000-03,dcs:UnemploymentRate_Person_Urban_Female
IN-AP,3.8,2005-03,dcs:UnemploymentRate_Person_Urban_Female
IN-AR,2.8,2005-03,dcs:UnemploymentRate_Person_Urban_Female
IN-AS,9.1,2005-03,dcs:UnemploymentRate_Person_Urban_Female
IN-BR,4.1,2005-03,dcs:UnemploymentRate_Person_Urban_Female
IN-CT,2.4,2005-03,dcs:UnemploymentRate_Person_Urban_Female
IN-DL,6.4,2005-03,dcs:UnemploymentRate_Person_Urban_Female
IN-GA,11.8,2005-03,dcs:UnemploymentRate_Person_Urban_Female
IN-GJ,2.9,2005-03,dcs:UnemploymentRate_Person_Urban_Female
IN-HR,7.5,2005-03,dcs:UnemploymentRate_Person_Urban_Female
IN-HP,10.1,2005-03,dcs:UnemploymentRate_Person_Urban_Female
IN-JK,10.9,2005-03,dcs:UnemploymentRate_Person_Urban_Female
IN-JH,2.3,2005-03,dcs:UnemploymentRate_Person_Urban_Female
IN-KA,5.7,2005-03,dcs:UnemploymentRate_Person_Urban_Female
IN-KL,33.4,2005-03,dcs:UnemploymentRate_Person_Urban_Female
IN-MP,1.6,2005-03,dcs:UnemploymentRate_Person_Urban_Female
IN-MH,4.1,2005-03,dcs:UnemploymentRate_Person_Urban_Female
IN-MN,6.3,2005-03,dcs:UnemploymentRate_Person_Urban_Female
IN-ML,3.5,2005-03,dcs:UnemploymentRate_Person_Urban_Female
IN-MZ,2.6,2005-03,dcs:UnemploymentRate_Person_Urban_Female
IN-NL,7.2,2005-03,dcs:UnemploymentRate_Person_Urban_Female
IN-OR,26.6,2005-03,dcs:UnemploymentRate_Person_Urban_Female
IN-PB,14.0,2005-03,dcs:UnemploymentRate_Person_Urban_Female
IN-RJ,2.9,2005-03,dcs:UnemploymentRate_Person_Urban_Female
IN-SK,4.3,2005-03,dcs:UnemploymentRate_Person_Urban_Female
IN-TN,4.8,2005-03,dcs:UnemploymentRate_Person_Urban_Female
IN-TR,56.8,2005-03,dcs:UnemploymentRate_Person_Urban_Female
IN-UT,10.2,2005-03,dcs:UnemploymentRate_Person_Urban_Female
IN-UP,2.5,2005-03,dcs:UnemploymentRate_Person_Urban_Female
IN-WB,8.4,2005-03,dcs:UnemploymentRate_Person_Urban_Female
IN-AN,17.2,2005-03,dcs:UnemploymentRate_Person_Urban_Female
IN-CH,7.5,2005-03,dcs:UnemploymentRate_Person_Urban_Female
IN-DN,9.1,2005-03,dcs:UnemploymentRate_Person_Urban_Female
IN-DD,3.3,2005-03,dcs:UnemploymentRate_Person_Urban_Female
IN-LD,51.5,2005-03,dcs:UnemploymentRate_Person_Urban_Female
IN-PY,19.5,2005-03,dcs:UnemploymentRate_Person_Urban_Female
IN,6.9,2005-03,dcs:UnemploymentRate_Person_Urban_Female
IN-AP,5.1,2010-03,dcs:UnemploymentRate_Person_Urban_Female
IN-AR,3.2,2010-03,dcs:UnemploymentRate_Person_Urban_Female
IN-AS,12.5,2010-03,dcs:UnemploymentRate_Person_Urban_Female
IN-BR,16.0,2010-03,dcs:UnemploymentRate_Person_Urban_Female
IN-CT,2.1,2010-03,dcs:UnemploymentRate_Person_Urban_Female
IN-DL,2.2,2010-03,dcs:UnemploymentRate_Person_Urban_Female
IN-GA,7.2,2010-03,dcs:UnemploymentRate_Person_Urban_Female
IN-GJ,3.1,2010-03,dcs:UnemploymentRate_Person_Urban_Female
IN-HR,3.8,2010-03,dcs:UnemploymentRate_Person_Urban_Female
IN-HP,10.6,2010-03,dcs:UnemploymentRate_Person_Urban_Female
IN-JK,10.9,2010-03,dcs:UnemploymentRate_Person_Urban_Female
IN-JH,12.1,2010-03,dcs:UnemploymentRate_Person_Urban_Female
IN-KA,4.0,2010-03,dcs:UnemploymentRate_Person_Urban_Female
IN-KL,16.8,2010-03,dcs:UnemploymentRate_Person_Urban_Female
IN-MP,3.6,2010-03,dcs:UnemploymentRate_Person_Urban_Female
IN-MH,5.0,2010-03,dcs:UnemploymentRate_Person_Urban_Female
IN-MN,4.1,2010-03,dcs:UnemploymentRate_Person_Urban_Female
IN-ML,9.0,2010-03,dcs:UnemploymentRate_Person_Urban_Female
IN-MZ,3.4,2010-03,dcs:UnemploymentRate_Person_Urban_Female
IN-NL,19.0,2010-03,dcs:UnemploymentRate_Person_Urban_Female
IN-OR,5.4,2010-03,dcs:UnemploymentRate_Person_Urban_Female
IN-PB,6.6,2010-03,dcs:UnemploymentRate_Person_Urban_Female
IN-RJ,4.4,2010-03,dcs:UnemploymentRate_Person_Urban_Female
IN-TN,5.4,2010-03,dcs:UnemploymentRate_Person_Urban_Female
IN-TR,41.8,2010-03,dcs:UnemploymentRate_Person_Urban_Female
IN-UT,3.1,2010-03,dcs:UnemploymentRate_Person_Urban_Female
