Region,Variable,Units,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Lyantonde,Out Patient Department Utilisation in Government and PNFP,Number,,,1.6,2.1,2.2,2.4,2.8,,,,,
Lyantonde,"Out Patient Department Per Capita Utilisation in Government and PNFP, Percent",%,,,,,,,,,2.4,2.7,2.3,2.2
Lyantonde,Pit Latrine Coverage,Number,,,71,80,80,85,74,,,,,
Lyantonde,"Pit Latrine Coverage in households, Percent",%,,,,,,,,74,85,86,80,
Lyantonde,Deliveries in Health Facilities,Number,,,39,53,71,65,71,,,,,
Lyantonde,"Deliveries in Government and PNFP health facilities, percent",%,,,,,,,,74,60,61,75,80
Lyantonde,Countrywide routine immunization rates for measles,%,,,108,100,94,95,,,,96,,85
Lyantonde,Countrywide routine immunization rates for Polio3,%,,,,,,,,,,108,,120
Lyantonde,Countrywide routine immunization rates for OPV3,%,,,96,94,93,90,,,,,,
Lyantonde,Countrywide routine immunization rates for DPT3,%,,,96,97,401,78,93,,,107,,98
Lyantonde,Countrywide routine immunization rates for BCG,%,,,121,124,127,121,,,,126,,118
Lyantonde,HIV Testing in Children born to HIV Positive Women,%,,,,,,,,,47,48,48,122
Lyantonde,Pregnant women receiving 2nd dose of Fansidar for IPT,%,,,,,,,,124,64,65,78,69
Lyantonde,Pregnant who receive 4 antenatal care visits,%,,,,,,,,,47,48,61,49
Mubende,"Number of Health Units, Hospitals",Number,,1,,,,,,,,,,
Mubende,"Number of Health Units, Health Center",Number,,45,51,,56,56,,,,,,
Mubende,Total,Number,,,,,200,100,,,71,,,
Mubende,Government,Number,,,,,100,100,,,59,,,
Mubende,PHP,Number,,,,,100,,,,,,,
Mubende,NGO,Number,,,,,,,,,12,,,
Mubende,Private,Number,,,,,,,,,0,,,
Mubende,Out Patient Department Utilisation in Government and PNFP,Number,,,0.5,0.4,0.5,0.5,0.8,,,,,
Mubende,"Out Patient Department Per Capita Utilisation in Government and PNFP, Percent",%,,,,,,,,,1,0.8,0.8,0.7
Mubende,Pit Latrine Coverage,Number,,,67,74,76,76,89,,,,,
Mubende,"Pit Latrine Coverage in households, Percent",%,,,,,,,,82,81,82,82,
Mubende,Deliveries in Health Facilities,Number,,,15,21,16,13,25,,,,,
Mubende,"Deliveries in Government and PNFP health facilities, percent",%,,,,,,,,30,31,37,40,39
Mubende,Countrywide routine immunization rates for measles,%,61,62,75,63,70,65,,,,82,,101
Mubende,Countrywide routine immunization rates for Polio3,%,,,,,,,,,,89,,110
Mubende,Countrywide routine immunization rates for OPV3,%,72,63,86,69,82,85,,,,,,
Mubende,Countrywide routine immunization rates for DPT3,%,72,68,79,63,71,50,76,,,96,,114
Mubende,Countrywide routine immunization rates for BCG,%,70,68,86,75,81,83,,,,89,,124
Mubende,HIV Testing in Children born to HIV Positive Women,%,,,,,,,,,43,100,100,113
Mubende,Pregnant women receiving 2nd dose of Fansidar for IPT,%,,,,,,,,53,57,59,61,56
Mubende,Pregnant who receive 4 antenatal care visits,%,,,,,,,,,29,31,30,31
Kiboga,"Number of Health Units, Hospitals",Number,,1,,,,,,,,,,
Kiboga,"Number of Health Units, Health Center",Number,,38,37,,40,40,,,,,,
Kiboga,Total,Number,,,,,244,122,,,40,,,
Kiboga,Government,Number,,,,,122,122,,,19,,,
Kiboga,PNFP (Private Not Profit),Number,,,,,122,,,,,,,
Kiboga,NGO,Number,,,,,,,,,3,,,
Kiboga,Private,Number,,,,,,,,,18,,,
Kiboga,Out Patient Department Utilisation in Government and PNFP,Number,,,0.1,0.6,0.7,0.8,0.1,,,,,
Kiboga,"Out Patient Department Per Capita Utilisation in Government and PNFP, Percent",%,,,,,,,,,1.1,1,1.2,1.4
Kiboga,Pit Latrine Coverage,Number,,,58,58,61,64,64,,,,,
Kiboga,"Pit Latrine Coverage in households, Percent",%,,,,,,,,76,70,70,51,
Kiboga,Deliveries in Health Facilities,Number,,,28,24,30,32,60,,,,,
Kiboga,"Deliveries in Government and PNFP health facilities, percent",%,,,,,,,,72,56,57,76,82
Kiboga,Countrywide routine immunization rates for measles,%,55,68,81,67,75,74,,,,114,,81
Kiboga,Countrywide routine immunization rates for Polio3,%,,,,,,,,,,139,,101
Kiboga,Countrywide routine immunization rates for OPV3,%,63,79,94,76,88,80,,,,,,
Kiboga,Countrywide routine immunization rates for DPT3,%,63,80,95,78,85,77,104,,,140,,102
Kiboga,Countrywide routine immunization rates for BCG,%,75,91,97,86,101,95,,,,148,,109
Kiboga,HIV Testing in Children born to HIV Positive Women,%,,,,,,,,,46,47,47,107
Kiboga,Pregnant women receiving 2nd dose of Fansidar for IPT,%,,,,,,,,83,66,67,74,84
Kiboga,Pregnant who receive 4 antenatal care visits,%,,,,,,,,,43,44,41,48
Lwengo,Total,Number,,,,,,,,,38,,,
Lwengo,Government,Number,,,,,,,,,16,,,
Lwengo,NGO,Number,,,,,,,,,22,,,
Lwengo,Private,Number,,,,,,,,,0,,,
Lwengo,Out Patient Department Utilisation in Government and PNFP,Number,,,,,,,0.6,,,,,
Lwengo,"Out Patient Department Per Capita Utilisation in Government and PNFP, Percent",%,,,,,,,,,0.7,0.8,0.9,0.9
Lwengo,Pit Latrine Coverage,Number,,,,,,,93,,,,,
Lwengo,"Pit Latrine Coverage in households, Percent",%,,,,,,,,85,78,96,76,
Lwengo,Deliveries in Health Facilities,Number,,,,,,,14,,,,,
Lwengo,"Deliveries in Government and PNFP health facilities, percent",%,,,,,,,,15,16,22,25,31
Lwengo,Countrywide routine immunization rates for measles,%,,,,,,,,,,161,,344
Lwengo,Countrywide routine immunization rates for Polio3,%,,,,,,,,,,157,,90
Lwengo,Countrywide routine immunization rates for DPT3,%,,,,,,,58,,,172,,99
Lwengo,Countrywide routine immunization rates for BCG,%,,,,,,,,,,132,,92
Lwengo,HIV Testing in Children born to HIV Positive Women,%,,,,,,,,,34,100,100,133
Lwengo,Pregnant women receiving 2nd dose of Fansidar for IPT,%,,,,,,,,,40,46,45,48
Lwengo,Pregnant who receive 4 antenatal care visits,%,,,,,,,,,23,30,31,31
Buvuma,Total,Number,,,,,,,,,11,,,
Buvuma,Government,Number,,,,,,,,,9,,,
Buvuma,NGO,Number,,,,,,,,,2,,,
Buvuma,Private,Number,,,,,,,,,0,,,
Buvuma,Out Patient Department Utilisation in Government and PNFP,Number,,,,,,,0.8,,,,,
Buvuma,"Out Patient Department Per Capita Utilisation in Government and PNFP, Percent",%,,,,,,,,,1.2,1,0.6,0.6
Buvuma,Pit Latrine Coverage,Number,,,,,,,85,,,,,
Buvuma,"Pit Latrine Coverage in households, Percent",%,,,,,,,,22,22,29,36,
Buvuma,Deliveries in Health Facilities,Number,,,,,,,14,,,,,
Buvuma,"Deliveries in Government and PNFP health facilities, percent",%,,,,,,,,16,22,23,15,18
Buvuma,Countrywide routine immunization rates for measles,%,,,,,,,,,,51,,83
Buvuma,Countrywide routine immunization rates for Polio3,%,,,,,,,,,,63,,91
Buvuma,Countrywide routine immunization rates for DPT3,%,,,,,,,139,,,57,,93
Buvuma,Countrywide routine immunization rates for BCG,%,,,,,,,,,,55,,75
Buvuma,HIV Testing in Children born to HIV Positive Women,%,,,,,,,,,107,108,8,257
Buvuma,Pregnant women receiving 2nd dose of Fansidar for IPT,%,,,,,,,,28,47,48,33,22
Buvuma,Pregnant who receive 4 antenatal care visits,%,,,,,,,,,16,17,8,9
Wakiso,"Number of Health Units, Hospitals",Number,,4,,,,,,,,,,
Wakiso,"Number of Health Units, Health Center",Number,,94,95,,99,104,,,,,,
Wakiso,Total,Number,,,,,1014,507,,,103,,,
Wakiso,Government,Number,,,,,146,146,,,63,,,
Wakiso,PNFP (Private Not Profit),Number,,,,,361,361,,,,,,
Wakiso,PHP,Number,,,,,507,,,,,,,
Wakiso,NGO,Number,,,,,,,,,40,,,
Wakiso,Private,Number,,,,,,,,,0,,,
Wakiso,Out Patient Department Utilisation in Government and PNFP,Number,,,1,0.9,0.8,0.7,0.7,,,,,
Wakiso,"Out Patient Department Per Capita Utilisation in Government and PNFP, Percent",%,,,,,,,,,0.7,0.8,0.6,0.5
Wakiso,Pit Latrine Coverage,Number,,,72,73,81,84,54,,,,,
Wakiso,"Pit Latrine Coverage in households, Percent",%,,,,,,,,89,89,89,90,
Wakiso,Deliveries in Health Facilities,Number,,,34,35,28,26,31,,,,,
Wakiso,"Deliveries in Government and PNFP health facilities, percent",%,,,,,,,,31,30,31,27,30
Wakiso,Countrywide routine immunization rates for measles,%,103,103,114,95,85,82,,,,100,,88
Wakiso,Countrywide routine immunization rates for Polio3,%,,,,,,,,,,93,,84
Wakiso,Countrywide routine immunization rates for OPV3,%,91,93,102,88,81,80,,,,,,
Wakiso,Countrywide routine immunization rates for DPT3,%,93,93,104,86,75,85,93,,,94,,87
Wakiso,Countrywide routine immunization rates for BCG,%,81,80,88,80,71,74,,,,85,,68
Wakiso,HIV Testing in Children born to HIV Positive Women,%,,,,,,,,,42,100,100,133
Wakiso,Pregnant women receiving 2nd dose of Fansidar for IPT,%,,,,,,,,31,33,39,29,33
Wakiso,Pregnant who receive 4 antenatal care visits,%,,,,,,,,,20,23,16,21
Mpigi,"Number of Health Units, Hospitals",Number,,2,,,,,,,,,,
Mpigi,"Number of Health Units, Health Center",Number,,59,59,,64,64,,,,,,
Mpigi,Total,Number,,,,,800,400,,,33,,,
Mpigi,Government,Number,,,,,100,100,,,20,,,
Mpigi,PNFP (Private Not Profit),Number,,,,,300,300,,,,,,
Mpigi,PHP,Number,,,,,400,,,,,,,
Mpigi,NGO,Number,,,,,,,,,13,,,
Mpigi,Private,Number,,,,,,,,,0,,,
Mpigi,Out Patient Department Utilisation in Government and PNFP,Number,,,0.7,0.9,0.9,1,1.2,,,,,
Mpigi,"Out Patient Department Per Capita Utilisation in Government and PNFP, Percent",%,,,,,,,,,1.2,1.3,1.1,0.9
Mpigi,Pit Latrine Coverage,Number,,,52,55,58,59,77,,,,,
Mpigi,"Pit Latrine Coverage in households, Percent",%,,,,,,,,81,59,65,65,
Mpigi,Deliveries in Health Facilities,Number,,,30,40,42,41,53,,,,,
Mpigi,"Deliveries in Government and PNFP health facilities, percent",%,,,,,,,,63,68,69,64,72
Mpigi,Countrywide routine immunization rates for measles,%,88,81,50,90,105,98,,,,114,,159
Mpigi,Countrywide routine immunization rates for Polio3,%,,,,,,,,,,119,,116
Mpigi,Countrywide routine immunization rates for OPV3,%,94,93,56,103,117,110,,,,,,
Mpigi,Countrywide routine immunization rates for DPT3,%,95,96,56,104,112,95,113,,,119,,119
Mpigi,Countrywide routine immunization rates for BCG,%,95,85,44,90,103,96,,,,122,,107
Mpigi,HIV Testing in Children born to HIV Positive Women,%,,,,,,,,,66,67,67,74
Mpigi,Pregnant women receiving 2nd dose of Fansidar for IPT,%,,,,,,,,68,74,75,64,71
Mpigi,Pregnant who receive 4 antenatal care visits,%,,,,,,,,,53,54,44,45
Kampala,"Number of Health Units, Hospitals",Number,,12,,,,,,,,,,
Kampala,"Number of Health Units, Health Center",Number,,264,200,,200,250,,,,,,
Kampala,Total,Number,,,,,2153,2153,,,1392,,,
Kampala,Government,Number,,,,,810,810,,,20,,,
Kampala,PNFP (Private Not Profit),Number,,,,,1063,1348,,,,,,
Kampala,PHP,Number,,,,,280,,,,,,,
Kampala,NGO,Number,,,,,,,,,40,,,
Kampala,Private,Number,,,,,,,,,1332,,,
Kampala,Out Patient Department Utilisation in Government and PNFP,Number,,,0.7,1.1,1,1.2,1.1,,,,,
Kampala,"Out Patient Department Per Capita Utilisation in Government and PNFP, Percent",%,,,,,,,,,,1.1,2.5,1.6
Kampala,Pit Latrine Coverage,Number,,,94,94,94,94,61,,,,,
Kampala,"Pit Latrine Coverage in households, Percent",%,,,,,,,,86,,,99,
Kampala,Deliveries in Health Facilities,Number,,,73,94,101,111,94,,,,,
Kampala,"Deliveries in Government and PNFP health facilities, percent",%,,,,,,,,68,,89,119,119
