VariableName,VariableCode,Type_Of_Variable,Unit_Of_Measure,Scaling_Factor,Aggregation_Type,Weighing_Varible_ID,Weighing_Variable_Name,Long_Description
Married women age group 15 to 49 years use any family planning methods (%),I6821_10,Numeric Variable,Percentage,1,weighted avg,WeighingRatio_Percentage_TotalPopulationFemale,Total Population Female from Census,Currently married women (age 15 to 49 years) using any family planning methods. (any method includes other methods that are not shown separately; any modern method includes other modern methods that are not shown separately) (%)
Married women age group 15 to 49 years any modern family planning method (%),I6821_11,Numeric Variable,Percentage,1,weighted avg,WeighingRatio_Percentage_TotalPopulationFemale,Total Population Female from Census,Currently married women age 15 to 49 years using any modern family planning method (any method includes other methods that are not shown separately; any modern method includes other modern methods that are not shown separately) (%)
Average out of pocket expenditure for each delivery in public health facility,I6821_12,Numeric Variable,INR,1,sum,WeighingRatio_TotalPopulationFemale,Total Population Female from Census,"Maternal and child health-average out-of-pocket expenditure per birth delivery in a public health facility. (out-of-pocket payments are expenditures borne directly by a patient where insurance does not cover the full cost of the health good or service. they include cost-sharing, self-medication and other expenditure paid directly by private households)"
Births attended by skilled health personnel (%),I6821_13,Numeric Variable,Percentage,1,weighted avg,WeighingRatio_Percentage_TotalPopulationFemale,Total Population Female from Census,Delivery care (for births in the 5 years before the survey)- births attended by skilled health personnel (doctor or nurse or midwife or other health personnel) (%)
Births delivered by caesarean section (%),I6821_14,Numeric Variable,Percentage,1,weighted avg,WeighingRatio_Percentage_TotalPopulationFemale,Total Population Female from Census,Delivery care (for births in the 5 years before the survey)- births delivered by caesarean section (%)
Births in private health facility delivered by caesarean section (%),I6821_15,Numeric Variable,Percentage,1,weighted avg,WeighingRatio_Percentage_TotalPopulationFemale,Total Population Female from Census,Delivery care (for births in the 5 years before the survey)- births in a private health facility that were delivered by caesarean section (%)
Births in public health facility delivered by caesarean section (%),I6821_16,Numeric Variable,Percentage,1,weighted avg,WeighingRatio_Percentage_TotalPopulationFemale,Total Population Female from Census,Delivery care (for births in the 5 years before the survey) births in a public health facility that were delivered by caesarean section (%)
Breastfeeding children age group 6 to 23 months receiving an adequate diet (%),I6821_17,Numeric Variable,Percentage,1,weighted avg,WeighingRatio_Percentage_TotalPopulationFemale,Total Population Female from Census,"Child feeding practices and nutritional status of children- (based on the youngest child living with the mother. breastfed children receiving 4 or more food groups and a minimum meal frequency, non-breastfed children fed with a minimum of 3 infant and young child feeding practices (fed with other milk or milk products at least twice a day, a minimum meal frequency that is, receiving solid or semi-solid food at least twice a day for breastfed infants 6 to 8 months and at least three times a day for breastfed children 9 to 23 months, and solid or semi-solid foods from at least four food groups not including the milk or milk products food group) (%)"
Children age group 12 to 23 months fully vaccinated based on information from either vaccination card or mothers recall (%),I6821_18,Numeric Variable,Percentage,1,weighted avg,WeighingRatio_Percentage_TotalPopulation,Total Population from Census,"Child vaccinations and vitamin A supplementation (vaccinated with Bacillus Calmette–Guerin ( BCG ), measles-containing vaccine ( MCV ), measles-rubella ( MR ) or measles-mumps- rubella ( MMR ), and 3 doses each of polio (excluding polio vaccine given at birth) and Diphtheria, tetanus toxoids and pertussis ( DTP ) or Penta vaccine (%)"
Children age group 12 to 23 months fully vaccinated based on information from vaccination card only (%),I6821_19,Numeric Variable,Percentage,1,weighted avg,WeighingRatio_Percentage_TotalPopulation,Total Population from Census,"Child vaccinations and vitamin A supplementation (among children whose vaccination card was shown to the interviewer, percentage vaccinated with Bacillus Calmette–Guerin ( BCG ), measles-containing vaccine ( MCV ), measles-rubella ( MR ) or measles-mumps- rubella ( MMR ), and 3 doses each of polio (excluding polio vaccine given at birth) and Diphtheria, tetanus toxoids and pertussis ( DTP ) or Penta vaccine) (%)"
Children age group 12 to 23 months who have received 3 doses of penta or diphtheria tetanus toxoids and pertussis ( dtp ) vaccine (%),I6821_20,Numeric Variable,Percentage,1,weighted avg,WeighingRatio_Percentage_TotalPopulation,Total Population from Census,"Child vaccinations and vitamin A supplementation-children age 12 to 23 months who have received 3 doses of Penta vaccine or diphtheria, tetanus toxoids and pertussis ( DTP ) vaccine (%)"
Children age group 12 to 23 months who have received 3 doses of penta or hepatitis b vaccine (%),I6821_21,Numeric Variable,Percentage,1,weighted avg,WeighingRatio_Percentage_TotalPopulation,Total Population from Census,Child vaccinations and vitamin A supplementation-children age 12 to 23 months who have received 3 doses of Penta vaccine or hepatitis B vaccine (%)
Children age group 12 to 23 months who have received 3 doses of polio vaccine (%),I6821_22,Numeric Variable,Percentage,1,weighted avg,WeighingRatio_Percentage_TotalPopulation,Total Population from Census,Child vaccinations and vitamin A supplementation (not including polio vaccination given at birth) (%)
Children age group 12 to 23 months who have received 3 doses of rotavirus vaccine (%),I6821_23,Numeric Variable,Percentage,1,weighted avg,WeighingRatio_Percentage_TotalPopulation,Total Population from Census,"Child vaccinations and vitamin A supplementation (since rotavirus is not being provided across all states and districts, the levels should not be compared) (%)"
Children age group 12 to 23 months who have received bacillus calmette guerin ( bcg) (%),I6821_24,Numeric Variable,Percentage,1,weighted avg,WeighingRatio_Percentage_TotalPopulation,Total Population from Census,Child vaccinations and vitamin a supplementation children age 12 to 23 months who have received Bacillus Calmette–Guerin ( BCG ) (%)
Children age group 12 to 23 months who have received the first dose of measles containing vaccine ( mcv ) (%),I6821_25,Numeric Variable,Percentage,1,weighted avg,WeighingRatio_Percentage_TotalPopulation,Total Population from Census,Child vaccinations and vitamin A supplementation children age 12 to 23 months who have received the first dose of measles-containing vaccine ( MCV ) (%)
Children age group 12 to 23 months who received most of their vaccinations in a private health facility (%),I6821_26,Numeric Variable,Percentage,1,weighted avg,WeighingRatio_Percentage_TotalPopulation,Total Population from Census,Child vaccinations and vitamin A supplementation-children age 12 to 23 months who received most of their vaccinations in a private health facility (%)
Children age group 12 to 23 months who received most of their vaccinations in a public health facility (%),I6821_27,Numeric Variable,Percentage,1,weighted avg,WeighingRatio_Percentage_TotalPopulation,Total Population from Census,Child vaccinations and vitamin A supplementation-children age 12 to 23 months who received most of their vaccinations in a public health facility (%)
Children age group 24 to 35 months who have received a second dose of measles containing vaccine ( mcv ) (%),I6821_28,Numeric Variable,Percentage,1,weighted avg,WeighingRatio_Percentage_TotalPopulation,Total Population from Census,Child vaccinations and vitamin A supplementation-children age 24 to 35 months who have received a second dose of measles-containing vaccine ( MCV ) (%)
Children age group 5 years who attended pre-primary school during the year 2019-20 (%),I6821_29,Numeric Variable,Percentage,1,weighted avg,WeighingRatio_Percentage_TotalPopulation,Total Population from Census,Child vaccinations and vitamin A supplementation-children age 5 years who attended pre-primary school during the school year 2019-20 (%)
Children age group 6 to 59 months who are anaemic (%),I6821_30,Numeric Variable,Percentage,1,weighted avg,WeighingRatio_Percentage_TotalPopulation,Total Population from Census,"Anaemia among children and adults (haemoglobin in grams per decilitre (g/dl). among children, prevalence is adjusted for altitude. among adults, prevalence is adjusted for altitude and for smoking status, if known. as NFHS uses the capillary blood for estimation of anaemia, the results of NFHS-5 need not be compared with other surveys using venous blood) (%)"
Children age group 6 to 8 months receiving solid or semisolid food and breastmilk (%),I6821_31,Numeric Variable,Percentage,1,weighted avg,WeighingRatio_Percentage_TotalPopulation,Total Population from Census,Child feeding practices and nutritional status of children (based on the youngest child living with the mother) (%)
Children age group 9 to 35 months who received vitamin a dose in the last 6 months (%),I6821_32,Numeric Variable,Percentage,1,weighted avg,WeighingRatio_Percentage_TotalPopulation,Total Population from Census,Child vaccinations and vitamin a supplementation-children age 9 to 35 months who received a vitamin A dose in the last 6 months (%)
Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),I6821_33,Numeric Variable,Percentage,1,weighted avg,WeighingRatio_Percentage_TotalPopulation,Total Population from Census,Maternal and child health -children born at home who were taken to a health facility for a check-up within 24 hours of birth (%)
Children under 5 years who are overweight ( weight-for-height ) (%),I6821_34,Numeric Variable,Percentage,1,weighted avg,WeighingRatio_Percentage_TotalPopulation,Total Population from Census,"Child feeding practices and nutritional status of children-children under 5 years who are overweight (weight-for-height) (above +2 standard deviations, based on the who standard) (%)"
Children under 5 years who are severely wasted ( weight-for-height ) (%),I6821_35,Numeric Variable,Percentage,1,weighted avg,WeighingRatio_Percentage_TotalPopulation,Total Population from Census,"Child feeding practices and nutritional status of children-children under 5 years who are severely wasted (weight-for-height) below -3 standard deviations, based on the who standard (%)"
Children under 5 years who are stunted ( height-for-age ) (%),I6821_36,Numeric Variable,Percentage,1,weighted avg,WeighingRatio_Percentage_TotalPopulation,Total Population from Census,"Child feeding practices and nutritional status of children-children under 5 years who are stunted (height-for-age) (below -2 standard deviations, based on the who standard) (%)"
Children under 5 years who are underweight ( weight-for-age ) (%),I6821_37,Numeric Variable,Percentage,1,weighted avg,WeighingRatio_Percentage_TotalPopulation,Total Population from Census,"Child feeding practices and nutritional status of children-children under 5 years who are underweight (weight-for-age) (below -2 standard deviations, based on the who standard) (%)"
Children under 5 years who are wasted ( weight-for-height ) (%),I6821_38,Numeric Variable,Percentage,1,weighted avg,WeighingRatio_Percentage_TotalPopulation,Total Population from Census,"Child feeding practices and nutritional status of children-children under 5 years who are wasted (weight-for-height) (below -2 standard deviations, based on the who standard) (%)"
Children under age 3 years breastfed within one hour of birth (%),I6821_39,Numeric Variable,Percentage,1,weighted avg,WeighingRatio_Percentage_TotalPopulation,Total Population from Census,"Child feeding practices and -nutritional status of children, children under age 3 years breastfed within one hour of birth (based on the last child born in the 3 years before the survey) (%)"
Children under age 5 years whose birth was registered with the civil authority (%),I6821_40,Numeric Variable,Percentage,1,weighted avg,WeighingRatio_Percentage_TotalPopulation,Total Population from Census,Population and household profile-children under age 5 years whose birth was registered with the civil authority (%)
Children under age 6 months exclusively breastfed (%),I6821_41,Numeric Variable,Percentage,1,weighted avg,WeighingRatio_Percentage_TotalPopulation,Total Population from Census,Child feeding practices and nutritional status of children-children under age 6 months exclusively breastfed (based on the youngest child living with the mother) (%)
Children who received postnatal care from a doctor or nurse or lady health visitor ( lhv ) or auxiliary nurse midwifery ( anm ) or midwife or other health personnel within 2 days of delivery (%),I6821_42,Numeric Variable,Percentage,1,weighted avg,WeighingRatio_Percentage_TotalPopulation,Total Population from Census,Maternal and child health (for last birth in the 5 years before the survey). children who received postnatal care from a doctor or nurse or Lady Health Visitor ( LHV ) or Auxiliary Nurse Midwifery  ( ANM ) or midwife or other health personnel within 2 days of delivery (%)
Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%),I6821_43,Numeric Variable,Percentage,1,weighted avg,WeighingRatio_Percentage_TotalPopulation,Total Population from Census,Treatment of childhood diseases (children under age 5 years)-children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%)
Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (%),I6821_44,Numeric Variable,Percentage,1,weighted avg,WeighingRatio_Percentage_TotalPopulation,Total Population from Census,Treatment of childhood diseases (children under age 5 years)-children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts ( ORS ) (%)
Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%),I6821_45,Numeric Variable,Percentage,1,weighted avg,WeighingRatio_Percentage_TotalPopulation,Total Population from Census,Treatment of childhood diseases (children under age 5 years).children with diarrhoea in the 2 weeks preceding the survey who received zinc (%)
Children with fever or symptoms of acute respiratory infection in the 2 weeks preceding the survey taken to a health facility or health provider (%),I6821_46,Numeric Variable,Percentage,1,weighted avg,WeighingRatio_Percentage_TotalPopulation,Total Population from Census,Treatment of childhood diseases (children under age 5 years) children with fever or symptoms of acute respiratory infection ( ARI ) in the 2 weeks preceding the survey taken to a health facility or health provider (%)
Married women using condom in the age group of 15 to 49 years (%),I6821_47,Numeric Variable,Percentage,1,weighted avg,WeighingRatio_Percentage_TotalPopulationFemale,Total Population Female from Census,Current use of family planning methods (currently married women age 15 to 49 years)-percentage of women using condom (%)
Current users ever told about side effects of current method (%),I6821_48,Numeric Variable,Percentage,1,weighted avg,WeighingRatio_Percentage_TotalPopulationFemale,Total Population Female from Census,"Quality of family planning services-current users ever told about side effects of current method (based on current users of female sterilization, Intrauterine Device ( IUD ) or Postpartum Intrauterine Contraceptive Device ( PPIUD ), injectables, and pills who started using that method in the past 5 years) (%)"
Married women age group 15 to 49 years who usually participate in three household decisions (%),I6821_49,Numeric Variable,Percentage,1,weighted avg,WeighingRatio_Percentage_TotalPopulationFemale,Total Population Female from Census,"Women's empowerment married women age 15 to 49 years who usually participate in three household decisions (decisions about health care for herself, making major household purchases, and visits to her family or relatives) (%)"
Deaths in the last 3 years registered with the civil authority (%),I6821_50,Numeric Variable,Percentage,1,weighted avg,WeighingRatio_Percentage_TotalPopulation,Total Population from Census,Population and household profile-deaths in the last 3 years registered with the civil authority (%)
Ever-married women age group 18 to 49 years who have ever experienced spousal violence (%),I6821_51,Numeric Variable,Percentage,1,weighted avg,WeighingRatio_Percentage_TotalPopulationFemale,Total Population Female from Census,Gender based violence-ever-married women age 18 to 49 years who have ever experienced spousal violence (spousal violence is defined as physical and/or sexual violence) (%)
Ever-married women age group 18 to 49 years who have experienced physical violence during any pregnancy (%),I6821_52,Numeric Variable,Percentage,1,weighted avg,WeighingRatio_Percentage_TotalPopulationFemale,Total Population Female from Census,Gender based violence-ever-married women age 18 to 49 years who have experienced physical violence during any pregnancy (%)
Female population age 6 years and above who ever attended school (%),I6821_53,Numeric Variable,Percentage,1,weighted avg,WeighingRatio_Percentage_TotalPopulationFemale,Total Population Female from Census,Population and household profile-female population age 6 years and above who ever attended school (%)
Female sterilization married women-15 to 49 years (%),I6821_54,Numeric Variable,Percentage,1,weighted avg,WeighingRatio_Percentage_TotalPopulationFemale,Total Population Female from Census,Current use of family planning methods (currently married women age 15 to 49 years)-female sterilization (%)
Health worker ever talked to female non-users about family planning (%),I6821_55,Numeric Variable,Percentage,1,weighted avg,WeighingRatio_Percentage_TotalPopulationFemale,Total Population Female from Census,Quality of family planning services-health worker ever talked to female non-users about family planning (%)
Home births that were conducted by skilled health personnel (%),I6821_56,Numeric Variable,Percentage,1,weighted avg,WeighingRatio_Percentage_TotalPopulationFemale,Total Population Female from Census,Delivery care (for births in the 5 years before the survey home births that were conducted by skilled health personnel-doctor or nurse or Lady Health Visitor ( LHV ) or Auxiliary Nurse Midwifery ( ANM ) or midwife or other health personnel (%)
Households using clean fuel for cooking (%),I6821_57,Numeric Variable,Percentage,1,weighted avg,WeighingRatio_Percentage_NumberOfHouseholds,Number of House holds from Census,"Population and household profile-households using clean fuel for cooking (electricity, Liquefied Petroleum Gas ( LPG ) or natural gas, biogas) (%)"
Households using iodized salt (%),I6821_58,Numeric Variable,Percentage,1,weighted avg,WeighingRatio_Percentage_NumberOfHouseholds,Number of House holds from Census,Population and household profile-households using iodized salt (%)
Population and household profile-households with any usual member covered under a health insurance or financing scheme (%),I6821_59,Numeric Variable,Percentage,1,weighted avg,WeighingRatio_Percentage_NumberOfHouseholds,Number of House holds from Census,Households with any usual member covered under a health insurance or financing scheme (%)
Married women age group 15 to 49 years using intrauterine device ( iud ) or postpartum intrauterine contraceptive device ( ppiud ) as family planning methods (%),I6821_60,Numeric Variable,Percentage,1,weighted avg,WeighingRatio_Percentage_TotalPopulationFemale,Total Population Female from Census,Intrauterine Device ( IUD ) or Postpartum Intrauterine Contraceptive Device ( PPIUD ) - current use of family planning methods (currently married women age 15 to 49 years) (%)
Infant mortality rate ( imr ) (%),I6821_61,Numeric Variable,Percentage,1,weighted avg,WeighingRatio_Percentage_TotalPopulation,Total Population from Census,"Infant mortality rate ( IMR )-infant and child mortality rates (per 1,000 live births) (%)"
Married women of age 15 to 49 years using injectables as one of the family planning methods (%),I6821_62,Numeric Variable,Percentage,1,weighted avg,WeighingRatio_Percentage_TotalPopulationFemale,Total Population Female from Census,Injectables -current use of family planning methods (currently married women age 15 to 49 years) (%)
Institutional births (%),I6821_63,Numeric Variable,Percentage,1,weighted avg,WeighingRatio_Percentage_TotalPopulation,Total Population from Census,Institutional births - delivery care (for births in the 5 years before the survey) (%)
Institutional births in public facility (%),I6821_64,Numeric Variable,Percentage,1,weighted avg,WeighingRatio_Percentage_TotalPopulation,Total Population from Census,Delivery care (for births in the 5 years before the survey)- institutional births in public facility (%)
Married women of age 15 to 49 years using male sterlization as one of the family planning methods (%),I6821_65,Numeric Variable,Percentage,1,weighted avg,WeighingRatio_Percentage_TotalPopulationMale,Total Population Male from Census,Current use of family planning methods (currently married women age 15 to 49 years) male sterilization (%)
Men age group 15 years and above who consume alcohol (%),I6821_66,Numeric Variable,Percentage,1,weighted avg,WeighingRatio_Percentage_TotalPopulationMale,Total Population Male from Census,Tobacco use and alcohol consumption among adults (age 15 years and above) men age 15 years and above who consume alcohol (%)
Men age group 15 years and above who use any kind of tobacco (%),I6821_67,Numeric Variable,Percentage,1,weighted avg,WeighingRatio_Percentage_TotalPopulationMale,Total Population Male from Census,Tobacco use and alcohol consumption among adults (age 15 years and above) men age 15 years and above who use any kind of tobacco (%)
Men age group 15 to 19 years who are anaemic (%),I6821_68,Numeric Variable,Percentage,1,weighted avg,WeighingRatio_Percentage_TotalPopulationMale,Total Population Male from Census,Anaemia among children and adults-men age 15 to 19 years who are anaemic (%)
Men age group 15 to 49 years who are anaemic (%),I6821_69,Numeric Variable,Percentage,1,weighted avg,WeighingRatio_Percentage_TotalPopulationMale,Total Population Male from Census,Anaemia among children and adults-men age 15 to 49 years who are anaemic (%)
Men age group 25 to 29 years married before age 21 years (%),I6821_70,Numeric Variable,Percentage,1,weighted avg,WeighingRatio_Percentage_TotalPopulationMale,Total Population Male from Census,Marriage and fertility-men age 25 to 29 years married before age 21 years (%)
Men who are overweight or obese (%),I6821_71,Numeric Variable,Percentage,1,weighted avg,WeighingRatio_Percentage_TotalPopulationMale,Total Population Male from Census,Nutritional status of adults (age 15 to 49 years)-men who are overweight or obese (%)
Men who have comprehensive knowledge of human immunodeficiency virus ( hiv ) or acquired immune deficiency syndrome ( aids ) (%),I6821_72,Numeric Variable,Percentage,1,weighted avg,WeighingRatio_Percentage_TotalPopulationMale,Total Population Male from Census,"Knowledge of HIV/AIDS among adults (age 15 to 49 years)-men who have comprehensive knowledge of Human immunodeficiency virus ( HIV ) or Acquired Immune Deficiency Syndrome ( AIDS ) (comprehensive knowledge means knowing that consistent use of condoms every time they have sex and having just one uninfected faithful sex partner can reduce the chance of getting HIV or  AIDS, knowing that a healthy-looking person can have HIV or  AIDS, and rejecting two common misconceptions about transmission or prevention of HIV or AIDS) (%)"
Men who have ever used internet (%),I6821_73,Numeric Variable,Percentage,1,weighted avg,WeighingRatio_Percentage_TotalPopulationMale,Total Population Male from Census,Characteristics of adults (age 15 to 49 years)-men who have ever used the internet (%)
Men who have high risk waist-to-hip ratio (%),I6821_74,Numeric Variable,Percentage,1,weighted avg,WeighingRatio_Percentage_TotalPopulationMale,Total Population Male from Census,Characteristics of adults (age 15 to 49 years)-men who have high risk waist-to-hip ratio (%)
Men who know that consistent condom use can reduce the chance of getting human immunodeficiency virus ( hiv ) or acquired immune deficiency syndrome ( aids ) (%),I6821_75,Numeric Variable,Percentage,1,weighted avg,WeighingRatio_Percentage_TotalPopulationMale,Total Population Male from Census,Knowledge of Human immunodeficiency virus ( HIV ) or Acquired Immune Deficiency Syndrome ( AIDS ) among adults (age 15 to 49 years)-men who know that consistent condom use can reduce the chance of getting Human immunodeficiency virus ( HIV ) or Acquired Immune Deficiency Syndrome ( AIDS ) (%)
Men whose body mass index ( bmi ) is below normal (%),I6821_76,Numeric Variable,Percentage,1,weighted avg,WeighingRatio_Percentage_TotalPopulationMale,Total Population Male from Census,Nutritional status of adults (age 15 to 49 years)-men whose body mass index ( BMI ) is below normal (%)
Men with 10 or more years of schooling (%),I6821_77,Numeric Variable,Percentage,1,weighted avg,WeighingRatio_Percentage_TotalPopulationMale,Total Population Male from Census,Characteristics of adults (age 15 to 49 years)-men with 10 or more years of schooling (%)
Men suffering from high blood sugar level (%),I6821_78,Numeric Variable,Percentage,1,weighted avg,WeighingRatio_Percentage_TotalPopulationMale,Total Population Male from Census,Blood sugar level among adults (age 15 years and above) men-blood sugar level - high (141 to 160 mg/dl) (%)
Men suffering from high or very high blood sugar level (%),I6821_79,Numeric Variable,Percentage,1,weighted avg,WeighingRatio_Percentage_TotalPopulationMale,Total Population Male from Census,Blood sugar level among adults (age 15 years and above) men-blood sugar level - high or very high (greater than 140 mg/dl) or taking medicine to control blood sugar level (%)
Men suffering from very high blood sugar level (%),I6821_80,Numeric Variable,Percentage,1,weighted avg,WeighingRatio_Percentage_TotalPopulationMale,Total Population Male from Census,Blood sugar level among adults (age 15 years and above)-men-blood sugar level - very high (greater than 160 mg/dl) (%)
Elevated blood pressure or taking medicine to control blood pressure (%),I6821_81,Numeric Variable,Percentage,1,weighted avg,WeighingRatio_Percentage_TotalPopulationMale,Total Population Male from Census,Hypertension among adults (age 15 years and above)-elevated blood pressure (systolic =140 mm of hg and or diastolic =90 mm of hg) or taking medicine to control blood pressure (%)
Men-ever undergone an oral cavity examination for oral cancer (%),I6821_82,Numeric Variable,Percentage,1,weighted avg,WeighingRatio_Percentage_TotalPopulationMale,Total Population Male from Census,Screening for cancer among adults (age 30 to 49 years)-men-ever undergone an oral cavity examination for oral cancer (%)
Men-mildly elevated blood pressure (%),I6821_83,Numeric Variable,Percentage,1,weighted avg,WeighingRatio_Percentage_TotalPopulationMale,Total Population Male from Census,Hypertension among adults (age 15 years and above) -men-mildly elevated blood pressure (systolic 140 to 159 mm of hg and or diastolic 90 to 99 mm of hg) (%)
Moderately or severely elevated blood pressure (%),I6821_84,Numeric Variable,Percentage,1,weighted avg,WeighingRatio_Percentage_TotalPopulationMale,Total Population Male from Census,Hypertension among adults (age 15 years and above) -moderately or severely elevated blood pressure (systolic greater than or equal to 160 mm of hg and or diastolic greater than or equal to 100 mm of hg) (%)
Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),I6821_85,Numeric Variable,Percentage,1,weighted avg,WeighingRatio_Percentage_TotalPopulationFemale,Total Population Female from Census,Maternal and child health-maternity care (for last birth in the 5 years before the survey)-mothers who consumed iron folic acid for 100 days or more when they were pregnant (%)
Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),I6821_86,Numeric Variable,Percentage,1,weighted avg,WeighingRatio_Percentage_TotalPopulationFemale,Total Population Female from Census,Maternal and child health-maternity care (for last birth in the 5 years before the survey)-mothers who consumed iron folic acid for 180 days or more when they were pregnant (%)
Mothers who had an antenatal check-up in the first trimester (%),I6821_87,Numeric Variable,Percentage,1,weighted avg,WeighingRatio_Percentage_TotalPopulationFemale,Total Population Female from Census,Maternal and child health-maternity care (for last birth in the 5 years before the survey) mothers who had an antenatal check-up in the first trimester (%)
Mothers who had at least 4 antenatal care visits (%),I6821_88,Numeric Variable,Percentage,1,weighted avg,WeighingRatio_Percentage_TotalPopulationFemale,Total Population Female from Census,Maternal and child health-maternity care (for last birth in the 5 years before the survey)-mothers who had at least 4 antenatal care visits (%)
Mothers who received postnatal care from a doctor or nurse or lady health visitor ( lhv ) or auxiliary nurse midwifery ( anm ) or midwife or other health personnel within 2 days of delivery (%),I6821_89,Numeric Variable,Percentage,1,weighted avg,WeighingRatio_Percentage_TotalPopulationFemale,Total Population Female from Census,Maternal and child health-maternity care (for last birth in the 5 years before the survey)-mothers who received postnatal care from a doctor or nurse or Lady Health Visitor ( LHV ) or Auxiliary Nurse Midwifery ( ANM ) or midwife or other health personnel within 2 days of delivery (%)
Mothers whose last birth was protected against neonatal tetanus (%),I6821_90,Numeric Variable,Percentage,1,weighted avg,WeighingRatio_Percentage_TotalPopulationFemale,Total Population Female from Census,"Maternal and child health-maternity care (for last birth in the 5 years before the survey)-mothers whose last birth was protected against neonatal tetanus (includes mothers with two injections during the pregnancy for their last birth, or two or more injections (the last within 3 years of the last live birth), or three or more  injections (the last within 5 years of the last birth), or four or more injections (the last within 10 years of the last live birth), or five or more injections at any time prior to the  last birth) (%)"
Neonatal mortality rate ( nnmr ) (%),I6821_91,Numeric Variable,Percentage,1,weighted avg,WeighingRatio_Percentage_TotalPopulation,Total Population from Census,"Infant and child mortality rates (per 1,000 live births) neonatal mortality rate ( NNMR ) (%)"
Non-breastfeeding children age group 6 to 23 months receiving an adequate diet (%),I6821_92,Numeric Variable,Percentage,1,weighted avg,WeighingRatio_Percentage_TotalPopulation,Total Population from Census,"Child feeding practices and nutritional status of children-non-breastfeeding children age 6 to 23 months receiving an adequate diet- based on the youngest child living with the mother. breastfed children receiving 4 or more food groups and a minimum meal frequency, non-breastfed children fed with a minimum of 3 infant and young child feeding  practices (fed with other milk or milk products at least twice a day, a minimum meal frequency that is, receiving solid or semi-solid food at least twice a day for breastfed  infants 6-8 months and at least three times a day for breastfed children 9-23 months, and solid or semi-solid foods from at least four food groups not including the milk or  milk products food group) (%)"
Non-pregnant women age group 15 to 49 years who are anaemic (%),I6821_93,Numeric Variable,Percentage,1,weighted avg,WeighingRatio_Percentage_TotalPopulationFemale,Total Population Female from Census,"Anaemia among children and adults-non-pregnant women age 15 to 49 years who are anaemic (less than 12.0 g/dl) (haemoglobin in grams per decilitre (g/dl). among children, prevalence is adjusted for altitude. among adults, prevalence is adjusted for altitude and for smoking status, if known. as NFHS uses the capillary blood for estimation of anaemia, the results of NFHS-5 need not be compared with other surveys using venous blood) (%)"
Currently married women age group 15 to 49 years consuming pill (%),I6821_94,Numeric Variable,Percentage,1,weighted avg,WeighingRatio_Percentage_TotalPopulationFemale,Total Population Female from Census,Current use of family planning methods (currently married women age 15 to 49 years) pill (%)
Population below age 15 years (%),I6821_95,Numeric Variable,Percentage,1,weighted avg,WeighingRatio_Percentage_TotalPopulation,Total Population from Census,Population and household profile-population below age 15 years (%)
