key,prop,value,p1,v1,p2,v2,p3,v3,,,,,,,,,,
"Incidence of poverty, Male Urban, Percent",measuredProperty,count,populationType,Person,povertyStatus,Poverty,measurementDenominator,"-name,-povertyStatus",unit,Percent,scalingFactor,100,placeOfResidenceClassification,Urban,gender,Male,name,"""percentage of urban men live in poverty"""
"Incidence of poverty, Rural Coastal, Percent",measuredProperty,count,populationType,Person,povertyStatus,Poverty,measurementDenominator,"-name,-povertyStatus",unit,Percent,scalingFactor,100,placeOfResidenceClassification,Rural,landCoverType,Coastal,name,"""percentage of people living in rural coastal areas are poor"""
"Incidence of poverty, Rural Forest, Percent",measuredProperty,count,populationType,Person,povertyStatus,Poverty,measurementDenominator,"-name,-povertyStatus",unit,Percent,scalingFactor,100,placeOfResidenceClassification,Rural,landCoverType,Forest,name,"""percentage of people living in rural forest areas are poor"""
"Incidence of poverty, Rural, Percent",measuredProperty,count,populationType,Person,povertyStatus,Poverty,measurementDenominator,"-name,-povertyStatus",unit,Percent,scalingFactor,100,placeOfResidenceClassification,Rural,,,name,"""percentage of rural people live in poverty"""
"Incidence of poverty, Total, Percent",measuredProperty,count,populationType,Person,povertyStatus,Poverty,measurementDenominator,"-name,-povertyStatus",unit,Percent,scalingFactor,100,,,,,name,"""percentage of the total population lives in poverty"""
"Incidence of poverty, Urban Coastal, Percent",measuredProperty,count,populationType,Person,povertyStatus,Poverty,measurementDenominator,"-name,-povertyStatus",unit,Percent,scalingFactor,100,placeOfResidenceClassification,Urban,landCoverType,Coastal,name,"""percentage of people living in urban coastal areas are poor"""
"Incidence of poverty, Urban Forest, Percent",measuredProperty,count,populationType,Person,povertyStatus,Poverty,measurementDenominator,"-name,-povertyStatus",unit,Percent,scalingFactor,100,placeOfResidenceClassification,Urban,landCoverType,Forest,name,"""Percentage of people living in poverty in urban forests"""
"Incidence of poverty, Rural Savannah, Percent",measuredProperty,count,populationType,Person,povertyStatus,Poverty,measurementDenominator,"-name,-povertyStatus",unit,Percent,scalingFactor,100,placeOfResidenceClassification,Rural,landCoverType,Savannah,name,"""Percentage of people living in poverty in rural savannah regions"""
"Proportion of population below the poverty line, Total, Percent",measuredProperty,count,populationType,Person,povertyStatus,BelowPovertyLine,measurementDenominator,"-name,-povertyStatus",unit,Percent,scalingFactor,100,,,,,name,"""Percentage of the population living below the poverty line"""
"Incidence of poverty, Urban, Percent",measuredProperty,count,populationType,Person,povertyStatus,Poverty,measurementDenominator,"-name,-povertyStatus",unit,Percent,scalingFactor,100,placeOfResidenceClassification,Urban,,,name,"""Percentage of people living in poverty in urban areas"""
"Incidence of poverty, Urban Savannah, Percent",measuredProperty,count,populationType,Person,povertyStatus,Poverty,measurementDenominator,"-name,-povertyStatus",unit,Percent,scalingFactor,100,placeOfResidenceClassification,Urban,landCoverType,Savannah,name,"""Percentage of people living in poverty in urban savannah regions"""
"Poverty gap ratio, Total, Percent",measuredProperty,count,populationType,Person,povertyStatus,PovertyGapRatio,measurementDenominator,"-name,-povertyStatus",unit ,Percent,scalingFactor,100,,,,,name,"""Poverty gap ratio"""
"Inflation rate (year-on-year), Percent",measuredProperty,inflationRate,populationType,EconomicActivity,unit ,Percent,scalingFactor,100,,,,,,,,,name,"""Annual percentage increase in prices of goods and services"""
"Nominal GDP, Billion cedis",measuredProperty,amount,populationType,NominalGrossDomesticProduct,unit,GHS,#Multiply,1000000000,,,,,,,,,name,"""Total value of goods and services produced in Ghana in Ghanaian Cedis"""
"Real GDP, Billion cedis",measuredProperty,amount,populationType,GrossDomesticProduct,unit,GHS,#Multiply,1000000000,,,,,,,,,name,"""Real GDP Billion cedis"""
"GDP growth rate, Percent",measuredProperty,growthRate,populationType,GrossDomesticProduct,unit,Percent,scalingFactor,100,,,,,,,,,name,"""Annual percentage increase in a country's GDP"""
"GDP at constant prices (2006), Billion cedis",measuredProperty,amount,populationType,GrossDomesticProduct,unit,GHS,#Multiply,1000000000,,,,,,,,,name,"""Total value of goods and services produced in Ghana in 2006 prices"""
"Gross domestic product (GDP) at 2006 prices, Gh¢ Million",measuredProperty,amount,populationType,GrossDomesticProduct,unit ,GHS,#Multiply,1000000,,,,,,,,,name,"""Total value of goods and services produced in Ghana in 2006 prices"""
"Non-tax revenue, Million Cedis",measuredProperty,amount,populationType,Revenue,revenueType,NonTax,unit,GHS,#Multiply,1000000,,,,,,,name,"""Non-tax revenue Million Cedis"""
"Non-interest expenditure, Billion cedis",measuredProperty,amount,populationType,EconomicActivity,activitySource,ExpenditureActivity,expenditureType,NonInterestExpenditure,unit,GHS,#Multiply,1000000000,,,,,name,"""Non-interest expenditure Billion cedis"""
"Amount of transfers, Billion cedis",measuredProperty,amount,populationType,EconomicActivity,expenditureType,TransferAmount,unit,GHS,#Multiply,1000000000,,,,,,,name,"""Amount of transfers Billion cedis"""
"Amount of tax revenue, Million Cedis",measuredProperty,amount,populationType,EconomicActivity,expenditureType,TaxRevenue,unit,GHS,#Multiply,1000000,,,,,,,name,"""Amount of tax revenue Million Cedis"""
"Amount of savings and time deposits, Million Cedis",measuredProperty,amount,populationType,EconomicActivity,expenditureType,SavingsTimeDeposit,unit,GHS,#Multiply,1000000,,,,,,,name,"""Amount of savings and time deposits Million Cedis"""
"Amount of net-lending, Billion cedis",measuredProperty,amount,populationType,EconomicActivity,expenditureType,NetLending,unit,GHS,#Multiply,1000000000,,,,,,,name,"""Amount of net-lending Billion cedis"""
"Amount of grants, Million Cedis",measuredProperty,amount,populationType,EconomicActivity,expenditureType,GrantAmount,unit,GHS,#Multiply,1000000,,,,,,,name,"""Amount of grants Million Cedis"""
"Amount of foreign currency deposits, Million Cedis",measuredProperty,amount,populationType,EconomicActivity,expenditureType,ForeignCurrencyDeposit,unit,GHS,#Multiply,1000000,,,,,,,name,"""Amount of foreign currency deposits Million Cedis"""
"Amount of demand deposits, Million Cedis",measuredProperty,amount,populationType,EconomicActivity,expenditureType,DemandDeposit,unit,GHS,#Multiply,1000000,,,,,,,name,"""Amount of demand deposits Million Cedis"""
"Amount of capital expenditure, Billion cedis",measuredProperty,amount,populationType,EconomicActivity,expenditureType,CapitalExpenditure,unit,GHS,#Multiply,1000000000,,,,,,,name,"""Amount of capital expenditure Billion cedis"""
"Amount of currency outside banks, Million Cedis",measuredProperty,amount,populationType,EconomicActivity,expenditureType,CurrencyOutsideBank,unit,GHS,#Multiply,1000000,,,,,,,name,"""Amount of currency outside banks Million Cedis"""
"Value of non-traditional agricultural exports, Thousand US Dollars",measuredProperty,exports,populationType,EconomicActivity,product,NonTraditionalAgriculturalProduct,unit ,USDollar,#Multiply,1000,,,,,,,name,"""Value of non-traditional agricultural exports Thousand US Dollars"""
"Value of export of unprocessed food and beverages mainly for industry, Cedis",measuredProperty,exports,populationType,EconomicActivity,product,IndustryUnprocessedFoodAndBeverages,unit ,GHS,,,,,,,,,name,"""Value of export of unprocessed food and beverages mainly for industry Cedis"""
"Value of export of unprocessed food and beverages mainly for household consumption, Cedis",measuredProperty,exports,populationType,EconomicActivity,product,HouseholdUnprocessedFoodAndBeverages,unit ,GHS,,,,,,,,,name,"""Value of export of unprocessed food and beverages mainly for household consumption Cedis"""
"Value of export of processed fuels and lubricants , Cedis",measuredProperty,exports,populationType,EconomicActivity,product,ProcessedFuelAndLubricant,unit ,GHS,,,,,,,,,name,"""Value of export of processed fuels and lubricants  Cedis"""
"Value of export of processed food and beverages mainly for household consumption, Cedis",measuredProperty,exports,populationType,EconomicActivity,product,HouseholdProcessedFoodAndBeverages,unit ,GHS,,,,,,,,,name,"""Value of export of processed food and beverages mainly for household consumption Cedis"""
"Value of export of industrial transport equipment, Cedis",measuredProperty,exports,populationType,EconomicActivity,product,IndustrialTransportEquipment,unit ,GHS,,,,,,,,,name,"""Value of export of industrial transport equipment Cedis"""
"Value of export of durable consumer goods (n.e.s), Cedis",measuredProperty,exports,populationType,EconomicActivity,product,DurableConsumerGoods,unit ,GHS,,,,,,,,,name,"""Value of export of durable consumer goods (n.e.s) Cedis"""
"Value of export of capital goods , Cedis",measuredProperty,exports,populationType,EconomicActivity,product,CapitalGoods,unit ,GHS,,,,,,,,,name,"""Value of export of capital goods  Cedis"""
"Export of semi-durable consumer goods (n.e.s), Cedis",measuredProperty,exports,populationType,EconomicActivity,product,SemiDurableConsumerGoods,unit ,GHS,,,,,,,,,name,"""Export of semi-durable consumer goods (n.e.s) Cedis"""
"Export of processed Industrial supplies (n.e.s), Cedis",measuredProperty,exports,populationType,EconomicActivity,product,ProcessedIndustrialSupplies,unit ,GHS,,,,,,,,,name,"""Export of processed Industrial supplies (n.e.s) Cedis"""
"Export of primary industrial supplies (n.e.s), Cedis",measuredProperty,exports,populationType,EconomicActivity,product,PrimaryIndustrialSupplies,unit ,GHS,,,,,,,,,name,"""Export of primary industrial supplies (n.e.s) Cedis"""
"Export of parts and accessories, Cedis",measuredProperty,exports,populationType,EconomicActivity,product,PartsAndAccessories,unit ,GHS,,,,,,,,,name,"""Export of parts and accessories Cedis"""
"Export of parts and accessories of transport equipment, Cedis",measuredProperty,exports,populationType,EconomicActivity,product,TransportEquipmentPartsAndAccessories,unit ,GHS,,,,,,,,,name,"""Value of exported parts and accessories for transportation vehicles in Ghanaian Cedis"""
"Export of non-industrial transport equipment, Cedis",measuredProperty,exports,populationType,EconomicActivity,product,NonIndustrialTransportEquipment,unit ,GHS,,,,,,,,,name,"""Value of non-industrial transport equipment exported from Ghana in Ghanaian Cedis"""
"Export of non-durable consumer goods (n.e.s), Cedis",measuredProperty,exports,populationType,EconomicActivity,product,NonDurableConsumerGoods,unit ,GHS,,,,,,,,,name,"""Non-durable consumer goods exports from Ghana in cedis"""
"Export of motor spirit, Cedis",measuredProperty,exports,populationType,EconomicActivity,product,MotorSpirit,unit ,GHS,,,,,,,,,name,"""Value of motor spirit exported from Ghana in Ghanaian Cedis"""
"Import of semi-durable consumer goods (n.e.s), Cedis",measuredProperty,imports,populationType,EconomicActivity,product,SemiDurableConsumerGoodsImport,unit ,GHS,,,,,,,,,name,"""Semi-durable consumer goods imports from Ghana in cedis"""
"Import of processed Industrial supplies (n.e.s), Cedis",measuredProperty,imports,populationType,EconomicActivity,product,ProcessedIndustrialSuppliesImport,unit ,GHS,,,,,,,,,name,"""Processed industrial supplies imports from Ghana in cedis"""
"Import of primary Industrial supplies (n.e.s), Cedis",measuredProperty,imports,populationType,EconomicActivity,product,PrimaryIndustrialSuppliesImport,unit ,GHS,,,,,,,,,name,"""Value of primary industrial supplies imported into Ghana in Ghanaian Cedis"""
"Import of primary fuels and lubricants, Cedis",measuredProperty,imports,populationType,EconomicActivity,product,PrimaryFuelAndLubricant,unit ,GHS,,,,,,,,,name,"""Value of primary fuels and lubricants imported into Ghana in Ghanaian Cedis"""
"Import of passenger motor cars, Cedis",measuredProperty,imports,populationType,EconomicActivity,product,PassengerMotorCars,unit ,GHS,,,,,,,,,name,"""Value of passenger motor cars imported into Ghana in Ghanaian Cedis"""
"Import of parts and accessories, Cedis",measuredProperty,imports,populationType,EconomicActivity,product,PartsAndAccessoriesImport,unit ,GHS,,,,,,,,,name,"""Parts and accessories imports from Ghana in cedis"""
"Import of parts and accessories of transport equipment, Cedis",measuredProperty,imports,populationType,EconomicActivity,product,TransportEquipmentPartsAndAccessoriesImport,unit ,GHS,,,,,,,,,name,"""Transport equipment parts imports from Ghana in cedis"""
"Import of capital goods (except transport equipment), Cedis",measuredProperty,imports,populationType,EconomicActivity,product,CapitalGoodsImport,unit ,GHS,,,,,,,,,name,"""Capital goods imports (excluding transport equipment) from Ghana in cedis"""
"Import of consumer goods (n.e.s), Cedis",measuredProperty,imports,populationType,EconomicActivity,product,ConsumerGoodsImport,unit ,GHS,,,,,,,,,name,"""Consumer goods imports from Ghana in cedis"""
"Import of durable consumer goods (n.e.s), Cedis",measuredProperty,imports,populationType,EconomicActivity,product,DurableConsumerGoodsImport,unit ,GHS,,,,,,,,,name,"""Durable consumer goods imports from Ghana in cedis"""
"Import of food and beverages, primary, mainly for household consumption, Cedis",measuredProperty,imports,populationType,EconomicActivity,product,HouseholdFoodAndBeveragesPrimary,unit ,GHS,,,,,,,,,name,"""Ghana's primary food and beverage imports"""
"Import of food and beverages, primary, mainly for industry, Cedis",measuredProperty,imports,populationType,EconomicActivity,product,IndustryFoodAndBeveragesPrimary,unit ,GHS,,,,,,,,,name,"""Ghana's primary food and beverage imports for industry"""
"Import of food and beverages, processed, mainly for household consumption, Cedis",measuredProperty,imports,populationType,EconomicActivity,product,HouseholdProcessedFoodAndBeveragesImport,unit ,GHS,,,,,,,,,name,"""Ghana's processed food and beverage imports for household consumption"""
"Import of food and beverages processed mainly for industry, Cedis",measuredProperty,imports,populationType,EconomicActivity,product,IndustryProcessedFoodAndBeveragesImport,unit ,GHS,,,,,,,,,name,"""Ghana's processed food and beverage imports for industry"""
"Import of non-industrial transport equipment, Cedis",measuredProperty,imports,populationType,EconomicActivity,product,NonIndustrialTransportEquipmentImport,unit ,GHS,,,,,,,,,name,"""Ghana's non-industrial transport equipment imports"""
"Import of non-durable consumer goods (n.e.s), Cedis",measuredProperty,imports,populationType,EconomicActivity,product,NonDurableConsumerGoodsImport,unit ,GHS,,,,,,,,,name,"""Non-durable consumer goods imports from Ghana in cedis"""
"Import of motor spirit, Cedis",measuredProperty,imports,populationType,EconomicActivity,product,MotorSpiritImport,unit ,GHS,,,,,,,,,name,"""Motor spirit imports from Ghana in cedis"""
"Import of industrial transport equipment, Cedis",measuredProperty,imports,populationType,EconomicActivity,product,IndustrialTransportEquipmentImport,unit ,GHS,,,,,,,,,name,"""Industrial transport equipment imports from Ghana in cedis"""
"Import of fuels and lubricants, processed (other than motor spirit), Cedis",measuredProperty,imports,populationType,EconomicActivity,product,ProcessedFuelaAndLubricantImport,unit ,GHS,,,,,,,,,name,"""Ghana's processed fuel and lubricant imports"""
"Gross capital formation at current prices, Gh¢ Million",measuredProperty,grossCapitalFormation,populationType,EconomicActivity,measurementQualifier,RealValue,unit,GHS,#Multiply,1000000,,,,,,,name,"""Gross investment in Ghana in Ghanaian Cedis"""
"Gross capital formation at constant prices, Gh¢ Million",#ignore,ignore value,,,,,,,,,,,,,,,,
"Government final consumption expenditure at current prices, Gh¢ Million",measuredProperty,amount,populationType,EconomicActivity,activitySource,ExpenditureActivity,expenditureType,GovernmentFinalExpenditure,unit,GHS,#Multiply,1000000,,,,,name,"""Government spending in Ghana in Ghanaian Cedis"""
"Growth rates of GDP at constant prices (2006), Percent",#ignore,ignore value,,,,,,,,,,,,,,,,
"Gross domestic product (GDP) growth rate at constant prices (2006), Percent",#ignore,ignore value,,,,,,,,,,,,,,,,
"Gross domestic product (GDP) at current prices, Percent",measuredProperty,grossDomesticProduct,populationType,EconomicActivity,measurementQualifier,RealValue,unit,Percent,scalingFactor,100,,,,,,,name,"""Total value of goods and services produced at current market prices"""
"Gross domestic product (GDP) at current prices, Gh¢ Million",measuredProperty,grossDomesticProduct,populationType,EconomicActivity,measurementQualifier,RealValue,unit,GHS,#Multiply,1000000,,,,,,,name,"""Total value of goods and services produced in Ghana at current market prices"""
"Gross domestic product (GDP) at basic prices, Percent",measuredProperty,grossDomesticProduct,populationType,EconomicActivity,measurementQualifier,BaseValue,unit,Percent,scalingFactor,100,,,,,,,name,"""Total value of goods and services produced excluding taxes and subsidies"""
"Gross domestic product (GDP) at current market prices, Gh¢ Million",measuredProperty,grossDomesticProduct,populationType,EconomicActivity,measurementQualifier,RealValue,unit,GHS,#Multiply,1000000,,,,,,,name,"""Economic output of Ghana in Ghanaian Cedis"""
1990,value,{Number},observationDate,1990,,,,,,,,,,,,,,
1992,value,{Number},observationDate,1992,,,,,,,,,,,,,,
1994,value,{Number},observationDate,1994,,,,,,,,,,,,,,
1995,value,{Number},observationDate,1995,,,,,,,,,,,,,,
1996,value,{Number},observationDate,1996,,,,,,,,,,,,,,
1997,value,{Number},observationDate,1997,,,,,,,,,,,,,,
1998,value,{Number},observationDate,1998,,,,,,,,,,,,,,
1999,value,{Number},observationDate,1999,,,,,,,,,,,,,,
2000,value,{Number},observationDate,2000,,,,,,,,,,,,,,
2001,value,{Number},observationDate,2001,,,,,,,,,,,,,,
2002,value,{Number},observationDate,2002,,,,,,,,,,,,,,
2003,value,{Number},observationDate,2003,,,,,,,,,,,,,,
2004,value,{Number},observationDate,2004,,,,,,,,,,,,,,
2005,value,{Number},observationDate,2005,,,,,,,,,,,,,,
2006,value,{Number},observationDate,2006,,,,,,,,,,,,,,
2007,value,{Number},observationDate,2007,,,,,,,,,,,,,,
2008,value,{Number},observationDate,2008,,,,,,,,,,,,,,
2009,value,{Number},observationDate,2009,,,,,,,,,,,,,,
2010,value,{Number},observationDate,2010,,,,,,,,,,,,,,
