Table 4-2,,,,,,,,,,,,
"Median annual salary of full-time employed college graduates, by sex, major occupation, age, ethnicity, race, disability status, and citizenship status: 2023",,,,,,,,,,,,
(Dollars),,,,,,,,,,,,
"Sex, occupation, and age",Total,Hispanic or Latino,Not Hispanic or Latino,,,,,,Without disability,With disability,U.S. citizen,Non-U.S. citizen
Computer and mathematical scientists,"120,000","100,000","70,000","135,000","100,000",D,"117,000","110,000","120,000","104,000","115,000","140,000"
Computer and mathematical scientists:29 and younger,"95,000","80,000",D,"114,000","82,000",D,"93,000","85,000","96,000","80,000","92,000","130,000"
Computer and mathematical scientists:30–39,"120,000","110,000",D,"135,000","98,000",D,"120,000","131,000","121,000","109,000","116,000","144,000"
Computer and mathematical scientists:40–49,"128,000","111,000",D,"144,000","105,000",D,"122,000","132,000","129,000","117,000","124,000","140,000"
Computer and mathematical scientists:50–75,"125,000","110,000",S,"149,000","119,000",D,"125,000","109,000","129,000","105,000","125,000","135,000"
Physical and related scientists,"83,000","73,000",D,"75,000","80,000",D,"90,000","66,000","85,000","72,000","84,000","61,000"
Physical and related scientists:29 and younger,"52,000","43,000",D,"47,000",S,D,"55,000",S,"54,000","32,000","54,000","31,000"
Physical and related scientists:30–39,"82,000","76,000",D,"68,000","81,000",D,"89,000","87,000","82,000","77,000","82,000","73,000"
Physical and related scientists:40–49,"105,000","74,000",D,"98,000","109,000",D,"110,000","91,000","109,000","79,000","108,000","86,000"
Physical and related scientists:50–75,"120,000","94,000",D,"109,000",S,D,"125,000",D,"121,000","99,000","120,000","94,000"
Social and related scientists,"86,000","86,000",S,"87,000","72,000",D,"89,000","78,000","88,000","74,000","86,000","82,000"
Social and related scientists:29 and younger,"55,000","42,000",D,"72,000","53,000",D,"58,000",S,"60,000","40,000","55,000","54,000"
Social and related scientists:30–39,"90,000","98,000",D,"91,000","81,000",D,"89,000","81,000","90,000","86,000","92,000","74,000"
Social and related scientists:40–49,"90,000",S,D,"115,000","47,000",D,"88,000",S,"90,000","94,000","88,000",S
Social and related scientists:50–75,"103,000","86,000",D,"87,000","75,000",D,"111,000","109,000","109,000","86,000","107,000","82,000"
Engineers,"115,000","103,000","122,000","125,000","102,000",S,"114,000","111,000","115,000","100,000","113,000","120,000"
Engineers:29 and younger,"87,000","78,000",D,"100,000","82,000",D,"87,000","85,000","87,000","79,000","85,000","107,000"
Engineers:30–39,"115,000","109,000",S,"125,000","104,000",D,"112,000","121,000","116,000","98,000","114,000","120,000"
Engineers:40–49,"132,000","130,000",D,"140,000","107,000",D,"134,000","105,000","135,000","103,000","132,000","139,000"
Engineers:50–75,"140,000","128,000",D,"149,000","125,000",D,"140,000","142,000","142,000","125,000","140,000","147,000"
S&E-related occupations,"90,000","84,000","64,000","110,000","80,000","129,000","90,000","92,000","92,000","82,000","90,000","100,000"
S&E-related occupations:29 and younger,"65,000","64,000",D,"72,000","60,000",D,"64,000","65,000","65,000","60,000","65,000","63,000"
S&E-related occupations:30–39,"89,000","84,000","62,000","109,000","79,000",D,"88,000","92,000","89,000","89,000","88,000","118,000"
S&E-related occupations:40–49,"108,000","100,000","98,000","147,000","88,000",D,"104,000","112,000","110,000","84,000","106,000","122,000"
S&E-related occupations:50–75,"104,000","100,000",S,"125,000","85,000",S,"103,000","123,000","110,000","85,000","104,000","94,000"
Non-S&E occupations,"77,000","67,000","62,000","91,000","65,000","78,000","80,000","71,000","80,000","68,000","78,000","75,000"
Non-S&E occupations:29 and younger,"55,000","52,000","56,000","69,000","52,000",D,"56,000","42,000","55,000","50,000","55,000","63,000"
Non-S&E occupations:30–39,"76,000","65,000","66,000","93,000","60,000","74,000","78,000","71,000","78,000","62,000","76,000","75,000"
Non-S&E occupations:40–49,"87,000","80,000","96,000","110,000","77,000",S,"87,000","99,000","90,000","74,000","86,000","91,000"
Non-S&E occupations:50–75,"89,000","81,000","56,000","75,000","72,000",S,"92,000","91,000","90,000","74,000","89,000","70,000"
Female,"75,000","65,000","62,000","95,000","67,000","80,000","75,000","72,000","76,000","65,000","75,000","89,000"
Female:29 and younger,"58,000","56,000","57,000","75,000","59,000",S,"56,000","47,000","59,000","56,000","57,000","75,000"
Female:30–39,"75,000","68,000","70,000","100,000","62,000",S,"75,000","71,000","77,000","60,000","75,000","95,000"
Female:40–49,"84,000","74,000","89,000","110,000","80,000",D,"82,000","94,000","85,000","72,000","83,000","99,000"
Female:50–75,"81,000","70,000","60,000","89,000","73,000",S,"84,000","95,000","85,000","70,000","81,000","59,000"
S&E occupations 2,"98,000","88,000","86,000","115,000","90,000",S,"94,000","105,000","100,000","83,000","95,000","115,000"
S&E occupations 2:29 and younger,"76,000","69,000",D,"98,000","75,000",D,"72,000","85,000","80,000","54,000","75,000","121,000"
S&E occupations 2:30–39,"100,000","87,000",D,"115,000","89,000",D,"98,000","113,000","101,000","89,000","97,000","115,000"
S&E occupations 2:40–49,"110,000","120,000",S,"119,000","105,000",D,"100,000","115,000","113,000","99,000","110,000","119,000"
S&E occupations 2:50–75,"111,000","100,000",S,"128,000","100,000",D,"110,000","114,000","116,000","99,000","114,000","80,000"
"Biological, agricultural, and other life scientists 2","79,000","65,000",D,"97,000","69,000",D,"74,000","82,000","82,000","51,000","79,000","80,000"
"Biological, agricultural, and other life scientists 2:29 and younger","44,000","49,000",D,"50,000","38,000",D,"39,000","33,000","51,000",S,"44,000","46,000"
"Biological, agricultural, and other life scientists 2:30–39","77,000","65,000",D,"97,000","68,000",D,"71,000","82,000","82,000","55,000","79,000","70,000"
"Biological, agricultural, and other life scientists 2:40–49","98,000","106,000",D,"119,000","160,000",D,"83,000","114,000","99,000","83,000","93,000","110,000"
"Biological, agricultural, and other life scientists 2:50–75","100,000","77,000",D,"121,000","130,000",D,"99,000",S,"105,000","69,000","100,000","79,000"
Computer and mathematical scientists 2,"109,000","91,000",D,"120,000","97,000",D,"103,000","110,000","110,000","94,000","105,000","125,000"
Computer and mathematical scientists 2:29 and younger,"92,000","80,000",D,"114,000","92,000",D,"83,000","96,000","94,000","75,000","84,000","140,000"
Computer and mathematical scientists 2:30–39,"110,000","80,000",D,"121,000","94,000",D,"108,000","110,000","110,000","95,000","104,000","125,000"
Computer and mathematical scientists 2:40–49,"113,000","114,000",D,"119,000","109,000",D,"104,000","127,000","114,000","108,000","113,000","112,000"
Computer and mathematical scientists 2:50–75,"119,000","98,000",D,"136,000","104,000",D,"111,000",S,"122,000","99,000","120,000",S
Physical and related scientists 2,"77,000","73,000",D,"75,000","78,000",D,"80,000","79,000","76,000","79,000","78,000","68,000"
Physical and related scientists 2:29 and younger,"59,000","42,000",D,S,S,D,"57,000",D,"59,000","54,000","60,000","30,000"
Physical and related scientists 2:30–39,"82,000","73,000",D,"75,000","73,000",D,"90,000","83,000","85,000","75,000","82,000","73,000"
Physical and related scientists 2:40–49,"106,000","83,000",D,"93,000","113,000",D,"105,000",D,"109,000","95,000","109,000","80,000"
Physical and related scientists 2:50–75,"97,000","68,000",D,"104,000",S,D,"98,000",D,"98,000","77,000","97,000","102,000"
Social and related scientists 2,"84,000","98,000",S,"79,000","65,000",D,"84,000","98,000","84,000","73,000","84,000","81,000"
Social and related scientists 2:29 and younger,"54,000","45,000",D,"72,000","52,000",D,"55,000","94,000","59,000","39,000","55,000","48,000"
Social and related scientists 2:30–39,"90,000","99,000",D,"75,000","72,000",D,"91,000","88,000","90,000","93,000","93,000","62,000"
Social and related scientists 2:40–49,"107,000","120,000",D,"105,000","47,000",D,"98,000",D,"107,000","92,000","99,000",S
Social and related scientists 2:50–75,"89,000","97,000",D,"87,000","71,000",D,"96,000",S,"90,000","86,000","89,000",S
Engineers 2,"105,000","97,000",D,"116,000","95,000",D,"102,000","120,000","105,000","98,000","103,000","118,000"
Engineers 2:29 and younger,"87,000","83,000",D,"98,000","82,000",D,"89,000","85,000","88,000","75,000","85,000","134,000"
Engineers 2:30–39,"110,000","96,000",D,"118,000","94,000",D,"110,000","157,000","110,000","91,000","110,000","114,000"
Engineers 2:40–49,"120,000","130,000",D,"134,000","136,000",D,"106,000",D,"127,000","90,000","122,000","114,000"
Engineers 2:50–75,"130,000","124,000",D,"126,000","118,000",D,"130,000",D,"134,000","116,000","130,000",S
S&E-related occupations 2,"84,000","75,000","68,000","100,000","80,000",D,"84,000","72,000","85,000","70,000","85,000","78,000"
S&E-related occupations 2:29 and younger,"64,000","59,000",D,"71,000","60,000",D,"64,000","61,000","64,000","59,000","64,000","63,000"
S&E-related occupations 2:30–39,"85,000","83,000","66,000","104,000","79,000",D,"85,000","71,000","86,000","70,000","85,000","80,000"
S&E-related occupations 2:40–49,"96,000","93,000",S,"112,000","88,000",D,"95,000","86,000","100,000","78,000","96,000","103,000"
S&E-related occupations 2:50–75,"92,000","79,000",S,"103,000","85,000",D,"92,000","108,000","95,000","75,000","92,000","46,000"
Non-S&E occupations 2,"69,000","62,000","60,000","85,000","63,000","77,000","70,000","70,000","70,000","61,000","69,000","74,000"
Non-S&E occupations 2:29 and younger,"55,000","53,000",S,"71,000","51,000",D,"55,000",S,"55,000","56,000","55,000","65,000"
Non-S&E occupations 2:30–39,"69,000","62,000","64,000","93,000","57,000",S,"69,000","69,000","70,000","57,000","68,000","74,000"
Non-S&E occupations 2:40–49,"77,000","69,000","88,000","100,000","75,000",S,"75,000","99,000","79,000","67,000","76,000","91,000"
Non-S&E occupations 2:50–75,"75,000","65,000","57,000","69,000","66,000",S,"80,000","92,000","79,000","65,000","75,000","59,000"
Male ,"100,000","85,000","69,000","120,000","79,000","81,000","100,000","89,000","100,000","86,000","100,000","120,000"
Male:29 and younger,"70,000","60,000",S,"85,000","55,000",S,"70,000","60,000","70,000","60,000","70,000","77,000"
Male:30–39,"98,000","82,000","62,000","114,000","84,000","108,000","100,000","100,000","100,000","84,000","95,000","125,000"
Male:40–49,"112,000","92,000","97,000","148,000","83,000",S,"113,000","120,000","115,000","93,000","110,000","128,000"
Male:50–75,"118,000","104,000","59,000","135,000","92,000","98,000","120,000","112,000","120,000","96,000","118,000","114,000"
S&E occupations 3,"116,000","100,000",S,"135,000","101,000","94,000","115,000","107,000","119,000","100,000","114,000","135,000"
S&E occupations 3:29 and younger,"86,000","75,000",D,"100,000","80,000",D,"87,000","73,000","88,000","75,000","85,000","100,000"
S&E occupations 3:30–39,"119,000","110,000",S,"130,000","101,000",S,"116,000","127,000","120,000","98,000","115,000","139,000"
S&E occupations 3:40–49,"130,000","113,000",D,"148,000","103,000",D,"125,000","115,000","130,000","109,000","125,000","141,000"
S&E occupations 3:50–75,"130,000","114,000","136,000","149,000","119,000",D,"130,000","110,000","131,000","115,000","130,000","140,000"
"Biological, agricultural, and other life scientists 3","82,000","73,000",*,"110,000","68,000",D,"79,000","87,000","85,000","62,000","80,000","92,000"
"Biological, agricultural, and other life scientists 3:29 and younger","54,000","60,000",D,"39,000","34,000",D,"55,000",S,"56,000","54,000","55,000",S
"Biological, agricultural, and other life scientists 3:30–39","78,000","83,000",D,"110,000","66,000",D,"65,000","81,000","80,000",S,"70,000","103,000"
"Biological, agricultural, and other life scientists 3:40–49","95,000","90,000",D,"108,000",D,D,"91,000",S,"95,000","87,000","94,000","98,000"
"Biological, agricultural, and other life scientists 3:50–75","113,000",S,D,"135,000","129,000",D,"110,000",D,"111,000","116,000","113,000","90,000"
Computer and mathematical scientists 3,"120,000","107,000",S,"140,000","105,000",D,"120,000","109,000","122,000","110,000","120,000","144,000"
Computer and mathematical scientists 3:29 and younger,"95,000","80,000",D,"113,000","81,000",D,"96,000","82,000","96,000","86,000","95,000","124,000"
Computer and mathematical scientists 3:30–39,"125,000","113,000",D,"139,000","115,000",D,"125,000","138,000","126,000","110,000","120,000","150,000"
Computer and mathematical scientists 3:40–49,"130,000","105,000",D,"149,000","103,000",D,"126,000","132,000","130,000","121,000","129,000","144,000"
Computer and mathematical scientists 3:50–75,"130,000","110,000",D,"149,000","119,000",D,"128,000","107,000","130,000","113,000","129,000","141,000"
Physical and related scientists 3,"88,000","72,000",D,"74,000","79,000",D,"97,000",S,"90,000","65,000","90,000","60,000"
Physical and related scientists 3:29 and younger,"45,000","40,000",D,"46,000",D,D,"54,000",S,"53,000","29,000","52,000","32,000"
Physical and related scientists 3:30–39,"82,000",S,D,"68,000","81,000",D,"84,000",D,"82,000","77,000","82,000","70,000"
Physical and related scientists 3:40–49,"105,000","70,000",D,"99,000",S,D,"111,000",*,"109,000",S,"105,000","105,000"
Physical and related scientists 3:50–75,"128,000","94,000",D,"109,000","69,000",D,"130,000",S,"130,000","100,000","128,000","93,000"
Social and related scientists 3,"90,000","78,000",D,"120,000","82,000",D,"92,000","76,000","92,000","74,000","90,000","88,000"
Social and related scientists 3:29 and younger,"56,000","42,000",D,"60,000",D,D,"66,000",D,"60,000","35,000","55,000","60,000"
Social and related scientists 3:30–39,"92,000","79,000",D,"149,000",S,D,"86,000",D,"96,000","71,000","92,000","99,000"
Social and related scientists 3:40–49,"86,000","95,000",D,"118,000",S,D,"87,000",S,"86,000","93,000","86,000","117,000"
Social and related scientists 3:50–75,"113,000","85,000",D,"129,000","89,000",D,"113,000",S,"113,000","75,000","113,000","80,000"
Engineers 3,"116,000","105,000",S,"129,000","106,000",S,"115,000","105,000","118,000","101,000","115,000","123,000"
Engineers 3:29 and younger,"87,000","77,000",D,"100,000","81,000",D,"87,000","84,000","87,000","79,000","85,000","100,000"
Engineers 3:30–39,"115,000","110,000",*,"125,000","105,000",D,"113,000","119,000","116,000","98,000","115,000","125,000"
Engineers 3:40–49,"133,000","125,000",D,"141,000","102,000",D,"137,000","99,000","135,000","108,000","132,000","140,000"
Engineers 3:50–75,"141,000","128,000",D,"149,000","125,000",D,"141,000","142,000","144,000","131,000","140,000","147,000"
S&E-related occupations 3,"106,000","99,000",S,"132,000","80,000","89,000","105,000","119,000","110,000","98,000","105,000","125,000"
S&E-related occupations 3:29 and younger,"65,000","65,000",D,"72,000","59,000",D,"64,000","71,000","65,000","76,000","65,000","61,000"
S&E-related occupations 3:30–39,"98,000","84,000",S,"112,000","80,000",D,"100,000","119,000","95,000","114,000","94,000","129,000"
S&E-related occupations 3:40–49,"135,000","130,000",S,"169,000","75,000",D,"128,000","130,000","139,000","100,000","134,000","136,000"
S&E-related occupations 3:50–75,"125,000","115,000",S,"150,000","98,000",D,"125,000","152,000","131,000","98,000","125,000","114,000"
Non-S&E occupations 3,"90,000","80,000",S,"98,000","71,000","72,000","95,000","73,000","92,000","80,000","90,000","79,000"
Non-S&E occupations 3:29 and younger,"58,000","51,000",D,"56,000","53,000",D,"59,000","52,000","59,000","45,000","58,000","54,000"
Non-S&E occupations 3:30–39,"88,000","72,000",D,"94,000","75,000",D,"91,000","72,000","90,000","78,000","89,000","76,000"
Non-S&E occupations 3:40–49,"100,000","86,000",S,"118,000","82,000",D,"102,000","118,000","100,000","87,000","100,000","102,000"
Non-S&E occupations 3:50–75,"102,000","100,000","56,000","84,000","79,000",S,"110,000","89,000","110,000","89,000","104,000","78,000"
