pharmGKBID,dcid
PA166131481,chem/RosiglitazonePhenoxyaceticAcidDerivative
PA166131482,chem/CID24892807
PA166131483,chem/CID24892806
PA166131484,chem/CID276457
PA166131485,chem/HydroxycarbamazepineFreeRadical
PA166131486,chem/CID145722035
PA166131487,chem/CarbamazepineEpoxideGlucuronide
PA166131488,chem/CID21591811
PA166131489,chem/CID165339444
PA166131490,chem/CID165339445
PA166131491,chem/CID10220107
PA166131492,chem/CID10105488
PA166131493,chem/CID198555
PA166131494,chem/CID9816106
PA166131495,chem/NNOTridesmethylTramadolConjugates
PA166131496,chem/NODidesmethylTramadolConjugates
PA166131497,chem/CID29919005
PA166131498,chem/CID10152292
PA166131499,chem/CID9826472
PA166131500,chem/CID67424139
PA166131501,chem/CID10151557
PA166131502,chem/CID10288613
PA166131503,chem/CID71752221
PA166131504,chem/CID165361833
PA166131505,chem/CID6420913
PA166131506,chem/CID131770050
PA166131507,chem/CID16219718
PA166131508,chem/CID10018695
PA166131509,chem/CID165361770
PA166131510,chem/CID131769983
PA166131511,chem/CID131769930
PA166131512,chem/DieneValproicAcidCoenzymeA
PA166131513,chem/CID131769935
PA166131514,chem/CID131769938
PA166131515,chem/CID131769940
PA166131516,chem/CID134467
PA166131517,chem/CID135244
PA166131518,chem/CID92753
PA166131519,chem/CID11966122
PA166131520,chem/ThiolConjugatesOfValproicAcid
PA166131521,chem/CID11422966
PA166131522,chem/CID438968
PA166131523,chem/CID130392110
PA166131524,chem/CID6475538
PA166131525,chem/CID10028772
PA166131526,chem/CID131769921
PA166131527,chem/CID6433441
PA166131528,chem/CID131770046
PA166131529,chem/CID59023618
PA166131530,chem/CID67319009
PA166131531,chem/HydroxydoxepinGlucuronide
PA166131532,chem/CID131770014
PA166131533,chem/CID131769926
PA166131534,chem/CID10653928
PA166131535,chem/CID11115853
PA166131536,chem/CID10260788
PA166131537,chem/CID3501942
PA166131538,chem/CID71315801
PA166131539,chem/CID3451347
PA166131540,chem/CID163959
PA166131541,chem/HydroxyibuprofenGlucuronide
PA166131542,chem/HydroxyibuprofenGlucuronide
PA166131543,chem/HydroxyibuprofenGlucuronide
PA166131544,chem/CID135390721
PA166131545,chem/AbacavirMinorMetabolites
PA166131546,chem/CID101617325
PA166131547,chem/NAcetylGammaCalicheamicinDimethylHydrazide
PA166131548,chem/CID5497189
PA166131549,chem/ParoxetineMSulfate
PA166131550,chem/ParoxetinePolarMetabolites
PA166131551,chem/CID163876
PA166131552,chem/CID46781621
PA166131553,chem/CID160784
PA166131554,chem/HydroxyefavirenzGlucuronide
PA166131555,chem/HydroxyefavirenzGlucuronide
PA166131556,chem/DihydroxyefavirenzGlucuronide
PA166131557,chem/EfavirenzNGlucuronide
PA166131558,chem/CID11756356
PA166131559,chem/CID10077584
PA166131560,chem/IrinotecanM
PA166131561,chem/CID178540
PA166131562,chem/CID181139
PA166131563,chem/GlutathioneConjugate
PA166131565,chem/CID150844
PA166131566,chem/ThioetherProduct
PA166131567,chem/CID130659
PA166131568,chem/CID44448712
PA166131569,chem/CID9871558
PA166131570,chem/CID503015
PA166131571,chem/CID114861
PA166131572,chem/CID119105
PA166131573,chem/CID21117452
PA166131575,chem/CID312
PA166131577,chem/CID1038
PA166131578,chem/CID27284
PA166131579,chem/CID5359597
PA166131582,chem/CID71602
PA166131583,chem/CID5922
PA166131584,chem/CID9321
PA166131586,chem/CID14039
PA166131587,chem/CID72884
PA166131588,chem/IsonicotinylGlycine
PA166131589,chem/CID70683039
PA166131590,chem/IsoniazidMetabolicIntermediates
PA166131591,chem/CID656947
PA166131592,chem/IsoniazidDiazohydroxideMetabolite
PA166131593,chem/IsoniazidHydrazones
PA166152901,chem/CID5202
PA166153171,chem/CID107902
PA166158935,chem/CID1144671
PA166159186,chem/AtazanavirM
PA166159187,chem/CID71474000
PA166159188,chem/CID72710762
PA166159189,chem/AtazanavirM
PA166159190,chem/AtazanavirM
PA166159192,chem/CID118753152
PA166159251,chem/CID10044355
PA166159252,chem/CID131769987
PA166159253,chem/HydroxyvoriconazoleOGlucuronide
PA166159254,chem/CID131769987
PA166159255,chem/HydroxyvoriconazoleOGlucuronide
PA166159256,chem/Dihydroxyvoriconazole
PA166159257,chem/DihydroxyvoriconazoleOGlucuronide
PA166160397,chem/CID46917263
PA166160398,chem/CID46897962
PA166160599,chem/CID84020
PA166160600,chem/CID11072636
PA166160601,chem/CID6426641
PA166160602,chem/CID5184161
PA166160603,chem/CID6426640
PA166160604,chem/CID3037883
PA166160608,chem/AnhydroerythronolideBHemiketal
PA166160609,chem/CID676166
PA166160610,chem/CID237358
PA166160611,chem/CID3032417
PA166160612,chem/CID5778
PA166160613,chem/CID7339
PA166160614,chem/CID77982
PA166160615,chem/CID439905
PA166160616,chem/CID6021
PA166160617,chem/CID160913
PA166160618,chem/CID439155
PA166160619,chem/CID8582
PA166160620,chem/CID3036942
PA166160622,chem/CID3081384
PA166160623,chem/CID3034646
PA166160631,chem/Hydroxythioguanine
PA166160632,chem/CID3035439
PA166160633,chem/CID3036888
PA166160634,chem/CID3000543
PA166160635,chem/CID3938248
PA166160636,chem/CID21820757
PA166160637,chem/DeoxyThioguanosineDiphosphate
PA166160638,chem/DeoxyThioguanosineMonophosphate
PA166160639,chem/CID10292573
PA166160749,chem/CID9816910
PA166160750,chem/CID29981146
PA166160751,chem/CID40580660
PA166160753,chem/CID68400313
PA166160754,chem/CID156028033
PA166160755,chem/CID9881925
PA166160967,chem/CID72942037
PA166160968,chem/CID72942038
PA166160969,chem/CID68319455
PA166161159,chem/CID6451164
PA166162383,chem/CID49846084
PA166163161,chem/CID64727
PA166163264,chem/CID1268107
PA166163406,chem/CrizotinibM
PA166163464,chem/CID439456
PA166163509,chem/CID91810665
PA166163510,chem/CID76973851
PA166163511,chem/CID10178402
PA166163512,chem/CID10157143
PA166163622,chem/CID62981
PA166163623,chem/CID13047845
PA166163658,chem/CID2819
PA166163659,chem/CID2820
PA166163680,chem/CID20313
PA166163686,chem/CID71750948
PA166163687,chem/CID46781135
PA166163688,chem/CID11854533
PA166163689,chem/CID11854534
PA166163690,chem/CID162920
PA166163691,chem/CID181715
PA166163692,chem/CID16084218
PA166163693,chem/CID116545
PA166163694,chem/CID3052566
PA166163695,chem/CID15480180
PA166163700,chem/CID112230
PA166163701,chem/CID3052567
PA166163738,chem/CID101651473
PA166163739,chem/CID101630171
PA166163820,chem/CID119265
PA166163821,chem/CID38282
PA166163822,chem/CID101359
PA166163823,chem/CID92024353
PA166163824,chem/CID11825335
PA166163825,chem/CID9975463
PA166163832,chem/CID71312888
PA166163833,chem/CID57355301
PA166163834,chem/CID46781630
PA166163865,chem/CID101416508
PA166163867,chem/CID11854535
PA166163868,chem/CID11854012
PA166164869,chem/CID71434186
PA166164907,chem/CID118796518
PA166164915,chem/CID9818826
PA166164916,chem/CID9948206
PA166164917,chem/CID9840400
PA166164918,chem/CID91810636
PA166164919,chem/CID91810635
PA166165005,chem/HydroxySirolimus
PA166165006,chem/CID23305616
PA166165007,chem/PiperidineHydroxySirolimus
PA166165008,chem/CID102533263
PA166165009,chem/CID71772274
PA166165010,chem/DihydroSirolimus
PA166165036,chem/HydroxylatedSirolimusMetabolites
PA166165038,chem/DemethylatedSirolimusMetabolites
PA166165068,chem/CID93168
PA166165069,chem/CID15593908
PA166165070,chem/CID15593907
PA166165072,chem/CID161569
PA166165074,chem/CID10410215
PA166165075,chem/CID10016311
PA166165251,chem/CID53345676
PA166165399,chem/LowDensityLipoprotein
PA166169929,chem/CID89657
PA166169930,chem/CID14275474
PA166169931,chem/CID14275476
PA166170175,chem/CID75304411
PA166170176,chem/CID51397480
PA166170177,chem/CID44229196
PA166170192,chem/CID71316066
PA166170193,chem/CID71316065
PA166170363,chem/CID164342
PA166170364,chem/CID71236569
PA166170365,chem/LamotrigineAreneOxide
PA166170379,chem/CID15089895
PA166170380,chem/CID91810661
PA166170381,chem/LamotrigineGlutathioneAdduct
PA166170627,chem/CID16133793
PA166170818,chem/CID5360241
PA166170819,chem/CID129318662
PA166170820,chem/CID21779240
PA166170821,chem/CID126968609
PA166170822,chem/CID129839794
PA166170823,chem/CID131770022
PA166170868,chem/CID86863
PA166170878,chem/OxycodoneGlucuronide
PA166170879,chem/NoroxycodoneGlucuronide
PA166170880,chem/OxycodoneGlucuronide
PA166170895,chem/CID10114519
PA166170918,chem/OxoMethylphenidate
PA166170919,chem/CID44272599
PA166170920,chem/CID3045248
PA166170921,chem/PHydroxyRitalinicAcidGlucuoronide
PA166170922,chem/OxoRitalinicAcid
PA166175941,chem/CID5280343
PA166176063,chem/CID119515
PA166176064,chem/CID125231
PA166176065,chem/CID91565
PA166176066,chem/CID135862
PA166176067,chem/CID115274
PA166176697,chem/CID6852390
PA166177606,chem/CID71316608
PA166177760,chem/CID162181
PA166177862,chem/CID5328944
PA166177865,chem/CID114962
PA166177866,chem/CID62936
PA166177867,chem/CID4572774
PA166177868,chem/CID4181439
PA166177869,chem/CID155763
PA166177962,chem/CID49849580
PA166178110,chem/CID24826880
PA166178111,chem/CID58945624
PA166178112,chem/CID129851389
PA166178274,chem/CID5958
PA166178275,chem/CID439452
PA166178276,chem/CID91493
PA166178277,chem/CID439184
PA166178278,chem/CID69507
PA166178279,chem/CID5886
PA166178312,chem/CID22267
PA166178346,chem/CID71433884
PA166178347,chem/CID10273227
PA166178378,chem/CID1175
PA166178620,chem/CID10
PA166178621,chem/CID119
PA166178622,chem/CID136
PA166178623,chem/CID204
PA166178624,chem/CID449
PA166178625,chem/CID481
PA166178626,chem/CID778
PA166178627,chem/CID962
PA166178627,chem/CID962
PA166178628,chem/CID1188
PA166178629,chem/CID1826
PA166178630,chem/CID790
PA166178631,chem/CID834
PA166178632,chem/CID961
PA166178632,chem/CID961
PA166178637,chem/CID5893
PA166178638,chem/CID5892
PA166178639,chem/CID5997
PA166178640,chem/CID6076
PA166178641,chem/CID6128
PA166178641,chem/CID6128
PA166178642,chem/CID6830
PA166178643,chem/CID8977
PA166178644,chem/CID9700
PA166178645,chem/CID65063
PA166178646,chem/CID65359
PA166178647,chem/CID66416
PA166178648,chem/CID68578
PA166178649,chem/CID92133
PA166178650,chem/CID92153
PA166178651,chem/CID135398604
PA166178652,chem/CID104806
PA166178652,chem/CID104806
PA166178653,chem/CID123805
PA166178654,chem/CID164533
PA166178655,chem/CID247304
PA166178656,chem/CID250388
PA166178658,chem/CID444493
PA166178659,chem/CID444899
PA166178660,chem/CID445049
PA166178661,chem/CID445127
PA166178662,chem/CID445713
PA166178663,chem/CID445995
PA166178664,chem/CID447277
PA166178665,chem/CID448457
PA166178666,chem/CID638072
PA166178667,chem/CID643975
PA166178668,chem/CID643976
PA166178669,chem/CID5280383
PA166178670,chem/CID5280492
PA166178671,chem/CID5280493
PA166178672,chem/CID5280497
PA166178673,chem/CID5280540
PA166178687,chem/CID5280778
PA166178929,chem/CID5280878
PA166178930,chem/CID5280879
PA166178975,chem/CID5280883
PA166178985,chem/CID5281969
PA166178986,chem/CID5282360
PA166178987,chem/CID6026790
PA166178988,chem/CID9543238
PA166178989,chem/CID9874518
PA166178991,chem/CID44208919
PA166179130,chem/CID5287971
PA166179131,chem/CID9546747
PA166179133,chem/CID71745056
PA166179134,chem/CID73323
PA166179139,chem/CID135398652
PA166179140,chem/CID91577
PA166179141,chem/CID5280585
PA166179142,chem/CID53480226
PA166179269,chem/CID9979639
PA166179301,chem/CID10891224
PA166179302,chem/CID20152440
PA166179303,chem/CID19734439
PA166179304,chem/CID71749264
PA166179305,chem/CID101631775
PA166179306,chem/CID101631776
PA166179307,chem/CID91668158
PA166179384,chem/CID15221079
PA166179545,chem/OndansetronGlucuronide
PA166179662,chem/CID129784148
PA166179663,chem/CholesterolEster
PA166179669,chem/OndansetronGlucuronide
PA166179670,chem/CID15700432
PA166179671,chem/OndansetronSulfate
PA166179672,chem/OndansetronSulfate
PA166179673,chem/TropisetronGlucuronide
PA166179674,chem/TropisetronGlucuronide
PA166179675,chem/CID14578802
PA166179676,chem/CID101632080
PA166179677,chem/CID101632079
PA166179678,chem/TropisetronSulfate
PA166179679,chem/TropisetronSulfate
PA166179680,chem/TropisetronSulfate
PA166179687,chem/FreeFattyAcids
PA166179852,chem/CID259381
PA166180475,chem/GlutathioneEtoposideQuinoneAdduct
PA166180489,chem/CID29918986
PA166180490,chem/CID9956224
PA166180493,chem/CID1474501
PA166180535,chem/CID71752187
PA166180536,chem/CID25008634
PA166180537,chem/AlphaHydroxySertralineKetoneGlucuronide
PA166180985,chem/CID25774
PA166181082,chem/CID119219
PA166181082,chem/CID119219
PA166181083,chem/CID547
PA166181083,chem/CID547
PA166181084,chem/CID1738
PA166181084,chem/CID1738
PA166181085,chem/CID1669
PA166181085,chem/CID1669
PA166181086,chem/CID151276
PA166181086,chem/CID151276
PA166181133,chem/CID1237
PA166181133,chem/CID1237
PA166181134,chem/CID151725
PA166181134,chem/CID151725
PA166181759,chem/CID47289
PA166181760,chem/CID104856
PA166181841,chem/CID161824
PA166181861,chem/CID177961
PA166181887,chem/ReactiveOxygenSpecies
PA166181887,chem/ReactiveOxygenSpecies
PA166181903,chem/ReactiveNitrogenSpecies
PA166181903,chem/ReactiveNitrogenSpecies
PA166181985,chem/CID9827642
PA166181986,chem/CID29982268
PA166182001,chem/CID131750717
PA166182027,chem/CID9861403
PA166182061,chem/CID96359892
PA166182093,chem/CID71712270
PA166182094,chem/CID91826982
PA166182117,chem/CID133083123
PA166182227,chem/CID6896
PA166182228,chem/CID87833
PA166182229,chem/CID24415
PA166182230,chem/CID76543
PA166182231,chem/CID78101
PA166182232,chem/CID3015693
PA166182233,chem/CID10047287
PA166182310,chem/CID145679
PA166182316,chem/ClopidogrelEndoThiol
PA166182578,chem/CID25306
PA166182583,chem/AlectinibMetaboliteM
PA166182584,chem/CID66834636
PA166182602,chem/CID114709
PA166183551,chem/CID10105079
PA166183562,chem/CID159899
PA166183940,chem/CID18804
PA166185957,chem/CID3001028
PA166185957,chem/CID3001028
PA166186245,chem/CID177
PA166186301,chem/CID32414
PA166186321,chem/CID101106
PA166186341,chem/CID19259
PA166197521,chem/CID71826
PA166200321,chem/CID95478
PA166210741,chem/CID5359421
PA166211041,chem/CID135407110
PA166211042,chem/CID6336410
PA166211061,chem/CID136742444
PA166211062,chem/CID135602151
PA166213001,chem/CID131698413
PA166213481,chem/CID9917566
PA166213482,chem/CID10100752
PA166220621,chem/CID13001738
PA166220641,chem/CID5492898
PA166220642,chem/CID9814448
PA166220661,chem/CID20727855
PA166220662,chem/CID10355824
PA166220664,chem/CID21128865
PA166220666,chem/CID71748786
PA166220667,chem/HydromorpholNOxideGlucuronide
PA166220682,chem/HydromorphoneNOxideGlucuronide
PA166220701,chem/CID10016922
PA166220702,chem/CID6915719
PA166220703,chem/CID101625339
PA166220721,chem/CID9825634
PA166220722,chem/CID131769965
PA166220741,chem/CID131769964
PA166220742,chem/CID131769955
PA166224241,chem/CID121596213
PA166224242,chem/CID121596214
PA166224243,chem/CID121596215
PA166224245,chem/CID101621543
PA166224246,chem/CID53357350
PA166224247,chem/CID53357351
PA166224248,chem/CID11301963
PA166225461,chem/CID9951196
PA166225481,chem/CID45038893
PA166225501,chem/CID195546
PA166225541,chem/CID9800271
PA166225542,chem/CID10385385
PA166226461,chem/CID131882561
PA166226481,chem/CID146592489
PA166226561,chem/CID446
PA166227222,chem/CID9799341
PA166227241,chem/CID9949996
PA166227261,chem/CID11740183
PA166227262,chem/CID9906180
PA166227263,chem/CID15166260
PA166227281,chem/CID1094080
PA166227301,chem/CID90478568
PA166227322,chem/CID155794
PA166227323,chem/CID71587531
PA166227641,chem/CID9818975
PA166227661,chem/CID11956739
PA166227961,chem/CID88638
PA166227981,chem/Hydroxypimozide
PA166228041,chem/Hydroxypimozide
PA166232101,chem/CID173475
PA166232681,chem/CID13529
PA166232701,chem/CID154699977
PA166232721,chem/CID6422
PA166233481,chem/CID9664
PA166233482,chem/CID6408
PA166233484,chem/CID259
PA166233484,chem/CID259
PA166233501,chem/CID91667839
PA166233721,chem/CID6420
PA166233801,chem/CID61106
PA166234681,chem/CID10103176
PA166238241,chem/CID129002
PA166238261,chem/CID21256701
PA166238281,chem/CID71749232
PA166242201,chem/CID54676301
PA166242202,chem/CID54691489
PA166244741,chem/CID160632
PA166244742,chem/CID160610
PA166244761,chem/CID126850
PA166245281,chem/CID157678
PA166245282,chem/CID128319
PA166245283,chem/CID128320
PA166245284,chem/CID71316898
PA166245285,chem/CID46781625
PA166245381,chem/CID54750414
PA166245382,chem/CID54738103
PA166245461,chem/CID12831783
PA166245462,chem/CID45089612
PA166245981,chem/CID71316174
PA166246141,chem/CID146048038
PA166246161,chem/CID146048030
PA166246201,chem/CID71751702
PA166246221,chem/CID54719424
PA166246321,chem/CID11390037
PA166246341,chem/CID5813910
PA166246361,chem/CID9847259
PA166246381,chem/CID851833
PA166246621,chem/CID58096483
PA166246641,chem/CID3893
PA166246742,chem/CID54742534
PA166246761,chem/CID54742535
PA166246781,chem/CID54742536
PA166246782,chem/CID54742537
PA166246801,chem/CID54704412
PA166246802,chem/CID54681540
PA166246803,chem/CID54681539
PA166247421,chem/CID9879368
PA166247441,chem/CID207584
PA166247461,chem/CID28397
PA166247481,chem/CID135027
PA166247501,chem/CID3082532
PA166247521,chem/CID71433636
PA166247561,chem/CID6483036
PA166247581,chem/CID10650434
PA166247601,chem/CID9808225
PA166247621,chem/CID9851106
PA166247641,chem/CID9937602
PA166247761,chem/CID138393233
PA166247781,chem/CID71777105
PA166247801,chem/CID71752114
PA166247802,chem/CID92132235
PA166247803,chem/CID46780492
PA166247821,chem/CID13116690
PA166247841,chem/CID68178378
PA166247861,chem/CID68178377
PA166247881,chem/CID129724838
PA166247901,chem/CID76970261
PA166247921,chem/CID157787
PA166247922,chem/CID10071008
PA166247961,chem/CID10464751
PA166248083,chem/CID83845
PA166248681,chem/CID9932353
PA166248682,chem/CID15959407
PA166248701,chem/CID15698633
PA166248702,chem/CID695718
PA166248703,chem/CID2772144
PA166248704,chem/CID9889695
PA166248981,chem/CID173759
PA166250361,chem/CID14580381
PA166250362,chem/CID146014916
PA166250363,chem/CID123836
PA166250364,chem/CID76973986
PA166250381,chem/CID59272813
PA166250401,chem/CID53487027
PA166250402,chem/CID146014889
PA166250403,chem/CID59272796
PA166250404,chem/CID59272836
PA166250405,chem/CID117693284
PA166250421,chem/CID146014896
PA166252501,chem/CID10056458
PA166252521,chem/CID158371
PA166252522,chem/CID3081785
PA166252541,chem/CID9811081
PA166254081,chem/CID45039473
PA166254201,chem/CID101648629
PA166254202,chem/CID15925972
PA166254203,chem/CID14373154
PA166254461,chem/CID10021885
PA166254462,chem/CID10045635
PA166254463,chem/CID10022985
PA166254761,chem/CID68242258
PA166254762,chem/CID154731584
PA166254763,chem/CID154731599
PA166254764,chem/CID101698833
PA166254765,chem/CID101698834
PA166254781,chem/CID154731617
PA166254801,chem/CID351531
PA166255041,chem/CID11988812
PA166255061,chem/CID11988811
PA166255181,chem/CID29981497
PA166255182,chem/CID29981679
PA166255201,chem/CID131770039
PA166255202,chem/CID75002121
PA166255203,chem/CID44344114
PA166255241,chem/CID118753351
PA166255242,chem/CID86343444
PA166255261,chem/CID91936922
