pharmGKBID,dcid
PA448039,chem/CID6437841
PA164712312,chem/AcridineDerivatives
PA164712313,chem/Acth
PA164712314,chem/Actinomycines
PA448045,chem/CID2022
PA448045,chem/CID2022
PA448045,chem/CID2022
PA166246421,chem/CID138611145
PA10004,chem/Adalimumab
PA164712315,chem/AdamantaneDerivatives
PA448047,chem/CID60164
PA166306541,chem/CID24856436
PA10005,chem/CID60871
PA448048,chem/CID190
PA448049,chem/CID60961
PA448049,chem/CID60961
PA166178281,chem/CID6022
PA166178281,chem/CID6022
PA164744376,chem/CID6083
PA164744376,chem/CID6083
PA164743471,chem/CID5957
PA164743471,chem/CID5957
PA164783813,chem/CID37632
PA164712316,chem/AdrenergicAndDopaminergicAgents
PA164712318,chem/AdrenergicsAndOtherDrugsForObstructiveAirwayDiseases
PA164712318,chem/AdrenergicsAndOtherDrugsForObstructiveAirwayDiseases
PA164712317,chem/AdrenergicsForSystemicUse
PA10405,chem/AdrenergicsInhalants
PA165981154,chem/CID10184653
PA165981139,chem/AfatinibDimaleate
PA452609,chem/AflatoxinB
PA166118342,chem/Aflibercept
PA166122586,chem/Afutuzumab
PA164746527,chem/AgalsidaseBeta
PA164712320,chem/AgentsActingOnTheReninAngiotensinSystem
PA164712321,chem/AgentsAgainstAmoebiasisAndOtherProtozoalDiseases
PA164712322,chem/AgentsAgainstLeishmaniasisAndTrypanosomiasis
PA164712323,chem/AgentsForTreatmentOfHemorrhoidsAnd
PA165958363,chem/CID82148
PA164776839,chem/CID441080
PA164746058,chem/CID2082
PA166285061,chem/CID145994868
PA165958399,chem/CID19371515
PA164747650,chem/CID636374
PA164747650,chem/CID636374
PA164712324,chem/AldehydesAndDerivatives
PA448081,chem/Aldesleukin
PA164712325,chem/AldoseReductaseInhibitors
PA164712326,chem/AldosteroneAntagonists
PA166160050,chem/CID49806720
PA164748040,chem/Alefacept
PA164783958,chem/Alemtuzumab
PA448082,chem/CID2088
PA164746469,chem/CID5282181
PA448084,chem/CID51263
PA166329761,chem/CID118861389
PA164774795,chem/CID2092
PA164748093,chem/Alglucerase
PA164754753,chem/AlglucosidaseAlfa
PA164712327,chem/AlimentaryTractAndMetabolism
PA166159961,chem/Alirocumab
PA166165015,chem/CID24771867
PA143487910,chem/CID5493444
PA164746900,chem/CID444795
PA164746900,chem/CID444795
PA164744894,chem/CID43008
PA164712328,chem/AlkaloidsExclRauwolfia
PA164712329,chem/AlkaloidsExclRauwolfiaInCombinationWithDiuretics
PA164712331,chem/AlkylatingAgents
PA164712330,chem/AlkylSulfonates
PA164712336,chem/AllergenExtracts
PA164712337,chem/Allergens
PA164712337,chem/Allergens
PA142320763,chem/CID92786
PA448320,chem/CID2094
PA164712332,chem/AllOtherNonTherapeuticProducts
PA164712332,chem/AllOtherNonTherapeuticProducts
PA164712334,chem/AllOtherTherapeuticProducts
PA164712334,chem/AllOtherTherapeuticProducts
PA164745307,chem/CID235905
PA164750492,chem/CID33887
PA133888888,chem/CID3033962
PA10246,chem/CID123606
PA448322,chem/Aloe
PA164745502,chem/CID2099
PA452626,chem/AloxPathwayModifiers
PA166184523,chem/CID56649450
PA10308,chem/AlphaProteinaseInhibitor
PA164712344,chem/AlphaAdrenoreceptorAntagonists
PA164712344,chem/AlphaAdrenoreceptorAntagonists
PA164712346,chem/AlphaAdrenoreceptorAntagonistsAndDiuretics
PA164712343,chem/AlphaAndBetaAdrenoreceptorAgonists
PA164712339,chem/AlphaAndBetaBlockingAgents
PA164712340,chem/AlphaAndBetaBlockingAgentsAndOtherDiuretics
PA164712341,chem/AlphaAndBetaBlockingAgentsAndThiazides
PA164712342,chem/AlphaGlucosidaseInhibitors
PA449384,chem/CID5280934
PA147358765,chem/AlphaMethylParaTyrosine
PA448333,chem/CID2118
PA164750541,chem/CID2119
PA448334,chem/CID149351
PA448334,chem/CID149351
PA164746411,chem/Alseroxylon
PA164776730,chem/Alteplase
PA164776730,chem/Alteplase
PA164743136,chem/CID2123
PA164760864,chem/CID5359268
PA164712347,chem/AluminiumAgents
PA164712348,chem/AluminiumCompounds
PA448348,chem/AluminumChloride
PA165958393,chem/AluminumHydroxide
PA166234821,chem/AluminumHydroxideMagnesiumHydroxideDrugCombination
PA164764505,chem/CID3678
PA165291491,chem/CID5288674
PA164754864,chem/CID5488548
PA448360,chem/CID2130
PA164764601,chem/CID2131
PA165860521,chem/Ambrisentan
PA164746074,chem/CID443958
PA164754807,chem/CID36273
PA166049186,chem/CID2136
PA164712349,chem/Amides
PA166185150,chem/CID5918
PA166182002,chem/CID9920716
PA448365,chem/CID2141
PA164744372,chem/CID37768
PA164744372,chem/CID37768
PA164744372,chem/CID37768
PA448368,chem/CID16231
PA448372,chem/AminoAcids
PA448372,chem/AminoAcids
PA164712351,chem/AminoAcidsAndDerivatives
PA164712353,chem/AminoAcidsCarbohydratesMineralsVitaminsCombinations
PA164712352,chem/AminoAcidsInclCombinationsWithPolypeptides
PA164712354,chem/AminoalkylEthers
PA10247,chem/AminobenzoicAcid
PA164774947,chem/CID564
PA448375,chem/CID2145
PA452167,chem/AminoglycosideAntibacterials
PA134711723,chem/CID2148
PA10015,chem/CID137
PA164748135,chem/CID6009
PA164781029,chem/CID9433
PA165109541,chem/CID2154
PA164712355,chem/Aminoquinolines
PA448382,chem/CID4649
PA164712356,chem/AminosalicylicAcidAndDerivatives
PA164712357,chem/AminosalicylicAcidAndSimilarAgents
PA448383,chem/CID2157
PA162565877,chem/CID2159
PA448385,chem/CID2160
PA448385,chem/CID2160
PA166321301,chem/Amivantamab
PA164745310,chem/CID2161
PA164745310,chem/CID2161
PA448388,chem/CID2162
PA166183785,chem/CID11982821
PA166131585,chem/CID222
PA166131585,chem/CID222
PA448392,chem/AmmoniumChloride
PA165958400,chem/AmmoniumLactate
PA448401,chem/CID2164
PA448404,chem/CID2165
PA448405,chem/CID2170
PA448406,chem/CID33613
PA164712358,chem/Amphenicols
PA164712358,chem/Amphenicols
PA448408,chem/CID3007
PA448415,chem/CID5280965
PA448415,chem/CID5280965
PA448415,chem/CID5280965
PA448415,chem/CID5280965
PA448419,chem/CID6249
PA448419,chem/CID6249
PA448422,chem/CID65016
PA164746803,chem/CID3698
PA10309,chem/CID2179
PA166220604,chem/CID11282283
PA164750570,chem/CID8053
PA164712360,chem/AnabolicAgentsForSystemicUse
PA164712361,chem/AnabolicSteroids
PA165960688,chem/CID11556427
PA164742986,chem/CID2182
PA10799,chem/CID90470007
PA164712362,chem/Analgesics
PA164712363,chem/AnalgesicsAndAnesthetics
PA166305821,chem/AnaplasticLymphomaKinaseAlkInhibitors
PA166335701,chem/CID156009457
PA448432,chem/CID2187
PA164712364,chem/AndrogenProgestogenAndEstrogenInCombination
PA10381,chem/AndrogensAndEstrogens
PA164712365,chem/AndrogensAndFemaleSexHormonesInCombination
PA164712366,chem/AndrogensAndFemaleSexHormonesInCombinationWithOtherDrugs
PA10733,chem/AndrogensForTopicalUse
PA10733,chem/AndrogensForTopicalUse
PA164712367,chem/AndrostanDerivatives
PA164712372,chem/AngiotensinIiAntagonists
PA164712372,chem/AngiotensinIiAntagonists
PA164712368,chem/AngiotensinIiAntagonistsAndCalciumChannelBlockers
PA164712369,chem/AngiotensinIiAntagonistsAndDiuretics
PA164712371,chem/AngiotensinIiAntagonistsCombinations
PA164742938,chem/CID166548
PA166277641,chem/Anifrolumab
PA164768817,chem/CID8944
PA164712373,chem/Anilides
PA164746467,chem/CID2197
PA164754880,chem/CID6647
PA164769075,chem/Anistreplase
PA166307361,chem/CID25017411
PA452298,chem/Antacids
PA164712377,chem/AntacidsOtherCombinations
PA164712374,chem/AntacidsWithAntiflatulents
PA164712375,chem/AntacidsWithAntispasmodics
PA164712376,chem/AntacidsWithSodiumBicarbonate
PA165958418,chem/Antazoline
PA165958418,chem/Antazoline
PA164712378,chem/AnteriorPituitaryLobeHormonesAndAnalogues
PA164712379,chem/Anthelmintics
PA130620651,chem/AnthracyclinesAndRelatedSubstances
PA164712380,chem/AnthraxVaccines
PA164712381,chem/AntiAcnePreparations
PA164712382,chem/AntiAcnePreparationsForSystemicUse
PA164712383,chem/AntiAcnePreparationsForTopicalUse
PA164712390,chem/AntiadrenalPreparations
PA164712391,chem/AntiadrenergicAgentsCentrallyActing
PA164712392,chem/AntiadrenergicAgentsGanglionBlocking
PA164712393,chem/AntiadrenergicAgentsPeripherallyActing
PA164712394,chem/AntiallergicAgentsExclCorticosteroids
PA164712394,chem/AntiallergicAgentsExclCorticosteroids
PA164712394,chem/AntiallergicAgentsExclCorticosteroids
PA164712384,chem/AntiAndrogens
PA164712397,chem/Antiandrogens
PA164712398,chem/AntiandrogensAndEstrogens
PA164712399,chem/AntiandrogensPlain
PA164712400,chem/AntianemicPreparations
PA164712402,chem/AntiarrhythmicsClassIa
PA452249,chem/AntiarrhythmicsClassIAndIii
PA164712403,chem/AntiarrhythmicsClassIb
PA164712404,chem/AntiarrhythmicsClassIc
PA164712401,chem/AntiarrhythmicsClassIii
PA164712405,chem/AntibacterialsForSystemicUse
PA164712406,chem/Antibiotics
PA164712406,chem/Antibiotics
PA164712406,chem/Antibiotics
PA164712406,chem/Antibiotics
PA164712406,chem/Antibiotics
PA164712406,chem/Antibiotics
PA164712406,chem/Antibiotics
PA164712406,chem/Antibiotics
PA164712415,chem/AntibioticsAndChemotherapeuticsCombinations
PA164712414,chem/AntibioticsAndChemotherapeuticsForDermatologicalUse
PA164712417,chem/AntibioticsAndCorticosteroids
PA164712416,chem/AntibioticsForTopicalUse
PA164712418,chem/Anticestodals
PA164712419,chem/AnticholinergicAgents
PA164712420,chem/Anticholinergics
PA164712420,chem/Anticholinergics
PA164712423,chem/Anticholinesterases
PA164712423,chem/Anticholinesterases
PA164712424,chem/Anticorticosteroids
PA164712385,chem/AntiDementiaDrugs
PA452229,chem/Antidepressants
PA164712425,chem/AntidepressantsInCombinationWithPsycholeptics
PA164712426,chem/AntidiarrhealMicroorganisms
PA164712426,chem/AntidiarrhealMicroorganisms
PA164712428,chem/AntidiarrhealsIntestinalAntiinflammatoryAntiinfective
PA164712429,chem/Antidotes
PA164712431,chem/AntiemeticsAndAntinauseants
PA164712431,chem/AntiemeticsAndAntinauseants
PA143485705,chem/Antiepileptics
PA143485705,chem/Antiepileptics
PA164712386,chem/AntiEstrogens
PA164712433,chem/Antifibrinolytics
PA164712434,chem/AntifungalsForDermatologicalUse
PA164712435,chem/AntifungalsForSystemicUse
PA164712435,chem/AntifungalsForSystemicUse
PA164712436,chem/AntifungalsForTopicalUse
PA10393,chem/AntiglaucomaPreparationsAndMiotics
PA164712387,chem/AntiGonadotropinReleasingHormones
PA164712438,chem/AntigonadotropinsAndSimilarAgents
PA164712440,chem/AntigoutPreparations
PA164712440,chem/AntigoutPreparations
PA164712441,chem/AntigrowthHormones
PA164750168,chem/AntihemophilicFactor
PA164712442,chem/Antihemorrhagics
PA164712443,chem/Antihidrotics
PA164712444,chem/AntihistaminesForSystemicUse
PA164712444,chem/AntihistaminesForSystemicUse
PA164712444,chem/AntihistaminesForSystemicUse
PA164712445,chem/Antihypertensives
PA164712446,chem/AntihypertensivesAndDiureticsInCombination
PA164712447,chem/Antiinfectives
PA164712447,chem/Antiinfectives
PA164712447,chem/Antiinfectives
PA164712447,chem/Antiinfectives
PA164712447,chem/Antiinfectives
PA164712447,chem/Antiinfectives
PA164712453,chem/AntiinfectivesAndAntisepticsExclCombinations
PA164712455,chem/AntiinfectivesAndAntisepticsForLocalOralTreatment
PA164712457,chem/AntiinfectivesAntisepticsInCombinationWithCorticosteroids
PA164712454,chem/AntiinfectivesForSystemicUse
PA164712456,chem/AntiinfectivesForTreatmentOfAcne
PA164712458,chem/AntiinflammatoryAgents
PA164712458,chem/AntiinflammatoryAgents
PA164712460,chem/AntiinflammatoryAgentsAndAntiinfectivesInCombination
PA164712462,chem/AntiinflammatoryAgentsNonSteroids
PA164712463,chem/AntiinflammatoryAgentsNonSteroidsAndAntiinfectivesInCombination
PA164712461,chem/AntiinflammatoryAndAntirheumaticProducts
PA10384,chem/AntiinflammatoryAndAntirheumaticProductsNonSteroids
PA164712466,chem/AntiinflammatoryAntirheumaticAgentsInCombination
PA164712467,chem/AntiinflammatoryAntirheumaticAgentsInCombinationWithCorticosteroids
PA164712464,chem/AntiinflammatoryPreparationsNonSteroidsForTopicalUse
PA164712465,chem/AntiinflammatoryProductsForVaginalAdministration
PA164712468,chem/Antimalarials
PA452622,chem/Antimetabolites
PA164712469,chem/AntimigrainePreparations
PA164712470,chem/AntimonyCompounds
PA448452,chem/AntimonyPotassiumTartrate
PA164712471,chem/Antimycobacterials
PA164712473,chem/AntimycoticsForSystemicUse
PA164712473,chem/AntimycoticsForSystemicUse
PA164712474,chem/AntinematodalAgents
PA452621,chem/AntineoplasticAgents
PA164712475,chem/AntineoplasticAndImmunomodulatingAgents
PA164712476,chem/AntineovascularisationAgents
PA164712478,chem/AntiobesityPreparationsExclDietProducts
PA164712478,chem/AntiobesityPreparationsExclDietProducts
PA164712479,chem/AntiparasiticProductsInsecticidesAndRepellents
PA164712388,chem/AntiParathyroidAgents
PA164712389,chem/AntiParkinsonDrugs
PA164712480,chem/Antiprogestogens
PA164712482,chem/Antipropulsives
PA164712482,chem/Antipropulsives
PA164712483,chem/Antiprotozoals
PA164712484,chem/AntipruriticsInclAntihistaminesAnestheticsEtc
PA164712484,chem/AntipruriticsInclAntihistaminesAnestheticsEtc
PA164712486,chem/Antipsoriatics
PA164712487,chem/AntipsoriaticsForSystemicUse
PA164712488,chem/AntipsoriaticsForTopicalUse
PA452233,chem/Antipsychotics
PA448453,chem/CID2206
PA448453,chem/CID2206
PA164712489,chem/Antiseptics
PA164712492,chem/AntisepticsAndCorticosteroids
PA164712491,chem/AntisepticsAndDisinfectants
PA164712491,chem/AntisepticsAndDisinfectants
PA164712493,chem/AntispasmodicsAndAnticholinergicsInCombinationWithOtherDrugs
PA164712494,chem/AntispasmodicsInCombinationWithAnalgesics
PA164712496,chem/AntispasmodicsInCombinationWithOtherDrugs
PA164712495,chem/AntispasmodicsInCombinationWithPsycholeptics
PA164712497,chem/AntispasmodicsPsycholepticsAndAnalgesicsInCombination
PA452200,chem/AntithromboticAgents
PA452200,chem/AntithromboticAgents
PA164743704,chem/AntithymocyteGlobulin
PA164712499,chem/AntithyroidPreparations
PA164712500,chem/Antitrematodals
PA164712501,chem/AntivaricoseTherapy
PA164712502,chem/AntivertigoPreparations
PA164712502,chem/AntivertigoPreparations
PA452174,chem/Antivirals
PA452174,chem/Antivirals
PA164712504,chem/AntiviralsForSystemicUse
PA164712505,chem/AntiviralsForTreatmentOfHivInfectionsCombinations
PA164712506,chem/AntracenDerivatives
PA164784000,chem/CID68723
PA164712507,chem/Anxiolytics
PA166316721,chem/CID11315474
PA166163740,chem/CID10182969
PA166209601,chem/Apl
PA164781163,chem/CID6005
PA164781163,chem/CID6005
PA164712508,chem/AppetiteStimulants
PA166183406,chem/AppleJuice
PA164748866,chem/CID2216
PA166220442,chem/CID11561674
PA164747039,chem/CID151165
PA164764496,chem/CID2218
PA164754809,chem/CID6464
PA448472,chem/Aprotinin
PA165958370,chem/Arbekacin
PA164747979,chem/CID60789
PA164746540,chem/Arcitumomab
PA164754878,chem/CID772
PA164743977,chem/CID3083544
PA164745516,chem/CID152951
PA10026,chem/CID60795
PA166161216,chem/CID49831411
PA164712509,chem/ArsenicCompounds
PA164712509,chem/ArsenicCompounds
PA164712509,chem/ArsenicCompounds
PA448486,chem/CID518740
PA452638,chem/Arsenite
PA165260403,chem/CID72416
PA165111698,chem/CID9796294
PA165111696,chem/CID68827
PA143485261,chem/ArtemisininAndDerivatives
PA164712512,chem/ArteriolarSmoothMuscleAgentsActingOn
PA165111697,chem/CID5464098
PA166182731,chem/CID32170
PA166182783,chem/ArticaineEpinephrine
PA451998,chem/Arylhydrazines
PA164712513,chem/AryloxyaceticAcidDerivatives
PA166268841,chem/CID72165228
PA164712515,chem/AscorbicAcidVitaminCCombinations
PA164712514,chem/AscorbicAcidVitaminCInclCombinations
PA164712516,chem/AscorbicAcidVitaminCPlain
PA448492,chem/Asparaginase
PA448493,chem/CID2242
PA448497,chem/CID2244
PA448497,chem/CID2244
PA448497,chem/CID2244
PA166205381,chem/Astegolimab
PA448498,chem/CID2247
PA166128168,chem/CID16076883
PA166200301,chem/CID56639723
PA166151864,chem/CID11219835
PA10251,chem/CID148192
PA10251,chem/CID148192
PA166182674,chem/CID86583336
PA166182624,chem/AtazanavirRitonavir
PA448499,chem/CID2249
PA166129523,chem/Atezolizumab
PA166320882,chem/CID72163100
PA134688071,chem/CID54841
PA448500,chem/CID60823
PA448502,chem/CID74989
PA164776840,chem/CID47319
PA143414738,chem/Atrasentan
PA166312781,chem/CID3086671
PA448505,chem/CID174174
PA448505,chem/CID174174
PA164781017,chem/Attapulgite
PA166341541,chem/CID122678117
PA166307381,chem/CID121280087
PA448510,chem/CID6333901
PA166182681,chem/CID9869929
PA166223903,chem/CID118023034
PA166179849,chem/CID9918581
PA166169875,chem/Avelumab
PA164712517,chem/Avermectines
PA166324841,chem/CID9835049
PA166211861,chem/Axatilimab
PA164924493,chem/CID6450551
PA451996,chem/CID9444
PA166049192,chem/CID26098
PA164712518,chem/AzaspirodecanedioneDerivatives
PA164747157,chem/CID19861
PA448515,chem/CID2265
PA164754850,chem/CID2266
PA448517,chem/CID2267
PA448517,chem/CID2267
PA448517,chem/CID2267
PA166329921,chem/CID65948
PA165958414,chem/Azidocillin
PA448519,chem/CID55185
PA448519,chem/CID55185
PA164749135,chem/CID37625
PA448523,chem/CID5362041
PA164745461,chem/CID441397
PA448531,chem/CID439542
PA448531,chem/CID439542
PA448531,chem/CID439542
PA448533,chem/CID2284
PA164712519,chem/BacterialAndViralVaccinesCombined
PA164712519,chem/BacterialAndViralVaccinesCombined
PA164712520,chem/BacterialVaccines
PA166327081,chem/CID46200932
PA448536,chem/CID6335412
PA164743113,chem/CID54766
PA166226401,chem/Bamlanivimab
PA166185162,chem/CID134393443
PA164738432,chem/CID11497983
PA448538,chem/CID2294
PA164712523,chem/BarbituratesCombinations
PA164712522,chem/BarbituratesInCombinationWithOtherDrugs
PA10827,chem/BarbituratesPlain
PA10827,chem/BarbituratesPlain
PA10827,chem/BarbituratesPlain
PA166197621,chem/CID44205240
PA448540,chem/BariumSulfate
PA164712524,chem/BariumSulfateContainingXRayContrastMedia
PA164747126,chem/Basiliximab
PA166327502,chem/CID71535962
PA166220606,chem/CID154257
PA166305841,chem/BcrAblTyrosineKinaseInhibitors
PA166332521,chem/CID126670204
PA164749511,chem/Becaplermin
PA164749511,chem/Becaplermin
PA448547,chem/CID20469
PA448547,chem/CID20469
PA448547,chem/CID20469
PA448547,chem/CID20469
PA166342921,chem/CID21700
PA166182604,chem/CID5388906
PA166334941,chem/BelantamabMafodotin
PA166114904,chem/Belimumab
PA165971474,chem/CID6918638
PA164712526,chem/BelladonnaAlkaloidsSemisyntheticQuaternaryAmmoniumCompounds
PA164712527,chem/BelladonnaAlkaloidsTertiaryAmines
PA164712528,chem/BelladonnaAndDerivativesInCombinationWithAnalgesics
PA164712529,chem/BelladonnaAndDerivativesInCombinationWithPsycholeptics
PA164712525,chem/BelladonnaAndDerivativesPlain
PA166268761,chem/CID117947097
PA166208581,chem/CID122527275
PA448561,chem/CID5362124
PA448563,chem/CID2315
PA166049178,chem/Benoxaprofen
PA165360203,chem/CID2327
PA164750572,chem/CID2329
PA164748098,chem/CID517273
PA448571,chem/Benzaldehyde
PA164712530,chem/Benzamides
PA134852920,chem/CID2333
PA451991,chem/CID241
PA164712531,chem/BenzimidazoleDerivatives
PA166228321,chem/CID31593
PA448576,chem/CID2337
PA448576,chem/CID2337
PA448576,chem/CID2337
PA448576,chem/CID2337
PA10402,chem/BenzodiazepineDerivatives
PA10402,chem/BenzodiazepineDerivatives
PA10402,chem/BenzodiazepineDerivatives
PA164712532,chem/BenzodiazepineRelatedDrugs
PA448578,chem/CID243
PA164712533,chem/BenzomorphanDerivatives
PA164745459,chem/CID7699
PA164712534,chem/BenzothiazepineDerivatives
PA166287643,chem/CID448223
PA166287643,chem/CID448223
PA166182627,chem/CID7187
PA448586,chem/CID2341
PA164749018,chem/CID2342
PA164776841,chem/CID2343
PA448591,chem/CID6832
PA134687812,chem/Benzydamine
PA448594,chem/BenzylAlcohol
PA164748881,chem/CID2345
PA164754810,chem/CID119212
PA164781356,chem/CID2350
PA164754755,chem/CID2351
PA165860812,chem/CID2353
PA166334921,chem/Bermekimab
PA166123556,chem/CID5460467
PA164712535,chem/BetaBlockingAgents
PA164712535,chem/BetaBlockingAgents
PA164712535,chem/BetaBlockingAgents
PA164712536,chem/BetaBlockingAgentsAndOtherAntihypertensives
PA164712537,chem/BetaBlockingAgentsAndOtherDiuretics
PA164712538,chem/BetaBlockingAgentsAndThiazides
PA164712539,chem/BetaBlockingAgentsAndVasodilators
PA164712541,chem/BetaBlockingAgentsNonSelective
PA164712542,chem/BetaBlockingAgentsNonSelectiveAndOtherAntihypertensives
PA164712543,chem/BetaBlockingAgentsNonSelectiveAndOtherDiuretics
PA164712544,chem/BetaBlockingAgentsNonSelectiveAndThiazides
PA164712545,chem/BetaBlockingAgentsNonSelectiveAndVasodilators
PA164712546,chem/BetaBlockingAgentsNonSelectiveThiazidesAndOtherDiuretics
PA164712547,chem/BetaBlockingAgentsSelective
PA164712548,chem/BetaBlockingAgentsSelectiveAndOtherAntihypertensives
PA164712549,chem/BetaBlockingAgentsSelectiveAndOtherDiuretics
PA164712550,chem/BetaBlockingAgentsSelectiveAndThiazides
PA164712551,chem/BetaBlockingAgentsSelectiveAndVasodilators
PA164712552,chem/BetaBlockingAgentsSelectiveThiazidesAndOtherDiuretics
PA164712540,chem/BetaBlockingAgentsThiazidesAndOtherDiuretics
PA448601,chem/BetaCarotene
PA166320721,chem/CID91457
PA165958372,chem/CID2366
PA448603,chem/CID247
PA452154,chem/BetaLactamAntibacterialsPenicillins
PA164712554,chem/BetaLactamaseInhibitors
PA164712555,chem/BetaLactamaseResistantPenicillins
PA164712556,chem/BetaLactamaseSensitivePenicillins
PA164754818,chem/CID9782
PA164754818,chem/CID9782
PA164754818,chem/CID9782
PA164754818,chem/CID9782
PA164754818,chem/CID9782
PA164754818,chem/CID9782
PA164754818,chem/CID9782
PA164754818,chem/CID9782
PA164754818,chem/CID9782
PA164754818,chem/CID9782
PA164754818,chem/CID9782
PA448611,chem/CID2369
PA448611,chem/CID2369
PA164784036,chem/CID7741
PA448613,chem/CID2370
PA164743235,chem/CID6324770
PA166342402,chem/Betrixaban
PA130232992,chem/Bevacizumab
PA164743236,chem/CID2372
PA164752250,chem/CID82146
PA162364313,chem/CID39042
PA164746255,chem/CID2375
PA166335661,chem/CID90311989
PA166335681,chem/BictegravirEmtricitabineTenofovirAlafenamide
PA164746464,chem/CID2378
PA164712557,chem/Biguanides
PA164712557,chem/Biguanides
PA164712559,chem/BiguanidesAndAmidines
PA166338421,chem/CID185460
PA166338421,chem/CID185460
PA448617,chem/BileAcidPreparations
PA448617,chem/BileAcidPreparations
PA448617,chem/BileAcidPreparations
PA164712560,chem/BileAndLiverTherapy
PA164748867,chem/CID5311027
PA166179867,chem/CID10288191
PA164712561,chem/Bioflavonoids
PA448625,chem/CID171548
PA448626,chem/CID2381
PA164924560,chem/CID3037617
PA146096021,chem/CID51323
PA164712562,chem/BismuthPreparations
PA164774805,chem/CID16682734
PA448641,chem/CID2405
PA166184057,chem/BisoprololFumaratePerindoprilArginine
PA164712563,chem/Bisphosphonates
PA164712564,chem/BisphosphonatesCombinations
PA164712565,chem/BisquaternaryAmmoniumCompounds
PA10032,chem/CID16129704
PA448645,chem/CID5360373
PA166129524,chem/Blinatumomab
PA166319041,chem/CID125564
PA164712566,chem/BloodAndBloodFormingOrgans
PA164712567,chem/BloodAndRelatedProducts
PA164712570,chem/BloodCoagulationFactors
PA164712568,chem/BloodGlucoseLoweringDrugsExclInsulins
PA164712569,chem/BloodSubstitutesAndPerfusionSolutions
PA164712571,chem/BloodSubstitutesAndPlasmaProteinFractions
PA164712572,chem/BloodTestsAuxiliaryProducts
PA164712573,chem/BloodTransfusionAuxiliaryProducts
PA166122526,chem/CID16132422
PA165948902,chem/CID10324367
PA164712574,chem/BoneMorphogeneticProteins
PA165958425,chem/Bopindolol
PA164712575,chem/BoricAcidProducts
PA10252,chem/CID93860
PA10034,chem/CID104865
PA166114906,chem/CID5328940
PA164754825,chem/BotulinumToxinTypeA
PA164747061,chem/BotulinumToxinTypeB
PA166305861,chem/BRafSerineThreonineKinaseBrafInhibitors
PA165948903,chem/BrentuximabVedotin
PA448662,chem/CID2431
PA166160053,chem/CID11978813
PA166163482,chem/CID68165256
PA448665,chem/CID2435
PA448665,chem/CID2435
PA166324482,chem/CID483477
PA164744929,chem/CID68844
PA164924492,chem/CID11234052
PA166153491,chem/CID9837243
PA166184058,chem/CID446727
PA10035,chem/CID2441
PA448670,chem/CID60726
PA448671,chem/CID31101
PA448671,chem/CID31101
PA164760854,chem/CID2444
PA165282097,chem/CID2448
PA448675,chem/CID6834
PA166119001,chem/CID6918408
PA166175777,chem/CID2451
PA164712576,chem/BrucellosisVaccines
PA166305921,chem/BrutonSTyrosineKinaseBtkInhibitors
PA166123566,chem/CID656604
PA165945764,chem/CID51045
PA164748223,chem/CID6729
PA448681,chem/CID63006
