Country or Area	M49 code	ISO-alpha3 code
New Zealand	554	NZL
Nicaragua	558	NIC
Niger	562	NER
Nigeria	566	NGA
Niue	570	NIU
Norfolk Island	574	NFK
North Macedonia	807	MKD
Northern Mariana Islands	580	MNP
Norway	578	NOR
Oman	512	OMN
Pakistan	586	PAK
Palau	585	PLW
Panama	591	PAN
Papua New Guinea	598	PNG
Paraguay	600	PRY
Peru	604	PER
Philippines	608	PHL
Pitcairn	612	PCN
Poland	616	POL
Portugal	620	PRT
Puerto Rico	630	PRI
Qatar	634	QAT
Republic of Korea	410	KOR
Republic of Moldova	498	MDA
Réunion	638	REU
Romania	642	ROU
Russian Federation	643	RUS
Rwanda	646	RWA
Saint Barthélemy	652	BLM
Saint Helena	654	SHN
Saint Kitts and Nevis	659	KNA
Saint Lucia	662	LCA
Saint Martin (French Part)	663	MAF
Saint Pierre and Miquelon	666	SPM
Saint Vincent and the Grenadines	670	VCT
Samoa	882	WSM
San Marino	674	SMR
Sao Tome and Principe	678	STP
Sark	680	
Saudi Arabia	682	SAU
Senegal	686	SEN
Serbia	688	SRB
Seychelles	690	SYC
Sierra Leone	694	SLE
Singapore	702	SGP
Sint Maarten (Dutch part)	534	SXM
Slovakia	703	SVK
Slovenia	705	SVN
Solomon Islands	090	SLB
Somalia	706	SOM
South Africa	710	ZAF
South Georgia and the South Sandwich Islands	239	SGS
South Sudan	728	SSD
Spain	724	ESP
Sri Lanka	144	LKA
State of Palestine	275	PSE
Sudan	729	SDN
Suriname	740	SUR
Svalbard and Jan Mayen Islands	744	SJM
Sweden	752	SWE
Switzerland	756	CHE
Syrian Arab Republic	760	SYR
Tajikistan	762	TJK
Thailand	764	THA
Timor-Leste	626	TLS
Togo	768	TGO
Tokelau	772	TKL
Tonga	776	TON
Trinidad and Tobago	780	TTO
Tunisia	788	TUN
Türkiye	792	TUR
Turkmenistan	795	TKM
Turks and Caicos Islands	796	TCA
Tuvalu	798	TUV
Uganda	800	UGA
Ukraine	804	UKR
United Arab Emirates	784	ARE
United Kingdom of Great Britain and Northern Ireland	826	GBR
United Republic of Tanzania	834	TZA
United States Minor Outlying Islands	581	UMI
United States of America	840	USA
United States Virgin Islands	850	VIR
Uruguay	858	URY
Uzbekistan	860	UZB
Vanuatu	548	VUT
Venezuela (Bolivarian Republic of)	862	VEN
Viet Nam	704	VNM
Wallis and Futuna Islands	876	WLF
Western Sahara	732	ESH
Yemen	887	YEM
Zambia	894	ZMB
Zimbabwe	716	ZWE
