,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
key,p1,v1,p2,v2,,,,,,,,,,,,,,,,
State,observationAbout,{Data},,,,,,,,,,,,,,,,,,
Year,observationDate,2018-06,,,,,,,,,,,,,,,,,,
Average Medical Expenditure On Account Of Hospitalisation Per Hospitalisation Case (UOM:INR(IndianRupees)),measuredProperty,amount,statType,meanValue,populationType,ExpenditureActivity,expenditureType,Hospitalization,measurementDenominator,",+measuredProperty=count,-statType,+populationType=MedicalConditionIncident,+medicalStatus=PatientHospitalized,-expenditureType",unit,INR,value,{Number},,,,,,
Urban,placeOfResidenceClassification,Urban,,,,,,,,,,,,,,,,,,
Rural,placeOfResidenceClassification,Rural,,,,,,,,,,,,,,,,,,
Average Medical Expenditure Per Hospitalisation Case (Ec) (UOM:INR(IndianRupees)),measuredProperty,amount,populationType,ExpenditureActivity,value,{Number},unit,INR,statType,meanValue,measurementDenominator,",+measuredProperty=count,-statType,+populationType=MedicalConditionIncident,+medicalStatus=PatientHospitalized,-expenditureType,-statType",,,,,,,,
Public,establishmentOwnership,PublicHospital,,,,,,,,,,,,,,,,,,
Private,establishmentOwnership,PrivateHospital,,,,,,,,,,,,,,,,,,
bed charges,expenditureType,BedCharges,,,,,,,,,,,,,,,,,,
diagnostic tests,expenditureType,DiagnosticTests,,,,,,,,,,,,,,,,,,
doc/surgeons fee,expenditureType,DoctorFees__SurgeonFees,,,,,,,,,,,,,,,,,,
medicines,expenditureType,MedicinesExpenditure,,,,,,,,,,,,,,,,,,
other,expenditureType,OtherHospitalExpense,,,,,,,,,,,,,,,,,,
package component,expenditureType,HospitalisationPackageComponents,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
State,observationAbout,{Data},,,,,,,,,,,,,,,,,,
Year,observationDate,2017-06,,,,,,,,,,,,,,,,,,
Urban,placeOfResidenceClassification,Urban,,,,,,,,,,,,,,,,,,
Rural,placeOfResidenceClassification,Rural,,,,,,,,,,,,,,,,,,
Distribution Of Cases Of Hospitalisation For Childbirth By Hospital Type (%) (UOM:%(Percentage)),measuredProperty,count,populationType,PregnantWoman,medicalStatus,PatientHospitalized,measurementDenominator,-establishmentOwnership,unit,Percent,scalingFactor,100,value,{Number},,,expenditureType,,statType,meanValue
OBC,socialCategory,OtherBackwardClass,,,,,,,,,,,,,,,,,,
SC,socialCategory,ScheduledCaste,,,,,,,,,,,,,,,,,,
ST,socialCategory,ScheduledTribe,,,,,,,,,,,,,,,,,,
Others,socialCategory,OtherSocialCategory,,,,,,,,,,,,,,,,,,
Charitable hospital,establishmentOwnership,CharitableHospital,,,,,,,,,,,,,,,,,,
Private hospital,establishmentOwnership,PrivateHospital,,,,,,,,,,,,,,,,,,
Public hospital,establishmentOwnership,PublicHospital,,,,,,,,,,,,,,,,,,
Hospital Type:all,#ignore,ignore,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
State,observationAbout,{Data},,,,,,,,,,,,,,,,,,
Year,observationDate,2017-06,,,,,,,,,,,,,,,,,,
Urban,placeOfResidenceClassification,Urban,,,,,,,,,,,,,,,,,,
Rural,placeOfResidenceClassification,Rural,,,,,,,,,,,,,,,,,,
male,gender,Male,,,,,,,,,,,,,,,,,,
female,gender,Female,,,,,,,,,,,,,,,,,,
Distribution Of Aged Persons ( Per 1000 ) By State Of Economic Independence And Gender (UOM:Number),measuredProperty,count,populationType,MedicalConditionIncident,medicalStatus,PatientHospitalized,measurementDenominator,",+measuredProperty=count,-statType,+populationType=MedicalConditionIncident,+medicalStatus=PatientHospitalized,-economicDependencyStatus",value,{Number},,,,,,,,,,
partially dependent on others,economicDependencyStatus,PartiallyDependent,,,,,,,,,,,,,,,,,,
not dependent on other,economicDependencyStatus,NotDependent,,,,,,,,,,,,,,,,,,
fully dependent on others,economicDependencyStatus,FullyDependent,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
State,observationAbout,{Data},,,,,,,,,,,,,,,,,,
Year,observationDate,2014-06,,,,,,,,,,,,,,,,,,
Urban,placeOfResidenceClassification,Urban,,,,,,,,,,,,,,,,,,
Rural,placeOfResidenceClassification,Rural,,,,,,,,,,,,,,,,,,
male,gender,Male,,,,,,,,,,,,,,,,,,
female,gender,Female,,,,,,,,,,,,,,,,,,
Distribution Of Hospitalised Cases(Per 1000) For Different Age Groups (UOM:Number),measuredProperty,count,populationType,MedicalConditionIncident,medicalStatus,PatientHospitalized,value,{Number},,,,,,,,,,,,
0 - 14,age,[0 14 Years],,,,,,,,,,,,,,,,,,
15-29,age,[15 19 Years],,,,,,,,,,,,,,,,,,
30-44,age,[30 44 Years],,,,,,,,,,,,,,,,,,
45-59,age,[45 59 Years],,,,,,,,,,,,,,,,,,
60+,age,[60 - Years],,,,,,,,,,,,,,,,,,
60-69,age,[60 69 Years],,,,,,,,,,,,,,,,,,
70+,age,[70 - Years],,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
State,observationAbout,{Data},,,,,,,,,,,,,,,,,,
Year,observationDate,2017-06,,,,,,,,,,,,,,,,,,
Urban,placeOfResidenceClassification,Urban,,,,,,,,,,,,,,,,,,
Rural,placeOfResidenceClassification,Rural,,,,,,,,,,,,,,,,,,
Ailments Reported For Each Broad Caliment Category Per 100000 Persons During Last 15 Days By Different Age Groups (UOM:PerLakh(100000)),measuredProperty,count,populationType,MedicalConditionIncident,medicalStatus,Ailments,measurementDenominator,Count_Person,unit,Percent,scalingFactor,100,value,{Number},statType,measuredValue,,,,
male,gender,Male,,,,,,,,,,,,,,,,,,
female,gender,Female,,,,,,,,,,,,,,,,,,
Blood diseases,medicalCondition,BloodDisease,,,,,,,,,,,,,,,,,,
Cancers,medicalCondition,Cancer,,,,,,,,,,,,,,,,,,
Cardio-vascular,medicalCondition,CardiovascularDisease,,,,,,,,,,,,,,,,,,
Ear,medicalCondition,EarCondition,,,,,,,,,,,,,,,,,,
"Endocrine, metabolic",medicalCondition,EndocrineMetabolicCondition,,,,,,,,,,,,,,,,,,
Eye,medicalCondition,EyeCondition,,,,,,,,,,,,,,,,,,
Gastro-intestinal,medicalCondition,GastroIntestinalCondition,,,,,,,,,,,,,,,,,,
Genito-Urinary,medicalCondition,GenitoUrinaryCondition,,,,,,,,,,,,,,,,,,
Infection,medicalCondition,Infection,,,,,,,,,,,,,,,,,,
Injuries,medicalCondition,Injury,,,,,,,,,,,,,,,,,,
Musculo-skeletal,medicalCondition,MusculoSkeletalCondition,,,,,,,,,,,,,,,,,,
Obstetric,medicalCondition,ObstetricCondition,,,,,,,,,,,,,,,,,,
Other,medicalCondition,OtherDisease,,,,,,,,,,,,,,,,,,
Pshychiatric & Neurological,medicalCondition,PsychiatricNeurologicalCondition,,,,,,,,,,,,,,,,,,
Respiratory,medicalCondition,RespiratoryDisease,,,,,,,,,,,,,,,,,,
Skin,medicalCondition,SkinDisease,,,,,,,,,,,,,,,,,,
all,medicalCondition,AllDisease,,,,,,,,,,,,,,,,,,
0-4,age,[0 4 Years],,,,,,,,,,,,,,,,,,
15-29,age,[15 19 Years],,,,,,,,,,,,,,,,,,
30-44,age,[30 44 Years],,,,,,,,,,,,,,,,,,
45-59,age,[45 59 Years],,,,,,,,,,,,,,,,,,
5-14,age,[5 14 Years],,,,,,,,,,,,,,,,,,
60+,age,[60 - Years],,,,,,,,,,,,,,,,,,
60-69,age,[60 69 Years],,,,,,,,,,,,,,,,,,
70+,age,[70 - Years],,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
State,observationAbout,{Data},,,,,,,,,,,,,,,,,,
Year,observationDate,2014-06,,,,,,,,,,,,,,,,,,
Urban,placeOfResidenceClassification,Urban,,,,,,,,,,,,,,,,,,
Rural,placeOfResidenceClassification,Rural,,,,,,,,,,,,,,,,,,
male,gender,Male,,,,,,,,,,,,,,,,,,
female,gender,Female,,,,,,,,,,,,,,,,,,
>45,age,[45 - Years],,,,,,,,,,,,,,,,,,
35-39,age,[35 39 Years],,,,,,,,,,,,,,,,,,
30-34,age,[30 34 Years],,,,,,,,,,,,,,,,,,
20-40,age,[20 40 Years],,,,,,,,,,,,,,,,,,
<20,age,[20 - Years],,,,,,,,,,,,,,,,,,
40-44,age,[40 44 Years],,,,,,,,,,,,,,,,,,
25-29,age,[25 29 Years],,,,,,,,,,,,,,,,,,
Average Duration Of Stay Per Case For Childbirth By Age Of Mother (UOM:INR(IndianRupees)),measuredProperty,count,statType,meanValue,populationType,PregnantWoman,measurementDenominator,",+measuredProperty=count,-statType,+populationType=MedicalConditionIncident,+medicalStatus=PatientHospitalized,-age",,,value,{Number},,,,,,,,
Distribution Of Cases Of Hospitalisation(Per 1000) For Childbirth By Age Of The Mother (UOM:Number),measuredProperty,count,populationType,PregnantWoman,medicalStatus,PatientHospitalized,measurementDenominator,-age,unit,Percent,scalingFactor,100,value,{Number},,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
State,observationAbout,{Data},,,,,,,,,,,,,,,,,,
Year,observationDate,2017-06,,,,,,,,,,,,,,,,,,
Urban,placeOfResidenceClassification,Urban,,,,,,,,,,,,,,,,,,
Rural,placeOfResidenceClassification,Rural,,,,,,,,,,,,,,,,,,
male,gender,Male,,,,,,,,,,,,,,,,,,
female,gender,Female,,,,,,,,,,,,,,,,,,
Average Out Of Pocket Medical Expenditure For Treatment  (UOM:INR(IndianRupees)),expenditureType,Treatment,statType,meanValue,populationType,ExpenditureActivity,unit,INR,value,{Number},,,,,,,,,,
Charitable/Trust/ NGO run hospital,establishmentOwnership,CharitableHospital,,,,,,,,,,,,,,,,,,
Govt./ Public Hospital,establishmentOwnership,PublicHospital,,,,,,,,,,,,,,,,,,
Informal health care provider,establishmentOwnership,InformalHealthCare,,,,,,,,,,,,,,,,,,
Private Doctor/Clinic,establishmentOwnership,PrivateClinic,,,,,,,,,,,,,,,,,,
Private Hospital,establishmentOwnership,PrivateHospital,,,,,,,,,,,,,,,,,,
Hospital Type:All (incl. n.r.),#ignore,ignore,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
State,observationAbout,{Data},,,,,,,,,,,,,,,,,,
Year,observationDate,2017-06,,,,,,,,,,,,,,,,,,
Urban,placeOfResidenceClassification,Urban,,,,,,,,,,,,,,,,,,
Rural,placeOfResidenceClassification,Rural,,,,,,,,,,,,,,,,,,
male,gender,Male,,,,,,,,,,,,,,,,,,
female,gender,Female,,,,,,,,,,,,,,,,,,
Persons Treated As In-Patient By Age-Group (%) (UOM:%(Percentage)),measuredProperty,count,populationType,Person,medicalStatus,PatientHospitalized,value,{Number},,,,,,,,,,,,
0-4,age,[0 4 Years],,,,,,,,,,,,,,,,,,
15-29,age,[15 19 Years],,,,,,,,,,,,,,,,,,
30-44,age,[30 44 Years],,,,,,,,,,,,,,,,,,
45-59,age,[45 59 Years],,,,,,,,,,,,,,,,,,
5-14,age,[5 14 Years],,,,,,,,,,,,,,,,,,
60+,age,[60 - Years],,,,,,,,,,,,,,,,,,
