National Center for Education Statistics,,,,,,,,,,,,,,,,
"Table 20. Number of full-time, first-time degree/certificate-seeking undergraduate students in the adjusted cohort, number of completers, and graduation rate within 150 percent of normal program completion time at Title IV institutions, by control of institution, level of institution, and type of aid received: United States, cohort years 2015 and 2018",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Level of institution and type of aid received,,All institutions,,,,Public,,,,Private,,,,,,
,,,,,,,,,,Nonprofit,,,,For-profit,,
All students,,"685,616","249,166",36.3,,"571,965","179,663",31.4,,"14,536","8,876",61.1,,"99,115","60,627",61.2
Received Pell Grant,,"376,795","133,410",35.4,,"294,118","84,156",28.6,,"10,981","6,554",59.7,,"71,696","42,700",59.6
"Received Direct Subsidized Loan, but not a   Pell Grant",,"36,770","15,980",43.5,,"25,129","7,939",31.6,,841,598,71.1,,"10,800","7,443",68.9
Received neither a Pell Grant or a Direct   Subsidized Loan,,"272,051","99,776",36.7,,"252,718","87,568",34.7,,"2,714","1,724",63.5,,"16,619","10,484",63.1
,,,,,,,,,,,,,,,,
Less-than-2-year institutions   (cohort year 2018),,,,,,,,,,,,,,,,
All students,,"137,404","94,235",68.6,,"17,263","12,146",70.4,,"5,809","4,215",72.6,,"114,332","77,874",68.1
Received Pell Grant,,"92,798","62,721",67.6,,"8,281","6,241",75.4,,"3,441","2,440",70.9,,"81,076","54,040",66.7
"Received Direct Subsidized Loan, but not a   Pell Grant",,"11,360","8,629",76.0,,733,587,80.1,,342,282,82.5,,"10,285","7,760",75.4
Received neither a Pell Grant or a Direct   Subsidized Loan,,"33,246","22,885",68.8,,"8,249","5,318",64.5,,"2,026","1,493",73.7,,"22,971","16,074",70.0
"NOTE: Title IV institutions are those with a written agreement with the U.S. Department of Education that allows the institution to participate in any of the Title IV federal student financial assistance programs. United States includes the 50 states and the District of Columbia. The U.S. Naval Academy, the U.S. Military Academy, the U.S. Coast Guard Academy, and the U.S. Air Force Academy are not Title IV eligible but are included in the Integrated Postsecondary Education Data System (IPEDS) universe because they are federally funded and open to the public; they are included in this table. The U.S. Merchant Marine Academy is Title IV eligible and is also included in this table. The graduation rate was calculated as required for disclosure and reporting purposes under the Student Right-to-Know Act. This rate was calculated no later than August 31, 2021 as the total number of completers within 150 percent of normal time (e.g., ""normal"" program completion time for a bachelor's degree would be 4 years) at the same institution where the student started divided by the adjusted cohort (revised cohort minus any allowable exclusions). For institutions following a semester, trimester, 4-1-4, or other academic year calendar system, the revised cohort is the number of students entering the institution as full-time, first-time degree- or certificate-seeking undergraduates in the fall of the cohort year. For institutions following calendars that differ by program or allow continuous enrollment, the revised cohort is the number of students entering the institution as full-time, first-time degree- or certificate-seeking undergraduates from September 1 of the cohort year through August 31 of the following year. Allowable exclusions include those students who died or were totally and permanently disabled; students who left school to serve in the armed forces (or have been called up to active duty); those who left to serve with a foreign aid service of the federal government, such as the Peace Corps; and those who left to serve on official church missions. Definitions for terms used in this table may be found in the collection year's archived downloadable glossary located at https://nces.ed.gov/ipeds/use-the-data/annual-survey-forms-packages-archived?year=2021.",,,,,,,,,,,,,,,,
"SOURCE: U.S. Department of Education, National Center for Education Statistics, IPEDS, Winter 2021–22, Graduation Rates component (final data).",,,,,,,,,,,,,,,,
