Detail Data For Electricity Energy Demand & Deficit by State Having Year : ALL Region : ALL State : A & N ISLANDS | ANDHRA PRADESH | ARUNACHAL PRADESH | ASSAM | BIHAR | CENTRAL | CHANDIGARH | CHHATTISGARH | DADRA & NAGAR HAVELI | DELHI | DIU & DAMAN | DVC | EASTERN OFFSHORE | GOA | GUJARAT | GUJARAT OFFSHORE | HARYANA | HIMACHAL PRADESH | JAMMU & KASHMIR | JHARKHAND | KARNATAKA | KERALA | LADAKH | LAKSHADWEEP | MADHYA PRADESH | MAHARASHTRA | MANIPUR | MEGHALAYA | MIZORAM | MULTIPLE STATES | NAGALAND | ODISHA | OFFSHORE | OTHERS | PUDUCHERRY | PUNJAB | RAJASTHAN | SIKKIM | TAMILNADU | TELANGANA | TRIPURA | UNION TERRITORIES | UTTAR PRADESH | UTTARAKHAND | WEST BENGAL | WESTERN OFFSHORE
.
Region,State,YearValue,EnergyRequirement_MU,EnergyAvailability_MU
ER,BIHAR,2019,30061.000,29825.000
ER,BIHAR,2020,31627.000,31533.000
WR,MADHYA PRADESH,2008,41560.000,35700.000
WR,MADHYA PRADESH,2009,42054.000,34841.000
WR,MADHYA PRADESH,2010,43179.000,34973.000
WR,MADHYA PRADESH,2011,48437.000,38644.000
WR,MADHYA PRADESH,2012,49785.000,41392.000
WR,MADHYA PRADESH,2013,51783.000,46829.000
WR,MADHYA PRADESH,2014,49410.000,49385.000
WR,MADHYA PRADESH,2015,53374.000,53082.000
WR,MADHYA PRADESH,2016,62375.000,62375.000
WR,MADHYA PRADESH,2017,65759.000,65758.000
WR,MADHYA PRADESH,2018,69925.000,69925.000
WR,MADHYA PRADESH,2019,76056.000,76054.000
WR,MADHYA PRADESH,2020,76172.000,76172.000
WR,CHHATTISGARH,2008,14079.000,13409.000
WR,CHHATTISGARH,2009,14866.000,14475.000
WR,CHHATTISGARH,2010,11009.000,10739.000
WR,CHHATTISGARH,2011,10340.000,10165.000
WR,CHHATTISGARH,2012,15013.000,14615.000
WR,CHHATTISGARH,2013,17302.000,17003.000
WR,CHHATTISGARH,2014,18932.000,18800.000
WR,CHHATTISGARH,2015,21499.000,21230.000
WR,CHHATTISGARH,2016,25650.000,25310.000
WR,CHHATTISGARH,2017,23750.000,23697.000
WR,CHHATTISGARH,2018,25916.000,25832.000
WR,CHHATTISGARH,2019,26471.000,26417.000
WR,CHHATTISGARH,2020,30111.000,30107.000
NR,UTTAR PRADESH,2008,62628.000,51335.000
NR,UTTAR PRADESH,2009,69207.000,54309.000
NR,UTTAR PRADESH,2010,75930.000,59508.000
NR,UTTAR PRADESH,2011,76292.000,64846.000
NR,UTTAR PRADESH,2012,81339.000,72116.000
NR,UTTAR PRADESH,2013,91647.000,76446.000
NR,UTTAR PRADESH,2014,94890.000,81613.000
NR,UTTAR PRADESH,2015,103179.000,87062.000
NR,UTTAR PRADESH,2016,106350.000,93033.000
NR,UTTAR PRADESH,2017,107569.000,105701.000
NR,UTTAR PRADESH,2018,120052.000,118303.000
NR,UTTAR PRADESH,2019,117133.000,116149.000
NR,UTTAR PRADESH,2020,122549.000,121004.000
WR,MAHARASHTRA,2008,114885.000,93846.000
WR,MAHARASHTRA,2009,121901.000,95761.000
WR,MAHARASHTRA,2010,124936.000,101512.000
WR,MAHARASHTRA,2011,128296.000,107018.000
WR,MAHARASHTRA,2012,141382.000,117722.000
WR,MAHARASHTRA,2013,123984.000,119972.000
WR,MAHARASHTRA,2014,126288.000,123672.000
WR,MAHARASHTRA,2015,134897.000,133078.000
WR,MAHARASHTRA,2016,141817.000,141361.000
WR,MAHARASHTRA,2017,139295.000,139228.000
WR,MAHARASHTRA,2018,149761.000,149531.000
WR,MAHARASHTRA,2019,158295.000,158157.000
WR,MAHARASHTRA,2020,155167.000,155166.000
ER,ODISHA,2008,18846.000,18500.000
ER,ODISHA,2009,20519.000,20214.000
ER,ODISHA,2010,21136.000,20955.000
ER,ODISHA,2011,22506.000,22449.000
ER,ODISHA,2012,23036.000,22693.000
ER,ODISHA,2013,25155.000,24320.000
ER,ODISHA,2014,24958.000,24546.000
ER,ODISHA,2015,26482.000,26052.000
ER,ODISHA,2016,26763.000,26600.000
ER,ODISHA,2017,26758.000,26756.000
ER,ODISHA,2018,28802.000,28706.000
ER,ODISHA,2019,32145.000,32115.000
ER,ODISHA,2020,29692.000,29692.000
SR,ANDHRA PRADESH,2008,64139.000,61511.000
SR,ANDHRA PRADESH,2009,71511.000,66673.000
SR,ANDHRA PRADESH,2010,78996.000,73765.000
SR,ANDHRA PRADESH,2011,78970.000,76450.000
SR,ANDHRA PRADESH,2012,91730.000,85149.000
SR,ANDHRA PRADESH,2013,99692.000,82171.000
SR,ANDHRA PRADESH,2014,95662.000,89036.000
SR,ANDHRA PRADESH,2015,59198.000,56313.000
SR,ANDHRA PRADESH,2016,50437.000,50366.000
SR,ANDHRA PRADESH,2017,54300.000,54257.000
SR,ANDHRA PRADESH,2018,58384.000,58288.000
SR,ANDHRA PRADESH,2019,63861.000,63804.000
SR,ANDHRA PRADESH,2020,65452.000,65414.000
SR,TELANGANA,2008,0.000,0.000
SR,TELANGANA,2009,0.000,0.000
SR,TELANGANA,2010,0.000,0.000
SR,TELANGANA,2011,0.000,0.000
SR,TELANGANA,2012,0.000,0.000
SR,TELANGANA,2013,0.000,0.000
SR,TELANGANA,2014,0.000,0.000
SR,TELANGANA,2015,43337.000,40644.000
SR,TELANGANA,2016,50254.000,49948.000
SR,TELANGANA,2017,53030.000,53018.000
SR,TELANGANA,2018,60319.000,60235.000
SR,TELANGANA,2019,66489.000,66427.000
SR,TELANGANA,2020,68306.000,68303.000
ER,SIKKIM,2008,284.000,267.000
ER,SIKKIM,2009,236.000,184.000
ER,SIKKIM,2010,388.000,345.000
ER,SIKKIM,2011,402.000,402.000
ER,SIKKIM,2012,390.000,384.000
ER,SIKKIM,2013,409.000,409.000
ER,SIKKIM,2014,413.000,413.000
ER,SIKKIM,2015,399.000,399.000
ER,SIKKIM,2016,399.000,399.000
ER,SIKKIM,2017,475.000,475.000
ER,SIKKIM,2018,485.000,484.000
ER,SIKKIM,2019,527.000,527.000
ER,SIKKIM,2020,554.000,554.000
NER,ASSAM,2008,4816.000,4412.000
NER,ASSAM,2009,5107.000,4567.000
NER,ASSAM,2010,5122.000,4688.000
NER,ASSAM,2011,5403.000,5063.000
NER,ASSAM,2012,6034.000,5696.000
NER,ASSAM,2013,6495.000,6048.000
NER,ASSAM,2014,7544.000,7062.000
NER,ASSAM,2015,8527.000,7926.000
NER,ASSAM,2016,8762.000,8271.000
NER,ASSAM,2017,9020.000,8694.000
NER,ASSAM,2018,9094.000,8779.000
NER,ASSAM,2019,9566.000,9238.000
NER,ASSAM,2020,9804.000,9288.000
NER,ARUNACHAL PRADESH,2008,391.000,302.000
NER,ARUNACHAL PRADESH,2009,426.000,271.000
NER,ARUNACHAL PRADESH,2010,399.000,325.000
NER,ARUNACHAL PRADESH,2011,511.000,436.000
NER,ARUNACHAL PRADESH,2012,600.000,553.000
NER,ARUNACHAL PRADESH,2013,589.000,554.000
NER,ARUNACHAL PRADESH,2014,552.000,517.000
NER,ARUNACHAL PRADESH,2015,677.000,610.000
NER,ARUNACHAL PRADESH,2016,625.000,591.000
NER,ARUNACHAL PRADESH,2017,729.000,714.000
NER,ARUNACHAL PRADESH,2018,799.000,788.000
NER,ARUNACHAL PRADESH,2019,869.000,859.000
NER,ARUNACHAL PRADESH,2020,753.000,749.000
NER,MEGHALAYA,2008,1620.000,1232.000
NER,MEGHALAYA,2009,1713.000,1386.000
NER,MEGHALAYA,2010,1550.000,1327.000
NER,MEGHALAYA,2011,1545.000,1352.000
NER,MEGHALAYA,2012,1927.000,1450.000
NER,MEGHALAYA,2013,1828.000,1607.000
NER,MEGHALAYA,2014,1794.000,1604.000
NER,MEGHALAYA,2015,1930.000,1634.000
NER,MEGHALAYA,2016,1832.000,1724.000
NER,MEGHALAYA,2017,1715.000,1715.000
NER,MEGHALAYA,2018,1557.000,1553.000
NER,MEGHALAYA,2019,1957.000,1956.000
NER,MEGHALAYA,2020,2112.000,2064.000
NER,NAGALAND,2008,377.000,334.000
NER,NAGALAND,2009,475.000,436.000
NER,NAGALAND,2010,530.000,466.000
NER,NAGALAND,2011,583.000,520.000
NER,NAGALAND,2012,560.000,511.000
NER,NAGALAND,2013,567.000,535.000
NER,NAGALAND,2014,577.000,561.000
NER,NAGALAND,2015,688.000,661.000
NER,NAGALAND,2016,755.000,738.000
NER,NAGALAND,2017,757.000,745.000
NER,NAGALAND,2018,794.000,774.000
NER,NAGALAND,2019,888.000,795.000
NER,NAGALAND,2020,814.000,809.000
WR,GUJARAT,2008,68747.000,57614.000
WR,GUJARAT,2009,67482.000,60851.000
WR,GUJARAT,2010,70369.000,67220.000
WR,GUJARAT,2011,71651.000,67534.000
WR,GUJARAT,2012,74696.000,74429.000
WR,GUJARAT,2013,93662.000,93513.000
WR,GUJARAT,2014,88497.000,88488.000
WR,GUJARAT,2015,96235.000,96211.000
WR,GUJARAT,2016,103544.000,103540.000
WR,GUJARAT,2017,103706.000,103705.000
WR,GUJARAT,2018,109984.000,109973.000
WR,GUJARAT,2019,116372.000,116356.000
WR,GUJARAT,2020,113940.000,113939.000
NR,JAMMU & KASHMIR,2008,11782.000,8362.000
NR,JAMMU & KASHMIR,2009,11467.000,8698.000
NR,JAMMU & KASHMIR,2010,13200.000,9933.000
NR,JAMMU & KASHMIR,2011,13571.000,10181.000
NR,JAMMU & KASHMIR,2012,14250.000,10889.000
NR,JAMMU & KASHMIR,2013,15410.000,11558.000
NR,JAMMU & KASHMIR,2014,15613.000,12187.000
NR,JAMMU & KASHMIR,2015,16214.000,13119.000
NR,JAMMU & KASHMIR,2016,16572.000,14037.000
NR,JAMMU & KASHMIR,2017,17398.000,14194.000
NR,JAMMU & KASHMIR,2018,18808.000,15050.000
NR,JAMMU & KASHMIR,2019,18988.000,15616.000
NR,JAMMU & KASHMIR,2020,20025.000,16259.000
SR,KERALA,2008,15663.000,15284.000
SR,KERALA,2009,17645.000,15562.000
SR,KERALA,2010,17619.000,17196.000
SR,KERALA,2011,18023.000,17767.000
SR,KERALA,2012,19890.000,19467.000
SR,KERALA,2013,21243.000,20391.000
SR,KERALA,2014,21577.000,21052.000
SR,KERALA,2015,22459.000,22127.000
SR,KERALA,2016,23318.000,23194.000
SR,KERALA,2017,24296.000,24261.000
SR,KERALA,2018,25002.000,24917.000
SR,KERALA,2019,25016.000,24898.000
SR,KERALA,2020,26315.000,26265.000
SR,PUDUCHERRY,2008,1841.000,1841.000
SR,PUDUCHERRY,2009,2020.000,1773.000
SR,PUDUCHERRY,2010,2119.000,1975.000
SR,PUDUCHERRY,2011,2123.000,2039.000
SR,PUDUCHERRY,2012,2167.000,2136.000
SR,PUDUCHERRY,2013,2331.000,2291.000
SR,PUDUCHERRY,2014,2344.000,2320.000
SR,PUDUCHERRY,2015,2402.000,2376.000
SR,PUDUCHERRY,2016,2437.000,2429.000
SR,PUDUCHERRY,2017,2548.000,2545.000
SR,PUDUCHERRY,2018,2668.000,2661.000
SR,PUDUCHERRY,2019,2766.000,2756.000
SR,PUDUCHERRY,2020,2847.000,2846.000
NR,RAJASTHAN,2008,36738.000,35597.000
NR,RAJASTHAN,2009,37797.000,37388.000
NR,RAJASTHAN,2010,44109.000,43062.000
NR,RAJASTHAN,2011,45261.000,44836.000
NR,RAJASTHAN,2012,51474.000,49491.000
NR,RAJASTHAN,2013,55538.000,53868.000
NR,RAJASTHAN,2014,58202.000,58042.000
NR,RAJASTHAN,2015,65717.000,65310.000
NR,RAJASTHAN,2016,67417.000,67205.000
NR,RAJASTHAN,2017,67838.000,67415.000
NR,RAJASTHAN,2018,71194.000,70603.000
NR,RAJASTHAN,2019,79815.000,79626.000
NR,RAJASTHAN,2020,81281.000,81222.000
SR,TAMILNADU,2008,65780.000,63954.000
SR,TAMILNADU,2009,69668.000,64208.000
SR,TAMILNADU,2010,76293.000,71568.000
SR,TAMILNADU,2011,80314.000,75101.000
SR,TAMILNADU,2012,85685.000,76705.000
SR,TAMILNADU,2013,92302.000,76161.000
SR,TAMILNADU,2014,93508.000,87980.000
SR,TAMILNADU,2015,95758.000,92750.000
SR,TAMILNADU,2016,97277.000,96586.000
SR,TAMILNADU,2017,104511.000,104487.000
SR,TAMILNADU,2018,106006.000,105839.000
SR,TAMILNADU,2019,109482.000,109380.000
SR,TAMILNADU,2020,108816.000,108812.000
NR,DELHI,2008,22439.000,22301.000
NR,DELHI,2009,22398.000,22273.000
NR,DELHI,2010,24277.000,24094.000
NR,DELHI,2011,25625.000,25559.000
NR,DELHI,2012,26751.000,26674.000
NR,DELHI,2013,26088.000,25950.000
NR,DELHI,2014,26867.000,26791.000
NR,DELHI,2015,29231.000,29106.000
NR,DELHI,2016,29626.000,29583.000
NR,DELHI,2017,30829.000,30797.000
NR,DELHI,2018,31826.000,31806.000
NR,DELHI,2019,32299.000,32282.000
NR,DELHI,2020,33086.000,33077.000
NR,HARYANA,2008,29353.000,25652.000
NR,HARYANA,2009,29085.000,26625.000
NR,HARYANA,2010,33441.000,32023.000
NR,HARYANA,2011,34552.000,32626.000
NR,HARYANA,2012,36874.000,35541.000
NR,HARYANA,2013,41407.000,38209.000
NR,HARYANA,2014,43463.000,43213.000
NR,HARYANA,2015,46615.000,46432.000
NR,HARYANA,2016,47506.000,47437.000
NR,HARYANA,2017,48895.000,48895.000
NR,HARYANA,2018,50775.000,50775.000
NR,HARYANA,2019,53665.000,53665.000
NR,HARYANA,2020,54505.000,54492.000
NR,HIMACHAL PRADESH,2008,5992.000,5814.000
NR,HIMACHAL PRADESH,2009,6260.000,6241.000
NR,HIMACHAL PRADESH,2010,7047.000,6769.000
NR,HIMACHAL PRADESH,2011,7626.000,7364.000
NR,HIMACHAL PRADESH,2012,8161.000,8107.000
NR,HIMACHAL PRADESH,2013,8992.000,8744.000
NR,HIMACHAL PRADESH,2014,9089.000,8883.000
NR,HIMACHAL PRADESH,2015,8807.000,8728.000
NR,HIMACHAL PRADESH,2016,8821.000,8758.000
NR,HIMACHAL PRADESH,2017,8831.000,8779.000
NR,HIMACHAL PRADESH,2018,9399.000,9346.000
NR,HIMACHAL PRADESH,2019,9850.000,9618.000
NR,HIMACHAL PRADESH,2020,10424.000,10353.000
SR,KARNATAKA,2008,40320.000,39230.000
SR,KARNATAKA,2009,43168.000,40578.000
SR,KARNATAKA,2010,45550.000,42041.000
SR,KARNATAKA,2011,50474.000,46624.000
SR,KARNATAKA,2012,60830.000,54023.000
SR,KARNATAKA,2013,66274.000,57044.000
SR,KARNATAKA,2014,64150.000,58052.000
SR,KARNATAKA,2015,62643.000,59926.000
SR,KARNATAKA,2016,64302.000,60971.000
SR,KARNATAKA,2017,66899.000,66537.000
SR,KARNATAKA,2018,67869.000,67701.000
SR,KARNATAKA,2019,71764.000,71695.000
SR,KARNATAKA,2020,72799.000,72796.000
NR,PUNJAB,2008,42372.000,38795.000
NR,PUNJAB,2009,41635.000,37238.000
NR,PUNJAB,2010,45731.000,39408.000
NR,PUNJAB,2011,44484.000,41799.000
NR,PUNJAB,2012,45191.000,43792.000
NR,PUNJAB,2013,48724.000,46119.000
NR,PUNJAB,2014,47821.000,47084.000
NR,PUNJAB,2015,48629.000,48144.000
NR,PUNJAB,2016,49687.000,49675.000
NR,PUNJAB,2017,53098.000,53098.000
NR,PUNJAB,2018,54812.000,54812.000
NR,PUNJAB,2019,55328.000,55315.000
NR,PUNJAB,2020,56776.000,56770.000
NR,UTTARAKHAND,2008,7047.000,6845.000
NR,UTTARAKHAND,2009,7841.000,7765.000
NR,UTTARAKHAND,2010,8921.000,8338.000
NR,UTTARAKHAND,2011,9850.000,9255.000
NR,UTTARAKHAND,2012,10513.000,10208.000
NR,UTTARAKHAND,2013,11331.000,10709.000
NR,UTTARAKHAND,2014,11944.000,11493.000
NR,UTTARAKHAND,2015,12445.000,12072.000
NR,UTTARAKHAND,2016,12889.000,12675.000
NR,UTTARAKHAND,2017,13069.000,12986.000
NR,UTTARAKHAND,2018,13457.000,13426.000
NR,UTTARAKHAND,2019,13845.000,13753.000
NR,UTTARAKHAND,2020,14472.000,14376.000
WR,GOA,2008,2740.000,2707.000
WR,GOA,2009,1797.000,1576.000
WR,GOA,2010,1934.000,1802.000
WR,GOA,2011,2181.000,1997.000
WR,GOA,2012,2141.000,1915.000
WR,GOA,2013,1991.000,1860.000
WR,GOA,2014,3890.000,3871.000
WR,GOA,2015,3969.000,3932.000
WR,GOA,2016,5120.000,5119.000
WR,GOA,2017,4319.000,4317.000
WR,GOA,2018,4117.000,4117.000
WR,GOA,2019,4295.000,4292.000
WR,GOA,2020,4350.000,4350.000
NER,MANIPUR,2008,530.000,501.000
NER,MANIPUR,2009,556.000,477.000
NER,MANIPUR,2010,524.000,430.000
NER,MANIPUR,2011,568.000,505.000
NER,MANIPUR,2012,544.000,499.000
NER,MANIPUR,2013,574.000,543.000
NER,MANIPUR,2014,579.000,548.000
NER,MANIPUR,2015,705.000,678.000
NER,MANIPUR,2016,840.000,810.000
NER,MANIPUR,2017,764.000,740.000
NER,MANIPUR,2018,874.000,827.000
NER,MANIPUR,2019,905.000,895.000
NER,MANIPUR,2020,924.000,917.000
NER,MIZORAM,2008,288.000,246.000
NER,MIZORAM,2009,330.000,269.000
NER,MIZORAM,2010,352.000,288.000
NER,MIZORAM,2011,369.000,315.000
NER,MIZORAM,2012,397.000,355.000
NER,MIZORAM,2013,406.000,378.000
NER,MIZORAM,2014,446.000,430.000
NER,MIZORAM,2015,455.000,425.000
NER,MIZORAM,2016,471.000,455.000
NER,MIZORAM,2017,514.000,501.000
NER,MIZORAM,2018,497.000,488.000
NER,MIZORAM,2019,643.000,635.000
NER,MIZORAM,2020,647.000,643.000
NER,TRIPURA,2008,777.000,686.000
NER,TRIPURA,2009,800.000,728.000
NER,TRIPURA,2010,855.000,771.000
NER,TRIPURA,2011,882.000,801.000
NER,TRIPURA,2012,949.000,900.000
NER,TRIPURA,2013,1108.000,1054.000
NER,TRIPURA,2014,1195.000,1144.000
NER,TRIPURA,2015,1242.000,1048.000
NER,TRIPURA,2016,1202.000,1146.000
NER,TRIPURA,2017,1644.000,1621.000
NER,TRIPURA,2018,2602.000,2553.000
NER,TRIPURA,2019,1863.000,1841.000
NER,TRIPURA,2020,1538.000,1515.000
ER,A & N ISLANDS,2015,240.000,180.000
ER,A & N ISLANDS,2016,240.000,180.000
ER,A & N ISLANDS,2017,240.000,180.000
ER,A & N ISLANDS,2018,328.000,299.000
ER,A & N ISLANDS,2019,346.000,323.000
ER,A & N ISLANDS,2020,346.000,323.000
WR,DIU & DAMAN,2008,1774.000,1580.000
WR,DIU & DAMAN,2009,3574.000,3457.000
WR,DIU & DAMAN,2010,4007.000,3853.000
WR,DIU & DAMAN,2011,4429.000,4424.000
WR,DIU & DAMAN,2012,4380.000,4349.000
WR,DIU & DAMAN,2013,4572.000,4399.000
WR,DIU & DAMAN,2014,2252.000,2252.000
WR,DIU & DAMAN,2015,2086.000,2086.000
WR,DIU & DAMAN,2016,2337.000,2337.000
WR,DIU & DAMAN,2017,2398.000,2398.000
WR,DIU & DAMAN,2018,2534.000,2534.000
WR,DIU & DAMAN,2019,2558.000,2558.000
WR,DIU & DAMAN,2020,2574.000,2574.000
SR,LAKSHADWEEP,2015,48.000,48.000
SR,LAKSHADWEEP,2016,48.000,48.000
SR,LAKSHADWEEP,2017,48.000,48.000
SR,LAKSHADWEEP,2018,47.000,47.000
SR,LAKSHADWEEP,2019,46.000,46.000
SR,LAKSHADWEEP,2020,46.000,46.000
NR,CHANDIGARH,2008,1446.000,1446.000
NR,CHANDIGARH,2009,1414.000,1414.000
NR,CHANDIGARH,2010,1576.000,1528.000
NR,CHANDIGARH,2011,1519.000,1519.000
NR,CHANDIGARH,2012,1568.000,1564.000
NR,CHANDIGARH,2013,1637.000,1637.000
NR,CHANDIGARH,2014,1574.000,1574.000
NR,CHANDIGARH,2015,1616.000,1616.000
NR,CHANDIGARH,2016,1607.000,1607.000
NR,CHANDIGARH,2017,1645.000,1645.000
NR,CHANDIGARH,2018,1610.000,1601.000
NR,CHANDIGARH,2019,1571.000,1571.000
NR,CHANDIGARH,2020,1732.000,1732.000
WR,DADRA & NAGAR HAVELI,2008,3388.000,3372.000
WR,DADRA & NAGAR HAVELI,2009,2801.000,2754.000
WR,DADRA & NAGAR HAVELI,2010,3092.000,3026.000
WR,DADRA & NAGAR HAVELI,2011,3154.000,3089.000
WR,DADRA & NAGAR HAVELI,2012,3024.000,2981.000
WR,DADRA & NAGAR HAVELI,2013,3181.000,3107.000
WR,DADRA & NAGAR HAVELI,2014,5390.000,5388.000
WR,DADRA & NAGAR HAVELI,2015,5307.000,5304.000
WR,DADRA & NAGAR HAVELI,2016,5925.000,5925.000
WR,DADRA & NAGAR HAVELI,2017,6021.000,6021.000
WR,DADRA & NAGAR HAVELI,2018,6168.000,6168.000
WR,DADRA & NAGAR HAVELI,2019,6303.000,6302.000
WR,DADRA & NAGAR HAVELI,2020,6528.000,6528.000
IN,DVC,2008,13387.000,13039.000
IN,DVC,2009,14002.000,13699.000
IN,DVC,2010,15199.000,14577.000
IN,DVC,2011,16590.000,15071.000
IN,DVC,2012,16648.000,16009.000
IN,DVC,2013,17299.000,16339.000
IN,DVC,2014,17407.000,17296.000
IN,DVC,2015,18222.000,17728.000
IN,DVC,2016,18437.000,18234.000
IN,DVC,2017,18929.000,18791.000
IN,DVC,2018,21549.000,21373.000
IN,DVC,2019,22745.000,22372.000
IN,DVC,2020,22429.000,22427.000
