Detail Data For Electricity T & D State wise Having Year : ALL Region : ALL State : A & N ISLANDS | ANDHRA PRADESH | ARUNACHAL PRADESH | ASSAM | BIHAR | CENTRAL | CHANDIGARH | CHHATTISGARH | DADRA & NAGAR HAVELI | DELHI | DIU & DAMAN | DVC | EASTERN OFFSHORE | GOA | GUJARAT | GUJARAT OFFSHORE | HARYANA | HIMACHAL PRADESH | JAMMU & KASHMIR | JHARKHAND | KARNATAKA | KERALA | LADAKH | LAKSHADWEEP | MADHYA PRADESH | MAHARASHTRA | MANIPUR | MEGHALAYA | MIZORAM | MULTIPLE STATES | NAGALAND | ODISHA | OFFSHORE | OTHERS | PUDUCHERRY | PUNJAB | RAJASTHAN | SIKKIM | TAMILNADU | TELANGANA | TRIPURA | UNION TERRITORIES | UTTAR PRADESH | UTTARAKHAND | WEST BENGAL | WESTERN OFFSHORE
.
Region,State,YearValue,Availability_GWh,ExBusImport_CPP_Gwh,ExBusImport_Grid_Gwh,OwnExBusGen_Gwh,ToalConsumption_Gwh,TandDLosses_GWh,TandDLoss_Percent
NER,ASSAM,2009,4482.810,0.000,2695.930,1786.880,2797.600,1685.210,0.376
NER,ASSAM,2010,4848.120,0.000,3071.470,1776.650,3257.000,1591.120,0.328
NER,ASSAM,2011,5255.680,0.000,3455.340,1800.340,3460.000,1795.680,0.342
NER,ASSAM,2012,5967.057,15.330,4073.607,1878.120,3969.240,1997.817,0.335
NER,ASSAM,2013,6066.160,23.450,4288.990,1753.720,4205.000,1861.160,0.307
NER,ASSAM,2014,6911.030,23.450,5059.410,1828.170,4763.000,2148.030,0.311
NER,ASSAM,2015,7571.100,23.450,5609.320,1938.330,5484.000,2087.100,0.276
NER,ASSAM,2017,8694.640,38.890,7073.130,1582.620,6525.000,2169.640,0.250
NER,ASSAM,2018,9368.100,27.560,7922.480,1418.060,7063.820,2304.280,0.250
NER,ASSAM,2019,9561.420,27.670,8158.070,1375.680,7268.180,2293.240,0.240
NER,ASSAM,2016,8287.050,54.830,6377.020,1855.200,6199.000,2088.050,0.250
NER,ARUNACHAL PRADESH,2006,321.130,0.000,272.310,48.820,161.460,159.670,0.497
NER,ARUNACHAL PRADESH,2007,328.140,0.000,261.040,67.100,138.500,189.640,0.578
NER,ARUNACHAL PRADESH,2008,516.810,0.000,351.480,165.330,169.510,347.300,0.672
NER,ARUNACHAL PRADESH,2009,511.070,0.000,338.230,172.840,271.470,239.600,0.469
NER,ARUNACHAL PRADESH,2010,598.490,0.000,364.520,233.970,311.000,287.490,0.480
NER,ARUNACHAL PRADESH,2011,680.750,0.000,459.240,221.510,360.000,320.750,0.471
NER,ARUNACHAL PRADESH,2012,811.290,0.000,588.300,222.990,436.050,375.240,0.463
NER,ARUNACHAL PRADESH,2013,872.100,0.000,582.190,289.910,470.930,401.170,0.460
NER,ARUNACHAL PRADESH,2014,894.840,0.000,603.860,290.980,480.520,414.320,0.463
NER,ARUNACHAL PRADESH,2015,1009.330,0.000,716.370,292.960,542.650,466.680,0.462
NER,ARUNACHAL PRADESH,2017,732.380,0.000,704.950,27.430,370.820,361.560,0.494
NER,ARUNACHAL PRADESH,2018,845.590,0.000,844.890,0.700,436.980,408.610,0.480
NER,ARUNACHAL PRADESH,2019,908.200,0.000,906.440,1.760,446.540,461.660,0.510
NER,ARUNACHAL PRADESH,2016,759.450,0.000,741.010,18.440,375.170,384.280,0.510
NER,MEGHALAYA,2006,1212.540,0.000,698.100,514.440,725.260,487.280,0.402
NER,MEGHALAYA,2007,1203.990,0.000,811.510,392.480,778.480,425.510,0.353
NER,MEGHALAYA,2008,1432.020,0.000,776.450,655.570,893.260,538.760,0.376
NER,MEGHALAYA,2009,1511.540,17.680,879.520,614.340,945.500,566.040,0.374
NER,MEGHALAYA,2010,1474.250,34.630,851.970,587.650,898.420,575.830,0.391
NER,MEGHALAYA,2011,1508.650,7.780,973.870,527.000,968.960,539.690,0.358
NER,MEGHALAYA,2012,1557.039,27.140,1029.459,500.440,1074.880,482.159,0.310
NER,MEGHALAYA,2013,1648.190,1.490,951.310,695.390,1258.580,389.610,0.236
NER,MEGHALAYA,2014,1680.970,1.710,796.980,882.280,1321.510,359.460,0.214
NER,MEGHALAYA,2015,1843.420,1.710,986.110,855.600,1232.520,610.900,0.331
NER,MEGHALAYA,2017,1512.150,0.000,739.040,773.110,972.380,539.770,0.357
NER,MEGHALAYA,2018,1638.400,0.000,430.310,1208.090,1063.730,574.680,0.350
NER,MEGHALAYA,2019,1942.620,0.000,965.230,977.390,1105.020,837.600,0.430
NER,MEGHALAYA,2016,1895.960,1.710,974.170,920.080,1283.180,612.780,0.320
NER,NAGALAND,2006,353.090,0.000,349.810,3.280,144.800,208.290,0.590
NER,NAGALAND,2007,346.160,0.000,314.960,31.200,156.490,189.670,0.548
NER,NAGALAND,2008,411.600,0.000,309.810,101.790,182.730,228.870,0.556
NER,NAGALAND,2009,462.720,0.000,371.630,91.090,192.970,269.750,0.583
NER,NAGALAND,2010,522.150,0.000,422.660,99.490,225.000,297.150,0.569
NER,NAGALAND,2011,558.060,0.000,477.780,80.280,288.860,269.200,0.482
NER,NAGALAND,2012,543.041,0.000,468.161,74.880,317.490,225.551,0.415
NER,NAGALAND,2013,547.560,0.000,469.280,78.280,327.640,219.920,0.402
NER,NAGALAND,2014,614.370,0.000,531.290,83.080,394.500,219.870,0.358
NER,NAGALAND,2015,720.280,0.000,637.500,82.780,529.340,190.940,0.265
NER,NAGALAND,2017,801.620,0.000,709.160,92.460,634.830,166.790,0.208
NER,NAGALAND,2018,826.240,0.000,735.510,90.730,663.720,162.520,0.200
NER,NAGALAND,2019,856.120,0.000,768.950,87.170,679.140,176.990,0.210
NER,NAGALAND,2016,783.720,0.000,695.270,88.450,549.470,234.250,0.300
WR,GUJARAT,2006,51451.720,1041.350,10351.580,40058.790,37092.150,14359.570,0.279
WR,GUJARAT,2007,54269.620,685.420,12846.240,40737.960,40772.650,13496.970,0.249
WR,GUJARAT,2008,59887.200,1680.730,13495.480,44710.990,44236.330,15650.870,0.261
WR,GUJARAT,2009,60539.920,632.950,16365.650,43541.320,45967.890,14572.030,0.241
WR,GUJARAT,2010,64451.190,376.940,13322.680,50751.570,49777.840,14673.350,0.228
WR,GUJARAT,2011,66878.700,421.330,8859.540,57597.830,54013.150,12865.550,0.192
WR,GUJARAT,2012,73740.097,499.480,8783.107,64457.510,57654.440,16085.657,0.218
WR,GUJARAT,2013,77804.090,612.680,15466.770,61724.640,63426.810,14377.280,0.185
WR,GUJARAT,2014,81669.490,688.620,17969.930,63010.940,66877.500,14791.990,0.181
WR,GUJARAT,2015,91543.050,800.220,20003.570,70739.260,73889.760,17653.290,0.193
WR,GUJARAT,2017,104570.280,1277.030,29897.500,73395.750,85555.790,19014.490,0.182
WR,GUJARAT,2018,110498.120,1277.030,34261.750,74959.340,90719.230,19778.880,0.180
WR,GUJARAT,2019,120420.560,667.060,42967.560,76785.940,95970.440,24450.130,0.200
WR,GUJARAT,2016,95214.390,1161.610,23149.350,70903.430,77027.770,18186.620,0.190
NR,JAMMU & KASHMIR,2006,7605.550,0.000,6807.090,798.460,4188.540,3417.010,0.449
NR,JAMMU & KASHMIR,2007,8393.610,0.000,7407.190,986.420,4030.850,4362.760,0.520
NR,JAMMU & KASHMIR,2008,9101.230,0.000,7870.080,1231.150,4030.850,5070.380,0.557
NR,JAMMU & KASHMIR,2009,9602.880,0.000,7390.660,2212.220,4030.850,5572.030,0.580
NR,JAMMU & KASHMIR,2010,10838.480,0.000,6872.230,3966.250,3538.710,7299.770,0.674
NR,JAMMU & KASHMIR,2011,11002.460,0.000,6749.040,4253.420,4041.080,6961.380,0.633
NR,JAMMU & KASHMIR,2012,11165.523,0.000,7220.649,3944.874,4267.000,6898.523,0.618
NR,JAMMU & KASHMIR,2013,11903.710,0.000,7858.580,4045.130,5163.020,6740.690,0.566
NR,JAMMU & KASHMIR,2014,12696.090,0.000,8771.240,3924.850,5754.360,6941.730,0.547
NR,JAMMU & KASHMIR,2015,13574.290,0.000,9311.330,4262.960,6372.000,7202.290,0.531
NR,JAMMU & KASHMIR,2017,14908.810,0.000,9896.060,5012.750,7902.450,7006.360,0.470
NR,JAMMU & KASHMIR,2018,15395.030,0.000,10044.220,5350.810,8394.870,7000.160,0.460
NR,JAMMU & KASHMIR,2019,16663.610,0.000,11415.510,5248.100,9633.200,7030.410,0.420
NR,JAMMU & KASHMIR,2016,14304.780,0.000,10039.720,4265.060,7143.920,7160.860,0.500
SR,KERALA,2006,13321.030,91.410,5644.050,7585.570,10190.100,3130.930,0.235
SR,KERALA,2007,13982.440,90.540,5990.130,7901.770,11310.220,2672.220,0.191
SR,KERALA,2008,14344.740,103.060,5067.280,9174.400,11790.530,2554.210,0.178
SR,KERALA,2009,14035.430,10.820,6532.870,7491.740,12188.890,1846.540,0.132
SR,KERALA,2010,17368.990,10.860,6947.160,10410.970,13967.150,3401.840,0.196
SR,KERALA,2011,17842.050,88.700,8039.310,9714.040,14578.150,3263.900,0.183
SR,KERALA,2012,19321.466,37.860,10084.736,9198.870,15993.120,3328.346,0.172
SR,KERALA,2013,20459.370,0.000,13225.850,7233.520,16832.560,3626.810,0.177
SR,KERALA,2014,21202.830,0.150,11529.280,9673.400,18024.600,3178.230,0.150
SR,KERALA,2015,22205.130,26.260,13686.980,8491.890,18785.920,3419.210,0.154
SR,KERALA,2017,24675.610,8.370,20020.590,4646.650,20218.400,4457.210,0.181
SR,KERALA,2018,25349.370,64.610,19296.180,5988.580,21354.140,3995.230,0.160
SR,KERALA,2019,25612.930,82.010,17508.450,8022.470,21413.720,4199.210,0.160
SR,KERALA,2016,22425.910,202.110,15001.800,7222.000,19828.920,2596.990,0.120
SR,PUDUCHERRY,2006,2290.890,0.000,2048.000,242.890,1868.030,422.860,0.185
SR,PUDUCHERRY,2007,2492.520,0.000,2237.880,254.640,2024.990,467.530,0.188
SR,PUDUCHERRY,2008,2201.710,0.000,1954.430,247.280,2071.970,129.740,0.059
SR,PUDUCHERRY,2009,2125.120,0.000,1882.850,242.270,1864.980,260.140,0.122
SR,PUDUCHERRY,2010,2178.970,0.000,1965.910,213.060,1920.960,258.010,0.118
SR,PUDUCHERRY,2011,2204.180,0.000,2020.890,183.290,1930.700,273.480,0.124
SR,PUDUCHERRY,2012,2720.392,0.000,2104.572,615.820,2321.500,398.892,0.147
SR,PUDUCHERRY,2013,2882.400,0.000,2285.850,596.550,2492.440,389.960,0.135
SR,PUDUCHERRY,2014,2972.660,0.060,2351.290,621.310,2531.920,440.740,0.148
SR,PUDUCHERRY,2015,2868.800,0.000,2393.340,475.460,2441.470,427.330,0.149
SR,PUDUCHERRY,2017,3028.290,0.000,2590.030,438.270,2556.190,472.100,0.156
SR,PUDUCHERRY,2018,3095.000,0.000,2701.660,393.340,2539.960,555.040,0.180
SR,PUDUCHERRY,2019,3059.570,0.000,2842.500,217.070,2653.820,405.750,0.130
SR,PUDUCHERRY,2016,2870.160,0.000,2457.010,413.150,2468.140,402.020,0.140
NR,RAJASTHAN,2006,29982.350,66.180,11998.220,17917.950,18013.810,11968.540,0.399
NR,RAJASTHAN,2007,31109.570,66.180,12863.210,18180.180,20033.940,11075.630,0.356
NR,RAJASTHAN,2008,36233.390,35.160,16101.140,20097.090,23657.790,12575.600,0.347
NR,RAJASTHAN,2009,38875.340,67.290,16960.760,21847.290,26641.570,12233.770,0.315
NR,RAJASTHAN,2010,43740.380,363.150,20068.180,23309.050,30622.780,13117.600,0.300
NR,RAJASTHAN,2011,47035.050,750.280,20138.370,26146.400,33926.550,13108.500,0.279
NR,RAJASTHAN,2012,52596.969,371.350,18909.738,33315.881,37903.810,14693.159,0.279
NR,RAJASTHAN,2013,56162.900,452.130,21048.430,34662.340,42160.220,14002.680,0.249
NR,RAJASTHAN,2014,59044.300,350.530,23873.440,34820.330,43151.000,15893.300,0.269
NR,RAJASTHAN,2015,68865.050,356.980,22158.640,46349.430,49920.120,18944.930,0.275
NR,RAJASTHAN,2017,72549.990,849.670,24515.570,47184.750,51027.260,21522.730,0.297
NR,RAJASTHAN,2018,75154.610,724.820,26395.980,48033.810,53617.780,21536.830,0.290
NR,RAJASTHAN,2019,79985.790,523.280,23982.960,55479.540,60151.430,19834.350,0.250
NR,RAJASTHAN,2016,71059.820,337.750,25554.940,45167.130,50358.780,20701.040,0.290
SR,TAMILNADU,2006,54729.670,1611.340,17285.510,35832.820,44515.780,10213.890,0.187
SR,TAMILNADU,2007,62064.030,1670.280,18335.990,42057.760,49934.000,12130.030,0.195
SR,TAMILNADU,2008,65140.100,710.550,19637.030,44792.520,52952.620,12187.480,0.187
