2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Total!!Estimate!!SCHOOL ENROLLMENT!!Not enrolled in school,Total!!Estimate!!SCHOOL ENROLLMENT!!Not enrolled in school,Total!!Estimate!!SCHOOL ENROLLMENT!!Not enrolled in school,Total!!Estimate!!SCHOOL ENROLLMENT!!Not enrolled in school,Total!!Estimate!!SCHOOL ENROLLMENT!!Not enrolled in school,Total!!Estimate!!SCHOOL ENROLLMENT!!Not enrolled in school,Total!!Estimate!!SCHOOL ENROLLMENT!!Not enrolled in school,Estimate!!Total!!Population 15 to 19 years!!SCHOOL ENROLLMENT!!Not enrolled in school,Estimate!!Total!!Population 15 to 19 years!!SCHOOL ENROLLMENT!!Not enrolled in school,Estimate!!Total!!Population 15 to 19 years!!SCHOOL ENROLLMENT!!Not enrolled in school
Total!!Margin of Error!!SCHOOL ENROLLMENT!!Not enrolled in school,Total!!Margin of Error!!SCHOOL ENROLLMENT!!Not enrolled in school,Total!!Margin of Error!!SCHOOL ENROLLMENT!!Not enrolled in school,Total!!Margin of Error!!SCHOOL ENROLLMENT!!Not enrolled in school,Total!!Margin of Error!!SCHOOL ENROLLMENT!!Not enrolled in school,Total!!Margin of Error!!SCHOOL ENROLLMENT!!Not enrolled in school,Total!!Margin of Error!!SCHOOL ENROLLMENT!!Not enrolled in school,Margin of Error!!Total MOE!!Population 15 to 19 years!!SCHOOL ENROLLMENT!!Not enrolled in school,Margin of Error!!Total MOE!!Population 15 to 19 years!!SCHOOL ENROLLMENT!!Not enrolled in school,Margin of Error!!Total!!Population 15 to 19 years!!SCHOOL ENROLLMENT!!Not enrolled in school
Total!!Estimate!!MARITAL STATUS AND FERTILITY!!Male,Total!!Estimate!!MARITAL STATUS AND FERTILITY!!Male,Total!!Estimate!!MARITAL STATUS AND FERTILITY!!Male,Total!!Estimate!!MARITAL STATUS AND FERTILITY!!Male,Total!!Estimate!!MARITAL STATUS AND FERTILITY!!Male,Total!!Estimate!!MARITAL STATUS AND FERTILITY!!Male,Total!!Estimate!!MARITAL STATUS AND FERTILITY!!Male,Estimate!!Total!!Population 15 to 19 years!!MARITAL STATUS AND FERTILITY!!Male,Estimate!!Total!!Population 15 to 19 years!!MARITAL STATUS AND FERTILITY!!Male,Estimate!!Total!!Population 15 to 19 years!!MARITAL STATUS AND FERTILITY!!Male
Total!!Margin of Error!!MARITAL STATUS AND FERTILITY!!Male,Total!!Margin of Error!!MARITAL STATUS AND FERTILITY!!Male,Total!!Margin of Error!!MARITAL STATUS AND FERTILITY!!Male,Total!!Margin of Error!!MARITAL STATUS AND FERTILITY!!Male,Total!!Margin of Error!!MARITAL STATUS AND FERTILITY!!Male,Total!!Margin of Error!!MARITAL STATUS AND FERTILITY!!Male,Total!!Margin of Error!!MARITAL STATUS AND FERTILITY!!Male,Margin of Error!!Total MOE!!Population 15 to 19 years!!MARITAL STATUS AND FERTILITY!!Male,Margin of Error!!Total MOE!!Population 15 to 19 years!!MARITAL STATUS AND FERTILITY!!Male,Margin of Error!!Total!!Population 15 to 19 years!!MARITAL STATUS AND FERTILITY!!Male
Total!!Estimate!!MARITAL STATUS AND FERTILITY!!Male!!Ever married,Total!!Estimate!!MARITAL STATUS AND FERTILITY!!Male!!Ever married,Total!!Estimate!!MARITAL STATUS AND FERTILITY!!Male!!Ever married,Total!!Estimate!!MARITAL STATUS AND FERTILITY!!Male!!Ever married,Total!!Estimate!!MARITAL STATUS AND FERTILITY!!Male!!Ever married,Total!!Estimate!!MARITAL STATUS AND FERTILITY!!Male!!Ever married,Total!!Estimate!!MARITAL STATUS AND FERTILITY!!Male!!Ever married,Estimate!!Total!!Population 15 to 19 years!!MARITAL STATUS AND FERTILITY!!Male!!Ever married,Estimate!!Total!!Population 15 to 19 years!!MARITAL STATUS AND FERTILITY!!Male!!Ever married,Estimate!!Total!!Population 15 to 19 years!!MARITAL STATUS AND FERTILITY!!Male!!Ever married
Total!!Margin of Error!!MARITAL STATUS AND FERTILITY!!Male!!Ever married,Total!!Margin of Error!!MARITAL STATUS AND FERTILITY!!Male!!Ever married,Total!!Margin of Error!!MARITAL STATUS AND FERTILITY!!Male!!Ever married,Total!!Margin of Error!!MARITAL STATUS AND FERTILITY!!Male!!Ever married,Total!!Margin of Error!!MARITAL STATUS AND FERTILITY!!Male!!Ever married,Total!!Margin of Error!!MARITAL STATUS AND FERTILITY!!Male!!Ever married,Total!!Margin of Error!!MARITAL STATUS AND FERTILITY!!Male!!Ever married,Margin of Error!!Total MOE!!Population 15 to 19 years!!MARITAL STATUS AND FERTILITY!!Male!!Ever married,Margin of Error!!Total MOE!!Population 15 to 19 years!!MARITAL STATUS AND FERTILITY!!Male!!Ever married,Margin of Error!!Total!!Population 15 to 19 years!!MARITAL STATUS AND FERTILITY!!Male!!Ever married
Total!!Estimate!!MARITAL STATUS AND FERTILITY!!Female,Total!!Estimate!!MARITAL STATUS AND FERTILITY!!Female,Total!!Estimate!!MARITAL STATUS AND FERTILITY!!Female,Total!!Estimate!!MARITAL STATUS AND FERTILITY!!Female,Total!!Estimate!!MARITAL STATUS AND FERTILITY!!Female,Total!!Estimate!!MARITAL STATUS AND FERTILITY!!Female,Total!!Estimate!!MARITAL STATUS AND FERTILITY!!Female,Estimate!!Total!!Population 15 to 19 years!!MARITAL STATUS AND FERTILITY!!Female,Estimate!!Total!!Population 15 to 19 years!!MARITAL STATUS AND FERTILITY!!Female,Estimate!!Total!!Population 15 to 19 years!!MARITAL STATUS AND FERTILITY!!Female
Total!!Margin of Error!!MARITAL STATUS AND FERTILITY!!Female,Total!!Margin of Error!!MARITAL STATUS AND FERTILITY!!Female,Total!!Margin of Error!!MARITAL STATUS AND FERTILITY!!Female,Total!!Margin of Error!!MARITAL STATUS AND FERTILITY!!Female,Total!!Margin of Error!!MARITAL STATUS AND FERTILITY!!Female,Total!!Margin of Error!!MARITAL STATUS AND FERTILITY!!Female,Total!!Margin of Error!!MARITAL STATUS AND FERTILITY!!Female,Margin of Error!!Total MOE!!Population 15 to 19 years!!MARITAL STATUS AND FERTILITY!!Female,Margin of Error!!Total MOE!!Population 15 to 19 years!!MARITAL STATUS AND FERTILITY!!Female,Margin of Error!!Total!!Population 15 to 19 years!!MARITAL STATUS AND FERTILITY!!Female
Total!!Estimate!!MARITAL STATUS AND FERTILITY!!Female!!Ever married,Total!!Estimate!!MARITAL STATUS AND FERTILITY!!Female!!Ever married,Total!!Estimate!!MARITAL STATUS AND FERTILITY!!Female!!Ever married,Total!!Estimate!!MARITAL STATUS AND FERTILITY!!Female!!Ever married,Total!!Estimate!!MARITAL STATUS AND FERTILITY!!Female!!Ever married,Total!!Estimate!!MARITAL STATUS AND FERTILITY!!Female!!Ever married,Total!!Estimate!!MARITAL STATUS AND FERTILITY!!Female!!Ever married,Estimate!!Total!!Population 15 to 19 years!!MARITAL STATUS AND FERTILITY!!Female!!Ever married,Estimate!!Total!!Population 15 to 19 years!!MARITAL STATUS AND FERTILITY!!Female!!Ever married,Estimate!!Total!!Population 15 to 19 years!!MARITAL STATUS AND FERTILITY!!Female!!Ever married
Total!!Margin of Error!!MARITAL STATUS AND FERTILITY!!Female!!Ever married,Total!!Margin of Error!!MARITAL STATUS AND FERTILITY!!Female!!Ever married,Total!!Margin of Error!!MARITAL STATUS AND FERTILITY!!Female!!Ever married,Total!!Margin of Error!!MARITAL STATUS AND FERTILITY!!Female!!Ever married,Total!!Margin of Error!!MARITAL STATUS AND FERTILITY!!Female!!Ever married,Total!!Margin of Error!!MARITAL STATUS AND FERTILITY!!Female!!Ever married,Total!!Margin of Error!!MARITAL STATUS AND FERTILITY!!Female!!Ever married,Margin of Error!!Total MOE!!Population 15 to 19 years!!MARITAL STATUS AND FERTILITY!!Female!!Ever married,Margin of Error!!Total MOE!!Population 15 to 19 years!!MARITAL STATUS AND FERTILITY!!Female!!Ever married,Margin of Error!!Total!!Population 15 to 19 years!!MARITAL STATUS AND FERTILITY!!Female!!Ever married
Total!!Estimate!!MARITAL STATUS AND FERTILITY!!Female!!Female with a birth in the past 12 months,Total!!Estimate!!MARITAL STATUS AND FERTILITY!!Female!!Female with a birth in the past 12 months,Total!!Estimate!!MARITAL STATUS AND FERTILITY!!Female!!Female with a birth in the past 12 months,Total!!Estimate!!MARITAL STATUS AND FERTILITY!!Female!!Female with a birth in the past 12 months,Total!!Estimate!!MARITAL STATUS AND FERTILITY!!Female!!Female with a birth in the past 12 months,Total!!Estimate!!MARITAL STATUS AND FERTILITY!!Female!!Female with a birth in the past 12 months,Total!!Estimate!!MARITAL STATUS AND FERTILITY!!Female!!Female with a birth in the past 12 months,Estimate!!Total!!Population 15 to 19 years!!MARITAL STATUS AND FERTILITY!!Female!!Female with a birth in the past 12 months,Estimate!!Total!!Population 15 to 19 years!!MARITAL STATUS AND FERTILITY!!Female!!Female with a birth in the past 12 months,Estimate!!Total!!Population 15 to 19 years!!MARITAL STATUS AND FERTILITY!!Female!!Female with a birth in the past 12 months
Total!!Margin of Error!!MARITAL STATUS AND FERTILITY!!Female!!Female with a birth in the past 12 months,Total!!Margin of Error!!MARITAL STATUS AND FERTILITY!!Female!!Female with a birth in the past 12 months,Total!!Margin of Error!!MARITAL STATUS AND FERTILITY!!Female!!Female with a birth in the past 12 months,Total!!Margin of Error!!MARITAL STATUS AND FERTILITY!!Female!!Female with a birth in the past 12 months,Total!!Margin of Error!!MARITAL STATUS AND FERTILITY!!Female!!Female with a birth in the past 12 months,Total!!Margin of Error!!MARITAL STATUS AND FERTILITY!!Female!!Female with a birth in the past 12 months,Total!!Margin of Error!!MARITAL STATUS AND FERTILITY!!Female!!Female with a birth in the past 12 months,Margin of Error!!Total MOE!!Population 15 to 19 years!!MARITAL STATUS AND FERTILITY!!Female!!Female with a birth in the past 12 months,Margin of Error!!Total MOE!!Population 15 to 19 years!!MARITAL STATUS AND FERTILITY!!Female!!Female with a birth in the past 12 months,Margin of Error!!Total!!Population 15 to 19 years!!MARITAL STATUS AND FERTILITY!!Female!!Female with a birth in the past 12 months
Total!!Estimate!!HOUSEHOLD TYPE!!Population 15 to 19 years in households,Total!!Estimate!!HOUSEHOLD TYPE!!Population 15 to 19 years in households,Total!!Estimate!!HOUSEHOLD TYPE!!Population 15 to 19 years in households,Total!!Estimate!!HOUSEHOLD TYPE!!Population 15 to 19 years in households,Total!!Estimate!!HOUSEHOLD TYPE!!Population 15 to 19 years in households,Total!!Estimate!!HOUSEHOLD TYPE!!Population 15 to 19 years in households,Total!!Estimate!!HOUSEHOLD TYPE!!Population 15 to 19 years in households,Estimate!!Total!!HOUSEHOLD TYPE!!Population 15 to 19 years in households,Estimate!!Total!!HOUSEHOLD TYPE!!Population 15 to 19 years in households,Estimate!!Total!!HOUSEHOLD TYPE!!Population 15 to 19 years in households
Total!!Margin of Error!!HOUSEHOLD TYPE!!Population 15 to 19 years in households,Total!!Margin of Error!!HOUSEHOLD TYPE!!Population 15 to 19 years in households,Total!!Margin of Error!!HOUSEHOLD TYPE!!Population 15 to 19 years in households,Total!!Margin of Error!!HOUSEHOLD TYPE!!Population 15 to 19 years in households,Total!!Margin of Error!!HOUSEHOLD TYPE!!Population 15 to 19 years in households,Total!!Margin of Error!!HOUSEHOLD TYPE!!Population 15 to 19 years in households,Total!!Margin of Error!!HOUSEHOLD TYPE!!Population 15 to 19 years in households,Margin of Error!!Total MOE!!HOUSEHOLD TYPE!!Population 15 to 19 years in households,Margin of Error!!Total MOE!!HOUSEHOLD TYPE!!Population 15 to 19 years in households,Margin of Error!!Total!!HOUSEHOLD TYPE!!Population 15 to 19 years in households
Total!!Estimate!!HOUSEHOLD TYPE!!In married-couple family households,Total!!Estimate!!HOUSEHOLD TYPE!!In married-couple family households,Total!!Estimate!!HOUSEHOLD TYPE!!In married-couple family households,Total!!Estimate!!HOUSEHOLD TYPE!!Population 15 to 19 years in households!!In married-couple family households,Total!!Estimate!!HOUSEHOLD TYPE!!Population 15 to 19 years in households!!In married-couple family households,Total!!Estimate!!HOUSEHOLD TYPE!!Population 15 to 19 years in households!!In married-couple family households,Total!!Estimate!!HOUSEHOLD TYPE!!Population 15 to 19 years in households!!In married-couple family households,Estimate!!Total!!HOUSEHOLD TYPE!!Population 15 to 19 years in households!!In married-couple family households,Estimate!!Total!!HOUSEHOLD TYPE!!Population 15 to 19 years in households!!In married-couple family households,Estimate!!Total!!HOUSEHOLD TYPE!!Population 15 to 19 years in households!!In married-couple family households
Total!!Margin of Error!!HOUSEHOLD TYPE!!In married-couple family households,Total!!Margin of Error!!HOUSEHOLD TYPE!!In married-couple family households,Total!!Margin of Error!!HOUSEHOLD TYPE!!In married-couple family households,Total!!Margin of Error!!HOUSEHOLD TYPE!!Population 15 to 19 years in households!!In married-couple family households,Total!!Margin of Error!!HOUSEHOLD TYPE!!Population 15 to 19 years in households!!In married-couple family households,Total!!Margin of Error!!HOUSEHOLD TYPE!!Population 15 to 19 years in households!!In married-couple family households,Total!!Margin of Error!!HOUSEHOLD TYPE!!Population 15 to 19 years in households!!In married-couple family households,Margin of Error!!Total MOE!!HOUSEHOLD TYPE!!Population 15 to 19 years in households!!In married-couple family households,Margin of Error!!Total MOE!!HOUSEHOLD TYPE!!Population 15 to 19 years in households!!In married-couple family households,Margin of Error!!Total!!HOUSEHOLD TYPE!!Population 15 to 19 years in households!!In married-couple family households
"Total!!Estimate!!HOUSEHOLD TYPE!!In male householder, no wife present, family households","Total!!Estimate!!HOUSEHOLD TYPE!!In male householder, no wife present, family households","Total!!Estimate!!HOUSEHOLD TYPE!!In male householder, no wife present, family households","Total!!Estimate!!HOUSEHOLD TYPE!!Population 15 to 19 years in households!!In male householder, no wife present, family households","Total!!Estimate!!HOUSEHOLD TYPE!!Population 15 to 19 years in households!!In male householder, no wife present, family households","Total!!Estimate!!HOUSEHOLD TYPE!!Population 15 to 19 years in households!!In male householder, no wife present, family households","Total!!Estimate!!HOUSEHOLD TYPE!!Population 15 to 19 years in households!!In male householder, no wife present, family households","Estimate!!Total!!HOUSEHOLD TYPE!!Population 15 to 19 years in households!!In male householder, no wife present, family households","Estimate!!Total!!HOUSEHOLD TYPE!!Population 15 to 19 years in households!!In male householder, no wife present, family households","Estimate!!Total!!HOUSEHOLD TYPE!!Population 15 to 19 years in households!!In male householder, no spouse present, family households"
"Total!!Margin of Error!!HOUSEHOLD TYPE!!In male householder, no wife present, family households","Total!!Margin of Error!!HOUSEHOLD TYPE!!In male householder, no wife present, family households","Total!!Margin of Error!!HOUSEHOLD TYPE!!In male householder, no wife present, family households","Total!!Margin of Error!!HOUSEHOLD TYPE!!Population 15 to 19 years in households!!In male householder, no wife present, family households","Total!!Margin of Error!!HOUSEHOLD TYPE!!Population 15 to 19 years in households!!In male householder, no wife present, family households","Total!!Margin of Error!!HOUSEHOLD TYPE!!Population 15 to 19 years in households!!In male householder, no wife present, family households","Total!!Margin of Error!!HOUSEHOLD TYPE!!Population 15 to 19 years in households!!In male householder, no wife present, family households","Margin of Error!!Total MOE!!HOUSEHOLD TYPE!!Population 15 to 19 years in households!!In male householder, no wife present, family households","Margin of Error!!Total MOE!!HOUSEHOLD TYPE!!Population 15 to 19 years in households!!In male householder, no wife present, family households","Margin of Error!!Total!!HOUSEHOLD TYPE!!Population 15 to 19 years in households!!In male householder, no spouse present, family households"
"Total!!Estimate!!HOUSEHOLD TYPE!!In female householder, no husband present, family households","Total!!Estimate!!HOUSEHOLD TYPE!!In female householder, no husband present, family households","Total!!Estimate!!HOUSEHOLD TYPE!!In female householder, no husband present, family households","Total!!Estimate!!HOUSEHOLD TYPE!!Population 15 to 19 years in households!!In female householder, no husband present, family households","Total!!Estimate!!HOUSEHOLD TYPE!!Population 15 to 19 years in households!!In female householder, no husband present, family households","Total!!Estimate!!HOUSEHOLD TYPE!!Population 15 to 19 years in households!!In female householder, no husband present, family households","Total!!Estimate!!HOUSEHOLD TYPE!!Population 15 to 19 years in households!!In female householder, no husband present, family households","Estimate!!Total!!HOUSEHOLD TYPE!!Population 15 to 19 years in households!!In female householder, no husband present, family households","Estimate!!Total!!HOUSEHOLD TYPE!!Population 15 to 19 years in households!!In female householder, no husband present, family households","Estimate!!Total!!HOUSEHOLD TYPE!!Population 15 to 19 years in households!!In female householder, no spouse present, family households"
"Total!!Margin of Error!!HOUSEHOLD TYPE!!In female householder, no husband present, family households","Total!!Margin of Error!!HOUSEHOLD TYPE!!In female householder, no husband present, family households","Total!!Margin of Error!!HOUSEHOLD TYPE!!In female householder, no husband present, family households","Total!!Margin of Error!!HOUSEHOLD TYPE!!Population 15 to 19 years in households!!In female householder, no husband present, family households","Total!!Margin of Error!!HOUSEHOLD TYPE!!Population 15 to 19 years in households!!In female householder, no husband present, family households","Total!!Margin of Error!!HOUSEHOLD TYPE!!Population 15 to 19 years in households!!In female householder, no husband present, family households","Total!!Margin of Error!!HOUSEHOLD TYPE!!Population 15 to 19 years in households!!In female householder, no husband present, family households","Margin of Error!!Total MOE!!HOUSEHOLD TYPE!!Population 15 to 19 years in households!!In female householder, no husband present, family households","Margin of Error!!Total MOE!!HOUSEHOLD TYPE!!Population 15 to 19 years in households!!In female householder, no husband present, family households","Margin of Error!!Total!!HOUSEHOLD TYPE!!Population 15 to 19 years in households!!In female householder, no spouse present, family households"
Total!!Estimate!!HOUSEHOLD TYPE!!In nonfamily households,Total!!Estimate!!HOUSEHOLD TYPE!!In nonfamily households,Total!!Estimate!!HOUSEHOLD TYPE!!In nonfamily households,Total!!Estimate!!HOUSEHOLD TYPE!!Population 15 to 19 years in households!!In nonfamily households,Total!!Estimate!!HOUSEHOLD TYPE!!Population 15 to 19 years in households!!In nonfamily households,Total!!Estimate!!HOUSEHOLD TYPE!!Population 15 to 19 years in households!!In nonfamily households,Total!!Estimate!!HOUSEHOLD TYPE!!Population 15 to 19 years in households!!In nonfamily households,Estimate!!Total!!HOUSEHOLD TYPE!!Population 15 to 19 years in households!!In nonfamily households,Estimate!!Total!!HOUSEHOLD TYPE!!Population 15 to 19 years in households!!In nonfamily households,Estimate!!Total!!HOUSEHOLD TYPE!!Population 15 to 19 years in households!!In nonfamily households
Total!!Margin of Error!!HOUSEHOLD TYPE!!In nonfamily households,Total!!Margin of Error!!HOUSEHOLD TYPE!!In nonfamily households,Total!!Margin of Error!!HOUSEHOLD TYPE!!In nonfamily households,Total!!Margin of Error!!HOUSEHOLD TYPE!!Population 15 to 19 years in households!!In nonfamily households,Total!!Margin of Error!!HOUSEHOLD TYPE!!Population 15 to 19 years in households!!In nonfamily households,Total!!Margin of Error!!HOUSEHOLD TYPE!!Population 15 to 19 years in households!!In nonfamily households,Total!!Margin of Error!!HOUSEHOLD TYPE!!Population 15 to 19 years in households!!In nonfamily households,Margin of Error!!Total MOE!!HOUSEHOLD TYPE!!Population 15 to 19 years in households!!In nonfamily households,Margin of Error!!Total MOE!!HOUSEHOLD TYPE!!Population 15 to 19 years in households!!In nonfamily households,Margin of Error!!Total!!HOUSEHOLD TYPE!!Population 15 to 19 years in households!!In nonfamily households
Total!!Estimate!!Population 16 to 19 years,Total!!Estimate!!Population 16 to 19 years,Total!!Estimate!!Population 16 to 19 years,Total!!Estimate!!Population 16 to 19 years,Total!!Estimate!!Population 16 to 19 years,Total!!Estimate!!Population 16 to 19 years,Total!!Estimate!!Population 16 to 19 years,Estimate!!Total!!Population 16 to 19 years,Estimate!!Total!!Population 16 to 19 years,Estimate!!Total!!Population 16 to 19 years
Total!!Margin of Error!!Population 16 to 19 years,Total!!Margin of Error!!Population 16 to 19 years,Total!!Margin of Error!!Population 16 to 19 years,Total!!Margin of Error!!Population 16 to 19 years,Total!!Margin of Error!!Population 16 to 19 years,Total!!Margin of Error!!Population 16 to 19 years,Total!!Margin of Error!!Population 16 to 19 years,Margin of Error!!Total MOE!!Population 16 to 19 years,Margin of Error!!Total MOE!!Population 16 to 19 years,Margin of Error!!Total!!Population 16 to 19 years
Total!!Estimate!!IDLENESS!!Not enrolled in school and not in the labor force,Total!!Estimate!!IDLENESS!!Not enrolled in school and not in the labor force,Total!!Estimate!!IDLENESS!!Not enrolled in school and not in the labor force,Total!!Estimate!!Population 16 to 19 years!!IDLENESS!!Not enrolled in school and not in the labor force,Total!!Estimate!!Population 16 to 19 years!!IDLENESS!!Not enrolled in school and not in the labor force,Total!!Estimate!!Population 16 to 19 years!!IDLENESS!!Not enrolled in school and not in the labor force,Total!!Estimate!!Population 16 to 19 years!!IDLENESS!!Not enrolled in school and not in the labor force,Estimate!!Total!!Population 16 to 19 years!!IDLENESS!!Not enrolled in school and not in the labor force,Estimate!!Total!!Population 16 to 19 years!!IDLENESS!!Not enrolled in school and not in the labor force,Estimate!!Total!!Population 16 to 19 years!!IDLENESS!!Not enrolled in school and not in the labor force
Total!!Margin of Error!!IDLENESS!!Not enrolled in school and not in the labor force,Total!!Margin of Error!!IDLENESS!!Not enrolled in school and not in the labor force,Total!!Margin of Error!!IDLENESS!!Not enrolled in school and not in the labor force,Total!!Margin of Error!!Population 16 to 19 years!!IDLENESS!!Not enrolled in school and not in the labor force,Total!!Margin of Error!!Population 16 to 19 years!!IDLENESS!!Not enrolled in school and not in the labor force,Total!!Margin of Error!!Population 16 to 19 years!!IDLENESS!!Not enrolled in school and not in the labor force,Total!!Margin of Error!!Population 16 to 19 years!!IDLENESS!!Not enrolled in school and not in the labor force,Margin of Error!!Total MOE!!Population 16 to 19 years!!IDLENESS!!Not enrolled in school and not in the labor force,Margin of Error!!Total MOE!!Population 16 to 19 years!!IDLENESS!!Not enrolled in school and not in the labor force,Margin of Error!!Total!!Population 16 to 19 years!!IDLENESS!!Not enrolled in school and not in the labor force
