Disease,Jan.,Feb.,Mar.,Apr.,May,June,July,Aug.,Sept.,Oct.,Nov.,Dec.,Unknown,Total
Chlamydia trachomatis  infection,118413,124918,120969,154221,124652,115560,147782,129334,124265,155523,117487,165230,—,1598354
Cholera,3,1,1,1,1,—,3,2,1,2,—,—,—,15
Coccidioidomycosis  †,832,741,741,973,667,688,995,1002,1038,1646,1222,1284,—,11829
Cryptosporidiosis,,,,,,,,,,,,,,
Total,486,551,493,702,648,745,1279,2541,2423,1771,846,968,—,13453
Confirmed,300,302,286,433,386,449,846,1668,1619,1182,546,620,—,8637
Probable,186,249,207,269,262,296,433,873,804,589,300,348,—,4816
Cyclosporiasis,1,4,1,4,18,50,213,136,53,21,14,22,—,537
Dengue virus infections  §,,,,,,,,,,,,,,
Dengue,155,63,62,53,53,64,127,118,87,54,35,32,—,903
Dengue-like illness,5,3,1,4,3,4,9,3,1,1,3,3,—,40
Severe dengue,1,—,—,1,2,2,1,1,1,1,—,—,—,10
Diphtheria,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Ehrlichiosis and Anaplasmosis,,,,,,,,,,,,,,
Anaplasma phagocytophilum  infection,25,14,44,159,348,926,1013,468,205,300,414,235,—,4151
Ehrlichia chaffeensis  infection,10,7,10,51,132,240,347,154,137,85,31,173,—,1377
Ehrlichia ewingii  infection,—,—,—,1,2,5,5,5,1,—,—,3,—,22
Undetermined ehrlichiosis/anaplasmosis,1,1,3,12,20,25,60,30,11,18,11,8,—,200
Giardiasis,980,1034,1032,1337,1089,1097,1532,1619,1607,1712,1055,2216,—,16310
Gonorrhea,33173,32955,31737,41079,35513,34120,44683,39106,38406,48002,36763,52977,—,468514
"Haemophilus influenzae,  invasive disease",,,,,,,,,,,,,,
"All ages, all serotypes",481,383,390,582,360,351,375,266,289,390,360,668,—,4895
Age <5 years,,,,,,,,,,,,,,
Serotype b,4,—,3,2,—,1,3,3,3,3,2,6,—,30
Non-b serotype,10,11,18,14,15,10,12,8,13,17,9,22,—,159
Nontypeable,23,25,19,14,10,12,12,10,16,8,13,34,—,196
Unknown serotype,17,15,12,14,15,14,11,10,6,19,22,32,—,187
Hansen's disease,10,8,4,7,5,5,3,14,6,11,3,2,—,78
"Hantavirus infection, non-hantavirus pulmonary syndrome",—,—,1,1,1,—,—,—,—,—,1,2,—,6
Hantavirus pulmonary syndrome,3,1,1,4,3,1,6,2,1,1,4,4,—,31
Hemolytic uremic syndrome post-diarrheal,14,8,14,18,23,29,41,41,22,43,26,28,—,307
Hepatitis  ¶,,,,,,,,,,,,,,
"A, acute",110,123,98,141,102,106,261,281,284,204,106,191,—,2007
"B, acute",212,244,213,319,259,230,309,254,248,281,225,424,—,3218
"B, perinatal infection",1,2,2,5,1,3,3,3,1,2,4,5,—,32
"C, acute",256,248,220,321,247,219,283,211,209,239,165,324,—,2942
Human immunodeficiency virus diagnoses,3303,3307,3468,3242,3469,3510,3244,3460,2911,2609,1847,403,2,34775
Influenza-associated pediatric mortality,2,9,15,32,10,3,7,—,—,2,—,2,—,82
Invasive pneumococcal disease,,,,,,,,,,,,,,
All ages,1669,1808,2014,2270,1344,981,886,593,766,1360,1320,2615,—,17626
Confirmed,1667,1806,2013,2269,1342,980,886,590,765,1356,1319,2610,—,17603
Probable,2,2,1,1,2,1,—,3,1,4,1,5,—,23
Age <5 years,83,126,127,124,76,88,62,40,63,94,106,153,—,1142
Confirmed,83,126,127,124,74,87,62,40,63,92,106,153,—,1137
Probable,—,—,—,—,2,1,—,—,—,2,—,—,—,5
Legionellosis,275,230,256,298,305,439,633,688,736,876,591,814,—,6141
Leptospirosis,4,—,6,3,2,3,8,10,9,11,5,17,—,78
Listeriosis,32,39,31,53,46,73,89,96,99,81,55,92,—,786
Lyme disease,,,,,,,,,,,,,,
Total,881,837,1056,1607,2017,5425,9686,4860,3108,2954,1942,2056,—,36429
Confirmed,592,568,698,1056,1341,4076,7393,3699,2179,2047,1276,1278,—,26203
Probable,289,269,358,551,676,1349,2293,1161,929,907,666,778,—,10226
Malaria,87,85,75,107,144,197,231,259,226,211,117,216,—,1955
Measles,,,,,,,,,,,,,,
Total,2,—,4,7,20,21,7,1,2,2,—,19,—,85
Indigenous,—,—,2,7,16,20,4,—,—,1,—,18,—,68
Imported,2,—,2,—,4,1,3,1,2,1,—,1,—,17
Meningococcal disease,,,,,,,,,,,,,,
All serogroups,29,29,32,50,34,28,33,20,19,27,22,52,—,375
Serogroups ACWY,9,8,9,16,14,8,6,9,8,11,10,18,—,126
Serogroup B,7,8,4,13,7,4,4,3,6,7,9,14,—,86
Other serogroups,2,1,5,2,1,2,1,3,1,1,—,2,—,21
Unknown serogroup,11,12,14,19,12,14,22,5,4,8,3,18,—,142
Mumps,202,266,314,457,347,200,129,118,405,859,1097,1975,—,6369
Novel Influenza A virus infections,—,—,—,1,1,1,—,18,—,—,1,1,—,23
Pertussis,1272,1232,1084,1380,1279,1312,1802,1224,1087,1378,1820,3102,—,17972
Plague,—,—,—,—,—,1,1,1,1,—,—,—,—,4
"Poliomyelitis, paralytic",—,—,—,—,—,—,—,—,—,—,—,—,—,—
"Poliovirus infection, nonparalytic",—,—,—,—,—,—,—,—,—,—,—,—,—,—
Psittacosis,—,1,2,—,—,2,1,1,3,1,1,—,—,12
Q fever,,,,,,,,,,,,,,
Total,3,7,10,15,26,12,27,10,12,16,7,19,—,164
Acute,3,7,6,13,22,10,25,7,8,13,5,13,—,132
Chronic,—,—,4,2,4,2,2,3,4,3,2,6,—,32
Rabies,,,,,,,,,,,,,,
Animal,233,315,414,400,455,504,404,636,485,374,217,167,5,4609
Human,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Rubella,1,—,—,—,—,—,—,—,—,—,—,—,—,1
"Rubella, congenital syndrome",—,—,—,—,—,—,—,—,—,—,2,—,—,2
Salmonellosis,2415,2077,2221,3786,3513,4469,7317,6544,6268,6495,3687,5058,—,53850
Severe acute respiratory syndrome-associated coronavirus disease,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Shiga toxin-producing  Escherichia coli  **,329,271,395,573,521,770,1233,948,782,842,571,934,—,8169
Shigellosis,1699,1640,1663,2027,1801,1825,2106,1650,1466,1949,1349,1922,—,21097
Smallpox,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Spotted fever rickettsiosis,,,,,,,,,,,,,,
Total,30,47,82,224,408,610,864,641,499,388,174,302,—,4269
Confirmed,4,2,9,5,15,19,28,27,14,12,4,15,—,154
Probable,26,45,73,219,393,591,836,614,485,376,170,287,—,4115
Streptococcal toxic shock syndrome,27,37,24,47,18,17,16,13,12,14,20,38,—,283
Syphilis,,,,,,,,,,,,,,
"Total, all stages  ††",6490,6907,6831,8612,6861,6453,8293,6856,6642,8662,6648,8787,—,88042
Congenital,52,55,45,44,48,51,50,59,52,59,61,52,—,628
Primary and secondary,2027,2124,2119,2710,2163,2045,2660,2247,2128,2726,2115,2750,—,27814
Tetanus,1,1,3,5,1,4,3,5,3,3,1,4,—,34
Toxic shock syndrome (other than Streptococcal),2,5,2,—,2,4,7,2,4,2,6,4,—,40
Trichinellosis,—,—,1,2,1,2,2,3,3,4,—,8,—,26
Tuberculosis,478,642,698,777,716,837,691,853,713,803,740,1324,—,9272
Tularemia,1,5,5,11,29,34,40,30,19,20,14,22,—,230
Typhoid fever,32,22,20,32,28,32,36,48,43,22,24,37,—,376
Vancomycin-intermediate  Staphylococcus aureus,10,13,9,12,8,7,12,11,8,7,3,8,—,108
Vancomycin-resistant  Staphylococcus aureus,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Varicella morbidity,781,738,733,1026,871,608,579,407,683,827,721,979,—,8953
Varicella mortality,—,—,—,—,—,—,1,1,1,—,—,—,—,3
Vibriosis,,,,,,,,,,,,,,
Total,48,29,29,50,67,108,227,229,165,137,62,122,—,1273
Confirmed,48,25,27,50,66,105,223,225,161,132,61,118,—,1241
Probable,—,4,2,—,1,3,4,4,4,5,1,4,—,32
Viral hemorrhagic fevers,,,,,,,,,,,,,,
Crimean-Congo hemorrhagic fever virus,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Ebola virus,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Guanarito virus,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Junin virus,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Lassa virus,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Lujo virus,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Machupo virus,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Marburg virus,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Sabia virus,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Yellow fever,—,—,—,—,—,—,—,—,—,—,—,1,—,1
Zika virus,,,,,,,,,,,,,,
"Zika virus disease, congenital  §§",—,—,1,—,2,1,6,1,4,7,3,5,—,30
"Zika virus disease, non-congenital",139,180,137,190,287,574,1147,1001,520,378,341,238,—,5132
"Zika virus infection, congenital  §§",—,—,—,—,1,—,5,5,4,12,7,11,—,45
"Zika virus infection, non-congenital",5,25,38,39,47,74,98,81,94,141,106,163,—,911
