Disease,<1 yr,<1 yr,1-4 yrs,1-4 yrs,5-14 yrs,5-14 yrs,15-24 yrs,15-24 yrs,25-39 yrs,25-39 yrs,40-64 yrs,40-64 yrs,≥65 yrs,≥65 yrs,Age not stated,Total
Shiga toxin-producing  Escherichia coli  ¶¶,340,8.56,1782,11.17,1400,3.41,1320,3.03,1275,1.95,1159,1.12,806,1.64,87,8169
Shigellosis,289,7.28,5181,32.47,6035,14.70,1642,3.77,3722,5.69,3144,3.02,984,2.00,100,21097
Smallpox,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Spotted fever rickettsiosis,,,,,,,,,,,,,,,,
Total,2,0.05,45,0.28,186,0.46,353,0.82,823,1.27,1924,1.86,931,1.90,5,4269
Confirmed,—,—,2,0.01,14,0.03,13,0.03,23,0.04,67,0.06,35,0.07,—,154
Probable,2,0.05,43,0.27,172,0.42,340,0.79,800,1.23,1857,1.80,896,1.83,5,4115
Streptococcal toxic shock syndrome,1,0.04,4,0.04,18,0.07,9,0.03,43,0.10,123,0.18,85,0.26,—,283
Syphilis,,,,,,,,,,,,,,,,
"Total, all stages  ***",634,15.97,4,0.03,42,0.10,17544,40.32,41556,63.49,26306,25.31,1867,3.79,89,88042
Congenital  *,628,15.82,—,—,—,—,—,—,—,—,—,—,—,—,—,628
Primary and secondary,—,—,2,0.01,17,0.04,6470,14.87,13498,20.62,7511,7.23,279,0.57,37,27814
Tetanus,—,—,—,—,5,0.01,2,0.00,9,0.01,6,0.01,3,0.01,9,34
Toxic shock syndrome (other than Streptococcal),—,—,—,—,15,0.05,17,0.06,3,0.01,5,0.01,—,—,—,40
Trichinellosis,—,—,—,—,2,0.01,2,0.00,4,0.01,14,0.01,4,0.01,—,26
Tuberculosis,48,1.21,176,1.10,163,0.40,938,2.16,2206,3.37,3470,3.34,2264,4.60,7,9272
Tularemia,1,0.03,14,0.09,19,0.05,17,0.04,29,0.04,99,0.10,51,0.10,—,230
Typhoid fever,2,0.05,32,0.20,79,0.19,78,0.18,111,0.17,60,0.06,7,0.01,7,376
Vancomycin-intermediate  Staphylococcus aureus,1,0.03,1,0.01,2,0.01,4,0.01,15,0.03,48,0.06,37,0.10,—,108
Vancomycin-resistant  Staphylococcus aureus,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Varicella morbidity,768,23.90,1927,14.95,3228,9.75,912,2.60,822,1.55,577,0.69,112,0.29,607,8953
Varicella mortality,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U
Vibriosis,,,,,,,,,,,,,,,,
Total,3,0.08,25,0.16,121,0.30,93,0.22,194,0.30,495,0.48,335,0.69,7,1273
Confirmed,2,0.05,23,0.15,120,0.30,93,0.22,184,0.29,491,0.48,325,0.67,3,1241
Probable,1,0.03,2,0.01,1,0.00,—,—,10,0.02,4,0.00,10,0.02,4,32
Viral hemorrhagic fevers,,,,,,,,,,,,,,,,
Crimean-Congo hemorrhagic fever virus,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Ebola virus,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Guanarito virus,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Junin virus,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Lassa virus,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Lujo virus,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Machupo virus,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Marburg virus,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Sabia virus,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Yellow fever,—,—,—,—,—,—,—,—,—,—,—,—,1,0.00,—,1
Zika virus,,,,,,,,,,,,,,,,
"Zika virus disease, congenital  *,†††",25,0.63,—,—,—,—,—,—,—,—,—,—,—,—,5,30
"Zika virus disease, non-congenital",3,0.08,22,0.14,180,0.44,764,1.76,1810,2.77,2077,2.00,272,0.55,4,5132
"Zika virus infection, congenital  *,†††",29,0.73,—,—,—,—,—,—,—,—,—,—,—,—,16,45
"Zika virus infection, non-congenital",1,0.03,—,—,6,0.01,295,0.68,545,0.83,51,0.05,12,0.02,1,911
