Disease,American Indian or  Alaska Native,American Indian or  Alaska Native,Asian or Pacific  Islander,Asian or Pacific  Islander,Black,Black,White,White,Other Race,Race not stated,Total
Hantavirus pulmonary syndrome,8,0.18,—,—,—,—,19,0.01,1,3,31
Hemolytic uremic syndrome post-diarrheal,2,0.04,7,0.04,7,0.02,239,0.10,21,31,307
Hepatitis  §§,,,,,,,,,,,
"A, acute",3,0.06,301,1.47,141,0.31,1073,0.42,142,347,2007
"B, acute",15,0.33,56,0.27,389,0.87,2187,0.87,131,440,3218
"B, perinatal infection  ¶¶",—,—,18,3.54,4,0.29,1,0.02,1,8,32
"C, acute",71,1.77,25,0.13,135,0.31,2221,0.93,82,408,2942
Human immunodeficiency virus diagnoses,219,4.73,801,3.91,15632,34.50,9398,3.72,8725,—,34775
Influenza-associated pediatric mortality  ***,1,0.07,6,0.13,9,0.07,55,0.10,1,10,82
Invasive pneumococcal disease,,,,,,,,,,,
All ages,309,10.75,218,1.84,2821,7.58,10403,5.51,457,3418,17626
Confirmed,308,10.71,218,1.84,2817,7.57,10388,5.50,457,3415,17603
Probable,S,S,S,S,S,S,S,S,S,S,23
Age <5 years  ††,18,0.53,41,0.32,223,0.56,591,0.29,42,227,1142
Confirmed,17,5.85,41,4.93,222,7.42,589,4.98,42,226,1137
Probable,S,S,S,S,S,S,S,S,S,S,5
Legionellosis,26,0.56,99,0.48,1068,2.36,3891,1.54,242,815,6141
Leptospirosis,—,—,8,0.05,1,0.00,38,0.02,13,18,78
Listeriosis,9,0.19,70,0.34,68,0.15,533,0.21,20,86,786
Lyme disease,,,,,,,,,,,
Total,81,1.75,303,1.55,298,0.66,18841,7.47,990,15916,36429
Confirmed,57,1.23,210,1.07,205,0.45,13381,5.30,776,11574,26203
Probable,24,0.52,93,0.48,93,0.21,5460,2.16,214,4342,10226
Malaria,6,0.13,91,0.44,1052,2.32,248,0.10,67,491,1955
Measles,,,,,,,,,,,
Total,—,—,8,0.04,5,0.01,37,0.01,1,34,85
Indigenous,—,—,2,0.01,2,0.00,32,0.01,—,32,68
Imported,S,S,S,S,S,S,S,S,S,S,17
Meningococcal disease,,,,,,,,,,,
All serogroups,9,0.19,12,0.06,60,0.13,229,0.09,15,50,375
Serogroups ACWY,7,0.15,4,0.02,22,0.05,70,0.03,6,17,126
Serogroup B,1,0.02,1,0.00,15,0.03,58,0.02,2,9,86
Other serogroups,S,S,S,S,S,S,S,S,S,S,21
Unknown serogroup,1,0.02,6,0.03,19,0.04,90,0.04,6,20,142
Mumps,20,0.43,2140,10.45,220,0.49,2980,1.18,135,874,6369
Novel Influenza A virus infections,S,S,S,S,S,S,S,S,S,S,23
Pertussis,123,2.66,312,1.52,775,1.71,11694,4.63,649,4419,17972
Plague,S,S,S,S,S,S,S,S,S,S,4
"Poliomyelitis, paralytic",—,—,—,—,—,—,—,—,—,—,—
"Poliovirus infection, nonparalytic",—,—,—,—,—,—,—,—,—,—,—
Psittacosis,S,S,S,S,S,S,S,S,S,S,12
Q fever,,,,,,,,,,,
Total,1,0.02,3,0.01,7,0.02,99,0.04,10,44,164
Acute,1,0.02,2,0.01,6,0.01,83,0.03,8,32,132
Chronic,—,—,1,0.00,1,0.00,16,0.01,2,12,32
Rabies,,,,,,,,,,,
Human,—,—,—,—,—,—,—,—,—,—,—
Rubella,S,S,S,S,S,S,S,S,S,S,1
"Rubella, congenital syndrome  †",S,S,S,S,S,S,S,S,S,S,2
Salmonellosis,532,11.49,1671,8.16,4401,9.71,34546,13.67,2456,10244,53850
Severe acute respiratory syndrome-associated coronavirus disease,—,—,—,—,—,—,—,—,—,—,—
Shiga toxin-producing  Escherichia coli  †††,58,1.25,174,0.85,341,0.75,5563,2.20,361,1672,8169
Shigellosis,320,6.91,328,1.60,3982,8.79,11547,4.57,1039,3881,21097
Smallpox,—,—,—,—,—,—,—,—,—,—,—
Spotted fever rickettsiosis,,,,,,,,,,,
Total,42,0.93,16,0.08,112,0.25,2927,1.16,62,1110,4269
Confirmed,3,0.07,—,—,8,0.02,98,0.04,4,41,154
Probable,39,0.87,16,0.08,104,0.23,2829,1.12,58,1069,4115
Streptococcal toxic shock syndrome,1,0.04,6,0.06,43,0.14,194,0.12,14,25,283
Syphilis,,,,,,,,,,,
"Total, all stages  §,§§§",613,13.24,2353,11.49,30820,68.02,41719,16.51,6062,6475,88042
Congenital  †,12,15.49,26,10.39,261,38.32,281,9.49,14,34,628
Primary and secondary  §,219,4.73,768,3.75,9341,20.62,14103,5.58,1673,1710,27814
Tetanus,—,—,1,0.00,3,0.01,21,0.01,2,7,34
Toxic shock syndrome (other than Streptococcal),—,—,1,0.01,1,0.00,25,0.01,2,11,40
Trichinellosis,5,0.11,8,0.04,2,0.00,8,0.00,—,3,26
Tuberculosis,127,2.74,3212,15.68,2026,4.47,3676,1.45,132,99,9272
Tularemia,23,0.50,—,—,5,0.01,152,0.06,7,43,230
Typhoid fever,4,0.09,185,0.90,31,0.07,61,0.02,29,66,376
Vancomycin-intermediate  Staphylococcus aureus,1,0.03,2,0.02,23,0.06,61,0.03,6,15,108
Vancomycin-resistant  Staphylococcus aureus,—,—,—,—,—,—,—,—,—,—,—
Varicella morbidity,84,2.40,404,2.31,556,1.51,5583,2.77,375,1951,8953
Varicella mortality,U,U,U,U,U,U,U,U,U,U,U
Vibriosis,,,,,,,,,,,
Total,9,0.20,45,0.22,76,0.17,856,0.34,36,251,1273
Confirmed,9,0.20,42,0.21,71,0.16,837,0.34,36,246,1241
Probable,—,—,3,0.01,5,0.01,19,0.01,—,5,32
Viral hemorrhagic fevers,,,,,,,,,,,
Crimean-Congo hemorrhagic fever virus,—,—,—,—,—,—,—,—,—,—,—
Ebola virus,—,—,—,—,—,—,—,—,—,—,—
Guanarito virus,—,—,—,—,—,—,—,—,—,—,—
Junin virus,—,—,—,—,—,—,—,—,—,—,—
Lassa virus,—,—,—,—,—,—,—,—,—,—,—
Lujo virus,—,—,—,—,—,—,—,—,—,—,—
Machupo virus,—,—,—,—,—,—,—,—,—,—,—
Marburg virus,—,—,—,—,—,—,—,—,—,—,—
Sabia virus,—,—,—,—,—,—,—,—,—,—,—
Yellow fever,S,S,S,S,S,S,S,S,S,S,1
Zika virus,,,,,,,,,,,
"Zika virus disease, congenital  †,¶¶¶",—,—,—,—,3,0.44,5,0.17,6,16,30
"Zika virus disease, non-congenital",7,0.15,77,0.38,432,0.95,2516,1.00,492,1608,5132
"Zika virus infection, congenital  †,¶¶¶",—,—,—,—,1,0.15,4,0.14,8,32,45
"Zika virus infection, non-congenital",—,—,27,0.13,218,0.48,240,0.09,120,306,911
