State or otherjurisdiction,1968 (a),1970 (a),1972,1976 (a),1979,1980,1981
Wisconsin,1.25 (b),1.30 (b),1.45 (b),2.10,2.80,3.00,3.25
Wyoming,1.20,1.30,1.50,1.60,1.60,1.60,1.60
District of Columbia,1.25 - 1.40,1.60 - 2.00,1.60 - 2.25,2.25 - 2.75,2.46 - 3.00,2.50 - 3.50,2.50 - 3.75
Guam,1.25,1.60,1.90,2.30,2.90,3.10,3.35
Puerto Rico,.43 - 1.60,.43 - 1.60,.65 - 1.60,.76 - 2.50,1.20 - 2.50,1.20 - 2.50,1.20 - 3.10
U.S. Virgin Islands,NA,NA,NA,NA,2.90,3.10,3.35

State or otherjurisdiction,1988,1991,1992,1994,1996,1997,1998
Federal (FLSA),$3.35,$3.80,$4.25,$4.25,$4.25,$4.75,$5.15
Alabama,...,...,...,...,...,...,...
Alaska,3.85,4.30,4.75,4.75,4.75,5.25,5.65
Arizona,...,...,...,...,...,...,...
Arkansas,3.25,3.35,3.65,4.25,4.25[c],4.25[c],5.15[c]
California,3.35,4.25,4.25,4.25,4.25,4.75,5.15
Colorado,3.00,3.00,3.00,3.00,3.00,4.75,5.15
Connecticut,3.75,4.25,4.27,4.27,4.27,4.77,5.18
Delaware,3.35,3.80,4.25,4.25,4.65,5.00,5.15
Florida,...,...,...,...,...,...,...
Georgia,3.25,3.25,3.25,3.25,3.25(d),3.25(d),3.25(d)
Hawaii,3.85,3.85,3.85,5.25,5.25,5.25,5.25
Idaho,2.30,3.80,4.25,4.25,4.25,4.25,5.15
Illinois,3.35,3.80,4.25,4.25,4.25[c],4.75[c],5.15[c]
Indiana,2.00,3.35,3.35,3.35,3.35(e),3.35(e),3.35(e)
Iowa,...,4.25,4.65,4.65,4.65,4.75,5.15
Kansas,1.60,2.65,2.65,2.65,2.65,2.65,2.65
Kentucky,3.35,3.80,4.25,4.25,4.25,4.25,4.25
Louisiana,...,...,...,...,...,...,...
Maine,3.65,3.85,4.25,4.25,4.25,4.75,5.15
Maryland,3.35,3.80,4.25,4.25,4.25,4.75,5.15
Massachusetts,3.65,3.75,4.25,4.25,4.75,5.25,5.25
Michigan,3.35,3.35,3.35,3.35,3.35(e),3.35(e),5.15(e)
Minnesota,3.55 & 3.50(f),4.25(g),4.25(g),4.25(g),4.25(g),4.25(g),5.15(g)
Mississippi,...,...,...,...,...,...,...
Missouri,...,3.80,4.25,4.25,4.25,4.75,5.15
Montana,3.35,3.80,4.25(g),4.25(g),4.25(g),4.75(g),5.15(g)
Nebraska,3.35,3.35,4.25,4.25,4.25[c],4.25[c],5.15[c]
Nevada,3.35,3.80,4.25,4.25,4.25,4.75,5.15
New Hampshire,3.55,3.85,4.25,4.25,4.25,4.75,5.15
New Jersey,3.35,3.80,4.25,5.05,5.05,5.05,5.05
New Mexico,3.35,3.35,3.35,4.25,4.25,4.25,4.25
New York,3.35,3.80,4.25,4.25,4.25,4.25,4.25
North Carolina,3.35,3.35,3.80,4.25,4.25,4.25,5.15
North Dakota,2.80 - 3.10,3.40,4.25,4.25,4.25,4.75,5.15
Ohio,2.30,3.80(g),4.25(g),4.25(g),4.25(g),4.25(g),4.25(g)
Oklahoma,3.35,3.80(g),4.25(g),4.25(g),4.25(g),4.75(g),5.15(g)
Oregon,3.35,4.75,4.75,4.75,4.75,5.50,6.00
Pennsylvania,3.35,3.80,4.25,4.25,4.25,4.75,5.15
Rhode Island,3.65,4.25,4.45,4.45,4.45,5.15,5.15
South Carolina,...,...,...,...,...,...,...
South Dakota,2.80,3.80,4.25,4.25,4.25,4.25,5.15
Tennessee,...,...,...,...,...,...,...
Texas,3.35,3.35,3.35,3.35,3.35,3.35,3.35
Utah,2.50 - 2.75(b),3.80,4.25,4.25,4.25,4.75,5.15
Vermont,3.55,3.85,4.25,4.25,4.75(e),5.00(e),5.25(e)
Virginia,2.65,2.65,3.65,4.25,4.25[c],4.75[c],5.15[c]
Washington,2.30,4.25,4.25,4.25,4.90,4.90,4.90
West Virginia,3.35,3.35,3.80,4.25,4.25 (d),4.25 (d),4.75 (d)
Wisconsin,3.35,3.80,3.80,4.25,4.25,4.75,5.15
Wyoming,1.60,1.60,1.60,1.60,1.60,1.60,1.60
District of Columbia,3.50 - 4.85,3.70 - 4.85,3.90 - 5.45,4.25,5.25 (h),5.75,6.15
Guam,3.35,3.80,4.25,4.25,4.25,4.75,5.15
Puerto Rico,1.20 - 3.35,1.20 - 4.25(i),1.20 - 4.25(i),1.20 - 4.25(i),1.20 - 4.75(i),1.20 - 4.75(i),1.20 - 5.15(i)
U.S. Virgin Islands,3.35,"4..65(g,,j)","4..65(g,,j)","4..65(g,,j)",4.65(g),"4.65(g, j)","4.65(g, j)"

State or otherjurisdiction,2000,2001,2002,2003,2004,2005,2006
Federal (FLSA),$5.15,$5.15,$5.15,$5.15,$5.15,$5.15,5.15
Alabama,...,...,...,...,...,...,...
Alaska,5.65,5.65,5.65,7.15,7.15,7.15,7.15
Arizona,...,...,...,...,...,...,...
Arkansas,5.15[c],5.15[c],5.15[c],5.15[c],5.15[c],5.15[c],5.15 [c]
California,5.75,6.25,6.75,6.75,6.75,6.75,6.75
Colorado,5.15,5.15,5.15,5.15,5.15,5.15,5.15
Connecticut,6.15,6.40,6.70,6.90,7.10,7.10,7.40
Delaware,5.65,6.15,6.15,6.15,6.15,6.15,6.15
Florida,...,...,...,...,...,...,6.40
Georgia,3.25(d),3.25(d),5.15(d),5.15(d),5.15(d),5.15(d),5.15(d)
Hawaii,5.25,5.25,5.75,6.25,6.25,6.25,6.75
Idaho,5.15,5.15,5.15,5.15,5.15,5.15,5.15
Illinois,5.15[c],5.15[c],5.15[c],5.15[c],5.50[c],6.50[c],6.50[c]
Indiana,5.15(e),5.15(e),5.15(e),5.15(e),5.15(e),5.15(e),5.15(e)
Iowa,5.15,5.15,5.15,5.15,5.15,5.15,5.15
Kansas,2.65,2.65,2.65,2.65,2.65,2.65,2.65
Kentucky,5.15,5.15,5.15,5.15,5.15,5.15,5.15
Louisiana,...,...,...,...,...,...,...
Maine,5.15,5.15,5.75,6.25,6.25,6.35,6.50
Maryland,5.15,5.15,5.15,5.15,5.15,5.15,5.15
Massachusetts,6.00,6.75,6.75,6.75,6.75,6.75,6.75
Michigan,5.15(e),5.15(e),5.15(e),5.15(e),5.15(e),5.15(e),5.15(e)
Minnesota,4.90 - 5.15(g),4.90 - 5.15(g),4.90 - 5.15(g),4.90 - 5.15(g),4.90 - 5.15(g),4.90 - 5.15(g),5.25 - 6.15(g)
Mississippi,...,...,...,...,...,...,...
Missouri,5.15,5.15,5.15,5.15,5.15,5.15,5.15
Montana,4.00 - 5.15(g),4.00 - 5.15(g),4.00 - 5.15(g),4.00 - 5.15(g),4.00 - 5.15(g),4.00 - 5.15(g),4.00 - 5.15
Nebraska,5.15[c],5.15[c],5.15[c],5.15[c],5.15[c],5.15[c],5.15[c]
Nevada,5.15,5.15,5.15,5.15,5.15,5.15,5.15
New Hampshire,5.15,5.15,5.15,5.15,5.15,5.15,5.15
New Jersey,5.15,5.15,5.15,5.15,5.15,5.15,6.15
New Mexico,4.25,4.25,4.25,4.25,5.15,5.15,5.15
New York,4.25,5.15,5.15,5.15,5.15,6.00,6.75
North Carolina,5.15,5.15,5.15,5.15,5.15,5.15,5.15
North Dakota,5.15,5.15,5.15,5.15,5.15,5.15,5.15
Ohio,2.80 - 4.25(g),2.80 - 4.25(g),2.80 - 4.25(g),2.80 - 4.25(g),2.80 - 4.25(g),2.80 - 4.25(g),2.80 - 4.25(g)
Oklahoma,2.00 - 5.15(g),2.00 - 5.15(g),2.00 - 5.15(g),2.00 - 5.15(g),2.00 - 5.15(g),2.00 - 5.15(g),2.00 - 5.15
Oregon,6.50,6.50,6.50,6.90,7.05,7.25,7.50
Pennsylvania,5.15,5.15,5.15,5.15,5.15,5.15,5.15
Rhode Island,5.65,6.15,6.15,6.15,6.75,6.75,6.75
South Carolina,...,...,...,...,...,...,...
South Dakota,5.15,5.15,5.15,5.15,5.15,5.15,5.15
Tennessee,...,...,...,...,...,...,...
Texas,3.35,3.35,5.15,5.15,5.15,5.15,5.15
Utah,5.15,5.15,5.15,5.15,5.15,5.15,5.15
Vermont,5.75(e),6.25(e),6.25(e),6.25(e),6.75(e),7.00(e),7.25
Virginia,5.15[c],5.15[c],5.15[c],5.15[c],5.15[c],5.15[c],5.15[c]
Washington,6.50,6.72,6.90,7.01,7.16,7.35,7.63
West Virginia,5.15(d),5.15(d),5.15(d),5.15(d),5.15(d),5.15(d),5.15(d)
Wisconsin,5.15,5.15,5.15,5.15,5.15,5.15,5.70
Wyoming,1.60,1.60,5.15,5.15,5.15,5.15,5.15
District of Columbia,6.15,6.15,6.15,6.15,6.15,6.60,7.00
Guam,5.15,5.15,5.15,5.15,5.15,5.15,5.15
Puerto Rico,3.61 - 5.15(i),3.61 - 5.15(i),3.61 - 5.15(i),3.61 - 5.15(i),3.61 - 5.15(i),3.61 - 5.15(i),3.61 - 5.15(i)
U.S. Virgin Islands,"4.30 - 4.65(g,j)","4.30 - 4.65(g,j)","4.30 - 4.65(g,j)","4.30 - 4.65(g,j)","4.30 - 4.65(g,j)","4.30 - 4.65(g,j)",4.30 - 4.65 (g)

State or otherjurisdiction,2007,2008,2009,2010,2011,2012,2013
Federal (FLSA),5.15,5.85,6.55,7.25,7.25,7.25,7.25
Alabama,...,...,...,...,...,...,...
Alaska,7.15,7.15,7.15,7.75,7.75,7.75,7.75
Arizona,6.75,6.90,7.25,7.25,7.35,7.65,7.80
Arkansas,6.25[c],6.25[c],6.25[c],6.25[c],6.25[c],6.25[c],6.25[c]
California,7.50,8.00,8.00,8.00,8.00,8.00,8.00
Colorado,6.85,7.02,7.28,7.24,7.36,7.64,7.78
Connecticut,7.65,7.65,8.00,8.25,8.25,8.25,8.25
Delaware,6.65,7.15,7.15,7.25,7.25,7.25,7.25
Florida,6.67,6.79,7.21,7.25,7.25,7.67,7.79
Georgia,5.15(d),5.15(d),5.15(d),5.15(d),5.15(d),5.15(d),5.15(d)
Hawaii,7.25,7.25,7.25,7.25,7.25,7.25,7.25
Idaho,5.15,5.85,6.55,7.25,7.25,7.25,7.25
Illinois,7.50[c],7.75[c],8.00[c],8.25[c],8.25[c],8.25[c],8.25[c]
Indiana,5.15(e),5.85(e),6.55(e),7.25(e),7.25(e),7.25(e),7.25(e)
Iowa,5.15,7.25,7.25,7.25,7.25,7.25,7.25
Kansas,2.65,2.65,2.65,7.25,7.25,7.25,7.25
Kentucky,5.15,5.85,6.55,7.25,7.25,7.25,7.25
Louisiana,...,...,...,...,...,...,...
Maine,6.75,7.00,7.25,7.50,7.50,7.50,7.50
Maryland,6.15,6.15,6.55,7.25,7.25,7.25,7.25
Massachusetts,7.50,8.00,8.00,8.00,8.00,8.00,8.00
Michigan,6.95(e),7.15(e),7.40(e),7.40(e),7.40(e),7.40(e),7.40(e)
Minnesota,5.25-6.15(g),5.25-6.15(g),5.25-6.15(g),5.25-6.15(g),5.25-6.15(g),5.25-6.15(g),5.25-6.15(g)
Mississippi,...,...,...,...,...,...,...
Missouri,6.50,6.65,7.05,7.25,7.25,7.25,7.35
Montana,4.00-6.15(g),4.00-6.25(g),4.00-6.90(g),4.00-7.25(g),4.00-7.35(g),4.00-7.65(g),4.00-7.80(g)
Nebraska,5.15[c],5.85[c],6.55[c],7.25[c],7.25[c],7.25[c],7.25[c]
Nevada,6.15,6.33,6.55-6.85,6.55-7.55,7.25-8.25,7.25-8.25,7.25-8.25
New Hampshire,5.15,6.50,7.25,7.25,7.25,7.25,7.25
New Jersey,7.15,7.15,7.15,7.25,7.25,7.25,7.25
New Mexico,5.15,6.50,7.50,7.50,7.50,7.50,7.50
New York,7.15,7.15,7.15,7.25,7.25,7.25,7.25
North Carolina,6.15,6.15,6.55,7.25,7.25,7.25,7.25
North Dakota,5.15,5.85,6.55,7.25,7.25,7.25,7.25
Ohio,6.85,7.00,7.30,7.30,7.40,7.70,7.85
Oklahoma,2.00-5.15(g),2.00-5.85(g),2.00-6.55(g),2.00-7.25(g),2.00-7.25(g),2.00-7.25(g),2.00-7.25(g)
Oregon,7.80,7.95,8.40,8.40,8.50,8.80,8.95
Pennsylvania,6.25,7.15,7.15,7.25,7.25,7.25,7.25
Rhode Island,7.40,7.40,7.40,7.40,7.40,7.40,7.75
South Carolina,...,...,...,...,...,...,...
South Dakota,5.15,5.85,6.55,7.25,7.25,7.25,7.25
Tennessee,...,...,...,...,...,...,...
Texas,5.15,5.85,6.55,7.25,7.25,7.25,7.25
Utah,5.15,5.85,6.55,7.25,7.25,7.25,7.25
Vermont,7.53(e),7.68(e),8.06(e),8.06(e),8.15(e),8.46(e),8.60(e)
Virginia,5.15[c],5.85[c],6.55[c],7.25[c],7.25[c],7.25[c],7.25[c]
Washington,7.93,8.07,8.55,8.55,8.67,9.04,9.19
West Virginia,5.85,6.55,7.25,7.25,7.25,7.25,7.25
Wisconsin,6.50,6.50,6.50,7.25,7.25,7.25,7.25
Wyoming,5.15,5.15,5.15,5.15,5.15,5.15,5.15
District of Columbia,7.00,7.00,7.55,8.25,8.25,8.25,8.25
Guam,5.15,5.85,5.85,7.25,7.25,7.25,7.25
Puerto Rico,3.61-5.15(i),3.61-5.15(i),4.10(i),5.08 – 7.25 (i2),5.08 – 7.25 (i2),5.08 – 7.25 (i2),5.08 – 7.25 (i2)
U.S. Virgin Islands,"4.30-6.15(g,j)",4.30-6.15(j),4.30-6.15(j),4.30-7.25(j),4.30-7.25(j),4.30-7.25(j),4.30-7.25(j)

State or otherjurisdiction,2014,2015,2016,2017,2018,2019
Federal (FLSA),7.25,7.25,7.25,7.25,7.25,7.25
Alabama,...,...,...,...,...,...
Alaska,7.75,8.75,9.75,9.80,9.84,10.19
Arizona,7.90,8.05,8.05,10.00,10.50,12.00
Arkansas,6.25[c],7.50[c],8.00[c],8.50[c],8.50[c],9.25[c]
California,9.00,9.00,10.00,10.00,11.00,12.00
Colorado,8.00,8.23,8.31,9.30,10.20,12.00
Connecticut,8.70,9.15,9.60,10.10,10.10,11.00
Delaware,7.75,8.25,8.25,8.25,8.25,9.25
Florida,7.93,8.05,8.05,8.10,8.25,8.56
Georgia,5.15(d),5.15(d),5.15(d),5.15(d),5.15(d),5.15(d)
Hawaii,7.25,7.75,8.50,9.25,10.10,10.10
Idaho,7.25,7.25,7.25,7.25,7.25,7.25
Illinois,8.25[c],8.25[c],8.25[c],8.25[c],8.25[c],9.25[c]
Indiana,7.25(e),7.25(e),7.25(e),7.25(e),7.25(e),7.25(e)
Iowa,7.25,7.25,7.25,7.25,7.25,7.25
Kansas,7.25,7.25,7.25,7.25,7.25,7.25
Kentucky,7.25,7.25,7.25,7.25,7.25,7.25
Louisiana,...,...,...,...,...,...
Maine,7.50,7.50,7.50,9.00,10.00,12.00
Maryland,7.25,8.25,8.75,8.75,10.10,11.00
Massachusetts,8.00,9.00,10.00,11.00,11.00,12.75
Michigan,8.15(e),8.15(e),8.50(e),8.90(e),9.25(e),9.65(e)
Minnesota,6.50-8.00(g),7.25-9.00(g),7.25-9.50(g),7.75-9.50(g),8.04-9.86(g),8.15-10.00(g)
Mississippi,...,...,...,...,...,...
Missouri,7.50,7.65,7.65,7.70,7.85,9.45
Montana,7.90(g),8.05(g),8.05(g),8.15(g),8.30(g),8.65(g)
Nebraska,7.25[c],8.00[c],9.00[c],9.00[c],9.00[c],9.00[c]
Nevada,7.25-8.25,7.25-8.25,7.25-8.25,7.25-8.25,7.25-8.25,7.25-8.25
New Hampshire,7.25,7.25,7.25,7.25,7.25,7.25
New Jersey,8.25,8.38,8.38,8.44,8.60,11.00
New Mexico,7.50,7.50,7.50,7.50,7.50,9.00
New York,8.00,8.75,9.00,9.70,10.40,11.80
North Carolina,7.25,7.25,7.25,7.25,7.25,7.25
North Dakota,7.25,7.25,7.25,7.25,7.25,7.25
Ohio,7.25-7.95,7.25-8.10,7.25-8.10,8.15,8.30,8.70
Oklahoma,2.00-7.25(g),2.00-7.25(g),2.00-7.25(g),2.00-7.25(g),2.00-7.25(g),2.00-7.25(g)
Oregon,9.10,9.25,9.75,9.75,10.75,11.25
Pennsylvania,7.25,7.25,7.25,7.25,7.25,7.25
Rhode Island,8.00,9.00,9.60,9.60,10.10,10.50
South Carolina,...,...,...,...,...,...
South Dakota,7.25,8.50,8.55,8.65,8.85,9.30
Tennessee,...,...,...,...,...,...
Texas,7.25,7.25,7.25,7.25,7.25,7.25
Utah,7.25,7.25,7.25,7.25,7.25,7.25
Vermont,8.73(e),9.15(e),9.60(e),10.00(e),10.50(e),10.96(e)
Virginia,7.25[c],7.25[c],7.25[c],7.25[c],7.25[c],7.25[c]
Washington,9.32,9.47,9.47,11.00,11.50,13.50
West Virginia,7.25,8.00,8.75,8.75,8.75,8.75
Wisconsin,7.25,7.25,7.25,7.25,7.25,7.25
Wyoming,5.15,5.15,5.15,5.15,5.15,5.15
District of Columbia,9.50,10.50,11.50,11.50,13.25,14.00
Guam,7.25,8.25,8.25,8.25,8.25,8.25
Puerto Rico,5.08-7.25(i),5.08-7.25(i),5.08-7.25(i),5.08-7.25(i),5.08-7.25(i),5.08-7.25(i)
U.S. Virgin Islands,4.30-7.25(j),4.30-7.25(j),4.30-7.25(j),4.30-7.25(j),4.30-7.25(j),10.50(j)

State or otherjurisdiction,2020,2021,2022,2023,2024
Federal (FLSA),7.25,7.25,7.25,7.25,7.25
Alabama,...,...,...,...,...
Alaska,10.19,10.34,10.34,10.85,11.73
Arizona,12.00,12.15,12.80,13.85,14.35
Arkansas,10.00[c],11.00,11.00,11.00,11.00
California,12.00,13.00,14.00,15.50,16.00
Colorado,12.02,12.32,12.56,13.65,14.42
Connecticut,12.00,13.00,14.00,15.00,15.69
Delaware,9.25,9.25,10.50,11.75,13.25
Florida,8.56,10.00,10.00,12.00,12.00
Georgia,5.15(d),5.15(d),5.15(d),5.15(d),5.15(d)
Hawaii,10.10,10.10,12.00,12.00,14.00
Idaho,7.25,7.25,7.25,7.25,7.25
Illinois,10.00[c],11.00[c],12.00[c],13.00[c],14.00[c]
Indiana,7.25(e),7.25(e),7.25(e),7.25(e),7.25(e)
Iowa,7.25,7.25,7.25,7.25,7.25
Kansas,7.25,7.25,7.25,7.25,7.25
Kentucky,7.25,7.25,7.25,7.25,7.25
Louisiana,...,...,...,...,...
Maine,12.00,12.15,12.75,13.80,14.15
Maryland,11.00,11.75,12.50,13.25,15.00
Massachusetts,12.75,13.50,14.25,15.00,15.00
Michigan,9.65(e),9.65(e),9.87(e),10.10(e),10.33(e)
Minnesota,10.00(g),10.08(g),10.33(g),10.59(g),10.85(g)
Mississippi,...,...,...,...,...
Missouri,9.45,10.30,11.15,12.00,12.30
Montana,8.65(g),8.75(g),9.20(g),9.95(g),10.30(g)
Nebraska,9.00[c],9.00[c],9.00[c],10.50[c],12.00[c]
Nevada,8.00-9.00,8.75-9.75,9.50/10.50,10.25/11.25,12.00
New Hampshire,7.25,7.25,7.25,7.25,7.25
New Jersey,11.00,12.00,13.00,14.13,15.13
New Mexico,9.00,10.50,11.50,12.00,12.00
New York,11.80,12.50,13.20,14.20,15.00
North Carolina,7.25,7.25,7.25,7.25,7.25
North Dakota,7.25,7.25,7.25,7.25,7.25
Ohio,8.70,8.80,9.30,10.10,10.45
Oklahoma,2.00-7.25(g),2.00-7.25(g),2.00-7.25(g),2.00-7.25(g),2.00-7.25(g)
Oregon,12.00,12.75,13.50,14.20,14.70
Pennsylvania,7.25,7.25,7.25,7.25,7.25
Rhode Island,11.50,11.50,12.25,13.00,14.00
South Carolina,...,...,...,...,...
South Dakota,9.30,9.45,9.95,10.80,11.20
Tennessee,...,...,...,...,...
Texas,7.25,7.25,7.25,7.25,7.25
Utah,7.25,7.25,7.25,7.25,7.25
Vermont,10.96(e),11.75,12.55,13.18,13.67
Virginia,7.25[c],9.50,11.00,12.00,12.00
Washington,13.50,13.69,14.49,15.74,16.28
West Virginia,8.75,8.75,8.75,8.75,8.75
Wisconsin,7.25,7.25,7.25,7.25,7.25
Wyoming,5.15,5.15,5.15,5.15,5.15
District of Columbia,15.00,15.20,$16.10,17.00,$17.50
Guam,8.25,8.75,9.25,9.25,9.25
Puerto Rico,5.08-7.25(i),5.08-7.25(i),7.25(i),9.50,9.50
U.S. Virgin Islands,10.50(j),10.50(j),10.50(j),10.50(j),10.50(j)

