key,prop,val,p1,v1,,,,,p2,v2,p3,v3,,,,
KN.L15,economicSector,CommoditySector,populationType,Person,,,,,#Multiply,1000000000000,name,"""Total Number of Persons in Commodity Sector""",,,,
KN.L16,economicSector,ProductiveSocialServicesSector,populationType,Person,,,,,#Multiply,1000000000000,name,"""Total Number of Persons in Productive Social Services Sector""",,,,
KN.L17,variableMeasured,Count_Person_Unemployed,#Multiply,1000000000000,,,,,name,"""Total Number of Unemployed Persons""",,,,,,
KN.L18,variableMeasured,UnemploymentRate_Person,unit,Percent,,,,,name,"""Total Count of Unemployment Rate""",,,,,,
KN.L19,measuredProperty,unemploymentRate,populationType,Person,,,,,gender,Male,unit,Percent,name,"""Total Count of Male Unemployment Rate""",,
KN.L20,measuredProperty,unemploymentRate,populationType,Person,,,,,gender,Female,unit,Percent,name,"""Total Count of Female Unemployment Rate""",,
KN.L21,measuredProperty,amount,populationType,EconomicActivity,activitySource,GrossDomesticProduction,unit,EGP,measurementQualifier,Nominal,#Multiply,1000000000000,name ,"""Gross Domestic Product (Nominal) by Economic Activity""",,
KN.L22,#ignore,ignore(The new values are too low (< 1 EGP)for per capita),,,,,,,,,,,,,,
KN.L23,measuredProperty,amount,populationType,EconomicActivity,activitySource,GrossDomesticProduction,unit,EGP,measurementQualifier,RealValue,#Multiply,1000000000000,,,name ,"""Gross Domestic Product (GDP) by Economic Activity"""
KN.L24,#ignore,ignore(The new values are too low (< 1 EGP)for per capita),,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
1993,observationDate,1993,,,,,,,,,,,,,,
1994,observationDate,1994,,,,,,,,,,,,,,
1995,observationDate,1995,,,,,,,,,,,,,,
1996,observationDate,1996,,,,,,,,,,,,,,
1997,observationDate,1997,,,,,,,,,,,,,,
1998,observationDate,1998,,,,,,,,,,,,,,
1999,observationDate,1999,,,,,,,,,,,,,,
2000,observationDate,2000,,,,,,,,,,,,,,
2001,observationDate,2001,,,,,,,,,,,,,,
2002,observationDate,2002,,,,,,,,,,,,,,
2003,observationDate,2003,,,,,,,,,,,,,,
2004,observationDate,2004,,,,,,,,,,,,,,
2005,observationDate,2005,,,,,,,,,,,,,,
2006,observationDate,2006,,,,,,,,,,,,,,
2007,observationDate,2007,,,,,,,,,,,,,,
2008,observationDate,2008,,,,,,,,,,,,,,
2009,observationDate,2009,,,,,,,,,,,,,,
2010,observationDate,2010,,,,,,,,,,,,,,
2011,observationDate,2011,,,,,,,,,,,,,,
2012,observationDate,2012,,,,,,,,,,,,,,
2009-Q1,observationDate,2009-03,,,,,,,,,,,,,,
2009-Q2,observationDate,2009-06,,,,,,,,,,,,,,
2009-Q3,observationDate,2009-09,,,,,,,,,,,,,,
2009-Q4,observationDate,2009-12,,,,,,,,,,,,,,
2010-Q1,observationDate,2010-03,,,,,,,,,,,,,,
2010-Q2,observationDate,2010-06,,,,,,,,,,,,,,
2010-Q3,observationDate,2010-09,,,,,,,,,,,,,,
2010-Q4,observationDate,2010-12,,,,,,,,,,,,,,
2011-Q1,observationDate,2011-03,,,,,,,,,,,,,,
2011-Q2,observationDate,2011-06,,,,,,,,,,,,,,
2011-Q3,observationDate,2011-09,,,,,,,,,,,,,,
2011-Q4,observationDate,2011-12,,,,,,,,,,,,,,
2012-Q1,observationDate,2012-03,,,,,,,,,,,,,,
2012-Q2,observationDate,2012-06,,,,,,,,,,,,,,
2012-Q3,observationDate,2012-09,,,,,,,,,,,,,,
2012-Q4,observationDate,2012-12,,,,,,,,,,,,,,
2013-Q3,observationDate,2013-09,,,,,,,,,,,,,,
2014-Q2,observationDate,2014-06,,,,,,,,,,,,,,
2014-Q3,observationDate,2014-09,,,,,,,,,,,,,,
