key,p1,v1,p2,v2,p3,v3,p4,v4,p5,v5,p6,v6,CountyCode1,"""""",#End,#Value
GR113-056,causeOfDeath,HypertensiveHeartDisease,,,,,,,,,,,,,,
GR113-057,causeOfDeath,HypertensiveHeartAndRenalDisease,,,,,,,,,,,,,,
GR113-058,causeOfDeath,IschemicHeartDiseases,,,,,,,,,,,,,,
GR113-059,causeOfDeath,AcuteMyocardialInfarction,,,,,,,,,,,,,,
GR113-060,causeOfDeath,OtherAcuteIschemicHeartDiseases,,,,,,,,,,,,,,
GR113-061,causeOfDeath,OtherFormsOfChronicIschemicHeartDisease,,,,,,,,,,,,,,
GR113-062,causeOfDeath,AtheroscleroticCardiovascularDisease_SoDescribed,,,,,,,,,,,,,,
GR113-063,causeOfDeath,AllOtherFormsOfChronicIschemicHeartDisease,,,,,,,,,,,,,,
GR113-064,causeOfDeath,OtherHeartDiseases,,,,,,,,,,,,,,
GR113-065,causeOfDeath,AcuteAndSubacuteEndocarditis,,,,,,,,,,,,,,
GR113-066,causeOfDeath,DiseasesOfPericardiumAndAcuteMyocarditis,,,,,,,,,,,,,,
GR113-067,causeOfDeath,HeartFailure,,,,,,,,,,,,,,
GR113-068,causeOfDeath,AllOtherFormsOfHeartDisease,,,,,,,,,,,,,,
GR113-069,causeOfDeath,Essential(Primary)HypertensionAndHypertensiveRenalDisease,,,,,,,,,,,,,,
GR113-070,causeOfDeath,CerebrovascularDiseases,,,,,,,,,,,,,,
GR113-071,causeOfDeath,Atherosclerosis,,,,,,,,,,,,,,
GR113-072,causeOfDeath,OtherDiseasesOfCirculatorySystem,,,,,,,,,,,,,,
GR113-073,causeOfDeath,AorticAneurysmAndDissection,,,,,,,,,,,,,,
GR113-074,causeOfDeath,OtherDiseasesOfArteries_ArteriolesAndCapillaries,,,,,,,,,,,,,,
GR113-075,causeOfDeath,OtherDisordersOfCirculatorySystem,,,,,,,,,,,,,,
GR113-076,causeOfDeath,InfluenzaAndPneumonia,,,,,,,,,,,,,,
GR113-077,causeOfDeath,Influenza,,,,,,,,,,,,,,
GR113-078,causeOfDeath,Pneumonia,,,,,,,,,,,,,,
GR113-079,causeOfDeath,OtherAcuteLowerRespiratoryInfections,,,,,,,,,,,,,,
GR113-080,causeOfDeath,AcuteBronchitisAndBronchiolitis,,,,,,,,,,,,,,
GR113-081,causeOfDeath,UnspecifiedAcuteLowerRespiratoryInfection,,,,,,,,,,,,,,
GR113-082,causeOfDeath,ChronicLowerRespiratoryDiseases,,,,,,,,,,,,,,
GR113-083,causeOfDeath,Bronchitis_ChronicAndUnspecified,,,,,,,,,,,,,,
GR113-084,causeOfDeath,Emphysema,,,,,,,,,,,,,,
GR113-085,causeOfDeath,Asthma,,,,,,,,,,,,,,
GR113-086,causeOfDeath,OtherChronicLowerRespiratoryDiseases,,,,,,,,,,,,,,
GR113-087,causeOfDeath,PneumoconiosesAndChemicalEffects,,,,,,,,,,,,,,
GR113-088,causeOfDeath,PneumonitisDueToSolidsAndLiquids,,,,,,,,,,,,,,
GR113-089,causeOfDeath,OtherDiseasesOfRespiratorySystem,,,,,,,,,,,,,,
GR113-090,causeOfDeath,PepticUlcer,,,,,,,,,,,,,,
GR113-091,causeOfDeath,DiseasesOfAppendix,,,,,,,,,,,,,,
GR113-092,causeOfDeath,Hernia,,,,,,,,,,,,,,
GR113-093,causeOfDeath,ChronicLiverDiseaseAndCirrhosis,,,,,,,,,,,,,,
GR113-094,causeOfDeath,AlcoholicLiverDisease,,,,,,,,,,,,,,
GR113-095,causeOfDeath,OtherChronicLiverDiseaseAndCirrhosis,,,,,,,,,,,,,,
GR113-096,causeOfDeath,CholelithiasisAndOtherDisordersOfGallbladder,,,,,,,,,,,,,,
GR113-097,causeOfDeath,Nephritis_NephroticSyndromeAndNephrosis,,,,,,,,,,,,,,
GR113-098,causeOfDeath,AcuteAndRapidlyProgressiveNephriticAndNephroticSyndrome,,,,,,,,,,,,,,
GR113-099,causeOfDeath,ChronicGlomerulonephritis_NephritisAndNephritisNotSpecifiedAsAcuteOrChronic_AndRenalSclerosisUnspecified,,,,,,,,,,,,,,
GR113-100,causeOfDeath,RenalFailure,,,,,,,,,,,,,,
GR113-102,causeOfDeath,InfectionsOfKidney,,,,,,,,,,,,,,
GR113-103,causeOfDeath,HyperplasiaOfProstate,,,,,,,,,,,,,,
GR113-104,causeOfDeath,InflammatoryDiseasesOfFemalePelvicOrgans,,,,,,,,,,,,,,
GR113-105,causeOfDeath,Pregnancy_ChildbirthAndThePuerperium,,,,,,,,,,,,,,
GR113-106,causeOfDeath,PregnancyWithAbortiveOutcome,,,,,,,,,,,,,,
GR113-107,causeOfDeath,OtherComplicationsOfPregnancy_ChildbirthAndThePuerperium,,,,,,,,,,,,,,
GR113-108,causeOfDeath,CertainConditionsOriginatingInThePerinatalPeriod,,,,,,,,,,,,,,
GR113-109,causeOfDeath,CongenitalMalformations_DeformationsAndChromosomalAbnormalities,,,,,,,,,,,,,,
GR113-110,causeOfDeath,Symptoms_SignsAndAbnormalClinicalAndLaboratoryFindings_NotElsewhereClassified,,,,,,,,,,,,,,
GR113-112,causeOfDeath,Accidents(UnintentionalInjuries),,,,,,,,,,,,,,
GR113-113,causeOfDeath,TransportAccidents,,,,,,,,,,,,,,
GR113-114,causeOfDeath,MotorVehicleAccidents,,,,,,,,,,,,,,
GR113-115,causeOfDeath,OtherLandTransportAccidents,,,,,,,,,,,,,,
GR113-116,causeOfDeath,Water_AirAndSpace_AndOtherAndUnspecifiedTransportAccidentsAndTheirSequelae,,,,,,,,,,,,,,
GR113-117,causeOfDeath,NontransportAccidents,,,,,,,,,,,,,,
GR113-118,causeOfDeath,Falls,,,,,,,,,,,,,,
GR113-119,causeOfDeath,AccidentalDischargeOfFirearms,,,,,,,,,,,,,,
GR113-120,causeOfDeath,AccidentalDrowningAndSubmersion,,,,,,,,,,,,,,
GR113-121,causeOfDeath,AccidentalExposureToSmoke_FireAndFlames,,,,,,,,,,,,,,
GR113-122,causeOfDeath,AccidentalPoisoningAndExposureToNoxiousSubstances,,,,,,,,,,,,,,
GR113-123,causeOfDeath,OtherAndUnspecifiedNontransportAccidentsAndTheirSequelae,,,,,,,,,,,,,,
GR113-124,causeOfDeath,Suicide,,,,,,,,,,,,,,
GR113-125,causeOfDeath,IntentionalSelf-Harm(Suicide)ByDischargeOfFirearms,,,,,,,,,,,,,,
GR113-126,causeOfDeath,IntentionalSelf-Harm(Suicide)ByOtherAndUnspecifiedMeansAndTheirSequelae,,,,,,,,,,,,,,
GR113-127,causeOfDeath,Assault(Homicide),,,,,,,,,,,,,,
GR113-128,causeOfDeath,Assault(Homicide)ByDischargeOfFirearms,,,,,,,,,,,,,,
GR113-129,causeOfDeath,Assault(Homicide)ByOtherAndUnspecifiedMeansAndTheirSequelae,,,,,,,,,,,,,,
GR113-130,causeOfDeath,LegalIntervention,,,,,,,,,,,,,,
GR113-131,causeOfDeath,EventsOfUndeterminedIntent,,,,,,,,,,,,,,
GR113-132,causeOfDeath,DischargeOfFirearms_UndeterminedIntent,,,,,,,,,,,,,,
GR113-133,causeOfDeath,OtherAndUnspecifiedEventsOfUndeterminedIntentAndTheirSequelae,,,,,,,,,,,,,,
GR113-135,causeOfDeath,ComplicationsOfMedicalAndSurgicalCare,,,,,,,,,,,,,,
GR113-136,causeOfDeath,EnterocolitisDueToClostridiumDifficile,,,,,,,,,,,,,,
GR113-137,causeOfDeath,COVID_19,,,,,,,,,,,,,,
GR113-111,causeOfDeath,AllOtherDiseases(Residual),,,,,,,,,,,,,,
GR113-013,causeOfDeath,Arthropod-BorneViralEncephalitis,,,,,,,,,,,,,,
GR113-017,causeOfDeath,Malaria,,,,,,,,,,,,,,
GR113-134,causeOfDeath,OperationsOfWarAndTheirSequelae,,,,,,,,,,,,,,
GR113-101,causeOfDeath,OtherDisordersOfKidney,,,,,,,,,,,,,,
GR113-002,causeOfDeath,ShigellosisAndAmebiasis,,,,,,,,,,,,,,
GR113-011,causeOfDeath,Syphilis,,,,,,,,,,,,,,
GR113-007,causeOfDeath,WhoopingCough,,,,,,,,,,,,,,
GR113-008,causeOfDeath,ScarletFeverAndErysipelas,,,,,,,,,,,,,,
GR113-012,causeOfDeath,AcutePoliomyelitis,,,,,,,,,,,,,,
GR113-014,causeOfDeath,Measles,,,,,,,,,,,,,,
