observationAbout,observationDate,value,variableMeasured,unit,scalingFactor,measurementMethod,observationPeriod
country/USA,2011,1.7,Count_Person_BachelorOfScienceOrTechnologyOrEngineeringOrMathematics_EducationalAttainmentCollegeGraduate_Female_TwoOrMoreRaces_AsAFractionOf_Count_Person_EducationalAttainmentCollegeGraduate_Female,Percent,100,,
country/USA,2011,239003,Count_Person_BachelorOfScienceOrTechnologyOrEngineeringOrMathematics_EducationalAttainmentCollegeGraduate_Male_WhiteAlone,,,,
country/USA,2011,11.2,Count_Person_BachelorOfScienceOrTechnologyOrEngineeringOrMathematics_EducationalAttainmentCollegeGraduate_Female_Black_AsAFractionOf_Count_Person_EducationalAttainmentCollegeGraduate_Female,Percent,100,,
country/USA,2011,6.8,Count_Person_BachelorOfScienceOrTechnologyOrEngineeringOrMathematics_EducationalAttainmentMastersDegree_HispanicOrLatino_AsAFractionOf_Count_Person_EducationalAttainmentMastersDegree,Percent,100,,
country/USA,2011,14.8,Count_Person_BachelorOfScienceOrTechnologyOrEngineeringOrMathematics_EducationalAttainmentBachelorsDegree_Female_Asian_AsAFractionOf_Count_Person_EducationalAttainmentBachelorsDegree_Female,Percent,100,,
country/USA,2011,13.3,Count_Person_BachelorOfScienceOrTechnologyOrEngineeringOrMathematics_EducationalAttainmentCollegeGraduate_Female_Asian_AsAFractionOf_Count_Person_EducationalAttainmentCollegeGraduate_Female,Percent,100,,
country/USA,2011,7022,Count_Person_BachelorOfScienceOrTechnologyOrEngineeringOrMathematics_EducationalAttainmentDoctorateDegree_Male_WhiteAlone,,,,
country/USA,2011,1.6,Count_Person_BachelorOfScienceOrTechnologyOrEngineeringOrMathematics_EducationalAttainment9ThTo12ThGradeNoDiploma_Female_AmericanIndianOrAlaskaNativeAlone_AsAFractionOf_Count_Person_EducationalAttainment9ThTo12ThGradeNoDiploma_Female,Percent,100,,
country/USA,2011,315,Count_Person_BachelorOfScienceOrTechnologyOrEngineeringOrMathematics_EducationalAttainmentAssociatesDegree_HawaiianNativeOrPacificIslander,,,,
country/USA,2011,187978,Count_Person_BachelorOfScienceOrTechnologyOrEngineeringOrMathematics_EducationalAttainmentBachelorsDegree_WhiteAlone,,,,
country/USA,2011,2512,Count_Person_BachelorOfScienceOrTechnologyOrEngineeringOrMathematics_EducationalAttainmentMastersDegree_Male_Black,,,,
country/USA,2011,2471,Count_Person_BachelorOfScienceOrTechnologyOrEngineeringOrMathematics_EducationalAttainment9ThTo12ThGradeNoDiploma_Asian,,,,
country/USA,2011,22313,Count_Person_BachelorOfScienceOrTechnologyOrEngineeringOrMathematics_EducationalAttainmentBachelorsDegree_HispanicOrLatino,,,,
country/USA,2011,1.3,Count_Person_BachelorOfScienceOrTechnologyOrEngineeringOrMathematics_EducationalAttainment9ThTo12ThGradeNoDiploma_TwoOrMoreRaces_AsAFractionOf_Count_Person_EducationalAttainment_9ThTo12ThGradeNoDiploma,Percent,100,,
country/USA,2011,14.9,Count_Person_BachelorOfScienceOrTechnologyOrEngineeringOrMathematics_EducationalAttainmentDoctorateDegree_Female_Asian_AsAFractionOf_Count_Person_EducationalAttainmentDoctorateDegree_Female,Percent,100,,
country/USA,2011,1526,Count_Person_BachelorOfScienceOrTechnologyOrEngineeringOrMathematics_EducationalAttainmentBachelorsDegree_AmericanIndianOrAlaskaNativeAlone,,,,
country/USA,2011,844,Count_Person_BachelorOfScienceOrTechnologyOrEngineeringOrMathematics_EducationalAttainmentDoctorateDegree_Female_Asian,,,,
country/USA,2011,6.9,Count_Person_BachelorOfScienceOrTechnologyOrEngineeringOrMathematics_EducationalAttainmentAssociatesDegree_Female_Asian_AsAFractionOf_Count_Person_EducationalAttainmentAssociatesDegree_Female,Percent,100,,
country/USA,2011,0.5,Count_Person_BachelorOfScienceOrTechnologyOrEngineeringOrMathematics_EducationalAttainmentAssociatesDegree_Female_HawaiianNativeOrPacificIslander_AsAFractionOf_Count_Person_EducationalAttainmentAssociatesDegree_Female,Percent,100,,
country/USA,2011,20689,Count_Person_BachelorOfScienceOrTechnologyOrEngineeringOrMathematics_EducationalAttainmentBachelorsDegree_Male_Asian,,,,
country/USA,2011,0.2,Count_Person_BachelorOfScienceOrTechnologyOrEngineeringOrMathematics_EducationalAttainmentMastersDegree_HawaiianNativeOrPacificIslander_AsAFractionOf_Count_Person_EducationalAttainmentMastersDegree,Percent,100,,
country/USA,2011,329,Count_Person_BachelorOfScienceOrTechnologyOrEngineeringOrMathematics_EducationalAttainmentDoctorateDegree_HispanicOrLatino_Female,,,,
country/USA,2011,8,Count_Person_BachelorOfScienceOrTechnologyOrEngineeringOrMathematics_EducationalAttainmentDoctorateDegree_Female_HawaiianNativeOrPacificIslander,,,,
country/USA,2011,785,Count_Person_BachelorOfScienceOrTechnologyOrEngineeringOrMathematics_EducationalAttainment9ThTo12ThGradeNoDiploma_TwoOrMoreRaces,,,,
country/USA,2011,17,Count_Person_BachelorOfScienceOrTechnologyOrEngineeringOrMathematics_EducationalAttainmentDoctorateDegree_HawaiianNativeOrPacificIslander,,,,
country/USA,2011,11.5,Count_Person_BachelorOfScienceOrTechnologyOrEngineeringOrMathematics_EducationalAttainmentDoctorateDegree_Male_AsianOrPacificIslander_AsAFractionOf_Count_Person_EducationalAttainmentDoctorateDegree_Male,Percent,100,,
country/USA,2011,0.5,Count_Person_BachelorOfScienceOrTechnologyOrEngineeringOrMathematics_EducationalAttainmentMastersDegree_AmericanIndianOrAlaskaNativeAlone_AsAFractionOf_Count_Person_EducationalAttainmentMastersDegree,Percent,100,,
country/USA,2011,21105,Count_Person_BachelorOfScienceOrTechnologyOrEngineeringOrMathematics_EducationalAttainmentBachelorsDegree_Male_AsianOrPacificIslander,,,,
country/USA,2011,336,Count_Person_BachelorOfScienceOrTechnologyOrEngineeringOrMathematics_EducationalAttainmentDoctorateDegree_Female_Black,,,,
country/USA,2011,8924,Count_Person_BachelorOfScienceOrTechnologyOrEngineeringOrMathematics_EducationalAttainmentAssociatesDegree_HispanicOrLatino_Male,,,,
country/USA,2011,0.6,Count_Person_BachelorOfScienceOrTechnologyOrEngineeringOrMathematics_EducationalAttainmentBachelorsDegree_Female_AmericanIndianOrAlaskaNativeAlone_AsAFractionOf_Count_Person_EducationalAttainmentBachelorsDegree_Female,Percent,100,,
country/USA,2011,14521,Count_Person_BachelorOfScienceOrTechnologyOrEngineeringOrMathematics_EducationalAttainmentBachelorsDegree_Female_AsianOrPacificIslander,,,,
country/USA,2011,163,Count_Person_BachelorOfScienceOrTechnologyOrEngineeringOrMathematics_EducationalAttainmentDoctorateDegree_TwoOrMoreRaces,,,,
country/USA,2011,0.3,Count_Person_BachelorOfScienceOrTechnologyOrEngineeringOrMathematics_EducationalAttainmentCollegeGraduate_Male_HawaiianNativeOrPacificIslander_AsAFractionOf_Count_Person_EducationalAttainmentCollegeGraduate_Male,Percent,100,,
country/USA,2011,67.5,Count_Person_BachelorOfScienceOrTechnologyOrEngineeringOrMathematics_EducationalAttainmentCollegeGraduate_WhiteAlone_AsAFractionOf_Count_Person_EducationalAttainmentCollegeGraduate,Percent,100,,
country/USA,2011,3.8,Count_Person_BachelorOfScienceOrTechnologyOrEngineeringOrMathematics_EducationalAttainment9ThTo12ThGradeNoDiploma_Male_Asian_AsAFractionOf_Count_Person_EducationalAttainment9ThTo12ThGradeNoDiploma_Male,Percent,100,,
country/USA,2011,1070,Count_Person_BachelorOfScienceOrTechnologyOrEngineeringOrMathematics_EducationalAttainmentAssociatesDegree_Male_NonUSResident,,,,
country/USA,2011,1.8,Count_Person_BachelorOfScienceOrTechnologyOrEngineeringOrMathematics_EducationalAttainmentBachelorsDegree_Female_TwoOrMoreRaces_AsAFractionOf_Count_Person_EducationalAttainmentBachelorsDegree_Female,Percent,100,,
country/USA,2011,0.3,Count_Person_BachelorOfScienceOrTechnologyOrEngineeringOrMathematics_EducationalAttainment9ThTo12ThGradeNoDiploma_Female_HawaiianNativeOrPacificIslander_AsAFractionOf_Count_Person_EducationalAttainment9ThTo12ThGradeNoDiploma_Female,Percent,100,,
country/USA,2011,922,Count_Person_BachelorOfScienceOrTechnologyOrEngineeringOrMathematics_EducationalAttainmentBachelorsDegree_Male_AmericanIndianOrAlaskaNativeAlone,,,,
country/USA,2011,7487,Count_Person_BachelorOfScienceOrTechnologyOrEngineeringOrMathematics_EducationalAttainment9ThTo12ThGradeNoDiploma_Male_Black,,,,
country/USA,2011,4.6,Count_Person_BachelorOfScienceOrTechnologyOrEngineeringOrMathematics_EducationalAttainmentAssociatesDegree_Male_Asian_AsAFractionOf_Count_Person_EducationalAttainmentAssociatesDegree_Male,Percent,100,,
country/USA,2011,25528,Count_Person_BachelorOfScienceOrTechnologyOrEngineeringOrMathematics_EducationalAttainmentDoctorateDegree,,,,
country/USA,2011,43268,Count_Person_BachelorOfScienceOrTechnologyOrEngineeringOrMathematics_EducationalAttainmentCollegeGraduate_Male_NonUSResident,,,,
country/USA,2011,3117,Count_Person_BachelorOfScienceOrTechnologyOrEngineeringOrMathematics_EducationalAttainmentAssociatesDegree_Female_Black,,,,
country/USA,2011,1.5,Count_Person_BachelorOfScienceOrTechnologyOrEngineeringOrMathematics_EducationalAttainment9ThTo12ThGradeNoDiploma_Female_TwoOrMoreRaces_AsAFractionOf_Count_Person_EducationalAttainment9ThTo12ThGradeNoDiploma_Female,Percent,100,,
country/USA,2011,330,Count_Person_BachelorOfScienceOrTechnologyOrEngineeringOrMathematics_EducationalAttainmentDoctorateDegree_Male_Black,,,,
country/USA,2011,3859,Count_Person_BachelorOfScienceOrTechnologyOrEngineeringOrMathematics_EducationalAttainmentMastersDegree_HispanicOrLatino,,,,
country/USA,2011,2674,Count_Person_BachelorOfScienceOrTechnologyOrEngineeringOrMathematics_EducationalAttainment9ThTo12ThGradeNoDiploma_AsianOrPacificIslander,,,,
country/USA,2011,5,Count_Person_BachelorOfScienceOrTechnologyOrEngineeringOrMathematics_EducationalAttainmentAssociatesDegree_Asian_AsAFractionOf_Count_Person_EducationalAttainmentAssociatesDegree,Percent,100,,
country/USA,2011,1504,Count_Person_BachelorOfScienceOrTechnologyOrEngineeringOrMathematics_EducationalAttainmentAssociatesDegree_NonUSResident,,,,
country/USA,2011,1.1,Count_Person_BachelorOfScienceOrTechnologyOrEngineeringOrMathematics_EducationalAttainmentAssociatesDegree_AmericanIndianOrAlaskaNativeAlone_AsAFractionOf_Count_Person_EducationalAttainmentAssociatesDegree,Percent,100,,
country/USA,2011,15.5,Count_Person_BachelorOfScienceOrTechnologyOrEngineeringOrMathematics_EducationalAttainment9ThTo12ThGradeNoDiploma_Male_Black_AsAFractionOf_Count_Person_EducationalAttainment9ThTo12ThGradeNoDiploma_Male,Percent,100,,
country/USA,2011,9.5,Count_Person_BachelorOfScienceOrTechnologyOrEngineeringOrMathematics_EducationalAttainmentCollegeGraduate_Black_AsAFractionOf_Count_Person_EducationalAttainmentCollegeGraduate,Percent,100,,
country/USA,2011,47004,Count_Person_BachelorOfScienceOrTechnologyOrEngineeringOrMathematics_EducationalAttainmentCollegeGraduate_Black,,,,
country/USA,2011,374,Count_Person_BachelorOfScienceOrTechnologyOrEngineeringOrMathematics_EducationalAttainmentMastersDegree_Female_TwoOrMoreRaces,,,,
country/USA,2011,15,Count_Person_BachelorOfScienceOrTechnologyOrEngineeringOrMathematics_EducationalAttainmentMastersDegree_AsianOrPacificIslander_AsAFractionOf_Count_Person_EducationalAttainmentMastersDegree,Percent,100,,
country/USA,2011,3293,Count_Person_BachelorOfScienceOrTechnologyOrEngineeringOrMathematics_EducationalAttainmentAssociatesDegree_Male_Asian,,,,
country/USA,2011,48658,Count_Person_BachelorOfScienceOrTechnologyOrEngineeringOrMathematics_EducationalAttainment9ThTo12ThGradeNoDiploma_Male,,,,
country/USA,2011,556696,Count_Person_BachelorOfScienceOrTechnologyOrEngineeringOrMathematics_EducationalAttainmentCollegeGraduate,,,,
country/USA,2011,9.6,Count_Person_BachelorOfScienceOrTechnologyOrEngineeringOrMathematics_EducationalAttainmentCollegeGraduate_HispanicOrLatino_Female_AsAFractionOf_Count_Person_EducationalAttainmentCollegeGraduate_Female,Percent,100,,
country/USA,2011,11646,Count_Person_BachelorOfScienceOrTechnologyOrEngineeringOrMathematics_EducationalAttainment9ThTo12ThGradeNoDiploma_Female,,,,
country/USA,2011,12.9,Count_Person_BachelorOfScienceOrTechnologyOrEngineeringOrMathematics_EducationalAttainmentDoctorateDegree_AsianOrPacificIslander_AsAFractionOf_Count_Person_EducationalAttainmentDoctorateDegree,Percent,100,,
country/USA,2011,18.9,Count_Person_BachelorOfScienceOrTechnologyOrEngineeringOrMathematics_EducationalAttainment9ThTo12ThGradeNoDiploma_Female_Black_AsAFractionOf_Count_Person_EducationalAttainment9ThTo12ThGradeNoDiploma_Female,Percent,100,,
country/USA,2011,1871,Count_Person_BachelorOfScienceOrTechnologyOrEngineeringOrMathematics_EducationalAttainmentMastersDegree_Female_Black,,,,
country/USA,2011,27720,Count_Person_BachelorOfScienceOrTechnologyOrEngineeringOrMathematics_EducationalAttainmentMastersDegree_Male_WhiteAlone,,,,
country/USA,2011,8,Count_Person_BachelorOfScienceOrTechnologyOrEngineeringOrMathematics_EducationalAttainmentBachelorsDegree_HispanicOrLatino_Male_AsAFractionOf_Count_Person_EducationalAttainmentBachelorsDegree_Male,Percent,100,,
country/USA,2011,5,Count_Person_BachelorOfScienceOrTechnologyOrEngineeringOrMathematics_EducationalAttainmentDoctorateDegree_HispanicOrLatino_Male_AsAFractionOf_Count_Person_EducationalAttainmentDoctorateDegree_Male,Percent,100,,
country/USA,2011,9,Count_Person_BachelorOfScienceOrTechnologyOrEngineeringOrMathematics_EducationalAttainmentDoctorateDegree_Male_HawaiianNativeOrPacificIslander,,,,
country/USA,2011,2679,Count_Person_BachelorOfScienceOrTechnologyOrEngineeringOrMathematics_EducationalAttainmentBachelorsDegree_Male_TwoOrMoreRaces,,,,
country/USA,2011,4399,Count_Person_BachelorOfScienceOrTechnologyOrEngineeringOrMathematics_EducationalAttainmentBachelorsDegree_TwoOrMoreRaces,,,,
country/USA,2011,228,Count_Person_BachelorOfScienceOrTechnologyOrEngineeringOrMathematics_EducationalAttainmentAssociatesDegree_Male_HawaiianNativeOrPacificIslander,,,,
country/USA,2011,71.6,Count_Person_BachelorOfScienceOrTechnologyOrEngineeringOrMathematics_EducationalAttainmentDoctorateDegree_Female_WhiteAlone_AsAFractionOf_Count_Person_EducationalAttainmentDoctorateDegree_Female,Percent,100,,
country/USA,2011,0.3,Count_Person_BachelorOfScienceOrTechnologyOrEngineeringOrMathematics_EducationalAttainmentAssociatesDegree_Male_HawaiianNativeOrPacificIslander_AsAFractionOf_Count_Person_EducationalAttainmentAssociatesDegree_Male,Percent,100,,
country/USA,2011,63,Count_Person_BachelorOfScienceOrTechnologyOrEngineeringOrMathematics_EducationalAttainmentCollegeGraduate_Female_WhiteAlone_AsAFractionOf_Count_Person_EducationalAttainmentCollegeGraduate_Female,Percent,100,,
country/USA,2011,2178,Count_Person_BachelorOfScienceOrTechnologyOrEngineeringOrMathematics_EducationalAttainment9ThTo12ThGradeNoDiploma_Female_Black,,,,
country/USA,2011,92464,Count_Person_BachelorOfScienceOrTechnologyOrEngineeringOrMathematics_EducationalAttainmentAssociatesDegree,,,,
country/USA,2011,28699,Count_Person_BachelorOfScienceOrTechnologyOrEngineeringOrMathematics_EducationalAttainment9ThTo12ThGradeNoDiploma_Male_WhiteAlone,,,,
country/USA,2011,34851,Count_Person_BachelorOfScienceOrTechnologyOrEngineeringOrMathematics_EducationalAttainmentCollegeGraduate_HispanicOrLatino_Male,,,,
country/USA,2011,1372,Count_Person_BachelorOfScienceOrTechnologyOrEngineeringOrMathematics_EducationalAttainmentAssociatesDegree_Female_AsianOrPacificIslander,,,,
country/USA,2011,10.4,Count_Person_BachelorOfScienceOrTechnologyOrEngineeringOrMathematics_EducationalAttainmentMastersDegree_Female_Black_AsAFractionOf_Count_Person_EducationalAttainmentMastersDegree_Female,Percent,100,,
country/USA,2011,387705,Count_Person_BachelorOfScienceOrTechnologyOrEngineeringOrMathematics_EducationalAttainmentCollegeGraduate_Male,,,,
country/USA,2011,69.1,Count_Person_BachelorOfScienceOrTechnologyOrEngineeringOrMathematics_EducationalAttainmentBachelorsDegree_WhiteAlone_AsAFractionOf_Count_Person_EducationalAttainmentBachelorsDegree,Percent,100,,
country/USA,2011,7.4,Count_Person_BachelorOfScienceOrTechnologyOrEngineeringOrMathematics_EducationalAttainmentBachelorsDegree_Black_AsAFractionOf_Count_Person_EducationalAttainmentBachelorsDegree,Percent,100,,
country/USA,2011,49262,Count_Person_BachelorOfScienceOrTechnologyOrEngineeringOrMathematics_EducationalAttainmentCollegeGraduate_HispanicOrLatino,,,,
country/USA,2011,12,Count_Person_BachelorOfScienceOrTechnologyOrEngineeringOrMathematics_EducationalAttainmentBachelorsDegree_Male_AsianOrPacificIslander_AsAFractionOf_Count_Person_EducationalAttainmentBachelorsDegree_Male,Percent,100,,
country/USA,2011,15.1,Count_Person_BachelorOfScienceOrTechnologyOrEngineeringOrMathematics_EducationalAttainmentDoctorateDegree_Female_AsianOrPacificIslander_AsAFractionOf_Count_Person_EducationalAttainmentDoctorateDegree_Female,Percent,100,,
country/USA,2011,2624,Count_Person_BachelorOfScienceOrTechnologyOrEngineeringOrMathematics_EducationalAttainmentCollegeGraduate_Female_TwoOrMoreRaces,,,,
country/USA,2011,465,Count_Person_BachelorOfScienceOrTechnologyOrEngineeringOrMathematics_EducationalAttainment9ThTo12ThGradeNoDiploma_NonUSResident,,,,
country/USA,2011,703,Count_Person_BachelorOfScienceOrTechnologyOrEngineeringOrMathematics_EducationalAttainmentAssociatesDegree_Male_AmericanIndianOrAlaskaNativeAlone,,,,
country/USA,2011,14243,Count_Person_BachelorOfScienceOrTechnologyOrEngineeringOrMathematics_EducationalAttainmentBachelorsDegree_Female_Asian,,,,
country/USA,2011,455,Count_Person_BachelorOfScienceOrTechnologyOrEngineeringOrMathematics_EducationalAttainmentCollegeGraduate_Female_HawaiianNativeOrPacificIslander,,,,
country/USA,2011,52336,Count_Person_BachelorOfScienceOrTechnologyOrEngineeringOrMathematics_EducationalAttainmentCollegeGraduate_Asian,,,,
country/USA,2011,14.1,Count_Person_BachelorOfScienceOrTechnologyOrEngineeringOrMathematics_EducationalAttainmentMastersDegree_Male_Asian_AsAFractionOf_Count_Person_EducationalAttainmentMastersDegree_Male,Percent,100,,
country/USA,2011,69.4,Count_Person_BachelorOfScienceOrTechnologyOrEngineeringOrMathematics_EducationalAttainmentCollegeGraduate_Male_WhiteAlone_AsAFractionOf_Count_Person_EducationalAttainmentCollegeGraduate_Male,Percent,100,,
country/USA,2011,10.6,Count_Person_BachelorOfScienceOrTechnologyOrEngineeringOrMathematics_EducationalAttainmentCollegeGraduate_Asian_AsAFractionOf_Count_Person_EducationalAttainmentCollegeGraduate,Percent,100,,
country/USA,2011,35626,Count_Person_BachelorOfScienceOrTechnologyOrEngineeringOrMathematics_EducationalAttainmentBachelorsDegree_AsianOrPacificIslander,,,,
country/USA,2011,6.2,Count_Person_BachelorOfScienceOrTechnologyOrEngineeringOrMathematics_EducationalAttainmentBachelorsDegree_Male_Black_AsAFractionOf_Count_Person_EducationalAttainmentBachelorsDegree_Male,Percent,100,,
country/USA,2011,1886,Count_Person_BachelorOfScienceOrTechnologyOrEngineeringOrMathematics_EducationalAttainmentDoctorateDegree_AsianOrPacificIslander,,,,
country/USA,2011,0.4,Count_Person_BachelorOfScienceOrTechnologyOrEngineeringOrMathematics_EducationalAttainmentMastersDegree_Male_AmericanIndianOrAlaskaNativeAlone_AsAFractionOf_Count_Person_EducationalAttainmentMastersDegree_Male,Percent,100,,
country/USA,2011,12.3,Count_Person_BachelorOfScienceOrTechnologyOrEngineeringOrMathematics_EducationalAttainmentAssociatesDegree_HispanicOrLatino_Male_AsAFractionOf_Count_Person_EducationalAttainmentAssociatesDegree_Male,Percent,100,,
country/USA,2011,9.7,Count_Person_BachelorOfScienceOrTechnologyOrEngineeringOrMathematics_EducationalAttainmentCollegeGraduate_Male_AsianOrPacificIslander_AsAFractionOf_Count_Person_EducationalAttainmentCollegeGraduate_Male,Percent,100,,
country/USA,2011,1.2,Count_Person_BachelorOfScienceOrTechnologyOrEngineeringOrMathematics_EducationalAttainmentAssociatesDegree_TwoOrMoreRaces_AsAFractionOf_Count_Person_EducationalAttainmentAssociatesDegree,Percent,100,,
country/USA,2011,0.5,Count_Person_BachelorOfScienceOrTechnologyOrEngineeringOrMathematics_EducationalAttainmentBachelorsDegree_Male_AmericanIndianOrAlaskaNativeAlone_AsAFractionOf_Count_Person_EducationalAttainmentBachelorsDegree_Male,Percent,100,,
country/USA,2011,13.1,Count_Person_BachelorOfScienceOrTechnologyOrEngineeringOrMathematics_EducationalAttainmentBachelorsDegree_AsianOrPacificIslander_AsAFractionOf_Count_Person_EducationalAttainmentBachelorsDegree,Percent,100,,
country/USA,2011,957,Count_Person_BachelorOfScienceOrTechnologyOrEngineeringOrMathematics_EducationalAttainmentAssociatesDegree_AmericanIndianOrAlaskaNativeAlone,,,,
country/USA,2011,1034,Count_Person_BachelorOfScienceOrTechnologyOrEngineeringOrMathematics_EducationalAttainmentDoctorateDegree_Male_AsianOrPacificIslander,,,,
country/USA,2011,6.4,Count_Person_BachelorOfScienceOrTechnologyOrEngineeringOrMathematics_EducationalAttainmentMastersDegree_Male_Black_AsAFractionOf_Count_Person_EducationalAttainmentMastersDegree_Male,Percent,100,,
country/USA,2011,761,Count_Person_BachelorOfScienceOrTechnologyOrEngineeringOrMathematics_EducationalAttainmentAssociatesDegree_Male_TwoOrMoreRaces,,,,
country/USA,2011,64.2,Count_Person_BachelorOfScienceOrTechnologyOrEngineeringOrMathematics_EducationalAttainmentBachelorsDegree_Female_WhiteAlone_AsAFractionOf_Count_Person_EducationalAttainmentBachelorsDegree_Female,Percent,100,,
country/USA,2011,1.7,Count_Person_BachelorOfScienceOrTechnologyOrEngineeringOrMathematics_EducationalAttainmentMastersDegree_TwoOrMoreRaces_AsAFractionOf_Count_Person_EducationalAttainmentMastersDegree,Percent,100,,
country/USA,2011,87,Count_Person_BachelorOfScienceOrTechnologyOrEngineeringOrMathematics_EducationalAttainmentAssociatesDegree_Female_HawaiianNativeOrPacificIslander,,,,
country/USA,2011,434,Count_Person_BachelorOfScienceOrTechnologyOrEngineeringOrMathematics_EducationalAttainmentAssociatesDegree_Female_NonUSResident,,,,
country/USA,2011,0.1,Count_Person_BachelorOfScienceOrTechnologyOrEngineeringOrMathematics_EducationalAttainmentDoctorateDegree_Male_HawaiianNativeOrPacificIslander_AsAFractionOf_Count_Person_EducationalAttainmentDoctorateDegree_Male,Percent,100,,
country/USA,2011,615,Count_Person_BachelorOfScienceOrTechnologyOrEngineeringOrMathematics_EducationalAttainmentMastersDegree_Male_TwoOrMoreRaces,,,,
country/USA,2011,16.7,Count_Person_BachelorOfScienceOrTechnologyOrEngineeringOrMathematics_EducationalAttainmentAssociatesDegree_Female_Black_AsAFractionOf_Count_Person_EducationalAttainmentAssociatesDegree_Female,Percent,100,,
country/USA,2011,5.9,Count_Person_BachelorOfScienceOrTechnologyOrEngineeringOrMathematics_EducationalAttainmentDoctorateDegree_Female_Black_AsAFractionOf_Count_Person_EducationalAttainmentDoctorateDegree_Female,Percent,100,,
country/USA,2011,179,Count_Person_BachelorOfScienceOrTechnologyOrEngineeringOrMathematics_EducationalAttainment9ThTo12ThGradeNoDiploma_Female_AmericanIndianOrAlaskaNativeAlone,,,,
country/USA,2011,68.4,Count_Person_BachelorOfScienceOrTechnologyOrEngineeringOrMathematics_EducationalAttainmentAssociatesDegree_Male_WhiteAlone_AsAFractionOf_Count_Person_EducationalAttainmentAssociatesDegree_Male,Percent,100,,
country/USA,2011,0.8,Count_Person_BachelorOfScienceOrTechnologyOrEngineeringOrMathematics_EducationalAttainmentCollegeGraduate_Female_AmericanIndianOrAlaskaNativeAlone_AsAFractionOf_Count_Person_EducationalAttainmentCollegeGraduate_Female,Percent,100,,
country/USA,2011,68.3,Count_Person_BachelorOfScienceOrTechnologyOrEngineeringOrMathematics_EducationalAttainmentMastersDegree_WhiteAlone_AsAFractionOf_Count_Person_EducationalAttainmentMastersDegree,Percent,100,,
country/USA,2011,1291,Count_Person_BachelorOfScienceOrTechnologyOrEngineeringOrMathematics_EducationalAttainmentMastersDegree_HispanicOrLatino_Female,,,,
country/USA,2011,9.7,Count_Person_BachelorOfScienceOrTechnologyOrEngineeringOrMathematics_EducationalAttainmentBachelorsDegree_Female_Black_AsAFractionOf_Count_Person_EducationalAttainmentBachelorsDegree_Female,Percent,100,,
