MI:0004: AffinityChromatographyTechnology
MI:0592: Ipfam
MI:0601: SequenceOntology
MI:0602: ChemicalFootprinting
MI:0603: DimethylsulphateFootprinting
MI:0604: PotassiumPermanganateFootprinting
MI:0605: EnzymaticFootprinting
MI:0606: DnaseIFootprinting
MI:0655: LambdaRepressorTwoHybrid
MI:0657: SystematicEvolutionOfLigandsByExponentialEnrichment
MI:0663: ConfocalMicroscopy
MI:0670: Imex
MI:0675: InternationalProteinIndex
MI:0676: TandemAffinityPurification
MI:0678: AntibodyArray
MI:0683: SequenceDatabase
MI:0686: UnspecifiedMethod
MI:0695: SandwichImmunoassay
MI:0696: PolymeraseAssay
MI:0697: DnaDirectedDnaPolymeraseAssay
MI:0698: DnaDirectedRnaPolymeraseAssay
MI:0699: RnaDirectedDnaPolymeraseAssay
MI:0700: RnaDirectedRnaPolymeraseAssay
MI:0701: DnaStrandElongation
MI:0702: Panther
MI:0703: Gene3D
MI:0726: ReverseTwoHybrid
MI:0727: LexaB52Complementation
MI:0728: Gal4Vp16Complementation
MI:0729: LuminescenceBasedMammalianInteractomeMapping
MI:0730: Pubchem
MI:0731: 3DRepertoire
MI:0737: PeptideSequenceDatabase
MI:0738: Pride
MI:0741: PeptideAtlas
MI:0742: Gpm
MI:0794: Synthetic
MI:0795: Asynthetic
MI:0796: Suppression
MI:0797: Epistasis
MI:0805: Wwpdb
MI:0806: Pdbj
MI:0807: ComigrationInGelElectrophoresis
MI:0808: ComigrationInSdsPage
MI:0809: BimolecularFluorescenceComplementation
MI:0813: ProximityLigationAssay
MI:0814: ProteaseAccessibilityLaddering
MI:0824: XRayPowderDiffraction
MI:0825: XRayFiberDiffraction
MI:0826: XRayScattering
MI:0827: XRayTomography
MI:0830: TissueList
MI:0831: CellOntology
MI:0841: PhosphotransferaseAssay
MI:0844: PhosphotransferReaction
MI:0849: NcbiTaxonomy
MI:0850: Encode
MI:0851: ProteinGenbankIdentifier
MI:0852: NucleotideGenbankIdentifier
MI:0858: ImmunodepletedCoimmunoprecipitation
MI:0859: ForceSpectroscopy
MI:0860: GenbankIdentifier
MI:0864: Brenda
MI:0870: DemethylaseAssay
MI:0871: DemethylationReaction
MI:0872: AtomicForceMicroscopy
MI:0879: NucleosideTriphosphataseAssay
MI:0880: AtpaseAssay
MI:0881: NucleosideTriphosphataseReaction
MI:0882: AtpaseReaction
MI:0883: GtpaseReaction
MI:0887: HistoneAcetylaseAssay
MI:0888: SmallAngleNeutronScattering
MI:0889: AcetylaseAssay
MI:0891: NeutronFiberDiffraction
MI:0892: SolidPhaseAssay
MI:0893: NeutronDiffraction
MI:0894: ElectronDiffraction
MI:0895: ProteinKinaseAComplementation
MI:0897: ProteinModificationOntology
MI:0899: P3FilamentousPhageDisplay
MI:0900: P8FilamentousPhageDisplay
MI:0901: IsotopeLabelFootprinting
MI:0902: RnaCleavage
MI:0903: Mpidb
MI:0905: AmplifiedLuminescentProximityHomogeneousAssay
MI:0910: NucleicAcidCleavage
MI:0914: Association
MI:0915: PhysicalAssociation
MI:0916: LexaVp16Complementation
MI:0917: Matrixdb
MI:0920: RibonucleaseAssay
MI:0921: SurfacePlasmonResonanceArray
MI:0923: Irefindex
MI:0924: Camjedb
MI:0928: FilterTrapAssay
MI:0932: Noninteractive
MI:0933: NegativeGeneticInteraction
MI:0934: NeutralGeneticInteraction
MI:0935: PositiveGeneticInteraction
MI:0936: Emdb
MI:0938: RheologyMeasurement
MI:0942: UniprotTaxonomy
MI:0943: DetectionByMassSpectrometry
MI:0944: MassSpectrometryStudyOfHydrogenDeuteriumExchange
MI:0945: OxidoreductaseActivityElectronTransferReaction
MI:0946: MiniaturizedImmunoprecipitation
MI:0947: BeadAggregationAssay
MI:0949: GdpGtpExchangeAssay
MI:0953: Polymerization
MI:0963: InteractomeParallelAffinityCapture
MI:0964: InfraredSpectroscopy
MI:0965: 2DInfraredSpectrometry
MI:0966: UltravioletVisibleSpectroscopy
MI:0967: ChemblCompound
MI:0968: Biosensor
MI:0969: BioLayerInterferometry
MI:0971: Phosphopantetheinylation
MI:0972: PhosphopantetheinylaseAssay
MI:0973: ImexSource
MI:0974: Innatedb
MI:0976: TotalInternalReflectionFluorescenceSpectroscopy
MI:0979: OxidoreductaseAssay
MI:0982: ElectrophoreticMobilityBasedMethod
MI:0983: Gemma
MI:0984: DeaminationAssay
MI:0985: DeaminationReaction
MI:0986: NucleicAcidStrandElongationReaction
MI:0987: RnaStrandElongation
MI:0989: AmidaseAssay
MI:0990: CleavageAssay
MI:0991: LipoproteinCleavageAssay
MI:0992: DefarnesylaseAssay
MI:0993: DegeranylaseAssay
MI:0994: DemyristoylaseAssay
MI:0995: DepalmitoylaseAssay
MI:0996: DeformylaseAssay
MI:0997: UbiquitinaseAssay
MI:0998: DeubiquitinaseAssay
MI:0999: FormylaseAssay
MI:1000: HydroxylaseAssay
MI:1001: LipidaseAssay
MI:1002: MyristoylaseAssay
MI:1003: GeranylgeranylaseAssay
MI:1004: PalmitoylaseAssay
MI:1005: AdpRibosylaseAssay
MI:1006: DeglycosylaseAssay
MI:1007: GlycosylaseAssay
MI:1008: SumoylaseAssay
MI:1009: DesumoylaseAssay
MI:1010: NeddylaseAssay
MI:1011: DeneddylaseAssay
MI:1013: Ensemblgenomes
MI:1014: String
MI:1015: Dictybase
MI:1016: FluorescenceRecoveryAfterPhotobleaching
MI:1017: RnaImmunoprecipitation
MI:1018: Deltamass
MI:1019: ProteinPhosphataseAssay
MI:1022: FieldFlowFractionation
MI:1024: ScanningElectronMicroscopy
MI:1025: Unimod
MI:1026: DiphtamidaseAssay
MI:1027: DiphtamidationReaction
MI:1028: ModifiedChromatinImmunoprecipitation
MI:1029: ProteomicsOfIsolatedChromatinSegments
MI:1030: ExcimerFluorescence
MI:1031: ProteinFoldingUnfolding
MI:1034: NucleaseAssay
MI:1035: DeoxyribonucleaseAssay
MI:1036: NucleotideExchangeAssay
MI:1037: SplitRenillaLuciferaseComplementation
MI:1038: SiliconNanowireFieldEffectTransistor
MI:1042: PubmedCentral
MI:1043: Flannotator
MI:1044: RiceGenomeAnnotationProject
MI:1063: Consensuspathdb
MI:1075: Beilstein
MI:1076: Einecs
MI:1077: MerckIndex
MI:1078: Plantgdb
MI:1079: Ratmap
MI:1080: Tair
MI:1081: TigrJcvi
MI:1082: Zfin
MI:1083: Cog
MI:1086: EquilibriumDialysis
MI:1087: MonoclonalAntibodyBlockade
MI:1088: PhenotypeBasedDetectionAssay
MI:1089: NuclearTranslocationAssay
MI:1094: GenomeDatabases
MI:1095: Hgnc
MI:1096: ProteinSequenceDatabases
MI:1097: Uniprot
MI:1098: UniprotSwissProt
MI:1099: UniprotTrembl
MI:1103: SolutionStateNmr
MI:1104: SolidStateNmr
MI:1105: Biocyc
MI:1106: PathwaysDatabase
MI:1107: Pid
MI:1108: Biocarta
MI:1109: GeneDatabase
MI:1110: PredictedInteraction
MI:1111: TwoHybridBaitOrPreyPoolingApproach
MI:1112: TwoHybridPreyPoolingApproach
MI:1113: TwoHybridBaitAndPreyPoolingApproach
MI:1114: Virhostnet
MI:1115: Spike
MI:1116: Genemania
MI:1117: Topfind
MI:1123: Bindingdb
MI:1124: Pathwaycommons
MI:1126: SelfInteraction
MI:1127: PutativeSelfInteraction
MI:1137: CarboxylationAssay
MI:1138: DecarboxylationAssay
MI:1139: CarboxylationReaction
MI:1140: DecarboxylationReaction
MI:1142: AminoacylationAssay
MI:1143: AminoacylationReaction
MI:1145: PhospholipaseAssay
MI:1146: PhospholipaseReaction
MI:1147: AmpylationAssay
MI:1148: AmpylationReaction
MI:1176: SequenceBasedPredictionOfGeneRegulatoryRegionBindingSites
MI:1177: PhylogeneticProfilingOfPredictedGeneRegulatoryRegionBindingSites
MI:1178: SequenceBasedPredictionOfBindingOfTranscriptionFactorToTranscribedGeneRegulatoryElements
MI:1183: NucleaseFootprinting
MI:1184: DnaAdenineMethyltransferaseIdentification
MI:1187: Damip
MI:1189: MethylationInterferenceAssay
MI:1190: HydroxyRadicalFootprinting
MI:1191: UltravioletUvFootprinting
MI:1192: AntisenseOligonucleotides
MI:1203: SplitLuciferaseComplementation
MI:1204: SplitFireflyLuciferaseComplementation
MI:1211: LiposomeBindingAssay
MI:1218: ChromosomeConformationCaptureAssay
MI:1219: EnzymeMediatedActivationOfRadicalSources
MI:1222: Mbinfo
MI:1229: UridylationAssay
MI:1230: UridylationReaction
MI:1232: AggregationAssay
MI:1235: ThermalShiftBinding
MI:1236: ProlineIsomeraseAssay
MI:1237: ProlineIsomerizationReaction
MI:1238: MassSpectrometryStudiesOfSubunitExchange
MI:1246: IonMobilityMassSpectrometryOfComplexes
MI:1247: MicroscaleThermophoresis
MI:1249: IsomeraseAssay
MI:1250: IsomeraseReaction
MI:1251: MethylmalonylCoaIsomeraseReaction
MI:1252: MethylmalonylCoaIsomeraseAsfSay
MI:1262: Iid
MI:1263: MolecularConnections
MI:1264: Ntnu
MI:1271: Enhancement
MI:1272: PositiveEpistasis
MI:1273: MaximalEpistasis
MI:1274: MinimalEpistasis
MI:1275: NeutralEpistasis
MI:1276: OpposingEpistasis
MI:1277: QualitativeEpistasis
MI:1278: MutualEnhancement
MI:1279: UnilateralEnhancement
MI:1280: MutualSuppression
MI:1281: MutualSuppressionComplete
MI:1282: MutualSuppressionPartial
MI:1283: SuppressionEnhancement
MI:1284: QuantitativeEpistasis
MI:1286: OverSuppression
MI:1287: MutualOverSuppression
MI:1288: OverSuppressionEnhancement
MI:1289: PhenotypeBias
MI:1290: SuppressionComplete
MI:1291: SuppressionPartial
MI:1292: UnilateralSuppression
MI:1293: UnilateralSuppressionComplete
MI:1294: UnilateralSuppressionPartial
MI:1295: UnilateralOverSuppression
MI:1309: DeAdpRibosylationAssay
MI:1310: DeAdpRibosylationReaction
MI:1311: DifferentialScanningCalorimetry
MI:1312: AutPage
MI:1313: ProximityLabellingTechnology
MI:1314: ProximityDependentBiotinIdentification
MI:1317: EukaryoticLinearMotifResource
MI:1320: MembraneYeastTwoHybrid
MI:1321: Ire1Reconstruction
MI:1325: SulfurtransferaseAssay
MI:1327: SulfurtransferReaction
MI:1331: EvidenceOntology
MI:1332: BhfUcl
MI:1335: Hpidb
MI:1336: ExperimentDatabase
MI:1337: Efo
MI:1340: HumanOrfeomeCollection
MI:1342: Qcmd
MI:1346: Bmrb
MI:1347: ProteinOntology
MI:1348: ChemblTarget
MI:1349: Chembl
MI:1350: Orphanet
MI:1352: UracilInterferenceAssay
MI:1354: LipaseAssay
MI:1355: LipidCleavage
MI:1356: ValidatedTwoHybrid
MI:1357: Rnacentral
MI:2002: Drugbank
MI:2011: CasRegistryNumber
MI:2012: KeggCompound
MI:2015: Pharmgkb
MI:2016: BindSmid
MI:2017: Heterogen
MI:2020: CanadianDrugIdentificationNumber
MI:2021: RxlistLink
MI:2054: BioactiveEntityReference
MI:2153: PdrHealth
MI:2154: Wikipedia
MI:2164: Mind
MI:2165: Bar
MI:2166: Ai
MI:2167: KineticExclusionAssay
MI:2168: ConditionalSiteLabelling
MI:2169: LuminiscenceTechnology
MI:2170: BimolecularLuminiscenceComplementation
MI:2171: ComplementedDonorAcceptorResonanceEnergyTransfer
MI:2172: Aspgd
MI:2173: Cgd
MI:2174: Ecoliwiki
MI:2175: Genedb
MI:2176: Gramene
MI:2177: Pombase
MI:2178: Agi_Locuscode
MI:2180: Agbase
MI:2181: Cacao
MI:2182: Dflat
MI:2183: Go_Central
MI:2184: Mtbbase
MI:2185: ParkinsonsukUcl
MI:2186: Alut
MI:2187: Ri
MI:2188: ParClip
MI:2189: Avexis
MI:2191: ClipInteraction
MI:2192: ClipSeq
MI:2193: Iclip
MI:2194: Crac
MI:2195: Clash
MI:2196: QuartzCrystalMicrobalance
MI:2197: ProbeInteractionAssay
MI:2198: LabellingAssay
MI:2199: SpecificSiteLabellingTechnology
MI:2200: Primesdb
MI:2205: Pir
MI:2212: Proteomexchange
MI:2213: SuperResolutionMicroscopy
MI:2214: Signor
MI:2215: BarcodeFusionGeneticsTwoHybrid
MI:2216: DeampylationAssay
MI:2222: InferenceBySocioAffinityScoring
MI:2223: InferenceByQuantitativeCoPurification
MI:2224: ChemicalRnaModificationPlusBasePairingPrediction
MI:2225: Zinc
MI:2228: Ceitec
MI:2231: Coexpression
MI:2232: MolecularAssociation
MI:2252: GuanineNucleotideExchangeFactorReaction
MI:2263: SNitrosylation
MI:2270: Signalink
MI:2271: Edam
MI:2272: Tyrosinylation
MI:2273: Tyrosination
MI:2277: CrTwoHybrid
MI:2279: ComplexPortal
MI:2280: DeamidationReaction
MI:2281: DeamidationAssay
MI:2283: SouthwesternBlotting
MI:2285: MirnaInterferenceLuciferaseReporterAssay
MI:2286: FunctionalAssociation
MI:2288: DapSeq
MI:2289: Virotrap
MI:2290: OpticalTweezers
MI:2291: AtomicForceMicroscopyCantilevers
MI:2292: MagneticTweezers
MI:2318: ForceMeasurement
MI:2319: SurfaceForceMeasurement
MI:2320: ArukUcl
MI:2323: Kiss
MI:2324: Dbsnp
MI:2329: HydrophobicInteractionChromatography
MI:2338: ElectronTomography
MI:2339: ElectronMicroscopy3DSingleParticleReconstruction
MI:2340: ElectronMicroscopy3DHelicalReconstruction
MI:2344: Rhea
MI:2347: Biorxiv
MI:2348: SequentialBretFret
MI:2349: Clinvar
MI:2350: Empiar
