name,sv,unit
"WHEAT, SPRING, DURUM - PRODUCTION, MEASURED IN BU",dcs:Amount_FarmInventory_DurumWheatForGrain,dcs:Bushel
"WHEAT, SPRING, (EXCL DURUM) - OPERATIONS WITH AREA HARVESTED",dcs:Count_Farm_OtherSpringWheatForGrain,
"WHEAT, SPRING, (EXCL DURUM) - ACRES HARVESTED",dcs:Area_Farm_OtherSpringWheatForGrain,dcs:Acre
"WHEAT, SPRING, (EXCL DURUM) - PRODUCTION, MEASURED IN BU",dcs:Amount_FarmInventory_OtherSpringWheatForGrain,dcs:Bushel
"WHEAT, WINTER - OPERATIONS WITH AREA HARVESTED",dcs:Count_Farm_WinterWheatForGrain,
"WHEAT, WINTER - ACRES HARVESTED",dcs:Area_Farm_WinterWheatForGrain,dcs:Acre
"WHEAT, WINTER - PRODUCTION, MEASURED IN BU",dcs:AmountFarmInventory_WinterWheatForGrain,dcs:Bushel
OATS - OPERATIONS WITH AREA HARVESTED,dcs:Count_Farm_OatsForGrain,
OATS - ACRES HARVESTED,dcs:Area_Farm_OatsForGrain,dcs:Acre
"OATS - PRODUCTION, MEASURED IN BU",dcs:Amount_FarmInventory_OatsForGrain,dcs:Bushel
BARLEY - OPERATIONS WITH AREA HARVESTED,dcs:Count_Farm_BarleyForGrain,
BARLEY - ACRES HARVESTED,dcs:Area_Farm_BarleyForGrain,dcs:Acre
"BARLEY - PRODUCTION, MEASURED IN BU",dcs:Amount_FarmInventory_BarleyForGrain,dcs:Bushel
"SORGHUM, GRAIN - OPERATIONS WITH AREA HARVESTED",dcs:Count_Farm_SorghumForGrain,
"SORGHUM, GRAIN - ACRES HARVESTED",dcs:Area_Farm_SorghumForGrain,dcs:Acre
"SORGHUM, GRAIN - PRODUCTION, MEASURED IN BU",dcs:Amount_FarmInventory_SorghumForGrain,dcs:Bushel
"SORGHUM, SILAGE - OPERATIONS WITH AREA HARVESTED",dcs:Count_Farm_SorghumForSilageOrGreenchop,
"SORGHUM, SILAGE - ACRES HARVESTED",dcs:Area_Farm_SorghumForSilageOrGreenchop,dcs:Acre
"SORGHUM, SILAGE - PRODUCTION, MEASURED IN TONS",dcs:Amount_FarmInventory_SorghumForSilageOrGreenchop,dcs:Ton
"BEANS, DRY EDIBLE, (EXCL CHICKPEAS & LIMA) - OPERATIONS WITH AREA HARVESTED",dcs:Count_Farm_DryEdibleBeans,
"BEANS, DRY EDIBLE, (EXCL CHICKPEAS & LIMA) - ACRES HARVESTED",dcs:Area_Farm_DryEdibleBeans,dcs:Acre
"BEANS, DRY EDIBLE, (EXCL CHICKPEAS & LIMA) - PRODUCTION, MEASURED IN CWT",dcs:Amount_FarmInventory_DryEdibleBeans,dcs:Hundredweight
COTTON - OPERATIONS WITH AREA HARVESTED,dcs:Count_Farm_Cotton,
COTTON - ACRES HARVESTED,dcs:Area_Farm_Cotton,dcs:Acre
"COTTON - PRODUCTION, MEASURED IN BALES",dcs:Amount_FarmInventory_Cotton,dcs:Bale
"COTTON, UPLAND - OPERATIONS WITH AREA HARVESTED",dcs:Count_Farm_UplandCotton,
"COTTON, UPLAND - ACRES HARVESTED",dcs:Area_Farm_UplandCotton,dcs:Acre
"COTTON, UPLAND - PRODUCTION, MEASURED IN BALES",dcs:Amount_FarmInventory_UplandCotton,dcs:Bale
"COTTON, PIMA - OPERATIONS WITH AREA HARVESTED",dcs:Count_Farm_PimaCotton,
"COTTON, PIMA - ACRES HARVESTED",dcs:Area_Farm_PimaCotton,dcs:Acre
"COTTON, PIMA - PRODUCTION, MEASURED IN BALES",dcs:Amount_FarmInventory_PimaCotton,dcs:Bale
HAY & HAYLAGE - OPERATIONS WITH AREA HARVESTED,dcs:Count_Farm_Forage,
HAY & HAYLAGE - ACRES HARVESTED,dcs:Area_Farm_Forage,dcs:Acre
"HAY & HAYLAGE - PRODUCTION, MEASURED IN TONS, DRY BASIS",dcs:Amount_FarmInventory_Forage,dcs:Ton
RICE - OPERATIONS WITH AREA HARVESTED,dcs:Count_Farm_Rice,
RICE - ACRES HARVESTED,dcs:Area_Farm_Rice,dcs:Acre
"RICE - PRODUCTION, MEASURED IN CWT",dcs:Amount_FarmInventory_Rice,dcs:Hundredweight
SUNFLOWER - OPERATIONS WITH AREA HARVESTED,dcs:Count_Farm_SunflowerSeed,
SUNFLOWER - ACRES HARVESTED,dcs:Area_Farm_SunflowerSeed,dcs:Acre
"SUNFLOWER - PRODUCTION, MEASURED IN LB",dcs:Amount_FarmInventory_SunflowerSeed,dcs:Pound
SUGARBEETS - OPERATIONS WITH AREA HARVESTED,dcs:Count_Farm_SugarbeetsForSugar,
SUGARBEETS - ACRES HARVESTED,dcs:Area_Farm_SugarbeetsForSugar,dcs:Acre
"SUGARBEETS - PRODUCTION, MEASURED IN TONS",dcs:Amount_FarmInventory_SugarbeetsForSugar,dcs:Ton
PEANUTS - OPERATIONS WITH AREA HARVESTED,dcs:Count_Farm_PeanutsForNuts,
PEANUTS - ACRES HARVESTED,dcs:Area_Farm_PeanutsForNuts,dcs:Acre
"PEANUTS - PRODUCTION, MEASURED IN LB",dcs:Amount_FarmInventory_PeanutsForNuts,dcs:Pound
"VEGETABLE TOTALS, IN THE OPEN - OPERATIONS WITH AREA HARVESTED",dcs:Count_Farm_VegetablesHarvestedForSale,
"VEGETABLE TOTALS, IN THE OPEN - ACRES HARVESTED",dcs:Area_Farm_VegetablesHarvestedForSale,dcs:Acre
POTATOES - OPERATIONS WITH AREA HARVESTED,dcs:Count_Farm_Potatoes,
POTATOES - ACRES HARVESTED,dcs:Area_Farm_Potatoes,dcs:Acre
SWEET POTATOES - OPERATIONS WITH AREA HARVESTED,dcs:Count_Farm_SweetPotatoes,
SWEET POTATOES - ACRES HARVESTED,dcs:Area_Farm_SweetPotatoes,dcs:Acre
ORCHARDS - OPERATIONS WITH AREA BEARING & NON-BEARING,dcs:Count_Farm_Orchards,
ORCHARDS - ACRES BEARING & NON-BEARING,dcs:Area_Farm_Orchards,dcs:Acre
"PRODUCERS, HISPANIC - NUMBER OF OPERATIONS",dcs:Count_Farm_Producer_HispanicOrLatino,
"PRODUCERS, HISPANIC - NUMBER OF PRODUCERS",dcs:Count_Person_Producer_HispanicOrLatino,
"PRODUCERS, HISPANIC - ACRES OPERATED",dcs:Area_Farm_Producer_HispanicOrLatino,dcs:Acre
"PRODUCERS, PRINCIPAL, HISPANIC - NUMBER OF OPERATIONS",dcs:Count_Farm_PrimaryProducer_HispanicOrLatino,
"PRODUCERS, PRINCIPAL, HISPANIC - ACRES OPERATED",dcs:Area_Farm_PrimaryProducer_HispanicOrLatino,dcs:Acre
"PRODUCERS, AMERICAN INDIAN OR ALASKA NATIVE - NUMBER OF OPERATIONS",dcs:Count_Farm_Producer_AmericanIndianOrAlaskaNativeAlone,
"PRODUCERS, AMERICAN INDIAN OR ALASKA NATIVE - NUMBER OF PRODUCERS",dcs:Count_Person_Producer_AmericanIndianOrAlaskaNativeAlone,
"PRODUCERS, AMERICAN INDIAN OR ALASKA NATIVE - ACRES OPERATED",dcs:Area_Farm_Producer_AmericanIndianOrAlaskaNativeAlone,dcs:Acre
"PRODUCERS, PRINCIPAL, AMERICAN INDIAN OR ALASKA NATIVE - NUMBER OF OPERATIONS",dcs:Count_Farm_PrimaryProducer_AmericanIndianOrAlaskaNativeAlone,
"PRODUCERS, PRINCIPAL, AMERICAN INDIAN OR ALASKA NATIVE - ACRES OPERATED",dcs:Area_Farm_PrimaryProducer_AmericanIndianOrAlaskaNativeAlone,dcs:Acre
"PRODUCERS, ASIAN - NUMBER OF OPERATIONS",dcs:Count_Farm_Producer_AsianAlone,
"PRODUCERS, ASIAN - NUMBER OF PRODUCERS",dcs:Count_Person_Producer_AsianAlone,
"PRODUCERS, ASIAN - ACRES OPERATED",dcs:Area_Farm_Producer_AsianAlone,dcs:Acre
"PRODUCERS, PRINCIPAL, ASIAN - NUMBER OF OPERATIONS",dcs:Count_Farm_PrimaryProducer_AsianAlone,
"PRODUCERS, PRINCIPAL, ASIAN - ACRES OPERATED",dcs:Area_Farm_PrimaryProducer_AsianAlone,dcs:Acre
"PRODUCERS, BLACK OR AFRICAN AMERICAN - NUMBER OF OPERATIONS",dcs:Count_Farm_Producer_BlackOrAfricanAmericanAlone,
"PRODUCERS, BLACK OR AFRICAN AMERICAN - NUMBER OF PRODUCERS",dcs:Count_Person_Producer_BlackOrAfricanAmericanAlone,
"PRODUCERS, BLACK OR AFRICAN AMERICAN - ACRES OPERATED",dcs:Area_Farm_Producer_BlackOrAfricanAmericanAlone,dcs:Acre
"PRODUCERS, PRINCIPAL, BLACK OR AFRICAN AMERICAN - NUMBER OF OPERATIONS",dcs:Count_Farm_PrimaryProducer_BlackOrAfricanAmericanAlone,
"PRODUCERS, PRINCIPAL, BLACK OR AFRICAN AMERICAN - ACRES OPERATED",dcs:Area_Farm_PrimaryProducer_BlackOrAfricanAmericanAlone,dcs:Acre
"PRODUCERS, NATIVE HAWAIIAN OR OTHER PACIFIC ISLANDER - NUMBER OF OPERATIONS",dcs:Count_Farm_Producer_NativeHawaiianOrOtherPacificIslanderAlone,
"PRODUCERS, NATIVE HAWAIIAN OR OTHER PACIFIC ISLANDER - NUMBER OF PRODUCERS",dcs:Count_Person_Producer_NativeHawaiianOrOtherPacificIslanderAlone,
"PRODUCERS, NATIVE HAWAIIAN OR OTHER PACIFIC ISLANDER - ACRES OPERATED",dcs:Area_Farm_Producer_NativeHawaiianOrOtherPacificIslanderAlone,dcs:Acre
"PRODUCERS, PRINCIPAL, NATIVE HAWAIIAN OR OTHER PACIFIC ISLANDER - NUMBER OF OPERATIONS",dcs:Count_Farm_PrimaryProducer_NativeHawaiianOrOtherPacificIslanderAlone,
"PRODUCERS, PRINCIPAL, NATIVE HAWAIIAN OR OTHER PACIFIC ISLANDER - ACRES OPERATED",dcs:Area_Farm_PrimaryProducer_NativeHawaiianOrOtherPacificIslanderAlone,dcs:Acre
"PRODUCERS, WHITE - NUMBER OF OPERATIONS",dcs:Count_Farm_Producer_WhiteAlone,
"PRODUCERS, WHITE - NUMBER OF PRODUCERS",dcs:Count_Person_Producer_WhiteAlone,
"PRODUCERS, WHITE - ACRES OPERATED",dcs:Area_Farm_Producer_WhiteAlone,dcs:Acre
"PRODUCERS, PRINCIPAL, WHITE - NUMBER OF OPERATIONS",dcs:Count_Farm_PrimaryProducer_WhiteAlone,
"PRODUCERS, PRINCIPAL, WHITE - ACRES OPERATED",dcs:Area_Farm_PrimaryProducer_WhiteAlone,dcs:Acre
"PRODUCERS, MULTI-RACE - NUMBER OF OPERATIONS",dcs:Count_Farm_Producer_TwoOrMoreRaces,
"PRODUCERS, MULTI-RACE - NUMBER OF PRODUCERS",dcs:Count_Person_Producer_TwoOrMoreRaces,
"PRODUCERS, MULTI-RACE - ACRES OPERATED",dcs:Area_Farm_Producer_TwoOrMoreRaces,dcs:Acre
"PRODUCERS, PRINCIPAL, MULTI-RACE - NUMBER OF OPERATIONS",dcs:Count_Farm_PrimaryProducer_TwoOrMoreRaces,
"PRODUCERS, PRINCIPAL, MULTI-RACE - ACRES OPERATED",dcs:Area_Farm_PrimaryProducer_TwoOrMoreRaces,dcs:Acre
