key,p1,v1,p2,v2,p3,v3,p4,v4,p5,v5
Scarlet Fever,medicalCondition,ScarletFever,,,,,,,,
Meningococcal Meningtis,medicalCondition,MeningococcalMeningitis,,,,,,,,
Legionellosis,medicalCondition,Legionellosis,,,,,,,,
Vibrio Vulnificus Sepsis,medicalCondition,VibrioVulnificusSepsis,,,,,,,,
Epidemic typhus,medicalCondition,EpidemicTyphus,,,,,,,,
Murine typhus,medicalCondition,MurineTyphus,,,,,,,,
Scrub typhus,medicalCondition,ScrubTyphus,,,,,,,,
Leptospirosis,medicalCondition,Leptospirosis,,,,,,,,
Brucellosis,medicalCondition,Brucellosis,,,,,,,,
Anthrax,medicalCondition,Anthrax,,,,,,,,
Rabies,medicalCondition,Rabies,,,,,,,,
Hemorrhagic Fever With Renal Sysdrome,medicalCondition,HemorrhagicFeverWithRenalSyndrome,,,,,,,,
Primary Syphilis,medicalCondition,PrimarySyphilis,,,,,,,,
Secondary Syphilis,medicalCondition,SecondarySyphilis,,,,,,,,
Congenital Syphilis,medicalCondition,CongenitalSyphilis,,,,,,,,
Creutzfeldt-Jakob Disease,medicalCondition,CreutzfeldtJakobDisease,,,,,,,,
Tuberculosis,medicalCondition,Tuberculosis,,,,,,,,
Leprosy,medicalCondition,Leprosy,,,,,,,,
HIV/AIDS,medicalCondition,AIDS,,,,,,,,
Viral Hepatitis C,medicalCondition,HepatitisC,,,,,,,,
VRSA infection,medicalCondition,VancomycinIntermediateStaphylococcusAureus,,,,,,,,
CRE infection,medicalCondition,CarbapenemResistantEnterobacteriaceae,,,,,,,,
Plague,medicalCondition,Plague,,,,,,,,
Yellow Fever,medicalCondition,YellowFever,,,,,,,,
Dengue Fever,medicalCondition,DengueFever,,,,,,,,
Viral Hemorrhagic Fever,medicalCondition,ViralHemorrhagicFever,,,,,,,,
Smallpox,medicalCondition,Smallpox,,,,,,,,
Botulism,medicalCondition,Botulism,,,,,,,,
Severe Acute Respiratory Syndrome (SARS),medicalCondition,SevereAcuteRespiratorySyndrome,,,,,,,,
Animal Influenza Infection In Humans,medicalCondition,AnimalInfluenza,,,,,,,,
Novel influenza,medicalCondition,NovelInfluenza,,,,,,,,
Tularemia,medicalCondition,Tularemia,,,,,,,,
Q Fever,medicalCondition,QFever,,,,,,,,
West Nile Fever,medicalCondition,WestNileFever,,,,,,,,
Novel Infectious Syndrome,medicalCondition,NovelInfectiousSyndrome,,,,,,,,
Lyme Disease,medicalCondition,LymeDisease,,,,,,,,
Thck-Borne Encephalitis,medicalCondition,TickBorneEncephalitis,,,,,,,,
Melioidosis,medicalCondition,Melioidosis,,,,,,,,
Chikungunya Fever,medicalCondition,Chikungunya,,,,,,,,
Severe Fever with Thrombocytopenia Syndrome,medicalCondition,Thrombocytopenia,,,,,,,,
Middle East Respiratory Syndrome,medicalCondition,MiddleEastRespiratorySyndrome,,,,,,,,
Zika virus infection,medicalCondition,ZikaVirusDisease,,,,,,,,
Leishmaniasis,medicalCondition,Leishmaniasis,,,,,,,,
Babesiosis,medicalCondition,Babesiosis,,,,,,,,
Cryptosporidiosis,medicalCondition,Cryptosporidiosis,,,,,,,,
Schistosomiasis,medicalCondition,Schistosomiasis,,,,,,,,
2010,observationDate,2010,value,{Number},,,,,,
2011,observationDate,2011,value,{Number},,,,,,
2012,observationDate,2012,value,{Number},,,,,,
2013,observationDate,2013,value,{Number},,,,,,
2014,observationDate,2014,value,{Number},,,,,,
2015,observationDate,2015,value,{Number},,,,,,
2016,observationDate,2016,value,{Number},,,,,,
2017,observationDate,2017,value,{Number},,,,,,
2018,observationDate,2018,value,{Number},,,,,,
2019,observationDate,2019,value,{Number},,,,,,
By Notifiable Disease Group(1),#ignore,Not Needed,value,1,,,,,,
By Notifiable Disease Group(2):Sub Summary,#ignore,Not Needed,,,,,,,,
