observationAbout,observationDate,value,variableMeasured,unit,scalingFactor,input
country/NGA,2007,298,dcid:Count_Person_Nigerian,,,
country/NGA,2008,280,dcid:Count_Person_Nigerian,,,
country/NGA,2009,116,dcid:Count_Person_Nigerian,,,
country/NGA,2010,461,dcid:Count_Person_Nigerian,,,
country/NGA,2011,321,dcid:Count_Person_Nigerian,,,
country/NGA,2007,1,dcid:Count_Person_NonNigerian,,,
country/NGA,2009,1,dcid:Count_Person_NonNigerian,,,
country/NGA,2010,1,dcid:Count_Person_NonNigerian,,,
country/NGA,2011,1,dcid:Count_Person_NonNigerian,,,
country/NGA,2007,13100,dcid:Count_Person_Nigerian_MedicalPractitionerOccupation,,,
country/NGA,2008,15513,dcid:Count_Person_Nigerian_MedicalPractitionerOccupation,,,
country/NGA,2009,19322,dcid:Count_Person_Nigerian_MedicalPractitionerOccupation,,,
country/NGA,2010,23924,dcid:Count_Person_Nigerian_MedicalPractitionerOccupation,,,
country/NGA,2011,28368,dcid:Count_Person_Nigerian_MedicalPractitionerOccupation,,,
country/NGA,2012,20284,dcid:Count_Person_Nigerian_MedicalPractitionerOccupation,,,
country/NGA,2007,44,dcid:Count_Person_NonNigerian_MedicalPractitionerOccupation,,,
country/NGA,2008,52,dcid:Count_Person_NonNigerian_MedicalPractitionerOccupation,,,
country/NGA,2009,59,dcid:Count_Person_NonNigerian_MedicalPractitionerOccupation,,,
country/NGA,2010,55,dcid:Count_Person_NonNigerian_MedicalPractitionerOccupation,,,
country/NGA,2011,101,dcid:Count_Person_NonNigerian_MedicalPractitionerOccupation,,,
country/NGA,2012,129,dcid:Count_Person_NonNigerian_MedicalPractitionerOccupation,,,
country/NGA,2007,3509,dcid:Count_Person_NurseOccupation_GeneralNurse,,,
country/NGA,2008,4471,dcid:Count_Person_NurseOccupation_GeneralNurse,,,
country/NGA,2009,3599,dcid:Count_Person_NurseOccupation_GeneralNurse,,,
country/NGA,2010,3506,dcid:Count_Person_NurseOccupation_GeneralNurse,,,
country/NGA,2011,4053,dcid:Count_Person_NurseOccupation_GeneralNurse,,,
country/NGA,2007,1379,dcid:Count_Person_NurseOccupation_Midwives,,,
country/NGA,2008,1737,dcid:Count_Person_NurseOccupation_Midwives,,,
country/NGA,2009,1554,dcid:Count_Person_NurseOccupation_Midwives,,,
country/NGA,2010,2700,dcid:Count_Person_NurseOccupation_Midwives,,,
country/NGA,2011,2651,dcid:Count_Person_NurseOccupation_Midwives,,,
country/NGA,2007,154,dcid:Count_Person_NurseOccupation_Perioperative,,,
country/NGA,2008,158,dcid:Count_Person_NurseOccupation_Perioperative,,,
country/NGA,2009,131,dcid:Count_Person_NurseOccupation_Perioperative,,,
country/NGA,2010,155,dcid:Count_Person_NurseOccupation_Perioperative,,,
country/NGA,2011,150,dcid:Count_Person_NurseOccupation_Perioperative,,,
country/NGA,2008,70,dcid:Count_Person_NurseOccupation_CardioThoracicNurses,,,
country/NGA,2009,20,dcid:Count_Person_NurseOccupation_CardioThoracicNurses,,,
country/NGA,2010,17,dcid:Count_Person_NurseOccupation_CardioThoracicNurses,,,
country/NGA,2011,23,dcid:Count_Person_NurseOccupation_CardioThoracicNurses,,,
country/NGA,2008,33,dcid:Count_Person_NurseOccupation_IntensiveCareNurse,,,
country/NGA,2009,22,dcid:Count_Person_NurseOccupation_IntensiveCareNurse,,,
country/NGA,2010,38,dcid:Count_Person_NurseOccupation_IntensiveCareNurse,,,
country/NGA,2011,30,dcid:Count_Person_NurseOccupation_IntensiveCareNurse,,,
country/NGA,2008,4,dcid:Count_Person_NurseOccupation_ENT,,,
country/NGA,2009,22,dcid:Count_Person_NurseOccupation_ENT,,,
country/NGA,2010,53,dcid:Count_Person_NurseOccupation_ENT,,,
country/NGA,2011,79,dcid:Count_Person_NurseOccupation_ENT,,,
country/NGA,2007,158,dcid:Count_Person_NurseOccupation_PublicHealth,,,
country/NGA,2008,177,dcid:Count_Person_NurseOccupation_PublicHealth,,,
country/NGA,2009,155,dcid:Count_Person_NurseOccupation_PublicHealth,,,
country/NGA,2010,284,dcid:Count_Person_NurseOccupation_PublicHealth,,,
country/NGA,2011,160,dcid:Count_Person_NurseOccupation_PublicHealth,,,
country/NGA,2008,38,dcid:Count_Person_NurseOccupation_BurnsAndPlastic,,,
country/NGA,2009,29,dcid:Count_Person_NurseOccupation_BurnsAndPlastic,,,
country/NGA,2010,32,dcid:Count_Person_NurseOccupation_BurnsAndPlastic,,,
country/NGA,2011,27,dcid:Count_Person_NurseOccupation_BurnsAndPlastic,,,
country/NGA,2007,59,dcid:Count_Person_NurseOccupation_Orthopedic,,,
country/NGA,2008,49,dcid:Count_Person_NurseOccupation_Orthopedic,,,
country/NGA,2009,63,dcid:Count_Person_NurseOccupation_Orthopedic,,,
country/NGA,2010,111,dcid:Count_Person_NurseOccupation_Orthopedic,,,
country/NGA,2011,83,dcid:Count_Person_NurseOccupation_Orthopedic,,,
country/NGA,2007,60,dcid:Count_Person_NurseOccupation_Anasthetic,,,
country/NGA,2008,96,dcid:Count_Person_NurseOccupation_Anasthetic,,,
country/NGA,2009,66,dcid:Count_Person_NurseOccupation_Anasthetic,,,
country/NGA,2010,58,dcid:Count_Person_NurseOccupation_Anasthetic,,,
country/NGA,2011,48,dcid:Count_Person_NurseOccupation_Anasthetic,,,
country/NGA,2007,12,dcid:Count_Person_NurseOccupation_Administrator,,,
country/NGA,2008,34,dcid:Count_Person_NurseOccupation_Administrator,,,
country/NGA,2009,12,dcid:Count_Person_NurseOccupation_Administrator,,,
country/NGA,2010,5,dcid:Count_Person_NurseOccupation_Administrator,,,
country/NGA,2011,11,dcid:Count_Person_NurseOccupation_Administrator,,,
country/NGA,2007,11,dcid:Count_Person_NurseOccupation_MidwifeEducators,,,
country/NGA,2008,24,dcid:Count_Person_NurseOccupation_MidwifeEducators,,,
country/NGA,2009,17,dcid:Count_Person_NurseOccupation_MidwifeEducators,,,
country/NGA,2010,17,dcid:Count_Person_NurseOccupation_MidwifeEducators,,,
country/NGA,2011,25,dcid:Count_Person_NurseOccupation_MidwifeEducators,,,
country/NGA,2007,53,dcid:Count_Person_NurseOccupation_Pediatric,,,
country/NGA,2008,75,dcid:Count_Person_NurseOccupation_Pediatric,,,
country/NGA,2009,56,dcid:Count_Person_NurseOccupation_Pediatric,,,
country/NGA,2010,102,dcid:Count_Person_NurseOccupation_Pediatric,,,
country/NGA,2011,66,dcid:Count_Person_NurseOccupation_Pediatric,,,
country/NGA,2007,47,dcid:Count_Person_NurseOccupation_Educator,,,
country/NGA,2008,61,dcid:Count_Person_NurseOccupation_Educator,,,
country/NGA,2009,47,dcid:Count_Person_NurseOccupation_Educator,,,
country/NGA,2010,41,dcid:Count_Person_NurseOccupation_Educator,,,
country/NGA,2011,70,dcid:Count_Person_NurseOccupation_Educator,,,
country/NGA,2007,1,dcid:Count_Person_NurseOccupation_PublicHealthNurseEducators,,,
country/NGA,2008,3,dcid:Count_Person_NurseOccupation_PublicHealthNurseEducators,,,
country/NGA,2009,2,dcid:Count_Person_NurseOccupation_PublicHealthNurseEducators,,,
country/NGA,2010,1,dcid:Count_Person_NurseOccupation_PublicHealthNurseEducators,,,
country/NGA,2011,5,dcid:Count_Person_NurseOccupation_PublicHealthNurseEducators,,,
country/NGA,2007,193,dcid:Count_Person_NurseOccupation_Psychatric,,,
country/NGA,2008,144,dcid:Count_Person_NurseOccupation_Psychatric,,,
country/NGA,2009,159,dcid:Count_Person_NurseOccupation_Psychatric,,,
country/NGA,2010,263,dcid:Count_Person_NurseOccupation_Psychatric,,,
country/NGA,2011,203,dcid:Count_Person_NurseOccupation_Psychatric,,,
country/NGA,2007,95,dcid:Count_Person_NurseOccupation_Ophthalmic,,,
country/NGA,2008,89,dcid:Count_Person_NurseOccupation_Ophthalmic,,,
country/NGA,2009,56,dcid:Count_Person_NurseOccupation_Ophthalmic,,,
country/NGA,2010,98,dcid:Count_Person_NurseOccupation_Ophthalmic,,,
country/NGA,2011,110,dcid:Count_Person_NurseOccupation_Ophthalmic,,,
country/NGA,2007,92,dcid:Count_Person_NurseOccupation_AccidentAndEmergency,,,
country/NGA,2008,99,dcid:Count_Person_NurseOccupation_AccidentAndEmergency,,,
country/NGA,2009,110,dcid:Count_Person_NurseOccupation_AccidentAndEmergency,,,
country/NGA,2010,141,dcid:Count_Person_NurseOccupation_AccidentAndEmergency,,,
country/NGA,2011,117,dcid:Count_Person_NurseOccupation_AccidentAndEmergency,,,
country/NGA,2007,16,dcid:Count_Person_NurseOccupation_OccupationalHealth,,,
country/NGA,2008,15,dcid:Count_Person_NurseOccupation_OccupationalHealth,,,
country/NGA,2009,18,dcid:Count_Person_NurseOccupation_OccupationalHealth,,,
country/NGA,2010,18,dcid:Count_Person_NurseOccupation_OccupationalHealth,,,
country/NGA,2011,23,dcid:Count_Person_NurseOccupation_OccupationalHealth,,,
country/NGA,2007,91,dcid:Count_Person_Nigerian_Female,,,
country/NGA,2008,85,dcid:Count_Person_Nigerian_Female,,,
country/NGA,2009,37,dcid:Count_Person_Nigerian_Female,,,
country/NGA,2010,118,dcid:Count_Person_Nigerian_Female,,,
country/NGA,2011,90,dcid:Count_Person_Nigerian_Female,,,
country/NGA,2007,3750,dcid:Count_Person_Nigerian_Female_MedicalPractitionerOccupation,,,
country/NGA,2008,5638,dcid:Count_Person_Nigerian_Female_MedicalPractitionerOccupation,,,
country/NGA,2009,7533,dcid:Count_Person_Nigerian_Female_MedicalPractitionerOccupation,,,
country/NGA,2010,8292,dcid:Count_Person_Nigerian_Female_MedicalPractitionerOccupation,,,
country/NGA,2011,9832,dcid:Count_Person_Nigerian_Female_MedicalPractitionerOccupation,,,
country/NGA,2012,7030,dcid:Count_Person_Nigerian_Female_MedicalPractitionerOccupation,,,
country/NGA,2007,276,dcid:Count_Person_Nigerian_Female_DentistOccupation,,,
country/NGA,2008,300,dcid:Count_Person_Nigerian_Female_DentistOccupation,,,
country/NGA,2009,350,dcid:Count_Person_Nigerian_Female_DentistOccupation,,,
country/NGA,2010,468,dcid:Count_Person_Nigerian_Female_DentistOccupation,,,
country/NGA,2011,555,dcid:Count_Person_Nigerian_Female_DentistOccupation,,,
country/NGA,2012,396,dcid:Count_Person_Nigerian_Female_DentistOccupation,,,
country/NGA,2007,16,dcid:Count_Person_NonNigerian_Female_MedicalPractitionerOccupation,,,
country/NGA,2008,18,dcid:Count_Person_NonNigerian_Female_MedicalPractitionerOccupation,,,
country/NGA,2009,19,dcid:Count_Person_NonNigerian_Female_MedicalPractitionerOccupation,,,
country/NGA,2010,13,dcid:Count_Person_NonNigerian_Female_MedicalPractitionerOccupation,,,
country/NGA,2011,19,dcid:Count_Person_NonNigerian_Female_MedicalPractitionerOccupation,,,
country/NGA,2012,25,dcid:Count_Person_NonNigerian_Female_MedicalPractitionerOccupation,,,
country/NGA,2007,12,dcid:Count_Person_NonNigerian_Female_DentistOccupation,,,
country/NGA,2008,15,dcid:Count_Person_NonNigerian_Female_DentistOccupation,,,
country/NGA,2009,14,dcid:Count_Person_NonNigerian_Female_DentistOccupation,,,
country/NGA,2010,8,dcid:Count_Person_NonNigerian_Female_DentistOccupation,,,
country/NGA,2011,9,dcid:Count_Person_NonNigerian_Female_DentistOccupation,,,
country/NGA,2007,2740,dcid:Count_Person_Female_NurseOccupation_GeneralNurse,,,
country/NGA,2008,3733,dcid:Count_Person_Female_NurseOccupation_GeneralNurse,,,
country/NGA,2009,2879,dcid:Count_Person_Female_NurseOccupation_GeneralNurse,,,
country/NGA,2010,2882,dcid:Count_Person_Female_NurseOccupation_GeneralNurse,,,
country/NGA,2011,3399,dcid:Count_Person_Female_NurseOccupation_GeneralNurse,,,
country/NGA,2007,1328,dcid:Count_Person_Female_NurseOccupation_Midwives,,,
country/NGA,2008,1727,dcid:Count_Person_Female_NurseOccupation_Midwives,,,
country/NGA,2009,1546,dcid:Count_Person_Female_NurseOccupation_Midwives,,,
country/NGA,2010,2694,dcid:Count_Person_Female_NurseOccupation_Midwives,,,
country/NGA,2011,2635,dcid:Count_Person_Female_NurseOccupation_Midwives,,,
country/NGA,2007,95,dcid:Count_Person_Female_NurseOccupation_Perioperative,,,
country/NGA,2008,94,dcid:Count_Person_Female_NurseOccupation_Perioperative,,,
country/NGA,2009,92,dcid:Count_Person_Female_NurseOccupation_Perioperative,,,
country/NGA,2010,101,dcid:Count_Person_Female_NurseOccupation_Perioperative,,,
country/NGA,2011,95,dcid:Count_Person_Female_NurseOccupation_Perioperative,,,
country/NGA,2008,67,dcid:Count_Person_Female_NurseOccupation_CardioThoracicNurses,,,
country/NGA,2009,19,dcid:Count_Person_Female_NurseOccupation_CardioThoracicNurses,,,
country/NGA,2010,12,dcid:Count_Person_Female_NurseOccupation_CardioThoracicNurses,,,
country/NGA,2011,16,dcid:Count_Person_Female_NurseOccupation_CardioThoracicNurses,,,
country/NGA,2008,30,dcid:Count_Person_Female_NurseOccupation_IntensiveCareNurse,,,
country/NGA,2009,15,dcid:Count_Person_Female_NurseOccupation_IntensiveCareNurse,,,
country/NGA,2010,24,dcid:Count_Person_Female_NurseOccupation_IntensiveCareNurse,,,
country/NGA,2011,23,dcid:Count_Person_Female_NurseOccupation_IntensiveCareNurse,,,
country/NGA,2008,4,dcid:Count_Person_Female_NurseOccupation_ENT,,,
country/NGA,2009,15,dcid:Count_Person_Female_NurseOccupation_ENT,,,
country/NGA,2010,35,dcid:Count_Person_Female_NurseOccupation_ENT,,,
country/NGA,2011,62,dcid:Count_Person_Female_NurseOccupation_ENT,,,
country/NGA,2007,152,dcid:Count_Person_Female_NurseOccupation_PublicHealth,,,
country/NGA,2008,163,dcid:Count_Person_Female_NurseOccupation_PublicHealth,,,
country/NGA,2009,151,dcid:Count_Person_Female_NurseOccupation_PublicHealth,,,
country/NGA,2010,273,dcid:Count_Person_Female_NurseOccupation_PublicHealth,,,
country/NGA,2011,152,dcid:Count_Person_Female_NurseOccupation_PublicHealth,,,
country/NGA,2008,32,dcid:Count_Person_Female_NurseOccupation_BurnsAndPlastic,,,
country/NGA,2009,21,dcid:Count_Person_Female_NurseOccupation_BurnsAndPlastic,,,
country/NGA,2010,26,dcid:Count_Person_Female_NurseOccupation_BurnsAndPlastic,,,
country/NGA,2011,24,dcid:Count_Person_Female_NurseOccupation_BurnsAndPlastic,,,
country/NGA,2007,37,dcid:Count_Person_Female_NurseOccupation_Orthopedic,,,
country/NGA,2008,36,dcid:Count_Person_Female_NurseOccupation_Orthopedic,,,
country/NGA,2009,52,dcid:Count_Person_Female_NurseOccupation_Orthopedic,,,
country/NGA,2010,94,dcid:Count_Person_Female_NurseOccupation_Orthopedic,,,
country/NGA,2011,61,dcid:Count_Person_Female_NurseOccupation_Orthopedic,,,
country/NGA,2007,35,dcid:Count_Person_Female_NurseOccupation_Anasthetic,,,
country/NGA,2008,53,dcid:Count_Person_Female_NurseOccupation_Anasthetic,,,
country/NGA,2009,33,dcid:Count_Person_Female_NurseOccupation_Anasthetic,,,
country/NGA,2010,28,dcid:Count_Person_Female_NurseOccupation_Anasthetic,,,
country/NGA,2011,26,dcid:Count_Person_Female_NurseOccupation_Anasthetic,,,
country/NGA,2007,9,dcid:Count_Person_Female_NurseOccupation_Administrator,,,
country/NGA,2008,31,dcid:Count_Person_Female_NurseOccupation_Administrator,,,
country/NGA,2009,12,dcid:Count_Person_Female_NurseOccupation_Administrator,,,
country/NGA,2010,5,dcid:Count_Person_Female_NurseOccupation_Administrator,,,
country/NGA,2011,10,dcid:Count_Person_Female_NurseOccupation_Administrator,,,
country/NGA,2007,11,dcid:Count_Person_Female_NurseOccupation_MidwifeEducators,,,
country/NGA,2008,24,dcid:Count_Person_Female_NurseOccupation_MidwifeEducators,,,
country/NGA,2009,17,dcid:Count_Person_Female_NurseOccupation_MidwifeEducators,,,
country/NGA,2010,17,dcid:Count_Person_Female_NurseOccupation_MidwifeEducators,,,
country/NGA,2011,25,dcid:Count_Person_Female_NurseOccupation_MidwifeEducators,,,
country/NGA,2007,45,dcid:Count_Person_Female_NurseOccupation_Pediatric,,,
country/NGA,2008,67,dcid:Count_Person_Female_NurseOccupation_Pediatric,,,
country/NGA,2009,55,dcid:Count_Person_Female_NurseOccupation_Pediatric,,,
country/NGA,2010,99,dcid:Count_Person_Female_NurseOccupation_Pediatric,,,
country/NGA,2011,61,dcid:Count_Person_Female_NurseOccupation_Pediatric,,,
country/NGA,2007,39,dcid:Count_Person_Female_NurseOccupation_Educator,,,
country/NGA,2008,44,dcid:Count_Person_Female_NurseOccupation_Educator,,,
country/NGA,2009,32,dcid:Count_Person_Female_NurseOccupation_Educator,,,
country/NGA,2010,28,dcid:Count_Person_Female_NurseOccupation_Educator,,,
country/NGA,2011,40,dcid:Count_Person_Female_NurseOccupation_Educator,,,
country/NGA,2007,1,dcid:Count_Person_Female_NurseOccupation_PublicHealthNurseEducators,,,
country/NGA,2008,1,dcid:Count_Person_Female_NurseOccupation_PublicHealthNurseEducators,,,
country/NGA,2009,2,dcid:Count_Person_Female_NurseOccupation_PublicHealthNurseEducators,,,
country/NGA,2010,1,dcid:Count_Person_Female_NurseOccupation_PublicHealthNurseEducators,,,
country/NGA,2011,5,dcid:Count_Person_Female_NurseOccupation_PublicHealthNurseEducators,,,
country/NGA,2007,139,dcid:Count_Person_Female_NurseOccupation_Psychatric,,,
country/NGA,2008,93,dcid:Count_Person_Female_NurseOccupation_Psychatric,,,
country/NGA,2009,127,dcid:Count_Person_Female_NurseOccupation_Psychatric,,,
country/NGA,2010,184,dcid:Count_Person_Female_NurseOccupation_Psychatric,,,
country/NGA,2011,132,dcid:Count_Person_Female_NurseOccupation_Psychatric,,,
country/NGA,2007,39,dcid:Count_Person_Female_NurseOccupation_Ophthalmic,,,
country/NGA,2008,51,dcid:Count_Person_Female_NurseOccupation_Ophthalmic,,,
country/NGA,2009,48,dcid:Count_Person_Female_NurseOccupation_Ophthalmic,,,
country/NGA,2010,79,dcid:Count_Person_Female_NurseOccupation_Ophthalmic,,,
country/NGA,2011,69,dcid:Count_Person_Female_NurseOccupation_Ophthalmic,,,
country/NGA,2007,57,dcid:Count_Person_Female_NurseOccupation_AccidentAndEmergency,,,
country/NGA,2008,47,dcid:Count_Person_Female_NurseOccupation_AccidentAndEmergency,,,
country/NGA,2009,66,dcid:Count_Person_Female_NurseOccupation_AccidentAndEmergency,,,
