Year,srcStateName,NFHS survey number ( NFHS - 4 or NFHS - 5 ),Women age group 15 to 19 years who are anaemic (%),Women age group 15 to 49 years who are anaemic (%),Married women age group 15 to 49 years use any family planning methods (%),Births in public health facility delivered by caesarean section (%),Breastfeeding children age group 6 to 23 months receiving an adequate diet (%),Children age group 12 to 23 months who received most of their vaccinations in a public health facility (%),Children who received postnatal care from a doctor or nurse or Lady Health Visitor ( LHV ) or Auxiliary Nurse Midwifery ( ANM ) or midwife or other health personnel within 2 days of delivery (%),Ever-married women age group 18 to 49 years who have ever experienced spousal violence (%),Female population age 6 years and above who ever attended school (%),Registered pregnancies for which the mother received a mother and child protection card ( MCP )(%),Population living in households with electricity (%),Population living in households that use an improved sanitation facility (%),Men who have comprehensive knowledge of Human immunodeficiency virus ( HIV ) or Acquired Immune Deficiency Syndrome ( AIDS ) (%),Men who have high risk waist-to-hip ratio (%),Men who have ever used internet (%),Women who have ever undergone a breast examination for breast cancer (%),Currently married women age group 15 to 49 years consuming pill (%),Married women age group 15 to 49 years using Intrauterine Device ( IUD ) or Postpartum Intrauterine Contraceptive Device ( PPIUD ) as family planning methods (%),Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%), 
2020,IN-AS,NFHS-5,67.4,65.2,61.4,26.7,8.3,88.4,80.7,26.6,87.9,98.9,99.0,69.7,29.0,54.2,67.4,0.4,21.2,3.4,22.6,
2020,IN-JH,NFHS-5,66.5,66.7,60.4,6.1,9.9,98.0,66.1,33.4,60.2,92.3,92.9,50.8,28.1,44.0,53.2,0.1,3.1,1.6,13.2,
2020,IN-JH,NFHS-5,63.2,61.1,66.0,12.4,10.6,89.1,80.6,25.3,78.7,87.7,99.0,75.9,39.4,53.6,70.8,0.1,3.1,2.1,22.3,
2020,IN-MP,NFHS-5,58.3,55.8,71.9,6.5,8.9,99.3,82.3,28.7,62.6,97.4,98.0,59.2,25.0,38.8,49.3,0.4,1.7,0.9,30.3,
2020,NCT Delhi,NFHS-5,51.5,49.7,76.5,17.5,18.3,88.5,86.9,22.8,83.8,94.1,99.9,81.0,44.1,62.1,85.1,0.3,2.7,6.6,48.8,
2020,IN-OR,NFHS-5,66.3,64.9,73.6,14.2,21.3,99.1,87.6,30.6,69.1,99.4,96.6,58.0,24.5,54.6,47.2,0.2,11.0,2.6,33.8,
2020,IN-OR,NFHS-5,61.4,61.5,76.9,22.3,14.0,91.8,91.2,30.6,83.1,99.4,99.1,72.3,25.3,59.7,64.2,0.2,10.3,2.3,38.0,
2020,IN-PB,NFHS-5,58.6,59.0,68.4,31.4,9.8,86.3,79.2,10.2,82.7,95.4,99.8,87.8,42.4,70.4,85.6,0.4,1.1,2.8,38.6,
2020,IN-ML,NFHS-5,44.6,51.8,25.9,15.2,37.5,78.3,59.1,23.2,94.7,87.5,97.3,81.3,32.5,28.5,59.2,1.3,6.0,2.9,28.7,
2020,IN-RJ,NFHS-5,60.1,55.7,71.7,5.5,8.3,98.7,86.3,24.9,59.4,98.1,97.7,66.1,34.3,42.3,59.4,0.1,3.0,1.3,13.7,
2020,IN-RJ,NFHS-5,56.6,49.9,74.2,15.3,9.0,95.3,89.1,22.4,76.9,98.2,99.7,87.2,40.7,42.5,81.7,0.3,3.4,1.9,16.7,
2020,IN-TN,NFHS-5,50.6,51.3,67.6,37.5,14.9,83.1,95.1,32.9,86.8,98.1,99.6,82.8,31.1,55.6,76.1,5.9,0.4,4.8,66.4,
2020,IN-UP,NFHS-5,52.8,50.5,60.8,4.7,5.7,95.6,68.1,35.5,64.6,95.8,88.9,64.8,20.8,50.6,54.2,0.4,4.5,1.3,8.5,
2016,IN-GA,NFHS-4,30.5,31.3,26.3,19.9,9.1,77.2,,12.9,85.0,96.3,99.8,78.7,41.9,,,,0.3,0.9,52.8,
2020,IN-UP,NFHS-5,53.4,50.1,67.6,14.4,6.7,89.7,77.9,32.7,76.2,95.1,97.6,80.9,25.5,56.2,72.4,0.4,4.0,2.0,14.1,
2020,IN-UT,NFHS-5,40.9,41.1,69.5,10.7,13.1,96.0,76.4,16.2,72.0,96.9,99.6,77.7,33.3,53.9,71.2,0.2,2.7,1.3,23.2,
2020,IN-UT,NFHS-5,41.0,45.8,73.5,21.4,13.4,93.7,84.1,12.5,82.4,97.5,99.7,81.0,42.1,60.4,82.1,0.2,2.6,2.0,28.7,
2020,IN-MN,NFHS-5,26.7,28.8,61.2,19.7,19.1,94.0,63.9,42.8,81.2,71.9,97.5,67.5,51.6,45.2,68.2,1.1,5.2,4.5,27.4,
2020,IN-GA,NFHS-5,43.5,40.0,72.3,32.9,18.9,90.8,97.4,6.0,90.2,99.7,100.0,89.0,62.8,34.2,86.1,1.3,3.4,2.5,61.4,
2020,IN-SK,NFHS-5,53.0,42.4,55.5,40.4,,,56.2,13.1,90.3,96.1,99.5,84.0,23.4,36.6,94.2,0.0,9.7,4.6,29.6,
2020,IN-KA,NFHS-5,48.0,43.9,69.6,23.3,9.0,81.9,86.4,44.5,82.0,96.8,99.3,84.4,28.0,41.2,71.5,0.4,2.1,3.4,31.5,
2020,IN-TG,NFHS-5,65.2,58.9,67.6,44.3,8.3,96.9,88.9,42.3,52.4,97.8,99.4,72.9,28.9,45.3,46.7,0.4,0.5,0.2,32.7,
2020,IN-LA,NFHS-5,92.4,89.5,50.6,47.8,,,82.9,11.7,68.7,99.2,99.1,74.7,54.4,63.3,82.9,0.0,5.3,8.1,7.1,
2020,IN-GJ,NFHS-5,63.0,61.3,69.5,20.3,6.5,83.4,91.8,10.0,83.7,96.7,99.4,89.3,40.7,43.3,72.9,0.1,3.1,4.2,45.5,
2020,IN-HP,NFHS-5,59.8,51.0,75.2,19.8,15.1,93.6,89.5,6.0,92.4,97.8,99.0,85.0,46.9,61.2,83.7,1.5,2.0,0.9,44.4,
2020,IN-KA,NFHS-5,50.2,50.3,68.2,22.2,12.1,97.4,84.9,44.4,67.0,98.2,99.0,68.5,25.6,37.4,55.6,0.3,2.1,2.5,23.7,
2020,IN-AP,NFHS-5,62.3,57.8,70.8,30.9,15.2,86.4,92.9,28.8,75.5,94.2,99.6,89.1,47.1,53.8,65.1,0.7,0.1,0.2,45.6,
2016,IN-JK,NFHS-4,49.9,48.9,57.1,35.5,21.8,97.5,,9.4,65.7,88.7,97.2,53.8,24.6,,,,6.3,2.4,16.7,
2020,IN-ML,NFHS-5,54.6,54.3,27.8,8.1,28.0,96.1,42.5,14.2,83.4,94.3,90.6,83.3,11.9,24.0,38.5,0.2,8.9,4.7,19.2,
2020,IN-HP,NFHS-5,52.3,53.3,74.1,17.2,18.5,98.1,85.5,8.7,79.3,98.8,99.5,81.3,39.8,50.8,65.1,0.3,1.4,1.2,42.8,
2020,IN-MH,NFHS-5,56.4,52.0,65.8,23.2,8.5,82.2,91.2,21.0,87.2,93.8,99.1,75.1,50.7,43.2,76.8,1.6,1.9,2.2,33.6,
2020,IN-NL,NFHS-5,33.9,29.8,55.7,6.1,13.4,94.8,34.9,7.0,81.9,92.7,98.0,90.4,45.6,27.5,55.2,0.2,5.1,19.7,3.1,
2020,IN-WB,NFHS-5,73.2,74.4,73.0,20.3,23.5,98.5,75.9,28.7,73.3,99.1,96.6,64.7,12.8,55.7,38.3,0.1,20.4,2.3,29.7,
2020,IN-WB,NFHS-5,64.7,65.1,77.5,31.7,25.4,90.2,79.1,22.9,84.1,96.7,99.3,75.0,21.3,60.5,64.6,0.2,20.1,2.0,33.6,
2020,IN-GJ,NFHS-5,72.3,67.6,62.2,8.8,5.6,97.4,86.6,16.8,65.4,98.3,96.2,63.3,31.9,39.0,48.0,0.1,1.8,2.4,41.8,
2020,Dadra & Nagar Haveli and Daman & Diu,NFHS-5,60.1,60.5,63.5,23.0,9.8,94.8,92.1,21.8,85.8,97.8,99.9,68.5,35.2,45.7,76.2,0.5,3.5,3.0,35.2,
2020,IN-MZ,NFHS-5,30.3,30.8,29.1,13.7,16.2,94.8,39.7,11.3,97.6,96.0,99.6,97.1,66.6,30.1,92.7,3.6,10.9,2.4,13.6,
2020,IN-KL,NFHS-5,31.6,35.8,60.1,36.1,25.0,90.4,92.0,9.9,94.1,92.5,99.3,98.5,46.4,56.5,74.2,2.0,0.3,1.5,67.7,
2020,IN-AP,NFHS-5,59.1,59.3,71.2,25.2,5.8,97.4,92.1,30.5,61.2,97.5,99.4,72.1,34.7,52.6,41.5,0.8,0.1,0.1,39.3,
2020,IN-MZ,NFHS-5,40.8,39.9,33.5,5.0,8.3,98.7,33.9,10.3,87.5,96.3,96.4,93.2,64.3,25.6,63.9,1.3,15.2,3.2,7.3,
2020,IN-MN,NFHS-5,30.4,30.5,61.5,33.9,19.6,88.6,82.6,35.0,88.4,74.9,99.1,60.6,61.6,53.4,81.5,2.2,3.0,5.5,36.0,
2020,IN-TG,NFHS-5,63.6,55.2,69.0,44.8,8.3,88.8,91.5,27.3,75.9,94.8,99.8,81.8,33.0,47.6,72.3,0.3,1.2,1.0,37.0,
2020,IN-JK,NFHS-5,71.5,61.4,59.2,50.9,11.9,98.8,85.6,5.9,76.0,97.3,99.9,85.6,27.3,66.0,79.4,0.1,7.7,7.2,21.6,
2020,IN-SK,NFHS-5,43.7,41.9,77.3,25.9,29.0,100.0,71.7,11.7,79.5,93.8,99.1,89.3,15.2,69.3,69.5,0.2,23.4,7.1,32.5,
2020,IN-LA,NFHS-5,97.8,93.5,51.5,37.0,19.9,100.0,75.1,19.0,67.8,97.4,99.5,34.8,23.7,60.2,64.3,0.2,6.9,7.9,7.3,
2016,IN-LA,NFHS-4,81.6,78.4,66.6,17.1,22.0,100.0,,8.5,62.5,93.7,98.7,17.8,12.1,,,,3.4,30.1,9.8,
2020,IN-AS,NFHS-5,67.0,66.0,60.7,13.9,8.1,96.6,68.5,32.9,76.5,98.7,91.5,68.4,24.6,43.2,37.8,0.2,28.6,2.9,18.0,
2020,IN-JK,NFHS-5,77.5,67.5,60.0,40.2,12.5,99.2,80.2,11.0,67.9,97.3,99.0,72.3,36.0,58.7,68.8,0.4,9.5,5.4,14.1,
2016,IN-AS,NFHS-4,42.7,46.0,52.4,12.9,8.7,93.3,,24.5,75.0,96.3,78.3,49.0,22.5,,,,22.0,2.2,5.6,
2020,IN-AN,NFHS-5,44.1,57.2,54.4,33.6,24.3,90.9,90.0,23.2,86.5,100.0,99.5,88.0,36.8,61.3,54.6,0.0,2.2,2.2,64.8,
2020,IN-BR,NFHS-5,67.2,65.6,62.3,4.7,8.2,91.1,66.1,40.6,74.2,85.0,96.2,69.2,33.1,54.8,58.4,0.4,3.6,1.3,15.3,
2020,IN-KL,NFHS-5,33.6,37.0,61.4,38.8,22.2,83.9,90.4,9.9,97.0,89.9,99.9,99.0,44.2,57.2,78.3,2.8,0.5,1.6,66.2,
2020,IN-BR,NFHS-5,65.4,63.1,54.6,3.5,11.2,97.4,58.2,39.9,58.7,90.2,96.3,45.7,23.0,45.9,39.4,0.3,1.8,0.7,8.3,
2016,IN-NL,NFHS-4,26.3,27.9,26.5,13.4,17.5,91.6,,13.1,81.0,73.6,96.7,76.7,24.1,,,,4.0,6.7,2.2,
2020,IN-TR,NFHS-5,69.8,67.6,68.9,17.6,13.3,97.4,69.6,23.4,78.9,92.0,97.7,71.6,25.6,40.2,45.2,0.2,32.6,0.6,9.1,
2020,Dadra & Nagar Haveli and Daman & Diu,NFHS-5,66.3,64.4,72.4,13.3,11.4,100.0,89.8,10.8,65.0,99.9,99.5,63.3,21.5,18.4,61.3,0.0,2.8,1.5,37.2,
2020,IN-LD,NFHS-5,31.9,23.7,55.4,30.7,,,100.0,,96.9,41.6,100.0,100.0,79.6,44.0,77.0,0.5,0.3,0.0,60.2,
2020,IN-LD,NFHS-5,31.2,26.4,51.8,26.7,23.4,100.0,91.4,1.0,91.9,90.7,99.7,99.7,60.6,57.4,81.5,0.5,1.4,1.3,62.2,
2016,IN-BR,NFHS-4,61.0,60.3,24.1,2.6,7.3,95.5,,43.7,56.9,79.9,60.0,26.5,26.3,,,,0.8,0.5,2.3,
2016,IN-TG,NFHS-4,59.7,56.6,57.2,40.3,9.9,83.6,,42.9,62.6,89.1,98.9,52.3,50.1,,,,0.3,0.4,28.8,
2016,Dadra & Nagar Haveli and Daman & Diu,NFHS-4,75.9,72.9,36.2,11.1,1.8,85.0,,30.0,73.0,89.8,98.3,44.4,11.3,,,,1.2,1.7,26.2,
2016,IN-ML,NFHS-4,52.1,56.2,24.3,9.8,24.2,92.4,,28.8,83.0,93.6,91.8,61.4,14.2,,,,11.7,2.1,13.0,
2016,IN-MH,NFHS-4,49.7,48.0,64.8,13.1,5.3,86.2,,21.3,77.4,90.9,93.5,52.3,44.5,,,,2.4,1.6,28.0,
2016,IN-GJ,NFHS-4,56.5,54.9,46.9,10.8,5.8,87.1,,20.2,72.0,89.0,96.2,63.6,31.5,,,,1.4,3.0,18.5,
2016,IN-AN,NFHS-4,68.1,65.7,50.8,16.9,13.5,94.4,,18.4,84.7,97.7,97.2,75.4,44.0,,,,2.2,2.1,33.7,
2016,IN-KA,NFHS-4,45.3,44.8,51.8,16.9,5.8,88.2,,20.6,70.7,89.3,98.3,57.8,26.4,,,,0.4,0.8,32.6,
2016,IN-WB,NFHS-4,62.2,62.5,70.9,18.8,19.1,96.6,,33.1,74.0,97.4,94.3,52.8,25.9,,,,20.0,1.2,6.0,
2016,IN-KL,NFHS-4,37.8,34.3,53.1,31.4,21.3,77.6,,14.3,95.4,84.2,99.2,98.2,50.8,,,,0.2,1.6,47.4,
2016,IN-HP,NFHS-4,52.7,53.5,57.0,16.4,11.2,97.9,,5.9,79.0,95.4,99.5,72.3,44.5,,,,1.5,0.9,22.7,
2016,IN-LD,NFHS-4,59.0,46.0,29.7,27.1,16.8,100.0,,8.9,91.1,96.3,100.0,99.6,31.2,,,,0.0,0.7,59.1,
2016,IN-MZ,NFHS-4,21.3,24.8,35.3,12.3,14.6,92.4,,17.1,91.2,96.6,96.0,84.4,68.3,,,,13.2,3.4,2.7,
2016,IN-AP,NFHS-4,61.1,60.0,69.5,25.5,6.5,91.6,,43.4,62.0,92.6,99.2,54.4,55.5,,,,0.2,0.2,30.6,
2016,IN-TR,NFHS-4,52.2,54.5,64.1,18.1,5.3,97.4,,28.1,81.9,83.0,92.8,63.7,36.8,,,,26.3,0.6,1.6,
2016,IN-SK,NFHS-4,48.7,34.9,46.7,18.1,23.1,94.1,,2.6,79.7,99.1,99.4,89.7,36.1,,,,11.6,6.3,26.8,
2016,IN-MN,NFHS-4,21.1,26.4,23.6,22.6,19.3,92.9,,53.2,81.7,32.8,92.8,52.6,57.9,,,,4.2,3.7,16.3,
