National Center for Education Statistics,,,,,,,,,,,,,,,,
"Number of full-time, first-time degree/certificate-seeking undergraduate students in the adjusted cohort, number of completers, and percentage graduating at Title IV institutions, by control of institution, level of institution, and type of aid received: United States, cohort years 2010 and 2013",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Level of institution and type of aid received,,,,,,,,,,Private,,,,,,
,,All institutions,,,,Public,,,,Nonprofit,,,,For-profit,,
All students,,"840,353","275,325",32.8,,"665,729","168,639",25.3,,"36,011","21,640",60.1,,"138,613","85,046",61.4
Received Pell Grant,,"500,847","161,038",32.2,,"367,774","80,017",21.8,,"29,640","17,846",60.2,,"103,433","63,175",61.1
"Received Direct Subsidized Loan, but not a 
     Pell Grant",,"47,428","19,819",41.8,,"30,617","8,026",26.2,,"2,589","1,551",59.9,,"14,222","10,242",72.0
"Received neither a Pell Grant or a Direct 
     Subsidized Loan",,"292,078","94,468",32.3,,"267,338","80,596",30.1,,"3,782","2,243",59.3,,"20,958","11,629",55.5
,,,,,,,,,,,,,,,,
Less-than-2-year institutions (cohort year 2013),,,,,,,,,,,,,,,,
All students,,"160,216","110,798",69.2,,"18,879","13,871",73.5,,"12,827","8,632",67.3,,"128,510","88,295",68.7
Received Pell Grant,,"112,838","78,385",69.5,,"10,762","8,413",78.2,,"8,857","5,892",66.5,,"93,219","64,080",68.7
"Received Direct Subsidized Loan, but not a 
     Pell Grant",,"14,423","10,889",75.5,,969,797,82.2,,653,517,79.2,,"12,801","9,575",74.8
"Received neither a Pell Grant or a Direct 
     Subsidized Loan",,"32,955","21,524",65.3,,"7,148","4,661",65.2,,"3,317","2,223",67.0,,"22,490","14,640",65.1
"NOTE: Title IV institutions are those with a written agreement with the U.S. Department of Education that allows the institution to participate in any of the Title IV federal student financial assistance programs. The four U.S. service academies that are not Title IV eligible are included in the Integrated Postsecondary Education Data System (IPEDS) universe because they are federally funded and open to the public. The graduation rate was calculated as required for disclosure and reporting purposes under the Student Right-to-Know Act. This rate was calculated as the total number of completers within 150 percent of normal time (e.g. ""normal"" program completion time for a bachelor's degree would be 4 years) at the same institution where the student started divided by the adjusted cohort (revised cohort minus any allowable exclusions). The revised cohort is the number of students entering the institution as full-time, first-time degree- or certificate-seeking undergraduates in the reference year. Allowable exclusions include those students who died or were totally and permanently disabled; students who left school to serve in the armed forces (or have been called up to active duty); those who left to serve with a foreign aid service of the federal government, such as the Peace Corps; and those who left to serve on official church missions. Definitions for terms used in this table may be found in the IPEDS online glossary located at https://surveys.nces.ed.gov/ipeds/VisGlossaryAll.aspx.",,,,,,,,,,,,,,,,
"SOURCE: U.S. Department of Education, National Center for Education Statistics, IPEDS, Winter 2016–17, Graduation Rates component (final data).",,,,,,,,,,,,,,,,
