table with row headers in column A and column headers in rows 3 through 4 (leading dots indicate sub-parts),,,,,,,,,,,,,
"Table 1. Intercensal Estimates of the Resident Population for Counties of Texas: April 1, 2000 to July 1, 2010",,,,,,,,,,,,,
Geographic Area,"April 1, 20001",Intercensal Estimates (as of July 1),,,,,,,,,,"April 1, 20102","July 1, 20103"
.Brazoria County,"241,805","243,116","248,280","255,246","261,269","268,051","274,336","284,248","293,296","301,336","309,236","313,166","314,494"
.Brazos County,"152,436","153,145","155,533","159,297","163,279","166,150","169,824","175,433","179,472","185,098","191,434","194,851","195,693"
.Brewster County,"8,872","8,903","8,836","8,945","9,030","9,002","8,830","8,790","8,843","8,868","9,054","9,232","9,300"
.Briscoe County,"1,805","1,796","1,764","1,746","1,763","1,768","1,726","1,704","1,647","1,651","1,634","1,637","1,631"
.Brooks County,"7,980","7,944","7,669","7,668","7,627","7,593","7,562","7,490","7,413","7,345","7,297","7,223","7,201"
.Brown County,"37,668","37,689","37,599","37,766","37,654","37,940","38,172","38,492","38,221","38,135","38,001","38,106","38,145"
.Burleson County,"16,449","16,553","16,650","16,666","16,881","16,964","17,167","17,000","16,982","17,025","17,076","17,187","17,209"
.Burnet County,"34,188","34,505","35,741","36,850","37,776","38,966","39,798","41,109","42,026","42,477","42,611","42,750","42,854"
.Caldwell County,"32,101","32,378","33,654","34,715","35,330","36,200","36,388","36,533","36,906","37,671","37,829","38,066","38,141"
.Calhoun County,"20,645","20,676","20,762","20,550","20,575","20,692","20,715","20,839","20,888","21,127","21,388","21,381","21,360"
.Callahan County,"12,873","12,885","12,703","12,799","12,913","13,156","13,281","13,309","13,418","13,474","13,548","13,544","13,540"
.Cameron County,"334,884","336,123","342,368","350,194","358,492","366,299","373,429","380,169","386,306","393,000","400,303","406,220","408,054"
.Camp County,"11,533","11,568","11,399","11,549","11,582","11,715","11,990","12,068","12,253","12,331","12,364","12,401","12,424"
.Carson County,"6,503","6,492","6,385","6,508","6,391","6,381","6,449","6,413","6,361","6,260","6,220","6,182","6,165"
.Cass County,"30,427","30,412","30,134","30,120","30,065","30,053","30,088","30,095","30,176","30,217","30,297","30,464","30,487"
.Castro County,"8,276","8,229","8,155","8,083","8,037","7,947","7,908","7,780","7,737","7,758","7,856","8,062","8,110"
.Chambers County,"26,006","26,188","26,811","27,490","28,021","28,749","29,388","29,980","30,714","31,619","34,230","35,096","35,311"
.Cherokee County,"46,716","46,790","47,007","47,136","47,832","48,315","48,751","49,162","49,669","49,976","50,447","50,845","50,923"
.Childress County,"7,697","7,676","7,531","7,428","7,411","7,366","7,205","7,214","7,148","7,123","7,030","7,041","7,060"
.Clay County,"10,997","11,064","11,131","11,292","11,270","11,278","11,317","11,157","11,051","10,843","10,832","10,752","10,728"
.Cochran County,"3,724","3,707","3,674","3,521","3,490","3,373","3,338","3,257","3,194","3,100","3,086","3,127","3,137"
.Coke County,"3,865","3,844","3,810","3,732","3,678","3,559","3,540","3,492","3,375","3,348","3,310","3,320","3,324"
.Coleman County,"9,232","9,180","9,103","8,937","8,827","8,817","8,739","8,853","8,774","8,899","8,867","8,895","8,892"
.Collin County,"491,272","499,118","534,642","563,565","589,394","617,802","647,187","683,935","714,330","741,264","765,791","782,341","788,407"
.Collingsworth County,"3,206","3,193","3,086","3,093","3,026","3,028","2,980","2,952","2,973","3,017","3,042","3,057","3,062"
.Colorado County,"20,356","20,326","20,125","20,328","20,507","20,450","20,493","20,608","20,648","20,818","20,784","20,874","20,898"
.Comal County,"78,022","78,583","80,630","82,797","84,837","88,119","91,018","95,637","99,540","103,272","106,350","108,472","109,382"
.Comanche County,"14,027","13,998","13,710","13,582","13,526","13,646","13,746","13,814","13,775","13,834","13,912","13,974","13,981"
.Concho County,"3,964","3,963","3,921","3,959","3,991","4,018","4,039","3,957","4,018","4,108","4,076","4,087","4,077"
.Cooke County,"36,370","36,433","36,844","37,390","37,598","37,815","38,143","38,241","38,252","38,223","38,413","38,437","38,452"
.Coryell County,"74,899","75,199","74,083","73,135","71,364","71,943","72,610","72,217","73,324","74,552","74,673","75,388","75,645"
.Cottle County,"1,899","1,883","1,774","1,726","1,699","1,679","1,653","1,577","1,513","1,527","1,509","1,505","1,505"
.Crane County,"3,996","3,951","3,893","3,891","3,847","3,865","3,840","3,855","3,976","4,157","4,333","4,375","4,383"
.Crockett County,"4,099","4,012","3,844","3,841","3,862","3,857","3,851","3,739","3,759","3,783","3,740","3,719","3,711"
.Crosby County,"7,072","7,053","6,955","6,852","6,718","6,625","6,521","6,466","6,262","6,192","6,057","6,059","6,059"
.Culberson County,"2,979","2,948","2,865","2,829","2,778","2,695","2,648","2,587","2,536","2,490","2,384","2,398","2,403"
.Dallam County,"6,213","6,224","6,210","6,159","6,148","6,208","6,238","6,205","6,336","6,506","6,571","6,703","6,738"
.Dallas County,"2,216,808","2,220,848","2,249,418","2,250,326","2,246,432","2,244,020","2,250,830","2,275,434","2,291,891","2,314,018","2,346,378","2,368,139","2,377,351"
.Dawson County,"14,987","14,935","14,863","14,429","14,354","14,062","14,092","13,987","13,865","13,804","13,741","13,833","13,867"
.Deaf Smith County,"18,565","18,515","18,391","18,439","18,454","18,671","18,737","18,770","18,916","19,054","19,084","19,372","19,447"
.Delta County,"5,319","5,323","5,295","5,366","5,310","5,409","5,314","5,355","5,199","5,252","5,180","5,231","5,253"
.Denton County,"433,065","438,791","463,688","487,617","509,732","529,811","553,669","584,561","609,001","630,104","649,702","662,614","667,053"
.DeWitt County,"19,999","19,943","20,066","20,015","20,034","20,176","20,342","20,108","19,961","19,902","20,048","20,097","20,106"
.Dickens County,"2,760","2,724","2,653","2,679","2,670","2,641","2,563","2,466","2,461","2,400","2,423","2,444","2,453"
.Dimmit County,"10,205","10,160","10,030","10,042","10,075","9,964","10,031","9,972","9,845","9,833","9,848","9,996","10,040"
.Donley County,"3,814","3,813","3,829","3,825","3,898","3,915","3,833","3,779","3,806","3,688","3,670","3,677","3,681"
.Duval County,"13,073","13,007","12,830","12,707","12,570","12,539","12,426","12,298","12,097","11,945","11,917","11,782","11,739"
.Eastland County,"18,289","18,296","18,061","18,252","18,333","18,442","18,533","18,545","18,636","18,520","18,497","18,583","18,602"
.Ector County,"121,124","120,694","120,802","122,199","122,739","124,163","125,378","127,476","130,459","133,064","136,930","137,130","137,145"
.Edwards County,"2,160","2,143","2,070","2,056","2,042","2,027","2,011","1,995","2,062","2,084","2,012","2,002","1,993"
.Ellis County,"111,415","112,330","115,286","118,737","122,620","125,733","129,955","135,276","139,988","144,394","147,392","149,610","150,462"
.El Paso County,"679,568","681,729","689,163","696,446","705,200","717,652","728,095","744,795","755,578","769,930","786,759","800,647","804,338"
.Erath County,"32,981","33,057","33,045","33,619","34,131","34,887","35,336","36,355","36,678","37,137","37,594","37,890","37,948"
.Falls County,"18,563","18,522","18,280","18,090","18,086","18,066","17,990","17,945","17,712","17,698","17,762","17,866","17,879"
.Fannin County,"31,225","31,334","31,400","31,808","32,380","32,692","33,221","33,540","33,644","33,870","33,865","33,915","33,905"
.Fayette County,"21,818","21,864","22,397","22,668","22,910","23,107","23,342","23,631","23,898","24,347","24,470","24,554","24,531"
.Fisher County,"4,345","4,340","4,257","4,242","4,191","4,118","4,135","4,098","4,080","4,065","4,014","3,974","3,954"
.Floyd County,"7,770","7,734","7,452","7,289","7,364","7,130","6,983","6,855","6,683","6,528","6,508","6,446","6,423"
.Foard County,"1,621","1,594","1,606","1,536","1,513","1,492","1,439","1,432","1,383","1,334","1,321","1,336","1,341"
.Fort Bend County,"354,286","358,738","375,708","397,943","418,747","441,139","462,953","490,916","516,564","542,957","569,130","585,375","590,350"
.Franklin County,"9,431","9,459","9,521","9,536","9,597","9,731","10,745","10,755","10,799","10,604","10,601","10,605","10,614"
.Freestone County,"17,851","17,902","18,127","18,395","18,483","18,684","18,843","19,123","19,162","19,446","19,743","19,816","19,831"
.Frio County,"16,255","16,203","16,315","16,467","16,477","16,532","16,618","16,720","16,776","16,939","17,120","17,217","17,224"
.Gaines County,"14,463","14,473","14,451","14,453","14,747","14,978","15,331","15,707","16,187","16,641","17,163","17,526","17,594"
.Galveston County,"250,178","250,675","254,521","260,096","265,269","269,760","274,806","279,182","283,770","288,643","287,428","291,309","292,607"
.Garza County,"4,876","4,904","5,275","5,385","5,531","5,800","5,742","5,996","6,049","6,158","6,368","6,461","6,449"
.Gillespie County,"20,806","20,902","21,104","21,585","22,128","22,454","22,858","23,487","23,787","24,206","24,608","24,837","24,899"
.Glasscock County,"1,413","1,407","1,351","1,339","1,332","1,290","1,273","1,202","1,164","1,218","1,224","1,226","1,228"
.Goliad County,"6,923","7,007","7,020","7,051","7,135","7,071","7,070","7,121","7,142","7,164","7,157","7,210","7,223"
.Gonzales County,"18,601","18,642","18,714","18,882","19,181","19,370","19,656","19,633","19,512","19,538","19,628","19,807","19,866"
.Gray County,"22,742","22,578","22,171","21,940","21,762","21,551","21,776","22,100","22,438","22,772","22,719","22,535","22,456"
.Grayson County,"110,574","110,939","112,330","113,239","114,421","114,998","115,666","117,174","118,331","118,834","120,069","120,877","121,145"
.Gregg County,"111,328","111,255","111,791","112,767","113,775","114,541","115,402","117,118","118,260","119,157","121,238","121,730","121,854"
.Grimes County,"23,544","23,601","24,219","24,736","25,016","25,209","25,350","25,639","26,046","26,273","26,422","26,604","26,659"
.Guadalupe County,"88,856","89,841","92,626","95,246","98,137","101,495","105,585","111,878","117,667","123,398","128,265","131,533","132,431"
.Hale County,"36,605","36,581","35,876","35,598","35,553","36,259","36,066","36,162","36,080","35,662","35,926","36,273","36,377"
.Hall County,"3,782","3,749","3,750","3,709","3,699","3,665","3,613","3,582","3,440","3,398","3,343","3,353","3,355"
.Hamilton County,"8,226","8,239","8,169","8,069","8,225","8,181","8,263","8,389","8,452","8,497","8,527","8,517","8,501"
.Hansford County,"5,369","5,347","5,299","5,242","5,216","5,209","5,258","5,293","5,365","5,512","5,556","5,613","5,625"
.Hardeman County,"4,723","4,718","4,609","4,547","4,534","4,474","4,417","4,409","4,296","4,187","4,086","4,139","4,152"
.Hardin County,"48,075","48,162","48,463","49,045","49,472","50,220","51,141","51,470","52,446","53,206","54,228","54,635","54,748"
.Harris County,"3,401,139","3,414,239","3,471,291","3,536,682","3,586,133","3,630,185","3,681,829","3,807,435","3,863,344","3,938,580","4,034,866","4,092,459","4,110,771"
.Harrison County,"62,096","62,040","62,256","62,062","62,018","62,583","62,811","63,699","63,661","64,107","65,185","65,631","65,766"
.Hartley County,"5,538","5,561","5,601","5,364","5,789","5,800","5,794","5,911","6,047","5,820","5,970","6,062","6,066"
.Haskell County,"6,091","6,062","6,034","5,915","5,883","5,851","5,904","5,817","5,802","5,839","5,862","5,899","5,890"
.Hays County,"97,918","99,267","104,739","111,397","115,665","119,395","125,302","132,111","140,480","147,674","153,619","157,107","158,312"
.Hemphill County,"3,353","3,335","3,327","3,357","3,362","3,410","3,480","3,523","3,538","3,680","3,802","3,807","3,797"
.Henderson County,"73,105","73,332","73,762","74,712","76,349","77,807","78,001","78,404","78,178","78,033","78,231","78,532","78,647"
.Hidalgo County,"569,099","573,216","590,067","610,520","632,475","653,779","674,982","695,352","715,264","736,694","757,468","774,769","780,087"
.Hill County,"32,301","32,539","32,766","33,120","33,755","34,064","34,203","34,484","34,650","34,997","35,005","35,089","35,136"
.Hockley County,"22,719","22,670","22,662","22,745","22,955","22,919","23,094","22,912","22,844","22,958","23,086","22,935","22,864"
.Hood County,"40,987","41,323","42,425","43,344","44,448","45,411","46,470","47,952","48,870","50,112","50,841","51,182","51,306"
.Hopkins County,"31,960","31,999","32,203","32,335","32,625","33,061","33,330","33,746","34,331","34,472","34,919","35,161","35,230"
.Houston County,"23,148","23,135","23,122","23,257","23,336","23,578","23,500","23,551","23,641","23,635","23,660","23,732","23,723"
.Howard County,"33,630","33,489","33,279","33,479","33,396","33,403","33,277","33,328","33,817","34,393","34,882","35,012","35,003"
.Hudspeth County,"3,349","3,357","3,405","3,398","3,345","3,345","3,416","3,459","3,462","3,374","3,423","3,476","3,487"
.Hunt County,"76,562","76,932","78,431","80,234","80,958","82,092","82,822","83,770","84,351","84,447","85,261","86,129","86,353"
.Hutchinson County,"23,864","23,778","23,247","23,116","22,773","22,478","22,209","22,176","22,138","21,851","22,184","22,150","22,122"
.Irion County,"1,765","1,758","1,673","1,697","1,672","1,629","1,613","1,649","1,609","1,571","1,587","1,599","1,606"
.Jack County,"8,751","8,752","8,710","8,916","8,965","9,028","9,092","9,177","9,068","9,030","9,057","9,044","9,028"
.Jackson County,"14,387","14,397","14,187","14,172","14,070","14,039","14,037","13,954","13,857","13,957","14,089","14,075","14,077"
.Jasper County,"35,552","35,552","35,722","35,692","35,580","35,493","35,558","34,861","35,069","35,170","35,331","35,710","35,809"
.Jeff Davis County,"2,207","2,233","2,234","2,201","2,235","2,242","2,249","2,264","2,277","2,316","2,326","2,342","2,346"
.Jefferson County,"251,968","251,667","250,137","250,146","250,183","250,638","250,849","245,962","247,629","249,430","251,332","252,273","252,390"
.Jim Hogg County,"5,283","5,275","5,194","5,220","5,148","5,173","5,194","5,160","5,131","5,198","5,260","5,300","5,306"
.Jim Wells County,"39,344","39,361","39,701","39,821","40,008","40,309","40,449","40,393","40,654","40,554","40,633","40,838","40,919"
.Johnson County,"126,622","127,627","130,795","133,399","136,264","138,833","140,692","142,501","145,123","148,635","150,583","150,934","151,211"
.Jones County,"20,794","20,754","20,294","20,293","20,355","20,298","20,232","20,242","20,102","20,131","20,093","20,202","20,215"
.Karnes County,"15,438","15,403","15,340","15,178","15,119","15,109","14,967","14,985","14,900","14,867","14,805","14,824","14,841"
.Kaufman County,"71,452","72,270","75,223","77,693","81,322","84,240","87,388","91,395","95,694","99,285","101,709","103,350","103,927"
.Kendall County,"23,793","23,980","24,433","24,975","25,892","26,650","27,849","29,134","30,330","31,754","32,655","33,410","33,700"
.Kenedy County,414,420,421,429,428,440,457,426,415,410,403,416,419
.Kent County,859,833,808,815,795,791,784,770,788,787,793,808,809
.Kerr County,"43,646","43,848","44,331","44,894","45,278","46,054","46,809","47,840","48,352","48,852","49,427","49,625","49,658"
.Kimble County,"4,461","4,484","4,494","4,521","4,510","4,562","4,609","4,578","4,518","4,520","4,623","4,607","4,599"
.King County,356,358,313,308,311,316,289,285,284,272,279,286,289
.Kinney County,"3,375","3,387","3,419","3,463","3,394","3,395","3,449","3,488","3,546","3,507","3,568","3,598","3,598"
.Kleberg County,"31,610","31,590","31,315","31,413","31,339","31,362","31,242","31,149","31,370","31,555","31,876","32,061","32,106"
.Knox County,"4,253","4,253","4,070","4,044","4,018","3,940","3,822","3,788","3,721","3,650","3,647","3,719","3,732"
.Lamar County,"48,491","48,596","48,522","48,826","49,159","49,233","49,344","49,386","49,387","49,467","49,600","49,793","49,842"
.Lamb County,"14,713","14,663","14,566","14,658","14,675","14,584","14,583","14,338","14,270","14,036","13,791","13,977","14,025"
.Lampasas County,"17,827","17,900","18,027","18,425","18,579","19,664","18,906","19,472","19,728","19,812","19,652","19,677","19,721"
.La Salle County,"5,863","5,898","5,934","6,098","6,169","6,322","6,542","6,549","6,675","6,653","6,771","6,886","6,899"
.Lavaca County,"19,217","19,190","18,958","19,101","19,152","19,130","19,185","19,181","19,238","19,185","19,226","19,263","19,256"
.Lee County,"15,650","15,701","16,008","16,131","16,234","16,220","16,330","16,348","16,421","16,550","16,565","16,612","16,610"
.Leon County,"15,307","15,395","15,452","15,718","15,795","15,837","16,104","16,334","16,390","16,832","16,862","16,801","16,780"
.Liberty County,"70,196","70,576","71,679","73,280","73,734","74,285","74,303","74,269","74,515","74,915","75,041","75,643","75,868"
.Limestone County,"22,050","22,053","22,159","22,486","22,721","22,942","22,919","23,093","23,090","23,065","23,173","23,384","23,428"
.Lipscomb County,"3,050","3,025","2,948","3,033","3,097","3,028","3,057","3,115","3,178","3,183","3,326","3,302","3,286"
.Live Oak County,"12,262","12,233","12,071","11,955","11,768","11,689","11,631","11,559","11,528","11,479","11,410","11,531","11,560"
.Llano County,"16,996","17,077","17,499","17,872","18,153","18,220","18,425","18,502","18,935","19,034","19,175","19,301","19,316"
.Loving County,67,65,66,75,72,55,70,75,79,61,77,82,83
.Lubbock County,"242,644","243,109","246,616","249,407","253,388","255,669","257,779","261,761","265,215","268,197","274,252","278,831","280,237"
.Lynn County,"6,547","6,489","6,444","6,421","6,232","6,172","6,178","6,192","5,989","5,932","5,927","5,915","5,902"
.McCulloch County,"8,203","8,175","8,034","7,927","8,033","8,164","8,117","8,183","8,105","8,203","8,365","8,283","8,246"
.McLennan County,"213,525","213,967","215,099","216,571","218,744","221,353","222,794","224,452","226,741","229,037","231,679","234,906","236,028"
.McMullen County,847,843,819,795,801,735,789,765,773,736,699,707,712
.Madison County,"12,945","12,967","13,680","12,797","12,989","13,146","13,136","13,264","13,353","13,340","13,483","13,664","13,725"
.Marion County,"10,939","10,950","11,077","11,032","11,120","11,004","10,980","10,992","10,951","10,748","10,669","10,546","10,494"
.Martin County,"4,746","4,720","4,697","4,654","4,553","4,398","4,447","4,443","4,494","4,558","4,710","4,799","4,825"
.Mason County,"3,735","3,734","3,743","3,725","3,762","3,811","3,813","3,862","3,897","3,876","3,982","4,012","4,022"
.Matagorda County,"37,919","37,873","37,804","37,662","37,695","37,388","37,132","36,743","36,452","36,708","36,579","36,702","36,751"
.Maverick County,"47,285","47,343","47,594","48,408","49,123","49,627","50,140","50,951","51,367","52,190","53,434","54,258","54,521"
.Medina County,"39,318","39,484","40,053","40,707","41,549","42,363","42,977","43,936","44,577","45,131","45,605","46,006","46,115"
.Menard County,"2,357","2,342","2,321","2,340","2,311","2,265","2,212","2,199","2,176","2,217","2,227","2,242","2,243"
.Midland County,"116,034","115,560","116,180","117,717","119,164","120,746","122,516","125,844","128,954","132,502","136,238","136,872","136,975"
.Milam County,"24,235","24,290","24,445","24,981","24,917","25,136","25,017","25,082","24,946","25,065","24,864","24,757","24,714"
.Mills County,"5,143","5,107","4,983","4,973","4,885","4,880","4,957","4,854","4,871","4,876","4,877","4,936","4,955"
.Mitchell County,"9,696","9,628","9,576","9,420","9,366","9,280","9,322","9,279","9,339","9,285","9,399","9,403","9,407"
.Montague County,"19,108","19,166","19,196","19,170","19,388","19,444","19,551","19,781","19,822","19,882","19,768","19,719","19,694"
.Montgomery County,"293,779","297,296","311,437","326,466","341,499","357,607","372,541","392,497","411,416","429,818","445,836","455,746","459,018"
.Moore County,"20,123","20,121","20,281","20,155","20,223","20,389","20,312","20,558","20,469","20,917","21,575","21,904","21,990"
.Morris County,"13,043","13,027","13,179","13,170","13,139","12,983","13,012","13,168","13,251","13,092","12,954","12,934","12,918"
.Motley County,"1,421","1,435","1,340","1,311","1,319","1,270","1,257","1,236","1,228","1,197","1,200","1,210","1,215"
.Nacogdoches County,"59,197","59,224","59,541","59,422","59,816","60,427","60,939","61,750","62,274","62,957","64,012","64,524","64,710"
.Navarro County,"45,113","45,202","45,577","45,937","46,078","46,545","46,854","47,338","47,272","47,408","47,584","47,735","47,812"
.Newton County,"15,054","15,038","15,023","14,945","14,938","14,560","14,625","14,349","14,335","14,393","14,446","14,445","14,423"
.Nolan County,"15,805","15,947","15,503","15,194","15,148","15,013","14,745","14,740","14,750","15,093","15,128","15,216","15,238"
.Nueces County,"313,512","313,673","313,670","316,256","317,632","321,879","325,515","329,113","330,512","333,526","338,220","340,223","340,480"
.Ochiltree County,"9,001","8,988","9,134","9,106","8,981","9,149","9,384","9,557","9,812","9,962","10,225","10,223","10,211"
.Oldham County,"2,183","2,186","2,132","2,069","2,072","2,039","2,010","2,010","1,992","2,004","2,040","2,052","2,054"
.Orange County,"85,033","84,930","84,108","83,813","83,553","83,580","83,500","81,687","82,255","82,612","81,586","81,837","81,930"
.Palo Pinto County,"27,015","27,074","27,128","27,144","27,294","27,276","27,511","27,859","27,679","27,916","28,071","28,111","28,112"
.Panola County,"22,759","22,764","22,773","22,953","23,021","22,892","23,140","23,456","23,351","23,537","23,678","23,796","23,824"
.Parker County,"88,429","89,159","91,660","94,092","97,041","99,320","101,891","105,387","109,408","112,911","115,802","116,927","117,283"
.Parmer County,"10,008","9,991","9,842","10,032","10,155","10,168","10,099","10,035","10,075","9,994","10,082","10,269","10,306"
.Pecos County,"16,793","16,667","16,284","16,084","15,709","15,554","15,385","15,403","15,321","15,251","15,490","15,507","15,535"
.Polk County,"41,152","41,539","42,945","43,928","44,779","45,315","45,472","45,495","45,727","45,794","45,537","45,413","45,395"
.Potter County,"113,655","113,762","114,307","115,427","117,067","117,682","118,771","119,780","119,537","119,740","120,118","121,073","121,446"
.Presidio County,"7,304","7,355","7,409","7,534","7,583","7,561","7,719","7,638","7,712","7,683","7,593","7,818","7,888"
.Rains County,"9,128","9,196","9,664","9,985","10,290","10,446","10,589","10,830","10,994","11,022","10,956","10,914","10,908"
.Randall County,"104,176","104,609","105,399","106,286","107,607","109,441","111,113","112,464","114,782","116,518","119,084","120,725","121,208"
.Reagan County,"3,325","3,290","3,230","3,189","3,130","3,161","3,143","3,160","3,260","3,339","3,377","3,367","3,352"
.Real County,"3,046","3,067","3,020","3,020","3,123","3,138","3,154","3,264","3,308","3,241","3,274","3,309","3,310"
.Red River County,"14,314","14,297","14,156","13,914","13,703","13,584","13,444","13,237","13,072","12,922","12,835","12,860","12,870"
.Reeves County,"13,141","13,115","13,022","13,017","12,910","12,721","12,675","12,747","13,039","13,211","13,550","13,783","13,798"
.Refugio County,"7,830","7,827","7,765","7,665","7,563","7,630","7,601","7,548","7,414","7,430","7,410","7,383","7,369"
.Roberts County,887,884,880,862,825,841,855,849,887,904,929,929,929
.Robertson County,"15,972","16,062","16,132","16,053","16,074","16,260","16,509","16,581","16,546","16,535","16,604","16,622","16,603"
.Rockwall County,"43,023","43,755","46,697","50,078","53,397","56,477","60,349","66,117","70,851","73,929","76,654","78,337","79,003"
.Runnels County,"11,473","11,458","11,148","11,002","10,815","10,774","10,842","10,587","10,506","10,444","10,392","10,501","10,530"
.Rusk County,"47,410","47,456","47,837","48,244","48,540","49,160","49,703","50,415","51,278","52,195","52,799","53,330","53,393"
.Sabine County,"10,400","10,388","10,435","10,477","10,482","10,498","10,445","10,583","10,541","10,565","10,721","10,834","10,853"
.San Augustine County,"8,939","8,959","8,860","8,985","9,034","9,085","9,060","9,128","9,048","9,039","8,938","8,865","8,827"
.San Jacinto County,"22,211","22,549","22,897","23,415","24,100","24,756","25,014","25,151","25,719","25,889","26,086","26,384","26,451"
.San Patricio County,"67,273","67,333","66,690","66,820","66,440","66,990","67,232","67,022","66,723","66,417","65,751","64,804","64,586"
.San Saba County,"6,185","6,268","6,181","6,042","5,981","6,045","5,982","5,985","5,985","5,965","6,026","6,131","6,154"
.Schleicher County,"2,934","2,929","3,016","3,036","2,958","2,991","3,071","3,085","3,198","3,255","3,311","3,461","3,493"
.Scurry County,"16,366","16,251","15,838","15,982","15,931","16,118","16,085","16,232","16,431","16,478","16,806","16,921","16,949"
.Shackelford County,"3,302","3,297","3,334","3,388","3,349","3,290","3,286","3,287","3,357","3,314","3,362","3,378","3,372"
.Shelby County,"25,215","25,212","25,171","25,155","25,407","25,212","25,299","25,324","25,433","25,381","25,520","25,448","25,455"
.Sherman County,"3,184","3,181","3,131","3,164","3,113","3,045","2,970","2,946","2,969","3,035","3,018","3,034","3,034"
.Smith County,"174,861","175,658","177,836","181,107","184,254","187,300","191,362","196,124","199,953","203,263","207,111","209,714","210,512"
.Somervell County,"6,913","6,940","7,017","7,229","7,400","7,502","7,629","7,853","7,996","8,233","8,415","8,490","8,503"
.Starr County,"53,573","53,733","54,294","55,412","56,704","57,857","58,284","59,050","59,529","59,763","60,384","60,968","61,220"
.Stephens County,"9,676","9,636","9,455","9,374","9,407","9,327","9,409","9,450","9,513","9,556","9,675","9,630","9,616"
.Sterling County,"1,393","1,358","1,341","1,326","1,285","1,261","1,198","1,124","1,152","1,169","1,160","1,143","1,138"
.Stonewall County,"1,691","1,664","1,568","1,487","1,452","1,427","1,393","1,425","1,439","1,443","1,433","1,490","1,506"
.Sutton County,"4,073","4,024","4,032","4,072","4,029","4,124","4,203","4,299","4,314","4,321","4,272","4,128","4,080"
.Swisher County,"8,369","8,341","8,248","8,071","8,062","8,004","7,910","7,901","7,855","7,802","7,680","7,854","7,903"
.Tarrant County,"1,449,290","1,456,919","1,490,204","1,524,249","1,553,086","1,580,595","1,612,048","1,662,005","1,707,157","1,745,602","1,784,078","1,809,034","1,817,658"
.Taylor County,"126,606","126,649","125,920","125,920","125,542","126,702","127,248","127,838","128,503","128,903","130,247","131,506","131,896"
.Terrell County,"1,081","1,059","1,017","1,009",995,939,942,921,886,884,930,984,"1,003"
.Terry County,"12,757","12,705","12,473","12,559","12,534","12,532","12,417","12,448","12,424","12,394","12,550","12,651","12,676"
