National Center for Education Statistics,,,,,,,,,,,,,,,,
"Table 20. Number of full-time, first-time degree/certificate-seeking undergraduate students in the adjusted cohort, number of completers, and graduation rate within 150 percent of normal program completion time at Title IV institutions, by control of institution, level of institution, and type of aid received: United States, cohort years 2014 and 2017",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Level of institution and type of aid received,,All institutions,,,,Public,,,,Private,,,,,,
,,,,,,,,,,Nonprofit,,,,For-profit,,
All students,,"693,000","248,715",35.9,,"579,771","178,425",30.8,,"14,342","7,819",54.5,,"98,887","62,471",63.2
Received Pell Grant,,"386,765","132,519",34.3,,"306,016","84,280",27.5,,"10,632","5,330",50.1,,"70,117","42,909",61.2
"Received Direct Subsidized Loan, but not a   Pell Grant",,"38,435","16,600",43.2,,"27,290","8,517",31.2,,"1,004",700,69.7,,"10,141","7,383",72.8
Received neither a Pell Grant or a Direct   Subsidized Loan,,"267,800","99,596",37.2,,"246,465","85,628",34.7,,"2,706","1,789",66.1,,"18,629","12,179",65.4
,,,,,,,,,,,,,,,,
Less-than-2-year institutions   (cohort year 2017),,,,,,,,,,,,,,,,
All students,,"137,835","95,482",69.3,,"16,577","11,803",71.2,,"5,499","4,084",74.3,,"115,759","79,595",68.8
Received Pell Grant,,"93,270","63,862",68.5,,"8,617","6,408",74.4,,"3,590","2,733",76.1,,"81,063","54,721",67.5
"Received Direct Subsidized Loan, but not a   Pell Grant",,"12,866","9,829",76.4,,"1,049",838,79.9,,270,228,84.4,,"11,547","8,763",75.9
Received neither a Pell Grant or a Direct   Subsidized Loan,,"31,699","21,791",68.7,,"6,911","4,557",65.9,,"1,639","1,123",68.5,,"23,149","16,111",69.6
"NOTE: Title IV institutions are those with a written agreement with the U.S. Department of Education that allows the institution to participate in any of the Title IV federal student financial assistance programs. United States includes the 50 states and the District of Columbia. The four U.S. service academies that are not Title IV eligible are included in the Integrated Postsecondary Education Data System (IPEDS) universe because they are federally funded and open to the public and are included in this table. The graduation rate was calculated as required for disclosure and reporting purposes under the Student Right-to-Know Act. This rate was calculated as the total number of completers within 150 percent of normal time (e.g. ""normal"" program completion time for a bachelor's degree would be 4 years) at the same institution where the student started divided by the adjusted cohort (revised cohort minus any allowable exclusions). The revised cohort is the number of students entering the institution as full-time, first-time degree- or certificate-seeking undergraduates in the reference year. Allowable exclusions include those students who died or were totally and permanently disabled; students who left school to serve in the armed forces (or have been called up to active duty); those who left to serve with a foreign aid service of the federal government, such as the Peace Corps; and those who left to serve on official church missions. Definitions for terms used in this table may be found in the collection year’s archived downloadable glossary located at https://nces.ed.gov/ipeds/use-the-data/annual-survey-forms-packages-archived?year=2020.",,,,,,,,,,,,,,,,
"SOURCE: U.S. Department of Education, National Center for Education Statistics, IPEDS, Winter 2020–21, Graduation Rates component (final data).",,,,,,,,,,,,,,,,
