mapped_rows,3,,,,,,,
mapped_columns,2,,,,,,,
Region,observationAbout,{Data},measuredProperty,count,populationType,Person,statType,measuredValue
"Projected mid year Population (’000) for 5 year age groups(10-14), Female",gender,Female,age,[10 14 Years],#Multiply,1000,,
"Projected mid year Population (’000) for 5 year age groups(15-19), Female",gender,Female,age,[15 19 Years],#Multiply,1000,,
"Projected mid year Population (’000) for 5 year age groups(20-24), Female",gender,Female,age,[20 24 Years],#Multiply,1000,,
"Projected mid year Population (’000) for 5 year age groups(25-29), Female",gender,Female,age,[25 29 Years],#Multiply,1000,,
"Projected mid year Population (’000) for 5 year age groups(30-34), Female",gender,Female,age,[30 34 Years],#Multiply,1000,,
"Projected mid year Population (’000) for 5 year age groups(35-39), Female",gender,Female,age,[35 39 Years],#Multiply,1000,,
"Projected mid year Population (’000) for 5 year age groups(40-44), Female",gender,Female,age,[40 44 Years],#Multiply,1000,,
"Projected mid year Population (’000) for 5 year age groups(45-49), Female",gender,Female,age,[45 49 Years],#Multiply,1000,,
"Projected mid year Population (’000) for 5 year age groups(50-54), Female",gender,Female,age,[50 54 Years],#Multiply,1000,,
"Projected mid year Population (’000) for 5 year age groups(55-59), Female",gender,Female,age,[55 59 Years],#Multiply,1000,,
"Projected mid year Population (’000) for 5 year age groups(60-64), Female",gender,Female,age,[60 64 Years],#Multiply,1000,,
"Projected mid year Population (’000) for 5 year age groups(65-69), Female",gender,Female,age,[65 69 Years],#Multiply,1000,,
"Projected mid year Population (’000) for 5 year age groups(70-74), Female",gender,Female,age,[70 74 Years],#Multiply,1000,,
"Projected mid year Population (’000) for 5 year age groups(75-79), Female",gender,Female,age,[75 79 Years],#Multiply,1000,,
"Projected mid year Population (’000) for 5 year age groups(80+), Female",gender,Female,age,[80 - Years],#Multiply,1000,,
Year1969,value,{Number},observationDate,1969,,,,
Year1980,value,{Number},observationDate,1980,,,,
Year1991,value,{Number},observationDate,1991,,,,
Year1992,value,{Number},observationDate,1992,,,,
Year1993,value,{Number},observationDate,1993,,,,
Year1994,value,{Number},observationDate,1994,,,,
Year1995,value,{Number},observationDate,1995,,,,
Year1996,value,{Number},observationDate,1996,,,,
Year1997,value,{Number},observationDate,1997,,,,
Year1998,value,{Number},observationDate,1998,,,,
Year1999,value,{Number},observationDate,1999,,,,
Year2000,value,{Number},observationDate,2000,,,,
Year2001,value,{Number},observationDate,2001,,,,
Year2002,value,{Number},observationDate,2002,,,,
Year2003,value,{Number},observationDate,2003,,,,
Year2004,value,{Number},observationDate,2004,,,,
Year2005,value,{Number},observationDate,2005,,,,
Year2006,value,{Number},observationDate,2006,,,,
Year2007,value,{Number},observationDate,2007,,,,
Year2008,value,{Number},observationDate,2008,,,,
Year2009,value,{Number},observationDate,2009,,,,
Year2010,value,{Number},observationDate,2010,,,,
Year2011,value,{Number},observationDate,2011,,,,
Year2012,value,{Number},observationDate,2012,,,,
Year2013,value,{Number},observationDate,2013,,,,
Year2014,value,{Number},observationDate,2014,,,,
Year2015,value,{Number},observationDate,2015,,,,
Year2016,value,{Number},observationDate,2016,,,,
