key,p1,v1,p2,v2,p3,v3,p4,v4
SUNSD,measuredProperty,sunshineDuration,populationType,Place,unit,Second,,
LFTX,measuredProperty,surfaceLiftedIndex,populationType,Atmosphere,unit,Kelvin,,
CAPE,measuredProperty,convectiveAvailablePotentialEnergy,populationType,Atmosphere,unit,JoulePerKilogram,,
CIN,measuredProperty,convectiveInhibition,populationType,Atmosphere,unit,JoulePerKilogram,,
PWAT,measuredProperty,precipitableWater,populationType,Place,unit,KilogramPerMeterSquared,,
CWAT,measuredProperty,cloudWater,populationType,Place,unit,KilogramPerMeterSquared,,
TOZNE,measuredProperty,concentration,populationType,Atmosphere,pollutant,Ozone,,
LCDC,measuredProperty,cloudCover,populationType,Place,unit,Percent,,
MCDC,measuredProperty,cloudCover,populationType,Place,unit,Percent,,
HCDC,measuredProperty,cloudCover,populationType,Place,unit,Percent,,
HLCY,measuredProperty,stormRelativeHelicity,populationType,Atmosphere,unit,MetersSquaredPerSecondSquared,,
USTM,measuredProperty,stormMotion,populationType,Atmosphere,windComponent,UComponent,unit,MeterPerSecond
VSTM,measuredProperty,stormMotion,populationType,Atmosphere,windComponent,VComponent,unit,MeterPerSecond
ICAHT,measuredProperty,altitude,populationType,Atmosphere,measurementQualifier,ICAOStandardAtmosphere,unit,Meter
VWSH,measuredProperty,windShear,populationType,Atmosphere,unit,InverseSecond,,
4LFTX,measuredProperty,bestLiftedIndex,populationType,Atmosphere,unit,Kelvin,,
HPBL,measuredProperty,altitude,populationType,Atmosphere,measurementQualifier,PlanetaryBoundaryLayer,unit,Meter
POT,measuredProperty,potentialTemperature,populationType,Atmosphere,unit,Kelvin,,
PLPL,measuredProperty,pressure,populationType,Atmosphere,measurementQualifier,LiftedParcelLevel,unit,Pascal
LAND,measuredProperty,area,populationType,LandCover,unit,SquareDegree,#Multiply,0.0625
ICEC,measuredProperty,area,populationType,IceCover,unit,SquareDegree,#Multiply,0.0625
ICETMP,measuredProperty,temperature,populationType,SeaIce,unit,Kelvin,,
mean sea level,height,[0 MetersAboveMeanSeaLevel],,,,,,
1 hybrid level,height,LowestHybridLevel,,,,,,
entire atmosphere,,,,,,,,
surface,height,SurfaceLevel,,,,,,
planetary boundary layer,height,PlanetaryBoundaryLayer,,,,,,
0.01 mb,height,[0.01 Millibar],,,,,,
0.02 mb,height,[0.02 Millibar],,,,,,
0.04 mb,height,[0.04 Millibar],,,,,,
0.07 mb,height,[0.07 Millibar],,,,,,
0.1 mb,height,[0.1 Millibar],,,,,,
0.2 mb,height,[0.2 Millibar],,,,,,
0.4 mb,height,[0.4 Millibar],,,,,,
0.7 mb,height,[0.7 Millibar],,,,,,
1 mb,height,[1 Millibar],,,,,,
2 mb,height,[2 Millibar],,,,,,
3 mb,height,[3 Millibar],,,,,,
5 mb,height,[5 Millibar],,,,,,
7 mb,height,[7 Millibar],,,,,,
10 mb,height,[10 Millibar],,,,,,
15 mb,height,[15 Millibar],,,,,,
20 mb,height,[20 Millibar],,,,,,
30 mb,height,[30 Millibar],,,,,,
40 mb,height,[40 Millibar],,,,,,
50 mb,height,[50 Millibar],,,,,,
70 mb,height,[70 Millibar],,,,,,
100 mb,height,[100 Millibar],,,,,,
150 mb,height,[150 Millibar],,,,,,
200 mb,height,[200 Millibar],,,,,,
250 mb,height,[250 Millibar],,,,,,
300 mb,height,[300 Millibar],,,,,,
350 mb,height,[350 Millibar],,,,,,
400 mb,height,[400 Millibar],,,,,,
450 mb,height,[450 Millibar],,,,,,
500 mb,height,[500 Millibar],,,,,,
550 mb,height,[550 Millibar],,,,,,
600 mb,height,[600 Millibar],,,,,,
650 mb,height,[650 Millibar],,,,,,
700 mb,height,[700 Millibar],,,,,,
750 mb,height,[750 Millibar],,,,,,
800 mb,height,[800 Millibar],,,,,,
850 mb,height,[850 Millibar],,,,,,
900 mb,height,[900 Millibar],,,,,,
925 mb,height,[925 Millibar],,,,,,
950 mb,height,[950 Millibar],,,,,,
975 mb,height,[975 Millibar],,,,,,
1000 mb,height,[1000 Millibar],,,,,,
4000 m above ground,height,[4000 Meter],measurementMethod,GroundLevel,,,,
0-0.1 m below ground,depth,[0 0.1 Meter],measurementMethod,GroundLevel,,,,
0.1-0.4 m below ground,depth,[0.1 0.4 Meter],measurementMethod,GroundLevel,,,,
0.4-1 m below ground,depth,[0.4 1 Meter],measurementMethod,GroundLevel,,,,
1-2 m below ground,depth,[1 2 Meter],measurementMethod,GroundLevel,,,,
2 m above ground,height,[2 Meter],measurementMethod,GroundLevel,,,,
10 m above ground,height,[10 Meter],measurementMethod,GroundLevel,,,,
10 m above mean sea level,height,[10 MetersAboveMeanSeaLevel],,,,,,
low cloud layer,height,LowCloudLayer,,,,,,
middle cloud layer,height,MiddleCloudLayer,,,,,,
high cloud layer,height,HighCloudLayer,,,,,,
cloud ceiling,height,CloudCeiling,,,,,,
3000-0 m above ground,height,[3000 0 Meter],measurementMethod,GroundLevel,,,,
6000-0 m above ground,height,[6000 0 Meter],measurementMethod,GroundLevel,,,,
tropopause,height,Tropopause,,,,,,
max wind,height,MaxWind,,,,,,
20 m above ground,height,[20 Meter],measurementMethod,GroundLevel,,,,
30 m above ground,height,[30 Meter],measurementMethod,GroundLevel,,,,
40 m above ground,height,[40 Meter],measurementMethod,GroundLevel,,,,
50 m above ground,height,[50 Meter],measurementMethod,GroundLevel,,,,
80 m above ground,height,[80 Meter],measurementMethod,GroundLevel,,,,
100 m above ground,height,[100 Meter],measurementMethod,GroundLevel,,,,
1829 m above mean sea level,height,[1829 MetersAboveMeanSeaLevel],,,,,,
2743 m above mean sea level,height,[2743 MetersAboveMeanSeaLevel],,,,,,
3658 m above mean sea level,height,[3658 MetersAboveMeanSeaLevel],,,,,,
0C isotherm,height,Isotherm0C,,,,,,
highest tropospheric freezing level,height,HighestTroposphericFreezingLevel,,,,,,
30-0 mb above ground,height,[30 0 Millibar],,,,,,
180-0 mb above ground,height,[180 0 Millibar],,,,,,
0.33-1 sigma layer,height,0.33To1SigmaLayer,,,,,,
0.995 sigma level,height,0.995SigmaLevel,,,,,,
90-0 mb above ground,height,[90 0 Millibar],,,,,,
255-0 mb above ground,height,[255 0 Millibar],,,,,,
PV=2e-06 (Km^2/kg/s) surface,height,PotentialVorticity2PVU,,,,,,
PV=-2e-06 (Km^2/kg/s) surface,height,PotentialVorticityNeg2PVU,,,,,,
