StateName,DistrictName,Month,Year,StationName,SurfaceWaterStationLatitude,SurfaceWaterStationLongitude,Dichlorophenoxyacetic-acid(24D),Silver(Ag),Aluminium(Al),Aldrin,Alkalinity-Phenolphthalein,Arsenic(As),Boron(B),BiochemicalOxygenDemand,cyanides(CN),Carbonate(CO3),Calcium(Ca),Cadimum(Cd),ChemicalOxygenDemand,Chlorophyll-a,Chloride(Cl),ColourCode,Chromium(Cr),Copper(Cu),DisolvedOxygen(DO),DisolvedOxygenSaturation(DO_SATURATION),Dichlorodiphenyltrichloroethane,Dieldrin,ElectricalConductivity,Endosulfan,Fluorine(F),FaecalColiform-MPN,Iron(Fe),HardnessCalcium,HardnessTotal,Hydrogencarbonate(HCO3),Mercury(Hg),Potassium(K),Magnesium(Mg),Manganese(Mn),ammonia(NH3),Nitrateandnitrite(NO2+NO3),Nitrate(NO3),Nitrate-Nitrogen(NO3-N),Sodium(Na),Sodium%(Na%),Nickel(Ni),OdourCode(Odour_Code),Organic-N,Lead(Pb),Phenols,Phosphorus-Tot,ResidualSodiumCarbonate,Sodiumabsorptionratio(SAR),Sulfate(SO4),Selenium(Se),Secchi,Silicondioxide(SiO2),Silicate(SiO3),SuspendedSolids,AlkalinityTotal,Temperature(Temp),TotalColiformOrganism,TotalDissolvedSolids,TotalOrganicCarbon,TotalSolids,Turbidity,Zinc(Zn),benzenehexachloride,orthophosphate,PotentialofHydrogen(pH),PotentialofHydrogenFLD(pH_FLD),ObsMonth,LGDCode,dcid,LatLong,StationNameLong
Karnataka,Udupi,2023-02,2016,Yennehole,13.29416667,74.98055556,,,,,,0.3,,,,,,0.01,,,,,0.1,0.11,,,,,,,,,,,,,,,,,,,,,,,0.01,,,0.39,,,,,,,,,,,,,,,,,,0.1,,,,,2016-02,549,indiaWris/549_Yennehole,[LatLong 13.29417 74.98056],"Yennehole, Udupi, Karnataka"
Kerala,Ernakulam,2023-05,2014,Neeleeswaram,10.18333333,76.49555556,,,,,,7.43,,,,,,0.019,,,,,0.92,0.88,,,,,,,,,,,,,,,,,,,,,,,0.2,,,0.517,,,,,,,,,,,,,,,,,,1.0,,,,,2014-05,555,indiaWris/555_Neeleeswaram,[LatLong 10.18333 76.49556],"Neeleeswaram, Ernakulam, Kerala"
Kerala,Kottayam,2023-05,2013,Kidangoor,9.675,76.60277778,,,,,,1.574,,,,,,0.0,,,,,0.23,1.74,,,,,,,,,,,,,,,,,,,,,,,0.651,,,3.247,,,,,,,,,,,,,,,,,,5.112,,,,,2013-05,560,indiaWris/560_Kidangoor,[LatLong 9.67500 76.60278],"Kidangoor, Kottayam, Kerala"
Kerala,Palakkad,2023-05,2014,Pudur,10.7775,76.51222222,,,,,,1.57,,,,,,0.017,,,,,0.86,1.71,,,,,,,,,,,,,,,,,,,,,,,3.72,,,0.059,,,,,,,,,,,,,,,,,,4.0,,,,,2014-05,563,indiaWris/563_Pudur,[LatLong 10.77750 76.51222],"Pudur, Palakkad, Kerala"
Kerala,Pathanamthitta,2023-05,2013,Thumpamon,9.225,76.71444444,,,,,,2.309,,,,,,0.0,,,,,0.22,1.7,,,,,,,,,,,,,,,,,,,,,,,0.453,,,3.054,,,,,,,,,,,,,,,,,,3.062,,,,,2013-05,564,indiaWris/564_Thumpamon,[LatLong 9.22500 76.71444],"Thumpamon, Pathanamthitta, Kerala"
Maharashtra,Pune,2023-06,2004,Sarati,17.91194444,75.0075,,,,,,,,,,,,,,,,,,,,,,,248.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.11,,2004-06,490,indiaWris/490_Sarati,[LatLong 17.91194 75.00750],"Sarati, Pune, Maharashtra"
Uttar Pradesh,Farrukhabad,2023-03,2017,Fatehgarh,27.39902,79.6266,,,,,0.0,,0.24,9.6,,0.1,40.0,,,,8.6,,,,,,,,,,0.29,,,,,144.1,,8.4,11.6,,7.16,,,,5.0,,,,,,,0.58,,,21.0,,,,,,0.0,38.0,3000.0,130.0,,,,,,,8.1,7.0,2017-03,141,indiaWris/141_Fatehgarh,[LatLong 27.39902 79.62660],"Fatehgarh, Farrukhabad, Uttar Pradesh"
West Bengal,Purba Bardhaman,2023-05,2017,Kalna (Ebb),23.22472222,88.37416667,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-05,306,indiaWris/306_KalnaEbb,[LatLong 23.22472 88.37417],"Kalna (Ebb), Purba Bardhaman, West Bengal"
West Bengal,Maldah,2023-02,2001,Englishbazar,24.99472222,88.14916667,,,,,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,2001-02,316,indiaWris/316_Englishbazar,[LatLong 24.99472 88.14917],"Englishbazar, Maldah, West Bengal"
West Bengal,Murshidabad,2023-09,2008,Berhampore,24.09111111,88.24305556,,,,,,,,,,4.7,29.2,,,,5.6,,,,,,,,,,,,,,,65.6,,3.51,16.56,,,,,,17.02,,,,,,,,,,4.32,,,,,,,62.0,,,,,,,,,,8.5,2008-09,319,indiaWris/319_Berhampore,[LatLong 24.09111 88.24306],"Berhampore, Murshidabad, West Bengal"
West Bengal,Nadia,2023-04,2008,Chapra,23.50805556,88.54361111,,,,,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,2008-04,320,indiaWris/320_Chapra,[LatLong 23.50806 88.54361],"Chapra, Nadia, West Bengal"
West Bengal,Nadia,2023-08,2007,Chapra,23.50805556,88.54361111,,,,,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,2007-08,320,indiaWris/320_Chapra,[LatLong 23.50806 88.54361],"Chapra, Nadia, West Bengal"
West Bengal,Nadia,2023-07,2011,Chapra,23.50805556,88.54361111,,,,,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,2011-07,320,indiaWris/320_Chapra,[LatLong 23.50806 88.54361],"Chapra, Nadia, West Bengal"
West Bengal,Nadia,2023-05,2008,Chapra,23.50805556,88.54361111,,,,,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,2008-05,320,indiaWris/320_Chapra,[LatLong 23.50806 88.54361],"Chapra, Nadia, West Bengal"
West Bengal,Nadia,2023-11,2011,Chapra,23.50805556,88.54361111,,,,,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,2011-11,320,indiaWris/320_Chapra,[LatLong 23.50806 88.54361],"Chapra, Nadia, West Bengal"
Arunachal Pradesh,Lohit,2023-07,2010,Tezu,27.91083333,96.17055556,,,,,0.0,,,,,0.0,37.84,,,,8.0,,,,,,,,200.0,,,,,,98.8917,146.4,,9.6,1.03,,,,,,3.41,6.26636,,,,,,,0.426517,0.149332,,,94.6,,,,120.0,,,,,,,,,,7.01,7.01,2010-07,234,indiaWris/234_Tezu,[LatLong 27.91083 96.17056],"Tezu, Lohit, Arunachal Pradesh"
Assam,Goalpara,2023-04,2010,Dudhnai,25.97916667,90.79444444,,,,,0.0,,,,,0.0,10.32,,,,8.0,,,,,,,,81.4,,,,,,43.0083,56.12,,0.1,4.13,,,,,,3.81,16.1976,,,,,,,0.0650101,0.253487,,,25.8,,,,46.0,30.0,,54.0,,,,,,,7.71,,2010-04,287,indiaWris/287_Dudhnai,[LatLong 25.97917 90.79444],"Dudhnai, Goalpara, Assam"
Assam,Jorhat,2023-10,2010,Neamatighat,26.87,94.25222222,,,,,0.0,,,,,0.0,22.36,,,,8.0,,,,,,,,113.3,,,,,,81.6917,73.2,,0.85,6.19,,,,,,1.95,4.89781,,,,,,,0.0,0.0940926,,,55.9,,,,60.0,57.2,,76.0,,,,,,,6.94,6.94,2010-10,290,indiaWris/290_Neamatighat,[LatLong 26.87000 94.25222],"Neamatighat, Jorhat, Assam"
Assam,Tinsukia,2023-01,2008,Udaipur,27.33714722,95.85018056,,,,,0.0,,,,,0.0,16.0,,,,31.95,,,,,,,,117.4,,,,,,59.7438,73.2,,1.173,4.7385,,,,,,3.91,12.249,,,,,,,0.0114399,0.220635,7.8,,40.0,,,,60.0,,,65.9,,,,,,,6.2,6.2,2008-01,302,indiaWris/302_Udaipur,[LatLong 27.33715 95.85018],"Udaipur, Tinsukia, Assam"
Bihar,Muzaffarpur,2023-12,2006,Sikandarpur (Muzzafarpur),26.13333333,85.4,,,,,27.888,,0.54,,,33.6,13.76,,,,16.0,,,,,,,,650.0,,,,,,171.983,219.6,,15.0,33.02,,,,,,21.0,19.4312,,,,,,,1.3157,0.700189,13.0,,34.4,13.0,,,416.256,46.0,,,,,,,,,8.43,,2006-12,208,indiaWris/208_SikandarpurMuzzafarpur,[LatLong 26.13333 85.40000],"Sikandarpur (Muzzafarpur), Muzaffarpur, Bihar"
Kerala,Idukki,2023-02,2010,Vandiperiyar,9.573333333,77.09055556,,,,,0.0,,0.071,1.6,,0.0,7.2,,12.8,,12.1,,,,,,,,94.0,,0.229,1600.0,0.03,,30.0833,36.6,,2.8,2.9,,0.213,,,,8.6,35.8435,,,,,,,0.00196998,0.684141,1.0,,18.0,28.8,,,30.0,47.0,1600.0,52.0,,,,,,0.01,6.25,,2010-02,556,indiaWris/556_Vandiperiyar,[LatLong 9.57333 77.09056],"Vandiperiyar, Idukki, Kerala"
Madhya Pradesh,Sidhi,2023-06,2008,Kuldah Bridge,24.41666667,81.68333333,,,,,0.0,,0.02,,,0.0,33.67,,,,29.82,,,,,,,,240.0,,0.282,,0.019,,134.342,112.24,,5.07,12.04,,0.05,0.01,0.0,0.01,16.1,20.003,,,,,,0.0088,0.0,0.605989,30.4,,84.175,11.32,,,92.0,49.0,,,,,,,,,8.2,8.0,2008-06,433,indiaWris/433_KuldahBridge,[LatLong 24.41667 81.68333],"Kuldah Bridge, Sidhi, Madhya Pradesh"
Tamil Nadu,Dharmapuri,2023-03,2008,Thoppur,11.93833333,78.05722222,,,,,0.0,,0.345,,,0.0,54.51,,,,105.52,,,,,,,,1270.0,,1.453,,0.1,,395.525,522.29,,3.7,62.22,,0.057,9.918,0.048,9.87,135.0,42.5302,,,,,,,0.720742,2.96584,78.66,,136.275,55.24,,,428.107,,,,,,,,,,8.07,,2008-03,571,indiaWris/571_Thoppur,[LatLong 11.93833 78.05722],"Thoppur, Dharmapuri, Tamil Nadu"
Tamil Nadu,Nagapattinam,2023-02,2010,Gopurajapuram,10.85138889,79.8,,,,,0.0,,,1.668,,0.0,34.28,,,,72.5265,,,,,,,,545.0,,0.4123,,,,146.45,299.998,,5.3958,14.58,,,,,,84.042,54.5279,,,,,,,2.00685,3.03035,17.472,,85.7,,,,245.9,52.0,,,,,,,,,7.9,7.0,2010-02,579,indiaWris/579_Gopurajapuram,[LatLong 10.85139 79.80000],"Gopurajapuram, Nagapattinam, Tamil Nadu"
Tamil Nadu,Tirunelveli,2023-05,2010,A.P.Puram,8.901388889,77.64861111,,,,,0.0,,0.329,,,0.0,81.76,,,,487.79,,,,,,,,1780.0,,1.06,,0.026,,548.733,322.08,,7.6,82.64,,,,,2.37,265.5,51.047,,,,,,,0.0,4.95131,106.75,,204.4,100.0,,,264.0,50.0,,,,,,,,,7.75,,2010-05,592,indiaWris/592_APPuram,[LatLong 8.90139 77.64861],"A.P.Puram, Tirunelveli, Tamil Nadu"
Uttar Pradesh,Hamirpur,2023-11,2008,Shahijina,25.95,80.15,,,,,39.8151,,0.1998,,,47.97,31.46,,,,29.82,,,,,,,,441.0,,0.1995,,0.15066,,186.633,176.107,,2.60015,25.916,,,0.360895,0.04002,0.320875,30.13,25.8006,,,,,,,0.783043,0.963223,7.9968,,78.65,9.6,,,224.3,39.0,,,,,,,,0.0196346,8.78,,2008-11,149,indiaWris/149_Shahijina,[LatLong 25.95000 80.15000],"Shahijina, Hamirpur, Uttar Pradesh"
Uttar Pradesh,Muzaffarnagar,2023-10,2008,Mawi,29.38527778,77.165,,,,,0.0,,0.3798,15.0,,0.0,46.3,,,,11.3245,,,,7.4,,,,169.0,,0.4598,55.0,0.11904,,167.742,190.503,,5.00089,12.4781,,0.05616,4.05151,0.04968,4.00183,12.995,14.0241,,,,,,,0.0,0.437575,26.88,,115.75,28.7,,,156.15,,120.0,,,,,,,,6.8,,2008-10,172,indiaWris/172_Mawi,[LatLong 29.38528 77.16500],"Mawi, Muzaffarnagar, Uttar Pradesh"
Maharashtra,Gadchiroli,2023-02,2013,Tekra,18.97833333,79.94694444,,,,,5.4448,,0.21,1.3,,6.56,36.6,,12.6,,31.24,,,,7.5,90.8981,,,535.0,,0.342,100.0,0.081,,157.583,290.82,,5.48,15.86,,0.124,0.369,0.005,0.364,62.84,45.5173,,,,,,,1.85397,2.1844,15.81,,91.5,0.2,,,249.31,51.6,100.0,,,,0.9,,,0.13,8.62,,2013-02,475,indiaWris/475_Tekra,[LatLong 18.97833 79.94694],"Tekra, Gadchiroli, Maharashtra"
Maharashtra,Gadchiroli,2023-06,2013,Tekra,18.97833333,79.94694444,,,,,9.0719,,0.16,45.0,,10.93,28.8,,63.07,,68.16,,,,4.8,60.3264,,,552.0,,0.848,100.0,0.065,,176.833,229.74,,5.69,25.16,,0.076,0.076,0.0,0.076,50.88,37.7265,,,,,,,0.622444,1.67117,35.81,,72.0,6.358,,,206.528,55.6,700.0,,,,0.6,,,0.103,8.6,,2013-06,475,indiaWris/475_Tekra,[LatLong 18.97833 79.94694],"Tekra, Gadchiroli, Maharashtra"
Maharashtra,Gadchiroli,2023-05,2014,Tekra,18.97833333,79.94694444,,,,,0.0,7.96,0.31,2.0,,0.0,51.61,0.062,49.0,,29.2,,1.45,4.9,6.2,77.8664,,,459.0,,1.08,300.0,0.06,,189.733,232.38,,3.21,14.57,,1.34,1.467,0.0,1.467,41.81,32.0449,10.23,,,1.51,,,0.0344721,1.32382,9.8,,129.025,8.78,,,190.475,54.8,500.0,,,,0.7,6.0,,0.261,8.1,,2014-05,475,indiaWris/475_Tekra,[LatLong 18.97833 79.94694],"Tekra, Gadchiroli, Maharashtra"
Maharashtra,Gadchiroli,2023-11,2003,Tekra,18.97833333,79.94694444,,,,,10.707,,0.46,1.4,,12.9,37.0,,,,11.0,,,,7.0,87.9136,,,333.0,,0.46,1150.0,0.01,,111.667,159.0,,2.35,4.6,,0.17,0.715,0.015,0.7,26.0,33.1065,,,,,,,0.811201,1.07223,12.0,,92.5,32.0,,,151.828,54.8,1650.0,,,,,,,0.01,8.5,,2003-11,475,indiaWris/475_Tekra,[LatLong 18.97833 79.94694],"Tekra, Gadchiroli, Maharashtra"
Tamil Nadu,Tuticorin,2023-02,2007,Murappanadu,8.714444444,77.835,,,,,0.0,,0.213,1.5,,0.0,25.65,,,,43.94,,,,5.2,62.9311,,,334.0,,0.168,,0.061,,112.75,122.0,,4.4,11.67,,,2.046,0.046,2.0,28.2,34.2679,,,,,,0.001,0.0,1.15896,11.11,,64.125,11.33,,,100.0,50.0,,,,,,,,,7.71,7.92,2007-02,594,indiaWris/594_Murappanadu,[LatLong 8.71444 77.83500],"Murappanadu, Tuticorin, Tamil Nadu"
Uttar Pradesh,Deoria,2023-03,2002,Turtipar,26.16666667,83.88333333,,,,,3.984,,0.1,,,4.8,32.6,,,,428.13,,,,7.45,83.6477,,,260.0,,0.399,,0.0,,683.619,465.43,,32.062,89.7885,,,,0.0138,,31.51,8.69819,,,,,,,0.0,0.526248,26.88,,81.5,6.5,,,771.321,44.0,,,,,,,,0.25835,8.27,,2002-03,137,indiaWris/137_Turtipar,[LatLong 26.16667 83.88333],"Turtipar, Deoria, Uttar Pradesh"
Uttar Pradesh,Kaushambi,2023-04,2002,Shahjadpur,25.66666667,81.41666667,,,,,0.0,,0.07,3.01,,0.0,34.4,,,,429.0,,,,8.19,104.638,,,493.0,,0.05,,0.07,,941.25,215.0,,40.0,24.77,,0.05,0.55,0.17,0.38,480.0,47.0768,,,,,,0.159,0.0,6.83481,70.5,,86.0,8.3,,,352.6,56.0,,,,,,,,,8.44,7.1,2002-04,158,indiaWris/158_Shahjadpur,[LatLong 25.66667 81.41667],"Shahjadpur, Kaushambi, Uttar Pradesh"
Uttar Pradesh,Kaushambi,2023-08,2010,Shahjadpur,25.66666667,81.41666667,,,,,39.84,,0.04,1.96,,48.0,38.47,,16.4,,266.0,,,,7.18,96.6353,,,542.0,,0.88,900.0,0.35,,322.925,87.84,,5.0,54.42,,0.05,0.04,0.0,0.04,145.0,48.2819,,,0.01,,,0.013,0.0,3.52637,37.0,,96.175,9.6,,,172.0,62.0,2600.0,930.0,,,0.5,,,,8.39,8.5,2010-08,158,indiaWris/158_Shahjadpur,[LatLong 25.66667 81.41667],"Shahjadpur, Kaushambi, Uttar Pradesh"
Uttar Pradesh,Prayagraj,2023-12,2012,Allahabad,25.4,81.91666667,,,,,0.0,,0.036,2.68,,0.0,45.04,,12.4,,56.0,,,,7.9,90.4434,,,304.0,,0.372,3700.0,0.112,,176.85,200.08,,8.0,15.42,,0.05,0.182,0.0,0.182,29.0,25.3165,,,,,,0.001,0.0,0.951297,40.0,,112.6,7.02,,,164.0,45.0,5800.0,219.0,,,0.1,,,,7.9,7.8,2012-12,120,indiaWris/120_Allahabad,[LatLong 25.40000 81.91667],"Allahabad, Prayagraj, Uttar Pradesh"
Uttar Pradesh,Prayagraj,2023-10,2004,Allahabad,25.4,81.91666667,,,,,0.0,,0.04,3.46,,0.0,39.22,,,,45.0,,,,7.76,102.747,,,376.0,,0.256,2000.0,0.15,,569.758,570.96,,7.0,13.93,,0.05,0.02,0.01,0.01,24.0,8.35418,,,,,,0.119,0.0,0.53811,40.0,,98.05,12.5,,,468.0,61.0,8000.0,,,,,,,,8.0,8.15,2004-10,120,indiaWris/120_Allahabad,[LatLong 25.40000 81.91667],"Allahabad, Prayagraj, Uttar Pradesh"
Uttar Pradesh,Prayagraj,2023-09,2014,Allahabad,25.4,81.91666667,,,,,0.0,,0.03,3.04,,0.0,34.94,,16.2,,56.0,,,,7.28,89.7325,,,334.0,,0.432,3200.0,0.184,,158.933,194.22,,6.0,17.18,,0.05,0.214,0.0,0.214,26.0,25.4613,,,,,,0.028,0.0261291,0.900097,40.0,,87.35,7.92,,,159.197,52.0,6600.0,207.0,,,5.8,,,,8.1,8.1,2014-09,120,indiaWris/120_Allahabad,[LatLong 25.40000 81.91667],"Allahabad, Prayagraj, Uttar Pradesh"
Uttar Pradesh,Sonbhadra,2023-04,2002,Chopan,24.53333333,83.05,,,,,0.0,,0.09,,,0.0,44.0,,,,55.0,,,,7.1,84.3431,,,578.0,,0.05,,0.2,,335.0,149.0,,7.0,54.0,,0.09,1.14,0.37,0.77,44.0,21.9174,,,,,,0.085,0.0,1.05044,5.0,,65.0,6.3,,,244.36,49.0,,,,,,,,,8.5,8.0,2002-04,184,indiaWris/184_Chopan,[LatLong 24.53333 83.05000],"Chopan, Sonbhadra, Uttar Pradesh"
Uttar Pradesh,Sonbhadra,2023-08,2014,Chopan,24.53333333,83.05,,,,,0.0,,0.0,2.92,,0.0,27.0,,16.6,,22.01,,,,7.26,87.8616,,,159.0,,0.285,1100.0,0.095,,128.25,102.48,,7.038,14.58,,0.0,0.196168,0.0,0.196168,14.03,18.2854,,,,,,0.018,0.0,0.540762,12.0,,67.5,7.78,,,84.0,50.0,2400.0,96.0,,,0.3,,,0.0,7.94,7.8,2014-08,184,indiaWris/184_Chopan,[LatLong 24.53333 83.05000],"Chopan, Sonbhadra, Uttar Pradesh"
Uttar Pradesh,Sonbhadra,2023-05,2011,Chopan,24.53333333,83.05,,,,,6.64,18.0,0.05,2.68,,8.0,52.42,5.0,12.0,,22.0,,8.0,,7.52,96.0777,,,912.0,,0.564,900.0,0.502,,423.717,98.8,,8.0,70.24,,0.05,3.618,0.0,3.618,67.0,25.3094,20.0,,0.01,110.0,,0.001,0.0,1.4224,16.0,,74.65,8.9,,,130.735,56.0,2800.0,512.0,,,0.1,7.0,,,8.8,8.5,2011-05,184,indiaWris/184_Chopan,[LatLong 24.53333 83.05000],"Chopan, Sonbhadra, Uttar Pradesh"
Chhattisgarh,Baloda Bazar,2023-04,2006,Simga,21.63308056,81.68486944,,,,,0.0,,0.11,1.1,,0.0,41.7,,,,83.63,,,,6.8,91.5209,,,438.0,,0.05,,0.08,,178.833,202.0,,7.7,17.9,,,0.08,0.006,0.074,50.8,37.0713,,,,,,,0.0,1.65762,3.2,,104.25,27.6,,,331.28,62.0,,,,,,,,,8.0,8.02,2006-04,644,indiaWris/644_Simga,[LatLong 21.63308 81.68487],"Simga, Baloda Bazar, Chhattisgarh"
Chhattisgarh,Baloda Bazar,2023-08,2010,Simga,21.63308056,81.68486944,,,,,0.0,,0.001,1.2,,0.0,22.4,,32.0,,8.15,,,,5.2,65.261,,,269.0,,0.2,,0.05,,112.667,113.5,,4.4,13.6,,,,0.03,,11.5,17.5532,,,,,,0.04,0.0,0.472983,17.4,,56.0,15.8,,,186.14,54.0,,,,,,,,,7.33,7.85,2010-08,644,indiaWris/644_Simga,[LatLong 21.63308 81.68487],"Simga, Baloda Bazar, Chhattisgarh"
Chhattisgarh,Baloda Bazar,2023-02,2010,Simga,21.63308056,81.68486944,,,,,11.039,,0.001,0.9,,13.3,23.3,,80.0,,53.0,,,,8.0,87.9894,,,510.0,,0.38,,0.01,,121.167,103.0,,9.6,15.1,,,,0.02,,43.9,41.8722,,,,,,0.06,0.0,1.74123,33.0,,58.25,7.0,,,191.131,40.0,,,,,,,,,8.6,7.5,2010-02,644,indiaWris/644_Simga,[LatLong 21.63308 81.68487],"Simga, Baloda Bazar, Chhattisgarh"
Chhattisgarh,Baloda Bazar,2023-07,2004,Simga,21.63308056,81.68486944,,,,,0.0,,,1.08,,0.0,42.0,,,,74.0,,,,6.29,83.2121,,,293.0,,,,,,176.0,145.8,,,17.253,,,,,,,,,,,,,,0.0,,,,105.0,,,,239.0,60.0,,,,,,,,,8.0,8.02,2004-07,644,indiaWris/644_Simga,[LatLong 21.63308 81.68487],"Simga, Baloda Bazar, Chhattisgarh"
