National Center for Education Statistics,,,,,,,,,,,,,,,,
"Table 20. Number of full-time, first-time degree/certificate-seeking undergraduate students in the adjusted cohort, number of completers, and graduation rate within 150 percent of normal program completion time at Title IV institutions, by control of institution, level of institution, and type of aid received: United States, cohort years 2013 and 2016",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Level of institution and type of aid received,,,,,,,,,,Private,,,,,,
,,All institutions,,,,Public,,,,Nonprofit,,,,For-profit,,
All students,,"713,212","248,841",34.9,,"598,295","178,516",29.8,,"14,278","7,845",54.9,,"100,639","62,480",62.1
Received Pell Grant,,"387,783","128,679",33.2,,"306,370","81,036",26.5,,"10,383","5,396",52.0,,"71,030","42,247",59.5
"Received Direct Subsidized Loan, but not a   Pell Grant",,"38,916","16,743",43.0,,"27,473","8,357",30.4,,"1,163",806,69.3,,"10,280","7,580",73.7
Received neither a Pell Grant or a Direct   Subsidized Loan,,"286,513","103,419",36.1,,"264,452","89,123",33.7,,"2,732","1,643",60.1,,"19,329","12,653",65.5
,,,,,,,,,,,,,,,,
Less-than-2-year institutions   (cohort year 2016),,,,,,,,,,,,,,,,
All students,,"142,316","97,744",68.7,,"16,301","11,912",73.1,,"6,722","4,845",72.1,,"119,293","80,987",67.9
Received Pell Grant,,"95,162","65,009",68.3,,"7,729","5,921",76.6,,"4,401","3,236",73.5,,"83,032","55,852",67.3
"Received Direct Subsidized Loan, but not a   Pell Grant",,"13,051","9,936",76.1,,867,721,83.2,,377,286,75.9,,"11,807","8,929",75.6
Received neither a Pell Grant or a Direct   Subsidized Loan,,"34,103","22,799",66.9,,"7,705","5,270",68.4,,"1,944","1,323",68.1,,"24,454","16,206",66.3
"NOTE: Title IV institutions are those with a written agreement with the U.S. Department of Education that allows the institution to participate in any of the Title IV federal student financial assistance programs. United States includes the 50 states and the District of Columbia. The four U.S. service academies that are not Title IV eligible are included in the Integrated Postsecondary Education Data System (IPEDS) universe because they are federally funded and open to the public and are included in this table. The graduation rate was calculated as required for disclosure and reporting purposes under the Student Right-to-Know Act. This rate was calculated as the total number of completers within 150 percent of normal time (e.g., ""normal"" program completion time for a bachelor's degree would be 4 years) at the same institution where the student started divided by the adjusted cohort (revised cohort minus any allowable exclusions). For institutions following a semester, trimester, 4-1-4, or other academic year calendar system, the revised cohort is the number of students entering the institution as full-time, first-time degree- or certificate-seeking undergraduates in the fall of the cohort year. For institutions following calendars that differ by program or allow continuous enrollment, the revised cohort is the number of students entering the institution as full-time, first-time degree- or certificate-seeking undergraduates from September 1 of the cohort year through August 31 of the following year. Allowable exclusions include those students who died or were totally and permanently disabled; students who left school to serve in the armed forces (or have been called up to active duty); those who left to serve with a foreign aid service of the federal government, such as the Peace Corps; and those who left to serve on official church missions. Definitions for terms used in this table may be found in the collection year’s archived downloadable glossary located at https://nces.ed.gov/ipeds/use-the-data/annual-survey-forms-packages-archived?year=2019.",,,,,,,,,,,,,,,,
"SOURCE: U.S. Department of Education, National Center for Education Statistics, IPEDS, Winter 2019–20, Graduation Rates component (final data).",,,,,,,,,,,,,,,,
