value,variableMeasured
20196,dcid:Count_Student_SubsidizedLoan_InstitutionControlPrivateForProfit_AllInstitution_Received
68.9,dcid:Percent_Student_SubsidizedLoan_InstitutionControlPrivateForProfit_AllInstitution_Graduation
1074669,dcid:Count_Student_AllInstitution_Adjusted
641627,dcid:Count_Student_AllInstitution_Received
59.7,dcid:Percent_Student_AllInstitution_Graduation
791391,dcid:Count_Student_InstitutionControlPublic_AllInstitution_Adjusted
439156,dcid:Count_Student_InstitutionControlPublic_AllInstitution_Received
55.5,dcid:Percent_Student_InstitutionControlPublic_AllInstitution_Graduation
222141,dcid:Count_Student_InstitutionControlPrivateNonProfit_AllInstitution_Adjusted
167474,dcid:Count_Student_InstitutionControlPrivateNonProfit_AllInstitution_Received
75.4,dcid:Percent_Student_InstitutionControlPrivateNonProfit_AllInstitution_Graduation
61137,dcid:Count_Student_InstitutionControlPrivateForProfit_AllInstitution_Adjusted
34997,dcid:Count_Student_InstitutionControlPrivateForProfit_AllInstitution_Received
57.2,dcid:Percent_Student_InstitutionControlPrivateForProfit_AllInstitution_Graduation
1708946,dcid:Count_Student_AllStudents_FourYearInstitution_Adjusted
1017023,dcid:Count_Student_AllStudents_FourYearInstitution_Received
59.5,dcid:Percent_Student_AllStudents_FourYearInstitution_Graduation
1126857,dcid:Count_Student_AllStudents_InstitutionControlPublic_FourYearInstitution_Adjusted
652749,dcid:Count_Student_AllStudents_InstitutionControlPublic_FourYearInstitution_Received
57.9,dcid:Percent_Student_AllStudents_InstitutionControlPublic_FourYearInstitution_Graduation
503131,dcid:Count_Student_AllStudents_InstitutionControlPrivateNonProfit_FourYearInstitution_Adjusted
336343,dcid:Count_Student_AllStudents_InstitutionControlPrivateNonProfit_FourYearInstitution_Received
66.8,dcid:Percent_Student_AllStudents_InstitutionControlPrivateNonProfit_FourYearInstitution_Graduation
78958,dcid:Count_Student_AllStudents_InstitutionControlPrivateForProfit_FourYearInstitution_Adjusted
27931,dcid:Count_Student_AllStudents_InstitutionControlPrivateForProfit_FourYearInstitution_Received
35.4,dcid:Percent_Student_AllStudents_InstitutionControlPrivateForProfit_FourYearInstitution_Graduation
645058,dcid:Count_Student_PellGrant_FourYearInstitution_Adjusted
301908,dcid:Count_Student_PellGrant_FourYearInstitution_Received
46.8,dcid:Percent_Student_PellGrant_FourYearInstitution_Graduation
428988,dcid:Count_Student_PellGrant_InstitutionControlPublic_FourYearInstitution_Adjusted
197881,dcid:Count_Student_PellGrant_InstitutionControlPublic_FourYearInstitution_Received
46.1,dcid:Percent_Student_PellGrant_InstitutionControlPublic_FourYearInstitution_Graduation
161683,dcid:Count_Student_PellGrant_InstitutionControlPrivateNonProfit_FourYearInstitution_Adjusted
85921,dcid:Count_Student_PellGrant_InstitutionControlPrivateNonProfit_FourYearInstitution_Received
53.1,dcid:Percent_Student_PellGrant_InstitutionControlPrivateNonProfit_FourYearInstitution_Graduation
54387,dcid:Count_Student_PellGrant_InstitutionControlPrivateForProfit_FourYearInstitution_Adjusted
18106,dcid:Count_Student_PellGrant_InstitutionControlPrivateForProfit_FourYearInstitution_Received
33.3,dcid:Percent_Student_PellGrant_InstitutionControlPrivateForProfit_FourYearInstitution_Graduation
309835,dcid:Count_Student_SubsidizedLoan_FourYearInstitution_Adjusted
199706,dcid:Count_Student_SubsidizedLoan_FourYearInstitution_Received
64.5,dcid:Percent_Student_SubsidizedLoan_FourYearInstitution_Graduation
178635,dcid:Count_Student_SubsidizedLoan_InstitutionControlPublic_FourYearInstitution_Adjusted
110105,dcid:Count_Student_SubsidizedLoan_InstitutionControlPublic_FourYearInstitution_Received
61.6,dcid:Percent_Student_SubsidizedLoan_InstitutionControlPublic_FourYearInstitution_Graduation
123983,dcid:Count_Student_SubsidizedLoan_InstitutionControlPrivateNonProfit_FourYearInstitution_Adjusted
85914,dcid:Count_Student_SubsidizedLoan_InstitutionControlPrivateNonProfit_FourYearInstitution_Received
69.3,dcid:Percent_Student_SubsidizedLoan_InstitutionControlPrivateNonProfit_FourYearInstitution_Graduation
7217,dcid:Count_Student_SubsidizedLoan_InstitutionControlPrivateForProfit_FourYearInstitution_Adjusted
3687,dcid:Count_Student_SubsidizedLoan_InstitutionControlPrivateForProfit_FourYearInstitution_Received
51.1,dcid:Percent_Student_SubsidizedLoan_InstitutionControlPrivateForProfit_FourYearInstitution_Graduation
754053,dcid:Count_Student_FourYearInstitution_Adjusted
515409,dcid:Count_Student_FourYearInstitution_Received
68.4,dcid:Percent_Student_FourYearInstitution_Graduation
519234,dcid:Count_Student_InstitutionControlPublic_FourYearInstitution_Adjusted
344763,dcid:Count_Student_InstitutionControlPublic_FourYearInstitution_Received
66.4,dcid:Percent_Student_InstitutionControlPublic_FourYearInstitution_Graduation
217465,dcid:Count_Student_InstitutionControlPrivateNonProfit_FourYearInstitution_Adjusted
164508,dcid:Count_Student_InstitutionControlPrivateNonProfit_FourYearInstitution_Received
75.6,dcid:Percent_Student_InstitutionControlPrivateNonProfit_FourYearInstitution_Graduation
17354,dcid:Count_Student_InstitutionControlPrivateForProfit_FourYearInstitution_Adjusted
6138,dcid:Count_Student_InstitutionControlPrivateForProfit_FourYearInstitution_Received
35.4,dcid:Percent_Student_InstitutionControlPrivateForProfit_FourYearInstitution_Graduation
1470054,dcid:Count_Student_AllStudents_FourYearBachelorsCohort_Adjusted
937602,dcid:Count_Student_AllStudents_FourYearBachelorsCohort_Received
63.8,dcid:Percent_Student_AllStudents_FourYearBachelorsCohort_Graduation
966778,dcid:Count_Student_AllStudents_InstitutionControlPublic_FourYearBachelorsCohort_Adjusted
605671,dcid:Count_Student_AllStudents_InstitutionControlPublic_FourYearBachelorsCohort_Received
62.6,dcid:Percent_Student_AllStudents_InstitutionControlPublic_FourYearBachelorsCohort_Graduation
472098,dcid:Count_Student_AllStudents_InstitutionControlPrivateNonProfit_FourYearBachelorsCohort_Adjusted
322715,dcid:Count_Student_AllStudents_InstitutionControlPrivateNonProfit_FourYearBachelorsCohort_Received
68.4,dcid:Percent_Student_AllStudents_InstitutionControlPrivateNonProfit_FourYearBachelorsCohort_Graduation
31178,dcid:Count_Student_AllStudents_InstitutionControlPrivateForProfit_FourYearBachelorsCohort_Adjusted
9216,dcid:Count_Student_AllStudents_InstitutionControlPrivateForProfit_FourYearBachelorsCohort_Received
29.6,dcid:Percent_Student_AllStudents_InstitutionControlPrivateForProfit_FourYearBachelorsCohort_Graduation
503188,dcid:Count_Student_PellGrant_FourYearBachelorsCohort_Adjusted
259716,dcid:Count_Student_PellGrant_FourYearBachelorsCohort_Received
51.6,dcid:Percent_Student_PellGrant_FourYearBachelorsCohort_Graduation
338865,dcid:Count_Student_PellGrant_InstitutionControlPublic_FourYearBachelorsCohort_Adjusted
175215,dcid:Count_Student_PellGrant_InstitutionControlPublic_FourYearBachelorsCohort_Received
51.7,dcid:Percent_Student_PellGrant_InstitutionControlPublic_FourYearBachelorsCohort_Graduation
143926,dcid:Count_Student_PellGrant_InstitutionControlPrivateNonProfit_FourYearBachelorsCohort_Adjusted
79264,dcid:Count_Student_PellGrant_InstitutionControlPrivateNonProfit_FourYearBachelorsCohort_Received
55.1,dcid:Percent_Student_PellGrant_InstitutionControlPrivateNonProfit_FourYearBachelorsCohort_Graduation
20397,dcid:Count_Student_PellGrant_InstitutionControlPrivateForProfit_FourYearBachelorsCohort_Adjusted
5237,dcid:Count_Student_PellGrant_InstitutionControlPrivateForProfit_FourYearBachelorsCohort_Received
25.7,dcid:Percent_Student_PellGrant_InstitutionControlPrivateForProfit_FourYearBachelorsCohort_Graduation
291382,dcid:Count_Student_SubsidizedLoan_FourYearBachelorsCohort_Adjusted
191437,dcid:Count_Student_SubsidizedLoan_FourYearBachelorsCohort_Received
65.7,dcid:Percent_Student_SubsidizedLoan_FourYearBachelorsCohort_Graduation
169129,dcid:Count_Student_SubsidizedLoan_InstitutionControlPublic_FourYearBachelorsCohort_Adjusted
106855,dcid:Count_Student_SubsidizedLoan_InstitutionControlPublic_FourYearBachelorsCohort_Received
63.2,dcid:Percent_Student_SubsidizedLoan_InstitutionControlPublic_FourYearBachelorsCohort_Graduation
118849,dcid:Count_Student_SubsidizedLoan_InstitutionControlPrivateNonProfit_FourYearBachelorsCohort_Adjusted
83019,dcid:Count_Student_SubsidizedLoan_InstitutionControlPrivateNonProfit_FourYearBachelorsCohort_Received
69.9,dcid:Percent_Student_SubsidizedLoan_InstitutionControlPrivateNonProfit_FourYearBachelorsCohort_Graduation
3404,dcid:Count_Student_SubsidizedLoan_InstitutionControlPrivateForProfit_FourYearBachelorsCohort_Adjusted
1563,dcid:Count_Student_SubsidizedLoan_InstitutionControlPrivateForProfit_FourYearBachelorsCohort_Received
45.9,dcid:Percent_Student_SubsidizedLoan_InstitutionControlPrivateForProfit_FourYearBachelorsCohort_Graduation
675484,dcid:Count_Student_FourYearBachelorsCohort_Adjusted
486449,dcid:Count_Student_FourYearBachelorsCohort_Received
72,dcid:Percent_Student_FourYearBachelorsCohort_Graduation
458784,dcid:Count_Student_InstitutionControlPublic_FourYearBachelorsCohort_Adjusted
323601,dcid:Count_Student_InstitutionControlPublic_FourYearBachelorsCohort_Received
70.5,dcid:Percent_Student_InstitutionControlPublic_FourYearBachelorsCohort_Graduation
209323,dcid:Count_Student_InstitutionControlPrivateNonProfit_FourYearBachelorsCohort_Adjusted
160432,dcid:Count_Student_InstitutionControlPrivateNonProfit_FourYearBachelorsCohort_Received
76.6,dcid:Percent_Student_InstitutionControlPrivateNonProfit_FourYearBachelorsCohort_Graduation
7377,dcid:Count_Student_InstitutionControlPrivateForProfit_FourYearBachelorsCohort_Adjusted
2416,dcid:Count_Student_InstitutionControlPrivateForProfit_FourYearBachelorsCohort_Received
32.8,dcid:Percent_Student_InstitutionControlPrivateForProfit_FourYearBachelorsCohort_Graduation
238892,dcid:Count_Student_AllStudents_FourYearOtherThanBachelorsCohort_Adjusted
79421,dcid:Count_Student_AllStudents_FourYearOtherThanBachelorsCohort_Received
33.2,dcid:Percent_Student_AllStudents_FourYearOtherThanBachelorsCohort_Graduation
160079,dcid:Count_Student_AllStudents_InstitutionControlPublic_FourYearOtherThanBachelorsCohort_Adjusted
47078,dcid:Count_Student_AllStudents_InstitutionControlPublic_FourYearOtherThanBachelorsCohort_Received
29.4,dcid:Percent_Student_AllStudents_InstitutionControlPublic_FourYearOtherThanBachelorsCohort_Graduation
31033,dcid:Count_Student_AllStudents_InstitutionControlPrivateNonProfit_FourYearOtherThanBachelorsCohort_Adjusted
13628,dcid:Count_Student_AllStudents_InstitutionControlPrivateNonProfit_FourYearOtherThanBachelorsCohort_Received
43.9,dcid:Percent_Student_AllStudents_InstitutionControlPrivateNonProfit_FourYearOtherThanBachelorsCohort_Graduation
47780,dcid:Count_Student_AllStudents_InstitutionControlPrivateForProfit_FourYearOtherThanBachelorsCohort_Adjusted
18715,dcid:Count_Student_AllStudents_InstitutionControlPrivateForProfit_FourYearOtherThanBachelorsCohort_Received
39.2,dcid:Percent_Student_AllStudents_InstitutionControlPrivateForProfit_FourYearOtherThanBachelorsCohort_Graduation
141870,dcid:Count_Student_PellGrant_FourYearOtherThanBachelorsCohort_Adjusted
42192,dcid:Count_Student_PellGrant_FourYearOtherThanBachelorsCohort_Received
29.7,dcid:Percent_Student_PellGrant_FourYearOtherThanBachelorsCohort_Graduation
90123,dcid:Count_Student_PellGrant_InstitutionControlPublic_FourYearOtherThanBachelorsCohort_Adjusted
22666,dcid:Count_Student_PellGrant_InstitutionControlPublic_FourYearOtherThanBachelorsCohort_Received
25.2,dcid:Percent_Student_PellGrant_InstitutionControlPublic_FourYearOtherThanBachelorsCohort_Graduation
17757,dcid:Count_Student_PellGrant_InstitutionControlPrivateNonProfit_FourYearOtherThanBachelorsCohort_Adjusted
6657,dcid:Count_Student_PellGrant_InstitutionControlPrivateNonProfit_FourYearOtherThanBachelorsCohort_Received
37.5,dcid:Percent_Student_PellGrant_InstitutionControlPrivateNonProfit_FourYearOtherThanBachelorsCohort_Graduation
33990,dcid:Count_Student_PellGrant_InstitutionControlPrivateForProfit_FourYearOtherThanBachelorsCohort_Adjusted
12869,dcid:Count_Student_PellGrant_InstitutionControlPrivateForProfit_FourYearOtherThanBachelorsCohort_Received
37.9,dcid:Percent_Student_PellGrant_InstitutionControlPrivateForProfit_FourYearOtherThanBachelorsCohort_Graduation
18453,dcid:Count_Student_SubsidizedLoan_FourYearOtherThanBachelorsCohort_Adjusted
8269,dcid:Count_Student_SubsidizedLoan_FourYearOtherThanBachelorsCohort_Received
44.8,dcid:Percent_Student_SubsidizedLoan_FourYearOtherThanBachelorsCohort_Graduation
9506,dcid:Count_Student_SubsidizedLoan_InstitutionControlPublic_FourYearOtherThanBachelorsCohort_Adjusted
3250,dcid:Count_Student_SubsidizedLoan_InstitutionControlPublic_FourYearOtherThanBachelorsCohort_Received
34.2,dcid:Percent_Student_SubsidizedLoan_InstitutionControlPublic_FourYearOtherThanBachelorsCohort_Graduation
5134,dcid:Count_Student_SubsidizedLoan_InstitutionControlPrivateNonProfit_FourYearOtherThanBachelorsCohort_Adjusted
2895,dcid:Count_Student_SubsidizedLoan_InstitutionControlPrivateNonProfit_FourYearOtherThanBachelorsCohort_Received
56.4,dcid:Percent_Student_SubsidizedLoan_InstitutionControlPrivateNonProfit_FourYearOtherThanBachelorsCohort_Graduation
3813,dcid:Count_Student_SubsidizedLoan_InstitutionControlPrivateForProfit_FourYearOtherThanBachelorsCohort_Adjusted
2124,dcid:Count_Student_SubsidizedLoan_InstitutionControlPrivateForProfit_FourYearOtherThanBachelorsCohort_Received
55.7,dcid:Percent_Student_SubsidizedLoan_InstitutionControlPrivateForProfit_FourYearOtherThanBachelorsCohort_Graduation
78569,dcid:Count_Student_FourYearOtherThanBachelorsCohort_Adjusted
28960,dcid:Count_Student_FourYearOtherThanBachelorsCohort_Received
36.9,dcid:Percent_Student_FourYearOtherThanBachelorsCohort_Graduation
60450,dcid:Count_Student_InstitutionControlPublic_FourYearOtherThanBachelorsCohort_Adjusted
21162,dcid:Count_Student_InstitutionControlPublic_FourYearOtherThanBachelorsCohort_Received
35,dcid:Percent_Student_InstitutionControlPublic_FourYearOtherThanBachelorsCohort_Graduation
8142,dcid:Count_Student_InstitutionControlPrivateNonProfit_FourYearOtherThanBachelorsCohort_Adjusted
4076,dcid:Count_Student_InstitutionControlPrivateNonProfit_FourYearOtherThanBachelorsCohort_Received
50.1,dcid:Percent_Student_InstitutionControlPrivateNonProfit_FourYearOtherThanBachelorsCohort_Graduation
9977,dcid:Count_Student_InstitutionControlPrivateForProfit_FourYearOtherThanBachelorsCohort_Adjusted
3722,dcid:Count_Student_InstitutionControlPrivateForProfit_FourYearOtherThanBachelorsCohort_Received
37.3,dcid:Percent_Student_InstitutionControlPrivateForProfit_FourYearOtherThanBachelorsCohort_Graduation
713212,dcid:Count_Student_AllStudents_TwoYearInstitution_Adjusted
248841,dcid:Count_Student_AllStudents_TwoYearInstitution_Received
34.9,dcid:Percent_Student_AllStudents_TwoYearInstitution_Graduation
598295,dcid:Count_Student_AllStudents_InstitutionControlPublic_TwoYearInstitution_Adjusted
178516,dcid:Count_Student_AllStudents_InstitutionControlPublic_TwoYearInstitution_Received
29.8,dcid:Percent_Student_AllStudents_InstitutionControlPublic_TwoYearInstitution_Graduation
14278,dcid:Count_Student_AllStudents_InstitutionControlPrivateNonProfit_TwoYearInstitution_Adjusted
7845,dcid:Count_Student_AllStudents_InstitutionControlPrivateNonProfit_TwoYearInstitution_Received
54.9,dcid:Percent_Student_AllStudents_InstitutionControlPrivateNonProfit_TwoYearInstitution_Graduation
100639,dcid:Count_Student_AllStudents_InstitutionControlPrivateForProfit_TwoYearInstitution_Adjusted
62480,dcid:Count_Student_AllStudents_InstitutionControlPrivateForProfit_TwoYearInstitution_Received
62.1,dcid:Percent_Student_AllStudents_InstitutionControlPrivateForProfit_TwoYearInstitution_Graduation
387783,dcid:Count_Student_PellGrant_TwoYearInstitution_Adjusted
128679,dcid:Count_Student_PellGrant_TwoYearInstitution_Received
33.2,dcid:Percent_Student_PellGrant_TwoYearInstitution_Graduation
306370,dcid:Count_Student_PellGrant_InstitutionControlPublic_TwoYearInstitution_Adjusted
81036,dcid:Count_Student_PellGrant_InstitutionControlPublic_TwoYearInstitution_Received
26.5,dcid:Percent_Student_PellGrant_InstitutionControlPublic_TwoYearInstitution_Graduation
10383,dcid:Count_Student_PellGrant_InstitutionControlPrivateNonProfit_TwoYearInstitution_Adjusted
5396,dcid:Count_Student_PellGrant_InstitutionControlPrivateNonProfit_TwoYearInstitution_Received
52,dcid:Percent_Student_PellGrant_InstitutionControlPrivateNonProfit_TwoYearInstitution_Graduation
71030,dcid:Count_Student_PellGrant_InstitutionControlPrivateForProfit_TwoYearInstitution_Adjusted
42247,dcid:Count_Student_PellGrant_InstitutionControlPrivateForProfit_TwoYearInstitution_Received
59.5,dcid:Percent_Student_PellGrant_InstitutionControlPrivateForProfit_TwoYearInstitution_Graduation
38916,dcid:Count_Student_SubsidizedLoan_TwoYearInstitution_Adjusted
16743,dcid:Count_Student_SubsidizedLoan_TwoYearInstitution_Received
43,dcid:Percent_Student_SubsidizedLoan_TwoYearInstitution_Graduation
27473,dcid:Count_Student_SubsidizedLoan_InstitutionControlPublic_TwoYearInstitution_Adjusted
8357,dcid:Count_Student_SubsidizedLoan_InstitutionControlPublic_TwoYearInstitution_Received
30.4,dcid:Percent_Student_SubsidizedLoan_InstitutionControlPublic_TwoYearInstitution_Graduation
1163,dcid:Count_Student_SubsidizedLoan_InstitutionControlPrivateNonProfit_TwoYearInstitution_Adjusted
806,dcid:Count_Student_SubsidizedLoan_InstitutionControlPrivateNonProfit_TwoYearInstitution_Received
69.3,dcid:Percent_Student_SubsidizedLoan_InstitutionControlPrivateNonProfit_TwoYearInstitution_Graduation
10280,dcid:Count_Student_SubsidizedLoan_InstitutionControlPrivateForProfit_TwoYearInstitution_Adjusted
7580,dcid:Count_Student_SubsidizedLoan_InstitutionControlPrivateForProfit_TwoYearInstitution_Received
73.7,dcid:Percent_Student_SubsidizedLoan_InstitutionControlPrivateForProfit_TwoYearInstitution_Graduation
286513,dcid:Count_Student_TwoYearInstitution_Adjusted
103419,dcid:Count_Student_TwoYearInstitution_Received
36.1,dcid:Percent_Student_TwoYearInstitution_Graduation
264452,dcid:Count_Student_InstitutionControlPublic_TwoYearInstitution_Adjusted
89123,dcid:Count_Student_InstitutionControlPublic_TwoYearInstitution_Received
33.7,dcid:Percent_Student_InstitutionControlPublic_TwoYearInstitution_Graduation
2732,dcid:Count_Student_InstitutionControlPrivateNonProfit_TwoYearInstitution_Adjusted
1643,dcid:Count_Student_InstitutionControlPrivateNonProfit_TwoYearInstitution_Received
60.1,dcid:Percent_Student_InstitutionControlPrivateNonProfit_TwoYearInstitution_Graduation
19329,dcid:Count_Student_InstitutionControlPrivateForProfit_TwoYearInstitution_Adjusted
12653,dcid:Count_Student_InstitutionControlPrivateForProfit_TwoYearInstitution_Received
65.5,dcid:Percent_Student_InstitutionControlPrivateForProfit_TwoYearInstitution_Graduation
142316,dcid:Count_Student_AllStudents_LessThanTwoYearInstitution_Adjusted
97744,dcid:Count_Student_AllStudents_LessThanTwoYearInstitution_Received
68.7,dcid:Percent_Student_AllStudents_LessThanTwoYearInstitution_Graduation
16301,dcid:Count_Student_AllStudents_InstitutionControlPublic_LessThanTwoYearInstitution_Adjusted
11912,dcid:Count_Student_AllStudents_InstitutionControlPublic_LessThanTwoYearInstitution_Received
73.1,dcid:Percent_Student_AllStudents_InstitutionControlPublic_LessThanTwoYearInstitution_Graduation
6722,dcid:Count_Student_AllStudents_InstitutionControlPrivateNonProfit_LessThanTwoYearInstitution_Adjusted
4845,dcid:Count_Student_AllStudents_InstitutionControlPrivateNonProfit_LessThanTwoYearInstitution_Received
72.1,dcid:Percent_Student_AllStudents_InstitutionControlPrivateNonProfit_LessThanTwoYearInstitution_Graduation
119293,dcid:Count_Student_AllStudents_InstitutionControlPrivateForProfit_LessThanTwoYearInstitution_Adjusted
80987,dcid:Count_Student_AllStudents_InstitutionControlPrivateForProfit_LessThanTwoYearInstitution_Received
67.9,dcid:Percent_Student_AllStudents_InstitutionControlPrivateForProfit_LessThanTwoYearInstitution_Graduation
95162,dcid:Count_Student_PellGrant_LessThanTwoYearInstitution_Adjusted
65009,dcid:Count_Student_PellGrant_LessThanTwoYearInstitution_Received
68.3,dcid:Percent_Student_PellGrant_LessThanTwoYearInstitution_Graduation
7729,dcid:Count_Student_PellGrant_InstitutionControlPublic_LessThanTwoYearInstitution_Adjusted
5921,dcid:Count_Student_PellGrant_InstitutionControlPublic_LessThanTwoYearInstitution_Received
76.6,dcid:Percent_Student_PellGrant_InstitutionControlPublic_LessThanTwoYearInstitution_Graduation
4401,dcid:Count_Student_PellGrant_InstitutionControlPrivateNonProfit_LessThanTwoYearInstitution_Adjusted
3236,dcid:Count_Student_PellGrant_InstitutionControlPrivateNonProfit_LessThanTwoYearInstitution_Received
73.5,dcid:Percent_Student_PellGrant_InstitutionControlPrivateNonProfit_LessThanTwoYearInstitution_Graduation
83032,dcid:Count_Student_PellGrant_InstitutionControlPrivateForProfit_LessThanTwoYearInstitution_Adjusted
55852,dcid:Count_Student_PellGrant_InstitutionControlPrivateForProfit_LessThanTwoYearInstitution_Received
67.3,dcid:Percent_Student_PellGrant_InstitutionControlPrivateForProfit_LessThanTwoYearInstitution_Graduation
13051,dcid:Count_Student_SubsidizedLoan_LessThanTwoYearInstitution_Adjusted
9936,dcid:Count_Student_SubsidizedLoan_LessThanTwoYearInstitution_Received
76.1,dcid:Percent_Student_SubsidizedLoan_LessThanTwoYearInstitution_Graduation
867,dcid:Count_Student_SubsidizedLoan_InstitutionControlPublic_LessThanTwoYearInstitution_Adjusted
721,dcid:Count_Student_SubsidizedLoan_InstitutionControlPublic_LessThanTwoYearInstitution_Received
83.2,dcid:Percent_Student_SubsidizedLoan_InstitutionControlPublic_LessThanTwoYearInstitution_Graduation
377,dcid:Count_Student_SubsidizedLoan_InstitutionControlPrivateNonProfit_LessThanTwoYearInstitution_Adjusted
286,dcid:Count_Student_SubsidizedLoan_InstitutionControlPrivateNonProfit_LessThanTwoYearInstitution_Received
75.9,dcid:Percent_Student_SubsidizedLoan_InstitutionControlPrivateNonProfit_LessThanTwoYearInstitution_Graduation
11807,dcid:Count_Student_SubsidizedLoan_InstitutionControlPrivateForProfit_LessThanTwoYearInstitution_Adjusted
8929,dcid:Count_Student_SubsidizedLoan_InstitutionControlPrivateForProfit_LessThanTwoYearInstitution_Received
75.6,dcid:Percent_Student_SubsidizedLoan_InstitutionControlPrivateForProfit_LessThanTwoYearInstitution_Graduation
34103,dcid:Count_Student_LessThanTwoYearInstitution_Adjusted
22799,dcid:Count_Student_LessThanTwoYearInstitution_Received
66.9,dcid:Percent_Student_LessThanTwoYearInstitution_Graduation
7705,dcid:Count_Student_InstitutionControlPublic_LessThanTwoYearInstitution_Adjusted
5270,dcid:Count_Student_InstitutionControlPublic_LessThanTwoYearInstitution_Received
68.4,dcid:Percent_Student_InstitutionControlPublic_LessThanTwoYearInstitution_Graduation
1944,dcid:Count_Student_InstitutionControlPrivateNonProfit_LessThanTwoYearInstitution_Adjusted
1323,dcid:Count_Student_InstitutionControlPrivateNonProfit_LessThanTwoYearInstitution_Received
68.1,dcid:Percent_Student_InstitutionControlPrivateNonProfit_LessThanTwoYearInstitution_Graduation
24454,dcid:Count_Student_InstitutionControlPrivateForProfit_LessThanTwoYearInstitution_Adjusted
16206,dcid:Count_Student_InstitutionControlPrivateForProfit_LessThanTwoYearInstitution_Received
66.3,dcid:Percent_Student_InstitutionControlPrivateForProfit_LessThanTwoYearInstitution_Graduation
