id	name	compartment	chemicalFormula	bigg.metabolite	chebi	chembl	kegg.compound	metanetx.chemical	hmdb	pubchem.compound	lipidmaps
M_m00010l	(11Z,14Z,17Z)-eicosatrienoic acid	l	C20H33O2	NA	CHEBI:53460	CHEMBL:453991	C16522	MNXM8271	NA	NA	LMFA01030378
M_m00010r	(11Z,14Z,17Z)-eicosatrienoic acid	r	C20H33O2	NA	CHEBI:53460	CHEMBL:453991	C16522	MNXM8271	NA	NA	LMFA01030378
M_m00010s	(11Z,14Z,17Z)-eicosatrienoic acid	s	C20H33O2	NA	CHEBI:53460	CHEMBL:453991	C16522	MNXM8271	NA	NA	LMFA01030378
M_m00011c	(11Z,14Z,17Z)-eicosatrienoylcarnitine	c	C27H47NO4	NA	NA	NA	NA	NA	NA	NA	NA
M_m00011m	(11Z,14Z,17Z)-eicosatrienoylcarnitine	m	C27H47NO4	NA	NA	NA	NA	NA	NA	NA	NA
M_m00011r	(11Z,14Z,17Z)-eicosatrienoylcarnitine	r	C27H47NO4	NA	NA	NA	NA	NA	NA	NA	NA
M_m00012c	(11Z,14Z,17Z)-eicosatrienoyl-CoA	c	C41H64N7O17P3S	NA	NA	NA	C16179	MNXM162872	NA	NA	LMFA07050044
M_m00012m	(11Z,14Z,17Z)-eicosatrienoyl-CoA	m	C41H64N7O17P3S	NA	NA	NA	C16179	MNXM162872	NA	NA	LMFA07050044
M_m00012r	(11Z,14Z,17Z)-eicosatrienoyl-CoA	r	C41H64N7O17P3S	NA	NA	NA	C16179	MNXM162872	NA	NA	LMFA07050044
M_m00013c	(13E)-11alpha-hydroxy-9,15-dioxoprost-13-enoate	c	C20H31O5	prostg1	CHEBI:15548	NA	C04654	MNXM168925	HMDB01320	5280710	NA
M_m00014p	(13E)-tetranor-16-carboxy-LTE4	p	C19H25NO7S	NA	NA	NA	NA	MNXM150224	NA	53481472	NA
M_m00015p	(13E)-tetranor-16-oxo-16-CoA-LTE4	p	C40H56N8O22P3S2	NA	NA	NA	NA	MNXM33354	NA	53481473	NA
M_m00016c	(13Z)-docosenoyl-CoA	c	C43H72N7O17P3S	NA	NA	NA	C16531	MNXM11430	NA	NA	LMFA07050057
M_m00016m	(13Z)-docosenoyl-CoA	m	C43H72N7O17P3S	NA	NA	NA	C16531	MNXM11430	NA	NA	LMFA07050057
M_m00016p	(13Z)-docosenoyl-CoA	p	C43H72N7O17P3S	NA	NA	NA	C16531	MNXM11430	NA	NA	LMFA07050057
M_m00016r	(13Z)-docosenoyl-CoA	r	C43H72N7O17P3S	NA	NA	NA	C16531	MNXM11430	NA	NA	LMFA07050057
M_m00017c	(13Z)-eicosenoic acid	c	C20H37O2	NA	NA	NA	NA	MNXM24465	NA	NA	LMFA01030367
M_m00017l	(13Z)-eicosenoic acid	l	C20H37O2	NA	NA	NA	NA	MNXM24465	NA	NA	LMFA01030367
M_m00017r	(13Z)-eicosenoic acid	r	C20H37O2	NA	NA	NA	NA	MNXM24465	NA	NA	LMFA01030367
M_m00017s	(13Z)-eicosenoic acid	s	C20H37O2	NA	NA	NA	NA	MNXM24465	NA	NA	LMFA01030367
M_m00018c	(13Z)-eicosenoyl-CoA	c	C41H68N7O17P3S	NA	NA	NA	NA	MNXM146661	NA	NA	NA
M_m00018m	(13Z)-eicosenoyl-CoA	m	C41H68N7O17P3S	NA	NA	NA	NA	MNXM146661	NA	NA	NA
M_m00018p	(13Z)-eicosenoyl-CoA	p	C41H68N7O17P3S	NA	NA	NA	NA	MNXM146661	NA	NA	NA
M_m00018r	(13Z)-eicosenoyl-CoA	r	C41H68N7O17P3S	NA	NA	NA	NA	MNXM146661	NA	NA	NA
M_m00019c	(13Z)-octadecenoic acid	c	C18H33O2	NA	NA	NA	NA	MNXM29438	NA	NA	LMFA01030290
M_m00019l	(13Z)-octadecenoic acid	l	C18H33O2	NA	NA	NA	NA	MNXM29438	NA	NA	LMFA01030290
M_m00019r	(13Z)-octadecenoic acid	r	C18H33O2	NA	NA	NA	NA	MNXM29438	NA	NA	LMFA01030290
M_m00019s	(13Z)-octadecenoic acid	s	C18H33O2	NA	NA	NA	NA	MNXM29438	NA	NA	LMFA01030290
M_m00020c	(13Z)-octadecenoyl-CoA	c	C39H64N7O17P3S	NA	NA	NA	NA	NA	NA	NA	NA
M_m00020m	(13Z)-octadecenoyl-CoA	m	C39H64N7O17P3S	NA	NA	NA	NA	NA	NA	NA	NA
M_m00020r	(13Z)-octadecenoyl-CoA	r	C39H64N7O17P3S	NA	NA	NA	NA	NA	NA	NA	NA
M_m00021c	(13Z,16Z)-docosadienoic acid	c	C22H39O2	NA	NA	NA	C16533	MNXM9691	NA	NA	LMFA01030405
M_m00021l	(13Z,16Z)-docosadienoic acid	l	C22H39O2	NA	NA	NA	C16533	MNXM9691	NA	NA	LMFA01030405
M_m00021r	(13Z,16Z)-docosadienoic acid	r	C22H39O2	NA	NA	NA	C16533	MNXM9691	NA	NA	LMFA01030405
M_m00021s	(13Z,16Z)-docosadienoic acid	s	C22H39O2	NA	NA	NA	C16533	MNXM9691	NA	NA	LMFA01030405
M_m00022c	(13Z,16Z)-docosadienoylcarnitine	c	C29H52NO4	NA	NA	NA	NA	MNXM149276	NA	NA	NA
M_m00022m	(13Z,16Z)-docosadienoylcarnitine	m	C29H52NO4	NA	NA	NA	NA	MNXM149276	NA	NA	NA
M_m00022r	(13Z,16Z)-docosadienoylcarnitine	r	C29H52NO4	NA	NA	NA	NA	MNXM149276	NA	NA	NA
M_m00023c	(13Z,16Z)-docosadienoyl-CoA	c	C43H70N7O17P3S	NA	NA	NA	C16645	MNXM9382	NA	NA	LMFA07050037
M_m00023m	(13Z,16Z)-docosadienoyl-CoA	m	C43H70N7O17P3S	NA	NA	NA	C16645	MNXM9382	NA	NA	LMFA07050037
M_m00023r	(13Z,16Z)-docosadienoyl-CoA	r	C43H70N7O17P3S	NA	NA	NA	C16645	MNXM9382	NA	NA	LMFA07050037
M_m00024c	(15Z)-tetracosenoylcarnitine	c	C31H59NO4	nrvnccrn	NA	NA	NA	MNXM8942	NA	NA	NA
M_m00024r	(15Z)-tetracosenoylcarnitine	r	C31H59NO4	nrvnccrn	NA	NA	NA	MNXM8942	NA	NA	NA
M_m00025c	(15Z)-tetracosenoyl-CoA	c	C45H76N7O17P3S	nrvnccoa	NA	NA	C16532	MNXM13000	NA	24892792	LMFA07050058
M_m00025p	(15Z)-tetracosenoyl-CoA	p	C45H76N7O17P3S	nrvnccoa	NA	NA	C16532	MNXM13000	NA	24892792	LMFA07050058
M_m00025r	(15Z)-tetracosenoyl-CoA	r	C45H76N7O17P3S	nrvnccoa	NA	NA	C16532	MNXM13000	NA	24892792	LMFA07050058
M_m00026m	(18E)-20-oxo-20-CoA-LTB4	m	C41H57N7O21P3S	NA	NA	NA	NA	MNXM33779	NA	NA	NA
M_m00026p	(18E)-20-oxo-20-CoA-LTB4	p	C41H57N7O21P3S	NA	NA	NA	NA	MNXM33779	NA	NA	NA
M_m00027p	(18E)-20-oxo-20-CoA-LTE4	p	C44H62N8O22P3S2	NA	NA	NA	NA	MNXM33780	NA	53481494	NA
M_m00028c	(18R)-HEPE	c	C20H29O3	NA	CHEBI:81563	NA	NA	MNXM33782	NA	16061126	NA
M_m00029c	(18R)-hydroxy-(5Z,8Z,11Z,14Z,16E)-eicosapentaenoic acid	c	C20H29O3	NA	CHEBI:81563	NA	NA	MNXM33782	NA	16061126	LMFA03070025
M_m00030c	(1aalpha,2beta,3alpha,11calpha)-1a,2,3,11c-tetrahydro-6,11-dimethylbenzo[6,7]phenanthro[3,4-b]oxirene-2,3-diol	c	C20H18O3	NA	NA	NA	C19559	MNXM13488	NA	NA	NA
M_m00031c	(1R)-hydroxy-(2R)-glutathionyl-1,2-dihydronaphthalene	c	C20H23N3O7S	NA	NA	NA	C14791	MNXM6499	NA	NA	NA
M_m00032c	(1R,2S)-naphthalene 1,2-oxide	c	C10H8O	onpthl	CHEBI:33998	NA	C14786	MNXM12425	NA	108063	NA
M_m00032s	(1R,2S)-naphthalene 1,2-oxide	s	C10H8O	onpthl	CHEBI:33998	NA	C14786	MNXM12425	NA	108063	NA
M_m00033c	(1S)-hydroxy-(2S)-glutathionyl-1,2-dihydronaphthalene	c	C20H23N3O7S	NA	NA	NA	C14792	MNXM6503	NA	NA	NA
M_m00034c	(1S,2R)-naphthalene 1,2-oxide	c	C10H8O	NA	NA	NA	C14787	MNXM2885	NA	NA	NA
M_m00035c	(24R)-24,25-dihydroxycalciol	c	C27H44O3	2425dhvitd3	CHEBI:28818	CHEMBL:1590076	C07712	MNXM6763	NA	NA	LMST03020273
M_m00035m	(24R)-24,25-dihydroxycalciol	m	C27H44O3	2425dhvitd3	CHEBI:28818	CHEMBL:1590076	C07712	MNXM6763	NA	NA	LMST03020273
M_m00035s	(24R)-24,25-dihydroxycalciol	s	C27H44O3	2425dhvitd3	CHEBI:28818	CHEMBL:1590076	C07712	MNXM6763	NA	NA	LMST03020273
M_m00036m	(24R,25R)3alpha,7alpha,12alpha,24-tetrahydroxy-5beta-cholestanoyl-CoA	m	C48H76N7O21P3S	NA	CHEBI:52050	NA	C05450	MNXM732	NA	46224537	NA
M_m00036p	(24R,25R)3alpha,7alpha,12alpha,24-tetrahydroxy-5beta-cholestanoyl-CoA	p	C48H76N7O21P3S	NA	CHEBI:52050	NA	C05450	MNXM732	NA	46224537	NA
M_m00037p	(24R,25R)3alpha,7alpha,24-trihydroxy-5beta-cholestanoyl-CoA	p	C48H76N7O20P3S	thcholoylcoa	CHEBI:27403	NA	C05448	MNXM165175	NA	46224536	NA
M_m00038c	(2E)-decenoyl-[ACP]	c	C21H37N2O8PRS	NA	NA	NA	C05754	MNXM28221	NA	NA	NA
M_m00039m	(2E)-decenoyl-CoA	m	C31H48N7O17P3S	dc2coa	CHEBI:10723	NA	C05275	MNXM580	NA	24883423	LMFA07050023
M_m00039p	(2E)-decenoyl-CoA	p	C31H48N7O17P3S	dc2coa	CHEBI:10723	NA	C05275	MNXM580	NA	24883423	LMFA07050023
M_m00040c	(2E)-docosenoyl-CoA	c	C43H72N7O17P3S	NA	NA	NA	NA	MNXM97615	NA	NA	NA
M_m00040m	(2E)-docosenoyl-CoA	m	C43H72N7O17P3S	NA	NA	NA	NA	MNXM97615	NA	NA	NA
M_m00040p	(2E)-docosenoyl-CoA	p	C43H72N7O17P3S	NA	NA	NA	NA	MNXM97615	NA	NA	NA
M_m00041c	(2E)-dodecenoyl-[ACP]	c	C23H41N2O8PRS	NA	NA	NA	C05758	MNXM23842	NA	NA	NA
M_m00042m	(2E)-dodecenoyl-CoA	m	C33H52N7O17P3S	dd2coa	CHEBI:15471	NA	C03221	MNXM642	NA	45266564	LMFA07050010
M_m00042p	(2E)-dodecenoyl-CoA	p	C33H52N7O17P3S	dd2coa	CHEBI:15471	NA	C03221	MNXM642	NA	45266564	LMFA07050010
M_m00043c	(2E)-eicosenoyl-CoA	c	C41H68N7O17P3S	NA	NA	NA	NA	MNXM163905	NA	NA	NA
M_m00043m	(2E)-eicosenoyl-CoA	m	C41H68N7O17P3S	NA	NA	NA	NA	MNXM163905	NA	NA	NA
M_m00043p	(2E)-eicosenoyl-CoA	p	C41H68N7O17P3S	NA	NA	NA	NA	MNXM163905	NA	NA	NA
M_m00044c	(2E)-heneicosenoyl-CoA	c	C42H70N7O17P3S	NA	NA	NA	NA	NA	NA	NA	NA
M_m00044m	(2E)-heneicosenoyl-CoA	m	C42H70N7O17P3S	NA	NA	NA	NA	NA	NA	NA	NA
M_m00045c	(2E)-heptadecenoyl-[ACP]	c	C28H51N2O8PRS	NA	NA	NA	NA	NA	NA	NA	NA
M_m00046m	(2E)-heptadecenoyl-CoA	m	C38H62N7O17P3S	NA	NA	NA	NA	MNXM170113	NA	NA	NA
M_m00047c	(2E)-heptenoyl-[ACP]	c	C18H31N2O8PRS	NA	NA	NA	NA	NA	NA	NA	NA
M_m00048m	(2E)-heptenoyl-CoA	m	C28H42N7O17P3S	NA	NA	NA	NA	NA	NA	NA	NA
M_m00049c	(2E)-hexacosenoyl-CoA	c	C47H80N7O17P3S	NA	NA	NA	NA	MNXM114303	NA	NA	NA
M_m00049p	(2E)-hexacosenoyl-CoA	p	C47H80N7O17P3S	NA	NA	NA	NA	MNXM114303	NA	NA	NA
M_m00050c	(2E)-hexadecenoyl-[ACP]	c	C27H49N2O8PRS	NA	NA	NA	C05763	MNXM29072	NA	NA	NA
M_m00051m	(2E)-hexadecenoyl-CoA	m	C37H60N7O17P3S	hdd2coa	CHEBI:28935	NA	C05272	MNXM581	HMDB06533	46173176	LMFA07050020
M_m00051p	(2E)-hexadecenoyl-CoA	p	C37H60N7O17P3S	hdd2coa	CHEBI:28935	NA	C05272	MNXM581	HMDB06533	46173176	LMFA07050020
M_m00052c	(2E)-hexenoyl-[ACP]	c	C17H29N2O8PRS	NA	NA	NA	C05748	MNXM24502	NA	NA	NA
M_m00053m	(2E)-hexenoyl-CoA	m	C27H40N7O17P3S	NA	CHEBI:28706	NA	C05271	MNXM753	NA	5280765	LMFA07050019
M_m00053p	(2E)-hexenoyl-CoA	p	C27H40N7O17P3S	NA	CHEBI:28706	NA	C05271	MNXM753	NA	5280765	LMFA07050019
M_m00054c	(2E)-nonadecenoyl-CoA	c	C40H66N7O17P3S	NA	NA	NA	NA	NA	NA	NA	NA
M_m00054m	(2E)-nonadecenoyl-CoA	m	C40H66N7O17P3S	NA	NA	NA	NA	NA	NA	NA	NA
M_m00055c	(2E)-nonenoyl-[ACP]	c	C20H35N2O8PRS	NA	NA	NA	NA	NA	NA	NA	NA
M_m00056m	(2E)-nonenoyl-CoA	m	C30H46N7O17P3S	NA	NA	NA	NA	MNXM170116	NA	NA	NA
M_m00057c	(2E)-octadecenoyl-CoA	c	C39H64N7O17P3S	od2coa	CHEBI:50570	NA	C16218	MNXM954	HMDB06529	53477850	LMFA07050055
M_m00057m	(2E)-octadecenoyl-CoA	m	C39H64N7O17P3S	od2coa	CHEBI:50570	NA	C16218	MNXM954	HMDB06529	53477850	LMFA07050055
M_m00057p	(2E)-octadecenoyl-CoA	p	C39H64N7O17P3S	od2coa	CHEBI:50570	NA	C16218	MNXM954	HMDB06529	53477850	LMFA07050055
M_m00058c	(2E)-octenoyl-[ACP]	c	C19H33N2O8PRS	NA	NA	NA	C05751	MNXM23766	NA	NA	NA
M_m00059m	(2E)-octenoyl-CoA	m	C29H44N7O17P3S	NA	CHEBI:27537	NA	C05276	MNXM784	NA	46173358	LMFA07050024
M_m00059p	(2E)-octenoyl-CoA	p	C29H44N7O17P3S	NA	CHEBI:27537	NA	C05276	MNXM784	NA	46173358	LMFA07050024
M_m00060c	(2E)-pentadecenoyl-[ACP]	c	C26H47N2O8PRS	NA	NA	NA	NA	NA	NA	NA	NA
M_m00061m	(2E)-pentadecenoyl-CoA	m	C36H58N7O17P3S	NA	NA	NA	NA	MNXM146674	NA	NA	NA
M_m00062c	(2E)-pentenoyl-[ACP]	c	C16H27N2O8PRS	NA	NA	NA	NA	NA	NA	NA	NA
M_m00063m	(2E)-pentenoyl-CoA	m	C26H38N7O17P3S	NA	NA	NA	NA	MNXM20340	NA	NA	NA
M_m00064c	(2E)-tetracosenoyl-CoA	c	C45H76N7O17P3S	NA	NA	NA	NA	MNXM165192	NA	NA	NA
M_m00064p	(2E)-tetracosenoyl-CoA	p	C45H76N7O17P3S	NA	NA	NA	NA	MNXM165192	NA	NA	NA
M_m00065c	(2E)-tetradecenoyl-[ACP]	c	C25H45N2O8PRS	NA	NA	NA	C05760	MNXM24297	NA	NA	NA
M_m00066m	(2E)-tetradecenoyl-CoA	m	C35H56N7O17P3S	NA	CHEBI:27721	NA	C05273	MNXM654	NA	NA	LMFA07050021
M_m00066p	(2E)-tetradecenoyl-CoA	p	C35H56N7O17P3S	NA	CHEBI:27721	NA	C05273	MNXM654	NA	NA	LMFA07050021
M_m00067c	(2E)-tricosenoyl-CoA	c	C44H74N7O17P3S	NA	NA	NA	NA	MNXM163027	NA	NA	NA
M_m00068c	(2E)-tridecenoyl-[ACP]	c	C24H43N2O8PRS	NA	NA	NA	NA	NA	NA	NA	NA
M_m00069m	(2E)-tridecenoyl-CoA	m	C34H54N7O17P3S	NA	NA	NA	NA	NA	NA	NA	NA
M_m00070c	(2E)-undecenoyl-[ACP]	c	C22H39N2O8PRS	NA	NA	NA	NA	NA	NA	NA	NA
M_m00071m	(2E)-undecenoyl-CoA	m	C32H50N7O17P3S	NA	NA	NA	NA	MNXM170117	NA	NA	NA
M_m00072m	(2E,4Z,7Z,10Z)-hexadecatetraenoyl-CoA	m	C37H54N7O17P3S	NA	NA	NA	NA	NA	NA	NA	NA
M_m00072p	(2E,4Z,7Z,10Z)-hexadecatetraenoyl-CoA	p	C37H54N7O17P3S	NA	NA	NA	NA	NA	NA	NA	NA
M_m00073m	(2E,6Z,9Z,12Z)-octadecatetraenoyl-CoA	m	C39H58N7O17P3S	NA	NA	NA	NA	NA	NA	NA	NA
M_m00073p	(2E,6Z,9Z,12Z)-octadecatetraenoyl-CoA	p	C39H58N7O17P3S	NA	NA	NA	NA	NA	NA	NA	NA
M_m00074c	(2E,7Z,10Z,13Z,16Z)-docosapentaenoyl-CoA	c	C43H64N7O17P3S	NA	NA	NA	NA	MNXM145822	NA	NA	NA
M_m00075p	(2R)-pristanoyl-CoA	p	C40H68N7O17P3S	NA	CHEBI:20067	CHEMBL:1162496	NA	MNXM108213	NA	NA	LMFA07050065
M_m00076p	(2R,6R,10R)-trimethyl-hendecanoyl-CoA	p	C35H58N7O17P3S	NA	NA	NA	NA	NA	NA	NA	NA
M_m00077p	(2R,6S,10S)-pristanate	p	C19H37O2	CE2416	NA	NA	NA	MNXM165274	NA	NA	NA
M_m00078p	(2S)-pristanoyl-CoA	p	C40H68N7O17P3S	pristcoa	CHEBI:64039	NA	NA	MNXM30947	NA	NA	LMFA07050064
M_m00079p	(2S,6R,10R)-trimethyl-(2E)-hendecenoyl-CoA	p	C35H56N7O17P3S	NA	NA	NA	NA	MNXM30996	NA	53481417	NA
M_m00080p	(2S,6R,10R)-trimethyl-hendecanoyl-CoA	p	C35H58N7O17P3S	NA	NA	NA	NA	MNXM30997	NA	53481419	NA
M_m00081m	(3S)-3-hydroxy-cis,cis-palmito-7,10-dienoyl-CoA	m	C37H58N7O18P3S	NA	NA	NA	NA	MNXM31113	NA	53481423	NA
M_m00081p	(3S)-3-hydroxy-cis,cis-palmito-7,10-dienoyl-CoA	p	C37H58N7O18P3S	NA	NA	NA	NA	MNXM31113	NA	53481423	NA
M_m00082m	(3S)-3-hydroxydodec-cis-6-enoyl-CoA	m	C33H52N7O18P3S	NA	NA	NA	NA	MNXM31119	NA	53481428	NA
M_m00082p	(3S)-3-hydroxydodec-cis-6-enoyl-CoA	p	C33H52N7O18P3S	NA	NA	NA	NA	MNXM31119	NA	53481428	NA
M_m00083m	(3S)-3-hydroxylinoleoyl-CoA	m	C39H62N7O18P3S	NA	NA	NA	NA	MNXM31120	NA	53481430	NA
M_m00083p	(3S)-3-hydroxylinoleoyl-CoA	p	C39H62N7O18P3S	NA	NA	NA	NA	MNXM31120	NA	53481430	NA
M_m00084m	(3S)-citramalyl-CoA	m	C26H37N7O20P3S	citmcoa__L	CHEBI:36882	NA	C01011	MNXM1251	HMDB06345	53477827	NA
M_m00085c	(3S)-hydroxy-docasa-cis,cis-13,16-dienoyl-CoA	c	C43H70N7O18P3S	NA	NA	NA	NA	NA	NA	NA	NA
M_m00086c	(3S)-hydroxy-eicosa-cis,cis,cis-11,14,17-trienoyl-CoA	c	C41H64N7O18P3S	NA	NA	NA	NA	NA	NA	NA	NA
M_m00087c	(3S)-hydroxy-eicosa-cis,cis-11,14-dienoyl-CoA	c	C41H66N7O18P3S	NA	NA	NA	NA	MNXM163965	NA	NA	NA
M_m00088m	(3Z)-dodecenoyl-CoA	m	C33H52N7O17P3S	dd3coa	CHEBI:27989	NA	C02944	MNXM14550	NA	16061154	LMFA07050009
M_m00088p	(3Z)-dodecenoyl-CoA	p	C33H52N7O17P3S	dd3coa	CHEBI:27989	NA	C02944	MNXM14550	NA	16061154	LMFA07050009
M_m00089m	(3Z,7Z,10Z)-hexadecatrienoyl-CoA	m	C37H56N7O17P3S	NA	NA	NA	NA	NA	NA	NA	NA
M_m00089p	(3Z,7Z,10Z)-hexadecatrienoyl-CoA	p	C37H56N7O17P3S	NA	NA	NA	NA	NA	NA	NA	NA
M_m00090p	(4R,8R,12R)-trimethyl-(2E)-tridecenoyl-CoA	p	C37H60N7O17P3S	NA	NA	NA	NA	MNXM31216	NA	53481434	NA
M_m00091m	(4Z,7Z,10Z)-hexadecatrienoyl-CoA	m	C37H56N7O17P3S	NA	NA	NA	NA	NA	NA	NA	NA
M_m00091p	(4Z,7Z,10Z)-hexadecatrienoyl-CoA	p	C37H56N7O17P3S	NA	NA	NA	NA	NA	NA	NA	NA
M_m00092c	(4Z,7Z,10Z,13Z,16Z)-docosapentaenoylcarnitine	c	C29H47NO4	dcsptn1crn	NA	NA	NA	MNXM8558	NA	NA	NA
M_m00092m	(4Z,7Z,10Z,13Z,16Z)-docosapentaenoylcarnitine	m	C29H47NO4	dcsptn1crn	NA	NA	NA	MNXM8558	NA	NA	NA
M_m00092r	(4Z,7Z,10Z,13Z,16Z)-docosapentaenoylcarnitine	r	C29H47NO4	dcsptn1crn	NA	NA	NA	MNXM8558	NA	NA	NA
M_m00093c	(4Z,7Z,10Z,13Z,16Z)-docosapentaenoyl-CoA	c	C43H64N7O17P3S	dcsptn1coa	NA	NA	C16173	MNXM3265	NA	23724650	LMFA07050043
M_m00093m	(4Z,7Z,10Z,13Z,16Z)-docosapentaenoyl-CoA	m	C43H64N7O17P3S	dcsptn1coa	NA	NA	C16173	MNXM3265	NA	23724650	LMFA07050043
M_m00093p	(4Z,7Z,10Z,13Z,16Z)-docosapentaenoyl-CoA	p	C43H64N7O17P3S	dcsptn1coa	NA	NA	C16173	MNXM3265	NA	23724650	LMFA07050043
M_m00093r	(4Z,7Z,10Z,13Z,16Z)-docosapentaenoyl-CoA	r	C43H64N7O17P3S	dcsptn1coa	NA	NA	C16173	MNXM3265	NA	23724650	LMFA07050043
M_m00094c	(4Z,7Z,10Z,13Z,16Z)-DPA	c	C22H33O2	dcsptn1	CHEBI:65136	NA	NA	MNXM11427	HMDB13123	159656	LMFA04000064
M_m00094l	(4Z,7Z,10Z,13Z,16Z)-DPA	l	C22H33O2	dcsptn1	CHEBI:65136	NA	NA	MNXM11427	HMDB13123	159656	LMFA04000064
M_m00094r	(4Z,7Z,10Z,13Z,16Z)-DPA	r	C22H33O2	dcsptn1	CHEBI:65136	NA	NA	MNXM11427	HMDB13123	159656	LMFA04000064
M_m00094s	(4Z,7Z,10Z,13Z,16Z)-DPA	s	C22H33O2	dcsptn1	CHEBI:65136	NA	NA	MNXM11427	HMDB13123	159656	LMFA04000064
M_m00095c	(4Z,7Z,10Z,13Z,16Z,19Z)-docosahexaenoyl-CoA	c	C43H62N7O17P3S	c226coa	CHEBI:65132	NA	C16169	MNXM3234	NA	NA	LMFA07050050
M_m00095m	(4Z,7Z,10Z,13Z,16Z,19Z)-docosahexaenoyl-CoA	m	C43H62N7O17P3S	c226coa	CHEBI:65132	NA	C16169	MNXM3234	NA	NA	LMFA07050050
M_m00095p	(4Z,7Z,10Z,13Z,16Z,19Z)-docosahexaenoyl-CoA	p	C43H62N7O17P3S	c226coa	CHEBI:65132	NA	C16169	MNXM3234	NA	NA	LMFA07050050
M_m00095r	(4Z,7Z,10Z,13Z,16Z,19Z)-docosahexaenoyl-CoA	r	C43H62N7O17P3S	c226coa	CHEBI:65132	NA	C16169	MNXM3234	NA	NA	LMFA07050050
M_m00096c	(5)ppPur-mRNA	c	C15H23O22P4R3	NA	NA	NA	C02100	MNXM92760	NA	NA	NA
