mapped_rows,5,,,,,,,
mapped_columns,1,,,,,,,
Pesquisa Nacional por Amostra de Domicílios Contínua - Divulgação Trimestral,age,Years14Onwards,scalingFactor,100,unit,Percent,observationPeriod,P3M
Salvador (BA),observationAbout,wikidataId/Q36947,,,,,,
Belo Horizonte (MG),observationAbout,wikidataId/Q42800,,,,,,
Vitória (ES),observationAbout,wikidataId/Q168376,,,,,,
Rio de Janeiro (RJ),observationAbout,wikidataId/Q41428,,,,,,
São Paulo (SP),observationAbout,wikidataId/Q175,,,,,,
Curitiba (PR),observationAbout,wikidataId/Q4361,,,,,,
Florianópolis (SC),observationAbout,wikidataId/Q132997,,,,,,
Porto Alegre (RS),observationAbout,wikidataId/Q40269,,,,,,
Campo Grande (MS),observationAbout,wikidataId/Q168929,,,,,,
Cuiabá (MT),observationAbout,wikidataId/Q170762,,,,,,
Goiânia (GO),observationAbout,wikidataId/Q83189,,,,,,
Brasília (DF),observationAbout,wikidataId/Q2844,,,,,,
Brasil,observationAbout,country/BRA,,,,,,
Brazil,observationAbout,country/BRA,,,,,,
