,GeoId,CALicensedHealthcareFacilityBedFACID,CALicensedHealthcareFacilityName,CALicensedHealthcareFacilityType,Count_HospitalBed_SkilledNursingBed,Count_HospitalBed_SpecialTreatmentProgramBed,Count_HospitalBed_IntermediateCareHabilitativeBed,Count_HospitalBed_IntermediateCareNursingBed,Count_HospitalBed_CongregateLivingHealthFacilityBed,Count_HospitalBed_IntermediateCareBed,Count_HospitalBed_CoronaryCareBed,Count_HospitalBed_IntensiveCareBed,Count_HospitalBed_IntensiveCareNewbornNurseryBed,Count_HospitalBed_PerinatalBed,Count_HospitalBed_UnspecifiedGeneralAcuteCareBed,Count_HospitalBed_BurnBed,Count_HospitalBed_PediatricBed,Count_HospitalBed_RenalTransplantBed,Count_HospitalBed_RehabilitationBed,Count_HospitalBed_AcuteRespiratoryCareBed,Count_HospitalBed_AcutePsychiatricCareBed,Count_HospitalBed_ChemicalDependencyRecoveryBed,Count_HospitalBed_PediatricIntensiveCareUnitBed,Count_HospitalBed_LaborAndDeliveryBed,Count_HospitalBed_IntermediateCareDevelopmentallyDisabledBed,Count_HospitalBed_PsychiatricHealthBed,Count_HospitalBed_PediatricDayAndRespiteCareBed,Count_HospitalBed_DialysisStationsBed,Count_HospitalBed_CorrectionalTreatmentCenterBed,Count_HospitalBed_HospiceBed
14,dcid:geoId/06097,ELMS/010000052,PETALUMA POST-ACUTE REHAB,dcs:SkilledNursingFacility,90,,,,,,,,,,,,,,,,,,,,,,,,,
15,dcid:geoId/06097,ELMS/010000059,SONOMA POSTACUTE CARE,dcs:SkilledNursingFacility,62,,,,,,,,,,,,,,,,,,,,,,,,,
16,dcid:geoId/06023,ELMS/010000060,"SEAVIEW REHABILITATION & WELLNESS CENTER, LP",dcs:SkilledNursingFacility,99,,,,,,,,,,,,,,,,,,,,,,,,,
17,dcid:geoId/06045,ELMS/010000062,SHERWOOD OAKS HEALTHCARE CENTER,dcs:SkilledNursingFacility,79,,,,,,,,,,,,,,,,,,,,,,,,,
18,dcid:geoId/06097,ELMS/010000066,BROADWAY VILLA POST ACUTE,dcs:SkilledNursingFacility,144,,,,,,,,,,,,,,,,,,,,,,,,,
19,dcid:geoId/06023,ELMS/010000075,"FORTUNA REHABILITATION & WELLNESS CENTER, LP",dcs:SkilledNursingFacility,104,,,,,,,,,,,,,,,,,,,,,,,,,
20,dcid:geoId/06097,ELMS/010000076,SUMMERFIELD HEALTHCARE CENTER,dcs:SkilledNursingFacility,70,,,,,,,,,,,,,,,,,,,,,,,,,
21,dcid:geoId/06023,ELMS/010000078,"EUREKA REHAB & WELLNESS CENTER, LP",dcs:SkilledNursingFacility,99,,,,,,,,,,,,,,,,,,,,,,,,,
22,dcid:geoId/06097,ELMS/010000079,HILLCREST POST ACUTE,dcs:SkilledNursingFacility,59,,,,,,,,,,,,,,,,,,,,,,,,,
23,dcid:geoId/06045,ELMS/010000080,UKIAH POST ACUTE,dcs:SkilledNursingFacility,54,,,,,,,,,,,,,,,,,,,,,,,,,
24,dcid:geoId/06045,ELMS/010000082,REDWOOD COVE HEALTHCARE CENTER,dcs:SkilledNursingFacility,68,,,,,,,,,,,,,,,,,,,,,,,,,
25,dcid:geoId/06055,ELMS/010000086,BAYBERRY HOUSE,dcs:IntermediateCareFacility,,,6,,,,,,,,,,,,,,,,,,,,,,,
26,dcid:geoId/06023,ELMS/010000087,BUTLER VALLEY,dcs:IntermediateCareFacility,,,6,,,,,,,,,,,,,,,,,,,,,,,
27,dcid:geoId/06023,ELMS/010000088,BUTLER VALLEY #2,dcs:IntermediateCareFacility,,,6,,,,,,,,,,,,,,,,,,,,,,,
28,dcid:geoId/06095,ELMS/010000089,"NEW HAVEN - ICF-DD -H, INCORPORATED",dcs:IntermediateCareFacility,,,6,,,,,,,,,,,,,,,,,,,,,,,
29,dcid:geoId/06095,ELMS/010000160,MILESTONES OF DEVELOPMENT #1,dcs:IntermediateCareFacility,,,6,,,,,,,,,,,,,,,,,,,,,,,
30,dcid:geoId/06095,ELMS/010000161,MILESTONES OF DEVELOPMENT #2,dcs:IntermediateCareFacility,,,6,,,,,,,,,,,,,,,,,,,,,,,
31,dcid:geoId/06095,ELMS/010000162,MILESTONES OF DEVELOPMENT #3,dcs:IntermediateCareFacility,,,6,,,,,,,,,,,,,,,,,,,,,,,
32,dcid:geoId/06095,ELMS/010000163,MILESTONES OF DEVELOPMENT #4,dcs:IntermediateCareFacility,,,6,,,,,,,,,,,,,,,,,,,,,,,
33,dcid:geoId/06095,ELMS/010000164,MILESTONES OF DEVELOPMENT #5,dcs:IntermediateCareFacility,,,6,,,,,,,,,,,,,,,,,,,,,,,
34,dcid:geoId/06097,ELMS/010000208,SPRING LAKE VILLAGE,dcs:SkilledNursingFacility,70,,,,,,,,,,,,,,,,,,,,,,,,,
35,dcid:geoId/06097,ELMS/010000394,"BENNETT VALLEY ICF/DD-H, INC.",dcs:IntermediateCareFacility,,,6,,,,,,,,,,,,,,,,,,,,,,,
36,dcid:geoId/06097,ELMS/010000431,PETALUMA ICF/DDH,dcs:IntermediateCareFacility,,,8,,,,,,,,,,,,,,,,,,,,,,,
37,dcid:geoId/06097,ELMS/010000480,VELMA HOUSE,dcs:IntermediateCareFacility,,,6,,,,,,,,,,,,,,,,,,,,,,,
38,dcid:geoId/06097,ELMS/010000481,REDWOOD HOUSE,dcs:IntermediateCareFacility,,,,6,,,,,,,,,,,,,,,,,,,,,,
39,dcid:geoId/06097,ELMS/010000487,MAYETTE HOUSE,dcs:IntermediateCareFacility,,,6,,,,,,,,,,,,,,,,,,,,,,,
40,dcid:geoId/06097,ELMS/010000572,VICTORIA DRIVE HOUSE,dcs:IntermediateCareFacility,,,6,,,,,,,,,,,,,,,,,,,,,,,
41,dcid:geoId/06097,ELMS/010000585,FIFTY-O-ONE PARKHURST,dcs:IntermediateCareFacility,,,6,,,,,,,,,,,,,,,,,,,,,,,
42,dcid:geoId/06097,ELMS/010000598,SACRAMENTO HOUSE,dcs:IntermediateCareFacility,,,6,,,,,,,,,,,,,,,,,,,,,,,
43,dcid:geoId/06095,ELMS/010000620,MUSTARD SEED,dcs:IntermediateCareFacility,,,6,,,,,,,,,,,,,,,,,,,,,,,
44,dcid:geoId/06095,ELMS/010000643,PATHWAYS,dcs:IntermediateCareFacility,,,,6,,,,,,,,,,,,,,,,,,,,,,
45,dcid:geoId/06097,ELMS/010000657,ESTES HOUSE,dcs:IntermediateCareFacility,,,,6,,,,,,,,,,,,,,,,,,,,,,
46,dcid:geoId/06097,ELMS/010000673,DOUGLAS HOUSE,dcs:IntermediateCareFacility,,,6,,,,,,,,,,,,,,,,,,,,,,,
47,dcid:geoId/06097,ELMS/010000703,BAIRD HOUSE,dcs:IntermediateCareFacility,,,,6,,,,,,,,,,,,,,,,,,,,,,
48,dcid:geoId/06095,ELMS/010000792,CROSSROADS,dcs:IntermediateCareFacility,,,6,,,,,,,,,,,,,,,,,,,,,,,
49,dcid:geoId/06095,ELMS/010000793,PATHWAYS 2,dcs:IntermediateCareFacility,,,,6,,,,,,,,,,,,,,,,,,,,,,
50,dcid:geoId/06097,ELMS/010000799,MY HOME,dcs:IntermediateCareFacility,,,6,,,,,,,,,,,,,,,,,,,,,,,
51,dcid:geoId/06097,ELMS/010000801,DANNY'S PLACE,dcs:IntermediateCareFacility,,,,6,,,,,,,,,,,,,,,,,,,,,,
52,dcid:geoId/06097,ELMS/010000822,BADGER CREEK,dcs:IntermediateCareFacility,,,,6,,,,,,,,,,,,,,,,,,,,,,
53,dcid:geoId/06097,ELMS/010000834,CALISTOGA HOUSE,dcs:IntermediateCareFacility,,,,6,,,,,,,,,,,,,,,,,,,,,,
54,dcid:geoId/06095,ELMS/010000860,GREENFIELDS I ICF-DDN,dcs:IntermediateCareFacility,,,,6,,,,,,,,,,,,,,,,,,,,,,
55,dcid:geoId/06095,ELMS/010000864,CROSSROADS II,dcs:IntermediateCareFacility,,,6,,,,,,,,,,,,,,,,,,,,,,,
56,dcid:geoId/06095,ELMS/010000907,GREENFIELDS II ICF-DDN,dcs:IntermediateCareFacility,,,,6,,,,,,,,,,,,,,,,,,,,,,
57,dcid:geoId/06041,ELMS/010000936,"SAN RAFAEL HEALTHCARE & WELLNESS CENTER, LP",dcs:SkilledNursingFacility,54,,,,,,,,,,,,,,,,,,,,,,,,,
58,dcid:geoId/06041,ELMS/010000938,SOUTH MARIN HEALTH & WELLNESS CENTER,dcs:SkilledNursingFacility,72,,,,,,,,,,,,,,,,,,,,,,,,,
59,dcid:geoId/06041,ELMS/010000940,NOVATO HEALTHCARE CENTER,dcs:SkilledNursingFacility,181,,,,,,,,,,,,,,,,,,,,,,,,,
60,dcid:geoId/06041,ELMS/010000949,PINE RIDGE CARE CENTER,dcs:SkilledNursingFacility,101,,,,,,,,,,,,,,,,,,,,,,,,,
61,dcid:geoId/06041,ELMS/010000951,MARIN CONVALESCENT & REHABILITATION HOSPITAL,dcs:SkilledNursingFacility,56,,,,,,,,,,,,,,,,,,,,,,,,,
62,dcid:geoId/06041,ELMS/010000959,MARIN POST ACUTE,dcs:SkilledNursingFacility,168,,,,,,,,,,,,,,,,,,,,,,,,,
63,dcid:geoId/06041,ELMS/010000968,PROFESSIONAL POST ACUTE CENTER,dcs:SkilledNursingFacility,99,,,,,,,,,,,,,,,,,,,,,,,,,
64,dcid:geoId/06041,ELMS/010000970,DEVON DRIVE HOME,dcs:IntermediateCareFacility,,,6,,,,,,,,,,,,,,,,,,,,,,,
65,dcid:geoId/06041,ELMS/010000972,ADRIAN WAY HOME,dcs:IntermediateCareFacility,,,6,,,,,,,,,,,,,,,,,,,,,,,
66,dcid:geoId/06041,ELMS/010000976,SUNRISE II,dcs:IntermediateCareFacility,,,6,,,,,,,,,,,,,,,,,,,,,,,
67,dcid:geoId/06041,ELMS/010000980,NORTHGATE POSTACUTE CARE,dcs:SkilledNursingFacility,54,,,,,,,,,,,,,,,,,,,,,,,,,
68,dcid:geoId/06041,ELMS/010000985,THE TAMALPAIS,dcs:SkilledNursingFacility,52,,,,,,,,,,,,,,,,,,,,,,,,,
69,dcid:geoId/06041,ELMS/010000995,VILLA MARIN RETIREMENT RESIDENCES,dcs:SkilledNursingFacility,31,,,,,,,,,,,,,,,,,,,,,,,,,
70,dcid:geoId/06041,ELMS/010000998,ABLE,dcs:IntermediateCareFacility,,,10,,,,,,,,,,,,,,,,,,,,,,,
71,dcid:geoId/06041,ELMS/010001001,MILES - CENTER ROAD HOUSE,dcs:IntermediateCareFacility,,,6,,,,,,,,,,,,,,,,,,,,,,,
72,dcid:geoId/06041,ELMS/010001005,ALDERSLY SKILLED NURSING FACILITY,dcs:SkilledNursingFacility,20,,,,,,,,,,,,,,,,,,,,,,,,,
73,dcid:geoId/06041,ELMS/010001007,"THE REDWOODS, A COMMUNITY OF SENIORS",dcs:SkilledNursingFacility,58,,,,,,,,,,,,,,,,,,,,,,,,,
74,dcid:geoId/06041,ELMS/010001011,RAE LANE HOUSE,dcs:IntermediateCareFacility,,,6,,,,,,,,,,,,,,,,,,,,,,,
75,dcid:geoId/06041,ELMS/010001031,STONEHAVEN,dcs:IntermediateCareFacility,,,6,,,,,,,,,,,,,,,,,,,,,,,
76,dcid:geoId/06041,ELMS/010001033,"NOVA HOUSE, INC.",dcs:IntermediateCareFacility,,,6,,,,,,,,,,,,,,,,,,,,,,,
77,dcid:geoId/06041,ELMS/010001037,SMITH RANCH SKILLED NURSING & REHABILITATION CENTER,dcs:SkilledNursingFacility,80,,,,,,,,,,,,,,,,,,,,,,,,,
78,dcid:geoId/06097,ELMS/010001124,MONTE VERDE,dcs:IntermediateCareFacility,,,,6,,,,,,,,,,,,,,,,,,,,,,
79,dcid:geoId/06041,ELMS/010001128,"CARE MERIDIAN, LLC",dcs:CongregateLivingHealthFacility,,,,,12,,,,,,,,,,,,,,,,,,,,,
80,dcid:geoId/06095,ELMS/010001139,GREENFIELDS III ICF-DDN,dcs:IntermediateCareFacility,,,,6,,,,,,,,,,,,,,,,,,,,,,
81,dcid:geoId/06097,ELMS/010001140,ARBOL RESIDENCES OF SANTA ROSA,dcs:SkilledNursingFacility,45,,,,,,,,,,,,,,,,,,,,,,,,,
82,dcid:geoId/06095,ELMS/010001143,"PARADISE VALLEY ICF DDH, INC",dcs:IntermediateCareFacility,,,6,,,,,,,,,,,,,,,,,,,,,,,
83,dcid:geoId/06001,ELMS/020000005,ST ANTHONY CARE CENTER,dcs:SkilledNursingFacility,30,,,,,,,,,,,,,,,,,,,,,,,,,
84,dcid:geoId/06001,ELMS/020000010,ASHBY CARE CENTER,dcs:SkilledNursingFacility,31,,,,,,,,,,,,,,,,,,,,,,,,,
85,dcid:geoId/06001,ELMS/020000015,BANCROFT HEALTHCARE CENTER,dcs:SkilledNursingFacility,36,,,,,,,,,,,,,,,,,,,,,,,,,
86,dcid:geoId/06001,ELMS/020000019,VISTA POST ACUTE,dcs:SkilledNursingFacility,71,,,,,,,,,,,,,,,,,,,,,,,,,
87,dcid:geoId/06001,ELMS/020000020,WINDSOR COUNTRY DRIVE CARE CENTER,dcs:SkilledNursingFacility,126,,,,,,,,,,,,,,,,,,,,,,,,,
88,dcid:geoId/06001,ELMS/020000026,"BAY VIEW REHABILITATION HOSPITAL, LLC",dcs:SkilledNursingFacility,170,,,,,,,,,,,,,,,,,,,,,,,,,
89,dcid:geoId/06001,ELMS/020000028,BERKELEY PINES SKILLED NURSING CENTER,dcs:SkilledNursingFacility,36,,,,,,,,,,,,,,,,,,,,,,,,,
90,dcid:geoId/06001,ELMS/020000029,BETHESDA HOME,dcs:SkilledNursingFacility,40,,,,,,,,,,,,,,,,,,,,,,,,,
91,dcid:geoId/06001,ELMS/020000036,WINDSOR PARK CARE CENTER OF FREMONT,dcs:SkilledNursingFacility,85,,,,,,,,,,,,,,,,,,,,,,,,,
92,dcid:geoId/06001,ELMS/020000037,GATEWAY CARE & REHABILITATION CENTER,dcs:SkilledNursingFacility,99,,,,,,,,,,,,,,,,,,,,,,,,,
93,dcid:geoId/06001,ELMS/020000039,HAYWARD HEALTHCARE & WELLNESS CENTER,dcs:SkilledNursingFacility,99,,,,,,,,,,,,,,,,,,,,,,,,,
94,dcid:geoId/06001,ELMS/020000040,MASONIC HOME,dcs:SkilledNursingFacility,125,,,,,,,,,,,,,,,,,,,,,,,,,
95,dcid:geoId/06001,ELMS/020000042,KAISER PERMANENTE POST-ACUTE CARE CENTER,dcs:SkilledNursingFacility,176,,,,,,,,,,,,,,,,,,,,,,,,,
96,dcid:geoId/06001,ELMS/020000043,ALAMEDA HEALTHCARE & WELLNESS CENTER,dcs:SkilledNursingFacility,166,,,,,,,,,,,,,,,,,,,,,,,,,
97,dcid:geoId/06001,ELMS/020000046,PARK MERRITT CARE CENTER,dcs:IntermediateCareFacility,,,,,,24,,,,,,,,,,,,,,,,,,,,
98,dcid:geoId/06001,ELMS/020000047,HAYWARD HILLS HEALTH CARE CENTER,dcs:SkilledNursingFacility,74,,,,,,,,,,,,,,,,,,,,,,,,,
99,dcid:geoId/06001,ELMS/020000048,CHAPARRAL HOUSE,dcs:SkilledNursingFacility,49,,,,,,,,,,,,,,,,,,,,,,,,,
100,dcid:geoId/06001,ELMS/020000053,CRESTWOOD MANOR - FREMONT,dcs:SkilledNursingFacility,74,52,,,,,,,,,,,,,,,,,,,,,,,,
101,dcid:geoId/06001,ELMS/020000054,"PRINCETON MANOR HEALTHCARE CENTER, LLC",dcs:SkilledNursingFacility,82,,,,,,,,,,,,,,,,,,,,,,,,,
102,dcid:geoId/06001,ELMS/020000060,BAYPOINT HEALTHCARE CENTER,dcs:SkilledNursingFacility,99,,,,,,,,,,,,,,,,,,,,,,,,,
103,dcid:geoId/06001,ELMS/020000064,ST PAULS TOWERS,dcs:SkilledNursingFacility,43,,,,,,,,,,,,,,,,,,,,,,,,,
104,dcid:geoId/06001,ELMS/020000065,WE CARE SKILLED NURSING FACILITY,dcs:SkilledNursingFacility,28,,,,,,,,,,,,,,,,,,,,,,,,,
105,dcid:geoId/06001,ELMS/020000066,VALLEY POINTE NURSING & REHABILITATION CENTER,dcs:SkilledNursingFacility,50,,,,,,,,,,,,,,,,,,,,,,,,,
106,dcid:geoId/06001,ELMS/020000068,ST JOHN KRONSTADT CONVALESCENT CENTER,dcs:SkilledNursingFacility,49,,,,,,,,,,,,,,,,,,,,,,,,,
107,dcid:geoId/06001,ELMS/020000070,ALL SAINTS SUBACUTE & TRANSITIONAL CARE,dcs:SkilledNursingFacility,70,,,,,,,,,,,,,,,,,,,,,,,,,
108,dcid:geoId/06001,ELMS/020000071,WINDSOR POST-ACUTE CARE CENTER OF HAYWARD,dcs:SkilledNursingFacility,99,,,,,,,,,,,,,,,,,,,,,,,,,
109,dcid:geoId/06001,ELMS/020000074,"SERENETHOS CARE CENTER, LLC",dcs:SkilledNursingFacility,36,,,,,,,,,,,,,,,,,,,,,,,,,
110,dcid:geoId/06001,ELMS/020000076,ST FRANCIS HEALTHCARE CENTER,dcs:SkilledNursingFacility,62,,,,,,,,,,,,,,,,,,,,,,,,,
111,dcid:geoId/06001,ELMS/020000077,SAN LEANDRO HEALTHCARE CENTER,dcs:SkilledNursingFacility,62,,,,,,,,,,,,,,,,,,,,,,,,,
112,dcid:geoId/06001,ELMS/020000079,MEDICAL HILL HEALTHCARE CENTER,dcs:SkilledNursingFacility,124,,,,,,,,,,,,,,,,,,,,,,,,,
113,dcid:geoId/06001,ELMS/020000087,CROWN BAY NURSING & REHABILITATION CENTER,dcs:SkilledNursingFacility,135,,,,,,,,,,,,,,,,,,,,,,,,,
114,dcid:geoId/06001,ELMS/020000090,PARKVIEW HEALTHCARE CENTER,dcs:SkilledNursingFacility,121,,,,,,,,,,,,,,,,,,,,,,,,,
115,dcid:geoId/06001,ELMS/020000091,PIEDMONT GARDENS HEALTH FACILITY,dcs:SkilledNursingFacility,94,,,,,,,,,,,,,,,,,,,,,,,,,
116,dcid:geoId/06001,ELMS/020000093,EXCELL HEALTH CARE CENTER,dcs:SkilledNursingFacility,99,,,,,,,,,,,,,,,,,,,,,,,,,
117,dcid:geoId/06001,ELMS/020000094,PARK CENTRAL CARE AND REHABILITATION CENTER,dcs:SkilledNursingFacility,99,,,,,,,,,,,,,,,,,,,,,,,,,
118,dcid:geoId/06001,ELMS/020000099,MCCLURE POST ACUTE,dcs:SkilledNursingFacility,60,,,,,,,,,,,,,,,,,,,,,,,,,
119,dcid:geoId/06001,ELMS/020000100,MERCY RETIREMENT & CARE CENTER,dcs:SkilledNursingFacility,59,,,,,,,,,,,,,,,,,,,,,,,,,
120,dcid:geoId/06001,ELMS/020000101,HILLSIDE SENIOR CARE,dcs:SkilledNursingFacility,73,,,,,,,,,,,,,,,,,,,,,,,,,
121,dcid:geoId/06001,ELMS/020000103,WINDSOR GARDENS CARE CENTER OF HAYWARD,dcs:SkilledNursingFacility,75,,,,,,,,,,,,,,,,,,,,,,,,,
122,dcid:geoId/06001,ELMS/020000104,MARINA GARDEN NURSING CENTER,dcs:SkilledNursingFacility,32,,,,,,,,,,,,,,,,,,,,,,,,,
123,dcid:geoId/06001,ELMS/020000109,SUNSHINE ICF/DDH #2,dcs:IntermediateCareFacility,,,6,,,,,,,,,,,,,,,,,,,,,,,
124,dcid:geoId/06001,ELMS/020000110,LAKE MERRITT HEALTHCARE CENTER LLC,dcs:SkilledNursingFacility,53,,,,,,,,,,,,,,,,,,,,,,,,,
125,dcid:geoId/06001,ELMS/020000111,JONES CONVALESCENT HOSPITAL,dcs:SkilledNursingFacility,25,,,,,,,,,,,,,,,,,,,,,,,,,
126,dcid:geoId/06001,ELMS/020000112,KYAKAMEENA CARE CENTER,dcs:SkilledNursingFacility,60,,,,,,,,,,,,,,,,,,,,,,,,,
127,dcid:geoId/06001,ELMS/020000114,LAKE PARK RETIREMENT RESIDENCE,dcs:SkilledNursingFacility,35,,,,,,,,,,,,,,,,,,,,,,,,,
128,dcid:geoId/06001,ELMS/020000115,OAKLAND HEALTHCARE & WELLNESS CENTER,dcs:SkilledNursingFacility,98,,,,,,,,,,,,,,,,,,,,,,,,,
129,dcid:geoId/06001,ELMS/020000116,EAST BAY POST-ACUTE,dcs:SkilledNursingFacility,91,,,,,,,,,,,,,,,,,,,,,,,,,
130,dcid:geoId/06001,ELMS/020000119,REDWOOD HEALTHCARE CENTER LLC,dcs:SkilledNursingFacility,44,,,,,,,,,,,,,,,,,,,,,,,,,
131,dcid:geoId/06001,ELMS/020000123,HAYWARD CONVALESCENT HOSPITAL,dcs:SkilledNursingFacility,99,,,,,,,,,,,,,,,,,,,,,,,,,
132,dcid:geoId/06001,ELMS/020000124,FRUITVALE HEALTHCARE CENTER,dcs:SkilledNursingFacility,140,,,,,,,,,,,,,,,,,,,,,,,,,
133,dcid:geoId/06001,ELMS/020000125,GARFIELD NEUROBEHAVIORAL CENTER,dcs:SkilledNursingFacility,96,,,,,,,,,,,,,,,,,,,,,,,,,
134,dcid:geoId/06001,ELMS/020000128,ELMWOOD CARE CENTER,dcs:SkilledNursingFacility,77,,,,,,,,,,,,,,,,,,,,,,,,,
135,dcid:geoId/06001,ELMS/020000129,CRESTWOOD TREATMENT CENTER,dcs:SkilledNursingFacility,88,,,,,,,,,,,,,,,,,,,,,,,,,
136,dcid:geoId/06001,ELMS/020000132,FREMONT HEALTHCARE CENTER,dcs:SkilledNursingFacility,115,,,,,,,,,,,,,,,,,,,,,,,,,
137,dcid:geoId/06001,ELMS/020000133,DRIFTWOOD HEALTHCARE CENTER - HAYWARD,dcs:SkilledNursingFacility,88,,,,,,,,,,,,,,,,,,,,,,,,,
138,dcid:geoId/06001,ELMS/020000135,BAY AREA HEALTHCARE CENTER,dcs:SkilledNursingFacility,99,,,,,,,,,,,,,,,,,,,,,,,,,
139,dcid:geoId/06001,ELMS/020000274,THE REHABILITATION CENTER OF OAKLAND,dcs:SkilledNursingFacility,70,,,,,,,,,,,,,,,,,,,,,,,,,
140,dcid:geoId/06001,ELMS/020000275,WASHINGTON CENTER,dcs:SkilledNursingFacility,99,,,,,,,,,,,,,,,,,,,,,,,,,
141,dcid:geoId/06001,ELMS/020000276,"REDWOOD CONVALESCENT HOSPITAL, INC.",dcs:SkilledNursingFacility,70,,,,,,,,,,,,,,,,,,,,,,,,,
142,dcid:geoId/06001,ELMS/020000277,WINDSOR HEALTHCARE CENTER OF OAKLAND,dcs:SkilledNursingFacility,94,,,,,,,,,,,,,,,,,,,,,,,,,
143,dcid:geoId/06001,ELMS/020000334,LITTLEFOOT HOUSE,dcs:IntermediateCareFacility,,,6,,,,,,,,,,,,,,,,,,,,,,,
144,dcid:geoId/06001,ELMS/020000348,SUNSHINE ICF/DDH #3,dcs:IntermediateCareFacility,,,6,,,,,,,,,,,,,,,,,,,,,,,
145,dcid:geoId/06001,ELMS/020000630,SERRA RESIDENTIAL CENTER - CRESTWOOD HOUSE,dcs:IntermediateCareFacility,,,6,,,,,,,,,,,,,,,,,,,,,,,
146,dcid:geoId/06001,ELMS/020000631,SERRA RESIDENTIAL CENTER - ELLEN HOUSE,dcs:IntermediateCareFacility,,,6,,,,,,,,,,,,,,,,,,,,,,,
147,dcid:geoId/06001,ELMS/020000647,PARK HOUSE,dcs:IntermediateCareFacility,,,6,,,,,,,,,,,,,,,,,,,,,,,
148,dcid:geoId/06001,ELMS/020000648,STANLEY HOUSE,dcs:IntermediateCareFacility,,,6,,,,,,,,,,,,,,,,,,,,,,,
149,dcid:geoId/06001,ELMS/020000677,SUNSHINE ICF/DDH #5,dcs:IntermediateCareFacility,,,6,,,,,,,,,,,,,,,,,,,,,,,
150,dcid:geoId/06001,ELMS/020000681,SUNSHINE ICF/DDH #6,dcs:IntermediateCareFacility,,,6,,,,,,,,,,,,,,,,,,,,,,,
151,dcid:geoId/06001,ELMS/020000808,MORTON BAKAR CENTER,dcs:SkilledNursingFacility,97,,,,,,,,,,,,,,,,,,,,,,,,,
152,dcid:geoId/06001,ELMS/020000813,SERRA CENTER VALPEY PARK HOUSE,dcs:IntermediateCareFacility,,,6,,,,,,,,,,,,,,,,,,,,,,,
