GeoId,CACountyName,CALicensedHealthcareFacilityBedFACID,CALicensedHealthcareFacilityName,CALicensedHealthcareFacilityType,CALicensedHealthcareFacilityBedType,CALicensedHealthcareFacilityBedCapacity
geoId/06095,SOLANO,ELMS/010000162,MILESTONES OF DEVELOPMENT #3,IntermediateCareFacility-dd/h/n/cn/iid,INTERMEDIATE CARE/DD HABILITATIVE,6
geoId/06095,SOLANO,ELMS/010000163,MILESTONES OF DEVELOPMENT #4,IntermediateCareFacility-dd/h/n/cn/iid,INTERMEDIATE CARE/DD HABILITATIVE,6
geoId/06095,SOLANO,ELMS/010000164,MILESTONES OF DEVELOPMENT #5,IntermediateCareFacility-dd/h/n/cn/iid,INTERMEDIATE CARE/DD HABILITATIVE,6
geoId/06097,SONOMA,ELMS/010000208,SPRING LAKE VILLAGE,SkilledNursingFacility,SKILLED NURSING,70
geoId/06097,SONOMA,ELMS/010000394,"BENNETT VALLEY ICF/DD-H, INC.",IntermediateCareFacility-dd/h/n/cn/iid,INTERMEDIATE CARE/DD HABILITATIVE,6
geoId/06097,SONOMA,ELMS/010000431,PETALUMA ICF/DDH,IntermediateCareFacility-dd/h/n/cn/iid,INTERMEDIATE CARE/DD HABILITATIVE,8
geoId/06097,SONOMA,ELMS/010000480,VELMA HOUSE,IntermediateCareFacility-dd/h/n/cn/iid,INTERMEDIATE CARE/DD HABILITATIVE,6
geoId/06097,SONOMA,ELMS/010000481,REDWOOD HOUSE,IntermediateCareFacility-dd/h/n/cn/iid,INTERMEDIATE CARE/DD NURSING,6
geoId/06097,SONOMA,ELMS/010000487,MAYETTE HOUSE,IntermediateCareFacility-dd/h/n/cn/iid,INTERMEDIATE CARE/DD HABILITATIVE,6
geoId/06097,SONOMA,ELMS/010000572,VICTORIA DRIVE HOUSE,IntermediateCareFacility-dd/h/n/cn/iid,INTERMEDIATE CARE/DD HABILITATIVE,6
geoId/06097,SONOMA,ELMS/010000585,FIFTY-O-ONE PARKHURST,IntermediateCareFacility-dd/h/n/cn/iid,INTERMEDIATE CARE/DD HABILITATIVE,6
geoId/06097,SONOMA,ELMS/010000598,SACRAMENTO HOUSE,IntermediateCareFacility-dd/h/n/cn/iid,INTERMEDIATE CARE/DD HABILITATIVE,6
geoId/06095,SOLANO,ELMS/010000620,MUSTARD SEED,IntermediateCareFacility-dd/h/n/cn/iid,INTERMEDIATE CARE/DD HABILITATIVE,6
geoId/06095,SOLANO,ELMS/010000643,PATHWAYS,IntermediateCareFacility-dd/h/n/cn/iid,INTERMEDIATE CARE/DD NURSING,6
geoId/06097,SONOMA,ELMS/010000657,ESTES HOUSE,IntermediateCareFacility-dd/h/n/cn/iid,INTERMEDIATE CARE/DD NURSING,6
geoId/06097,SONOMA,ELMS/010000673,DOUGLAS HOUSE,IntermediateCareFacility-dd/h/n/cn/iid,INTERMEDIATE CARE/DD HABILITATIVE,6
geoId/06097,SONOMA,ELMS/010000703,BAIRD HOUSE,IntermediateCareFacility-dd/h/n/cn/iid,INTERMEDIATE CARE/DD NURSING,6
geoId/06095,SOLANO,ELMS/010000792,CROSSROADS,IntermediateCareFacility-dd/h/n/cn/iid,INTERMEDIATE CARE/DD HABILITATIVE,6
geoId/06095,SOLANO,ELMS/010000793,PATHWAYS 2,IntermediateCareFacility-dd/h/n/cn/iid,INTERMEDIATE CARE/DD NURSING,6
geoId/06097,SONOMA,ELMS/010000799,MY HOME,IntermediateCareFacility-dd/h/n/cn/iid,INTERMEDIATE CARE/DD HABILITATIVE,6
geoId/06097,SONOMA,ELMS/010000801,DANNY'S PLACE,IntermediateCareFacility-dd/h/n/cn/iid,INTERMEDIATE CARE/DD NURSING,6
geoId/06097,SONOMA,ELMS/010000822,BADGER CREEK,IntermediateCareFacility-dd/h/n/cn/iid,INTERMEDIATE CARE/DD NURSING,6
geoId/06097,SONOMA,ELMS/010000834,CALISTOGA HOUSE,IntermediateCareFacility-dd/h/n/cn/iid,INTERMEDIATE CARE/DD NURSING,6
geoId/06095,SOLANO,ELMS/010000860,GREENFIELDS I ICF-DDN,IntermediateCareFacility-dd/h/n/cn/iid,INTERMEDIATE CARE/DD NURSING,6
geoId/06095,SOLANO,ELMS/010000864,CROSSROADS II,IntermediateCareFacility-dd/h/n/cn/iid,INTERMEDIATE CARE/DD HABILITATIVE,6
geoId/06095,SOLANO,ELMS/010000907,GREENFIELDS II ICF-DDN,IntermediateCareFacility-dd/h/n/cn/iid,INTERMEDIATE CARE/DD NURSING,6
geoId/06041,MARIN,ELMS/010000936,"SAN RAFAEL HEALTHCARE & WELLNESS CENTER, LP",SkilledNursingFacility,SKILLED NURSING,54
geoId/06041,MARIN,ELMS/010000938,SOUTH MARIN HEALTH & WELLNESS CENTER,SkilledNursingFacility,SKILLED NURSING,72
geoId/06041,MARIN,ELMS/010000940,NOVATO HEALTHCARE CENTER,SkilledNursingFacility,SKILLED NURSING,181
geoId/06041,MARIN,ELMS/010000949,PINE RIDGE CARE CENTER,SkilledNursingFacility,SKILLED NURSING,101
geoId/06041,MARIN,ELMS/010000951,MARIN CONVALESCENT & REHABILITATION HOSPITAL,SkilledNursingFacility,SKILLED NURSING,56
geoId/06041,MARIN,ELMS/010000959,MARIN POST ACUTE,SkilledNursingFacility,SKILLED NURSING,168
geoId/06041,MARIN,ELMS/010000968,PROFESSIONAL POST ACUTE CENTER,SkilledNursingFacility,SKILLED NURSING,99
geoId/06041,MARIN,ELMS/010000970,DEVON DRIVE HOME,IntermediateCareFacility-dd/h/n/cn/iid,INTERMEDIATE CARE/DD HABILITATIVE,6
geoId/06041,MARIN,ELMS/010000972,ADRIAN WAY HOME,IntermediateCareFacility-dd/h/n/cn/iid,INTERMEDIATE CARE/DD HABILITATIVE,6
geoId/06041,MARIN,ELMS/010000976,SUNRISE II,IntermediateCareFacility-dd/h/n/cn/iid,INTERMEDIATE CARE/DD HABILITATIVE,6
geoId/06041,MARIN,ELMS/010000980,NORTHGATE POSTACUTE CARE,SkilledNursingFacility,SKILLED NURSING,54
geoId/06041,MARIN,ELMS/010000985,THE TAMALPAIS,SkilledNursingFacility,SKILLED NURSING,52
geoId/06041,MARIN,ELMS/010000995,VILLA MARIN RETIREMENT RESIDENCES,SkilledNursingFacility,SKILLED NURSING,31
geoId/06041,MARIN,ELMS/010000998,ABLE,IntermediateCareFacility-dd/h/n/cn/iid,INTERMEDIATE CARE/DD HABILITATIVE,10
geoId/06041,MARIN,ELMS/010001001,MILES - CENTER ROAD HOUSE,IntermediateCareFacility-dd/h/n/cn/iid,INTERMEDIATE CARE/DD HABILITATIVE,6
geoId/06041,MARIN,ELMS/010001005,ALDERSLY SKILLED NURSING FACILITY,SkilledNursingFacility,SKILLED NURSING,20
geoId/06041,MARIN,ELMS/010001007,"THE REDWOODS, A COMMUNITY OF SENIORS",SkilledNursingFacility,SKILLED NURSING,58
geoId/06041,MARIN,ELMS/010001011,RAE LANE HOUSE,IntermediateCareFacility-dd/h/n/cn/iid,INTERMEDIATE CARE/DD HABILITATIVE,6
geoId/06041,MARIN,ELMS/010001031,STONEHAVEN,IntermediateCareFacility-dd/h/n/cn/iid,INTERMEDIATE CARE/DD HABILITATIVE,6
geoId/06041,MARIN,ELMS/010001033,"NOVA HOUSE, INC.",IntermediateCareFacility-dd/h/n/cn/iid,INTERMEDIATE CARE/DD HABILITATIVE,6
geoId/06041,MARIN,ELMS/010001037,SMITH RANCH SKILLED NURSING & REHABILITATION CENTER,SkilledNursingFacility,SKILLED NURSING,80
geoId/06097,SONOMA,ELMS/010001124,MONTE VERDE,IntermediateCareFacility-dd/h/n/cn/iid,INTERMEDIATE CARE/DD NURSING,6
geoId/06041,MARIN,ELMS/010001128,"CARE MERIDIAN, LLC",CongregateLivingHealthFacility,CONGREGATE LIVING HEALTH FACILITY,12
geoId/06095,SOLANO,ELMS/010001139,GREENFIELDS III ICF-DDN,IntermediateCareFacility-dd/h/n/cn/iid,INTERMEDIATE CARE/DD NURSING,6
geoId/06097,SONOMA,ELMS/010001140,ARBOL RESIDENCES OF SANTA ROSA,SkilledNursingFacility,SKILLED NURSING,45
geoId/06095,SOLANO,ELMS/010001143,"PARADISE VALLEY ICF DDH, INC",IntermediateCareFacility-dd/h/n/cn/iid,INTERMEDIATE CARE/DD HABILITATIVE,6
geoId/06001,ALAMEDA,ELMS/020000005,ST ANTHONY CARE CENTER,SkilledNursingFacility,SKILLED NURSING,30
geoId/06001,ALAMEDA,ELMS/020000010,ASHBY CARE CENTER,SkilledNursingFacility,SKILLED NURSING,31
geoId/06001,ALAMEDA,ELMS/020000015,BANCROFT HEALTHCARE CENTER,SkilledNursingFacility,SKILLED NURSING,36
geoId/06001,ALAMEDA,ELMS/020000019,VISTA POST ACUTE,SkilledNursingFacility,SKILLED NURSING,71
geoId/06001,ALAMEDA,ELMS/020000020,WINDSOR COUNTRY DRIVE CARE CENTER,SkilledNursingFacility,SKILLED NURSING,126
geoId/06001,ALAMEDA,ELMS/020000026,"BAY VIEW REHABILITATION HOSPITAL, LLC",SkilledNursingFacility,SKILLED NURSING,170
geoId/06001,ALAMEDA,ELMS/020000028,BERKELEY PINES SKILLED NURSING CENTER,SkilledNursingFacility,SKILLED NURSING,36
geoId/06001,ALAMEDA,ELMS/020000029,BETHESDA HOME,SkilledNursingFacility,SKILLED NURSING,40
geoId/06001,ALAMEDA,ELMS/020000036,WINDSOR PARK CARE CENTER OF FREMONT,SkilledNursingFacility,SKILLED NURSING,85
geoId/06001,ALAMEDA,ELMS/020000037,GATEWAY CARE & REHABILITATION CENTER,SkilledNursingFacility,SKILLED NURSING,99
geoId/06001,ALAMEDA,ELMS/020000039,HAYWARD HEALTHCARE & WELLNESS CENTER,SkilledNursingFacility,SKILLED NURSING,99
geoId/06001,ALAMEDA,ELMS/020000040,MASONIC HOME,SkilledNursingFacility,SKILLED NURSING,125
geoId/06001,ALAMEDA,ELMS/020000042,KAISER PERMANENTE POST-ACUTE CARE CENTER,SkilledNursingFacility,SKILLED NURSING,176
geoId/06001,ALAMEDA,ELMS/020000043,ALAMEDA HEALTHCARE & WELLNESS CENTER,SkilledNursingFacility,SKILLED NURSING,166
geoId/06001,ALAMEDA,ELMS/020000046,PARK MERRITT CARE CENTER,IntermediateCareFacility,INTERMEDIATE CARE,24
geoId/06001,ALAMEDA,ELMS/020000047,HAYWARD HILLS HEALTH CARE CENTER,SkilledNursingFacility,SKILLED NURSING,74
geoId/06001,ALAMEDA,ELMS/020000048,CHAPARRAL HOUSE,SkilledNursingFacility,SKILLED NURSING,49
geoId/06001,ALAMEDA,ELMS/020000053,CRESTWOOD MANOR - FREMONT,SkilledNursingFacility,SPECIAL TREATMENT PROGRAM,52
geoId/06001,ALAMEDA,ELMS/020000053,CRESTWOOD MANOR - FREMONT,SkilledNursingFacility,SKILLED NURSING,74
geoId/06001,ALAMEDA,ELMS/020000054,"PRINCETON MANOR HEALTHCARE CENTER, LLC",SkilledNursingFacility,SKILLED NURSING,82
geoId/06001,ALAMEDA,ELMS/020000060,BAYPOINT HEALTHCARE CENTER,SkilledNursingFacility,SKILLED NURSING,99
geoId/06001,ALAMEDA,ELMS/020000064,ST PAULS TOWERS,SkilledNursingFacility,SKILLED NURSING,43
geoId/06001,ALAMEDA,ELMS/020000065,WE CARE SKILLED NURSING FACILITY,SkilledNursingFacility,SKILLED NURSING,28
geoId/06001,ALAMEDA,ELMS/020000066,VALLEY POINTE NURSING & REHABILITATION CENTER,SkilledNursingFacility,SKILLED NURSING,50
geoId/06001,ALAMEDA,ELMS/020000068,ST JOHN KRONSTADT CONVALESCENT CENTER,SkilledNursingFacility,SKILLED NURSING,49
geoId/06001,ALAMEDA,ELMS/020000070,ALL SAINTS SUBACUTE & TRANSITIONAL CARE,SkilledNursingFacility,SKILLED NURSING,70
geoId/06001,ALAMEDA,ELMS/020000071,WINDSOR POST-ACUTE CARE CENTER OF HAYWARD,SkilledNursingFacility,SKILLED NURSING,99
geoId/06001,ALAMEDA,ELMS/020000074,"SERENETHOS CARE CENTER, LLC",SkilledNursingFacility,SKILLED NURSING,36
geoId/06001,ALAMEDA,ELMS/020000076,ST FRANCIS HEALTHCARE CENTER,SkilledNursingFacility,SKILLED NURSING,62
geoId/06001,ALAMEDA,ELMS/020000077,SAN LEANDRO HEALTHCARE CENTER,SkilledNursingFacility,SKILLED NURSING,62
geoId/06001,ALAMEDA,ELMS/020000079,MEDICAL HILL HEALTHCARE CENTER,SkilledNursingFacility,SKILLED NURSING,124
geoId/06001,ALAMEDA,ELMS/020000087,CROWN BAY NURSING & REHABILITATION CENTER,SkilledNursingFacility,SKILLED NURSING,135
geoId/06001,ALAMEDA,ELMS/020000090,PARKVIEW HEALTHCARE CENTER,SkilledNursingFacility,SKILLED NURSING,121
geoId/06001,ALAMEDA,ELMS/020000091,PIEDMONT GARDENS HEALTH FACILITY,SkilledNursingFacility,SKILLED NURSING,94
geoId/06001,ALAMEDA,ELMS/020000093,EXCELL HEALTH CARE CENTER,SkilledNursingFacility,SKILLED NURSING,99
geoId/06001,ALAMEDA,ELMS/020000094,PARK CENTRAL CARE AND REHABILITATION CENTER,SkilledNursingFacility,SKILLED NURSING,99
geoId/06001,ALAMEDA,ELMS/020000099,MCCLURE POST ACUTE,SkilledNursingFacility,SKILLED NURSING,60
geoId/06001,ALAMEDA,ELMS/020000100,MERCY RETIREMENT & CARE CENTER,SkilledNursingFacility,SKILLED NURSING,59
geoId/06001,ALAMEDA,ELMS/020000101,HILLSIDE SENIOR CARE,SkilledNursingFacility,SKILLED NURSING,73
geoId/06001,ALAMEDA,ELMS/020000103,WINDSOR GARDENS CARE CENTER OF HAYWARD,SkilledNursingFacility,SKILLED NURSING,75
geoId/06001,ALAMEDA,ELMS/020000104,MARINA GARDEN NURSING CENTER,SkilledNursingFacility,SKILLED NURSING,32
geoId/06001,ALAMEDA,ELMS/020000109,SUNSHINE ICF/DDH #2,IntermediateCareFacility-dd/h/n/cn/iid,INTERMEDIATE CARE/DD HABILITATIVE,6
geoId/06001,ALAMEDA,ELMS/020000110,LAKE MERRITT HEALTHCARE CENTER LLC,SkilledNursingFacility,SKILLED NURSING,53
geoId/06001,ALAMEDA,ELMS/020000111,JONES CONVALESCENT HOSPITAL,SkilledNursingFacility,SKILLED NURSING,25
geoId/06001,ALAMEDA,ELMS/020000112,KYAKAMEENA CARE CENTER,SkilledNursingFacility,SKILLED NURSING,60
geoId/06001,ALAMEDA,ELMS/020000114,LAKE PARK RETIREMENT RESIDENCE,SkilledNursingFacility,SKILLED NURSING,35
geoId/06001,ALAMEDA,ELMS/020000115,OAKLAND HEALTHCARE & WELLNESS CENTER,SkilledNursingFacility,SKILLED NURSING,98
geoId/06001,ALAMEDA,ELMS/020000116,EAST BAY POST-ACUTE,SkilledNursingFacility,SKILLED NURSING,91
geoId/06001,ALAMEDA,ELMS/020000119,REDWOOD HEALTHCARE CENTER LLC,SkilledNursingFacility,SKILLED NURSING,44
geoId/06001,ALAMEDA,ELMS/020000123,HAYWARD CONVALESCENT HOSPITAL,SkilledNursingFacility,SKILLED NURSING,99
geoId/06001,ALAMEDA,ELMS/020000124,FRUITVALE HEALTHCARE CENTER,SkilledNursingFacility,SKILLED NURSING,140
geoId/06001,ALAMEDA,ELMS/020000125,GARFIELD NEUROBEHAVIORAL CENTER,SkilledNursingFacility,SKILLED NURSING,96
geoId/06001,ALAMEDA,ELMS/020000128,ELMWOOD CARE CENTER,SkilledNursingFacility,SKILLED NURSING,77
geoId/06001,ALAMEDA,ELMS/020000129,CRESTWOOD TREATMENT CENTER,SkilledNursingFacility,SKILLED NURSING,88
geoId/06001,ALAMEDA,ELMS/020000132,FREMONT HEALTHCARE CENTER,SkilledNursingFacility,SKILLED NURSING,115
geoId/06001,ALAMEDA,ELMS/020000133,DRIFTWOOD HEALTHCARE CENTER - HAYWARD,SkilledNursingFacility,SKILLED NURSING,88
geoId/06001,ALAMEDA,ELMS/020000135,BAY AREA HEALTHCARE CENTER,SkilledNursingFacility,SKILLED NURSING,99
geoId/06001,ALAMEDA,ELMS/020000274,THE REHABILITATION CENTER OF OAKLAND,SkilledNursingFacility,SKILLED NURSING,70
geoId/06001,ALAMEDA,ELMS/020000275,WASHINGTON CENTER,SkilledNursingFacility,SKILLED NURSING,99
geoId/06001,ALAMEDA,ELMS/020000276,"REDWOOD CONVALESCENT HOSPITAL, INC.",SkilledNursingFacility,SKILLED NURSING,70
geoId/06001,ALAMEDA,ELMS/020000277,WINDSOR HEALTHCARE CENTER OF OAKLAND,SkilledNursingFacility,SKILLED NURSING,94
geoId/06001,ALAMEDA,ELMS/020000334,LITTLEFOOT HOUSE,IntermediateCareFacility-dd/h/n/cn/iid,INTERMEDIATE CARE/DD HABILITATIVE,6
geoId/06001,ALAMEDA,ELMS/020000348,SUNSHINE ICF/DDH #3,IntermediateCareFacility-dd/h/n/cn/iid,INTERMEDIATE CARE/DD HABILITATIVE,6
geoId/06001,ALAMEDA,ELMS/020000630,SERRA RESIDENTIAL CENTER - CRESTWOOD HOUSE,IntermediateCareFacility-dd/h/n/cn/iid,INTERMEDIATE CARE/DD HABILITATIVE,6
geoId/06001,ALAMEDA,ELMS/020000631,SERRA RESIDENTIAL CENTER - ELLEN HOUSE,IntermediateCareFacility-dd/h/n/cn/iid,INTERMEDIATE CARE/DD HABILITATIVE,6
geoId/06001,ALAMEDA,ELMS/020000647,PARK HOUSE,IntermediateCareFacility-dd/h/n/cn/iid,INTERMEDIATE CARE/DD HABILITATIVE,6
geoId/06001,ALAMEDA,ELMS/020000648,STANLEY HOUSE,IntermediateCareFacility-dd/h/n/cn/iid,INTERMEDIATE CARE/DD HABILITATIVE,6
geoId/06001,ALAMEDA,ELMS/020000677,SUNSHINE ICF/DDH #5,IntermediateCareFacility-dd/h/n/cn/iid,INTERMEDIATE CARE/DD HABILITATIVE,6
geoId/06001,ALAMEDA,ELMS/020000681,SUNSHINE ICF/DDH #6,IntermediateCareFacility-dd/h/n/cn/iid,INTERMEDIATE CARE/DD HABILITATIVE,6
geoId/06001,ALAMEDA,ELMS/020000808,MORTON BAKAR CENTER,SkilledNursingFacility,SKILLED NURSING,97
geoId/06001,ALAMEDA,ELMS/020000813,SERRA CENTER VALPEY PARK HOUSE,IntermediateCareFacility-dd/h/n/cn/iid,INTERMEDIATE CARE/DD HABILITATIVE,6
geoId/06001,ALAMEDA,ELMS/020000836,RUUS MANOR,IntermediateCareFacility-dd/h/n/cn/iid,INTERMEDIATE CARE/DD HABILITATIVE,6
geoId/06001,ALAMEDA,ELMS/020000877,ELENA'S ICF/DD-H,IntermediateCareFacility-dd/h/n/cn/iid,INTERMEDIATE CARE/DD HABILITATIVE,6
geoId/06001,ALAMEDA,ELMS/020000880,OAKLAND HEIGHTS NURSING AND REHABILITATION,SkilledNursingFacility,SKILLED NURSING,48
geoId/06001,ALAMEDA,ELMS/020000960,BAHAMA HOME ICF/DDH,IntermediateCareFacility-dd/h/n/cn/iid,INTERMEDIATE CARE/DD HABILITATIVE,6
geoId/06001,ALAMEDA,ELMS/020000987,ELENA'S ICF/DD-H #2,IntermediateCareFacility-dd/h/n/cn/iid,INTERMEDIATE CARE/DD HABILITATIVE,6
geoId/06001,ALAMEDA,ELMS/020001052,SERRA CENTER SAN JUAN HOME,IntermediateCareFacility-dd/h/n/cn/iid,INTERMEDIATE CARE/DD HABILITATIVE,6
geoId/06001,ALAMEDA,ELMS/020001114,MAIN ICF/DD-N,IntermediateCareFacility-dd/h/n/cn/iid,INTERMEDIATE CARE/DD NURSING,6
geoId/06001,ALAMEDA,ELMS/020001146,ELENA'S ICF/DD-H #3,IntermediateCareFacility-dd/h/n/cn/iid,INTERMEDIATE CARE/DD HABILITATIVE,6
geoId/06001,ALAMEDA,ELMS/020001156,BARROW ICF/DD-N,IntermediateCareFacility-dd/h/n/cn/iid,INTERMEDIATE CARE/DD NURSING,6
geoId/06001,ALAMEDA,ELMS/020001157,SUNDALE,IntermediateCareFacility-dd/h/n/cn/iid,INTERMEDIATE CARE/DD HABILITATIVE,6
geoId/06001,ALAMEDA,ELMS/020001179,BRIDLE ICF/DD-N,IntermediateCareFacility-dd/h/n/cn/iid,INTERMEDIATE CARE/DD NURSING,6
geoId/06001,ALAMEDA,ELMS/020001191,PORTSMOUTH ICF/DDH,IntermediateCareFacility-dd/h/n/cn/iid,INTERMEDIATE CARE/DD HABILITATIVE,6
geoId/06001,ALAMEDA,ELMS/020001198,LOYOLA ICF/DD-H,IntermediateCareFacility-dd/h/n/cn/iid,INTERMEDIATE CARE/DD HABILITATIVE,6
geoId/06001,ALAMEDA,ELMS/020001246,CITRON WAY ICF/DD-H,IntermediateCareFacility-dd/h/n/cn/iid,INTERMEDIATE CARE/DD HABILITATIVE,6
geoId/06001,ALAMEDA,ELMS/020001250,BELLAKEN SKILLED NURSING CENTER,SkilledNursingFacility,SKILLED NURSING,61
geoId/06001,ALAMEDA,ELMS/020001252,VESTAL HOUSE ICF/DD-H,IntermediateCareFacility-dd/h/n/cn/iid,INTERMEDIATE CARE/DD HABILITATIVE,6
geoId/06001,ALAMEDA,ELMS/020001258,BUILD HOME,IntermediateCareFacility-dd/h/n/cn/iid,INTERMEDIATE CARE/DD HABILITATIVE,6
geoId/06001,ALAMEDA,ELMS/020001263,MIKA'S HOME ICF/DD-H,IntermediateCareFacility-dd/h/n/cn/iid,INTERMEDIATE CARE/DD HABILITATIVE,6
geoId/06001,ALAMEDA,ELMS/020001272,PERLITA HOUSE,IntermediateCareFacility-dd/h/n/cn/iid,INTERMEDIATE CARE/DD NURSING,6
geoId/06001,ALAMEDA,ELMS/020001276,LEWIS HOUSE,IntermediateCareFacility-dd/h/n/cn/iid,INTERMEDIATE CARE/DD HABILITATIVE,6
geoId/06001,ALAMEDA,ELMS/020001282,GEORGE MARK CHILDREN'S HOUSE,CongregateLivingHealthFacility,CONGREGATE LIVING HEALTH FACILITY,9
geoId/06001,ALAMEDA,ELMS/020001284,RUUS HOME ICF/DD-H,IntermediateCareFacility-dd/h/n/cn/iid,INTERMEDIATE CARE/DD HABILITATIVE,6
geoId/06013,CONTRA COSTA,ELMS/020001287,"EAST BAY INTEGRATED CARE, INC. - BRUNS HOUSE",HospiceFacility,HOSPICE,6
geoId/06001,ALAMEDA,ELMS/020001289,NEAL'S HOME,IntermediateCareFacility-dd/h/n/cn/iid,INTERMEDIATE CARE/DD NURSING,6
geoId/06001,ALAMEDA,ELMS/020001292,JUSTIN'S HOME,IntermediateCareFacility-dd/h/n/cn/iid,INTERMEDIATE CARE/DD HABILITATIVE,6
geoId/06061,PLACER,ELMS/030000004,ROSEVILLE POINT HEALTH & WELLNESS CENTER,SkilledNursingFacility,SKILLED NURSING,98
geoId/06067,SACRAMENTO,ELMS/030000005,COLLEGE OAK NURSING AND REHABILITATION CENTER,SkilledNursingFacility,SKILLED NURSING,120
geoId/06061,PLACER,ELMS/030000011,ROCK CREEK CARE CENTER,SkilledNursingFacility,SKILLED NURSING,84
